Orthogroup	schistosoma_mansoni	opisthorchis_viverrini
OG0000019	Smp_102690.1, Smp_179320.1	T265_07377
OG0000021	Smp_145560.1	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494
OG0000021	Smp_134980.1, Smp_245140.1, Smp_135010.1, Smp_245150.3, Smp_245150.5, Smp_245150.4, Smp_245150.2, Smp_245150.6, Smp_245150.1	T265_00883
OG0000021	Smp_245160.1	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	Smp_163420.1	T265_03268
OG0000024	Smp_103790.1	T265_04524, T265_12877
OG0000024	Smp_016780.1	T265_08845
OG0000024	Smp_027920.1	T265_10896, T265_12043, T265_03132
OG0000026	Smp_055780.1	T265_07485
OG0000026	Smp_336100.1, Smp_089200.1, Smp_089200.2	T265_12778, T265_12779, T265_13344, T265_13367
OG0000027	Smp_332600.2, Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8, Smp_332600.4, Smp_332600.7, Smp_332600.3, Smp_332600.5	T265_14036
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	T265_03596, T265_13290
OG0000029	Smp_072870.1	T265_08214
OG0000029	Smp_203130.1	T265_00572, T265_00570, T265_00571
OG0000029	Smp_183710.1, Smp_306600.1	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	Smp_174960.1	T265_14111
OG0000031	Smp_017010.1	T265_06361
OG0000032	Smp_030730.1	T265_03331
OG0000032	Smp_313990.1, Smp_164480.1, Smp_078040.1, Smp_313980.1	T265_07282
OG0000034	Smp_009430.1, Smp_308940.1, Smp_308930.1, Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	Smp_045860.1	T265_00972
OG0000036	Smp_173130.1	T265_15083
OG0000037	Smp_157980.1, Smp_157980.2, Smp_308100.1, Smp_308110.1	T265_00630
OG0000038	Smp_201680.1, Smp_185420.1, Smp_350130.1, Smp_349900.1, Smp_350400.1, Smp_350340.1, Smp_350250.1, Smp_200230.1, Smp_200960.1, Smp_205660.1	T265_12650
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	T265_01293
OG0000042	Smp_247180.1, Smp_247170.1, Smp_048050.1, Smp_048050.2, Smp_049230.1, Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	T265_12048, T265_11239, T265_15548, T265_15551
OG0000043	Smp_083340.1	T265_02563
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1, Smp_155530.1, Smp_062080.1	T265_05071, T265_05072, T265_08625, T265_11935
OG0000047	Smp_076460.1	T265_15705
OG0000049	Smp_315900.2, Smp_315900.1	T265_01286
OG0000049	Smp_343120.1	T265_15552
OG0000050	Smp_311520.1, Smp_245890.1	T265_02127, T265_02652
OG0000052	Smp_034920.1	T265_08730, T265_12065
OG0000052	Smp_332890.1	T265_04421
OG0000052	Smp_303940.1	T265_02480
OG0000052	Smp_159840.1	T265_06797
OG0000053	Smp_075220.1	T265_11166
OG0000054	Smp_106390.1	T265_02804, T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045
OG0000055	Smp_309720.1, Smp_309710.1	T265_07023
OG0000056	Smp_168030.1	T265_13933
OG0000058	Smp_247950.1	T265_07455
OG0000058	Smp_247290.1	T265_13746
OG0000060	Smp_123510.1	T265_13025
OG0000061	Smp_212360.2, Smp_212360.1	T265_02884
OG0000062	Smp_332930.1	T265_10452
OG0000063	Smp_171820.1	T265_09823
OG0000064	Smp_332910.1, Smp_332910.2	T265_15306
OG0000065	Smp_085010.1, Smp_085010.2, Smp_067060.1, Smp_103610.1, Smp_344940.1	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	Smp_040970.1	T265_07972
OG0000068	Smp_002410.1	T265_12520
OG0000068	Smp_041430.1	T265_06616
OG0000068	Smp_301620.1, Smp_009760.1	T265_13582
OG0000068	Smp_034840.1	T265_03815
OG0000070	Smp_315710.1	T265_10197
OG0000071	Smp_033600.1	T265_11263, T265_11264
OG0000072	Smp_343430.1	T265_13598
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	T265_11926
OG0000074	Smp_152330.1	T265_06662
OG0000074	Smp_164380.1	T265_09755
OG0000074	Smp_307260.1	T265_14825
OG0000074	Smp_085690.1	T265_13709
OG0000075	Smp_246680.1	T265_02596
OG0000076	Smp_141980.1, Smp_141980.2, Smp_141980.3	T265_01838
OG0000076	Smp_134140.2, Smp_134140.1	T265_09657, T265_14927
OG0000077	Smp_244680.1, Smp_244680.2	T265_07170
OG0000078	Smp_092530.1	T265_10237, T265_16023
OG0000079	Smp_129050.1	T265_03623
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	T265_11700
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	T265_07150, T265_07149
OG0000081	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1	T265_01189, T265_06107, T265_02619, T265_12063
OG0000082	Smp_132900.1	T265_13150
OG0000085	Smp_127430.1	T265_03464, T265_13261, T265_16244
OG0000086	Smp_149300.1	T265_13900
OG0000087	Smp_245790.1	T265_01347, T265_12258
OG0000090	Smp_310930.1	T265_02657, T265_14540
OG0000091	Smp_146060.1	T265_04053
OG0000092	Smp_180470.1, Smp_180470.2	T265_14035, T265_15099
OG0000092	Smp_064870.1	T265_03205
OG0000093	Smp_049550.1	T265_08704
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	T265_06064, T265_06061, T265_06063
OG0000094	Smp_128570.1	T265_06493
OG0000095	Smp_162630.1	T265_08487
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	T265_09813
OG0000097	Smp_168050.1	T265_02082
OG0000098	Smp_072330.1	T265_08810
OG0000098	Smp_340630.1, Smp_340630.2	T265_16367, T265_15515
OG0000099	Smp_000100.1	T265_01131
OG0000099	Smp_317420.1	T265_02321
OG0000100	Smp_043250.1, Smp_334830.1, Smp_316360.1	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636
OG0000102	Smp_036590.1	T265_01574
OG0000102	Smp_138050.1	T265_05632
OG0000103	Smp_067000.1	T265_13207
OG0000105	Smp_019790.1	T265_07815, T265_03022
OG0000107	Smp_089430.1	T265_07863
OG0000107	Smp_046690.3, Smp_046690.1	T265_07360
OG0000108	Smp_093930.1	T265_04554, T265_13536
OG0000110	Smp_333980.1, Smp_055260.1	T265_08891, T265_08892
OG0000110	Smp_129900.1	T265_08890
OG0000111	Smp_072140.1	T265_09132
OG0000111	Smp_104110.1	T265_08991, T265_14719
OG0000112	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2	T265_10678
OG0000114	Smp_144700.1	T265_15923, T265_05226, T265_11486
OG0000115	Smp_094320.1	T265_14637
OG0000116	Smp_013840.1, Smp_013840.2	T265_02129
OG0000117	Smp_014170.1	T265_11206
OG0000119	Smp_347870.1, Smp_247020.1	T265_12920
OG0000120	Smp_167850.1	T265_09108
OG0000122	Smp_344340.1	T265_15228, T265_15224
OG0000123	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4	T265_02792
OG0000125	Smp_097830.2, Smp_097830.1, Smp_097830.3	T265_13688
OG0000127	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3	T265_14567
OG0000128	Smp_332660.1	T265_14408
OG0000129	Smp_140420.1	T265_07587
OG0000130	Smp_060420.1, Smp_060420.2	T265_04661
OG0000131	Smp_322720.1, Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	Smp_028030.1	T265_00680
OG0000133	Smp_072980.1	T265_04893
OG0000134	Smp_032480.1	T265_14784
OG0000135	Smp_046060.1, Smp_046060.2	T265_07991, T265_11510
OG0000136	Smp_174310.1	T265_11527
OG0000138	Smp_158600.1	T265_11205
OG0000138	Smp_335620.1	T265_13897
OG0000139	Smp_031040.1	T265_03450
OG0000140	Smp_059210.1, Smp_059210.2	T265_06793, T265_05820
OG0000142	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1	T265_03704, T265_07291, T265_15439
OG0000143	Smp_202190.1, Smp_301550.1, Smp_326730.1	T265_04146, T265_13432
OG0000144	Smp_034190.1	T265_01304
OG0000144	Smp_097660.1	T265_12086
OG0000144	Smp_166400.1	T265_06668, T265_13782
OG0000145	Smp_110280.1, Smp_110280.2	T265_14746
OG0000146	Smp_016630.1	T265_07748
OG0000146	Smp_246100.1	T265_07423, T265_07424
OG0000146	Smp_020080.1	T265_08388
OG0000146	Smp_016250.1	T265_03861
OG0000149	Smp_123410.1	T265_03520
OG0000151	Smp_167920.1	T265_06094
OG0000152	Smp_078310.1	T265_06135
OG0000153	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1	T265_16031, T265_12191, T265_02887, T265_13113
OG0000154	Smp_333260.1	T265_03183
OG0000155	Smp_302040.1, Smp_302040.2, Smp_302040.3	T265_08299
OG0000156	Smp_143840.1	T265_00887, T265_16074
OG0000156	Smp_039750.3, Smp_039750.1, Smp_039750.2	T265_03696, T265_15374
OG0000157	Smp_212410.1, Smp_212410.2	T265_06998, T265_11481
OG0000157	Smp_332710.1	T265_01460, T265_12799
OG0000157	Smp_153100.1	T265_09530, T265_09531, T265_14875
OG0000158	Smp_068960.1, Smp_159520.1	T265_15093
OG0000159	Smp_129520.1	T265_08123
OG0000160	Smp_136550.1	T265_10045
OG0000161	Smp_301780.1	T265_02978
OG0000164	Smp_179910.1	T265_13175
OG0000164	Smp_062510.1	T265_00011
OG0000164	Smp_142450.1	T265_00309
OG0000164	Smp_071250.1	T265_07457
OG0000165	Smp_002820.1	T265_11439
OG0000166	Smp_173060.1	T265_10300
OG0000167	Smp_042550.1, Smp_042550.2	T265_06764
OG0000169	Smp_041460.1, Smp_155310.1	T265_09476
OG0000169	Smp_140000.1	T265_02738, T265_02739, T265_02737
OG0000170	Smp_343440.1	T265_12986
OG0000172	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3	T265_00976
OG0000173	Smp_344580.1	T265_02233
OG0000175	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591
OG0000177	Smp_333480.1, Smp_333480.2	T265_00175
OG0000178	Smp_150750.1	T265_14067, T265_06556, T265_06557
OG0000179	Smp_134080.1, Smp_246010.1	T265_00043
OG0000180	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1	T265_07809
OG0000182	Smp_159990.1	T265_01820, T265_01818
OG0000182	Smp_020270.1, Smp_020270.2	T265_15629, T265_15631
OG0000183	Smp_152870.1	T265_03893
OG0000184	Smp_167750.1	T265_08817, T265_08819
OG0000184	Smp_004220.1	T265_01209, T265_01210, T265_16188
OG0000185	Smp_057120.1, Smp_057120.2	T265_08504
OG0000186	Smp_334080.1	T265_11314
OG0000187	Smp_014670.1	T265_00019
OG0000188	Smp_125770.1	T265_08339
OG0000189	Smp_347670.1	T265_02452, T265_02451
OG0000190	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3	T265_05088
OG0000191	Smp_154670.1, Smp_187360.1, Smp_154680.1	T265_04702, T265_04703
OG0000192	Smp_009990.1	T265_05152, T265_13696
OG0000194	Smp_145190.1, Smp_145190.2	T265_13065
OG0000195	Smp_089930.1	T265_01951
OG0000196	Smp_051090.1	T265_01003, T265_08738
OG0000196	Smp_337400.1, Smp_337400.3	T265_13637
OG0000198	Smp_058690.1, Smp_058700.1	T265_15102
OG0000199	Smp_033950.1	T265_11013
OG0000201	Smp_158560.1, Smp_158560.2	T265_08652
OG0000202	Smp_129710.1	T265_10935
OG0000203	Smp_168040.1	T265_11084
OG0000205	Smp_129770.1, Smp_129770.2	T265_09508
OG0000206	Smp_031920.1	T265_14079
OG0000207	Smp_137320.1, Smp_319310.1, Smp_319310.2, Smp_137310.1, Smp_178420.1, Smp_137300.1, Smp_027940.1	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778
OG0000208	Smp_312880.1	T265_08097
OG0000209	Smp_214240.1, Smp_128390.1	T265_07713
OG0000210	Smp_143690.1, Smp_143690.2	T265_02395, T265_06283
OG0000211	Smp_033050.1	T265_11721
OG0000212	Smp_123940.1	T265_13666
OG0000213	Smp_333170.1	T265_00196
OG0000214	Smp_134410.1, Smp_134410.3	T265_07833
OG0000217	Smp_343380.1	T265_09745
OG0000218	Smp_244280.1	T265_14088
OG0000219	Smp_162080.1	T265_02042
OG0000220	Smp_329410.1, Smp_126840.1	T265_02843
OG0000221	Smp_165820.1	T265_08529, T265_14604
OG0000221	Smp_153140.1	T265_06922
OG0000222	Smp_313450.1	T265_06992
OG0000223	Smp_159100.1	T265_10052
OG0000224	Smp_153770.1	T265_04345
OG0000225	Smp_017730.1	T265_12484
OG0000226	Smp_124820.1	T265_14337
OG0000227	Smp_122680.1	T265_07183
OG0000228	Smp_104030.1	T265_08398
OG0000229	Smp_307880.1	T265_08218, T265_14510
OG0000230	Smp_308600.1, Smp_308590.1	T265_12726
OG0000234	Smp_337850.1	T265_10531
OG0000235	Smp_342880.1, Smp_342880.2	T265_12698, T265_01014
OG0000236	Smp_147620.1	T265_03312
OG0000237	Smp_130030.1	T265_01303
OG0000239	Smp_163610.1, Smp_336250.1	T265_04264
OG0000240	Smp_168370.2, Smp_168370.1	T265_07380, T265_07378
OG0000241	Smp_244950.1, Smp_244960.1	T265_06506, T265_11039
OG0000241	Smp_171030.1	T265_07506
OG0000242	Smp_346520.1	T265_13733
OG0000243	Smp_246870.1	T265_05124
OG0000244	Smp_125550.1	T265_15435
OG0000245	Smp_315810.1, Smp_315810.2	T265_14174, T265_14575
OG0000246	Smp_334490.1	T265_10932
OG0000247	Smp_340410.1	T265_15298
OG0000248	Smp_023360.1	T265_04925
OG0000249	Smp_340960.1	T265_03415
OG0000250	Smp_049380.1	T265_06450
OG0000251	Smp_055220.1	T265_09163
OG0000252	Smp_088550.1	T265_02607
OG0000253	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3	T265_10374
OG0000254	Smp_133740.1	T265_06296, T265_06297
OG0000255	Smp_034870.1	T265_13093
OG0000257	Smp_164930.1	T265_14891
OG0000258	Smp_065840.1	T265_07887
OG0000259	Smp_079370.1	T265_11833
OG0000260	Smp_081450.1	T265_02300
OG0000261	Smp_334030.1, Smp_334030.2	T265_01967
OG0000262	Smp_012580.2, Smp_012580.1	T265_02991
OG0000263	Smp_144430.1	T265_01552
OG0000264	Smp_347000.1, Smp_133490.1	T265_06018
OG0000264	Smp_134260.1	T265_00952
OG0000267	Smp_179490.1, Smp_179490.3, Smp_179490.2	T265_06971, T265_06972
OG0000268	Smp_067810.1	T265_01937
OG0000268	Smp_194270.1	T265_14773
OG0000269	Smp_318690.1, Smp_031000.1, Smp_031000.2	T265_07262
OG0000270	Smp_246700.1	T265_05581
OG0000271	Smp_134670.1	T265_15071
OG0000272	Smp_045950.1, Smp_045950.2	T265_07370, T265_06215
OG0000273	Smp_171880.1	T265_01594
OG0000274	Smp_334430.3, Smp_334430.1, Smp_334430.2	T265_12983
OG0000275	Smp_196840.1	T265_10067
OG0000276	Smp_312920.1	T265_02335
OG0000281	Smp_323740.1, Smp_344370.1	T265_06212
OG0000281	Smp_007730.1	T265_15299
OG0000282	Smp_034270.1	T265_14842
OG0000283	Smp_126240.1, Smp_126240.2	T265_15051
OG0000285	Smp_000020.1	T265_08710
OG0000286	Smp_102430.1, Smp_040510.1	T265_04472, T265_04474, T265_04727
OG0000287	Smp_120640.1	T265_10894
OG0000288	Smp_123180.1	T265_09141
OG0000289	Smp_194590.1	T265_15426
OG0000290	Smp_163580.1, Smp_163580.2	T265_15145
OG0000290	Smp_176050.1	T265_12657
OG0000291	Smp_130440.1	T265_04365
OG0000292	Smp_083040.1, Smp_083040.2	T265_06608
OG0000293	Smp_035580.1	T265_03762, T265_05025
OG0000293	Smp_028990.1	T265_15333
OG0000293	Smp_004810.1	T265_10243
OG0000294	Smp_324700.1, Smp_324700.2, Smp_340380.1	T265_09655
OG0000295	Smp_247750.1, Smp_179250.1, Smp_247760.1, Smp_089290.1	T265_14299
OG0000296	Smp_322820.1	T265_14159, T265_14160
OG0000296	Smp_322830.1, Smp_322810.1	T265_05818
OG0000297	Smp_050520.1	T265_10571
OG0000298	Smp_336620.1	T265_13422
OG0000298	Smp_135040.1, Smp_135040.2	T265_13679
OG0000299	Smp_074050.1	T265_00596
OG0000300	Smp_061840.1	T265_13509
OG0000301	Smp_042160.1	T265_12938
OG0000302	Smp_104500.3, Smp_104500.1, Smp_104500.4, Smp_104500.2	T265_10713
OG0000303	Smp_153710.3, Smp_153710.2, Smp_153710.1, Smp_153710.4	T265_14378, T265_07763
OG0000304	Smp_340500.1	T265_12343, T265_14866
OG0000305	Smp_060940.1	T265_05934
OG0000306	Smp_342740.1	T265_14560
OG0000307	Smp_343920.1, Smp_011000.1	T265_07841
OG0000311	Smp_161120.1, Smp_161120.2	T265_00973
OG0000312	Smp_152840.1	T265_01921
OG0000313	Smp_045980.1	T265_09150
OG0000314	Smp_159070.1	T265_01890
OG0000315	Smp_007260.1	T265_11685, T265_11690
OG0000315	Smp_136710.2, Smp_136710.1	T265_04922
OG0000316	Smp_168660.1	T265_01535
OG0000317	Smp_097820.1, Smp_097820.2	T265_05123
OG0000318	Smp_065130.1	T265_07846, T265_14409
OG0000319	Smp_167160.1, Smp_167160.2	T265_01888
OG0000320	Smp_140860.1	T265_07800
OG0000320	Smp_245990.2, Smp_245990.1	T265_04040
OG0000321	Smp_083780.1	T265_04495
OG0000322	Smp_194030.1	T265_16264, T265_11089, T265_16340
OG0000323	Smp_306120.1, Smp_344820.1, Smp_344820.2, Smp_344820.3	T265_03097, T265_03095, T265_03109
OG0000324	Smp_147250.1	T265_14121, T265_06759
OG0000325	Smp_151050.1	T265_01773
OG0000326	Smp_069130.1	T265_00641, T265_03157
OG0000327	Smp_168450.1, Smp_336080.1	T265_02347, T265_09489, T265_09958, T265_07526, T265_14620, T265_02671, T265_02673
OG0000328	Smp_035090.1	T265_14757, T265_16117
OG0000329	Smp_018240.1, Smp_018240.2	T265_09935
OG0000332	Smp_084870.1	T265_06732
OG0000333	Smp_044610.1, Smp_342180.1	T265_12002, T265_16355
OG0000334	Smp_135470.1, Smp_345090.1	T265_01786, T265_13083
OG0000335	Smp_153190.1	T265_00217
OG0000336	Smp_007760.1	T265_10908
OG0000336	Smp_130540.1	T265_00993
OG0000337	Smp_019490.1	T265_00559
OG0000339	Smp_246410.1	T265_13393
OG0000340	Smp_031770.1, Smp_031770.2	T265_02762
OG0000342	Smp_071630.1	T265_06197
OG0000342	Smp_022810.1	T265_03316
OG0000342	Smp_004910.1	T265_12666
OG0000343	Smp_033530.1, Smp_140270.1, Smp_033540.1	T265_13980
OG0000344	Smp_153780.1	T265_08425
OG0000345	Smp_089460.1	T265_05949
OG0000346	Smp_141230.1	T265_11581
OG0000346	Smp_130250.1	T265_02834
OG0000347	Smp_160940.1	T265_10741
OG0000348	Smp_347690.1, Smp_347690.2	T265_16293, T265_14984, T265_16184
OG0000349	Smp_130750.1	T265_04375
OG0000350	Smp_079650.1	T265_06604
OG0000351	Smp_133790.1	T265_06873
OG0000352	Smp_315890.1	T265_13524
OG0000353	Smp_126740.1	T265_07437
OG0000354	Smp_304130.1, Smp_304130.2	T265_10467
OG0000355	Smp_158050.1	T265_00276, T265_16001
OG0000356	Smp_332940.1	T265_05555
OG0000357	Smp_040560.1	T265_04749
OG0000359	Smp_194800.1	T265_02465
OG0000360	Smp_039640.1	T265_09152
OG0000361	Smp_157340.1	T265_00382
OG0000362	Smp_246570.1	T265_09349
OG0000363	Smp_302930.1	T265_04138
OG0000364	Smp_164940.1	T265_04227
OG0000365	Smp_190770.1, Smp_325650.1	T265_13943
OG0000366	Smp_147240.1	T265_09296, T265_14802
OG0000367	Smp_006700.1	T265_01910
OG0000368	Smp_244010.1	T265_13246, T265_13243
OG0000369	Smp_171610.1	T265_07721, T265_07722
OG0000370	Smp_147950.1, Smp_147950.2	T265_00271, T265_00274, T265_03617, T265_00269, T265_00272
OG0000371	Smp_302090.1	T265_06459
OG0000372	Smp_091840.1, Smp_091820.1	T265_01134, T265_03329
OG0000373	Smp_025260.1	T265_14558
OG0000374	Smp_099850.1	T265_11863
OG0000375	Smp_191870.1	T265_06672
OG0000376	Smp_347860.1	T265_11878
OG0000378	Smp_163210.3, Smp_163210.1, Smp_163210.2	T265_05203
OG0000380	Smp_070380.1	T265_15157, T265_03707
OG0000381	Smp_105410.1	T265_00434, T265_15881
OG0000381	Smp_012440.1	T265_00435
OG0000382	Smp_120670.1, Smp_176180.1, Smp_070250.1, Smp_336880.1, Smp_154260.1, Smp_176170.1, Smp_176160.1, Smp_154290.1	T265_02482
OG0000383	Smp_142650.2, Smp_142650.1	T265_08239
OG0000384	Smp_316270.1, Smp_315420.1	T265_09198, T265_09197
OG0000385	Smp_326080.1	T265_01125
OG0000385	Smp_326090.1	T265_09329, T265_09330
OG0000386	Smp_163760.1	T265_11583
OG0000387	Smp_169140.1, Smp_320670.1	T265_06420
OG0000388	Smp_344630.1, Smp_344630.2	T265_11998
OG0000389	Smp_137210.1	T265_00782
OG0000390	Smp_069960.1	T265_11108, T265_11109
OG0000391	Smp_163340.1	T265_09227
OG0000392	Smp_096020.1	T265_14483
OG0000393	Smp_171540.1	T265_15423
OG0000394	Smp_018760.1	T265_08783
OG0000395	Smp_149200.1	T265_08193
OG0000396	Smp_126300.1	T265_13488
OG0000397	Smp_027390.1	T265_01775
OG0000398	Smp_244150.1, Smp_160360.1, Smp_078930.1	T265_10761, T265_10760
OG0000399	Smp_141290.4, Smp_141290.2, Smp_141290.1, Smp_141290.3, Smp_141390.1	T265_14889, T265_03269
OG0000400	Smp_335630.1, Smp_303270.1, Smp_303290.1, Smp_173150.1	T265_14201, T265_08063, T265_08065, T265_10204
OG0000401	Smp_144770.1	T265_05655
OG0000405	Smp_068060.1	T265_09724
OG0000406	Smp_143240.1	T265_05341
OG0000407	Smp_308420.1	T265_12731
OG0000408	Smp_345870.1	T265_07479
