Orthogroup	schistosoma_mansoni	schistosoma_margrebowiei
OG0000018	Smp_350200.1, Smp_247320.1, Smp_266740.1	SMRG1_78440.1, SMRG1_78450.2, SMRG1_22460.1, SMRG1_83740.11, SMRG1_22460.4, SMRG1_15410.7, SMRG1_15410.8, SMRG1_15410.9, SMRG1_12370.1, SMRG1_21180.1, SMRG1_21180.2, SMRG1_21180.3, SMRG1_78450.3, SMRG1_78450.5, SMRG1_78450.1, SMRG1_78450.4, SMRG1_70990.5, SMRG1_70990.7, SMRG1_70990.9, SMRG1_83740.15, SMRG1_83740.7, SMRG1_83740.1, SMRG1_83740.2, SMRG1_83740.5, SMRG1_83740.6, SMRG1_83740.13, SMRG1_83740.8, SMRG1_15410.5, SMRG1_15410.6, SMRG1_15410.1, SMRG1_15410.10, SMRG1_15410.2, SMRG1_15410.11, SMRG1_15410.3, SMRG1_15410.4, SMRG1_83740.10, SMRG1_83740.14, SMRG1_83740.3, SMRG1_83740.4, SMRG1_69180.2, SMRG1_22460.5, SMRG1_22460.2, SMRG1_22460.3, SMRG1_83740.9, SMRG1_83740.16, SMRG1_83740.12
OG0000019	Smp_102690.1	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2
OG0000019	Smp_179320.1	SMRG1_36800.13, SMRG1_36800.14
OG0000020	Smp_341270.1	SMRG1_93430.1, SMRG1_93400.1, SMRG1_93400.2, SMRG1_93400.3, SMRG1_93500.1, SMRG1_93550.2, SMRG1_93550.3, SMRG1_93550.1, SMRG1_93350.1, SMRG1_93490.1, SMRG1_93490.5, SMRG1_93490.3, SMRG1_93490.4, SMRG1_93490.6, SMRG1_93490.2, SMRG1_93490.7, SMRG1_93450.1, SMRG1_93450.2, SMRG1_93450.3, SMRG1_93260.1, SMRG1_93260.2
OG0000021	Smp_145560.1	SMRG1_7940.1, SMRG1_7940.2
OG0000021	Smp_134980.1	SMRG1_5610.1
OG0000021	Smp_245140.1	SMRG1_5620.1
OG0000021	Smp_135010.1	SMRG1_5580.1, SMRG1_5580.2
OG0000021	Smp_245150.5	SMRG1_5590.2, SMRG1_5590.4
OG0000021	Smp_245160.1	SMRG1_5600.1
OG0000021	Smp_135020.1	SMRG1_5560.1, SMRG1_5560.2
OG0000022	Smp_163420.1	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6
OG0000024	Smp_103790.1	SMRG1_23720.1
OG0000024	Smp_016780.1	SMRG1_92680.1
OG0000024	Smp_027920.1	SMRG1_64800.1
OG0000024	Smp_103140.1	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3
OG0000026	Smp_055780.1	SMRG1_80090.1, SMRG1_80090.2
OG0000026	Smp_336100.1	SMRG1_72900.1
OG0000026	Smp_089200.1, Smp_089200.2	SMRG1_72830.1
OG0000027	Smp_332600.2	SMRG1_40140.12, SMRG1_40140.33
OG0000027	Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8	SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2
OG0000027	Smp_332600.4, Smp_332600.7	SMRG1_40140.5
OG0000027	Smp_332600.3, Smp_332600.5	SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5
OG0000029	Smp_072870.1	SMRG1_58130.1
OG0000029	Smp_203130.1	SMRG1_88400.1
OG0000029	Smp_202970.1	SMRG1_88360.1
OG0000029	Smp_307010.1	SMRG1_19850.1
OG0000029	Smp_307020.1	SMRG1_19850.1
OG0000029	Smp_183710.1	SMRG1_89280.1
OG0000030	Smp_174960.1	SMRG1_6460.1
OG0000031	Smp_017010.1	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5
OG0000032	Smp_079970.1	SMRG1_9970.1, SMRG1_9940.1
OG0000032	Smp_079960.1	SMRG1_9950.1, SMRG1_9950.2
OG0000032	Smp_030730.1	SMRG1_57890.1
OG0000032	Smp_313990.1, Smp_164480.1	SMRG1_9210.1
OG0000032	Smp_313980.1	SMRG1_80130.1
OG0000034	Smp_009430.1	SMRG1_92940.1
OG0000034	Smp_308940.1, Smp_308930.1	SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1
OG0000034	Smp_309980.1, Smp_327270.1	SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1
OG0000034	Smp_168550.1, Smp_331970.1	SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1
OG0000035	Smp_045860.1	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5
OG0000037	Smp_157980.1, Smp_157980.2	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4
OG0000037	Smp_308100.1, Smp_308110.1	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6
OG0000038	Smp_201680.1, Smp_185420.1, Smp_350130.1, Smp_349900.1, Smp_350400.1, Smp_350340.1, Smp_350250.1, Smp_200230.1, Smp_200960.1, Smp_205660.1	SMRG1_72890.1
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8
OG0000041	Smp_158210.1	SMRG1_41350.1, SMRG1_49530.1
OG0000042	Smp_247180.1	SMRG1_40000.1, SMRG1_40000.2
OG0000042	Smp_247170.1	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3
OG0000042	Smp_048050.1, Smp_048050.2, Smp_049230.1	SMRG1_39890.1, SMRG1_39890.2
OG0000042	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1
OG0000043	Smp_083340.1	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3
OG0000044	Smp_155530.1	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2
OG0000044	Smp_062080.1	SMRG1_86970.2, SMRG1_86970.1
OG0000045	Smp_094770.1	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4
OG0000045	Smp_175400.1	SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1, SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3
OG0000046	Smp_120020.1, Smp_114870.1, Smp_026790.1, Smp_242960.1, Smp_109240.1, Smp_174250.1, Smp_175190.1, Smp_101840.1, Smp_197170.1, Smp_026200.1	SMRG1_46780.1, SMRG1_69180.3, SMRG1_69180.4, SMRG1_69180.5, SMRG1_69180.6, SMRG1_69180.1, SMRG1_69050.1, SMRG1_69050.2, SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2
OG0000047	Smp_076460.1	SMRG1_60690.1, SMRG1_6040.1, SMRG1_20040.1, SMRG1_81660.1, SMRG1_22990.1, SMRG1_23000.1, SMRG1_23000.2, SMRG1_23000.3
OG0000048	Smp_349350.1	SMRG1_70230.1, SMRG1_45620.1, SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1
OG0000048	Smp_340140.1	SMRG1_22510.1
OG0000048	Smp_350510.1, Smp_165600.1, Smp_165590.1, Smp_349560.1, Smp_349630.1, Smp_329780.1, Smp_192050.1, Smp_349090.1, Smp_349670.1, Smp_349250.1, Smp_349190.1, Smp_349240.1, Smp_349210.1, Smp_349160.1, Smp_350320.1, Smp_350220.1, Smp_349690.1, Smp_349700.1, Smp_349730.1, Smp_350230.1, Smp_349710.1, Smp_349720.1, Smp_349570.1, Smp_179390.1, Smp_349650.1, Smp_349740.1, Smp_350150.1, Smp_350210.1, Smp_350160.1, Smp_350160.2, Smp_349070.1, Smp_349050.1, Smp_349150.1, Smp_179970.1, Smp_349580.1, Smp_350240.1, Smp_194130.1, Smp_173350.1, Smp_349100.1, Smp_349520.1, Smp_349530.1	SMRG1_84630.1
OG0000049	Smp_315900.2, Smp_315900.1	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8
OG0000049	Smp_343120.1	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6
OG0000050	Smp_311520.1, Smp_245890.1	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5
OG0000052	Smp_034920.1	SMRG1_28750.1
OG0000052	Smp_332890.1	SMRG1_3130.1
OG0000052	Smp_130810.1	SMRG1_980.1
OG0000052	Smp_303940.1	SMRG1_600.1
OG0000052	Smp_159840.1	SMRG1_67530.1
OG0000053	Smp_075220.1	SMRG1_16530.1, SMRG1_16530.2
OG0000054	Smp_106390.1	SMRG1_62790.1, SMRG1_22860.1, SMRG1_96460.1, SMRG1_2760.1, SMRG1_56270.1
OG0000055	Smp_309720.1, Smp_309710.1	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3
OG0000056	Smp_168030.1	SMRG1_75260.1, SMRG1_74860.1, SMRG1_67770.1, SMRG1_14250.1, SMRG1_62560.1, SMRG1_75270.1, SMRG1_75270.2, SMRG1_88480.1, SMRG1_45130.1, SMRG1_2550.1, SMRG1_23560.1, SMRG1_67170.1, SMRG1_94190.1, SMRG1_30140.1
OG0000058	Smp_247950.1	SMRG1_91250.1
OG0000058	Smp_247290.1	SMRG1_80930.1
OG0000058	Smp_054010.1	SMRG1_80990.1
OG0000058	Smp_150990.1, Smp_150990.2	SMRG1_80920.1, SMRG1_80920.2
OG0000060	Smp_123510.1	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9
OG0000061	Smp_212360.2, Smp_212360.1	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16
OG0000062	Smp_332930.1	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3
OG0000063	Smp_171820.1	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9
OG0000064	Smp_332910.1, Smp_332910.2	SMRG1_4070.1, SMRG1_4070.2
OG0000065	Smp_085010.1, Smp_085010.2	SMRG1_23080.1
OG0000065	Smp_067060.1, Smp_103610.1, Smp_344940.1	SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3
OG0000066	Smp_040970.1	SMRG1_37230.7, SMRG1_37230.5
OG0000067	Smp_000260.1	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13
OG0000068	Smp_002410.1	SMRG1_54400.1
OG0000068	Smp_041430.1	SMRG1_95970.1
OG0000068	Smp_301620.1	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1
OG0000068	Smp_009760.1	SMRG1_36660.5
OG0000068	Smp_034840.1	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1
OG0000069	Smp_155020.1	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8
OG0000070	Smp_315710.1	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9
OG0000071	Smp_033600.1	SMRG1_34220.1
OG0000072	Smp_343430.1	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3
OG0000074	Smp_164380.1	SMRG1_89070.1
OG0000074	Smp_307260.1	SMRG1_10950.2, SMRG1_10950.1
OG0000074	Smp_085690.1	SMRG1_89160.1
OG0000075	Smp_246680.1	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14
OG0000076	Smp_141980.3	SMRG1_91970.1
OG0000076	Smp_134140.2, Smp_134140.1	SMRG1_3760.1, SMRG1_3760.2
OG0000077	Smp_244680.1, Smp_244680.2	SMRG1_10440.1
OG0000078	Smp_092530.1	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15
OG0000079	Smp_129050.1	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6
OG0000081	Smp_072670.1	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1
OG0000082	Smp_132900.1	SMRG1_10080.1
OG0000084	Smp_179580.1	SMRG1_86360.1, SMRG1_86560.1
OG0000084	Smp_201970.1	SMRG1_41710.1, SMRG1_62000.1, SMRG1_83000.1, SMRG1_15270.1, SMRG1_45510.1, SMRG1_64780.1
OG0000085	Smp_127430.1	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7
OG0000086	Smp_149300.1	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9
OG0000087	Smp_245790.1	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6
OG0000088	Smp_028690.1, Smp_028690.2	SMRG1_2980.1
OG0000088	Smp_131890.1	SMRG1_2970.1
OG0000090	Smp_310930.1	SMRG1_50660.11, SMRG1_50660.1, SMRG1_50660.4, SMRG1_50660.5, SMRG1_50660.10, SMRG1_50660.2, SMRG1_50660.3, SMRG1_50660.6, SMRG1_50660.7, SMRG1_50660.8, SMRG1_50660.9
OG0000091	Smp_146060.1	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6
OG0000092	Smp_180470.1, Smp_180470.2	SMRG1_2010.1, SMRG1_2020.1
OG0000092	Smp_064870.1	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4
OG0000093	Smp_049550.1	SMRG1_40250.1
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4
OG0000094	Smp_128570.1	SMRG1_8140.1, SMRG1_8140.2
OG0000095	Smp_162630.1	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2
OG0000097	Smp_168050.1	SMRG1_6670.1
OG0000098	Smp_072330.1	SMRG1_41340.1
OG0000098	Smp_340630.1, Smp_340630.2	SMRG1_67360.1
OG0000099	Smp_000100.1	SMRG1_68280.1
OG0000099	Smp_317420.1	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4
OG0000102	Smp_036590.1	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4
OG0000102	Smp_138050.1	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2
OG0000103	Smp_067000.1	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1
OG0000104	Smp_006250.1	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13
OG0000105	Smp_019790.1	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6
OG0000106	Smp_345820.1	SMRG1_74260.1
OG0000106	Smp_168430.1, Smp_336130.1	SMRG1_74290.1
OG0000107	Smp_089430.1	SMRG1_56920.1
OG0000107	Smp_046690.3, Smp_046690.1	SMRG1_51720.1
OG0000108	Smp_093930.1	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10
OG0000110	Smp_333980.1	SMRG1_29960.1
OG0000110	Smp_055260.1	SMRG1_29930.1, SMRG1_29930.2
OG0000110	Smp_129920.1	SMRG1_29970.1
OG0000110	Smp_129900.1	SMRG1_29980.2, SMRG1_29980.1
OG0000111	Smp_072140.1	SMRG1_41440.1
OG0000111	Smp_146600.1, Smp_146600.2	SMRG1_52570.1
OG0000111	Smp_330190.1	SMRG1_31250.1, SMRG1_31250.3
OG0000111	Smp_330250.1	SMRG1_31260.1, SMRG1_31250.2
OG0000111	Smp_104110.1	SMRG1_31280.1
