Orthogroup	schistosoma_mansoni	schistosoma_turkestanicum
OG0000111	Smp_330190.1, Smp_330250.1	STRK1_32480.1, STRK1_32510.1
OG0000112	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1
OG0000114	Smp_144700.1	STRK1_91030.1, STRK1_91030.2
OG0000115	Smp_094320.1	STRK1_28410.1
OG0000116	Smp_013840.1, Smp_013840.2	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2
OG0000117	Smp_014170.1	STRK1_30040.1
OG0000118	Smp_319790.1, Smp_148080.1	STRK1_37870.1
OG0000118	Smp_344080.1	STRK1_109120.1, STRK1_37860.1
OG0000118	Smp_344070.1, Smp_319780.1, Smp_319770.1, Smp_319770.2	STRK1_109130.1, STRK1_37850.1
OG0000119	Smp_347870.1, Smp_247020.1	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7
OG0000120	Smp_167850.1	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4
OG0000122	Smp_344340.1	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2
OG0000123	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4	STRK1_73130.1, STRK1_73130.2
OG0000125	Smp_097830.2, Smp_097830.1, Smp_097830.3	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1
OG0000126	Smp_008620.1	STRK1_68690.1
OG0000127	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2
OG0000128	Smp_332660.1	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2
OG0000129	Smp_140420.1	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2
OG0000130	Smp_060420.1, Smp_060420.2	STRK1_79420.1, STRK1_79420.2
OG0000131	Smp_322720.1	STRK1_12320.1
OG0000131	Smp_342380.1	STRK1_12290.1
OG0000131	Smp_155520.1, Smp_155520.2, Smp_336270.1	STRK1_83820.1, STRK1_83830.1, STRK1_83850.1, STRK1_83860.1
OG0000132	Smp_028030.1	STRK1_36280.1, STRK1_36280.2
OG0000133	Smp_072980.1	STRK1_32070.1
OG0000134	Smp_032480.1	STRK1_18540.1
OG0000135	Smp_046060.1, Smp_046060.2	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2
OG0000136	Smp_174310.1	STRK1_7170.1
OG0000137	Smp_320100.1	STRK1_41450.1
OG0000137	Smp_320110.1	STRK1_41430.1, STRK1_41430.2
OG0000137	Smp_334920.1	STRK1_41510.1
OG0000137	Smp_166340.1	STRK1_41480.1, STRK1_41490.1
OG0000137	Smp_081900.1	STRK1_41470.1
OG0000137	Smp_166350.1	STRK1_41460.1
OG0000138	Smp_158600.1	STRK1_84500.1
OG0000138	Smp_335620.1	STRK1_42170.1
OG0000139	Smp_031040.1	STRK1_16260.1
OG0000140	Smp_059210.1, Smp_059210.2	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2
OG0000142	Smp_139680.1	STRK1_18420.1
OG0000142	Smp_120070.1, Smp_203950.1	STRK1_18430.1, STRK1_18430.2
OG0000142	Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1	STRK1_18440.1, STRK1_18460.1
OG0000143	Smp_202190.1, Smp_301550.1, Smp_326730.1	STRK1_65810.1, STRK1_65820.1
OG0000144	Smp_034190.1	STRK1_48850.1
OG0000144	Smp_097660.1	STRK1_24000.1
OG0000144	Smp_166400.1	STRK1_52920.1, STRK1_52940.1
OG0000145	Smp_110280.1, Smp_110280.2	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1
OG0000146	Smp_016630.1	STRK1_86910.1
OG0000146	Smp_246100.1	STRK1_53240.1
OG0000146	Smp_020080.1	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3
OG0000146	Smp_016250.1	STRK1_45220.1
OG0000147	Smp_019170.1	STRK1_30920.1
OG0000148	Smp_346640.1	STRK1_32430.1
OG0000149	Smp_123410.1	STRK1_51730.1, STRK1_51730.2
OG0000151	Smp_167920.1	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1
OG0000152	Smp_078310.1	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3
OG0000153	Smp_013950.1	STRK1_105080.1
OG0000153	Smp_169090.1	STRK1_52110.1
OG0000154	Smp_333260.1	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3
OG0000155	Smp_302040.1, Smp_302040.2, Smp_302040.3	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1
OG0000156	Smp_143840.1	STRK1_18130.1
OG0000156	Smp_039750.3, Smp_039750.1, Smp_039750.2	STRK1_18120.1
OG0000157	Smp_212410.1, Smp_212410.2	STRK1_65550.1
OG0000157	Smp_332710.1	STRK1_40030.1
OG0000157	Smp_153100.1	STRK1_90020.1, STRK1_90030.1
OG0000158	Smp_068960.1	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4
OG0000159	Smp_129520.1	STRK1_59740.1
OG0000160	Smp_136550.1	STRK1_5090.1, STRK1_5070.1
OG0000161	Smp_301780.1	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7
OG0000164	Smp_179910.1	STRK1_60530.1
OG0000164	Smp_062510.1	STRK1_73910.1
OG0000164	Smp_142450.1	STRK1_55190.1
OG0000164	Smp_071250.1	STRK1_29660.1
OG0000165	Smp_002820.1	STRK1_63320.1
OG0000166	Smp_173060.1	STRK1_84550.1
OG0000167	Smp_042550.1, Smp_042550.2	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2
OG0000168	Smp_137740.1, Smp_137740.2, Smp_350170.1, Smp_142860.1, Smp_336380.1	STRK1_1710.1, STRK1_1710.2, STRK1_1710.3, STRK1_1710.4, STRK1_1710.5, STRK1_1330.1, STRK1_1340.1, STRK1_1720.1, STRK1_1720.2
OG0000169	Smp_155310.1	STRK1_97570.1
OG0000169	Smp_140000.1	STRK1_90390.1
OG0000170	Smp_343440.1	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1
OG0000172	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3	STRK1_3970.1
OG0000173	Smp_344580.1	STRK1_80280.1
OG0000175	Smp_195090.1	STRK1_39380.1
OG0000175	Smp_169200.1	STRK1_39370.1
OG0000175	Smp_169190.1	STRK1_39360.1
OG0000175	Smp_086530.1	STRK1_39350.1
OG0000177	Smp_333480.1, Smp_333480.2	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1
OG0000178	Smp_150750.1	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2
OG0000179	Smp_134080.1	STRK1_53790.1
OG0000179	Smp_246010.1	STRK1_53800.1
OG0000180	Smp_314210.1, Smp_345210.1	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4
OG0000180	Smp_314200.1, Smp_317150.1	STRK1_79020.1, STRK1_104300.1
OG0000182	Smp_159990.1	STRK1_55980.1
OG0000182	Smp_020270.1, Smp_020270.2	STRK1_36970.1
OG0000183	Smp_152870.1	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2
OG0000184	Smp_167750.1	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1
OG0000184	Smp_004220.1	STRK1_49320.1
OG0000185	Smp_057120.1, Smp_057120.2	STRK1_34010.1
OG0000186	Smp_334080.1	STRK1_70010.1
OG0000187	Smp_014670.1	STRK1_46740.1
OG0000188	Smp_125770.1	STRK1_31940.1
OG0000189	Smp_347670.1	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7
OG0000190	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3	STRK1_46160.1, STRK1_46160.2
OG0000191	Smp_154670.1	STRK1_33090.1
OG0000191	Smp_187360.1	STRK1_33020.1, STRK1_33020.2, STRK1_33020.3
OG0000191	Smp_154680.1	STRK1_33080.1
OG0000192	Smp_009990.1	STRK1_64420.1
OG0000193	Smp_151750.1, Smp_211070.1	STRK1_55830.1
OG0000194	Smp_145190.1, Smp_145190.2	STRK1_74260.1
OG0000195	Smp_089930.1	STRK1_50680.1, STRK1_50680.2
OG0000196	Smp_051090.1	STRK1_2310.1, STRK1_87510.1
OG0000196	Smp_337400.1, Smp_337400.3	STRK1_11370.1
OG0000197	Smp_020070.1	STRK1_36760.1
OG0000198	Smp_342030.1	STRK1_99590.1, STRK1_24300.1
OG0000199	Smp_033950.1	STRK1_31630.1, STRK1_31630.2
OG0000201	Smp_158560.1, Smp_158560.2	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2
OG0000202	Smp_129710.1	STRK1_49150.1
OG0000203	Smp_168040.1	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1
OG0000204	Smp_336300.1	STRK1_83880.1, STRK1_83920.1
OG0000204	Smp_309060.1, Smp_331260.1, Smp_089330.1, Smp_089320.1, Smp_170890.2	STRK1_83900.1, STRK1_83910.1
OG0000204	Smp_170890.1	STRK1_83950.1
OG0000204	Smp_089370.1	STRK1_83890.1
OG0000205	Smp_129770.1, Smp_129770.2	STRK1_2090.1
OG0000206	Smp_031920.1	STRK1_35690.4, STRK1_35690.5
OG0000207	Smp_137320.1	STRK1_36180.1
OG0000207	Smp_027940.1	STRK1_36170.1
OG0000208	Smp_312880.1	STRK1_70670.1
OG0000209	Smp_214240.1, Smp_128390.1	STRK1_12090.7, STRK1_12090.2, STRK1_12090.3, STRK1_12090.4, STRK1_12090.5, STRK1_12090.6, STRK1_12090.1
OG0000210	Smp_143690.1, Smp_143690.2	STRK1_82570.1, STRK1_82570.2, STRK1_82580.1, STRK1_82590.1
OG0000211	Smp_033050.1	STRK1_6370.1
OG0000212	Smp_123940.1	STRK1_22730.1
OG0000213	Smp_333170.1	STRK1_3000.1
OG0000214	Smp_134410.1, Smp_134410.3	STRK1_6400.1, STRK1_6400.2, STRK1_6400.5, STRK1_6400.4, STRK1_6400.3
OG0000217	Smp_343380.1	STRK1_31410.1, STRK1_31420.1
OG0000218	Smp_244280.1	STRK1_14420.1
OG0000219	Smp_162080.1	STRK1_61660.1
OG0000220	Smp_329410.1, Smp_126840.1	STRK1_96360.1, STRK1_75400.1, STRK1_75400.2
OG0000221	Smp_165820.1	STRK1_9390.1, STRK1_9390.2
OG0000221	Smp_153140.1	STRK1_17630.1
OG0000222	Smp_313450.1	STRK1_72970.1, STRK1_72970.2
OG0000223	Smp_159100.1	STRK1_9570.1
OG0000224	Smp_153770.1	STRK1_3630.1, STRK1_3630.2, STRK1_3630.3
OG0000225	Smp_017730.1	STRK1_17080.1
OG0000226	Smp_124820.1	STRK1_110110.1, STRK1_111280.1, STRK1_36050.1
OG0000227	Smp_122680.1	STRK1_105550.1, STRK1_67030.1
OG0000228	Smp_104030.1	STRK1_37190.1
OG0000229	Smp_307880.1	STRK1_57310.1, STRK1_57310.2
OG0000230	Smp_308600.1, Smp_308590.1	STRK1_64230.1, STRK1_64230.2
OG0000231	Smp_333830.1, Smp_170490.1, Smp_344860.1, Smp_327960.1	STRK1_110380.1, STRK1_50370.1, STRK1_50380.1
OG0000231	Smp_327950.1	STRK1_110160.1
OG0000232	Smp_331240.1, Smp_315230.1, Smp_317430.1, Smp_331230.1, Smp_331230.2	STRK1_99690.1, STRK1_83240.1, STRK1_83250.1, STRK1_83250.2, STRK1_106480.1, STRK1_83260.1, STRK1_99680.1, STRK1_83320.1, STRK1_83330.1, STRK1_89390.1, STRK1_95940.1, STRK1_110620.1, STRK1_89380.1, STRK1_110630.1, STRK1_109600.1, STRK1_109620.1, STRK1_109610.1, STRK1_67560.3, STRK1_67560.1, STRK1_67560.2, STRK1_106670.1
OG0000234	Smp_337850.1	STRK1_32720.1, STRK1_100400.1, STRK1_100400.2
OG0000235	Smp_342880.1, Smp_342880.2	STRK1_16390.1, STRK1_16390.2
OG0000236	Smp_147620.1	STRK1_48030.1
OG0000237	Smp_130030.1	STRK1_46580.1, STRK1_46580.2
OG0000238	Smp_158450.1	STRK1_33370.1
OG0000239	Smp_163610.1	STRK1_25400.1
OG0000239	Smp_336250.1	STRK1_82380.1, STRK1_96300.1, STRK1_111340.1, STRK1_82370.1
OG0000240	Smp_168370.2	STRK1_36510.1
OG0000240	Smp_168370.1	STRK1_36510.2
OG0000241	Smp_171030.1	STRK1_22340.1
OG0000242	Smp_346520.1	STRK1_7310.1
OG0000243	Smp_246870.1	STRK1_15380.2, STRK1_15380.5, STRK1_15380.3, STRK1_15380.4, STRK1_15380.1
OG0000244	Smp_125550.1	STRK1_5740.1
OG0000245	Smp_315810.1, Smp_315810.2	STRK1_2610.1, STRK1_2610.2, STRK1_2620.1
OG0000246	Smp_334490.1	STRK1_110700.1
OG0000247	Smp_340410.1	STRK1_6610.2, STRK1_6610.1, STRK1_6610.3, STRK1_96250.1
OG0000248	Smp_023360.1	STRK1_62100.3, STRK1_62100.4, STRK1_62100.1, STRK1_62100.2
OG0000249	Smp_340960.1	STRK1_3790.1
