Orthogroup	schistosoma_mansoni	schistosoma_rodhaini
OG0000018	Smp_350200.1	SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6
OG0000018	Smp_247320.1	SRDH2_58370.1
OG0000018	Smp_266740.1	SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1
OG0000019	Smp_102690.1	SRDH2_34300.1
OG0000019	Smp_179320.1	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4
OG0000020	Smp_341270.1	SRDH2_95300.1, SRDH2_95200.4, SRDH2_95200.5, SRDH2_95200.3, SRDH2_95200.9, SRDH2_95200.1, SRDH2_95200.2, SRDH2_95200.6, SRDH2_95200.8, SRDH2_95280.1, SRDH2_95200.7
OG0000021	Smp_145560.1	SRDH2_8550.1
OG0000021	Smp_134980.1	SRDH2_5890.1
OG0000021	Smp_245140.1	SRDH2_5900.1
OG0000021	Smp_135010.1	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1
OG0000021	Smp_245150.3	SRDH2_5870.2, SRDH2_5870.1
OG0000021	Smp_245150.5	SRDH2_101980.2
OG0000021	Smp_245150.4	SRDH2_101980.3
OG0000021	Smp_245150.2	SRDH2_101980.4
OG0000021	Smp_245150.6	SRDH2_101980.4
OG0000021	Smp_245150.1	SRDH2_102100.1
OG0000021	Smp_245160.1	SRDH2_102090.1, SRDH2_5880.1
OG0000021	Smp_135020.1	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4
OG0000022	Smp_163420.1	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3
OG0000024	Smp_103790.1	SRDH2_24010.1
OG0000024	Smp_016780.1	SRDH2_94350.1
OG0000024	Smp_027920.1	SRDH2_67860.1
OG0000024	Smp_103140.1	SRDH2_82380.1
OG0000026	Smp_055780.1	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6
OG0000026	Smp_336100.1	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7
OG0000026	Smp_089200.1, Smp_089200.2	SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6
OG0000027	Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8	SRDH2_40180.2, SRDH2_40180.4, SRDH2_40180.5, SRDH2_40180.1
OG0000027	Smp_332600.3, Smp_332600.5	SRDH2_40180.3
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3
OG0000029	Smp_072870.1	SRDH2_58920.1
OG0000029	Smp_203130.1	SRDH2_90020.1
OG0000029	Smp_202970.1	SRDH2_90050.1
OG0000029	Smp_307010.1	SRDH2_20870.1
OG0000029	Smp_307020.1	SRDH2_20870.1
OG0000029	Smp_183710.1	SRDH2_91070.1
OG0000029	Smp_306600.1	SRDH2_91060.1
OG0000030	Smp_174960.1	SRDH2_6780.1
OG0000031	Smp_017010.1	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5
OG0000032	Smp_079970.1	SRDH2_10690.1
OG0000032	Smp_030730.1	SRDH2_58770.1, SRDH2_58770.3, SRDH2_58770.2
OG0000032	Smp_164480.1	SRDH2_23570.1
OG0000032	Smp_078040.1	SRDH2_9820.1
OG0000032	Smp_313980.1	SRDH2_81680.1
OG0000034	Smp_009430.1	SRDH2_94750.1
OG0000034	Smp_308940.1	SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1
OG0000034	Smp_308930.1	SRDH2_94700.1, SRDH2_94450.1
OG0000034	Smp_309980.1	SRDH2_58720.1
OG0000034	Smp_327270.1	SRDH2_58700.1
OG0000034	Smp_168550.1	SRDH2_58680.1
OG0000034	Smp_331970.1	SRDH2_58640.1
OG0000035	Smp_045860.1	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10
OG0000037	Smp_157980.1, Smp_157980.2	SRDH2_61520.1
OG0000037	Smp_308100.1, Smp_308110.1	SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14
OG0000038	Smp_201680.1	SRDH2_47830.1
OG0000038	Smp_185420.1	SRDH2_83970.1, SRDH2_90160.1, SRDH2_50090.1
OG0000038	Smp_350130.1	SRDH2_101350.1
OG0000038	Smp_349900.1	SRDH2_7630.1
OG0000038	Smp_350400.1	SRDH2_78250.1, SRDH2_78250.2, SRDH2_83380.1, SRDH2_98050.1
OG0000038	Smp_350340.1	SRDH2_17960.1, SRDH2_36860.1, SRDH2_17960.2, SRDH2_36860.2, SRDH2_7890.1, SRDH2_36860.3, SRDH2_84340.1, SRDH2_22660.1, SRDH2_7900.1
OG0000038	Smp_350250.1, Smp_200230.1	SRDH2_15040.1
OG0000038	Smp_200960.1	SRDH2_43890.1
OG0000038	Smp_205660.1	SRDH2_16780.1
OG0000040	Smp_014400.1	SRDH2_53910.2
OG0000040	Smp_014400.1	SRDH2_53910.7
OG0000040	Smp_014400.1	SRDH2_53910.8
OG0000040	Smp_014400.2	SRDH2_53910.12
OG0000040	Smp_014400.2	SRDH2_53910.16
OG0000040	Smp_014400.2	SRDH2_53910.3
OG0000040	Smp_014400.2	SRDH2_53910.5
OG0000040	Smp_014400.2	SRDH2_53910.6
OG0000040	Smp_328330.1	SRDH2_53920.1
OG0000040	Smp_328330.2	SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9
OG0000041	Smp_158210.1	SRDH2_51400.1, SRDH2_100240.1, SRDH2_59560.1, SRDH2_1710.1, SRDH2_120.1, SRDH2_101540.1, SRDH2_49590.1, SRDH2_50260.1, SRDH2_39090.1, SRDH2_42060.1, SRDH2_70230.1, SRDH2_65040.1, SRDH2_60160.1, SRDH2_97680.1
OG0000042	Smp_247180.1	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4
OG0000042	Smp_247170.1	SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3
OG0000042	Smp_048050.1, Smp_048050.2, Smp_049230.1	SRDH2_40000.1
OG0000042	Smp_302320.1	SRDH2_101200.1
OG0000042	Smp_185680.2	SRDH2_101220.1
OG0000042	Smp_185680.2	SRDH2_101240.1
OG0000042	Smp_302350.1	SRDH2_101220.1
OG0000042	Smp_302350.1	SRDH2_101240.1
OG0000042	Smp_303690.1	SRDH2_101220.1
OG0000042	Smp_303690.1	SRDH2_101240.1
OG0000042	Smp_302270.1, Smp_302280.1	SRDH2_40020.1
OG0000042	Smp_302290.1	SRDH2_40010.1, SRDH2_40010.2
OG0000043	Smp_083340.1	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4
OG0000044	Smp_155560.1	SRDH2_88730.1
OG0000044	Smp_062120.1	SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2
OG0000044	Smp_305550.1	SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8
OG0000044	Smp_155530.1	SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8
OG0000044	Smp_062080.1	SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3
OG0000045	Smp_094770.1	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2
OG0000046	Smp_114870.1, Smp_026790.1	SRDH2_9900.1, SRDH2_102580.1
OG0000046	Smp_242960.1	SRDH2_82820.1
OG0000046	Smp_174250.1	SRDH2_97800.1
OG0000046	Smp_175190.1	SRDH2_83880.1
OG0000046	Smp_101840.1, Smp_197170.1, Smp_026200.1	SRDH2_84180.1
OG0000048	Smp_349350.1	SRDH2_101650.1, SRDH2_58870.1
OG0000048	Smp_165590.1	SRDH2_150.1, SRDH2_95860.1, SRDH2_95870.1
OG0000048	Smp_349560.1, Smp_349630.1	SRDH2_57030.1, SRDH2_71960.1, SRDH2_95700.1
OG0000048	Smp_329780.1, Smp_192050.1	SRDH2_95730.1
OG0000048	Smp_349250.1	SRDH2_82840.1
OG0000048	Smp_349190.1	SRDH2_82850.1
OG0000048	Smp_349240.1	SRDH2_82860.1
OG0000048	Smp_349210.1	SRDH2_82880.1, SRDH2_82990.1
OG0000048	Smp_350220.1, Smp_349690.1, Smp_349700.1, Smp_349730.1, Smp_350230.1	SRDH2_100630.1
OG0000048	Smp_349710.1, Smp_349720.1, Smp_349570.1	SRDH2_82780.1, SRDH2_82780.2
OG0000048	Smp_179390.1, Smp_349650.1, Smp_349740.1, Smp_350150.1	SRDH2_21730.1, SRDH2_21740.1
OG0000048	Smp_350210.1, Smp_350160.1, Smp_350160.2, Smp_349070.1, Smp_349050.1	SRDH2_95740.1, SRDH2_99960.1
OG0000048	Smp_349150.1	SRDH2_95690.1, SRDH2_21750.1
OG0000048	Smp_179970.1	SRDH2_46020.1
OG0000048	Smp_349580.1	SRDH2_46030.1
OG0000048	Smp_350240.1	SRDH2_23620.1, SRDH2_23630.1, SRDH2_23620.2
OG0000048	Smp_194130.1, Smp_173350.1, Smp_349100.1, Smp_349520.1, Smp_349530.1	SRDH2_95660.1
OG0000049	Smp_315900.2	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5
OG0000049	Smp_315900.1	SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4
OG0000049	Smp_343120.1	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2
OG0000050	Smp_311520.1	SRDH2_54600.1
OG0000050	Smp_245890.1	SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9
OG0000051	Smp_204010.1, Smp_350270.1, Smp_202400.1	SRDH2_7370.1, SRDH2_47760.1
OG0000051	Smp_349420.1	SRDH2_32310.1, SRDH2_101190.1, SRDH2_82260.1, SRDH2_38480.1
OG0000051	Smp_201230.1	SRDH2_35680.1
OG0000051	Smp_350300.1	SRDH2_66920.1
OG0000052	Smp_034920.1	SRDH2_29050.1
OG0000052	Smp_332890.1	SRDH2_3320.1
OG0000052	Smp_130810.1	SRDH2_930.1
OG0000052	Smp_303940.1	SRDH2_1740.1
OG0000052	Smp_159840.1	SRDH2_69180.1
OG0000053	Smp_075220.1	SRDH2_18960.11, SRDH2_18960.7, SRDH2_18960.1, SRDH2_18960.10, SRDH2_18960.3, SRDH2_18960.4, SRDH2_18960.6, SRDH2_18960.8, SRDH2_18960.9, SRDH2_18960.2, SRDH2_18960.5
OG0000054	Smp_106390.1	SRDH2_41060.1, SRDH2_34600.1, SRDH2_94410.1, SRDH2_94400.1, SRDH2_94410.2, SRDH2_46330.1, SRDH2_46330.2, SRDH2_46330.3, SRDH2_46330.4, SRDH2_46330.5, SRDH2_80260.1, SRDH2_91570.1, SRDH2_91570.2, SRDH2_91570.3, SRDH2_91570.4, SRDH2_84440.1, SRDH2_49560.1, SRDH2_49560.2, SRDH2_49560.3, SRDH2_49560.4, SRDH2_49560.5, SRDH2_49560.6, SRDH2_12950.1
OG0000055	Smp_309720.1	SRDH2_71170.2, SRDH2_71170.3, SRDH2_71170.11, SRDH2_71170.16, SRDH2_71170.13, SRDH2_71170.4, SRDH2_71170.5, SRDH2_71170.6, SRDH2_71170.17, SRDH2_71170.23, SRDH2_71170.21, SRDH2_71190.1
OG0000055	Smp_309710.1	SRDH2_71170.1, SRDH2_71170.10, SRDH2_71170.12, SRDH2_71170.15, SRDH2_71170.19, SRDH2_71170.7, SRDH2_71170.8, SRDH2_71170.9
OG0000056	Smp_168030.1	SRDH2_86420.1, SRDH2_48280.1, SRDH2_23560.1, SRDH2_29690.1, SRDH2_33730.1, SRDH2_9340.1, SRDH2_41820.1, SRDH2_98390.1, SRDH2_69570.1, SRDH2_41150.1
OG0000058	Smp_247950.1	SRDH2_92580.1
OG0000058	Smp_247290.1	SRDH2_82490.2, SRDH2_82490.8, SRDH2_82490.1, SRDH2_82490.3, SRDH2_82490.4, SRDH2_82490.5, SRDH2_82490.6, SRDH2_82490.7, SRDH2_82490.9
OG0000058	Smp_054010.1	SRDH2_82530.1, SRDH2_82530.2, SRDH2_82530.3, SRDH2_82530.4
OG0000058	Smp_150990.1, Smp_150990.2	SRDH2_82480.1, SRDH2_82480.2
OG0000060	Smp_123510.1	SRDH2_65910.12, SRDH2_65910.5, SRDH2_65910.2, SRDH2_65910.13, SRDH2_65910.15, SRDH2_65910.14, SRDH2_65910.4, SRDH2_65910.18, SRDH2_65910.7, SRDH2_65910.1, SRDH2_65910.10, SRDH2_65910.17, SRDH2_65910.8, SRDH2_65910.3, SRDH2_65910.6, SRDH2_65910.11, SRDH2_65910.19, SRDH2_65910.20, SRDH2_65910.21, SRDH2_65910.16, SRDH2_65910.9
OG0000061	Smp_212360.2	SRDH2_53440.17, SRDH2_53440.18, SRDH2_53440.1, SRDH2_53440.13, SRDH2_53440.6, SRDH2_53440.7, SRDH2_53440.15, SRDH2_53440.10, SRDH2_53440.9, SRDH2_53440.14, SRDH2_53440.16, SRDH2_53440.5, SRDH2_53440.8, SRDH2_53440.3
OG0000061	Smp_212360.1	SRDH2_53440.11, SRDH2_53440.12, SRDH2_53440.2, SRDH2_53440.4
OG0000062	Smp_332930.1	SRDH2_6280.19, SRDH2_6280.20, SRDH2_6280.5, SRDH2_6280.11, SRDH2_6280.17, SRDH2_6280.3, SRDH2_6280.10, SRDH2_6280.12, SRDH2_6280.15, SRDH2_6280.16, SRDH2_6280.18, SRDH2_6280.9, SRDH2_6280.2, SRDH2_6280.21, SRDH2_6280.25, SRDH2_6280.6, SRDH2_6280.8, SRDH2_6280.28, SRDH2_6280.1, SRDH2_6280.13, SRDH2_6280.22, SRDH2_6280.24, SRDH2_6280.26, SRDH2_6280.4, SRDH2_6280.7, SRDH2_6280.14, SRDH2_6280.23
OG0000063	Smp_171820.1	SRDH2_39560.39, SRDH2_39560.18, SRDH2_39560.34, SRDH2_39560.38, SRDH2_39560.26, SRDH2_39560.15, SRDH2_39560.32, SRDH2_39560.16, SRDH2_39560.21, SRDH2_39560.30, SRDH2_39560.36, SRDH2_39560.17, SRDH2_39560.28, SRDH2_39560.5, SRDH2_39560.42, SRDH2_39560.43, SRDH2_39560.48, SRDH2_39560.49, SRDH2_39560.47, SRDH2_39560.45, SRDH2_39560.1, SRDH2_39560.12, SRDH2_39560.14, SRDH2_39560.22, SRDH2_39560.23, SRDH2_39560.24, SRDH2_39560.29, SRDH2_39560.3, SRDH2_39560.10, SRDH2_39560.9, SRDH2_39560.8, SRDH2_39560.50, SRDH2_39560.11, SRDH2_39560.2, SRDH2_39560.13, SRDH2_39560.25, SRDH2_39560.27, SRDH2_39560.19, SRDH2_39560.31, SRDH2_39560.46
OG0000064	Smp_332910.1, Smp_332910.2	SRDH2_4280.5, SRDH2_4280.4, SRDH2_4280.2, SRDH2_4280.6, SRDH2_4280.1, SRDH2_4280.3
OG0000065	Smp_085010.1	SRDH2_101090.1
OG0000065	Smp_085010.2	SRDH2_101090.3
OG0000065	Smp_067060.1	SRDH2_23750.1
OG0000065	Smp_103610.1	SRDH2_101080.1, SRDH2_101080.2, SRDH2_101070.1
OG0000065	Smp_344940.1	SRDH2_23740.1
OG0000066	Smp_040970.1	SRDH2_37830.1
OG0000067	Smp_000260.1	SRDH2_68550.1
OG0000068	Smp_002410.1	SRDH2_54770.2, SRDH2_54770.1
OG0000068	Smp_041430.1	SRDH2_97980.1
OG0000068	Smp_301620.1	SRDH2_34150.1
OG0000068	Smp_009760.1	SRDH2_34160.1
OG0000068	Smp_034840.1	SRDH2_29100.2, SRDH2_29100.1
OG0000069	Smp_155020.1	SRDH2_20980.10
OG0000069	Smp_155020.1	SRDH2_20980.5
OG0000070	Smp_315710.1	SRDH2_44020.5, SRDH2_44020.10, SRDH2_44020.4, SRDH2_44020.9, SRDH2_44020.11, SRDH2_44020.14, SRDH2_44020.16, SRDH2_44020.17, SRDH2_44020.6, SRDH2_44020.2, SRDH2_44020.7, SRDH2_44020.8, SRDH2_44020.1, SRDH2_44020.3, SRDH2_44020.12, SRDH2_44020.15, SRDH2_44020.13
OG0000071	Smp_033600.1	SRDH2_36110.10, SRDH2_36110.12, SRDH2_36110.13, SRDH2_36110.8, SRDH2_36110.14, SRDH2_36110.15, SRDH2_36110.5, SRDH2_36110.6, SRDH2_36110.11, SRDH2_36110.4, SRDH2_36110.9, SRDH2_36110.7, SRDH2_36110.1, SRDH2_36110.2, SRDH2_36110.3
OG0000072	Smp_343430.1	SRDH2_93200.7, SRDH2_93200.5, SRDH2_93200.8, SRDH2_93200.6, SRDH2_93200.1, SRDH2_93200.2, SRDH2_93200.4, SRDH2_93200.3
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4	SRDH2_56360.1, SRDH2_56360.3, SRDH2_56360.2
OG0000073	Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	SRDH2_56490.2, SRDH2_56490.1, SRDH2_56490.3, SRDH2_56490.4, SRDH2_56490.5, SRDH2_56490.6
OG0000074	Smp_164380.1	SRDH2_90830.2, SRDH2_90830.1
OG0000074	Smp_085690.1	SRDH2_90930.1
OG0000075	Smp_246680.1	SRDH2_35860.1, SRDH2_35860.16, SRDH2_35860.18, SRDH2_35860.19, SRDH2_35860.20, SRDH2_35860.5, SRDH2_35860.6, SRDH2_35860.7, SRDH2_35860.8, SRDH2_35860.13, SRDH2_35860.11, SRDH2_35860.2, SRDH2_35860.4, SRDH2_35860.14, SRDH2_35860.3, SRDH2_35860.10, SRDH2_35860.15, SRDH2_35860.17, SRDH2_35860.9, SRDH2_35860.12
OG0000076	Smp_141980.2	SRDH2_91960.1
OG0000076	Smp_134140.2	SRDH2_3980.1, SRDH2_3980.3, SRDH2_3980.4, SRDH2_3980.2, SRDH2_3980.8
OG0000076	Smp_134140.1	SRDH2_3980.5, SRDH2_3980.6, SRDH2_3980.7
OG0000077	Smp_244680.1, Smp_244680.2	SRDH2_11180.19, SRDH2_11180.22, SRDH2_11180.30, SRDH2_11180.2, SRDH2_11180.29, SRDH2_11180.1, SRDH2_11180.13, SRDH2_11180.14, SRDH2_11180.15, SRDH2_11180.16, SRDH2_11180.18, SRDH2_11180.5, SRDH2_11180.6, SRDH2_11180.9, SRDH2_11180.26, SRDH2_11180.31, SRDH2_11180.28, SRDH2_11180.10, SRDH2_11180.17, SRDH2_11180.3, SRDH2_11180.12, SRDH2_11180.20, SRDH2_11180.21, SRDH2_11180.4, SRDH2_11180.8, SRDH2_11180.7
OG0000078	Smp_092530.1	SRDH2_5620.2, SRDH2_5620.3, SRDH2_5620.5, SRDH2_5620.7, SRDH2_5620.4, SRDH2_5620.1, SRDH2_5620.6, SRDH2_5620.8, SRDH2_5620.10, SRDH2_5620.9, SRDH2_5620.11
OG0000079	Smp_129050.1	SRDH2_31040.1
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	SRDH2_54820.1
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	SRDH2_44420.7, SRDH2_44420.4, SRDH2_44420.6, SRDH2_44420.5, SRDH2_44420.9, SRDH2_44420.2, SRDH2_44420.3, SRDH2_44420.1
OG0000081	Smp_175880.1	SRDH2_91410.1, SRDH2_47730.1, SRDH2_91400.1, SRDH2_68250.1, SRDH2_8130.1, SRDH2_100000.1, SRDH2_29680.1, SRDH2_98380.1, SRDH2_53780.1, SRDH2_65010.1, SRDH2_50660.1, SRDH2_42050.1
OG0000081	Smp_150000.1, Smp_165450.1, Smp_192010.1	SRDH2_100330.1
OG0000082	Smp_132900.1	SRDH2_10780.11, SRDH2_10780.12, SRDH2_10780.13, SRDH2_10780.15, SRDH2_10780.18, SRDH2_10780.4, SRDH2_10780.9, SRDH2_10780.7, SRDH2_10780.1, SRDH2_10780.10, SRDH2_10780.14, SRDH2_10780.2, SRDH2_10780.3, SRDH2_10780.5, SRDH2_10780.6, SRDH2_10780.8, SRDH2_10780.16, SRDH2_10780.17
OG0000084	Smp_185180.1	SRDH2_11840.1, SRDH2_90600.1, SRDH2_70460.1, SRDH2_49280.1, SRDH2_90420.1, SRDH2_90420.2, SRDH2_74570.1, SRDH2_11210.1, SRDH2_10280.1, SRDH2_10280.2, SRDH2_10280.3, SRDH2_49160.1
OG0000084	Smp_201970.1	SRDH2_1880.1, SRDH2_23180.1, SRDH2_30060.1, SRDH2_41050.1, SRDH2_83620.1, SRDH2_17230.1, SRDH2_101470.1, SRDH2_84220.1
