Orthogroup	schistosoma_mansoni	schistosoma_bovis
OG0000015	Smp_095520.1	SBOV2_29290.1
OG0000015	Smp_320310.1	SBOV2_42900.1
OG0000015	Smp_312630.1, Smp_302860.1	SBOV2_41940.1, SBOV2_41950.1
OG0000015	Smp_200180.1	SBOV2_41960.1
OG0000015	Smp_320210.1	SBOV2_41970.1
OG0000015	Smp_200190.1	SBOV2_41990.1
OG0000015	Smp_322950.1	SBOV2_9870.1
OG0000018	Smp_350200.1, Smp_247320.1, Smp_266740.1	SBOV2_2690.1
OG0000019	Smp_102690.1	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9
OG0000019	Smp_179320.1	SBOV2_30990.6, SBOV2_30990.1
OG0000020	Smp_341270.1	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1, SBOV2_90950.4, SBOV2_90950.1, SBOV2_90950.2, SBOV2_90950.3, SBOV2_90970.3, SBOV2_90970.4, SBOV2_90970.5, SBOV2_90970.1, SBOV2_90970.2, SBOV2_90960.1
OG0000021	Smp_145560.1	SBOV2_7110.1
OG0000021	Smp_134980.1	SBOV2_5830.1
OG0000021	Smp_245140.1	SBOV2_5840.1
OG0000021	Smp_135010.1	SBOV2_5800.2, SBOV2_5800.1
OG0000021	Smp_245160.1	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000021	Smp_135020.1	SBOV2_5780.1, SBOV2_5780.2
OG0000022	Smp_163420.1	SBOV2_40340.1
OG0000024	Smp_103790.1	SBOV2_23240.1
OG0000024	Smp_016780.1	SBOV2_90560.1
OG0000024	Smp_027920.1	SBOV2_63690.1
OG0000024	Smp_103140.1	SBOV2_79360.1, SBOV2_79360.2
OG0000024	Smp_090120.1	SBOV2_79350.1
OG0000026	Smp_055780.1	SBOV2_78760.1
OG0000026	Smp_089200.1, Smp_089200.2	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3
OG0000027	Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8	SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23
OG0000027	Smp_332600.3, Smp_332600.5	SBOV2_27780.22
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4
OG0000029	Smp_072870.1	SBOV2_57030.1
OG0000029	Smp_203130.1	SBOV2_86480.1
OG0000029	Smp_202970.1	SBOV2_86450.1, SBOV2_96800.1
OG0000029	Smp_307010.1	SBOV2_19870.1
OG0000029	Smp_307020.1	SBOV2_19870.1
OG0000029	Smp_307010.1	SBOV2_19870.2
OG0000029	Smp_307020.1	SBOV2_19870.2
OG0000029	Smp_307010.1	SBOV2_19870.3
OG0000029	Smp_307020.1	SBOV2_19870.3
OG0000029	Smp_307010.1	SBOV2_19870.4
OG0000029	Smp_307020.1	SBOV2_19870.4
OG0000029	Smp_183710.1	SBOV2_87380.1
OG0000030	Smp_174960.1	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	Smp_017010.1	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	Smp_079970.1	SBOV2_10100.1
OG0000032	Smp_079960.1	SBOV2_10110.1
OG0000032	Smp_030730.1	SBOV2_56850.1
OG0000032	Smp_313990.1, Smp_164480.1	SBOV2_9410.1
OG0000032	Smp_313980.1	SBOV2_78800.1
OG0000034	Smp_009430.1	SBOV2_90790.1
OG0000034	Smp_308940.1, Smp_308930.1	SBOV2_90780.1, SBOV2_90770.1
OG0000034	Smp_309980.1, Smp_327270.1	SBOV2_56880.1, SBOV2_56890.1
OG0000034	Smp_168550.1, Smp_331970.1	SBOV2_56930.1, SBOV2_56900.1
OG0000035	Smp_045860.1	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4
OG0000037	Smp_157980.1, Smp_157980.2	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2
OG0000037	Smp_308100.1, Smp_308110.1	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2
OG0000038	Smp_201680.1, Smp_185420.1, Smp_350130.1, Smp_349900.1, Smp_350400.1, Smp_350340.1, Smp_350250.1, Smp_200230.1, Smp_200960.1, Smp_205660.1	SBOV2_51760.1
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1, SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000041	Smp_158210.1	SBOV2_31710.1, SBOV2_31710.2
OG0000042	Smp_247180.1	SBOV2_27900.1
OG0000042	Smp_247170.1	SBOV2_27910.1, SBOV2_27910.2
OG0000042	Smp_048050.1, Smp_048050.2, Smp_049230.1	SBOV2_27970.1
OG0000042	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1
OG0000043	Smp_083340.1	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1	SBOV2_85070.1, SBOV2_85080.1
OG0000044	Smp_155530.1	SBOV2_85100.1
OG0000044	Smp_062080.1	SBOV2_85120.1
OG0000045	Smp_094770.1	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6
OG0000045	Smp_175400.1	SBOV2_3860.1
OG0000046	Smp_120020.1, Smp_114870.1, Smp_026790.1, Smp_242960.1, Smp_109240.1, Smp_174250.1, Smp_175190.1, Smp_101840.1, Smp_197170.1, Smp_026200.1	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2, SBOV2_83530.1
OG0000047	Smp_076460.1	SBOV2_82060.1, SBOV2_95340.4, SBOV2_30660.1, SBOV2_95340.2, SBOV2_95340.6, SBOV2_30660.4, SBOV2_95340.11, SBOV2_30660.3, SBOV2_31700.4, SBOV2_95340.10, SBOV2_95340.8, SBOV2_30660.2, SBOV2_95340.3, SBOV2_31700.5, SBOV2_68880.3, SBOV2_30660.6, SBOV2_68600.1, SBOV2_68880.2, SBOV2_31700.2, SBOV2_31700.1, SBOV2_95340.5, SBOV2_95340.1, SBOV2_30660.5, SBOV2_95340.12, SBOV2_95340.9
OG0000049	Smp_315900.2, Smp_315900.1	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	Smp_343120.1	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7
OG0000050	Smp_311520.1, Smp_245890.1	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000052	Smp_034920.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	Smp_332890.1	SBOV2_3270.1
OG0000052	Smp_130810.1	SBOV2_990.1, SBOV2_990.2
OG0000052	Smp_303940.1	SBOV2_1730.1
OG0000052	Smp_159840.1	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	Smp_075220.1	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000054	Smp_106390.1	SBOV2_23060.1, SBOV2_13380.1, SBOV2_23070.1
OG0000055	Smp_309720.1, Smp_309710.1	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000056	Smp_168030.1	SBOV2_41870.1, SBOV2_88120.1, SBOV2_96280.3, SBOV2_24970.1, SBOV2_24970.2, SBOV2_1650.1, SBOV2_1650.2, SBOV2_39410.1, SBOV2_96410.1, SBOV2_96280.2, SBOV2_96280.1, SBOV2_96280.4, SBOV2_96240.1, SBOV2_44710.1
OG0000058	Smp_247950.1	SBOV2_88040.2, SBOV2_88040.1
OG0000058	Smp_247290.1	SBOV2_79500.1
OG0000058	Smp_054010.1	SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000058	Smp_150990.1, Smp_150990.2	SBOV2_79490.2, SBOV2_79490.1
OG0000060	Smp_123510.1	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
OG0000061	Smp_212360.2, Smp_212360.1	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	Smp_332930.1	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	Smp_171820.1	SBOV2_28360.11, SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8, SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
OG0000064	Smp_332910.1, Smp_332910.2	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7
OG0000065	Smp_085010.1, Smp_085010.2	SBOV2_22570.1, SBOV2_22560.1
OG0000065	Smp_067060.1, Smp_103610.1, Smp_344940.1	SBOV2_22600.2, SBOV2_22600.1, SBOV2_22580.1, SBOV2_22580.2
OG0000066	Smp_040970.1	SBOV2_30560.11, SBOV2_30560.7
OG0000067	Smp_000260.1	SBOV2_67100.14, SBOV2_67100.10, SBOV2_67100.15, SBOV2_67100.16, SBOV2_67100.8, SBOV2_67100.9, SBOV2_67100.3, SBOV2_67100.5, SBOV2_67100.6, SBOV2_67100.1, SBOV2_67100.7, SBOV2_67100.11, SBOV2_67100.4, SBOV2_67100.12, SBOV2_67100.13, SBOV2_67100.2
OG0000068	Smp_002410.1	SBOV2_51770.1
OG0000068	Smp_041430.1	SBOV2_93650.1
OG0000068	Smp_301620.1	SBOV2_31110.2, SBOV2_31110.3
OG0000068	Smp_009760.1	SBOV2_31110.1
OG0000068	Smp_034840.1	SBOV2_38890.1
OG0000069	Smp_155020.1	SBOV2_20000.13, SBOV2_20000.6, SBOV2_20000.7, SBOV2_20000.9, SBOV2_20000.12, SBOV2_20000.4, SBOV2_20000.5, SBOV2_20000.10, SBOV2_20000.2, SBOV2_20000.3, SBOV2_20000.11, SBOV2_20000.1, SBOV2_20000.8
OG0000070	Smp_315710.1	SBOV2_43000.2, SBOV2_43000.6, SBOV2_43000.7, SBOV2_43000.9, SBOV2_43000.1, SBOV2_43000.4, SBOV2_43000.8, SBOV2_43000.5, SBOV2_43000.3
OG0000071	Smp_033600.1	SBOV2_33490.1, SBOV2_33490.13, SBOV2_33490.2, SBOV2_33490.3, SBOV2_33490.5, SBOV2_33490.6, SBOV2_33490.7, SBOV2_33490.8, SBOV2_33490.11, SBOV2_33490.12, SBOV2_33490.15, SBOV2_33490.16, SBOV2_33490.4, SBOV2_33490.9, SBOV2_33490.10, SBOV2_33490.14
OG0000072	Smp_343430.1	SBOV2_88630.3, SBOV2_88630.28, SBOV2_88630.12, SBOV2_88630.15, SBOV2_88630.17, SBOV2_88630.18, SBOV2_88630.19, SBOV2_88630.20, SBOV2_88630.21, SBOV2_88630.22, SBOV2_88630.24, SBOV2_88630.25, SBOV2_88630.14, SBOV2_88630.23, SBOV2_88630.5, SBOV2_88630.13, SBOV2_88630.10, SBOV2_88630.11, SBOV2_88630.16, SBOV2_88630.4, SBOV2_88630.6, SBOV2_88630.7, SBOV2_88630.8, SBOV2_88630.9, SBOV2_88630.27, SBOV2_88630.26, SBOV2_88630.2, SBOV2_88630.1
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	SBOV2_50220.2, SBOV2_50220.4, SBOV2_50220.5, SBOV2_50220.6, SBOV2_50230.1, SBOV2_50220.1, SBOV2_50220.3, SBOV2_50230.2, SBOV2_50230.3, SBOV2_50230.4, SBOV2_50230.5
OG0000074	Smp_164380.1	SBOV2_87160.1
OG0000074	Smp_307260.1	SBOV2_11150.1
OG0000074	Smp_085690.1	SBOV2_87240.1
OG0000075	Smp_246680.1	SBOV2_33720.3, SBOV2_33720.4, SBOV2_33720.5, SBOV2_33720.10, SBOV2_33720.11, SBOV2_33720.12, SBOV2_33720.13, SBOV2_33720.2, SBOV2_33720.6, SBOV2_33720.7, SBOV2_33720.8, SBOV2_33720.9, SBOV2_33720.1
OG0000076	Smp_141980.3	SBOV2_89870.3, SBOV2_89870.1, SBOV2_89870.2
OG0000076	Smp_134140.2, Smp_134140.1	SBOV2_3940.6, SBOV2_3940.5, SBOV2_3940.4, SBOV2_3940.2, SBOV2_3940.1, SBOV2_3940.3, SBOV2_3940.7, SBOV2_3940.8
OG0000077	Smp_244680.1, Smp_244680.2	SBOV2_10610.1, SBOV2_10610.11, SBOV2_10610.9, SBOV2_10610.2, SBOV2_10610.4, SBOV2_10610.8, SBOV2_10610.6, SBOV2_10610.10, SBOV2_10610.3, SBOV2_10610.5, SBOV2_10610.7
OG0000078	Smp_092530.1	SBOV2_5510.1, SBOV2_5510.11, SBOV2_5510.13, SBOV2_5510.15, SBOV2_5510.16, SBOV2_5510.17, SBOV2_5510.4, SBOV2_5510.10, SBOV2_5510.12, SBOV2_5510.14, SBOV2_5510.2, SBOV2_5510.3, SBOV2_5510.5, SBOV2_5510.6, SBOV2_5510.7, SBOV2_5510.8, SBOV2_5510.9
OG0000079	Smp_129050.1	SBOV2_36930.1
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	SBOV2_51700.9, SBOV2_51700.2, SBOV2_51700.1, SBOV2_51700.3, SBOV2_51700.4, SBOV2_51700.5, SBOV2_51700.6, SBOV2_51700.7, SBOV2_51700.10, SBOV2_51700.8
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	SBOV2_43400.13, SBOV2_43400.12, SBOV2_43400.16, SBOV2_43400.17, SBOV2_43400.4, SBOV2_43400.11, SBOV2_43400.6, SBOV2_43400.10, SBOV2_43400.1, SBOV2_43400.2, SBOV2_43400.3, SBOV2_43400.14, SBOV2_43400.9, SBOV2_43400.7, SBOV2_43400.5, SBOV2_43400.15
OG0000081	Smp_072670.1	SBOV2_96020.1
OG0000082	Smp_132900.1	SBOV2_10250.1
OG0000084	Smp_179580.1	SBOV2_87590.1, SBOV2_22220.1
OG0000084	Smp_201970.1	SBOV2_49690.1, SBOV2_75470.1, SBOV2_52520.1, SBOV2_18010.1, SBOV2_44820.1, SBOV2_93410.1, SBOV2_69570.1, SBOV2_84600.1
OG0000085	Smp_127430.1	SBOV2_31240.5, SBOV2_31240.1, SBOV2_31240.10, SBOV2_31240.2, SBOV2_31240.4, SBOV2_31240.6, SBOV2_31240.7, SBOV2_31240.8, SBOV2_31240.3, SBOV2_31240.9
OG0000086	Smp_149300.1	SBOV2_72400.4, SBOV2_72400.3, SBOV2_72400.7, SBOV2_72400.9, SBOV2_72400.2, SBOV2_72400.5, SBOV2_72400.6, SBOV2_72400.8, SBOV2_72400.1
OG0000087	Smp_245790.1	SBOV2_52670.10, SBOV2_52670.11, SBOV2_52670.8, SBOV2_52670.9, SBOV2_52670.13, SBOV2_52670.12, SBOV2_52670.4, SBOV2_52670.5, SBOV2_52670.1, SBOV2_52670.3, SBOV2_52670.6, SBOV2_52670.7, SBOV2_52670.2
OG0000088	Smp_028690.1, Smp_028690.2	SBOV2_3130.1, SBOV2_3130.6, SBOV2_3130.2, SBOV2_3130.5, SBOV2_3130.3, SBOV2_3130.4
OG0000088	Smp_131890.1	SBOV2_3120.5, SBOV2_3120.1, SBOV2_3120.2, SBOV2_3120.3, SBOV2_3120.4, SBOV2_3120.6
OG0000090	Smp_310930.1	SBOV2_49320.5, SBOV2_49320.6, SBOV2_49320.1, SBOV2_49320.2, SBOV2_49320.3, SBOV2_49320.4
OG0000091	Smp_146060.1	SBOV2_47220.1, SBOV2_47220.2
OG0000092	Smp_180470.1, Smp_180470.2	SBOV2_2240.2, SBOV2_2240.1
OG0000092	Smp_064870.1	SBOV2_12900.5, SBOV2_12900.3, SBOV2_12900.4, SBOV2_12900.1, SBOV2_12900.2
OG0000093	Smp_049550.1	SBOV2_27670.1
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	SBOV2_28460.2, SBOV2_28470.1, SBOV2_28450.1, SBOV2_28460.1, SBOV2_28460.3
OG0000094	Smp_128570.1	SBOV2_8390.8, SBOV2_8390.2, SBOV2_8390.3, SBOV2_8390.13, SBOV2_8390.4, SBOV2_8390.5, SBOV2_8390.6, SBOV2_8390.11, SBOV2_8390.9, SBOV2_8390.1, SBOV2_8390.7, SBOV2_8390.10, SBOV2_8390.12
OG0000095	Smp_162630.1	SBOV2_61050.1, SBOV2_61050.12, SBOV2_61050.8, SBOV2_61050.3, SBOV2_61050.10, SBOV2_61050.13, SBOV2_61050.11, SBOV2_61050.2, SBOV2_61050.6, SBOV2_61050.7, SBOV2_61050.4, SBOV2_61050.14, SBOV2_61050.5, SBOV2_61050.15, SBOV2_61050.9
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	SBOV2_32350.7, SBOV2_32350.2, SBOV2_32350.9, SBOV2_32350.1, SBOV2_32350.8, SBOV2_32350.5, SBOV2_32350.4, SBOV2_32350.10, SBOV2_32350.6, SBOV2_32350.11, SBOV2_32350.3
OG0000097	Smp_168050.1	SBOV2_6860.14, SBOV2_6860.6, SBOV2_6860.13, SBOV2_6860.2, SBOV2_6860.5, SBOV2_6860.1, SBOV2_6860.10, SBOV2_6860.7, SBOV2_6860.8, SBOV2_6860.11, SBOV2_6860.4, SBOV2_6860.9, SBOV2_6860.12, SBOV2_6860.3
OG0000098	Smp_072330.1	SBOV2_95540.1, SBOV2_26730.1, SBOV2_26740.1, SBOV2_26740.2
OG0000098	Smp_340630.1, Smp_340630.2	SBOV2_66390.4, SBOV2_66390.3, SBOV2_66390.1, SBOV2_66390.2, SBOV2_66390.5, SBOV2_66390.6
OG0000099	Smp_000100.1	SBOV2_67260.2, SBOV2_67260.1, SBOV2_67260.3, SBOV2_67260.4
OG0000099	Smp_317420.1	SBOV2_71230.11, SBOV2_71230.8, SBOV2_71230.2, SBOV2_71230.10, SBOV2_71230.6, SBOV2_71230.7, SBOV2_71230.9, SBOV2_71230.3, SBOV2_71230.4, SBOV2_71230.1, SBOV2_71230.5
OG0000100	Smp_043250.1	SBOV2_82490.1, SBOV2_4120.1
OG0000100	Smp_334830.1, Smp_316360.1	SBOV2_18340.1
OG0000102	Smp_036590.1	SBOV2_5930.1, SBOV2_5930.2, SBOV2_5930.3, SBOV2_5930.4, SBOV2_5930.5
OG0000103	Smp_067000.1	SBOV2_73330.7, SBOV2_73330.1, SBOV2_73330.4, SBOV2_73330.5, SBOV2_73330.6, SBOV2_73330.3, SBOV2_73330.8, SBOV2_73330.2
