Orthogroup	schistosoma_mansoni	schistosoma_japonicum
OG0000049	Smp_315900.2, Smp_315900.1	EWB00_001608.1, EWB00_001608.2
OG0000049	Smp_343120.1	EWB00_008098
OG0000050	Smp_311520.1, Smp_245890.1	EWB00_005371.1, EWB00_005371.2
OG0000052	Smp_034920.1	EWB00_003293
OG0000052	Smp_332890.1	EWB00_007330
OG0000052	Smp_130810.1	EWB00_005671
OG0000052	Smp_303940.1	EWB00_003847
OG0000052	Smp_159840.1	EWB00_009848
OG0000053	Smp_075220.1	EWB00_005460.2, EWB00_005460.1
OG0000054	Smp_106390.1	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767, EWB00_010117, EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548
OG0000055	Smp_309720.1, Smp_309710.1	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000056	Smp_168030.1	EWB00_000126.1, EWB00_000387.1, EWB00_000387.3, EWB00_005273, EWB00_008590, EWB00_010372, EWB00_008825, EWB00_006591, EWB00_008824
OG0000058	Smp_247950.1	EWB00_001871
OG0000058	Smp_247290.1	EWB00_003488.1, EWB00_003488.2
OG0000058	Smp_054010.1	EWB00_003491
OG0000060	Smp_123510.1	EWB00_010498.1, EWB00_010498.2
OG0000061	Smp_212360.2, Smp_212360.1	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	Smp_332930.1	EWB00_008458
OG0000063	Smp_171820.1	EWB00_006170
OG0000064	Smp_332910.1, Smp_332910.2	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	Smp_085010.1, Smp_085010.2	EWB00_000537
OG0000065	Smp_067060.1, Smp_103610.1, Smp_344940.1	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	Smp_040970.1	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	Smp_000260.1	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	Smp_002410.1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	Smp_041430.1	EWB00_000572
OG0000068	Smp_301620.1, Smp_009760.1	EWB00_004327
OG0000068	Smp_034840.1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	Smp_155020.1	EWB00_002487
OG0000070	Smp_315710.1	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	Smp_033600.1	EWB00_001786
OG0000072	Smp_343430.1	EWB00_001684
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	Smp_164380.1	EWB00_007512.1
OG0000074	Smp_307260.1	EWB00_004196.6
OG0000074	Smp_085690.1	EWB00_008993
OG0000075	Smp_246680.1	EWB00_001749
OG0000076	Smp_141980.2	EWB00_000338, EWB00_000339
OG0000076	Smp_134140.2, Smp_134140.1	EWB00_009041
OG0000077	Smp_244680.1, Smp_244680.2	EWB00_004677
OG0000078	Smp_092530.1	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	Smp_129050.1	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	EWB00_006494.1, EWB00_006494.2
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	EWB00_004899.1, EWB00_004899.2
OG0000081	Smp_015160.1	EWB00_001700
OG0000081	Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773
OG0000082	Smp_132900.1	EWB00_009477
OG0000085	Smp_127430.1	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	Smp_149300.1	EWB00_004530
OG0000087	Smp_245790.1	EWB00_010661
OG0000088	Smp_028690.1, Smp_028690.2	EWB00_007313
OG0000088	Smp_131890.1	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000091	Smp_146060.1	EWB00_010764.1, EWB00_010764.2
OG0000092	Smp_180470.1, Smp_180470.2	EWB00_007194.1, EWB00_007194.2
OG0000092	Smp_064870.1	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	Smp_049550.1	EWB00_003936
OG0000094	Smp_128570.1	EWB00_009097.1, EWB00_009097.2
OG0000095	Smp_162630.1	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	Smp_168050.1	EWB00_007768
OG0000098	Smp_072330.1	EWB00_011356
OG0000098	Smp_340630.1, Smp_340630.2	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	Smp_000100.1	EWB00_006234.2
OG0000099	Smp_317420.1	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000100	Smp_043250.1	EWB00_007164
OG0000100	Smp_334830.1, Smp_316360.1	EWB00_003625
OG0000102	Smp_036590.1	EWB00_010834.2, EWB00_010834.1
OG0000102	Smp_138050.1	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	Smp_067000.1	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	Smp_006250.1	EWB00_008979.1, EWB00_008979.2
OG0000105	Smp_019790.1	EWB00_002088, EWB00_004453
OG0000107	Smp_089430.1	EWB00_007831
OG0000107	Smp_335990.1	EWB00_002983.2, EWB00_002983.4
OG0000108	Smp_093930.1	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	Smp_333980.1	EWB00_006025
OG0000110	Smp_055260.1	EWB00_006029
OG0000110	Smp_129920.1	EWB00_006024
OG0000110	Smp_129900.1	EWB00_006023
OG0000111	Smp_072140.1	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4
OG0000111	Smp_146600.1, Smp_146600.2	EWB00_003555.1, EWB00_003555.2
OG0000111	Smp_104110.1	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3
OG0000112	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000113	Smp_349770.1, Smp_336365.1, Smp_349460.1	EWB00_010713, EWB00_006167, EWB00_009422
OG0000114	Smp_144700.1	EWB00_000559.1, EWB00_000559.2
OG0000115	Smp_094320.1	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	Smp_013840.1, Smp_013840.2	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	Smp_014170.1	EWB00_006015.1, EWB00_006015.2
OG0000118	Smp_319790.1, Smp_148080.1	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8
OG0000118	Smp_344080.1	EWB00_006163.1, EWB00_006163.2
OG0000118	Smp_344070.1	EWB00_006161
OG0000118	Smp_319780.1, Smp_319770.1, Smp_319770.2	EWB00_006160
OG0000119	Smp_347870.1, Smp_247020.1	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000120	Smp_167850.1	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3
OG0000122	Smp_344340.1	EWB00_003485
OG0000123	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4	EWB00_001234.1, EWB00_001234.2
OG0000125	Smp_097830.2, Smp_097830.1, Smp_097830.3	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000126	Smp_008620.1	EWB00_000954
OG0000127	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	Smp_332660.1	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	Smp_140420.1	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	Smp_060420.1, Smp_060420.2	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	Smp_322720.1	EWB00_002108.1, EWB00_002108.2
OG0000131	Smp_342380.1	EWB00_003089
OG0000132	Smp_028030.1	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
OG0000133	Smp_072980.1	EWB00_002574.1, EWB00_002574.2
OG0000134	Smp_032480.1	EWB00_002521
OG0000135	Smp_046060.1, Smp_046060.2	EWB00_002678.2, EWB00_002678.1
OG0000136	Smp_174310.1	EWB00_002100.1, EWB00_002100.2
OG0000137	Smp_334920.1	EWB00_003246
OG0000137	Smp_166350.1	EWB00_003243, EWB00_003242, EWB00_010379, EWB00_003244
OG0000138	Smp_158600.1	EWB00_007536.1, EWB00_007536.2
OG0000138	Smp_335620.1	EWB00_009704
OG0000139	Smp_031040.1	EWB00_009035
OG0000140	Smp_059210.1, Smp_059210.2	EWB00_010959
OG0000143	Smp_202190.1, Smp_301550.1, Smp_326730.1	EWB00_006280.1, EWB00_006280.2
OG0000144	Smp_034190.1	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6
OG0000144	Smp_097660.1	EWB00_001080
OG0000144	Smp_166400.1	EWB00_005163
OG0000145	Smp_110280.1, Smp_110280.2	EWB00_002936
OG0000146	Smp_016630.1	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3
OG0000146	Smp_246100.1	EWB00_005122
OG0000146	Smp_020080.1	EWB00_007935.1, EWB00_007935.2
OG0000146	Smp_016250.1	EWB00_006903
OG0000147	Smp_019170.1	EWB00_004283
OG0000148	Smp_346640.1	EWB00_007473
OG0000149	Smp_123410.1	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4
OG0000151	Smp_167920.1	EWB00_008868
OG0000152	Smp_078310.1	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5
OG0000153	Smp_013950.1	EWB00_005352.1, EWB00_005352.2
OG0000153	Smp_169090.1	EWB00_003676
OG0000153	Smp_169050.2, Smp_169050.1	EWB00_008423, EWB00_003671, EWB00_008422
OG0000154	Smp_333260.1	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2
OG0000155	Smp_302040.1, Smp_302040.2, Smp_302040.3	EWB00_005616
OG0000156	Smp_143840.1	EWB00_010322
OG0000156	Smp_039750.3, Smp_039750.1, Smp_039750.2	EWB00_010321
OG0000157	Smp_212410.1, Smp_212410.2	EWB00_001166
OG0000157	Smp_332710.1	EWB00_005728
OG0000157	Smp_153100.1	EWB00_011201
OG0000158	Smp_068960.1	EWB00_006315
OG0000158	Smp_159520.1	EWB00_006316
OG0000159	Smp_129520.1	EWB00_009175
OG0000160	Smp_136550.1	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3
OG0000161	Smp_301780.1	EWB00_003371.1, EWB00_003371.2
OG0000164	Smp_179910.1	EWB00_011122.1, EWB00_011122.2
OG0000164	Smp_062510.1	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4
OG0000164	Smp_142450.1	EWB00_003801.1, EWB00_003801.2
OG0000164	Smp_071250.1	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4
OG0000165	Smp_002820.1	EWB00_010478
OG0000166	Smp_173060.1	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1
OG0000167	Smp_042550.1, Smp_042550.2	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6
OG0000168	Smp_137740.1, Smp_137740.2, Smp_350170.1, Smp_142860.1, Smp_336380.1	EWB00_009789, EWB00_009892, EWB00_003828, EWB00_008795
OG0000169	Smp_041460.1	EWB00_000574
OG0000169	Smp_155310.1	EWB00_004911.1, EWB00_004911.2
OG0000169	Smp_140000.1	EWB00_009686
OG0000170	Smp_343440.1	EWB00_000962
OG0000172	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3	EWB00_001058.1, EWB00_001058.2
OG0000173	Smp_344580.1	EWB00_008475
OG0000175	Smp_195090.1	EWB00_007666
OG0000175	Smp_169200.1	EWB00_007667
OG0000175	Smp_169190.1	EWB00_007668
OG0000175	Smp_086530.1	EWB00_007669
OG0000177	Smp_333480.1, Smp_333480.2	EWB00_010516.1, EWB00_010516.2
OG0000178	Smp_150750.1	EWB00_003718
OG0000179	Smp_134080.1	EWB00_000893
OG0000179	Smp_246010.1	EWB00_009104
OG0000180	Smp_346170.1	EWB00_006752
OG0000180	Smp_314210.1, Smp_345210.1	EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163
OG0000180	Smp_314200.1, Smp_317150.1	EWB00_006750.1, EWB00_006750.2
OG0000182	Smp_159990.1	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2
OG0000182	Smp_020270.1, Smp_020270.2	EWB00_000643
OG0000183	Smp_152870.1	EWB00_005958.1, EWB00_005958.2
OG0000184	Smp_167750.1	EWB00_006467.1, EWB00_006467.2
OG0000184	Smp_004220.1	EWB00_006468
OG0000185	Smp_057120.1, Smp_057120.2	EWB00_005969.1, EWB00_005969.2
OG0000186	Smp_334080.1	EWB00_002720
OG0000187	Smp_014670.1	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3
OG0000188	Smp_125770.1	EWB00_010904
OG0000189	Smp_347670.1	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4
OG0000190	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2
OG0000191	Smp_154670.1	EWB00_004926
OG0000191	Smp_187360.1	EWB00_003159
OG0000191	Smp_154680.1	EWB00_004925, EWB00_003164, EWB00_003167
OG0000192	Smp_009990.1	EWB00_003964.1, EWB00_003964.2
OG0000193	Smp_151750.1, Smp_211070.1	EWB00_003263.4, EWB00_003263.2, EWB00_003263.1, EWB00_003263.3, EWB00_003263.5, EWB00_003263.6
OG0000194	Smp_145190.1, Smp_145190.2	EWB00_001391
OG0000195	Smp_089930.1	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3
OG0000196	Smp_051090.1	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3
OG0000196	Smp_337400.1, Smp_337400.3	EWB00_009417.2, EWB00_009417.1
OG0000196	Smp_335720.1	EWB00_004668.1
OG0000197	Smp_020070.1	EWB00_007934.6, EWB00_007934.4, EWB00_007934.2, EWB00_007934.3, EWB00_007934.1, EWB00_007934.5, EWB00_007934.7
OG0000198	Smp_342030.1	EWB00_001112
OG0000198	Smp_058690.1, Smp_058700.1	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3
OG0000199	Smp_033950.1	EWB00_007850.1, EWB00_007850.2
OG0000201	Smp_158560.1, Smp_158560.2	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3
OG0000202	Smp_129710.1	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2
OG0000203	Smp_168040.1	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3
OG0000204	Smp_309060.1, Smp_331260.1, Smp_089330.1, Smp_089320.1, Smp_170890.2	EWB00_005277
OG0000204	Smp_170890.1, Smp_089370.1	EWB00_005275, EWB00_005276.1, EWB00_005276.2
OG0000205	Smp_129770.1, Smp_129770.2	EWB00_005482
OG0000207	Smp_137320.1	EWB00_006855
OG0000207	Smp_319310.1, Smp_319310.2	EWB00_006859
OG0000207	Smp_137310.1	EWB00_006857
OG0000207	Smp_178420.1, Smp_137300.1	EWB00_006860, EWB00_006858
OG0000207	Smp_027940.1	EWB00_006856
OG0000208	Smp_312880.1	EWB00_006604
OG0000209	Smp_214240.1, Smp_128390.1	EWB00_003068
OG0000210	Smp_143690.1, Smp_143690.2	EWB00_008607
OG0000211	Smp_033050.1	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4
OG0000212	Smp_123940.1	EWB00_000254.1, EWB00_000254.2
OG0000214	Smp_134410.1, Smp_134410.3	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3
OG0000215	Smp_327230.1, Smp_327220.1, Smp_327240.1, Smp_093620.1	EWB00_003195.1, EWB00_003195.2, EWB00_003195.3, EWB00_003195.4, EWB00_003195.5, EWB00_003195.6, EWB00_003193
OG0000216	Smp_321830.1	EWB00_005703
OG0000217	Smp_343380.1	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7
OG0000218	Smp_244280.1	EWB00_007629
OG0000219	Smp_162080.1	EWB00_011278.1, EWB00_011278.2
OG0000220	Smp_329410.1, Smp_126840.1	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3
OG0000221	Smp_165820.1	EWB00_009959, EWB00_008502
OG0000221	Smp_153140.1	EWB00_007895, EWB00_007896
OG0000222	Smp_313450.1	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2
OG0000223	Smp_159100.1	EWB00_008468
OG0000224	Smp_153770.1	EWB00_010846
OG0000225	Smp_017730.1	EWB00_008634
OG0000226	Smp_124820.1	EWB00_001463.1, EWB00_001463.2
OG0000227	Smp_122680.1	EWB00_010050
OG0000228	Smp_104030.1	EWB00_003240.1, EWB00_003240.2
OG0000229	Smp_307880.1	EWB00_007972
OG0000230	Smp_308600.1, Smp_308590.1	EWB00_007125
OG0000234	Smp_337850.1	EWB00_004388, EWB00_004387
OG0000235	Smp_342880.1, Smp_342880.2	EWB00_009052, EWB00_009056
OG0000236	Smp_147620.1	EWB00_007746
OG0000237	Smp_130030.1	EWB00_006822
OG0000238	Smp_158450.1	EWB00_007715.1, EWB00_007715.2, EWB00_007715.3
OG0000239	Smp_163610.1	EWB00_002853.1, EWB00_002853.2
OG0000240	Smp_168370.2	EWB00_007941.1, EWB00_007941.2
OG0000241	Smp_244950.1	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3
OG0000241	Smp_244960.1	EWB00_007787
OG0000241	Smp_171030.1	EWB00_007058.1, EWB00_007058.2
OG0000242	Smp_346520.1	EWB00_004683
OG0000243	Smp_246870.1	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3, EWB00_006288.1
OG0000244	Smp_125550.1	EWB00_008588
OG0000245	Smp_315810.1, Smp_315810.2	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1
OG0000246	Smp_334490.1	EWB00_003780.1, EWB00_003780.2
OG0000247	Smp_340410.1	EWB00_006352.1, EWB00_006352.2
OG0000248	Smp_023360.1	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2
OG0000249	Smp_340960.1	EWB00_001035
OG0000250	Smp_049380.1	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4
OG0000251	Smp_055220.1	EWB00_001254.3, EWB00_001254.1, EWB00_001254.2
OG0000252	Smp_088550.1	EWB00_006197
OG0000253	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3	EWB00_000597.2, EWB00_000597.3, EWB00_000597.1
OG0000254	Smp_133740.1	EWB00_009459.1, EWB00_009459.2, EWB00_009459.3
OG0000255	Smp_034870.1	EWB00_003290.1, EWB00_003290.2
OG0000256	Smp_343260.1	EWB00_008201, EWB00_009917
OG0000258	Smp_065840.1	EWB00_007679.1, EWB00_007679.2
OG0000259	Smp_079370.1	EWB00_003467
OG0000260	Smp_081450.1	EWB00_002420.5, EWB00_002420.1, EWB00_002420.4, EWB00_002420.7, EWB00_002420.2, EWB00_002420.8, EWB00_002420.3, EWB00_002420.6
OG0000261	Smp_334030.1, Smp_334030.2	EWB00_007910
OG0000262	Smp_012580.2, Smp_012580.1	EWB00_004140, EWB00_004139
OG0000263	Smp_144430.1	EWB00_004713
OG0000264	Smp_347000.1	EWB00_004506
OG0000264	Smp_133490.1	EWB00_004507
