Orthogroup	schistosoma_mansoni	fasciola_gigantica
OG0000034	Smp_009430.1, Smp_308940.1, Smp_308930.1, Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	Smp_045860.1	FGIG_03979, FGIG_03980
OG0000036	Smp_173130.1	FGIG_02104
OG0000037	Smp_157980.1, Smp_157980.2, Smp_308100.1, Smp_308110.1	FGIG_03131, FGIG_03132
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	FGIG_07013
OG0000042	Smp_247180.1, Smp_247170.1, Smp_048050.1, Smp_048050.2, Smp_049230.1, Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	FGIG_05270
OG0000043	Smp_083340.1	FGIG_08366
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1, Smp_155530.1, Smp_062080.1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	Smp_094770.1, Smp_175400.1	FGIG_12527
OG0000049	Smp_315900.2, Smp_315900.1	FGIG_07932, FGIG_00477
OG0000049	Smp_343120.1	FGIG_06077
OG0000050	Smp_311520.1, Smp_245890.1	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	Smp_034920.1	FGIG_00994
OG0000052	Smp_332890.1	FGIG_02824
OG0000052	Smp_130810.1	FGIG_00846
OG0000052	Smp_303940.1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	Smp_159840.1	FGIG_04502, FGIG_12676
OG0000053	Smp_075220.1	FGIG_08393, FGIG_12440
OG0000054	Smp_106390.1	FGIG_06834, FGIG_00432, FGIG_05300, FGIG_12516
OG0000055	Smp_309720.1, Smp_309710.1	FGIG_03285, FGIG_05988
OG0000058	Smp_247950.1	FGIG_11220
OG0000058	Smp_247290.1	FGIG_06708
OG0000058	Smp_054010.1, Smp_150990.1, Smp_150990.2	FGIG_00649
OG0000060	Smp_123510.1	FGIG_07684
OG0000061	Smp_212360.2, Smp_212360.1	FGIG_09986
OG0000062	Smp_332930.1	FGIG_00991
OG0000063	Smp_171820.1	FGIG_03231
OG0000064	Smp_332910.1, Smp_332910.2	FGIG_12411, FGIG_06602
OG0000065	Smp_085010.1, Smp_085010.2, Smp_067060.1, Smp_103610.1, Smp_344940.1	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	Smp_040970.1	FGIG_00170
OG0000067	Smp_000260.1	FGIG_02840, FGIG_02842
OG0000068	Smp_002410.1	FGIG_12158
OG0000068	Smp_041430.1	FGIG_12079
OG0000068	Smp_301620.1, Smp_009760.1	FGIG_07351
OG0000068	Smp_034840.1	FGIG_05814
OG0000069	Smp_155020.1	FGIG_12680, FGIG_06996
OG0000070	Smp_315710.1	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	Smp_033600.1	FGIG_07065, FGIG_07067
OG0000072	Smp_343430.1	FGIG_06022, FGIG_09056
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	FGIG_05759
OG0000074	Smp_152330.1	FGIG_06125
OG0000074	Smp_164380.1	FGIG_03273
OG0000074	Smp_307260.1	FGIG_07718
OG0000074	Smp_085690.1	FGIG_01338
OG0000075	Smp_246680.1	FGIG_05387
OG0000076	Smp_141980.1, Smp_141980.2, Smp_141980.3	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	Smp_134140.2, Smp_134140.1	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	Smp_244680.1, Smp_244680.2	FGIG_09054
OG0000078	Smp_092530.1	FGIG_04314
OG0000079	Smp_129050.1	FGIG_07135, FGIG_07136
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	FGIG_05069, FGIG_05070
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	FGIG_03532
OG0000081	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1	FGIG_05277, FGIG_11514
OG0000082	Smp_132900.1	FGIG_06461
OG0000085	Smp_127430.1	FGIG_06241
OG0000086	Smp_149300.1	FGIG_09371
OG0000087	Smp_245790.1	FGIG_03026
OG0000088	Smp_028690.1, Smp_028690.2, Smp_131890.1	FGIG_14005, FGIG_05150
OG0000090	Smp_310930.1	FGIG_01258
OG0000091	Smp_146060.1	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	Smp_180470.1, Smp_180470.2	FGIG_06562
OG0000092	Smp_064870.1	FGIG_11548
OG0000093	Smp_049550.1	FGIG_04003
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	Smp_128570.1	FGIG_00948
OG0000095	Smp_162630.1	FGIG_01883
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	FGIG_03065
OG0000097	Smp_168050.1	FGIG_06823
OG0000098	Smp_072330.1	FGIG_08056
OG0000098	Smp_340630.1, Smp_340630.2	FGIG_08009
OG0000099	Smp_000100.1	FGIG_01162
OG0000099	Smp_317420.1	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	Smp_036590.1	FGIG_11657
OG0000102	Smp_138050.1	FGIG_04726, FGIG_06854
OG0000103	Smp_067000.1	FGIG_06145, FGIG_13990
OG0000104	Smp_006250.1	FGIG_08148
OG0000105	Smp_019790.1	FGIG_00113, FGIG_06918
OG0000108	Smp_093930.1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	Smp_333980.1, Smp_055260.1	FGIG_03667
OG0000110	Smp_129920.1	FGIG_10562
OG0000110	Smp_129900.1	FGIG_06603
OG0000111	Smp_072140.1	FGIG_04030
OG0000111	Smp_146600.1, Smp_146600.2	FGIG_03777
OG0000111	Smp_104110.1	FGIG_04347
OG0000112	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2	FGIG_09308, FGIG_06819
OG0000114	Smp_144700.1	FGIG_00156
OG0000115	Smp_094320.1	FGIG_02859
OG0000116	Smp_013840.1, Smp_013840.2	FGIG_03832, FGIG_01693
OG0000117	Smp_014170.1	FGIG_02197
OG0000118	Smp_319790.1, Smp_148080.1, Smp_344080.1, Smp_344070.1, Smp_319780.1, Smp_319770.1, Smp_319770.2	FGIG_02831
OG0000119	Smp_347870.1, Smp_247020.1	FGIG_05939
OG0000120	Smp_167850.1	FGIG_06695
OG0000122	Smp_344340.1	FGIG_06459, FGIG_06458
OG0000123	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4	FGIG_06911
OG0000125	Smp_097830.2, Smp_097830.1, Smp_097830.3	FGIG_12140, FGIG_05136
OG0000126	Smp_008620.1	FGIG_02836, FGIG_00047
OG0000127	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3	FGIG_10651, FGIG_01876
OG0000128	Smp_332660.1	FGIG_02928
OG0000129	Smp_140420.1	FGIG_01051
OG0000130	Smp_060420.1, Smp_060420.2	FGIG_06548, FGIG_01370
OG0000131	Smp_322720.1, Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	Smp_028030.1	FGIG_04447, FGIG_04446
OG0000133	Smp_072980.1	FGIG_10537
OG0000134	Smp_032480.1	FGIG_03080
OG0000135	Smp_046060.1, Smp_046060.2	FGIG_08997
OG0000136	Smp_174310.1	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	Smp_158600.1	FGIG_10020
OG0000138	Smp_335620.1	FGIG_00536, FGIG_00535
OG0000139	Smp_031040.1	FGIG_04756
OG0000140	Smp_059210.1, Smp_059210.2	FGIG_05800
OG0000142	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045
OG0000143	Smp_202190.1, Smp_301550.1, Smp_326730.1	FGIG_03125
OG0000144	Smp_034190.1	FGIG_04482
OG0000144	Smp_097660.1	FGIG_02516
OG0000144	Smp_166400.1	FGIG_08902, FGIG_02070
OG0000145	Smp_110280.1, Smp_110280.2	FGIG_06896
OG0000146	Smp_016630.1	FGIG_01364
OG0000146	Smp_246100.1	FGIG_07112
OG0000146	Smp_020080.1	FGIG_08174
OG0000146	Smp_016250.1	FGIG_12116
OG0000147	Smp_019170.1	FGIG_03610
OG0000148	Smp_346640.1	FGIG_05123, FGIG_04713
OG0000149	Smp_123410.1	FGIG_08710
OG0000151	Smp_167920.1	FGIG_00898
OG0000152	Smp_078310.1	FGIG_02196
OG0000153	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	Smp_333260.1	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	Smp_302040.1, Smp_302040.2, Smp_302040.3	FGIG_01109
OG0000156	Smp_143840.1	FGIG_01694
OG0000156	Smp_039750.3, Smp_039750.1, Smp_039750.2	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	Smp_212410.1, Smp_212410.2	FGIG_01729
OG0000157	Smp_332710.1	FGIG_07044, FGIG_07045
OG0000157	Smp_153100.1	FGIG_03579
OG0000158	Smp_068960.1, Smp_159520.1	FGIG_05975
OG0000159	Smp_129520.1	FGIG_07564
OG0000160	Smp_136550.1	FGIG_05715
OG0000161	Smp_301780.1	FGIG_08957
OG0000164	Smp_179910.1	FGIG_12608, FGIG_03854
OG0000164	Smp_062510.1	FGIG_01740
OG0000164	Smp_142450.1	FGIG_10598
OG0000164	Smp_071250.1	FGIG_05689
OG0000165	Smp_002820.1	FGIG_03682
OG0000166	Smp_173060.1	FGIG_04350
OG0000167	Smp_042550.1, Smp_042550.2	FGIG_09630
OG0000169	Smp_140000.1	FGIG_02219, FGIG_02221, FGIG_02220
OG0000170	Smp_343440.1	FGIG_11214, FGIG_11905, FGIG_00734
OG0000172	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3	FGIG_02787, FGIG_02788
OG0000173	Smp_344580.1	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352
OG0000177	Smp_333480.1, Smp_333480.2	FGIG_04057, FGIG_04058
OG0000178	Smp_150750.1	FGIG_04370
OG0000179	Smp_134080.1, Smp_246010.1	FGIG_08795, FGIG_10380
OG0000180	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1	FGIG_12039
OG0000182	Smp_159990.1	FGIG_02134
OG0000182	Smp_020270.1, Smp_020270.2	FGIG_00290
OG0000183	Smp_152870.1	FGIG_02622
OG0000184	Smp_167750.1	FGIG_03731
OG0000184	Smp_004220.1	FGIG_03730
OG0000185	Smp_057120.1, Smp_057120.2	FGIG_07908
OG0000186	Smp_334080.1	FGIG_00796
OG0000187	Smp_014670.1	FGIG_10561, FGIG_02152
OG0000188	Smp_125770.1	FGIG_03282
OG0000189	Smp_347670.1	FGIG_03464
OG0000190	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3	FGIG_04440
OG0000191	Smp_154670.1, Smp_187360.1, Smp_154680.1	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245
OG0000192	Smp_009990.1	FGIG_06841, FGIG_06840
OG0000194	Smp_145190.1, Smp_145190.2	FGIG_07707
OG0000195	Smp_089930.1	FGIG_08368
OG0000196	Smp_051090.1	FGIG_11982, FGIG_03269
OG0000196	Smp_337400.1, Smp_337400.3	FGIG_11890
OG0000198	Smp_058690.1, Smp_058700.1	FGIG_06396
OG0000199	Smp_033950.1	FGIG_03163
OG0000201	Smp_158560.1, Smp_158560.2	FGIG_05120
OG0000202	Smp_129710.1	FGIG_07192
OG0000203	Smp_168040.1	FGIG_08149
OG0000205	Smp_129770.1, Smp_129770.2	FGIG_02525
OG0000206	Smp_031920.1	FGIG_03933
OG0000207	Smp_137320.1, Smp_319310.1, Smp_319310.2, Smp_137310.1, Smp_178420.1, Smp_137300.1, Smp_027940.1	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073
OG0000208	Smp_312880.1	FGIG_04764
OG0000209	Smp_214240.1, Smp_128390.1	FGIG_06233
OG0000210	Smp_143690.1, Smp_143690.2	FGIG_06835, FGIG_08667
OG0000211	Smp_033050.1	FGIG_06875
OG0000212	Smp_123940.1	FGIG_07429, FGIG_07428
OG0000213	Smp_333170.1	FGIG_08575
OG0000214	Smp_134410.1, Smp_134410.3	FGIG_09344
OG0000217	Smp_343380.1	FGIG_02317, FGIG_02318
OG0000218	Smp_244280.1	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630
OG0000219	Smp_162080.1	FGIG_07378
OG0000220	Smp_329410.1, Smp_126840.1	FGIG_07549
OG0000221	Smp_165820.1	FGIG_04956, FGIG_04954, FGIG_08084
OG0000221	Smp_153140.1	FGIG_02269
OG0000222	Smp_313450.1	FGIG_00564
OG0000223	Smp_159100.1	FGIG_00853
OG0000224	Smp_153770.1	FGIG_01377, FGIG_01378
OG0000225	Smp_017730.1	FGIG_02370, FGIG_02369
OG0000226	Smp_124820.1	FGIG_02439, FGIG_12357
OG0000227	Smp_122680.1	FGIG_04507, FGIG_04506
OG0000228	Smp_104030.1	FGIG_04992
OG0000229	Smp_307880.1	FGIG_10264, FGIG_05406, FGIG_12189
OG0000230	Smp_308600.1, Smp_308590.1	FGIG_06761, FGIG_06762
OG0000234	Smp_337850.1	FGIG_01289
OG0000235	Smp_342880.1, Smp_342880.2	FGIG_07942, FGIG_02783, FGIG_02784
OG0000236	Smp_147620.1	FGIG_05608
OG0000237	Smp_130030.1	FGIG_06420
OG0000238	Smp_158450.1	FGIG_07333
OG0000239	Smp_163610.1, Smp_336250.1	FGIG_07503, FGIG_08719
OG0000240	Smp_168370.2, Smp_168370.1	FGIG_10740, FGIG_10875
OG0000241	Smp_244950.1, Smp_244960.1	FGIG_00479
OG0000242	Smp_346520.1	FGIG_01807
OG0000243	Smp_246870.1	FGIG_00529, FGIG_00528
OG0000244	Smp_125550.1	FGIG_11655, FGIG_00993
OG0000245	Smp_315810.1, Smp_315810.2	FGIG_01848
OG0000246	Smp_334490.1	FGIG_06772
OG0000247	Smp_340410.1	FGIG_09572
OG0000248	Smp_023360.1	FGIG_10714
OG0000249	Smp_340960.1	FGIG_11297
OG0000250	Smp_049380.1	FGIG_12420, FGIG_11532
OG0000252	Smp_088550.1	FGIG_01524
OG0000253	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3	FGIG_02155
OG0000254	Smp_133740.1	FGIG_02996
OG0000255	Smp_034870.1	FGIG_03191
OG0000256	Smp_343260.1	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257
OG0000257	Smp_164930.1	FGIG_03641, FGIG_07534
OG0000258	Smp_065840.1	FGIG_05122
OG0000259	Smp_079370.1	FGIG_05764
OG0000260	Smp_081450.1	FGIG_05885
OG0000261	Smp_334030.1, Smp_334030.2	FGIG_06157
OG0000262	Smp_012580.2, Smp_012580.1	FGIG_08811, FGIG_08810
OG0000263	Smp_144430.1	FGIG_09258
OG0000264	Smp_347000.1, Smp_133490.1	FGIG_11442
OG0000264	Smp_134260.1	FGIG_10736
OG0000266	Smp_154560.1	FGIG_00214
OG0000267	Smp_179490.1, Smp_179490.3, Smp_179490.2	FGIG_00498, FGIG_00260
OG0000268	Smp_067810.1	FGIG_06620
OG0000268	Smp_194270.1	FGIG_10234
OG0000269	Smp_318690.1, Smp_031000.1, Smp_031000.2	FGIG_02813
OG0000270	Smp_246700.1	FGIG_03740, FGIG_02883
OG0000271	Smp_134670.1	FGIG_04146, FGIG_09915, FGIG_04147
OG0000272	Smp_045950.1, Smp_045950.2	FGIG_07493
OG0000273	Smp_171880.1	FGIG_07763
OG0000274	Smp_334430.3, Smp_334430.1, Smp_334430.2	FGIG_10372
OG0000275	Smp_196840.1	FGIG_08245
OG0000276	Smp_312920.1	FGIG_08474
OG0000277	Smp_332260.1, Smp_332260.2	FGIG_08916
OG0000281	Smp_154160.1	FGIG_00516
OG0000281	Smp_323740.1, Smp_344370.1	FGIG_04239
OG0000281	Smp_007730.1	FGIG_10083
OG0000282	Smp_034270.1	FGIG_11572, FGIG_01087
OG0000283	Smp_126240.1, Smp_126240.2	FGIG_01798
OG0000284	Smp_121950.1	FGIG_03458
OG0000285	Smp_000020.1	FGIG_03702, FGIG_03701
OG0000286	Smp_102430.1, Smp_040510.1	FGIG_08247, FGIG_09211, FGIG_06296
OG0000287	Smp_120640.1	FGIG_07559
OG0000288	Smp_123180.1	FGIG_08415
OG0000289	Smp_194590.1	FGIG_11097
OG0000290	Smp_163580.1, Smp_163580.2	FGIG_06528
OG0000290	Smp_176050.1	FGIG_00121
OG0000291	Smp_130440.1	FGIG_00724, FGIG_00726
OG0000292	Smp_083040.1, Smp_083040.2	FGIG_01340, FGIG_10382
OG0000293	Smp_035580.1	FGIG_03259
OG0000293	Smp_028990.1	FGIG_10208, FGIG_04594
OG0000293	Smp_004810.1	FGIG_06127
OG0000294	Smp_324700.1, Smp_324700.2, Smp_340380.1	FGIG_03314
OG0000295	Smp_247750.1, Smp_179250.1, Smp_247760.1, Smp_089290.1	FGIG_04922
OG0000296	Smp_322820.1	FGIG_05009
OG0000296	Smp_322830.1, Smp_322810.1	FGIG_07123, FGIG_07878, FGIG_07122
OG0000297	Smp_050520.1	FGIG_05203
OG0000298	Smp_336620.1	FGIG_10124
OG0000298	Smp_135040.1, Smp_135040.2	FGIG_05892
OG0000299	Smp_074050.1	FGIG_06707
OG0000300	Smp_061840.1	FGIG_06727
OG0000301	Smp_042160.1	FGIG_07052
OG0000302	Smp_104500.3, Smp_104500.1, Smp_104500.4, Smp_104500.2	FGIG_07305
OG0000303	Smp_153710.3, Smp_153710.2, Smp_153710.1, Smp_153710.4	FGIG_11626, FGIG_07919
OG0000304	Smp_340500.1	FGIG_09605
OG0000305	Smp_060940.1	FGIG_09613, FGIG_09611, FGIG_12612
OG0000306	Smp_342740.1	FGIG_11983, FGIG_10527
OG0000307	Smp_343920.1, Smp_011000.1	FGIG_12478
OG0000311	Smp_161120.1, Smp_161120.2	FGIG_01279
OG0000312	Smp_152840.1	FGIG_09661, FGIG_01495, FGIG_09662
OG0000313	Smp_045980.1	FGIG_03443
OG0000314	Smp_159070.1	FGIG_03632
OG0000315	Smp_007260.1	FGIG_03911
OG0000315	Smp_136710.2, Smp_136710.1	FGIG_07353, FGIG_07352
OG0000316	Smp_168660.1	FGIG_04659, FGIG_09851
OG0000317	Smp_097820.1, Smp_097820.2	FGIG_05137
OG0000318	Smp_065130.1	FGIG_05250
OG0000319	Smp_167160.1, Smp_167160.2	FGIG_06268, FGIG_06269
OG0000320	Smp_306980.1	FGIG_02124
OG0000320	Smp_140860.1	FGIG_00209
OG0000320	Smp_245990.2, Smp_245990.1	FGIG_08913
OG0000321	Smp_083780.1	FGIG_00856, FGIG_00857
OG0000322	Smp_194030.1	FGIG_01204
OG0000323	Smp_306120.1, Smp_344820.1, Smp_344820.2, Smp_344820.3	FGIG_02690
OG0000324	Smp_147250.1	FGIG_04179
OG0000325	Smp_151050.1	FGIG_04546
OG0000326	Smp_069130.1	FGIG_04814
OG0000327	Smp_168450.1, Smp_336080.1	FGIG_06438, FGIG_08722, FGIG_11975, FGIG_09141
OG0000328	Smp_035090.1	FGIG_09711
OG0000329	Smp_018240.1, Smp_018240.2	FGIG_11990
OG0000332	Smp_084870.1	FGIG_00632
OG0000333	Smp_044610.1, Smp_342180.1	FGIG_01538
OG0000334	Smp_135470.1, Smp_345090.1	FGIG_02321
OG0000335	Smp_153190.1	FGIG_02931
OG0000336	Smp_007760.1	FGIG_05611
OG0000336	Smp_130540.1	FGIG_03447
OG0000337	Smp_099690.1	FGIG_05353
OG0000337	Smp_019490.1	FGIG_07022
OG0000342	Smp_071630.1	FGIG_05549
OG0000342	Smp_004910.1	FGIG_00226
OG0000343	Smp_033530.1, Smp_140270.1, Smp_033540.1	FGIG_01634, FGIG_01635
OG0000344	Smp_153780.1	FGIG_01866
OG0000345	Smp_089460.1	FGIG_01894
OG0000346	Smp_141230.1	FGIG_01903
OG0000346	Smp_130250.1	FGIG_09179
OG0000347	Smp_160940.1	FGIG_02160, FGIG_12660
OG0000348	Smp_347690.1, Smp_347690.2	FGIG_03483
OG0000349	Smp_130750.1	FGIG_04573, FGIG_04572, FGIG_06122
OG0000350	Smp_079650.1	FGIG_04749
OG0000351	Smp_133790.1	FGIG_05010
OG0000352	Smp_315890.1	FGIG_05384, FGIG_11348, FGIG_05385
OG0000353	Smp_126740.1	FGIG_06289
OG0000354	Smp_304130.1, Smp_304130.2	FGIG_10148, FGIG_09059
OG0000355	Smp_158050.1	FGIG_10341, FGIG_12112, FGIG_12113
OG0000356	Smp_332940.1	FGIG_10789, FGIG_10788, FGIG_10790
OG0000357	Smp_040560.1	FGIG_12459
OG0000359	Smp_194800.1	FGIG_00275
OG0000360	Smp_039640.1	FGIG_01496
OG0000361	Smp_157340.1	FGIG_02685, FGIG_02684
OG0000362	Smp_246570.1	FGIG_02801
OG0000363	Smp_302930.1	FGIG_03340, FGIG_03341, FGIG_03338
OG0000364	Smp_164940.1	FGIG_03707
OG0000365	Smp_190770.1, Smp_325650.1	FGIG_12204, FGIG_04576
OG0000366	Smp_147240.1	FGIG_06034, FGIG_09373, FGIG_12323
OG0000367	Smp_006700.1	FGIG_07381
OG0000368	Smp_244010.1	FGIG_07710, FGIG_12057
OG0000369	Smp_171610.1	FGIG_08435
OG0000370	Smp_147950.1, Smp_147950.2	FGIG_08520
OG0000371	Smp_302090.1	FGIG_08814
OG0000372	Smp_091840.1, Smp_091820.1	FGIG_08961
OG0000373	Smp_025260.1	FGIG_12324, FGIG_09323
OG0000374	Smp_099850.1	FGIG_09768
OG0000375	Smp_191870.1	FGIG_10082
OG0000376	Smp_347860.1	FGIG_10153, FGIG_11766, FGIG_11765
OG0000377	Smp_174410.1	FGIG_10617
OG0000378	Smp_163210.3, Smp_163210.1, Smp_163210.2	FGIG_11867
OG0000380	Smp_070380.1	FGIG_01104, FGIG_10893, FGIG_11041
OG0000380	Smp_198560.1, Smp_075500.1	FGIG_00695
OG0000381	Smp_105410.1	FGIG_01453
OG0000381	Smp_012440.1	FGIG_01451, FGIG_01452
OG0000382	Smp_120670.1, Smp_176180.1, Smp_070250.1, Smp_336880.1, Smp_154260.1, Smp_176170.1, Smp_176160.1, Smp_154290.1	FGIG_01588, FGIG_06764
OG0000383	Smp_142650.2, Smp_142650.1	FGIG_01645, FGIG_01646
OG0000384	Smp_316270.1, Smp_315420.1	FGIG_01701
OG0000385	Smp_326080.1	FGIG_01970
OG0000386	Smp_163760.1	FGIG_07934, FGIG_07933, FGIG_05021, FGIG_05980
OG0000387	Smp_169140.1, Smp_320670.1	FGIG_05744, FGIG_12613
OG0000388	Smp_344630.1, Smp_344630.2	FGIG_06147
OG0000389	Smp_137210.1	FGIG_06300
OG0000390	Smp_069960.1	FGIG_06318
OG0000391	Smp_163340.1	FGIG_06566, FGIG_07343
OG0000392	Smp_096020.1	FGIG_06786
OG0000393	Smp_171540.1	FGIG_06864
OG0000394	Smp_018760.1	FGIG_12663, FGIG_07717
OG0000395	Smp_149200.1	FGIG_07807
OG0000396	Smp_126300.1	FGIG_07980
OG0000397	Smp_027390.1	FGIG_07986
OG0000398	Smp_244150.1, Smp_160360.1, Smp_078930.1	FGIG_08346, FGIG_08154
OG0000399	Smp_141290.4, Smp_141290.2, Smp_141290.1, Smp_141290.3, Smp_141390.1	FGIG_08267
OG0000400	Smp_335630.1, Smp_303270.1, Smp_303290.1, Smp_173150.1	FGIG_12136, FGIG_08348, FGIG_09690, FGIG_09691
OG0000401	Smp_144770.1	FGIG_10170, FGIG_10171
OG0000402	Smp_155420.1	FGIG_12370, FGIG_11519, FGIG_12593
OG0000403	Smp_137580.1	FGIG_11602
OG0000405	Smp_068060.1	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541
OG0000406	Smp_143240.1	FGIG_00915
OG0000407	Smp_308420.1	FGIG_01328
OG0000408	Smp_345870.1	FGIG_01770
OG0000409	Smp_345840.1	FGIG_01990
OG0000410	Smp_001040.1	FGIG_06197
OG0000411	Smp_080280.1	FGIG_03726
OG0000412	Smp_170800.1	FGIG_04797
OG0000413	Smp_132320.1	FGIG_05095
OG0000414	Smp_244610.1	FGIG_05869
OG0000415	Smp_012780.1	FGIG_06429
