Orthogroup	schistosoma_mansoni	fasciola_hepatica
OG0000065	Smp_085010.1, Smp_085010.2, Smp_067060.1, Smp_103610.1, Smp_344940.1	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1
OG0000066	Smp_040970.1	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000067	Smp_000260.1	FhHiC23_g7039.t1, FhHiC23_g7040.t1
OG0000068	Smp_002410.1	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	Smp_041430.1	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1
OG0000068	Smp_301620.1, Smp_009760.1	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	Smp_034840.1	FhHiC23_g5260.t1
OG0000069	Smp_155020.1	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2
OG0000070	Smp_315710.1	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1
OG0000071	Smp_033600.1	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2
OG0000072	Smp_343430.1	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	Smp_152330.1	FhHiC23_g13499.t1
OG0000074	Smp_164380.1	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	Smp_307260.1	FhHiC23_g10998.t1
OG0000074	Smp_085690.1	FhHiC23_g16397.t1
OG0000075	Smp_246680.1	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	Smp_141980.1, Smp_141980.2, Smp_141980.3	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	Smp_134140.2, Smp_134140.1	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	Smp_244680.1, Smp_244680.2	FhHiC23_g13340.t1
OG0000078	Smp_092530.1	FhHiC23_g13137.t1
OG0000079	Smp_129050.1	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	FhHiC23_g14390.t1
OG0000081	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1
OG0000082	Smp_132900.1	FhHiC23_g13569.t1, FhHiC23_g13569.t2
OG0000085	Smp_127430.1	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1
OG0000086	Smp_149300.1	FhHiC23_g1071.t1
OG0000087	Smp_245790.1	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000088	Smp_028690.1, Smp_028690.2, Smp_131890.1	FhHiC23_g5522.t1
OG0000090	Smp_310930.1	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	Smp_146060.1	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2
OG0000092	Smp_180470.1, Smp_180470.2	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	Smp_064870.1	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	Smp_049550.1	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	FhHiC23_g6196.t1, FhHiC23_g5957.t1
OG0000094	Smp_128570.1	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	Smp_162630.1	FhHiC23_g7183.t1
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	Smp_168050.1	FhHiC23_g11521.t1
OG0000098	Smp_072330.1	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	Smp_340630.1, Smp_340630.2	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	Smp_000100.1	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	Smp_317420.1	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	Smp_036590.1	FhHiC23_g13582.t1
OG0000102	Smp_138050.1	FhHiC23_g7758.t1
OG0000103	Smp_067000.1	FhHiC23_g2725.t1
OG0000104	Smp_006250.1	FhHiC23_g12208.t1
OG0000105	Smp_019790.1	FhHiC23_g13058.t1
OG0000107	Smp_089430.1	FhHiC23_g2176.t1
OG0000108	Smp_093930.1	FhHiC23_g10941.t2, FhHiC23_g10941.t1
OG0000110	Smp_333980.1, Smp_055260.1	FhHiC23_g5186.t1, FhHiC23_g5186.t2
OG0000110	Smp_129920.1	FhHiC23_g5563.t1
OG0000110	Smp_129900.1	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3
OG0000111	Smp_072140.1	FhHiC23_g4957.t1
OG0000111	Smp_104110.1	FhHiC23_g5520.t1
OG0000112	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2	FhHiC23_g3619.t1, FhHiC23_g3619.t2
OG0000114	Smp_144700.1	FhHiC23_g9186.t1
OG0000115	Smp_094320.1	FhHiC23_g5095.t1
OG0000116	Smp_013840.1, Smp_013840.2	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2
OG0000117	Smp_014170.1	FhHiC23_g5310.t1
OG0000118	Smp_319790.1, Smp_148080.1, Smp_344080.1, Smp_344070.1, Smp_319780.1, Smp_319770.1, Smp_319770.2	FhHiC23_g5237.t1
OG0000119	Smp_347870.1, Smp_247020.1	FhHiC23_g10335.t1
OG0000120	Smp_167850.1	FhHiC23_g5279.t1
OG0000122	Smp_344340.1	FhHiC23_g1533.t1
OG0000123	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1
OG0000125	Smp_097830.2, Smp_097830.1, Smp_097830.3	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3
OG0000126	Smp_008620.1	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1
OG0000127	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3	FhHiC23_g12206.t1, FhHiC23_g12204.t1
OG0000128	Smp_332660.1	FhHiC23_g14316.t1
OG0000129	Smp_140420.1	FhHiC23_g5688.t1, FhHiC23_g5688.t2
OG0000130	Smp_060420.1, Smp_060420.2	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3
OG0000131	Smp_322720.1, Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1
OG0000132	Smp_028030.1	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3
OG0000133	Smp_072980.1	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1
OG0000134	Smp_032480.1	FhHiC23_g15419.t1, FhHiC23_g15419.t2
OG0000135	Smp_046060.1, Smp_046060.2	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3
OG0000136	Smp_174310.1	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2
OG0000138	Smp_158600.1	FhHiC23_g16219.t1
OG0000138	Smp_335620.1	FhHiC23_g14050.t1
OG0000139	Smp_031040.1	FhHiC23_g12767.t1
OG0000140	Smp_059210.1, Smp_059210.2	FhHiC23_g217.t1, FhHiC23_g217.t2
OG0000142	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1	FhHiC23_g15368.t1, FhHiC23_g15368.t2, FhHiC23_g11124.t1, FhHiC23_g15370.t1, FhHiC23_g15371.t1, FhHiC23_g15362.t2, FhHiC23_g15362.t1, FhHiC23_g15363.t1, FhHiC23_g15366.t1, FhHiC23_g15365.t1, FhHiC23_g11989.t1, FhHiC23_g15549.t1, FhHiC23_g15251.t1
OG0000143	Smp_202190.1, Smp_301550.1, Smp_326730.1	FhHiC23_g7696.t1, FhHiC23_g7697.t1
OG0000144	Smp_034190.1	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2
OG0000144	Smp_097660.1	FhHiC23_g4712.t2, FhHiC23_g4712.t1
OG0000145	Smp_110280.1, Smp_110280.2	FhHiC23_g6031.t1
OG0000146	Smp_016630.1	FhHiC23_g8653.t1
OG0000146	Smp_246100.1	FhHiC23_g3017.t1
OG0000146	Smp_020080.1	FhHiC23_g4902.t1
OG0000146	Smp_016250.1	FhHiC23_g2238.t1
OG0000147	Smp_019170.1	FhHiC23_g4780.t1
OG0000148	Smp_346640.1	FhHiC23_g5498.t1
OG0000149	Smp_123410.1	FhHiC23_g720.t1
OG0000151	Smp_167920.1	FhHiC23_g7923.t1, FhHiC23_g7924.t1
OG0000152	Smp_078310.1	FhHiC23_g11170.t1
OG0000153	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1	FhHiC23_g1476.t1, FhHiC23_g1472.t1, FhHiC23_g1472.t2
OG0000154	Smp_333260.1	FhHiC23_g3121.t1, FhHiC23_g3120.t1, FhHiC23_g3119.t1, FhHiC23_g11005.t1, FhHiC23_g3122.t1
OG0000155	Smp_302040.1, Smp_302040.2, Smp_302040.3	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4
OG0000156	Smp_143840.1	FhHiC23_g15553.t1
OG0000156	Smp_039750.3, Smp_039750.1, Smp_039750.2	FhHiC23_g15566.t2, FhHiC23_g15566.t1, FhHiC23_g15566.t3, FhHiC23_g15050.t1
OG0000157	Smp_212410.1, Smp_212410.2	FhHiC23_g8049.t2, FhHiC23_g8049.t1
OG0000157	Smp_332710.1	FhHiC23_g14186.t1
OG0000157	Smp_153100.1	FhHiC23_g9140.t1, FhHiC23_g9140.t2
OG0000158	Smp_068960.1, Smp_159520.1	FhHiC23_g13141.t1, FhHiC23_g13141.t2
OG0000159	Smp_129520.1	FhHiC23_g7585.t1
OG0000160	Smp_136550.1	FhHiC23_g11475.t1
OG0000162	Smp_137100.1	FhHiC23_g16595.t1
OG0000164	Smp_179910.1	FhHiC23_g8533.t1
OG0000164	Smp_062510.1	FhHiC23_g1084.t1
OG0000164	Smp_071250.1	FhHiC23_g5363.t1, FhHiC23_g5363.t2
OG0000165	Smp_002820.1	FhHiC23_g7386.t1, FhHiC23_g7386.t2
OG0000166	Smp_173060.1	FhHiC23_g4357.t1, FhHiC23_g4436.t1
OG0000167	Smp_042550.1, Smp_042550.2	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4
OG0000169	Smp_041460.1, Smp_155310.1	FhHiC23_g14278.t1
OG0000169	Smp_140000.1	FhHiC23_g10077.t1, FhHiC23_g10076.t1
OG0000170	Smp_343440.1	FhHiC23_g1333.t1
OG0000172	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3, FhHiC23_g11485.t2
OG0000173	Smp_344580.1	FhHiC23_g3805.t1, FhHiC23_g3804.t1
OG0000175	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1	FhHiC23_g4838.t1, FhHiC23_g4840.t1, FhHiC23_g4840.t2, FhHiC23_g4841.t2, FhHiC23_g4841.t1, FhHiC23_g4843.t1, FhHiC23_g4844.t1, FhHiC23_g4846.t1
OG0000177	Smp_333480.1, Smp_333480.2	FhHiC23_g7294.t2, FhHiC23_g7294.t1, FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5
OG0000178	Smp_150750.1	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1
OG0000179	Smp_134080.1, Smp_246010.1	FhHiC23_g1759.t1, FhHiC23_g2123.t1
OG0000180	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1	FhHiC23_g4225.t1
OG0000182	Smp_159990.1	FhHiC23_g8157.t2, FhHiC23_g8157.t1
OG0000182	Smp_020270.1, Smp_020270.2	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3
OG0000183	Smp_152870.1	FhHiC23_g5440.t1, FhHiC23_g5440.t2
OG0000184	Smp_167750.1	FhHiC23_g551.t1
OG0000184	Smp_004220.1	FhHiC23_g552.t1
OG0000185	Smp_057120.1, Smp_057120.2	FhHiC23_g5939.t1, FhHiC23_g5938.t1
OG0000186	Smp_334080.1	FhHiC23_g2328.t1, FhHiC23_g2327.t1
OG0000187	Smp_014670.1	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2
OG0000188	Smp_125770.1	FhHiC23_g5387.t1
OG0000189	Smp_347670.1	FhHiC23_g11311.t1, FhHiC23_g11311.t2
OG0000190	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3	FhHiC23_g2208.t1, FhHiC23_g2208.t2
OG0000191	Smp_154670.1, Smp_187360.1, Smp_154680.1	FhHiC23_g14871.t1, FhHiC23_g4941.t1, FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1, FhHiC23_g14042.t1
OG0000192	Smp_009990.1	FhHiC23_g8375.t1, FhHiC23_g8375.t3, FhHiC23_g8375.t2
OG0000194	Smp_145190.1, Smp_145190.2	FhHiC23_g2835.t1, FhHiC23_g2835.t2
OG0000195	Smp_089930.1	FhHiC23_g1825.t1
OG0000196	Smp_051090.1	FhHiC23_g13335.t1, FhHiC23_g15952.t1
OG0000196	Smp_337400.1, Smp_337400.3	FhHiC23_g11302.t1
OG0000198	Smp_058690.1, Smp_058700.1	FhHiC23_g11938.t1
OG0000199	Smp_033950.1	FhHiC23_g6386.t1
OG0000201	Smp_158560.1, Smp_158560.2	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4
OG0000202	Smp_129710.1	FhHiC23_g4745.t1
OG0000203	Smp_168040.1	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2
OG0000205	Smp_129770.1, Smp_129770.2	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1
OG0000206	Smp_031920.1	FhHiC23_g6357.t4
OG0000207	Smp_137320.1, Smp_319310.1, Smp_319310.2, Smp_137310.1, Smp_178420.1, Smp_137300.1, Smp_027940.1	FhHiC23_g5475.t1, FhHiC23_g5478.t1, FhHiC23_g5477.t1, FhHiC23_g5930.t1, FhHiC23_g5929.t1, FhHiC23_g5928.t1, FhHiC23_g5931.t1
OG0000208	Smp_312880.1	FhHiC23_g2420.t2, FhHiC23_g2420.t1, FhHiC23_g2420.t3
OG0000209	Smp_214240.1, Smp_128390.1	FhHiC23_g12702.t2, FhHiC23_g12702.t1
OG0000210	Smp_143690.1, Smp_143690.2	FhHiC23_g3612.t1, FhHiC23_g3613.t3, FhHiC23_g3613.t1, FhHiC23_g3613.t2
OG0000211	Smp_033050.1	FhHiC23_g10758.t1, FhHiC23_g10758.t2
OG0000212	Smp_123940.1	FhHiC23_g10468.t1
OG0000213	Smp_333170.1	FhHiC23_g11275.t2, FhHiC23_g11275.t1
OG0000214	Smp_134410.1, Smp_134410.3	FhHiC23_g12464.t1
OG0000217	Smp_343380.1	FhHiC23_g16420.t1, FhHiC23_g6181.t2, FhHiC23_g6181.t1, FhHiC23_g6181.t4, FhHiC23_g6181.t3
OG0000218	Smp_244280.1	FhHiC23_g10938.t1
OG0000219	Smp_162080.1	FhHiC23_g7095.t1, FhHiC23_g7095.t2
OG0000220	Smp_329410.1, Smp_126840.1	FhHiC23_g408.t1, FhHiC23_g408.t4, FhHiC23_g408.t3, FhHiC23_g408.t2
OG0000221	Smp_165820.1	FhHiC23_g11237.t1, FhHiC23_g11237.t2
OG0000221	Smp_153140.1	FhHiC23_g13193.t1, FhHiC23_g13193.t2
OG0000222	Smp_313450.1	FhHiC23_g13191.t1, FhHiC23_g14315.t1, FhHiC23_g2592.t1, FhHiC23_g2592.t2
OG0000223	Smp_159100.1	FhHiC23_g11673.t1, FhHiC23_g11673.t2
OG0000224	Smp_153770.1	FhHiC23_g13567.t1, FhHiC23_g13567.t2
OG0000225	Smp_017730.1	FhHiC23_g12647.t2, FhHiC23_g12647.t1, FhHiC23_g12647.t3
OG0000226	Smp_124820.1	FhHiC23_g6531.t1
OG0000227	Smp_122680.1	FhHiC23_g7842.t1
OG0000228	Smp_104030.1	FhHiC23_g14649.t2, FhHiC23_g14649.t3, FhHiC23_g14649.t4, FhHiC23_g14649.t1
OG0000229	Smp_307880.1	FhHiC23_g7934.t1, FhHiC23_g7934.t2, FhHiC23_g7934.t3
OG0000230	Smp_308600.1, Smp_308590.1	FhHiC23_g7263.t1
OG0000234	Smp_337850.1	FhHiC23_g14737.t2, FhHiC23_g14737.t3
OG0000235	Smp_342880.1, Smp_342880.2	FhHiC23_g13724.t4, FhHiC23_g13724.t1, FhHiC23_g13724.t2, FhHiC23_g13724.t3
OG0000236	Smp_147620.1	FhHiC23_g99.t1
OG0000237	Smp_130030.1	FhHiC23_g1247.t1, FhHiC23_g1247.t2
OG0000238	Smp_158450.1	FhHiC23_g5162.t2, FhHiC23_g5162.t1, FhHiC23_g5162.t3
OG0000239	Smp_163610.1, Smp_336250.1	FhHiC23_g9956.t1, FhHiC23_g9956.t2, FhHiC23_g10452.t1, FhHiC23_g10444.t1, FhHiC23_g4496.t1, FhHiC23_g10424.t1, FhHiC23_g10448.t1, FhHiC23_g10453.t1, FhHiC23_g10453.t2
OG0000240	Smp_168370.2, Smp_168370.1	FhHiC23_g4686.t1
OG0000241	Smp_244950.1, Smp_244960.1	FhHiC23_g11654.t2, FhHiC23_g11654.t1
OG0000241	Smp_171030.1	FhHiC23_g9749.t1, FhHiC23_g9749.t2
OG0000242	Smp_346520.1	FhHiC23_g13438.t1
OG0000243	Smp_246870.1	FhHiC23_g12307.t1
OG0000244	Smp_125550.1	FhHiC23_g12089.t3, FhHiC23_g12089.t1, FhHiC23_g12089.t2
OG0000245	Smp_315810.1, Smp_315810.2	FhHiC23_g11378.t1, FhHiC23_g11378.t3, FhHiC23_g11378.t2
OG0000246	Smp_334490.1	FhHiC23_g3827.t2, FhHiC23_g3827.t1
OG0000247	Smp_340410.1	FhHiC23_g13506.t1, FhHiC23_g13506.t2
OG0000248	Smp_023360.1	FhHiC23_g6905.t1
OG0000249	Smp_340960.1	FhHiC23_g15028.t1, FhHiC23_g15376.t1
OG0000250	Smp_049380.1	FhHiC23_g4773.t1, FhHiC23_g4773.t2
OG0000251	Smp_055220.1	FhHiC23_g3222.t1
