Orthogroup	schistosoma_japonicum	schistosoma_guineensis
OG0000008	EWB00_003269	SGUI1_2730.1, SGUI1_72400.1, SGUI1_13750.3, SGUI1_41060.1
OG0000009	EWB00_004712	SGUI1_81230.1
OG0000010	EWB00_004604	SGUI1_63390.1
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5
OG0000015	EWB00_008877	SGUI1_66240.1
OG0000015	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5	SGUI1_38300.1
OG0000015	EWB00_004377.1, EWB00_004377.2	SGUI1_38310.1
OG0000015	EWB00_009254, EWB00_009256.1, EWB00_009256.2	SGUI1_43650.1
OG0000015	EWB00_006401.1, EWB00_006401.2	SGUI1_42800.1
OG0000015	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	SGUI1_9360.1
OG0000018	EWB00_010090	SGUI1_95460.1, SGUI1_49660.2, SGUI1_49660.5, SGUI1_70620.1, SGUI1_49660.3, SGUI1_49660.4, SGUI1_49660.6, SGUI1_27910.1, SGUI1_27920.1, SGUI1_49660.1, SGUI1_4330.2, SGUI1_4340.2, SGUI1_4330.4, SGUI1_4340.4, SGUI1_7860.1, SGUI1_4330.3, SGUI1_4330.5, SGUI1_4340.3, SGUI1_4340.5, SGUI1_4330.1, SGUI1_4340.1, SGUI1_72780.2, SGUI1_72780.1, SGUI1_72780.3, SGUI1_63130.1, SGUI1_63130.2, SGUI1_63130.3, SGUI1_87320.1, SGUI1_97010.1, SGUI1_97010.2
OG0000019	EWB00_004344	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7
OG0000019	EWB00_004346	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15
OG0000020	EWB00_000448	SGUI1_92560.11, SGUI1_92560.3, SGUI1_92560.9, SGUI1_92560.10, SGUI1_92560.6, SGUI1_92560.7, SGUI1_92560.8, SGUI1_92560.5, SGUI1_92560.2, SGUI1_92560.4, SGUI1_92560.12, SGUI1_92560.13, SGUI1_92560.16, SGUI1_92560.17, SGUI1_92560.14, SGUI1_92560.15, SGUI1_92560.1
OG0000021	EWB00_010539	SGUI1_7740.1
OG0000021	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1	SGUI1_5500.1
OG0000021	EWB00_002049	SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2
OG0000021	EWB00_002050.1, EWB00_002050.2	SGUI1_5480.1
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	SGUI1_5490.1
OG0000021	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3	SGUI1_5450.1, SGUI1_5450.2
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13
OG0000023	EWB00_001990	SGUI1_37700.1, SGUI1_37700.2
OG0000023	EWB00_008435	SGUI1_43890.1, SGUI1_86030.1, SGUI1_12860.1, SGUI1_58570.1
OG0000024	EWB00_007079	SGUI1_23290.1
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	SGUI1_91920.1
OG0000024	EWB00_008906	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2
OG0000024	EWB00_001214	SGUI1_80800.1, SGUI1_80800.2
OG0000024	EWB00_003471	SGUI1_80790.2, SGUI1_80790.1, SGUI1_80790.3
OG0000026	EWB00_002251.1, EWB00_002251.2	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1
OG0000026	EWB00_002721	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2
OG0000026	EWB00_002746	SGUI1_72480.1
OG0000027	EWB00_003944	SGUI1_39960.1
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10
OG0000029	EWB00_008857	SGUI1_57980.1
OG0000029	EWB00_007517	SGUI1_87750.1
OG0000029	EWB00_002502.3	SGUI1_20300.1, SGUI1_20290.1
OG0000029	EWB00_004876	SGUI1_88610.3
OG0000029	EWB00_004878	SGUI1_88610.1, SGUI1_88610.2
OG0000030	EWB00_003826	SGUI1_6410.1
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8
OG0000032	EWB00_008461	SGUI1_9580.1
OG0000032	EWB00_003338	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1, SGUI1_80200.1, SGUI1_80200.2, SGUI1_80200.3
OG0000033	EWB00_011057, EWB00_008866	SGUI1_1730.1, SGUI1_9080.1, SGUI1_90840.1, SGUI1_12710.1, SGUI1_55160.1, SGUI1_1720.1, SGUI1_41780.1, SGUI1_42490.1, SGUI1_11600.1, SGUI1_31330.1, SGUI1_34350.1, SGUI1_64520.1, SGUI1_92500.1, SGUI1_95170.1, SGUI1_12380.1, SGUI1_65730.1, SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1, SGUI1_13730.1, SGUI1_9380.1
OG0000034	EWB00_008584	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3
OG0000034	EWB00_008585	SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1
OG0000034	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1
OG0000035	EWB00_002318	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19
OG0000036	EWB00_004262	SGUI1_23160.1, SGUI1_57530.1, SGUI1_26740.1, SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3
OG0000037	EWB00_006569	SGUI1_60370.1, SGUI1_60380.1
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	SGUI1_52270.1, SGUI1_52260.1
OG0000041	EWB00_010562, EWB00_005597, EWB00_003816	SGUI1_12110.1
OG0000042	EWB00_009261.1, EWB00_009261.2	SGUI1_39810.1
OG0000042	EWB00_004609	SGUI1_39790.1, SGUI1_69850.1
OG0000042	EWB00_004610, EWB00_009263	SGUI1_39800.1, SGUI1_69840.1
OG0000043	EWB00_003370, EWB00_010871	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2
OG0000044	EWB00_011369.1, EWB00_011369.2	SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	SGUI1_9760.1, SGUI1_88200.2, SGUI1_88200.1, SGUI1_3820.1
OG0000046	EWB00_001944, EWB00_002829	SGUI1_16750.1, SGUI1_35060.1, SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1, SGUI1_7850.1
OG0000046	EWB00_009841, EWB00_008650	SGUI1_43590.1
OG0000048	EWB00_001580	SGUI1_96830.1, SGUI1_46010.1, SGUI1_84430.1, SGUI1_84430.2
OG0000049	EWB00_001608.1, EWB00_001608.2	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14
OG0000049	EWB00_008098	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1
OG0000050	EWB00_005371.1, EWB00_005371.2	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1
OG0000052	EWB00_003293	SGUI1_28340.1
OG0000052	EWB00_007330	SGUI1_3230.1
OG0000052	EWB00_005671	SGUI1_940.1
OG0000052	EWB00_003847	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1
OG0000052	EWB00_009848	SGUI1_67400.1
OG0000053	EWB00_005460.2, EWB00_005460.1	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5
OG0000054	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767	SGUI1_3410.1, SGUI1_34850.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	SGUI1_69140.1, SGUI1_69130.1
OG0000056	EWB00_006591, EWB00_008824	SGUI1_25970.1, SGUI1_44100.1
OG0000057	EWB00_008005	SGUI1_77540.1
OG0000058	EWB00_001871	SGUI1_90500.1, SGUI1_90500.2
OG0000058	EWB00_003488.1, EWB00_003488.2	SGUI1_80950.1
OG0000058	EWB00_003491	SGUI1_80980.1, SGUI1_81010.1
OG0000060	EWB00_010498.1, EWB00_010498.2	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	SGUI1_52750.1
OG0000062	EWB00_008458	SGUI1_5830.12, SGUI1_5830.8, SGUI1_5830.14, SGUI1_5830.7, SGUI1_5830.3, SGUI1_5830.10, SGUI1_5830.11, SGUI1_5830.13, SGUI1_5830.15, SGUI1_5830.16, SGUI1_5830.5, SGUI1_5830.6, SGUI1_5830.1, SGUI1_5830.17, SGUI1_5830.2, SGUI1_5830.4, SGUI1_5830.19, SGUI1_5830.18, SGUI1_5830.9
OG0000063	EWB00_006170	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2
OG0000065	EWB00_000537	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	SGUI1_22690.6, SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8, SGUI1_22680.1, SGUI1_22690.5, SGUI1_22690.1, SGUI1_22690.3, SGUI1_22690.2
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	SGUI1_36990.15, SGUI1_36990.20, SGUI1_36990.5, SGUI1_36990.8, SGUI1_36990.10, SGUI1_36990.21, SGUI1_36990.1, SGUI1_36990.11, SGUI1_36990.4, SGUI1_36990.9, SGUI1_36990.14, SGUI1_36990.12, SGUI1_36990.16, SGUI1_36990.13, SGUI1_36990.19, SGUI1_36990.6
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	SGUI1_67950.23, SGUI1_67950.20, SGUI1_67950.21, SGUI1_67950.24, SGUI1_67950.26, SGUI1_67950.18, SGUI1_67950.25, SGUI1_67950.10, SGUI1_67950.11, SGUI1_67950.15, SGUI1_67950.6, SGUI1_67950.7, SGUI1_67950.9, SGUI1_67950.8, SGUI1_67950.13, SGUI1_67950.1, SGUI1_67950.14, SGUI1_67950.22, SGUI1_67950.16, SGUI1_67950.17, SGUI1_67950.2, SGUI1_67950.3, SGUI1_67950.4, SGUI1_67950.19, SGUI1_67950.12, SGUI1_67950.5
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	SGUI1_54050.1
OG0000068	EWB00_000572	SGUI1_95000.1
OG0000068	EWB00_004327	SGUI1_36450.2, SGUI1_36450.3, SGUI1_36450.1, SGUI1_36450.4
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	SGUI1_28390.1
OG0000069	EWB00_002487	SGUI1_20160.1, SGUI1_20160.11, SGUI1_20160.12, SGUI1_20160.16, SGUI1_20160.4, SGUI1_20160.22, SGUI1_20160.24, SGUI1_20160.13, SGUI1_20160.14, SGUI1_20160.17, SGUI1_20160.18, SGUI1_20160.5, SGUI1_20160.6, SGUI1_20160.7, SGUI1_20160.8, SGUI1_20160.10, SGUI1_20160.15, SGUI1_20160.2, SGUI1_20160.3, SGUI1_20160.9, SGUI1_20160.20, SGUI1_20160.21, SGUI1_20160.26, SGUI1_20160.27, SGUI1_20160.23, SGUI1_20160.25, SGUI1_20160.19
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	SGUI1_43740.12, SGUI1_43740.10, SGUI1_43740.4, SGUI1_43740.8, SGUI1_43740.3, SGUI1_43740.7, SGUI1_43740.11, SGUI1_43740.5, SGUI1_43740.9, SGUI1_43740.2, SGUI1_43740.1, SGUI1_43740.6
OG0000071	EWB00_001786	SGUI1_33980.13, SGUI1_33980.3, SGUI1_33980.4, SGUI1_33980.1, SGUI1_33980.10, SGUI1_33980.11, SGUI1_33980.12, SGUI1_33980.14, SGUI1_33980.15, SGUI1_33980.2, SGUI1_33980.5, SGUI1_33980.7, SGUI1_33980.8, SGUI1_33980.9, SGUI1_33980.18, SGUI1_33980.6, SGUI1_33980.17, SGUI1_33980.19, SGUI1_33980.20, SGUI1_33980.16
OG0000072	EWB00_001684	SGUI1_89930.2, SGUI1_89930.3, SGUI1_89930.9, SGUI1_89930.8, SGUI1_89930.4, SGUI1_89930.7, SGUI1_89930.13, SGUI1_89930.6, SGUI1_89930.11, SGUI1_89930.12, SGUI1_89930.14, SGUI1_89930.15, SGUI1_89930.10, SGUI1_89930.5, SGUI1_89930.1
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	SGUI1_55590.1, SGUI1_55600.1
OG0000074	EWB00_007721.2, EWB00_007721.3, EWB00_007721.5	SGUI1_1260.3
OG0000074	EWB00_007721.1	SGUI1_1260.2, SGUI1_1260.1
OG0000074	EWB00_007512.1	SGUI1_88410.1
OG0000074	EWB00_004196.6	SGUI1_10520.1
OG0000074	EWB00_008993	SGUI1_88510.1
OG0000075	EWB00_001749	SGUI1_33710.2, SGUI1_33710.1, SGUI1_33710.11, SGUI1_33710.12, SGUI1_33710.13, SGUI1_33710.3, SGUI1_33710.5, SGUI1_33710.6, SGUI1_33710.7, SGUI1_33710.8, SGUI1_33710.10, SGUI1_33710.4, SGUI1_33710.9
OG0000076	EWB00_009041	SGUI1_3900.1
OG0000077	EWB00_004677	SGUI1_9990.1
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	SGUI1_5180.1, SGUI1_5180.2, SGUI1_5180.3, SGUI1_5170.1
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	SGUI1_30470.1
OG0000079	EWB00_006494.1, EWB00_006494.2	SGUI1_54120.1
OG0000080	EWB00_004899.1, EWB00_004899.2	SGUI1_44150.1
OG0000081	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	SGUI1_12320.1, SGUI1_19810.1, SGUI1_56350.1, SGUI1_71020.1, SGUI1_80400.1, SGUI1_20570.1, SGUI1_25980.1, SGUI1_44110.1, SGUI1_47550.1, SGUI1_81680.1
OG0000082	EWB00_009477	SGUI1_9680.10, SGUI1_9680.11, SGUI1_9680.13, SGUI1_9680.14, SGUI1_9680.4, SGUI1_9680.1, SGUI1_9680.12, SGUI1_9680.15, SGUI1_9680.17, SGUI1_9680.18, SGUI1_9680.19, SGUI1_9680.6, SGUI1_9680.7, SGUI1_9680.9, SGUI1_9680.16, SGUI1_9680.2, SGUI1_9680.3, SGUI1_9680.5, SGUI1_9680.8
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	SGUI1_36330.5, SGUI1_36330.6, SGUI1_36330.1, SGUI1_36330.10, SGUI1_36330.11, SGUI1_36330.13, SGUI1_36330.14, SGUI1_36330.15, SGUI1_36330.16, SGUI1_36330.17, SGUI1_36330.18, SGUI1_36330.2, SGUI1_36330.7, SGUI1_36330.8, SGUI1_36330.9, SGUI1_36330.12, SGUI1_36330.3, SGUI1_36330.4, SGUI1_36330.19
OG0000086	EWB00_004530	SGUI1_73460.10, SGUI1_73460.11, SGUI1_73460.5, SGUI1_73460.7, SGUI1_73460.12, SGUI1_73460.8, SGUI1_73460.9, SGUI1_73460.6, SGUI1_73460.3, SGUI1_73460.1, SGUI1_73460.4, SGUI1_73460.2
OG0000087	EWB00_010661	SGUI1_53090.11, SGUI1_53090.16, SGUI1_53090.3, SGUI1_53090.10, SGUI1_53090.9, SGUI1_53090.1, SGUI1_53090.13, SGUI1_53090.6, SGUI1_53090.17, SGUI1_53090.14, SGUI1_53090.15, SGUI1_53090.2, SGUI1_53090.4, SGUI1_53090.12, SGUI1_53090.5, SGUI1_53090.7, SGUI1_53090.8
OG0000088	EWB00_007313	SGUI1_3040.1, SGUI1_3040.2
OG0000088	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	SGUI1_3020.10, SGUI1_3020.9, SGUI1_3020.4, SGUI1_3020.5, SGUI1_3020.6, SGUI1_3020.7, SGUI1_3020.2, SGUI1_3020.8, SGUI1_3020.1, SGUI1_3020.3
OG0000091	EWB00_010764.1, EWB00_010764.2	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5
OG0000092	EWB00_007194.1, EWB00_007194.2	SGUI1_2250.1, SGUI1_2240.1
