Orthogroup	schistosoma_japonicum	opisthorchis_viverrini
OG0000092	EWB00_007194.1, EWB00_007194.2	T265_14035, T265_15099
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	T265_03205
OG0000093	EWB00_003936	T265_08704
OG0000094	EWB00_009097.1, EWB00_009097.2	T265_06493
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	T265_08487
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	T265_09813
OG0000097	EWB00_007768	T265_02082
OG0000098	EWB00_011356	T265_08810
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	T265_16367, T265_15515
OG0000099	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3	T265_01131
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	T265_02321
OG0000100	EWB00_007164, EWB00_003625, EWB00_009588, EWB00_010419	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636
OG0000102	EWB00_010834.2, EWB00_010834.1	T265_01574
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	T265_05632
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	T265_13207
OG0000105	EWB00_002088, EWB00_004453	T265_07815, T265_03022
OG0000107	EWB00_007831	T265_07863
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	T265_04554, T265_13536
OG0000110	EWB00_006025, EWB00_006029	T265_08891, T265_08892
OG0000110	EWB00_006023	T265_08890
OG0000111	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4	T265_09132
OG0000111	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3	T265_08991, T265_14719
OG0000112	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1	T265_10678
OG0000114	EWB00_000559.1, EWB00_000559.2	T265_15923, T265_05226, T265_11486
OG0000115	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3	T265_14637
OG0000116	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5	T265_02129
OG0000117	EWB00_006015.1, EWB00_006015.2	T265_11206
OG0000119	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1	T265_12920
OG0000120	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3	T265_09108
OG0000122	EWB00_003485	T265_15228, T265_15224
OG0000123	EWB00_001234.1, EWB00_001234.2	T265_02792
OG0000125	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3	T265_13688
OG0000127	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4	T265_14567
OG0000128	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3	T265_14408
OG0000129	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1	T265_07587
OG0000130	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3	T265_04661
OG0000131	EWB00_002108.1, EWB00_002108.2, EWB00_003089	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3	T265_00680
OG0000133	EWB00_002574.1, EWB00_002574.2	T265_04893
OG0000134	EWB00_002521	T265_14784
OG0000135	EWB00_002678.2, EWB00_002678.1	T265_07991, T265_11510
OG0000136	EWB00_002100.1, EWB00_002100.2	T265_11527
OG0000138	EWB00_007536.1, EWB00_007536.2	T265_11205
OG0000138	EWB00_009704	T265_13897
OG0000139	EWB00_009035	T265_03450
OG0000140	EWB00_010959	T265_06793, T265_05820
OG0000143	EWB00_006280.1, EWB00_006280.2	T265_04146, T265_13432
OG0000144	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6	T265_01304
OG0000144	EWB00_001080	T265_12086
OG0000144	EWB00_005163	T265_06668, T265_13782
OG0000145	EWB00_002936	T265_14746
OG0000146	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3	T265_07748
OG0000146	EWB00_005122	T265_07423, T265_07424
OG0000146	EWB00_007935.1, EWB00_007935.2	T265_08388
OG0000146	EWB00_006903	T265_03861
OG0000149	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4	T265_03520
OG0000151	EWB00_008868	T265_06094
OG0000152	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5	T265_06135
OG0000153	EWB00_005352.1, EWB00_005352.2, EWB00_003676, EWB00_008423, EWB00_003671, EWB00_008422	T265_16031, T265_12191, T265_02887, T265_13113
OG0000154	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2	T265_03183
OG0000155	EWB00_005616	T265_08299
OG0000156	EWB00_010322	T265_00887, T265_16074
OG0000156	EWB00_010321	T265_03696, T265_15374
OG0000157	EWB00_001166	T265_06998, T265_11481
OG0000157	EWB00_005728	T265_01460, T265_12799
OG0000157	EWB00_011201	T265_09530, T265_09531, T265_14875
OG0000158	EWB00_006315, EWB00_006316	T265_15093
OG0000159	EWB00_009175	T265_08123
OG0000160	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3	T265_10045
OG0000161	EWB00_003371.1, EWB00_003371.2	T265_02978
OG0000164	EWB00_011122.1, EWB00_011122.2	T265_13175
OG0000164	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4	T265_00011
OG0000164	EWB00_003801.1, EWB00_003801.2	T265_00309
OG0000164	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4	T265_07457
OG0000165	EWB00_010478	T265_11439
OG0000166	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1	T265_10300
OG0000167	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6	T265_06764
OG0000169	EWB00_000574, EWB00_004911.1, EWB00_004911.2	T265_09476
OG0000169	EWB00_009686	T265_02738, T265_02739, T265_02737
OG0000170	EWB00_000962	T265_12986
OG0000171	EWB00_006697	T265_03862, T265_12839, T265_04612, T265_00184
OG0000172	EWB00_001058.1, EWB00_001058.2	T265_00976
OG0000173	EWB00_008475	T265_02233
OG0000175	EWB00_007666, EWB00_007667, EWB00_007668, EWB00_007669	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591
OG0000176	EWB00_001540, EWB00_004362, EWB00_005462, EWB00_010563, EWB00_003767, EWB00_010852	T265_11069
OG0000177	EWB00_010516.1, EWB00_010516.2	T265_00175
OG0000178	EWB00_003718	T265_14067, T265_06556, T265_06557
OG0000179	EWB00_000893, EWB00_009104	T265_00043
OG0000180	EWB00_006752, EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163, EWB00_006750.1, EWB00_006750.2	T265_07809
OG0000182	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2	T265_01820, T265_01818
OG0000182	EWB00_000643	T265_15629, T265_15631
OG0000183	EWB00_005958.1, EWB00_005958.2	T265_03893
OG0000184	EWB00_006467.1, EWB00_006467.2	T265_08817, T265_08819
OG0000184	EWB00_006468	T265_01209, T265_01210, T265_16188
OG0000185	EWB00_005969.1, EWB00_005969.2	T265_08504
OG0000186	EWB00_002720	T265_11314
OG0000187	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3	T265_00019
OG0000188	EWB00_010904	T265_08339
OG0000189	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4	T265_02452, T265_02451
OG0000190	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2	T265_05088
OG0000191	EWB00_004926, EWB00_003159, EWB00_004925, EWB00_003164, EWB00_003167	T265_04702, T265_04703
OG0000192	EWB00_003964.1, EWB00_003964.2	T265_05152, T265_13696
OG0000193	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225	T265_12730, T265_08127
OG0000194	EWB00_001391	T265_13065
OG0000195	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3	T265_01951
OG0000196	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3	T265_01003, T265_08738
OG0000196	EWB00_009417.2, EWB00_009417.1	T265_13637
OG0000198	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3	T265_15102
OG0000199	EWB00_007850.1, EWB00_007850.2	T265_11013
OG0000201	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3	T265_08652
OG0000202	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2	T265_10935
OG0000203	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3	T265_11084
OG0000205	EWB00_005482	T265_09508
OG0000206	EWB00_003373.1, EWB00_003373.2, EWB00_003373.3	T265_14079
OG0000207	EWB00_006855, EWB00_006859, EWB00_006857, EWB00_006860, EWB00_006858, EWB00_006856	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778
OG0000208	EWB00_006604	T265_08097
OG0000209	EWB00_003068	T265_07713
OG0000210	EWB00_008607	T265_02395, T265_06283
OG0000211	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4	T265_11721
OG0000212	EWB00_000254.1, EWB00_000254.2	T265_13666
OG0000214	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3	T265_07833
OG0000217	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7	T265_09745
OG0000218	EWB00_007629	T265_14088
OG0000219	EWB00_011278.1, EWB00_011278.2	T265_02042
OG0000220	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3	T265_02843
OG0000221	EWB00_009959, EWB00_008502	T265_08529, T265_14604
OG0000221	EWB00_007895, EWB00_007896	T265_06922
OG0000222	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2	T265_06992
OG0000223	EWB00_008468	T265_10052
OG0000224	EWB00_010846	T265_04345
OG0000225	EWB00_008634	T265_12484
OG0000226	EWB00_001463.1, EWB00_001463.2	T265_14337
OG0000227	EWB00_010050	T265_07183
OG0000228	EWB00_003240.1, EWB00_003240.2	T265_08398
OG0000229	EWB00_007972	T265_08218, T265_14510
OG0000230	EWB00_007125	T265_12726
OG0000234	EWB00_004388, EWB00_004387	T265_10531
OG0000235	EWB00_009052, EWB00_009056	T265_12698, T265_01014
OG0000236	EWB00_007746	T265_03312
OG0000237	EWB00_006822	T265_01303
OG0000239	EWB00_002853.1, EWB00_002853.2	T265_04264
OG0000240	EWB00_007941.1, EWB00_007941.2	T265_07380, T265_07378
OG0000241	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3, EWB00_007787	T265_06506, T265_11039
OG0000241	EWB00_007058.1, EWB00_007058.2	T265_07506
OG0000242	EWB00_004683	T265_13733
OG0000243	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3, EWB00_006288.1	T265_05124
OG0000244	EWB00_008588	T265_15435
OG0000245	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1	T265_14174, T265_14575
OG0000246	EWB00_003780.1, EWB00_003780.2	T265_10932
OG0000247	EWB00_006352.1, EWB00_006352.2	T265_15298
OG0000248	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2	T265_04925
OG0000249	EWB00_001035	T265_03415
OG0000250	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4	T265_06450
OG0000251	EWB00_001254.3, EWB00_001254.1, EWB00_001254.2	T265_09163
OG0000252	EWB00_006197	T265_02607
OG0000253	EWB00_000597.2, EWB00_000597.3, EWB00_000597.1	T265_10374
OG0000254	EWB00_009459.1, EWB00_009459.2, EWB00_009459.3	T265_06296, T265_06297
OG0000255	EWB00_003290.1, EWB00_003290.2	T265_13093
OG0000258	EWB00_007679.1, EWB00_007679.2	T265_07887
OG0000259	EWB00_003467	T265_11833
OG0000260	EWB00_002420.5, EWB00_002420.1, EWB00_002420.4, EWB00_002420.7, EWB00_002420.2, EWB00_002420.8, EWB00_002420.3, EWB00_002420.6	T265_02300
OG0000261	EWB00_007911, EWB00_007909, EWB00_007910	T265_01967
OG0000262	EWB00_004140, EWB00_004139	T265_02991
OG0000263	EWB00_004713	T265_01552
OG0000264	EWB00_004506, EWB00_004507	T265_06018
OG0000264	EWB00_006350	T265_00952
OG0000268	EWB00_002781.2, EWB00_002781.1, EWB00_002781.3	T265_01937
OG0000268	EWB00_000422.4, EWB00_000422.5, EWB00_000422.2, EWB00_000422.3, EWB00_000422.1	T265_14773
OG0000269	EWB00_009039	T265_07262
OG0000270	EWB00_005015.1, EWB00_005015.2, EWB00_005015.3	T265_05581
OG0000271	EWB00_010608.4, EWB00_010608.1, EWB00_010608.2, EWB00_010608.3, EWB00_010608.5	T265_15071
OG0000272	EWB00_004167.1, EWB00_004167.2, EWB00_004167.4, EWB00_004167.5, EWB00_004167.3	T265_07370, T265_06215
OG0000273	EWB00_007794	T265_01594
OG0000274	EWB00_010594.5, EWB00_010594.2, EWB00_010594.1, EWB00_010594.3, EWB00_010594.4	T265_12983
OG0000275	EWB00_001311	T265_10067
OG0000276	EWB00_004524.5, EWB00_004524.3, EWB00_004524.2, EWB00_004524.1, EWB00_004524.4	T265_02335
OG0000281	EWB00_010291	T265_06212
OG0000282	EWB00_000750	T265_14842
OG0000283	EWB00_011116	T265_15051
OG0000285	EWB00_004295	T265_08710
OG0000286	EWB00_006409.1, EWB00_006409.2, EWB00_002827	T265_04472, T265_04474, T265_04727
OG0000287	EWB00_001190.1, EWB00_001190.2, EWB00_001190.3	T265_10894
OG0000288	EWB00_008053	T265_09141
OG0000289	EWB00_000082	T265_15426
OG0000290	EWB00_010888.2, EWB00_010888.3, EWB00_010888.4, EWB00_010888.6, EWB00_010888.1, EWB00_010888.5	T265_15145
OG0000290	EWB00_009745	T265_12657
OG0000291	EWB00_006455	T265_04365
OG0000292	EWB00_007865	T265_06608
OG0000293	EWB00_006949.2, EWB00_006949.1	T265_03762, T265_05025
OG0000293	EWB00_000820	T265_15333
OG0000293	EWB00_007238	T265_10243
OG0000294	EWB00_009046	T265_09655
OG0000295	EWB00_005285, EWB00_005283, EWB00_005284	T265_14299
OG0000297	EWB00_002278.3, EWB00_002278.2, EWB00_002278.1, EWB00_002278.4	T265_10571
OG0000298	EWB00_001802, EWB00_001803	T265_13422
OG0000298	EWB00_000994	T265_13679
OG0000299	EWB00_007963.1, EWB00_007963.2	T265_00596
OG0000300	EWB00_009379, EWB00_009380	T265_13509
OG0000301	EWB00_004573.5, EWB00_004573.1, EWB00_004573.7, EWB00_004573.2, EWB00_004573.3, EWB00_004573.4, EWB00_004573.6, EWB00_004573.8	T265_12938
OG0000302	EWB00_011256	T265_10713
OG0000303	EWB00_004180	T265_14378, T265_07763
OG0000304	EWB00_009739.1, EWB00_009739.2	T265_12343, T265_14866
OG0000305	EWB00_007763	T265_05934
OG0000306	EWB00_002091.1, EWB00_002091.2	T265_14560
OG0000307	EWB00_005330, EWB00_008525, EWB00_011426	T265_07841
OG0000311	EWB00_001060	T265_00973
OG0000312	EWB00_005964.1, EWB00_005964.2, EWB00_005964.3	T265_01921
OG0000313	EWB00_004170.1, EWB00_004170.2	T265_09150
OG0000314	EWB00_007714.1, EWB00_007714.2	T265_01890
OG0000315	EWB00_002931	T265_11685, T265_11690
OG0000316	EWB00_005434.1, EWB00_005434.2, EWB00_005434.3	T265_01535
OG0000317	EWB00_005657.1, EWB00_005657.2	T265_05123
OG0000318	EWB00_008744	T265_07846, T265_14409
OG0000319	EWB00_007862	T265_01888
OG0000320	EWB00_006052	T265_07800
OG0000320	EWB00_003791.1, EWB00_003791.2	T265_04040
OG0000321	EWB00_001296.1, EWB00_001296.2	T265_04495
OG0000322	EWB00_003360	T265_16264, T265_11089, T265_16340
OG0000323	EWB00_003324	T265_03109
OG0000324	EWB00_002977	T265_14121, T265_06759
OG0000325	EWB00_003497.1, EWB00_003497.2, EWB00_003497.3	T265_01773
OG0000326	EWB00_003851.1, EWB00_003851.3, EWB00_003851.2	T265_00641, T265_03157
OG0000327	EWB00_000974, EWB00_000972, EWB00_000973	T265_02347, T265_09489, T265_09958, T265_07526, T265_14620, T265_02671, T265_02673
OG0000328	EWB00_003307.1, EWB00_003307.2, EWB00_003309, EWB00_003308	T265_14757, T265_16117
OG0000329	EWB00_000879, EWB00_009351.1, EWB00_009351.3, EWB00_009351.2, EWB00_009351.4, EWB00_009351.5, EWB00_009351.7, EWB00_009351.6	T265_09935
OG0000332	EWB00_004112, EWB00_004113	T265_06732
OG0000333	EWB00_008457	T265_12002, T265_16355
OG0000334	EWB00_007243.1, EWB00_007243.2, EWB00_008221.1, EWB00_008221.2	T265_01786, T265_13083
OG0000335	EWB00_007904.1, EWB00_007904.2	T265_00217
OG0000336	EWB00_004857	T265_10908
OG0000336	EWB00_000600	T265_00993
