Orthogroup	schistosoma_japonicum	schmidtea_mediterranea
OG0000026	EWB00_002251.1, EWB00_002251.2, EWB00_002721, EWB00_002746	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3
OG0000029	EWB00_008857	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3
OG0000029	EWB00_002502.3, EWB00_002502.1, EWB00_002502.2, EWB00_002502.4	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1
OG0000029	EWB00_004876, EWB00_004878	h1SMcT0004609.1
OG0000030	EWB00_003826	h1SMcT0022545.1
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	h1SMcT0002175.5, h1SMcT0002175.6
OG0000033	EWB00_011057, EWB00_008866	h1SMcT0014497.2, h1SMcT0014497.3
OG0000034	EWB00_008584, EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1
OG0000035	EWB00_002318	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3, EWB00_006569	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3
OG0000042	EWB00_009261.1, EWB00_009261.2, EWB00_009262, EWB00_004609, EWB00_004610, EWB00_009263	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1
OG0000049	EWB00_001608.1, EWB00_001608.2	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2
OG0000049	EWB00_008098	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3
OG0000050	EWB00_005371.1, EWB00_005371.2	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4
OG0000052	EWB00_003293	h1SMcT0006122.2
OG0000052	EWB00_007330	h1SMcT0020686.1, h1SMcT0020686.2
OG0000052	EWB00_005671	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1
OG0000052	EWB00_003847	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1
OG0000052	EWB00_009848	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2
OG0000053	EWB00_005460.2, EWB00_005460.1	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	h1SMcT0011774.1, h1SMcT0011774.2
OG0000056	EWB00_000126.1, EWB00_000387.1, EWB00_000387.3, EWB00_005273, EWB00_008590, EWB00_010372, EWB00_008825, EWB00_006591, EWB00_008824	h1SMcT0017059.1
OG0000058	EWB00_001871, EWB00_003488.1, EWB00_003488.2, EWB00_003491	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4
OG0000060	EWB00_010498.1, EWB00_010498.2	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3
OG0000062	EWB00_008458	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5
OG0000063	EWB00_006170	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1
OG0000068	EWB00_000572, EWB00_004327	h1SMcT0007421.1, h1SMcT0007653.1
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	h1SMcT0008274.1, h1SMcT0013810.1
OG0000069	EWB00_002487	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11
OG0000072	EWB00_001684	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2
OG0000074	EWB00_007721.4, EWB00_007721.2, EWB00_007721.3, EWB00_007721.5, EWB00_007721.1	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1
OG0000074	EWB00_007512.1	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2
OG0000074	EWB00_008993	h1SMcT0008302.1
OG0000075	EWB00_001749	h1SMcT0017385.1
OG0000076	EWB00_000338, EWB00_000339	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3
OG0000076	EWB00_009041	h1SMcT0013513.1, h1SMcT0013513.2
OG0000077	EWB00_004677	h1SMcT0023123.1
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	h1SMcT0006746.1, h1SMcT0006746.2
OG0000079	EWB00_006494.1, EWB00_006494.2	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2
OG0000080	EWB00_004899.1, EWB00_004899.2	h1SMcT0013418.1
OG0000087	EWB00_010661	h1SMcT0020497.1, h1SMcT0020497.2
OG0000088	EWB00_007313, EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5
OG0000090	EWB00_005364	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1
OG0000091	EWB00_010764.1, EWB00_010764.2	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3
OG0000092	EWB00_007194.1, EWB00_007194.2	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	h1SMcT0002197.1
OG0000093	EWB00_003936	h1SMcT0011102.1, h1SMcT0021280.1
OG0000094	EWB00_009097.1, EWB00_009097.2	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1
OG0000097	EWB00_007768	h1SMcT0003774.1, h1SMcT0003774.2
OG0000098	EWB00_011356	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2
OG0000099	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3	h1SMcT0013445.1, h1SMcT0008305.1
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2
OG0000102	EWB00_010834.2, EWB00_010834.1, EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7
OG0000104	EWB00_008979.1, EWB00_008979.2	h1SMcT0000528.1, h1SMcT0000528.2
OG0000105	EWB00_002088, EWB00_004453	h1SMcT0022377.1
OG0000107	EWB00_007831	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2
OG0000110	EWB00_006025, EWB00_006029, EWB00_006024, EWB00_006023	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3
OG0000111	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2
OG0000111	EWB00_003555.1, EWB00_003555.2	h1SMcT0016216.1
OG0000116	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5	h1SMcT0000626.1, h1SMcT0000626.2
OG0000119	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1	h1SMcT0002719.1, h1SMcT0002719.5
OG0000123	EWB00_001234.1, EWB00_001234.2	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9
OG0000125	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4
OG0000126	EWB00_000954	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2
OG0000127	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4	h1SMcT0019776.1, h1SMcT0019776.2
OG0000128	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3	h1SMcT0019778.1, h1SMcT0019778.2
OG0000129	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4
OG0000130	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3	h1SMcT0009248.1
OG0000132	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1
OG0000133	EWB00_002574.1, EWB00_002574.2	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2
OG0000134	EWB00_002521	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3
OG0000135	EWB00_002678.2, EWB00_002678.1	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1
OG0000136	EWB00_002100.1, EWB00_002100.2	h1SMcT0000155.1
OG0000137	EWB00_003246, EWB00_003245, EWB00_003243, EWB00_003242, EWB00_010379, EWB00_003244	h1SMcT0023090.1
OG0000138	EWB00_007536.1, EWB00_007536.2	h1SMcT0020322.1
OG0000138	EWB00_009704	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3
OG0000139	EWB00_009035	h1SMcT0002285.1
OG0000140	EWB00_010959	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18
OG0000144	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6	h1SMcT0012404.1
OG0000144	EWB00_001080, EWB00_005163	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1
OG0000145	EWB00_002936	h1SMcT0013665.1
OG0000146	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3	h1SMcT0006897.1, h1SMcT0006897.2
OG0000146	EWB00_005122	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1
OG0000146	EWB00_007935.1, EWB00_007935.2, EWB00_006903	h1SMcT0021690.2
OG0000147	EWB00_004283	h1SMcT0011597.1
OG0000149	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4	h1SMcT0005461.1, h1SMcT0005461.2
OG0000151	EWB00_008868	h1SMcT0006201.1
OG0000152	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5	h1SMcT0001548.1
OG0000153	EWB00_005352.1, EWB00_005352.2, EWB00_003676, EWB00_008423, EWB00_003671, EWB00_008422	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1
OG0000154	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6
OG0000155	EWB00_005616	h1SMcT0001030.1
OG0000156	EWB00_010322, EWB00_010321	h1SMcT0017161.2, h1SMcT0002712.1
OG0000157	EWB00_001166	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2
OG0000157	EWB00_005728	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1
OG0000157	EWB00_011201	h1SMcT0013969.1, h1SMcT0013969.2
OG0000158	EWB00_006315, EWB00_006316	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10
OG0000159	EWB00_009175	h1SMcT0014227.1, h1SMcT0014227.2
OG0000161	EWB00_003371.1, EWB00_003371.2	h1SMcT0012867.1
OG0000164	EWB00_011122.1, EWB00_011122.2	h1SMcT0014759.1
OG0000164	EWB00_003801.1, EWB00_003801.2	h1SMcT0021090.1
OG0000164	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1
OG0000165	EWB00_010478	h1SMcT0018166.5
OG0000167	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4
OG0000172	EWB00_001058.1, EWB00_001058.2	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3
OG0000173	EWB00_008475	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5
OG0000175	EWB00_007666, EWB00_007667, EWB00_007668, EWB00_007669	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1
OG0000177	EWB00_010516.1, EWB00_010516.2	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6
OG0000179	EWB00_000893, EWB00_009104	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4
OG0000180	EWB00_006752, EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163, EWB00_006750.1, EWB00_006750.2	h1SMcT0016760.1, h1SMcT0016760.2
OG0000182	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4
OG0000182	EWB00_000643	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2
OG0000184	EWB00_006467.1, EWB00_006467.2, EWB00_006468	h1SMcT0015425.1, h1SMcT0015431.1
OG0000186	EWB00_002720	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1
OG0000187	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2
OG0000190	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2	h1SMcT0007247.1
OG0000192	EWB00_003964.1, EWB00_003964.2	h1SMcT0015806.1
OG0000193	EWB00_003263.4, EWB00_003263.2, EWB00_003263.1, EWB00_003263.3, EWB00_003263.5, EWB00_003263.6, EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4
OG0000194	EWB00_001391	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2
OG0000195	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3
OG0000196	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3	h1SMcT0011061.1, h1SMcT0021737.1
OG0000196	EWB00_009417.2, EWB00_009417.1	h1SMcT0001685.1
OG0000198	EWB00_001112, EWB00_009378.1, EWB00_009378.2, EWB00_009378.3	h1SMcT0018079.1
OG0000199	EWB00_007850.1, EWB00_007850.2	h1SMcT0004687.1, h1SMcT0004687.2
OG0000201	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3	h1SMcT0009180.1
OG0000206	EWB00_003373.1, EWB00_003373.2, EWB00_003373.3	h1SMcT0011551.1, h1SMcT0011551.2
OG0000208	EWB00_006604	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3
OG0000209	EWB00_003068	h1SMcT0007034.1, h1SMcT0007034.2
OG0000210	EWB00_008607	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3
OG0000211	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4	h1SMcT0007637.1
OG0000212	EWB00_000254.1, EWB00_000254.2	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4
OG0000217	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1
OG0000218	EWB00_007629	h1SMcT0004177.1
OG0000219	EWB00_011278.1, EWB00_011278.2	h1SMcT0000079.1
OG0000221	EWB00_009959, EWB00_008502	h1SMcT0016464.1, h1SMcT0016464.3
OG0000221	EWB00_007895, EWB00_007896	h1SMcT0018055.1
OG0000222	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2	h1SMcT0013919.1
OG0000223	EWB00_008468	h1SMcT0005506.1
OG0000224	EWB00_010846	h1SMcT0009940.1, h1SMcT0009940.2
OG0000225	EWB00_008634	h1SMcT0010147.1, h1SMcT0010147.2
OG0000226	EWB00_001463.1, EWB00_001463.2	h1SMcT0018850.1
OG0000227	EWB00_010050	h1SMcT0015210.2, h1SMcT0015210.1, h1SMcT0015210.3
OG0000228	EWB00_003240.1, EWB00_003240.2	h1SMcT0003868.2, h1SMcT0003868.6, h1SMcT0003868.3, h1SMcT0003868.1, h1SMcT0003868.4, h1SMcT0003868.5
