Orthogroup	schistosoma_japonicum	schistosoma_intercalatum
OG0000023	EWB00_008435	SINT1_24820.1, SINT1_69890.1, SINT1_27970.1, SINT1_18470.1, SINT1_22950.1, SINT1_24600.1, SINT1_50610.1
OG0000024	EWB00_007079	SINT1_23830.1
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	SINT1_90000.1
OG0000024	EWB00_001214	SINT1_79070.1, SINT1_79070.2
OG0000024	EWB00_003471	SINT1_79060.1
OG0000026	EWB00_002251.1, EWB00_002251.2	SINT1_78530.1, SINT1_78530.2
OG0000026	EWB00_002721	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2
OG0000026	EWB00_002746	SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1
OG0000027	EWB00_003944	SINT1_40020.1
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14
OG0000029	EWB00_008857	SINT1_57320.1
OG0000029	EWB00_007517	SINT1_85860.1
OG0000029	EWB00_002502.1	SINT1_20550.1
OG0000029	EWB00_002502.2	SINT1_20550.1
OG0000029	EWB00_002502.4	SINT1_20550.1
OG0000029	EWB00_002502.1	SINT1_20550.2
OG0000029	EWB00_002502.2	SINT1_20550.2
OG0000029	EWB00_002502.4	SINT1_20550.2
OG0000029	EWB00_002502.1	SINT1_20550.3
OG0000029	EWB00_002502.2	SINT1_20550.3
OG0000029	EWB00_002502.4	SINT1_20550.3
OG0000030	EWB00_003826	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3
OG0000032	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3	SINT1_10460.1
OG0000032	EWB00_008461	SINT1_10480.1
OG0000032	EWB00_009578	SINT1_57170.1
OG0000032	EWB00_003338	SINT1_9690.1, SINT1_78580.1, SINT1_78580.2
OG0000033	EWB00_011057, EWB00_008866	SINT1_2960.1, SINT1_12580.1, SINT1_27460.1, SINT1_28240.1, SINT1_17560.1, SINT1_40580.1, SINT1_15570.1
OG0000034	EWB00_008584	SINT1_90240.1, SINT1_90240.2
OG0000034	EWB00_008585	SINT1_90230.1, SINT1_90220.1
OG0000034	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1
OG0000035	EWB00_002318	SINT1_14990.1
OG0000036	EWB00_004262	SINT1_6080.1, SINT1_19610.1, SINT1_90930.1, SINT1_32000.1, SINT1_51990.1, SINT1_94410.1, SINT1_4460.1, SINT1_37350.1, SINT1_75760.1, SINT1_75760.2
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1
OG0000037	EWB00_006569	SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	SINT1_52070.2, SINT1_52070.4, SINT1_52070.3, SINT1_52070.7, SINT1_52070.6, SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1
OG0000042	EWB00_009261.1, EWB00_009261.2	SINT1_39890.1
OG0000042	EWB00_009262	SINT1_39880.1
OG0000042	EWB00_004609	SINT1_39840.1
OG0000042	EWB00_004610, EWB00_009263	SINT1_39870.1, SINT1_39850.1, SINT1_39860.1
OG0000043	EWB00_003370, EWB00_010871	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8
OG0000044	EWB00_011369.1, EWB00_011369.2	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1, SINT1_84530.1, SINT1_84540.1
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	SINT1_10700.1, SINT1_36390.1
OG0000046	EWB00_001944, EWB00_002829	SINT1_91720.1, SINT1_11820.1, SINT1_53180.1
OG0000048	EWB00_001580	SINT1_94890.1, SINT1_94900.1, SINT1_46050.1
OG0000049	EWB00_001608.1, EWB00_001608.2	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4
OG0000049	EWB00_008098	SINT1_72570.1
OG0000050	EWB00_005371.1, EWB00_005371.2	SINT1_53550.1, SINT1_53580.1
OG0000052	EWB00_003293	SINT1_28750.1
OG0000052	EWB00_007330	SINT1_3180.1
OG0000052	EWB00_005671	SINT1_900.1
OG0000052	EWB00_003847	SINT1_1600.1
OG0000052	EWB00_009848	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3
OG0000053	EWB00_005460.2, EWB00_005460.1	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13
OG0000054	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767	SINT1_94200.1, SINT1_93910.1, SINT1_93910.2, SINT1_69130.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7
OG0000056	EWB00_006591, EWB00_008824	SINT1_2560.1
OG0000057	EWB00_008005	SINT1_2990.1
OG0000058	EWB00_001871	SINT1_88570.1
OG0000058	EWB00_003488.1, EWB00_003488.2	SINT1_79220.1
OG0000058	EWB00_003491	SINT1_79230.1, SINT1_79260.1, SINT1_79270.1, SINT1_79280.1, SINT1_79280.2
OG0000060	EWB00_010498.1, EWB00_010498.2	SINT1_64930.1
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5
OG0000062	EWB00_008458	SINT1_6140.1
OG0000063	EWB00_006170	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5
OG0000065	EWB00_000537	SINT1_23130.1, SINT1_23160.1
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	SINT1_53720.1
OG0000068	EWB00_000572	SINT1_93040.1
OG0000068	EWB00_004327	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	SINT1_28800.1
OG0000069	EWB00_002487	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11
OG0000071	EWB00_001786	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5
OG0000072	EWB00_001684	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3
OG0000074	EWB00_007721.2, EWB00_007721.3, EWB00_007721.5	SINT1_1200.1
OG0000074	EWB00_007512.1	SINT1_86470.1
OG0000074	EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4	SINT1_11530.3, SINT1_11530.2
OG0000074	EWB00_004196.6	SINT1_11530.1
OG0000074	EWB00_008993	SINT1_86570.1
OG0000075	EWB00_001749	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21
OG0000076	EWB00_009041	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7
OG0000077	EWB00_004677	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4
OG0000079	EWB00_006494.1, EWB00_006494.2	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6
OG0000080	EWB00_004899.1, EWB00_004899.2	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9
OG0000081	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1
OG0000082	EWB00_009477	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	SINT1_36430.1
OG0000086	EWB00_004530	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2
OG0000087	EWB00_010661	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7
OG0000088	EWB00_007313	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2
OG0000088	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6
OG0000091	EWB00_010764.1, EWB00_010764.2	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6
OG0000092	EWB00_007194.1, EWB00_007194.2	SINT1_2100.1, SINT1_2100.2
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	SINT1_13320.1, SINT1_13320.2
OG0000093	EWB00_003936	SINT1_40130.1
OG0000094	EWB00_009097.1, EWB00_009097.2	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14
OG0000097	EWB00_007768	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8
OG0000098	EWB00_011356	SINT1_94630.1, SINT1_41140.1
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2
OG0000099	EWB00_006234.2	SINT1_67160.1
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4
OG0000100	EWB00_007164	SINT1_38550.1, SINT1_73100.1
OG0000100	EWB00_003625	SINT1_76440.1, SINT1_26250.1
OG0000102	EWB00_010834.2, EWB00_010834.1	SINT1_5950.1
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	SINT1_58290.1, SINT1_58290.2
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6
OG0000104	EWB00_008979.1, EWB00_008979.2	SINT1_6130.1
OG0000105	EWB00_002088, EWB00_004453	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3
OG0000106	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641, EWB00_009643, EWB00_000001, EWB00_000002, EWB00_000004	SINT1_72640.1, SINT1_72680.1
OG0000107	EWB00_007831	SINT1_56150.1
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2
OG0000110	EWB00_006025	SINT1_29940.1, SINT1_29940.2
OG0000110	EWB00_006029	SINT1_29900.1
OG0000110	EWB00_006024	SINT1_29950.1, SINT1_29950.2
OG0000110	EWB00_006023	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4
OG0000111	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4	SINT1_41240.1
OG0000111	EWB00_003555.1, EWB00_003555.2	SINT1_51900.1
OG0000111	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3	SINT1_31320.2, SINT1_31320.1
OG0000112	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8
OG0000113	EWB00_010713, EWB00_006167, EWB00_009422	SINT1_8770.2, SINT1_8770.1, SINT1_34760.3, SINT1_48210.4, SINT1_48210.8, SINT1_34760.4, SINT1_48210.3, SINT1_48210.5, SINT1_48210.6, SINT1_48210.7, SINT1_95060.1, SINT1_44180.1, SINT1_44180.2, SINT1_46410.3, SINT1_46410.4, SINT1_19070.1, SINT1_19070.5, SINT1_19070.2, SINT1_19070.6, SINT1_19070.4, SINT1_19070.8, SINT1_19070.3, SINT1_19070.7, SINT1_46410.1, SINT1_46410.2, SINT1_68480.1, SINT1_68480.2, SINT1_84220.1, SINT1_84220.2, SINT1_25560.1
OG0000114	EWB00_000559.1, EWB00_000559.2	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6
OG0000115	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13
