Orthogroup	schistosoma_turkestanicum	schistosoma_japonicum
OG0000028	STRK1_68350.1	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	STRK1_108400.1	EWB00_008857
OG0000029	STRK1_85070.1	EWB00_007517
OG0000029	STRK1_18700.1	EWB00_002502.1
OG0000029	STRK1_18700.2	EWB00_002502.1
OG0000029	STRK1_18700.1	EWB00_002502.2
OG0000029	STRK1_18700.2	EWB00_002502.2
OG0000029	STRK1_18700.1	EWB00_002502.4
OG0000029	STRK1_18700.2	EWB00_002502.4
OG0000029	STRK1_87900.1, STRK1_87910.1, STRK1_87930.1	EWB00_004876
OG0000029	STRK1_87920.1	EWB00_004878
OG0000030	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3	EWB00_003826
OG0000031	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	STRK1_56770.1	EWB00_010258
OG0000032	STRK1_76860.1	EWB00_003338
OG0000034	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3	EWB00_008584
OG0000034	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1	EWB00_008585
OG0000034	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1	EWB00_002318
OG0000036	STRK1_42430.1	EWB00_004262
OG0000037	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3
OG0000037	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1	EWB00_006569
OG0000040	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000042	STRK1_38240.1	EWB00_009261.1, EWB00_009261.2
OG0000042	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3	EWB00_009262
OG0000042	STRK1_38190.1	EWB00_004609
OG0000042	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1	EWB00_004610, EWB00_009263
OG0000043	STRK1_23860.1, STRK1_23860.2	EWB00_003370, EWB00_010871
OG0000044	STRK1_83210.1, STRK1_83210.2	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3
OG0000044	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1	EWB00_011369.1, EWB00_011369.2
OG0000048	STRK1_101920.1	EWB00_001580
OG0000049	STRK1_67640.1	EWB00_001608.1, EWB00_001608.2
OG0000049	STRK1_71350.1	EWB00_008098
OG0000050	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2	EWB00_005371.1, EWB00_005371.2
OG0000052	STRK1_27330.1	EWB00_003293
OG0000052	STRK1_16800.1	EWB00_007330
OG0000052	STRK1_440.1	EWB00_005671
OG0000052	STRK1_1120.1, STRK1_97400.1	EWB00_003847
OG0000052	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1	EWB00_009848
OG0000053	STRK1_2330.1	EWB00_005460.2, EWB00_005460.1
OG0000054	STRK1_94850.1, STRK1_78190.1	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767
OG0000055	STRK1_66850.1	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000058	STRK1_86390.1	EWB00_001871
OG0000058	STRK1_77870.1	EWB00_003488.1, EWB00_003488.2
OG0000058	STRK1_77680.1	EWB00_003491
OG0000060	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1	EWB00_010498.1, EWB00_010498.2
OG0000061	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5	EWB00_008458
OG0000064	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	STRK1_21210.1	EWB00_000537
OG0000065	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	STRK1_27970.1, STRK1_27970.2	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	STRK1_100830.1, STRK1_61070.1, STRK1_61070.2, STRK1_100070.1	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	STRK1_51720.1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	STRK1_90930.1	EWB00_000572
OG0000068	STRK1_31350.1	EWB00_004327
OG0000068	STRK1_27380.1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1	EWB00_002487
OG0000070	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2	EWB00_001786
OG0000072	STRK1_86450.1	EWB00_001684
OG0000073	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	STRK1_720.1	EWB00_007721.1
OG0000074	STRK1_88120.1	EWB00_007512.1
OG0000074	STRK1_10690.2, STRK1_10690.1	EWB00_004196.6
OG0000075	STRK1_35140.1, STRK1_35140.2	EWB00_001749
OG0000076	STRK1_85230.1, STRK1_85230.2	EWB00_000338, EWB00_000339
OG0000076	STRK1_16320.1, STRK1_16320.2	EWB00_009041
OG0000077	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2	EWB00_004677
OG0000078	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	STRK1_29350.1, STRK1_29350.2	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	STRK1_51780.1, STRK1_51780.2	EWB00_006494.1, EWB00_006494.2
OG0000080	STRK1_39780.1	EWB00_004899.1, EWB00_004899.2
OG0000082	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3	EWB00_009477
OG0000085	STRK1_31220.1, STRK1_31220.2	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	STRK1_71670.1, STRK1_71670.2	EWB00_004530
OG0000087	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4	EWB00_010661
OG0000088	STRK1_17030.1	EWB00_007313
OG0000088	STRK1_17040.1, STRK1_17040.2	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3
OG0000090	STRK1_49250.1	EWB00_005364
OG0000091	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5	EWB00_010764.1, EWB00_010764.2
OG0000092	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4	EWB00_007194.1, EWB00_007194.2
OG0000092	STRK1_8500.1, STRK1_8500.2	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	STRK1_38460.1	EWB00_003936
OG0000094	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5	EWB00_009097.1, EWB00_009097.2
OG0000095	STRK1_60680.1	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3	EWB00_007768
OG0000098	STRK1_64600.1, STRK1_64590.1	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	STRK1_66130.1, STRK1_104580.1, STRK1_66160.2	EWB00_006234.2
OG0000099	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000102	STRK1_3550.1, STRK1_3550.2	EWB00_010834.2, EWB00_010834.1
OG0000102	STRK1_56260.1	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	STRK1_75520.1, STRK1_75520.2	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000104	STRK1_3670.1, STRK1_3670.2	EWB00_008979.1, EWB00_008979.2
OG0000105	STRK1_13170.1	EWB00_002088, EWB00_004453
OG0000106	STRK1_72780.1, STRK1_72770.1	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641, EWB00_009643, EWB00_000001, EWB00_000002, EWB00_000004
OG0000107	STRK1_49750.1	EWB00_006776, EWB00_002983.1, EWB00_002983.3, EWB00_002983.5, EWB00_002983.6, EWB00_002983.8, EWB00_002983.9, EWB00_002983.10, EWB00_002983.7, EWB00_007831
OG0000107	STRK1_49750.2	EWB00_002983.2, EWB00_002983.4
OG0000108	STRK1_12570.1, STRK1_12570.2	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	STRK1_30120.1	EWB00_006025
OG0000110	STRK1_30150.1	EWB00_006029
OG0000110	STRK1_30110.1	EWB00_006024
OG0000110	STRK1_30100.1, STRK1_30100.2	EWB00_006023
OG0000111	STRK1_46420.1	EWB00_003555.1, EWB00_003555.2
OG0000112	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000114	STRK1_91030.1, STRK1_91030.2	EWB00_000559.1, EWB00_000559.2
OG0000115	STRK1_28410.1	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	STRK1_30040.1	EWB00_006015.1, EWB00_006015.2
OG0000118	STRK1_37870.1	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8
OG0000118	STRK1_109120.1, STRK1_37860.1	EWB00_006163.1, EWB00_006163.2
OG0000118	STRK1_109130.1, STRK1_37850.1	EWB00_006161, EWB00_006160, EWB00_006162
OG0000119	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000120	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3
OG0000122	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2	EWB00_003485
OG0000123	STRK1_73130.1, STRK1_73130.2	EWB00_001234.1, EWB00_001234.2
OG0000125	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000126	STRK1_68690.1	EWB00_000954
OG0000127	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	STRK1_79420.1, STRK1_79420.2	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	STRK1_12320.1	EWB00_002108.1, EWB00_002108.2
OG0000131	STRK1_12290.1	EWB00_003089
OG0000132	STRK1_36280.1, STRK1_36280.2	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
OG0000133	STRK1_32070.1	EWB00_002574.1, EWB00_002574.2
OG0000134	STRK1_18540.1	EWB00_002521
OG0000135	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2	EWB00_002678.2, EWB00_002678.1
OG0000136	STRK1_7170.1	EWB00_002100.1, EWB00_002100.2
OG0000137	STRK1_41510.1	EWB00_003246
OG0000137	STRK1_41460.1	EWB00_003243, EWB00_003242, EWB00_010379, EWB00_003244
OG0000138	STRK1_84500.1	EWB00_007536.1, EWB00_007536.2
OG0000138	STRK1_42170.1	EWB00_009704
OG0000139	STRK1_16260.1	EWB00_009035
OG0000140	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2	EWB00_010959
OG0000141	STRK1_61590.1, STRK1_91760.1, STRK1_88230.1	EWB00_007088, EWB00_002941, EWB00_002719, EWB00_002942, EWB00_003683, EWB00_002908, EWB00_010265
OG0000143	STRK1_65800.1, STRK1_65810.1, STRK1_65820.1	EWB00_006280.1, EWB00_006280.2
OG0000144	STRK1_48850.1	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6
OG0000144	STRK1_24000.1	EWB00_001080
OG0000144	STRK1_52920.1, STRK1_52940.1	EWB00_005163
OG0000145	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1	EWB00_002936
OG0000146	STRK1_86910.1	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3
OG0000146	STRK1_53240.1	EWB00_005122
OG0000146	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3	EWB00_007935.1, EWB00_007935.2
OG0000146	STRK1_45220.1	EWB00_006903
OG0000147	STRK1_30920.1	EWB00_004283
OG0000148	STRK1_32430.1	EWB00_007473
OG0000149	STRK1_51730.1, STRK1_51730.2	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4
OG0000151	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1	EWB00_008868
OG0000152	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5
OG0000153	STRK1_105080.1	EWB00_005352.1, EWB00_005352.2
OG0000153	STRK1_52110.1	EWB00_003676
OG0000154	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2
OG0000155	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1	EWB00_005616
OG0000156	STRK1_18130.1	EWB00_010322
OG0000156	STRK1_18120.1	EWB00_010321
OG0000157	STRK1_65550.1	EWB00_001166
OG0000157	STRK1_40030.1	EWB00_005728
OG0000157	STRK1_90020.1, STRK1_90030.1	EWB00_011201
OG0000158	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4	EWB00_006315
OG0000159	STRK1_59740.1	EWB00_009175
OG0000160	STRK1_5090.1, STRK1_5070.1	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3
OG0000161	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7	EWB00_003371.1, EWB00_003371.2
OG0000164	STRK1_60530.1	EWB00_011122.1, EWB00_011122.2
OG0000164	STRK1_73910.1	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4
OG0000164	STRK1_55190.1	EWB00_003801.1, EWB00_003801.2
OG0000164	STRK1_29660.1	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4
OG0000165	STRK1_63320.1	EWB00_010478
OG0000166	STRK1_84550.1	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1
OG0000167	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6
OG0000168	STRK1_1710.1, STRK1_1710.2, STRK1_1710.3, STRK1_1710.4, STRK1_1710.5, STRK1_1330.1, STRK1_1340.1, STRK1_1720.1, STRK1_1720.2	EWB00_009789, EWB00_009892, EWB00_003828, EWB00_008795
OG0000169	STRK1_97570.1	EWB00_004911.1, EWB00_004911.2
OG0000169	STRK1_90390.1	EWB00_009686
OG0000170	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1	EWB00_000962
OG0000171	STRK1_59140.1	EWB00_006697
OG0000172	STRK1_3970.1	EWB00_001058.1, EWB00_001058.2
OG0000173	STRK1_80280.1	EWB00_008475
OG0000175	STRK1_39380.1	EWB00_007666
OG0000175	STRK1_39370.1	EWB00_007667
OG0000175	STRK1_39360.1	EWB00_007668
OG0000175	STRK1_39350.1	EWB00_007669
OG0000177	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1	EWB00_010516.1, EWB00_010516.2
OG0000178	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2	EWB00_003718
OG0000179	STRK1_53790.1	EWB00_000893
OG0000179	STRK1_53800.1	EWB00_009104
OG0000180	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4	EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163
OG0000180	STRK1_79020.1, STRK1_104300.1	EWB00_006750.1, EWB00_006750.2
OG0000182	STRK1_55980.1	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2
OG0000182	STRK1_36970.1	EWB00_000643
OG0000183	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2	EWB00_005958.1, EWB00_005958.2
OG0000184	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1	EWB00_006467.1, EWB00_006467.2
OG0000184	STRK1_49320.1	EWB00_006468
OG0000185	STRK1_34010.1	EWB00_005969.1, EWB00_005969.2
OG0000186	STRK1_70010.1	EWB00_002720
OG0000187	STRK1_46740.1	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3
OG0000188	STRK1_31940.1	EWB00_010904
OG0000189	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4
OG0000190	STRK1_46160.1, STRK1_46160.2	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2
OG0000191	STRK1_33090.1	EWB00_004926
OG0000191	STRK1_33020.1, STRK1_33020.2, STRK1_33020.3	EWB00_003159
OG0000191	STRK1_33080.1	EWB00_004925, EWB00_003164, EWB00_003167
OG0000192	STRK1_64420.1	EWB00_003964.1, EWB00_003964.2
OG0000193	STRK1_55830.1	EWB00_003263.4, EWB00_003263.2, EWB00_003263.1, EWB00_003263.3, EWB00_003263.5, EWB00_003263.6
OG0000194	STRK1_74260.1	EWB00_001391
OG0000195	STRK1_50680.1, STRK1_50680.2	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3
OG0000196	STRK1_2310.1, STRK1_87510.1	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3
OG0000196	STRK1_11370.1	EWB00_009417.2, EWB00_009417.1
OG0000197	STRK1_36760.1	EWB00_007934.6, EWB00_007934.4, EWB00_007934.2, EWB00_007934.3, EWB00_007934.1, EWB00_007934.5, EWB00_007934.7
OG0000198	STRK1_99590.1, STRK1_24300.1	EWB00_001112
OG0000199	STRK1_31630.1, STRK1_31630.2	EWB00_007850.1, EWB00_007850.2
OG0000201	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3
OG0000202	STRK1_49150.1	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2
OG0000203	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3
OG0000204	STRK1_83900.1, STRK1_83910.1	EWB00_005277
OG0000204	STRK1_83950.1, STRK1_83890.1	EWB00_005275, EWB00_005276.1, EWB00_005276.2
OG0000205	STRK1_2090.1	EWB00_005482
OG0000206	STRK1_35690.1, STRK1_35690.3	EWB00_003373.1
OG0000206	STRK1_35690.6, STRK1_35690.2	EWB00_003373.2, EWB00_003373.3
OG0000207	STRK1_36180.1	EWB00_006855
OG0000207	STRK1_36170.1	EWB00_006856
