Orthogroup	schistosoma_turkestanicum	s.mekongi
OG0000083	STRK1_77560.1, STRK1_77560.2	KAK4471026.1, KAK4474271.1
OG0000085	STRK1_31220.1, STRK1_31220.2	KAK4474010.1
OG0000086	STRK1_71670.1, STRK1_71670.2	KAK4470561.1
OG0000087	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4	KAK4469513.1
OG0000088	STRK1_17030.1	KAK4475590.1
OG0000088	STRK1_17040.1, STRK1_17040.2	KAK4475589.1
OG0000090	STRK1_49250.1	KAK4469374.1
OG0000091	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5	KAK4469611.1
OG0000092	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4	KAK4475365.1
OG0000092	STRK1_8500.1, STRK1_8500.2	KAK4474711.1
OG0000093	STRK1_38460.1	KAK4473668.1
OG0000093	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1	KAK4467328.1, KAK4467335.1
OG0000094	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5	KAK4475997.1
OG0000095	STRK1_60680.1	KAK4471403.1, KAK4471978.1
OG0000096	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2	KAK4474123.1
OG0000097	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3	KAK4476042.1, KAK4476041.1
OG0000098	STRK1_64600.1, STRK1_64590.1	KAK4471639.1
OG0000099	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2	KAK4471562.1
OG0000099	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1	KAK4470190.1
OG0000102	STRK1_3550.1, STRK1_3550.2	KAK4475905.1
OG0000102	STRK1_56260.1	KAK4472110.1
OG0000103	STRK1_75520.1, STRK1_75520.2	KAK4470657.1
OG0000104	STRK1_3670.1, STRK1_3670.2	KAK4475921.1
OG0000105	STRK1_13170.1	KAK4474244.1, KAK4476082.1
OG0000106	STRK1_72780.1, STRK1_72770.1	KAK4470606.1, KAK4467455.1
OG0000107	STRK1_49750.1	KAK4469978.1
OG0000107	STRK1_52380.1	KAK4468968.1
OG0000108	STRK1_12570.1, STRK1_12570.2	KAK4475981.1
OG0000110	STRK1_30120.1	KAK4472451.1
OG0000110	STRK1_30150.1	KAK4472446.1
OG0000110	STRK1_30110.1	KAK4472452.1
OG0000110	STRK1_30100.1, STRK1_30100.2	KAK4472453.1
OG0000111	STRK1_46420.1	KAK4469719.1
OG0000112	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1	KAK4468035.1
OG0000114	STRK1_91030.1, STRK1_91030.2	KAK4467770.1
OG0000115	STRK1_28410.1	KAK4473986.1
OG0000116	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2	KAK4469396.1
OG0000117	STRK1_30040.1	KAK4472459.1
OG0000118	STRK1_37870.1	KAK4473725.1
OG0000118	STRK1_109120.1, STRK1_37860.1	KAK4473729.1
OG0000118	STRK1_109130.1, STRK1_37850.1	KAK4473727.1, KAK4473726.1, KAK4473728.1
OG0000119	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7	KAK4467682.1
OG0000120	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4	KAK4472468.1
OG0000122	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2	KAK4470066.1
OG0000123	STRK1_73130.1, STRK1_73130.2	KAK4470855.1
OG0000125	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1	KAK4474534.1
OG0000126	STRK1_68690.1	KAK4470546.1
OG0000127	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2	KAK4475492.1
OG0000128	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2	KAK4473532.1
OG0000129	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2	KAK4474206.1
OG0000130	STRK1_79420.1, STRK1_79420.2	KAK4467983.1
OG0000131	STRK1_12290.1	KAK4476229.1
OG0000131	STRK1_83820.1, STRK1_83830.1, STRK1_83850.1, STRK1_83860.1	KAK4468902.1
OG0000132	STRK1_36280.1, STRK1_36280.2	KAK4474101.1
OG0000133	STRK1_32070.1	KAK4472626.1
OG0000134	STRK1_18540.1	KAK4475011.1
OG0000135	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2	KAK4474731.1
OG0000136	STRK1_7170.1	KAK4476189.1, KAK4476190.1
OG0000137	STRK1_41460.1	KAK4473443.1, KAK4473442.1, KAK4473441.1
OG0000138	STRK1_84500.1	KAK4468744.1
OG0000138	STRK1_42170.1	KAK4473697.1
OG0000139	STRK1_16260.1	KAK4475677.1
OG0000140	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2	KAK4470680.1, KAK4470033.1
OG0000141	STRK1_61590.1, STRK1_91760.1, STRK1_88230.1	KAK4467352.1
OG0000142	STRK1_18420.1	KAK4475021.1
OG0000142	STRK1_18430.1, STRK1_18430.2	KAK4475019.1, KAK4475022.1
OG0000143	STRK1_65800.1	KAK4471520.1
OG0000144	STRK1_48850.1	KAK4469871.1
OG0000144	STRK1_24000.1	KAK4473145.1
OG0000144	STRK1_52920.1, STRK1_52940.1	KAK4469772.1
OG0000145	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1	KAK4472181.1
OG0000146	STRK1_86910.1	KAK4468443.1
OG0000146	STRK1_53240.1	KAK4469748.1
OG0000146	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3	KAK4472748.1
OG0000146	STRK1_45220.1	KAK4469097.1
OG0000147	STRK1_30920.1	KAK4474043.1
OG0000148	STRK1_32430.1	KAK4472662.1
OG0000149	STRK1_51730.1, STRK1_51730.2	KAK4469180.1
OG0000151	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1	KAK4471438.1, KAK4471439.1
OG0000152	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3	KAK4474412.1
OG0000153	STRK1_105080.1	KAK4469387.1
OG0000154	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3	KAK4475184.1, KAK4475186.1
OG0000155	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1	KAK4473822.1
OG0000156	STRK1_18130.1	KAK4475038.1
OG0000156	STRK1_18120.1	KAK4475039.1
OG0000157	STRK1_65550.1	KAK4471808.1
OG0000157	STRK1_40030.1	KAK4472697.1
OG0000157	STRK1_90020.1, STRK1_90030.1	KAK4467690.1
OG0000158	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4	KAK4475829.1, KAK4473934.1
OG0000159	STRK1_59740.1	KAK4471746.1
OG0000160	STRK1_5090.1, STRK1_5070.1	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1
OG0000161	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7	KAK4474169.1
OG0000164	STRK1_60530.1	KAK4471960.1
OG0000164	STRK1_73910.1	KAK4470406.1
OG0000164	STRK1_55190.1	KAK4469800.1
OG0000164	STRK1_29660.1	KAK4472495.1
OG0000165	STRK1_63320.1	KAK4471264.1
OG0000167	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2	KAK4470364.1
OG0000168	STRK1_1710.1, STRK1_1710.2, STRK1_1710.3, STRK1_1710.4, STRK1_1710.5, STRK1_1330.1, STRK1_1340.1, STRK1_1720.1, STRK1_1720.2	KAK4467445.1
OG0000169	STRK1_97570.1	KAK4472610.1
OG0000169	STRK1_90390.1	KAK4467718.1, KAK4467716.1, KAK4467717.1
OG0000170	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1	KAK4470632.1
OG0000172	STRK1_3970.1	KAK4475142.1
OG0000173	STRK1_80280.1	KAK4468268.1
OG0000175	STRK1_39380.1	KAK4473136.1
OG0000175	STRK1_39370.1	KAK4473125.1
OG0000175	STRK1_39360.1	KAK4473114.1
OG0000175	STRK1_39350.1	KAK4473106.1
OG0000177	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1	KAK4472104.1
OG0000178	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2	KAK4472894.1
OG0000179	STRK1_53790.1	KAK4469016.1
OG0000179	STRK1_53800.1	KAK4469902.1
OG0000180	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4	KAK4468060.1, KAK4468069.1
OG0000180	STRK1_79020.1, STRK1_104300.1	KAK4468040.1
OG0000182	STRK1_55980.1	KAK4471145.1
OG0000182	STRK1_36970.1	KAK4472799.1
OG0000183	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2	KAK4472516.1
OG0000184	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1	KAK4469199.1
OG0000184	STRK1_49320.1	KAK4469198.1
OG0000185	STRK1_34010.1	KAK4472507.1
OG0000186	STRK1_70010.1	KAK4470241.1, KAK4470242.1
OG0000187	STRK1_46740.1	KAK4469682.1
OG0000188	STRK1_31940.1	KAK4472612.1
OG0000189	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7	KAK4476062.1
OG0000190	STRK1_46160.1, STRK1_46160.2	KAK4469926.1
OG0000191	STRK1_33090.1	KAK4473909.1
OG0000191	STRK1_33080.1	KAK4473910.1
OG0000192	STRK1_64420.1	KAK4471381.1
OG0000193	STRK1_55830.1	KAK4471157.1
OG0000194	STRK1_74260.1	KAK4470371.1
OG0000195	STRK1_50680.1, STRK1_50680.2	KAK4469314.1
OG0000196	STRK1_2310.1, STRK1_87510.1	KAK4468938.1
OG0000196	STRK1_11370.1	KAK4474524.1
OG0000196	STRK1_10040.2, STRK1_10040.1, STRK1_10040.3	KAK4475932.1
OG0000197	STRK1_36760.1	KAK4472750.1, KAK4472751.1
OG0000198	STRK1_99590.1, STRK1_24300.1	KAK4473170.1
OG0000199	STRK1_31630.1, STRK1_31630.2	KAK4472571.1
OG0000201	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2	KAK4473643.1
OG0000202	STRK1_49150.1	KAK4469384.1
OG0000203	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1	KAK4472530.1, KAK4472529.1
OG0000204	STRK1_83880.1, STRK1_83920.1	KAK4468843.1, KAK4468846.1
OG0000204	STRK1_83900.1, STRK1_83910.1	KAK4468847.1
OG0000204	STRK1_83950.1, STRK1_83890.1	KAK4468400.1, KAK4468845.1
OG0000205	STRK1_2090.1	KAK4475157.1
OG0000206	STRK1_35690.4, STRK1_35690.5	KAK4474171.1
OG0000207	STRK1_36180.1	KAK4474093.1
OG0000208	STRK1_70670.1	KAK4470297.1
OG0000209	STRK1_12090.7, STRK1_12090.2, STRK1_12090.3, STRK1_12090.4, STRK1_12090.5, STRK1_12090.6, STRK1_12090.1	KAK4476246.1
OG0000210	STRK1_82570.1, STRK1_82570.2, STRK1_82580.1, STRK1_82590.1	KAK4468068.1
OG0000211	STRK1_6370.1	KAK4476043.1
OG0000212	STRK1_22730.1	KAK4473242.1
OG0000213	STRK1_3000.1	KAK4474754.1
OG0000214	STRK1_6400.1, STRK1_6400.2, STRK1_6400.5, STRK1_6400.4, STRK1_6400.3	KAK4475773.1
OG0000217	STRK1_31410.1, STRK1_31420.1	KAK4472243.1
OG0000218	STRK1_14420.1	KAK4474847.1
OG0000219	STRK1_61660.1	KAK4471869.1
OG0000220	STRK1_96360.1, STRK1_75400.1, STRK1_75400.2	KAK4470648.1
OG0000221	STRK1_9390.1, STRK1_9390.2	KAK4476180.1
OG0000221	STRK1_17630.1	KAK4467410.1, KAK4475529.1
OG0000222	STRK1_72970.1, STRK1_72970.2	KAK4470706.1
OG0000223	STRK1_9570.1	KAK4476292.1
OG0000224	STRK1_3630.1, STRK1_3630.2, STRK1_3630.3	KAK4475913.1
OG0000225	STRK1_17080.1	KAK4475585.1
OG0000226	STRK1_110110.1, STRK1_111280.1, STRK1_36050.1	KAK4474133.1
OG0000227	STRK1_105550.1, STRK1_67030.1	KAK4471428.1
OG0000228	STRK1_37190.1	KAK4473445.1
OG0000229	STRK1_57310.1, STRK1_57310.2	KAK4472065.1
OG0000230	STRK1_64230.1, STRK1_64230.2	KAK4471407.1
OG0000231	STRK1_107750.1	KAK4474331.1, KAK4475500.1, KAK4474325.1, KAK4475495.1, KAK4474330.1
OG0000231	STRK1_110170.1, STRK1_110380.1, STRK1_50370.1, STRK1_50380.1, STRK1_110160.1	KAK4469298.1, KAK4469300.1
OG0000234	STRK1_32720.1, STRK1_100400.1, STRK1_100400.2	KAK4473948.1
OG0000235	STRK1_16390.1, STRK1_16390.2	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1
OG0000236	STRK1_48030.1	KAK4469919.1
OG0000237	STRK1_46580.1, STRK1_46580.2	KAK4469703.1
OG0000238	STRK1_33370.1	KAK4473873.1
OG0000239	STRK1_25400.1	KAK4473024.1
OG0000240	STRK1_36510.1	KAK4472743.1
OG0000241	STRK1_22340.1	KAK4473290.1
OG0000242	STRK1_7310.1	KAK4475949.1
OG0000243	STRK1_15380.2, STRK1_15380.5, STRK1_15380.3, STRK1_15380.4, STRK1_15380.1	KAK4475854.1, KAK4475855.1
OG0000244	STRK1_5740.1	KAK4475963.1
OG0000245	STRK1_2620.1	KAK4475214.1
OG0000246	STRK1_110700.1	KAK4472531.1
OG0000247	STRK1_6610.2, STRK1_6610.1, STRK1_6610.3, STRK1_96250.1	KAK4475795.1
OG0000248	STRK1_62100.3, STRK1_62100.4, STRK1_62100.1, STRK1_62100.2	KAK4471206.1
OG0000249	STRK1_3790.1	KAK4475119.1
OG0000250	STRK1_38330.1, STRK1_99630.1, STRK1_99640.1	KAK4473679.1
OG0000251	STRK1_76350.1, STRK1_76350.2	KAK4470876.1
OG0000252	STRK1_41280.1, STRK1_41280.2	KAK4473757.1
OG0000253	STRK1_4200.1	KAK4474966.1
OG0000254	STRK1_8800.2, STRK1_8800.5, STRK1_8800.1, STRK1_8800.3, STRK1_8790.1, STRK1_8800.4	KAK4476211.1
OG0000255	STRK1_27350.1	KAK4472819.1
OG0000256	STRK1_43030.1, STRK1_43030.3, STRK1_43030.2	KAK4472234.1, KAK4474108.1
OG0000257	STRK1_26610.1, STRK1_26610.2, STRK1_26610.3, STRK1_26610.4	KAK4472840.1
OG0000259	STRK1_26930.1	KAK4472857.1
OG0000260	STRK1_20550.1	KAK4475472.1
OG0000261	STRK1_68260.4, STRK1_68260.2, STRK1_68260.1, STRK1_68260.3	KAK4471010.1
OG0000262	STRK1_29090.1, STRK1_29090.2	KAK4472696.1
OG0000263	STRK1_58480.1	KAK4471877.1
OG0000264	STRK1_82020.1, STRK1_102900.1, STRK1_82030.1	KAK4468105.1
OG0000264	STRK1_99780.1	KAK4475793.1, KAK4467257.1
OG0000266	STRK1_79400.1	KAK4467984.1
OG0000267	STRK1_78620.1, STRK1_78620.2	KAK4468325.1, KAK4468328.1
OG0000268	STRK1_69760.1	KAK4470182.1
OG0000268	STRK1_12970.1	KAK4476119.1
OG0000269	STRK1_16300.1	KAK4475673.1, KAK4467473.1
OG0000270	STRK1_25920.1, STRK1_25920.5, STRK1_25920.6, STRK1_25920.2, STRK1_25920.3, STRK1_25920.4	KAK4472943.1
OG0000271	STRK1_52250.1	KAK4469463.1
OG0000272	STRK1_4830.1, STRK1_4830.2, STRK1_4830.4, STRK1_4830.3	KAK4474616.1
OG0000273	STRK1_7040.1, STRK1_7050.1	KAK4476008.1
OG0000274	STRK1_76560.5, STRK1_76560.3, STRK1_76560.4, STRK1_76560.1, STRK1_76560.2	KAK4470994.1
OG0000275	STRK1_33550.1	KAK4473868.1
OG0000276	STRK1_71710.1	KAK4470557.1
OG0000277	STRK1_89530.1, STRK1_89530.2, STRK1_89530.3	KAK4468906.1
OG0000281	STRK1_81070.1	KAK4467957.1
OG0000281	STRK1_15090.1	KAK4474290.1
