Orthogroup	schistosoma_turkestanicum	schistosoma_spindale
OG0000031	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6
OG0000032	STRK1_76860.1	SSPN1_76750.1
OG0000032	STRK1_76860.1	SSPN1_76750.2
OG0000034	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3	SSPN1_88360.1
OG0000034	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1	SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2
OG0000034	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1
OG0000035	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2
OG0000036	STRK1_42430.1	SSPN1_32030.1, SSPN1_42130.1
OG0000037	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3
OG0000037	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1
OG0000040	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5	SSPN1_50390.1, SSPN1_50400.1
OG0000042	STRK1_38240.1	SSPN1_31120.1
OG0000042	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7
OG0000042	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1	SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1
OG0000043	STRK1_23860.1, STRK1_23860.2	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7
OG0000044	STRK1_83210.1, STRK1_83210.2	SSPN1_82650.1, SSPN1_82650.2
OG0000044	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1	SSPN1_82750.1
OG0000044	STRK1_83840.1	SSPN1_82730.1, SSPN1_82730.2
OG0000044	STRK1_83810.1	SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2
OG0000048	STRK1_101920.1	SSPN1_55770.1, SSPN1_55140.1, SSPN1_55030.1, SSPN1_55030.2, SSPN1_77680.1, SSPN1_77680.2, SSPN1_43820.1, SSPN1_43810.1, SSPN1_93000.1
OG0000049	STRK1_67640.1	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3
OG0000049	STRK1_71350.1	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5
OG0000050	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3
OG0000052	STRK1_27330.1	SSPN1_27560.1
OG0000052	STRK1_16800.1	SSPN1_3140.1
OG0000052	STRK1_440.1	SSPN1_510.1, SSPN1_510.2
OG0000052	STRK1_1120.1, STRK1_97400.1	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1
OG0000052	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1	SSPN1_57870.1
OG0000053	STRK1_2330.1	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2
OG0000054	STRK1_94850.1, STRK1_78190.1	SSPN1_52250.1, SSPN1_89800.1, SSPN1_9060.1, SSPN1_9070.1
OG0000054	STRK1_3800.1, STRK1_3800.2	SSPN1_7480.1, SSPN1_7480.2, SSPN1_7480.3
OG0000055	STRK1_66850.1	SSPN1_66280.1, SSPN1_66290.1
OG0000056	STRK1_44730.1, STRK1_44160.1, STRK1_44160.2, STRK1_44740.1	SSPN1_74120.1
OG0000058	STRK1_86390.1	SSPN1_85960.1
OG0000058	STRK1_77870.1	SSPN1_77480.1
OG0000058	STRK1_77680.1	SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3
OG0000060	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4
OG0000061	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3
OG0000062	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4
OG0000064	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1	SSPN1_4120.1, SSPN1_4120.2
OG0000065	STRK1_21210.1	SSPN1_22330.1
OG0000065	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1	SSPN1_22360.1
OG0000066	STRK1_27970.1, STRK1_27970.2	SSPN1_33820.1
OG0000067	STRK1_100070.1	SSPN1_57390.6, SSPN1_57390.1, SSPN1_57390.4, SSPN1_57390.7, SSPN1_57390.8, SSPN1_57390.2, SSPN1_57390.3, SSPN1_57390.5
OG0000068	STRK1_51720.1	SSPN1_52040.1
OG0000068	STRK1_90930.1	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6
OG0000068	STRK1_31350.1	SSPN1_34390.1, SSPN1_34390.2, SSPN1_34400.1
OG0000068	STRK1_27380.1	SSPN1_27620.1
OG0000069	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1	SSPN1_10380.1, SSPN1_10380.2, SSPN1_10380.3
OG0000070	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3
OG0000071	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2	SSPN1_36770.1
OG0000072	STRK1_86450.1	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3
OG0000073	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3	SSPN1_75390.1, SSPN1_75400.1, SSPN1_53480.2, SSPN1_53480.3, SSPN1_53480.4, SSPN1_53480.1, SSPN1_53490.1, SSPN1_53490.2, SSPN1_53490.3, SSPN1_53490.4
OG0000074	STRK1_88120.1	SSPN1_84850.1
OG0000074	STRK1_10690.2, STRK1_10690.1	SSPN1_19150.1
OG0000075	STRK1_35140.1, STRK1_35140.2	SSPN1_37000.1
OG0000076	STRK1_85230.1, STRK1_85230.2	SSPN1_87470.1
OG0000076	STRK1_16320.1, STRK1_16320.2	SSPN1_3830.1
OG0000077	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9
OG0000078	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4	SSPN1_5440.6, SSPN1_5440.2, SSPN1_5440.4, SSPN1_5440.5, SSPN1_5440.1, SSPN1_5440.3
OG0000079	STRK1_29350.1, STRK1_29350.2	SSPN1_29590.2, SSPN1_29590.1
OG0000079	STRK1_51780.1, STRK1_51780.2	SSPN1_52110.7, SSPN1_52110.5, SSPN1_52110.1, SSPN1_52110.3, SSPN1_52110.9, SSPN1_52110.4, SSPN1_52110.6, SSPN1_52110.2, SSPN1_52110.8
OG0000080	STRK1_39780.1	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3
OG0000082	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3	SSPN1_20040.1
OG0000083	STRK1_77560.1, STRK1_77560.2	SSPN1_47790.1
OG0000085	STRK1_31220.1, STRK1_31220.2	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3
OG0000086	STRK1_71670.1, STRK1_71670.2	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3
OG0000087	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4	SSPN1_51210.1
OG0000088	STRK1_17030.1	SSPN1_3000.1
OG0000088	STRK1_17040.1, STRK1_17040.2	SSPN1_2990.4, SSPN1_2990.5, SSPN1_2990.3, SSPN1_2990.1, SSPN1_2990.2
OG0000090	STRK1_49240.1	SSPN1_48330.4, SSPN1_48330.1, SSPN1_48330.2, SSPN1_48330.3
OG0000091	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11
OG0000092	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4	SSPN1_2160.1, SSPN1_2160.2
OG0000092	STRK1_8500.1, STRK1_8500.2	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3
OG0000093	STRK1_38460.1	SSPN1_30830.1
OG0000093	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1	SSPN1_93300.1, SSPN1_31650.1, SSPN1_93310.2, SSPN1_31660.1, SSPN1_93310.1, SSPN1_93310.3
OG0000094	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3
OG0000095	STRK1_60680.1	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10
OG0000096	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2	SSPN1_35570.1
OG0000097	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4
OG0000098	STRK1_64600.1, STRK1_64590.1	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4
OG0000099	STRK1_66130.1, STRK1_104580.1, STRK1_66160.2	SSPN1_64930.1, SSPN1_64930.2
OG0000099	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4
OG0000102	STRK1_3550.1, STRK1_3550.2	SSPN1_5840.1
OG0000102	STRK1_56260.1	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2
OG0000103	STRK1_75520.1, STRK1_75520.2	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9
OG0000104	STRK1_3670.1, STRK1_3670.2	SSPN1_6010.1, SSPN1_6010.10, SSPN1_6010.5, SSPN1_6010.8, SSPN1_6010.2, SSPN1_6010.3, SSPN1_6010.4, SSPN1_6010.9, SSPN1_6010.11, SSPN1_6010.6, SSPN1_6010.7
OG0000105	STRK1_13170.1	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5
OG0000106	STRK1_102100.1	SSPN1_70780.1, SSPN1_73140.1, SSPN1_73150.1, SSPN1_70760.1, SSPN1_70770.1, SSPN1_70790.1, SSPN1_73160.1
OG0000106	STRK1_72780.1, STRK1_72770.1	SSPN1_70750.1, SSPN1_73170.1, SSPN1_70810.1
OG0000107	STRK1_49750.1	SSPN1_47780.1, SSPN1_54420.1
OG0000107	STRK1_52380.1	SSPN1_49360.3
OG0000107	STRK1_49750.2	SSPN1_49360.2, SSPN1_93110.1
OG0000107	STRK1_49760.1	SSPN1_49360.1
OG0000108	STRK1_12570.1, STRK1_12570.2	SSPN1_8260.1
OG0000110	STRK1_30120.1	SSPN1_28800.1
OG0000110	STRK1_30150.1	SSPN1_28780.1
OG0000110	STRK1_30110.1	SSPN1_28810.2, SSPN1_28810.1
OG0000110	STRK1_30100.1, STRK1_30100.2	SSPN1_28830.1, SSPN1_28820.1
OG0000111	STRK1_46420.1	SSPN1_50260.2, SSPN1_50260.1
OG0000111	STRK1_32480.1, STRK1_32510.1	SSPN1_30080.1, SSPN1_30090.1, SSPN1_30130.1
OG0000112	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1	SSPN1_80600.1
OG0000114	STRK1_91030.1, STRK1_91030.2	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3
OG0000115	STRK1_28410.1	SSPN1_34290.1, SSPN1_34290.2
OG0000116	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9
OG0000117	STRK1_30040.1	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8
OG0000118	STRK1_37870.1	SSPN1_31490.1, SSPN1_31480.1
OG0000118	STRK1_109120.1, STRK1_37860.1	SSPN1_31520.1
OG0000118	STRK1_109130.1, STRK1_37850.1	SSPN1_31510.1, SSPN1_31500.1
OG0000119	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1
OG0000122	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2	SSPN1_77430.1
OG0000123	STRK1_73130.1, STRK1_73130.2	SSPN1_75600.1, SSPN1_75600.2
OG0000125	STRK1_99670.1	SSPN1_1270.1
OG0000126	STRK1_68690.1	SSPN1_68020.1, SSPN1_68020.2, SSPN1_68020.3, SSPN1_68020.4
