Orthogroup	schistosoma_haematobium	fasciola_gigantica
OG0000042	SHAE2_42810.2, SHAE2_42810.1, SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1, SHAE2_42750.1, SHAE2_42760.2, SHAE2_42780.1, SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1	FGIG_05270
OG0000043	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21	FGIG_08366
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3, SHAE2_91220.1, SHAE2_91240.1, SHAE2_91240.2, SHAE2_91250.1, SHAE2_91250.2	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	SHAE2_12380.1, SHAE2_93110.1, SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23	FGIG_12527
OG0000049	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	FGIG_07932, FGIG_00477
OG0000049	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6	FGIG_06077
OG0000050	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	SHAE2_30940.1	FGIG_00994
OG0000052	SHAE2_3770.1	FGIG_02824
OG0000052	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1	FGIG_04502, FGIG_12676
OG0000053	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10	FGIG_08393, FGIG_12440
OG0000055	SHAE2_73310.1, SHAE2_73320.1	FGIG_03285, FGIG_05988
OG0000058	SHAE2_95540.1	FGIG_11220
OG0000058	SHAE2_84800.1, SHAE2_84800.2	FGIG_06708
OG0000058	SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3, SHAE2_84760.1, SHAE2_84750.1, SHAE2_84740.1	FGIG_00649
OG0000060	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8	FGIG_07684
OG0000061	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4	FGIG_09986
OG0000062	SHAE2_6660.14, SHAE2_6660.4, SHAE2_6660.16, SHAE2_6660.19, SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13, SHAE2_6660.21, SHAE2_6660.3	FGIG_00991
OG0000063	SHAE2_42340.3, SHAE2_42340.15, SHAE2_42340.18, SHAE2_42340.10, SHAE2_42340.12, SHAE2_42340.7, SHAE2_42340.9, SHAE2_42340.2, SHAE2_42340.8, SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19	FGIG_03231
OG0000064	SHAE2_4750.14, SHAE2_4750.27, SHAE2_4750.8, SHAE2_4750.10, SHAE2_4750.15, SHAE2_4750.25, SHAE2_4750.26, SHAE2_4750.13, SHAE2_4750.6, SHAE2_4750.21, SHAE2_4750.11, SHAE2_4750.3, SHAE2_4750.7, SHAE2_4750.30, SHAE2_4750.12, SHAE2_4750.19, SHAE2_4750.18, SHAE2_4750.17, SHAE2_4750.9, SHAE2_4750.28, SHAE2_4750.29, SHAE2_4750.32, SHAE2_4750.23, SHAE2_4750.24, SHAE2_4750.2, SHAE2_4750.5, SHAE2_4750.31, SHAE2_4750.22, SHAE2_4750.33, SHAE2_4750.1, SHAE2_4750.4, SHAE2_4750.20, SHAE2_4750.16	FGIG_12411, FGIG_06602
OG0000065	SHAE2_25330.1, SHAE2_25350.1, SHAE2_25340.1, SHAE2_25420.3, SHAE2_25420.2, SHAE2_25420.1, SHAE2_25400.1, SHAE2_25390.2, SHAE2_25390.1, SHAE2_25390.3, SHAE2_25390.5, SHAE2_25390.4	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	SHAE2_40030.6, SHAE2_40030.14, SHAE2_40030.15, SHAE2_40030.1, SHAE2_40030.13, SHAE2_40030.5, SHAE2_40030.8, SHAE2_40030.12, SHAE2_40030.2, SHAE2_40030.9, SHAE2_40030.11, SHAE2_40030.4, SHAE2_40030.7, SHAE2_40030.3, SHAE2_40030.10	FGIG_00170
OG0000067	SHAE2_71830.19, SHAE2_71830.16, SHAE2_71830.6, SHAE2_71830.8, SHAE2_71830.10, SHAE2_71830.14, SHAE2_71830.15, SHAE2_71830.9, SHAE2_71830.11, SHAE2_71830.20, SHAE2_71830.13, SHAE2_71830.2, SHAE2_71830.1, SHAE2_71830.12, SHAE2_71830.17, SHAE2_71830.18, SHAE2_71830.3, SHAE2_71830.4, SHAE2_71830.7, SHAE2_71830.5	FGIG_02840, FGIG_02842
OG0000068	SHAE2_57070.1, SHAE2_57070.2, SHAE2_57070.3	FGIG_12158
OG0000068	SHAE2_100120.2, SHAE2_100120.1, SHAE2_100120.3	FGIG_12079
OG0000068	SHAE2_39460.1, SHAE2_39470.1	FGIG_07351
OG0000068	SHAE2_30990.1	FGIG_05814
OG0000069	SHAE2_22730.1	FGIG_12680, FGIG_06996
OG0000070	SHAE2_46580.7, SHAE2_46580.1, SHAE2_46580.2, SHAE2_46580.4, SHAE2_46580.5, SHAE2_46580.3, SHAE2_46580.6	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	SHAE2_36970.11, SHAE2_36970.2, SHAE2_36970.3, SHAE2_36970.5, SHAE2_36970.8, SHAE2_36970.9, SHAE2_36970.10, SHAE2_36970.13, SHAE2_36970.4, SHAE2_36970.6, SHAE2_36970.7, SHAE2_36970.12, SHAE2_36970.14, SHAE2_36970.1	FGIG_07065, FGIG_07067
OG0000072	SHAE2_94930.1, SHAE2_94930.2	FGIG_06022, FGIG_09056
OG0000073	SHAE2_58540.12, SHAE2_58540.3, SHAE2_58540.7, SHAE2_58550.10, SHAE2_58550.12, SHAE2_58550.14, SHAE2_58550.15, SHAE2_58550.7, SHAE2_58540.8, SHAE2_58550.2, SHAE2_58540.1, SHAE2_58540.2, SHAE2_58540.9, SHAE2_58550.1, SHAE2_58550.13, SHAE2_58550.16, SHAE2_58550.3, SHAE2_58550.6, SHAE2_58550.8, SHAE2_58550.4, SHAE2_58540.13, SHAE2_58540.4, SHAE2_58540.5, SHAE2_58550.11, SHAE2_58550.9, SHAE2_58540.10, SHAE2_58540.6	FGIG_05759
OG0000074	SHAE2_1560.2, SHAE2_1560.1	FGIG_06125
OG0000074	SHAE2_93350.1	FGIG_03273
OG0000074	SHAE2_13230.1	FGIG_07718
OG0000074	SHAE2_93440.1	FGIG_01338
OG0000075	SHAE2_36730.1, SHAE2_36730.2, SHAE2_36730.10, SHAE2_36730.12, SHAE2_36730.14, SHAE2_36730.18, SHAE2_36730.19, SHAE2_36730.20, SHAE2_36730.21, SHAE2_36730.3, SHAE2_36730.4, SHAE2_36730.5, SHAE2_36730.6, SHAE2_36730.7, SHAE2_36730.8, SHAE2_36730.9, SHAE2_36730.17, SHAE2_36730.13, SHAE2_36730.15, SHAE2_36730.16, SHAE2_36730.22, SHAE2_36730.23, SHAE2_36730.11	FGIG_05387
OG0000076	SHAE2_96250.2, SHAE2_96250.1	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	SHAE2_4440.10, SHAE2_4440.9, SHAE2_4440.5, SHAE2_4440.2, SHAE2_4440.6, SHAE2_4440.7, SHAE2_4440.8, SHAE2_4440.1, SHAE2_4440.4, SHAE2_4440.3	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	SHAE2_12640.13, SHAE2_12640.12, SHAE2_12640.1, SHAE2_12640.4, SHAE2_12640.5, SHAE2_12640.14, SHAE2_12640.15, SHAE2_12640.11, SHAE2_12640.8, SHAE2_12640.2, SHAE2_12640.3, SHAE2_12640.6, SHAE2_12640.10, SHAE2_12640.9, SHAE2_12640.7	FGIG_09054
OG0000078	SHAE2_6060.1, SHAE2_6060.11, SHAE2_6060.2, SHAE2_6060.8, SHAE2_6060.12, SHAE2_6060.14, SHAE2_6060.10, SHAE2_6060.13, SHAE2_6060.3, SHAE2_6060.7, SHAE2_6060.5, SHAE2_6060.4, SHAE2_6060.6, SHAE2_6060.9	FGIG_04314
OG0000079	SHAE2_32920.2, SHAE2_32920.1, SHAE2_32920.3	FGIG_07135, FGIG_07136
OG0000079	SHAE2_57130.1, SHAE2_57130.2, SHAE2_57130.6, SHAE2_57130.3, SHAE2_57130.8, SHAE2_57130.5, SHAE2_57130.4, SHAE2_57130.7, SHAE2_57130.9	FGIG_05069, FGIG_05070
OG0000080	SHAE2_46980.11, SHAE2_46980.13, SHAE2_46980.9, SHAE2_46980.8, SHAE2_46980.2, SHAE2_46980.4, SHAE2_46980.5, SHAE2_46980.6, SHAE2_46980.3, SHAE2_46980.7, SHAE2_46980.12, SHAE2_46980.10, SHAE2_46980.1, SHAE2_46980.14	FGIG_03532
OG0000081	SHAE2_75080.1, SHAE2_72480.1	FGIG_05277, FGIG_11514
OG0000082	SHAE2_12290.1	FGIG_06461
OG0000085	SHAE2_39330.4, SHAE2_39330.1, SHAE2_39330.10, SHAE2_39330.11, SHAE2_39330.12, SHAE2_39330.13, SHAE2_39330.14, SHAE2_39330.2, SHAE2_39330.3, SHAE2_39330.7, SHAE2_39330.15, SHAE2_39330.6, SHAE2_39330.8, SHAE2_39330.5, SHAE2_39330.9	FGIG_06241
OG0000086	SHAE2_77610.2, SHAE2_77610.11, SHAE2_77610.12, SHAE2_77610.13, SHAE2_77610.8, SHAE2_77610.9, SHAE2_77610.7, SHAE2_77610.10, SHAE2_77610.4, SHAE2_77610.5, SHAE2_77610.6, SHAE2_77610.1, SHAE2_77610.3	FGIG_09371
OG0000087	SHAE2_56190.11, SHAE2_56190.3, SHAE2_56190.6, SHAE2_56190.8, SHAE2_56190.5, SHAE2_56190.1, SHAE2_56190.7, SHAE2_56190.2, SHAE2_56190.9, SHAE2_56190.4, SHAE2_56190.10	FGIG_03026
OG0000088	SHAE2_3590.2, SHAE2_3590.3, SHAE2_3590.1, SHAE2_3590.4, SHAE2_3570.2, SHAE2_3570.5, SHAE2_3570.6, SHAE2_3570.7, SHAE2_3570.1, SHAE2_3570.3, SHAE2_3570.4	FGIG_14005, FGIG_05150
OG0000090	SHAE2_53200.2, SHAE2_53200.3, SHAE2_53200.4, SHAE2_53200.7, SHAE2_53200.6, SHAE2_53200.8, SHAE2_53200.9, SHAE2_53200.10, SHAE2_53200.14, SHAE2_53200.16, SHAE2_53200.17, SHAE2_53200.11, SHAE2_53200.12, SHAE2_53200.18, SHAE2_53200.19, SHAE2_53200.13, SHAE2_53200.1, SHAE2_53200.5, SHAE2_53200.15	FGIG_01258
OG0000091	SHAE2_51130.24, SHAE2_51130.18, SHAE2_51130.19, SHAE2_51130.28, SHAE2_51130.29, SHAE2_51130.12, SHAE2_51130.1, SHAE2_51130.4, SHAE2_51130.23, SHAE2_51130.21, SHAE2_51130.6, SHAE2_51130.2, SHAE2_51130.25, SHAE2_51130.26, SHAE2_51130.3, SHAE2_51130.17, SHAE2_51130.5, SHAE2_51130.13, SHAE2_51130.16, SHAE2_51130.9, SHAE2_51130.27, SHAE2_51130.11, SHAE2_51130.15, SHAE2_51130.20, SHAE2_51130.22, SHAE2_51130.8, SHAE2_51130.10, SHAE2_51130.14, SHAE2_51130.7	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SHAE2_2520.1, SHAE2_2520.3, SHAE2_2520.2	FGIG_06562
OG0000092	SHAE2_14980.4, SHAE2_14980.3, SHAE2_14980.1, SHAE2_14980.2	FGIG_11548
OG0000093	SHAE2_43060.1	FGIG_04003
OG0000093	SHAE2_42250.1, SHAE2_42250.2	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SHAE2_10350.10, SHAE2_10350.4, SHAE2_10350.5, SHAE2_10350.9, SHAE2_10350.2, SHAE2_10350.7, SHAE2_10350.14, SHAE2_10350.12, SHAE2_10350.15, SHAE2_10350.17, SHAE2_10350.13, SHAE2_10350.16, SHAE2_10350.18, SHAE2_10350.19, SHAE2_10350.20, SHAE2_10350.21, SHAE2_10350.1, SHAE2_10350.8, SHAE2_10350.3, SHAE2_10350.6, SHAE2_10350.11	FGIG_00948
OG0000095	SHAE2_65580.5, SHAE2_65580.4, SHAE2_65580.1, SHAE2_65580.2, SHAE2_65580.3, SHAE2_65580.7, SHAE2_65580.8, SHAE2_65580.6, SHAE2_65580.9, SHAE2_65580.11, SHAE2_65580.10	FGIG_01883
OG0000096	SHAE2_38140.1	FGIG_03065
OG0000097	SHAE2_7500.13, SHAE2_7500.31, SHAE2_7500.19, SHAE2_7500.6, SHAE2_7500.28, SHAE2_7500.2, SHAE2_7500.17, SHAE2_7500.21, SHAE2_7500.25, SHAE2_7500.26, SHAE2_7500.29, SHAE2_7500.3, SHAE2_7500.8, SHAE2_7500.10, SHAE2_7500.23, SHAE2_7500.5, SHAE2_7500.9, SHAE2_7500.20, SHAE2_7500.11, SHAE2_7500.4, SHAE2_7500.12, SHAE2_7500.14, SHAE2_7500.15, SHAE2_7500.16, SHAE2_7500.18, SHAE2_7500.22, SHAE2_7500.7, SHAE2_7500.1, SHAE2_7500.24, SHAE2_7500.30, SHAE2_7500.27	FGIG_06823
OG0000098	SHAE2_44010.1, SHAE2_44020.1, SHAE2_44010.2, SHAE2_99810.1, SHAE2_44010.3	FGIG_08056
OG0000098	SHAE2_71040.5, SHAE2_71040.4, SHAE2_71040.1, SHAE2_71040.2, SHAE2_71040.6, SHAE2_71040.7, SHAE2_71040.3	FGIG_08009
OG0000099	SHAE2_72020.3, SHAE2_72020.2, SHAE2_72020.1, SHAE2_72020.4, SHAE2_72020.5	FGIG_01162
OG0000099	SHAE2_76260.1	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SHAE2_6460.1, SHAE2_6460.4, SHAE2_6460.5, SHAE2_6460.6, SHAE2_6460.2, SHAE2_6460.3	FGIG_11657
OG0000102	SHAE2_62580.6, SHAE2_62580.7, SHAE2_62580.2, SHAE2_62580.1, SHAE2_62580.4, SHAE2_62580.3, SHAE2_62580.5	FGIG_04726, FGIG_06854
OG0000103	SHAE2_78650.3, SHAE2_78650.4, SHAE2_78650.6, SHAE2_78650.1, SHAE2_78650.2, SHAE2_78650.5, SHAE2_78650.7	FGIG_06145, FGIG_13990
OG0000104	SHAE2_6650.1, SHAE2_6650.15, SHAE2_6650.4, SHAE2_6650.7, SHAE2_6650.11, SHAE2_6650.14, SHAE2_6650.5, SHAE2_6650.9, SHAE2_6650.8, SHAE2_6650.17, SHAE2_6650.13, SHAE2_6650.16, SHAE2_6650.2, SHAE2_6650.3, SHAE2_6650.10, SHAE2_6650.12, SHAE2_6650.6	FGIG_08148
OG0000105	SHAE2_8290.24, SHAE2_8290.25, SHAE2_8290.17, SHAE2_8290.22, SHAE2_8290.18, SHAE2_8290.21, SHAE2_8290.10, SHAE2_8290.12, SHAE2_8290.20, SHAE2_8290.23, SHAE2_8290.13, SHAE2_8290.11, SHAE2_8290.15, SHAE2_8290.1, SHAE2_8290.4, SHAE2_8290.5, SHAE2_8290.6, SHAE2_8290.7, SHAE2_8290.16, SHAE2_8290.19, SHAE2_8290.2, SHAE2_8290.3, SHAE2_8290.14, SHAE2_8290.9, SHAE2_8290.8	FGIG_00113, FGIG_06918
OG0000108	SHAE2_10210.8, SHAE2_10210.10, SHAE2_10210.4, SHAE2_10210.3, SHAE2_10210.5, SHAE2_10210.11, SHAE2_10210.13, SHAE2_10210.14, SHAE2_10210.15, SHAE2_10210.16, SHAE2_10210.17, SHAE2_10210.2, SHAE2_10210.9, SHAE2_10210.1, SHAE2_10210.12, SHAE2_10210.7, SHAE2_10210.6	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SHAE2_32170.1, SHAE2_32120.2, SHAE2_32120.1	FGIG_03667
OG0000110	SHAE2_32180.2, SHAE2_32180.1	FGIG_10562
OG0000110	SHAE2_32190.2, SHAE2_32190.1	FGIG_06603
OG0000111	SHAE2_44090.1	FGIG_04030
OG0000111	SHAE2_55270.1	FGIG_03777
OG0000111	SHAE2_33520.1, SHAE2_33520.2	FGIG_04347
OG0000112	SHAE2_89140.2, SHAE2_89140.8, SHAE2_89140.1, SHAE2_89140.7, SHAE2_89140.5, SHAE2_89140.6, SHAE2_89140.4, SHAE2_89140.3, SHAE2_89140.10, SHAE2_89140.15, SHAE2_89140.12, SHAE2_89140.17, SHAE2_89140.16, SHAE2_89140.14, SHAE2_89140.24, SHAE2_89140.20, SHAE2_89140.11, SHAE2_89140.9, SHAE2_89140.23, SHAE2_89140.26, SHAE2_89140.27, SHAE2_89140.18, SHAE2_89140.25, SHAE2_89140.13, SHAE2_89140.22, SHAE2_89140.21, SHAE2_89140.19	FGIG_09308, FGIG_06819
OG0000114	SHAE2_100010.15, SHAE2_100010.16, SHAE2_100010.17, SHAE2_100010.11, SHAE2_100010.9, SHAE2_100010.14, SHAE2_100010.2, SHAE2_100010.3, SHAE2_100010.6, SHAE2_100010.8, SHAE2_100010.5, SHAE2_100010.7, SHAE2_100010.1, SHAE2_100010.12, SHAE2_100010.13, SHAE2_100010.4, SHAE2_100010.10	FGIG_00156
