Orthogroup	schistosoma_haematobium	schistosoma_mattheei
OG0000003	SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5	SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3
OG0000003	SHAE2_85630.2	SMTH1_103170.4, SMTH1_103180.3, SMTH1_103170.5, SMTH1_103180.4, SMTH1_103170.1, SMTH1_103170.2, SMTH1_103170.6, SMTH1_103180.1, SMTH1_103170.8, SMTH1_103170.7, SMTH1_103180.2, SMTH1_103170.3
OG0000004	SHAE2_46350.1	SMTH1_53750.1
OG0000004	SHAE2_45000.1, SHAE2_77060.1, SHAE2_22150.1, SHAE2_56330.1, SHAE2_85230.1, SHAE2_24720.1, SHAE2_53640.1, SHAE2_92300.1, SHAE2_56980.1, SHAE2_56980.2, SHAE2_2480.1, SHAE2_63150.1	SMTH1_76680.1
OG0000004	SHAE2_29060.1	SMTH1_42190.1, SMTH1_64920.1
OG0000004	SHAE2_58010.1	SMTH1_24600.1
OG0000004	SHAE2_54530.1	SMTH1_40470.1
OG0000004	SHAE2_85020.1, SHAE2_102090.1, SHAE2_60460.1	SMTH1_6510.1
OG0000004	SHAE2_81380.1	SMTH1_50310.1
OG0000004	SHAE2_44870.1	SMTH1_20460.1, SMTH1_48240.1, SMTH1_98470.1
OG0000004	SHAE2_96260.1, SHAE2_96260.2	SMTH1_16260.1
OG0000005	SHAE2_57300.1	SMTH1_46440.1
OG0000005	SHAE2_63030.1	SMTH1_59350.1, SMTH1_59350.2, SMTH1_59350.3, SMTH1_59350.4
OG0000005	SHAE2_98210.1, SHAE2_98210.2, SHAE2_6770.1, SHAE2_6780.1	SMTH1_95090.1, SMTH1_95090.2, SMTH1_95090.3, SMTH1_95100.1
OG0000005	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1	SMTH1_51080.1
OG0000005	SHAE2_55620.1	SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1, SMTH1_45020.1
OG0000005	SHAE2_24880.1	SMTH1_1740.1, SMTH1_70850.1, SMTH1_9590.1, SMTH1_52740.1, SMTH1_52740.2, SMTH1_53770.1, SMTH1_84460.1
OG0000005	SHAE2_48280.1	SMTH1_30140.1, SMTH1_73580.1, SMTH1_70860.1, SMTH1_84450.1
OG0000005	SHAE2_24130.1	SMTH1_91450.1, SMTH1_6230.1, SMTH1_81250.1
OG0000005	SHAE2_25130.1, SHAE2_25130.2	SMTH1_9470.1, SMTH1_100250.1, SMTH1_75220.1, SMTH1_75180.1
OG0000005	SHAE2_29330.1	SMTH1_77180.1
OG0000006	SHAE2_55900.1	SMTH1_68820.1
OG0000006	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1
OG0000006	SHAE2_25840.1	SMTH1_7160.1
OG0000006	SHAE2_63560.1, SHAE2_50040.1	SMTH1_64450.1
OG0000006	SHAE2_64180.1	SMTH1_70030.1
OG0000006	SHAE2_49370.1	SMTH1_25140.1
OG0000006	SHAE2_102570.1	SMTH1_4840.1, SMTH1_57430.1
OG0000006	SHAE2_65190.1	SMTH1_35360.1
OG0000006	SHAE2_77110.1, SHAE2_14280.1	SMTH1_12120.1
OG0000006	SHAE2_13460.1, SHAE2_98580.1, SHAE2_3600.1, SHAE2_48770.1, SHAE2_96550.1, SHAE2_15810.1, SHAE2_2730.1, SHAE2_2730.3, SHAE2_75170.1, SHAE2_72530.1, SHAE2_54980.1, SHAE2_97000.1, SHAE2_79020.1, SHAE2_81870.1, SHAE2_77820.1, SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4, SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1	SMTH1_89700.1, SMTH1_48470.1, SMTH1_107410.1, SMTH1_107410.2, SMTH1_107410.3, SMTH1_78360.1
OG0000008	SHAE2_83090.1	SMTH1_29710.1
OG0000008	SHAE2_49860.1	SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1
OG0000008	SHAE2_4090.1	SMTH1_103950.1, SMTH1_93940.1
OG0000008	SHAE2_49140.1	SMTH1_1390.1, SMTH1_75040.1
OG0000009	SHAE2_45200.1	SMTH1_62180.1, SMTH1_26870.1
OG0000009	SHAE2_66930.1	SMTH1_69840.1, SMTH1_43850.1
OG0000009	SHAE2_41140.1	SMTH1_89240.1, SMTH1_89240.2
OG0000009	SHAE2_64150.1	SMTH1_102060.1, SMTH1_35110.1, SMTH1_50420.1, SMTH1_5550.1
OG0000009	SHAE2_16450.1	SMTH1_46830.1
OG0000009	SHAE2_79100.1	SMTH1_88010.1, SMTH1_1660.1, SMTH1_1660.2, SMTH1_39030.1, SMTH1_56000.1, SMTH1_50280.1, SMTH1_74320.1, SMTH1_21220.1, SMTH1_21220.2, SMTH1_87760.1
OG0000010	SHAE2_61590.1	SMTH1_64040.1
OG0000010	SHAE2_14840.2, SHAE2_14840.1	SMTH1_90320.1
OG0000010	SHAE2_69040.1	SMTH1_55810.1
OG0000010	SHAE2_30800.1, SHAE2_26010.1	SMTH1_39190.1
OG0000010	SHAE2_26020.1	SMTH1_88020.1
OG0000010	SHAE2_8360.1	SMTH1_84160.1
OG0000010	SHAE2_15450.1	SMTH1_102050.1, SMTH1_70050.1
OG0000012	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8	SMTH1_45260.1
OG0000012	SHAE2_43510.27	SMTH1_45270.1
OG0000014	SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26	SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6
OG0000014	SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6	SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11
OG0000015	SHAE2_41150.1	SMTH1_42330.1
OG0000015	SHAE2_70060.1	SMTH1_73160.1
OG0000015	SHAE2_70070.1	SMTH1_73170.1
OG0000015	SHAE2_41370.1	SMTH1_42560.1
OG0000015	SHAE2_41380.1	SMTH1_42570.3
OG0000015	SHAE2_41400.2	SMTH1_42590.1
OG0000015	SHAE2_46480.1	SMTH1_48670.1
OG0000015	SHAE2_45590.1	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5
OG0000015	SHAE2_45610.1	SMTH1_47640.1
OG0000015	SHAE2_45640.1	SMTH1_47660.1
OG0000015	SHAE2_11980.1	SMTH1_11420.1
OG0000016	SHAE2_67860.1	SMTH1_106910.1, SMTH1_50680.1, SMTH1_86280.1
OG0000016	SHAE2_38480.1, SHAE2_65970.1, SHAE2_82640.1	SMTH1_91760.1
OG0000016	SHAE2_17260.1	SMTH1_94700.1
OG0000018	SHAE2_5050.2, SHAE2_5050.5, SHAE2_5050.6, SHAE2_5050.8, SHAE2_5050.1, SHAE2_5050.3, SHAE2_5050.4, SHAE2_5050.7, SHAE2_5050.9, SHAE2_55110.1, SHAE2_55110.2, SHAE2_55110.3	SMTH1_38820.2, SMTH1_38820.3, SMTH1_38830.1, SMTH1_38840.1, SMTH1_38820.1
OG0000018	SHAE2_20330.4	SMTH1_44570.1, SMTH1_44570.2, SMTH1_83600.1
OG0000018	SHAE2_62230.1, SHAE2_62230.2	SMTH1_64760.2, SMTH1_64760.3, SMTH1_64760.4, SMTH1_64760.1
OG0000019	SHAE2_39640.11	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9
OG0000019	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7	SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4
OG0000019	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000020	SHAE2_97880.1, SHAE2_97890.1	SMTH1_102430.1
OG0000020	SHAE2_97900.1	SMTH1_102450.1, SMTH1_102400.1, SMTH1_102410.1, SMTH1_102420.1
OG0000020	SHAE2_97600.1	SMTH1_102040.1, SMTH1_102040.2
OG0000021	SHAE2_10160.1	SMTH1_9440.1
OG0000021	SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1	SMTH1_6700.1, SMTH1_82170.1
OG0000021	SHAE2_6310.1	SMTH1_6650.1
OG0000021	SHAE2_6320.1	SMTH1_6670.1
OG0000021	SHAE2_6330.1, SHAE2_6330.2	SMTH1_6690.1, SMTH1_6690.2
OG0000021	SHAE2_6290.2	SMTH1_6640.1
OG0000021	SHAE2_6290.4	SMTH1_6640.3
OG0000021	SHAE2_6290.3, SHAE2_6290.5	SMTH1_6640.2
OG0000022	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29	SMTH1_30110.1
OG0000024	SHAE2_26160.1	SMTH1_26330.1
OG0000024	SHAE2_96950.1	SMTH1_101590.1
OG0000024	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000024	SHAE2_84940.1, SHAE2_84940.2	SMTH1_89320.1
OG0000024	SHAE2_84950.1	SMTH1_89310.1
OG0000026	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2	SMTH1_88650.1, SMTH1_88650.2
OG0000026	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3	SMTH1_80430.1
OG0000028	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13	SMTH1_78260.1, SMTH1_78260.2
OG0000029	SHAE2_61420.1	SMTH1_63900.1
OG0000029	SHAE2_92590.1	SMTH1_96900.1
OG0000029	SHAE2_22850.2	SMTH1_22560.5
OG0000029	SHAE2_22860.1	SMTH1_22560.5
OG0000029	SHAE2_22850.1	SMTH1_22560.1
OG0000029	SHAE2_22850.1	SMTH1_22560.2
OG0000029	SHAE2_22850.1	SMTH1_22560.3
OG0000029	SHAE2_22850.1	SMTH1_22560.4
OG0000029	SHAE2_22850.3	SMTH1_22560.1
OG0000029	SHAE2_22850.3	SMTH1_22560.2
OG0000029	SHAE2_22850.3	SMTH1_22560.3
OG0000029	SHAE2_22850.3	SMTH1_22560.4
OG0000029	SHAE2_93560.1	SMTH1_97890.7
OG0000029	SHAE2_93550.1	SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2
OG0000030	SHAE2_7260.1	SMTH1_7700.1
OG0000031	SHAE2_21970.1	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	SHAE2_12170.2	SMTH1_11640.1
OG0000032	SHAE2_12170.3	SMTH1_11650.1
OG0000032	SHAE2_84140.1	SMTH1_88690.1
OG0000033	SHAE2_42570.1, SHAE2_18350.1	SMTH1_51400.1, SMTH1_57070.1, SMTH1_101740.1, SMTH1_19750.1, SMTH1_2110.1, SMTH1_21910.1, SMTH1_22590.1, SMTH1_22960.1, SMTH1_35750.1, SMTH1_38700.1, SMTH1_47740.1, SMTH1_49720.1, SMTH1_53960.1, SMTH1_55150.1, SMTH1_59770.1, SMTH1_63160.1, SMTH1_63270.1, SMTH1_75790.1, SMTH1_78180.1, SMTH1_7910.1, SMTH1_81870.1, SMTH1_84770.1, SMTH1_85890.1, SMTH1_88830.1, SMTH1_92150.1, SMTH1_9890.1, SMTH1_77930.1, SMTH1_42200.1
OG0000034	SHAE2_97190.1	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3
OG0000034	SHAE2_97180.1	SMTH1_101830.1
OG0000034	SHAE2_97170.1	SMTH1_101820.1, SMTH1_101820.2
OG0000034	SHAE2_57280.1	SMTH1_63710.3, SMTH1_60220.1
OG0000034	SHAE2_61250.1	SMTH1_63710.5
OG0000034	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1	SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1
OG0000034	SHAE2_61270.1	SMTH1_63730.1
OG0000035	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000036	SHAE2_24910.1, SHAE2_24910.2	SMTH1_42790.1, SMTH1_87980.1, SMTH1_93900.1, SMTH1_63180.1, SMTH1_63180.2
OG0000036	SHAE2_95420.1	SMTH1_63170.1
OG0000037	SHAE2_63770.1, SHAE2_63780.1	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1
OG0000037	SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3	SMTH1_66620.1
OG0000037	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2	SMTH1_66650.1, SMTH1_66690.1
OG0000038	SHAE2_63020.1, SHAE2_50220.1	SMTH1_5930.1
OG0000038	SHAE2_59300.1	SMTH1_48020.1
OG0000038	SHAE2_10510.1, SHAE2_85910.1	SMTH1_1760.1, SMTH1_1760.2
OG0000038	SHAE2_38480.2, SHAE2_38480.3, SHAE2_38480.4	SMTH1_51860.1
OG0000040	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3
OG0000040	SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23, SHAE2_55390.1, SHAE2_55400.26	SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
OG0000042	SHAE2_42810.2, SHAE2_42810.1	SMTH1_44430.1, SMTH1_44430.2
OG0000042	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1	SMTH1_44420.1, SMTH1_44420.2
OG0000042	SHAE2_42750.1	SMTH1_44330.1
OG0000042	SHAE2_42760.2, SHAE2_42780.1	SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1
OG0000042	SHAE2_42780.2, SHAE2_42760.1	SMTH1_44390.1
OG0000042	SHAE2_42770.1	SMTH1_44410.1
OG0000043	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3	SMTH1_95180.1
OG0000044	SHAE2_91240.1, SHAE2_91240.2	SMTH1_95210.1
OG0000044	SHAE2_91250.1, SHAE2_91250.2	SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	SHAE2_12380.1	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000046	SHAE2_34200.2, SHAE2_34200.1	SMTH1_18850.1, SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4, SMTH1_47020.1, SMTH1_3530.1, SMTH1_3530.2, SMTH1_47020.2, SMTH1_47020.3
OG0000047	SHAE2_100590.1	SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5
OG0000048	SHAE2_73940.1	SMTH1_77080.1
OG0000048	SHAE2_48840.1	SMTH1_51370.1
OG0000048	SHAE2_48870.1	SMTH1_51370.2
OG0000048	SHAE2_90060.1	SMTH1_35420.1, SMTH1_35420.2
OG0000048	SHAE2_85670.1	SMTH1_91020.1, SMTH1_91020.2
OG0000048	SHAE2_100460.1, SHAE2_100460.2	SMTH1_90630.2
OG0000049	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	SMTH1_77460.1
OG0000049	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6	SMTH1_81780.1
OG0000050	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15	SMTH1_59780.1, SMTH1_59790.1
OG0000050	SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6	SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000051	SHAE2_15490.1, SHAE2_1850.1	SMTH1_104280.1, SMTH1_1210.1, SMTH1_1430.1, SMTH1_35140.1, SMTH1_560.1, SMTH1_67360.1, SMTH1_76270.1, SMTH1_80350.1, SMTH1_82740.1, SMTH1_84360.1, SMTH1_85540.1, SMTH1_86990.1
OG0000051	SHAE2_31540.1	SMTH1_51910.1, SMTH1_13450.1
OG0000051	SHAE2_66680.1	SMTH1_24220.1
OG0000051	SHAE2_51900.1	SMTH1_23080.1, SMTH1_31740.1
OG0000052	SHAE2_30940.1	SMTH1_31800.1
OG0000052	SHAE2_3770.1	SMTH1_3820.1
OG0000052	SHAE2_1260.1	SMTH1_1100.1
OG0000052	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3	SMTH1_2070.1
OG0000052	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1	SMTH1_74430.1
OG0000053	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000054	SHAE2_76560.1	SMTH1_34770.1, SMTH1_43570.1, SMTH1_44960.1, SMTH1_15020.1, SMTH1_60540.1, SMTH1_89020.1
OG0000055	SHAE2_73310.1, SHAE2_73320.1	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000056	SHAE2_50790.1	SMTH1_100750.1
