Orthogroup	schistosoma_haematobium	s.mekongi
OG0000021	SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5	KAK4475889.1
OG0000022	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29	KAK4473037.1
OG0000024	SHAE2_26160.1	KAK4473313.1
OG0000024	SHAE2_96950.1	KAK4468456.1
OG0000024	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6	KAK4471475.1
OG0000024	SHAE2_84940.1, SHAE2_84940.2	KAK4470835.1
OG0000024	SHAE2_84950.1	KAK4470057.1
OG0000026	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2	KAK4470973.1
OG0000026	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3	KAK4470239.1, KAK4470240.1
OG0000026	SHAE2_76510.1, SHAE2_76510.2	KAK4470216.1
OG0000028	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13	KAK4470768.1
OG0000029	SHAE2_61420.1	KAK4471130.1
OG0000029	SHAE2_92590.1	KAK4468717.1
OG0000029	SHAE2_22850.1	KAK4474996.1
OG0000029	SHAE2_22850.3	KAK4474996.1
OG0000029	SHAE2_93560.1	KAK4468699.1
OG0000030	SHAE2_7260.1	KAK4476063.1
OG0000031	SHAE2_21970.1	KAK4475389.1
OG0000032	SHAE2_12170.2	KAK4476285.1
OG0000032	SHAE2_61170.2, SHAE2_61170.3	KAK4476283.1, KAK4476284.1
OG0000032	SHAE2_84140.1	KAK4470045.1
OG0000033	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1
OG0000034	SHAE2_97190.1	KAK4468479.1
OG0000034	SHAE2_97180.1, SHAE2_97170.1	KAK4468478.1
OG0000034	SHAE2_57280.1, SHAE2_61250.1, SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1, SHAE2_61300.2, SHAE2_61300.1, SHAE2_61150.1, SHAE2_61160.1, SHAE2_61270.1	KAK4471028.1, KAK4471029.1
OG0000035	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3	KAK4475274.1
OG0000037	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3	KAK4471851.1
OG0000037	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2	KAK4471850.1
OG0000041	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1
OG0000042	SHAE2_42810.2, SHAE2_42810.1	KAK4472150.1
OG0000042	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1	KAK4472153.1
OG0000042	SHAE2_42750.1	KAK4473688.1
OG0000042	SHAE2_42760.2, SHAE2_42780.1, SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1	KAK4472151.1, KAK4472152.1
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3	KAK4468903.1
OG0000044	SHAE2_91220.1, SHAE2_91240.1, SHAE2_91240.2, SHAE2_91250.1, SHAE2_91250.2	KAK4468904.1
OG0000045	SHAE2_12380.1	KAK4468037.1
OG0000045	SHAE2_93110.1, SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23	KAK4470284.1
OG0000049	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	KAK4470136.1, KAK4470137.1
OG0000049	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6	KAK4470598.1
OG0000050	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6	KAK4469367.1
OG0000052	SHAE2_30940.1	KAK4472821.1
OG0000052	SHAE2_3770.1	KAK4474336.1
OG0000052	SHAE2_1260.1	KAK4474374.1
OG0000052	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3	KAK4474946.1
OG0000052	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1	KAK4471620.1
OG0000053	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10	KAK4475177.1, KAK4475178.1
OG0000055	SHAE2_73310.1, SHAE2_73320.1	KAK4471575.1, KAK4471564.1
OG0000056	SHAE2_50790.1, SHAE2_67990.1, SHAE2_28490.1, SHAE2_20020.1, SHAE2_101630.1, SHAE2_43920.1, SHAE2_38340.1, SHAE2_62250.1, SHAE2_69990.1, SHAE2_38240.1, SHAE2_86550.1, SHAE2_47250.1, SHAE2_64070.1, SHAE2_45620.1	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000058	SHAE2_95540.1	KAK4468525.1
OG0000058	SHAE2_84800.1, SHAE2_84800.2	KAK4470069.1
OG0000058	SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3, SHAE2_84760.1, SHAE2_84750.1, SHAE2_84740.1	KAK4470074.1, KAK4470072.1
OG0000060	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8	KAK4471247.1
OG0000061	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4	KAK4469486.1
OG0000062	SHAE2_6660.14, SHAE2_6660.4, SHAE2_6660.16, SHAE2_6660.19, SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13, SHAE2_6660.21, SHAE2_6660.3	KAK4475970.1
OG0000063	SHAE2_42340.3, SHAE2_42340.15, SHAE2_42340.18, SHAE2_42340.10, SHAE2_42340.12, SHAE2_42340.7, SHAE2_42340.9, SHAE2_42340.2, SHAE2_42340.8, SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19	KAK4473734.1
OG0000064	SHAE2_4750.14, SHAE2_4750.27, SHAE2_4750.8, SHAE2_4750.10, SHAE2_4750.15, SHAE2_4750.25, SHAE2_4750.26, SHAE2_4750.13, SHAE2_4750.6, SHAE2_4750.21, SHAE2_4750.11, SHAE2_4750.3, SHAE2_4750.7, SHAE2_4750.30, SHAE2_4750.12, SHAE2_4750.19, SHAE2_4750.18, SHAE2_4750.17, SHAE2_4750.9, SHAE2_4750.28, SHAE2_4750.29, SHAE2_4750.32, SHAE2_4750.23, SHAE2_4750.24, SHAE2_4750.2, SHAE2_4750.5, SHAE2_4750.31, SHAE2_4750.22, SHAE2_4750.33, SHAE2_4750.1, SHAE2_4750.4, SHAE2_4750.20, SHAE2_4750.16	KAK4475705.1
OG0000065	SHAE2_25330.1, SHAE2_25350.1, SHAE2_25340.1	KAK4473358.1
OG0000065	SHAE2_25420.3, SHAE2_25420.2, SHAE2_25420.1, SHAE2_25400.1, SHAE2_25390.2, SHAE2_25390.1, SHAE2_25390.3, SHAE2_25390.5, SHAE2_25390.4	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	SHAE2_40030.6, SHAE2_40030.14, SHAE2_40030.15, SHAE2_40030.1, SHAE2_40030.13, SHAE2_40030.5, SHAE2_40030.8, SHAE2_40030.12, SHAE2_40030.2, SHAE2_40030.9	KAK4473833.1
OG0000067	SHAE2_71830.19, SHAE2_71830.16, SHAE2_71830.6, SHAE2_71830.8, SHAE2_71830.10, SHAE2_71830.14, SHAE2_71830.15, SHAE2_71830.9, SHAE2_71830.11, SHAE2_71830.20, SHAE2_71830.13, SHAE2_71830.2, SHAE2_71830.1, SHAE2_71830.12, SHAE2_71830.17, SHAE2_71830.18, SHAE2_71830.3, SHAE2_71830.4, SHAE2_71830.7, SHAE2_71830.5	KAK4471577.1
OG0000068	SHAE2_57070.1, SHAE2_57070.2, SHAE2_57070.3	KAK4469181.1
OG0000068	SHAE2_100120.2, SHAE2_100120.1, SHAE2_100120.3	KAK4467758.1
OG0000068	SHAE2_39460.1, SHAE2_39470.1	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	SHAE2_30990.1	KAK4472801.1
OG0000069	SHAE2_22730.1	KAK4474982.1
OG0000070	SHAE2_46580.7, SHAE2_46580.1, SHAE2_46580.2, SHAE2_46580.4, SHAE2_46580.5, SHAE2_46580.3, SHAE2_46580.6	KAK4472878.1
OG0000071	SHAE2_36970.11, SHAE2_36970.2, SHAE2_36970.3, SHAE2_36970.5, SHAE2_36970.8, SHAE2_36970.9, SHAE2_36970.10, SHAE2_36970.13, SHAE2_36970.4, SHAE2_36970.6, SHAE2_36970.7, SHAE2_36970.12, SHAE2_36970.14, SHAE2_36970.1	KAK4472253.1
OG0000072	SHAE2_94930.1, SHAE2_94930.2	KAK4468648.1
OG0000073	SHAE2_58540.12, SHAE2_58540.3, SHAE2_58540.7, SHAE2_58550.10, SHAE2_58550.12, SHAE2_58550.14, SHAE2_58550.15, SHAE2_58550.7, SHAE2_58540.8, SHAE2_58550.2, SHAE2_58540.1, SHAE2_58540.2, SHAE2_58540.9, SHAE2_58550.1, SHAE2_58550.13, SHAE2_58550.16, SHAE2_58550.3, SHAE2_58550.6, SHAE2_58550.8, SHAE2_58550.4, SHAE2_58540.13, SHAE2_58540.4, SHAE2_58540.5, SHAE2_58550.11, SHAE2_58550.9, SHAE2_58540.10, SHAE2_58540.6	KAK4469816.1
OG0000074	SHAE2_1560.1	KAK4476006.1
OG0000074	SHAE2_93350.1	KAK4468714.1
OG0000074	SHAE2_13230.1	KAK4474596.1
OG0000074	SHAE2_93440.1	KAK4468705.1
OG0000075	SHAE2_36730.1, SHAE2_36730.2, SHAE2_36730.10, SHAE2_36730.12, SHAE2_36730.14, SHAE2_36730.18, SHAE2_36730.19, SHAE2_36730.20, SHAE2_36730.21, SHAE2_36730.3, SHAE2_36730.4, SHAE2_36730.5, SHAE2_36730.6, SHAE2_36730.7, SHAE2_36730.8, SHAE2_36730.9, SHAE2_36730.17, SHAE2_36730.13, SHAE2_36730.15, SHAE2_36730.16, SHAE2_36730.22, SHAE2_36730.23, SHAE2_36730.11	KAK4472282.1
OG0000076	SHAE2_4440.10, SHAE2_4440.9, SHAE2_4440.5, SHAE2_4440.2, SHAE2_4440.6, SHAE2_4440.7, SHAE2_4440.8, SHAE2_4440.1, SHAE2_4440.4, SHAE2_4440.3	KAK4467358.1, KAK4475671.1
OG0000077	SHAE2_12640.13, SHAE2_12640.12, SHAE2_12640.1, SHAE2_12640.4, SHAE2_12640.5, SHAE2_12640.14, SHAE2_12640.15, SHAE2_12640.11, SHAE2_12640.8, SHAE2_12640.2, SHAE2_12640.3, SHAE2_12640.6, SHAE2_12640.10, SHAE2_12640.9, SHAE2_12640.7	KAK4475941.1
OG0000079	SHAE2_32920.2, SHAE2_32920.1, SHAE2_32920.3	KAK4472724.1
OG0000080	SHAE2_46980.11, SHAE2_46980.13, SHAE2_46980.9, SHAE2_46980.8, SHAE2_46980.2, SHAE2_46980.4, SHAE2_46980.5, SHAE2_46980.6, SHAE2_46980.3, SHAE2_46980.7, SHAE2_46980.12, SHAE2_46980.10, SHAE2_46980.1	KAK4472503.1
OG0000081	SHAE2_75080.1, SHAE2_72480.1	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	SHAE2_12290.1	KAK4476263.1
OG0000083	SHAE2_18750.1	KAK4471026.1, KAK4474271.1
OG0000085	SHAE2_39330.4, SHAE2_39330.1, SHAE2_39330.10, SHAE2_39330.11, SHAE2_39330.12, SHAE2_39330.13, SHAE2_39330.14, SHAE2_39330.2, SHAE2_39330.3, SHAE2_39330.7, SHAE2_39330.15, SHAE2_39330.6, SHAE2_39330.8, SHAE2_39330.5, SHAE2_39330.9	KAK4474010.1
OG0000086	SHAE2_77610.2, SHAE2_77610.11, SHAE2_77610.12, SHAE2_77610.13, SHAE2_77610.8, SHAE2_77610.9, SHAE2_77610.7, SHAE2_77610.10, SHAE2_77610.4, SHAE2_77610.5, SHAE2_77610.6, SHAE2_77610.1, SHAE2_77610.3	KAK4470561.1
OG0000087	SHAE2_56190.11, SHAE2_56190.3, SHAE2_56190.6, SHAE2_56190.8, SHAE2_56190.5, SHAE2_56190.1, SHAE2_56190.7, SHAE2_56190.2, SHAE2_56190.9, SHAE2_56190.4, SHAE2_56190.10	KAK4469513.1
OG0000088	SHAE2_3590.2, SHAE2_3590.3, SHAE2_3590.1, SHAE2_3590.4	KAK4475590.1
OG0000088	SHAE2_3570.2, SHAE2_3570.5, SHAE2_3570.6, SHAE2_3570.7, SHAE2_3570.1, SHAE2_3570.3, SHAE2_3570.4	KAK4475589.1
OG0000091	SHAE2_51130.24, SHAE2_51130.18, SHAE2_51130.19, SHAE2_51130.28, SHAE2_51130.29, SHAE2_51130.12, SHAE2_51130.1, SHAE2_51130.4, SHAE2_51130.23, SHAE2_51130.21, SHAE2_51130.6, SHAE2_51130.2, SHAE2_51130.25, SHAE2_51130.26, SHAE2_51130.3, SHAE2_51130.17, SHAE2_51130.5, SHAE2_51130.13, SHAE2_51130.16, SHAE2_51130.9, SHAE2_51130.27, SHAE2_51130.11, SHAE2_51130.15, SHAE2_51130.20, SHAE2_51130.22, SHAE2_51130.8, SHAE2_51130.10, SHAE2_51130.14, SHAE2_51130.7	KAK4469611.1
OG0000092	SHAE2_2520.1, SHAE2_2520.3, SHAE2_2520.2	KAK4475365.1
OG0000092	SHAE2_14980.4, SHAE2_14980.3, SHAE2_14980.1, SHAE2_14980.2	KAK4474711.1
OG0000093	SHAE2_43060.1	KAK4473668.1
OG0000093	SHAE2_42250.1, SHAE2_42250.2	KAK4467328.1, KAK4467335.1
OG0000094	SHAE2_10350.10, SHAE2_10350.4, SHAE2_10350.5, SHAE2_10350.9, SHAE2_10350.2, SHAE2_10350.7, SHAE2_10350.14, SHAE2_10350.12, SHAE2_10350.15, SHAE2_10350.17, SHAE2_10350.13, SHAE2_10350.16, SHAE2_10350.18, SHAE2_10350.19, SHAE2_10350.20, SHAE2_10350.21, SHAE2_10350.1, SHAE2_10350.8, SHAE2_10350.3, SHAE2_10350.6, SHAE2_10350.11	KAK4475997.1
OG0000095	SHAE2_65580.5, SHAE2_65580.4, SHAE2_65580.1, SHAE2_65580.2, SHAE2_65580.3, SHAE2_65580.7, SHAE2_65580.8, SHAE2_65580.6, SHAE2_65580.9, SHAE2_65580.11, SHAE2_65580.10	KAK4471403.1, KAK4471978.1
OG0000096	SHAE2_38140.1	KAK4474123.1
OG0000097	SHAE2_7500.13, SHAE2_7500.31, SHAE2_7500.19, SHAE2_7500.6, SHAE2_7500.28, SHAE2_7500.2, SHAE2_7500.17, SHAE2_7500.21, SHAE2_7500.25, SHAE2_7500.26, SHAE2_7500.29, SHAE2_7500.3, SHAE2_7500.8, SHAE2_7500.10, SHAE2_7500.23, SHAE2_7500.5, SHAE2_7500.9, SHAE2_7500.20, SHAE2_7500.11, SHAE2_7500.4, SHAE2_7500.12, SHAE2_7500.14, SHAE2_7500.15, SHAE2_7500.16, SHAE2_7500.18, SHAE2_7500.22, SHAE2_7500.7, SHAE2_7500.1, SHAE2_7500.24, SHAE2_7500.30, SHAE2_7500.27	KAK4476042.1, KAK4476041.1
OG0000098	SHAE2_44010.1, SHAE2_44020.1, SHAE2_44010.2, SHAE2_99810.1, SHAE2_44010.3	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	SHAE2_71040.5, SHAE2_71040.4, SHAE2_71040.1, SHAE2_71040.2, SHAE2_71040.6, SHAE2_71040.7, SHAE2_71040.3	KAK4471639.1
OG0000099	SHAE2_72020.3, SHAE2_72020.2, SHAE2_72020.1, SHAE2_72020.4, SHAE2_72020.5	KAK4471562.1
OG0000099	SHAE2_76260.1	KAK4470190.1
OG0000102	SHAE2_6460.2, SHAE2_6460.3	KAK4475905.1
OG0000102	SHAE2_62580.6, SHAE2_62580.7, SHAE2_62580.2, SHAE2_62580.1, SHAE2_62580.4, SHAE2_62580.3, SHAE2_62580.5	KAK4472110.1
OG0000103	SHAE2_78650.3, SHAE2_78650.4, SHAE2_78650.6, SHAE2_78650.1, SHAE2_78650.2, SHAE2_78650.5, SHAE2_78650.7	KAK4470657.1
OG0000104	SHAE2_6650.1, SHAE2_6650.15, SHAE2_6650.4, SHAE2_6650.7, SHAE2_6650.11, SHAE2_6650.14, SHAE2_6650.5, SHAE2_6650.9, SHAE2_6650.8, SHAE2_6650.17, SHAE2_6650.13, SHAE2_6650.16, SHAE2_6650.2, SHAE2_6650.3, SHAE2_6650.10, SHAE2_6650.12, SHAE2_6650.6	KAK4475921.1
OG0000105	SHAE2_8290.24, SHAE2_8290.25, SHAE2_8290.17, SHAE2_8290.22, SHAE2_8290.18, SHAE2_8290.21, SHAE2_8290.10, SHAE2_8290.12, SHAE2_8290.20, SHAE2_8290.23, SHAE2_8290.13, SHAE2_8290.11, SHAE2_8290.15, SHAE2_8290.1, SHAE2_8290.4, SHAE2_8290.5, SHAE2_8290.6, SHAE2_8290.7, SHAE2_8290.16, SHAE2_8290.19, SHAE2_8290.2, SHAE2_8290.3, SHAE2_8290.14, SHAE2_8290.9, SHAE2_8290.8	KAK4474244.1
OG0000106	SHAE2_78050.1, SHAE2_78050.2	KAK4470606.1, KAK4467455.1
OG0000107	SHAE2_54350.1	KAK4468968.1
OG0000108	SHAE2_10210.8, SHAE2_10210.10, SHAE2_10210.4, SHAE2_10210.3, SHAE2_10210.5, SHAE2_10210.11, SHAE2_10210.13, SHAE2_10210.14, SHAE2_10210.15, SHAE2_10210.16, SHAE2_10210.17, SHAE2_10210.2, SHAE2_10210.9, SHAE2_10210.1, SHAE2_10210.12, SHAE2_10210.7, SHAE2_10210.6	KAK4475981.1
OG0000110	SHAE2_32170.1	KAK4472451.1
OG0000110	SHAE2_32120.2, SHAE2_32120.1	KAK4472446.1
OG0000110	SHAE2_32180.2, SHAE2_32180.1	KAK4472452.1
OG0000110	SHAE2_32190.2, SHAE2_32190.1	KAK4472453.1
OG0000111	SHAE2_44090.1	KAK4473064.1
OG0000111	SHAE2_55270.1	KAK4469719.1
OG0000111	SHAE2_33520.1, SHAE2_33520.2	KAK4472666.1
