Orthogroup	schistosoma_haematobium	schistosoma_curassoni
OG0000003	SHAE2_64480.3, SHAE2_70960.1, SHAE2_70960.2	SCUR1_27100.4, SCUR1_27030.1, SCUR1_27030.2, SCUR1_27030.4, SCUR1_27030.5, SCUR1_95570.1, SCUR1_95570.2, SCUR1_78040.1, SCUR1_78040.3
OG0000003	SHAE2_70960.3, SHAE2_70960.4	SCUR1_27030.3, SCUR1_95570.3, SCUR1_78040.2
OG0000003	SHAE2_64480.5	SCUR1_90510.6, SCUR1_31360.1, SCUR1_31360.10, SCUR1_31360.11, SCUR1_31360.4, SCUR1_31360.5, SCUR1_31360.3
OG0000003	SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3	SCUR1_27100.2, SCUR1_27100.3
OG0000003	SHAE2_24270.7, SHAE2_91290.1	SCUR1_72910.1, SCUR1_72910.2, SCUR1_72910.4, SCUR1_1980.5
OG0000003	SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5	SCUR1_90510.1, SCUR1_31360.2, SCUR1_99400.1, SCUR1_25610.1, SCUR1_99400.2
OG0000003	SHAE2_18320.1, SHAE2_18320.2	SCUR1_74580.1
OG0000003	SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5	SCUR1_22950.8
OG0000004	SHAE2_18830.1	SCUR1_25190.5, SCUR1_25190.4, SCUR1_25190.1, SCUR1_25190.3, SCUR1_25190.2, SCUR1_26740.2, SCUR1_26740.3, SCUR1_26740.1
OG0000004	SHAE2_54750.1, SHAE2_54750.2	SCUR1_25690.1
OG0000004	SHAE2_97970.1	SCUR1_9850.1
OG0000004	SHAE2_46350.1	SCUR1_68350.1
OG0000004	SHAE2_63000.1	SCUR1_20530.1
OG0000004	SHAE2_29060.1	SCUR1_69130.1, SCUR1_18300.1
OG0000004	SHAE2_54530.1	SCUR1_22250.1
OG0000004	SHAE2_56950.1	SCUR1_53750.1
OG0000004	SHAE2_85020.1	SCUR1_89610.1
OG0000004	SHAE2_102090.1, SHAE2_60460.1	SCUR1_63070.1, SCUR1_59610.1
OG0000004	SHAE2_15780.1	SCUR1_76340.1
OG0000004	SHAE2_93840.1	SCUR1_42680.1, SCUR1_27450.1, SCUR1_72320.1
OG0000004	SHAE2_24480.1	SCUR1_48190.1
OG0000004	SHAE2_70400.1, SHAE2_92480.1	SCUR1_42900.1
OG0000004	SHAE2_58190.1, SHAE2_62890.1	SCUR1_62660.1
OG0000004	SHAE2_36590.1, SHAE2_70430.1	SCUR1_89260.1
OG0000004	SHAE2_44870.1	SCUR1_18250.1, SCUR1_71730.1
OG0000004	SHAE2_54840.1	SCUR1_34200.1
OG0000004	SHAE2_50380.1, SHAE2_50920.1	SCUR1_89390.1
OG0000004	SHAE2_20290.1	SCUR1_74990.1
OG0000004	SHAE2_47490.1	SCUR1_3140.1, SCUR1_75270.1
OG0000005	SHAE2_98210.1, SHAE2_98210.2, SHAE2_6770.1, SHAE2_6780.1	SCUR1_77060.1, SCUR1_90810.1, SCUR1_90810.2
OG0000005	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1	SCUR1_57140.1
OG0000005	SHAE2_55620.1	SCUR1_36670.1, SCUR1_57280.1
OG0000005	SHAE2_67630.1	SCUR1_58770.1
OG0000005	SHAE2_23190.1	SCUR1_43030.1, SCUR1_39690.1, SCUR1_76910.1
OG0000005	SHAE2_29330.1	SCUR1_93510.1
OG0000005	SHAE2_71560.1	SCUR1_32030.1
OG0000005	SHAE2_3410.1	SCUR1_13830.1
OG0000006	SHAE2_55900.1	SCUR1_64410.1, SCUR1_47060.1
OG0000006	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	SCUR1_99930.1, SCUR1_69570.1
OG0000006	SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1, SHAE2_63560.1, SHAE2_50040.1	SCUR1_29880.1, SCUR1_770.1
OG0000006	SHAE2_64180.1	SCUR1_86810.1
OG0000006	SHAE2_49370.1	SCUR1_32370.1, SCUR1_63120.1
OG0000006	SHAE2_40510.1, SHAE2_9980.1	SCUR1_10110.1
OG0000006	SHAE2_77110.1	SCUR1_2540.1
OG0000006	SHAE2_13460.1, SHAE2_98580.1, SHAE2_3600.1, SHAE2_48770.1, SHAE2_96550.1, SHAE2_15810.1, SHAE2_2730.1, SHAE2_2730.3, SHAE2_75170.1, SHAE2_72530.1, SHAE2_54980.1, SHAE2_97000.1, SHAE2_79020.1, SHAE2_81870.1, SHAE2_77820.1, SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4, SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1	SCUR1_2450.1
OG0000008	SHAE2_83090.1	SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1, SCUR1_37630.1, SCUR1_37100.1, SCUR1_5320.1, SCUR1_41520.1, SCUR1_5950.1, SCUR1_43610.1, SCUR1_43390.1, SCUR1_8410.1
OG0000008	SHAE2_39280.1	SCUR1_15000.1, SCUR1_32700.1
OG0000008	SHAE2_50850.1	SCUR1_74150.1
OG0000008	SHAE2_93370.1	SCUR1_5300.1
OG0000009	SHAE2_24900.1	SCUR1_70190.1
OG0000009	SHAE2_31360.1	SCUR1_68060.1
OG0000009	SHAE2_41140.1	SCUR1_40170.1
OG0000009	SHAE2_74440.1	SCUR1_48290.1
OG0000009	SHAE2_16450.1	SCUR1_75850.1
OG0000009	SHAE2_79100.1	SCUR1_19860.1, SCUR1_47600.1
OG0000010	SHAE2_29320.1	SCUR1_83150.1
OG0000010	SHAE2_69040.1	SCUR1_72730.1
OG0000010	SHAE2_77120.1, SHAE2_69030.1	SCUR1_15090.1, SCUR1_71930.1, SCUR1_13640.1
OG0000010	SHAE2_93000.1, SHAE2_93000.2	SCUR1_96950.1, SCUR1_74300.1
OG0000010	SHAE2_15450.1	SCUR1_1350.1
OG0000012	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45
OG0000014	SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26	SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26
OG0000015	SHAE2_41150.1	SCUR1_38440.1
OG0000015	SHAE2_70060.1	SCUR1_65580.1
OG0000015	SHAE2_70070.1	SCUR1_65590.1
OG0000015	SHAE2_70070.1	SCUR1_65590.2
OG0000015	SHAE2_41370.1	SCUR1_38610.1
OG0000015	SHAE2_41380.1	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3
OG0000015	SHAE2_41400.2	SCUR1_38640.1
OG0000015	SHAE2_46430.1	SCUR1_43740.1
OG0000015	SHAE2_46480.1	SCUR1_43800.1
OG0000015	SHAE2_45590.1	SCUR1_42920.1
OG0000015	SHAE2_45600.1	SCUR1_42930.1
OG0000015	SHAE2_45610.1	SCUR1_42940.1
OG0000015	SHAE2_45640.1	SCUR1_42960.2
OG0000016	SHAE2_91170.1, SHAE2_22460.1	SCUR1_1010.1
OG0000016	SHAE2_67860.1	SCUR1_34730.1
OG0000016	SHAE2_38480.1	SCUR1_80910.1, SCUR1_80910.2, SCUR1_80910.3
OG0000018	SHAE2_20330.3	SCUR1_80280.1, SCUR1_80280.3
OG0000018	SHAE2_62230.1, SHAE2_62230.2	SCUR1_42320.1
OG0000019	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2
OG0000019	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000021	SHAE2_10160.1	SCUR1_8230.1
OG0000021	SHAE2_6350.1	SCUR1_5850.1
OG0000021	SHAE2_6360.1	SCUR1_5860.1
OG0000021	SHAE2_6310.2	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3
OG0000021	SHAE2_6310.1	SCUR1_5820.4
OG0000021	SHAE2_6320.1	SCUR1_5830.1
OG0000021	SHAE2_6330.1, SHAE2_6330.2	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3
OG0000021	SHAE2_6290.2	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2
OG0000021	SHAE2_6290.4	SCUR1_5810.1
OG0000022	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
OG0000023	SHAE2_26100.1	SCUR1_83970.1
OG0000024	SHAE2_26160.1	SCUR1_23660.1
OG0000024	SHAE2_96950.1	SCUR1_90210.1
OG0000024	SHAE2_68430.6	SCUR1_64030.1
OG0000024	SHAE2_84940.1, SHAE2_84940.2	SCUR1_79670.1
OG0000024	SHAE2_84950.1	SCUR1_79660.1
OG0000026	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2	SCUR1_79090.1
OG0000026	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3	SCUR1_71450.1
OG0000026	SHAE2_76510.1, SHAE2_76510.2	SCUR1_71400.3
OG0000028	SHAE2_74920.6, SHAE2_74920.7	SCUR1_69820.2
OG0000028	SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13	SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5
OG0000029	SHAE2_61420.1	SCUR1_99660.1
OG0000029	SHAE2_92590.1	SCUR1_86440.1
OG0000029	SHAE2_22850.1	SCUR1_20790.1
OG0000029	SHAE2_22850.3	SCUR1_20790.1
OG0000029	SHAE2_93560.1	SCUR1_86960.1
OG0000029	SHAE2_93550.1	SCUR1_86950.1
OG0000030	SHAE2_7260.1	SCUR1_6670.1
OG0000031	SHAE2_21970.1	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12
OG0000032	SHAE2_12170.2	SCUR1_10300.1
OG0000032	SHAE2_12170.3	SCUR1_10310.1
OG0000032	SHAE2_61170.2, SHAE2_61170.3	SCUR1_57440.2
OG0000032	SHAE2_61170.1	SCUR1_57440.1
OG0000032	SHAE2_61170.4	SCUR1_57440.1
OG0000032	SHAE2_84140.1	SCUR1_79130.2
OG0000032	SHAE2_84140.1	SCUR1_79130.3
OG0000033	SHAE2_93320.1	SCUR1_37110.1
OG0000034	SHAE2_97190.1	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3
OG0000034	SHAE2_97180.1	SCUR1_90440.1
OG0000034	SHAE2_97170.1	SCUR1_90430.1
OG0000034	SHAE2_57280.1, SHAE2_61250.1	SCUR1_57480.1, SCUR1_57500.1
OG0000034	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1	SCUR1_57520.1, SCUR1_95610.1
OG0000034	SHAE2_61300.2, SHAE2_61300.1	SCUR1_57550.1
OG0000034	SHAE2_61150.1	SCUR1_57380.1
OG0000034	SHAE2_61160.1	SCUR1_95620.1
OG0000034	SHAE2_61270.1	SCUR1_57530.1
OG0000035	SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3	SCUR1_14970.1
OG0000036	SHAE2_24910.1, SHAE2_24910.2	SCUR1_5010.1, SCUR1_5010.2, SCUR1_38900.1, SCUR1_51740.1
OG0000036	SHAE2_95420.1	SCUR1_10350.1
OG0000037	SHAE2_63770.1, SHAE2_63780.1	SCUR1_59650.1
OG0000037	SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3	SCUR1_59730.1
OG0000038	SHAE2_63020.1, SHAE2_50220.1	SCUR1_5050.1
OG0000038	SHAE2_59300.1	SCUR1_12660.1, SCUR1_95150.1
OG0000038	SHAE2_44390.1	SCUR1_41660.1
OG0000038	SHAE2_12870.1, SHAE2_14240.1, SHAE2_83230.1	SCUR1_5740.1, SCUR1_26730.1, SCUR1_2400.1
OG0000040	SHAE2_55400.14, SHAE2_55400.19	SCUR1_52110.3
OG0000040	SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15	SCUR1_52110.25, SCUR1_52110.29
OG0000040	SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23	SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21
OG0000040	SHAE2_55390.1, SHAE2_55400.26	SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28
OG0000042	SHAE2_42810.2, SHAE2_42810.1	SCUR1_40080.1
OG0000042	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1	SCUR1_40070.1
OG0000042	SHAE2_42750.1	SCUR1_40040.1
OG0000042	SHAE2_42760.2, SHAE2_42780.1	SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1
OG0000042	SHAE2_42780.2, SHAE2_42760.1	SCUR1_40050.2
OG0000043	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3	SCUR1_84700.1
OG0000044	SHAE2_91220.1	SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1
OG0000044	SHAE2_91240.1, SHAE2_91240.2	SCUR1_98900.2
OG0000044	SHAE2_91250.1, SHAE2_91250.2	SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1
OG0000045	SHAE2_12380.1	SCUR1_10540.5
OG0000045	SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19	SCUR1_36550.6, SCUR1_36550.11, SCUR1_36550.12, SCUR1_36550.13, SCUR1_36550.14, SCUR1_36550.15, SCUR1_36550.7, SCUR1_36550.8, SCUR1_36550.3
OG0000045	SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23	SCUR1_36550.2, SCUR1_36550.4
OG0000046	SHAE2_53980.1	SCUR1_29330.2, SCUR1_29330.3, SCUR1_29330.4, SCUR1_29330.5, SCUR1_29330.6
OG0000046	SHAE2_34200.2, SHAE2_34200.1	SCUR1_28260.1, SCUR1_28260.2, SCUR1_28260.3
OG0000047	SHAE2_100590.1	SCUR1_67810.3, SCUR1_67810.1, SCUR1_67810.2, SCUR1_52540.5, SCUR1_52540.8, SCUR1_52540.9, SCUR1_14640.4, SCUR1_14640.5, SCUR1_74340.2, SCUR1_74340.3, SCUR1_31390.4, SCUR1_31390.6, SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5, SCUR1_52540.2, SCUR1_52540.6, SCUR1_14640.1, SCUR1_74340.5, SCUR1_14640.2, SCUR1_14640.3, SCUR1_74340.1, SCUR1_74340.4, SCUR1_52540.4, SCUR1_52540.1, SCUR1_52540.3, SCUR1_52540.7
OG0000047	SHAE2_59000.1	SCUR1_77670.1
OG0000048	SHAE2_48820.1, SHAE2_73940.1, SHAE2_48850.1, SHAE2_48840.1, SHAE2_48870.1	SCUR1_98110.1
OG0000048	SHAE2_48860.1	SCUR1_99900.1, SCUR1_96830.1, SCUR1_96830.2
OG0000048	SHAE2_90060.1	SCUR1_99330.1, SCUR1_99330.2, SCUR1_99780.1
OG0000049	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3
OG0000049	SHAE2_77960.1, SHAE2_77960.7	SCUR1_72710.1
OG0000049	SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3	SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3
OG0000049	SHAE2_77960.6	SCUR1_72710.5, SCUR1_72710.4
OG0000050	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3
OG0000050	SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6	SCUR1_53710.1
OG0000051	SHAE2_15490.1, SHAE2_1850.1	SCUR1_10090.1
OG0000051	SHAE2_31540.1	SCUR1_27940.1
OG0000051	SHAE2_51900.1	SCUR1_26350.1, SCUR1_2500.1, SCUR1_54660.1, SCUR1_56870.1
OG0000052	SHAE2_30940.1	SCUR1_28750.1
