Orthogroup	schistosoma_curassoni	schistosoma_intercalatum
OG0000009	SCUR1_51510.1	SINT1_51070.1
OG0000009	SCUR1_68060.1, SCUR1_40170.1, SCUR1_48290.1	SINT1_36860.1
OG0000009	SCUR1_25210.1	SINT1_55890.1
OG0000010	SCUR1_83150.1	SINT1_4710.1, SINT1_4710.2, SINT1_74240.1
OG0000010	SCUR1_72730.1	SINT1_9600.1
OG0000010	SCUR1_15090.1, SCUR1_71930.1, SCUR1_13640.1	SINT1_19890.2, SINT1_19890.1, SINT1_72940.1, SINT1_20380.1, SINT1_86690.1, SINT1_47300.1, SINT1_58650.1
OG0000010	SCUR1_55030.1	SINT1_41230.1, SINT1_51180.1
OG0000010	SCUR1_96950.1, SCUR1_74300.1	SINT1_16810.1
OG0000010	SCUR1_53870.1	SINT1_7650.1
OG0000010	SCUR1_1350.1	SINT1_9310.1, SINT1_54220.1
OG0000012	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45	SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20
OG0000014	SCUR1_38430.10	SINT1_38280.2
OG0000014	SCUR1_38430.10	SINT1_38280.22
OG0000014	SCUR1_38430.29	SINT1_38280.2
OG0000014	SCUR1_38430.29	SINT1_38280.22
OG0000014	SCUR1_38430.30	SINT1_38280.2
OG0000014	SCUR1_38430.30	SINT1_38280.22
OG0000014	SCUR1_38430.32	SINT1_38280.2
OG0000014	SCUR1_38430.32	SINT1_38280.22
OG0000014	SCUR1_38430.33	SINT1_38280.2
OG0000014	SCUR1_38430.33	SINT1_38280.22
OG0000014	SCUR1_38430.5	SINT1_38280.2
OG0000014	SCUR1_38430.5	SINT1_38280.22
OG0000014	SCUR1_38430.7	SINT1_38280.2
OG0000014	SCUR1_38430.7	SINT1_38280.22
OG0000014	SCUR1_38430.20	SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20
OG0000014	SCUR1_38430.24	SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20
OG0000014	SCUR1_38430.25	SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20
OG0000014	SCUR1_38430.26	SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20
OG0000014	SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14	SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7
OG0000015	SCUR1_38440.1	SINT1_38300.1
OG0000015	SCUR1_65580.1	SINT1_65310.1
OG0000015	SCUR1_65590.1	SINT1_65320.1
OG0000015	SCUR1_65590.2	SINT1_65320.1
OG0000015	SCUR1_38610.1	SINT1_38460.1
OG0000015	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3	SINT1_38470.1
OG0000015	SCUR1_38620.4	SINT1_38470.2
OG0000015	SCUR1_43740.1	SINT1_43600.1
OG0000015	SCUR1_43800.1	SINT1_43670.1
OG0000015	SCUR1_42920.1	SINT1_42740.3, SINT1_42740.4
OG0000015	SCUR1_42960.1	SINT1_42760.1
OG0000015	SCUR1_42910.1	SINT1_42740.1, SINT1_42740.2
OG0000015	SCUR1_42960.2	SINT1_42780.1
OG0000016	SCUR1_1010.1	SINT1_37800.1
OG0000016	SCUR1_34730.1	SINT1_19510.1, SINT1_34270.1, SINT1_26200.1, SINT1_39950.1
OG0000016	SCUR1_12900.1, SCUR1_62840.1	SINT1_89500.1
OG0000016	SCUR1_57510.1, SCUR1_57490.1	SINT1_43570.1
OG0000016	SCUR1_80910.1, SCUR1_80910.2, SCUR1_80910.3	SINT1_35360.1
OG0000018	SCUR1_80280.1, SCUR1_80280.3	SINT1_22160.8, SINT1_22160.9, SINT1_96520.1, SINT1_96520.3, SINT1_67830.1, SINT1_67830.6
OG0000018	SCUR1_80280.5, SCUR1_80280.4, SCUR1_80270.1, SCUR1_80280.2	SINT1_96520.2, SINT1_63310.1, SINT1_22160.7, SINT1_22160.13, SINT1_22160.4, SINT1_22160.5, SINT1_22160.1, SINT1_22160.10, SINT1_22160.11, SINT1_22160.12, SINT1_22160.2, SINT1_22160.3, SINT1_22160.6
OG0000019	SCUR1_36850.7	SINT1_36670.10
OG0000019	SCUR1_36850.9	SINT1_36670.2
OG0000019	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4	SINT1_36670.11
OG0000021	SCUR1_8230.1	SINT1_8390.1
OG0000021	SCUR1_5850.1	SINT1_5840.1, SINT1_5850.1
OG0000021	SCUR1_5860.2, SCUR1_5860.5	SINT1_5860.1
OG0000021	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3	SINT1_5810.2
OG0000021	SCUR1_5820.4	SINT1_5810.1
OG0000021	SCUR1_5830.1	SINT1_5820.1
OG0000021	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3	SINT1_5830.1
OG0000021	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2	SINT1_5790.2, SINT1_5790.1
OG0000022	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30
OG0000023	SCUR1_83970.1	SINT1_96140.1
OG0000024	SCUR1_23660.1	SINT1_23830.1
OG0000024	SCUR1_90210.1	SINT1_90000.1
OG0000024	SCUR1_79670.1	SINT1_79070.1, SINT1_79070.2
OG0000024	SCUR1_79660.1	SINT1_79060.1
OG0000026	SCUR1_79090.1	SINT1_78530.1, SINT1_78530.2
OG0000026	SCUR1_71450.1	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2
OG0000026	SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5	SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1
OG0000028	SCUR1_69820.2	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5
OG0000028	SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5	SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14
OG0000029	SCUR1_99660.1	SINT1_57320.1
OG0000029	SCUR1_86440.1	SINT1_85860.1
OG0000029	SCUR1_20790.1	SINT1_20550.1
OG0000029	SCUR1_20790.1	SINT1_20550.2
OG0000029	SCUR1_20790.1	SINT1_20550.3
OG0000030	SCUR1_6670.1	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40
OG0000031	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3
OG0000032	SCUR1_10300.1	SINT1_10460.1
OG0000032	SCUR1_10320.1	SINT1_10480.1
OG0000032	SCUR1_10310.1	SINT1_10470.1
OG0000032	SCUR1_57440.1	SINT1_57170.1
OG0000032	SCUR1_9500.1	SINT1_9690.1
OG0000032	SCUR1_79130.2	SINT1_78580.1
OG0000032	SCUR1_79130.2	SINT1_78580.2
OG0000032	SCUR1_79130.3	SINT1_78580.1
OG0000032	SCUR1_79130.3	SINT1_78580.2
OG0000033	SCUR1_10560.1, SCUR1_31920.1	SINT1_28240.1, SINT1_17560.1
OG0000033	SCUR1_3270.1, SCUR1_93810.1	SINT1_40580.1
OG0000034	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3	SINT1_90240.1, SINT1_90240.2
OG0000034	SCUR1_90440.1	SINT1_90230.1
OG0000034	SCUR1_90430.1	SINT1_90220.1
OG0000034	SCUR1_57480.1, SCUR1_57500.1	SINT1_57200.1
OG0000034	SCUR1_57520.1, SCUR1_95610.1	SINT1_57110.1, SINT1_57210.1
OG0000034	SCUR1_57550.1	SINT1_57250.1
OG0000034	SCUR1_95620.1	SINT1_57100.1
OG0000034	SCUR1_57530.1	SINT1_57220.1
OG0000036	SCUR1_5010.1, SCUR1_5010.2	SINT1_32000.1
OG0000036	SCUR1_38900.1, SCUR1_51740.1	SINT1_37350.1
OG0000036	SCUR1_10350.1	SINT1_75760.1, SINT1_75760.2
OG0000037	SCUR1_59650.1	SINT1_95680.1, SINT1_95220.1
OG0000037	SCUR1_59730.1	SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1
OG0000037	SCUR1_59780.2	SINT1_59650.1
OG0000038	SCUR1_50900.1	SINT1_56370.1
OG0000038	SCUR1_5050.1	SINT1_40590.1, SINT1_5670.1
OG0000038	SCUR1_5740.1, SCUR1_26730.1, SCUR1_2400.1	SINT1_74240.2, SINT1_82700.1
OG0000038	SCUR1_99440.1	SINT1_76010.1
OG0000040	SCUR1_52110.3	SINT1_52070.3
OG0000040	SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21	SINT1_52070.7, SINT1_52070.6
OG0000040	SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28	SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1
OG0000042	SCUR1_40080.1	SINT1_39890.1
OG0000042	SCUR1_40070.1	SINT1_39880.1
OG0000042	SCUR1_40040.1	SINT1_39840.1
OG0000042	SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1	SINT1_39850.1, SINT1_39860.1
OG0000043	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8
OG0000044	SCUR1_84690.1	SINT1_84450.1
OG0000044	SCUR1_84700.1	SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8
OG0000044	SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1	SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1
OG0000044	SCUR1_98900.2	SINT1_84530.1
OG0000044	SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1	SINT1_84540.1
OG0000045	SCUR1_10540.1, SCUR1_10540.3, SCUR1_10540.4, SCUR1_10540.5, SCUR1_10540.2, SCUR1_10540.6	SINT1_10700.1
OG0000045	SCUR1_36550.1, SCUR1_36550.5, SCUR1_36550.10, SCUR1_36550.16, SCUR1_36550.9, SCUR1_36550.6, SCUR1_36550.11, SCUR1_36550.12, SCUR1_36550.13, SCUR1_36550.14, SCUR1_36550.15, SCUR1_36550.7, SCUR1_36550.8, SCUR1_36550.3, SCUR1_36550.2, SCUR1_36550.4	SINT1_36390.1
OG0000046	SCUR1_29330.2, SCUR1_29330.3, SCUR1_29330.4, SCUR1_29330.5, SCUR1_29330.6, SCUR1_28260.1, SCUR1_28260.2, SCUR1_28260.3	SINT1_91720.1
OG0000047	SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5	SINT1_21890.1
OG0000048	SCUR1_100.1, SCUR1_110.1	SINT1_94890.1, SINT1_94900.1
OG0000048	SCUR1_98110.1	SINT1_46050.1
OG0000049	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3	SINT1_69090.5, SINT1_69090.1, SINT1_69090.4
OG0000049	SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3	SINT1_72570.1
OG0000050	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3	SINT1_53550.1
OG0000050	SCUR1_53710.1	SINT1_53580.1
OG0000051	SCUR1_27940.1	SINT1_79040.1, SINT1_4210.1, SINT1_4220.1
OG0000051	SCUR1_54100.1, SCUR1_91640.1, SCUR1_60130.1, SCUR1_99320.1, SCUR1_81330.1	SINT1_64520.1
OG0000051	SCUR1_25720.1, SCUR1_95950.1, SCUR1_30050.1, SCUR1_26350.1, SCUR1_2500.1, SCUR1_54660.1, SCUR1_56870.1	SINT1_79470.1
OG0000051	SCUR1_94550.1	SINT1_28320.1
OG0000052	SCUR1_28750.1	SINT1_28750.1
OG0000052	SCUR1_3190.1	SINT1_3180.1
OG0000052	SCUR1_96920.1, SCUR1_96910.1, SCUR1_100150.1, SCUR1_850.2, SCUR1_850.1, SCUR1_100150.2	SINT1_900.1
OG0000052	SCUR1_2360.1, SCUR1_2360.2	SINT1_1600.1
OG0000052	SCUR1_66590.1	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3
OG0000053	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4
OG0000053	SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15	SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13
OG0000054	SCUR1_45490.1	SINT1_86400.1
OG0000055	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4, SCUR1_68200.23, SCUR1_68200.14, SCUR1_68200.17, SCUR1_68200.13, SCUR1_68200.7, SCUR1_68200.12, SCUR1_68200.16, SCUR1_68210.1, SCUR1_68210.3, SCUR1_68210.7, SCUR1_68210.5, SCUR1_68210.6, SCUR1_68210.2, SCUR1_68210.4	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7
OG0000056	SCUR1_17500.1	SINT1_52370.1
OG0000056	SCUR1_83800.1	SINT1_8800.1, SINT1_4560.1
OG0000056	SCUR1_75460.1	SINT1_2560.1
OG0000057	SCUR1_26010.1, SCUR1_51810.1, SCUR1_11890.1, SCUR1_14200.1, SCUR1_11370.1, SCUR1_62950.1, SCUR1_95710.1	SINT1_2990.1
OG0000058	SCUR1_88860.1	SINT1_88570.1
OG0000058	SCUR1_79800.1	SINT1_79220.1
OG0000058	SCUR1_79810.1	SINT1_79230.1
OG0000058	SCUR1_79840.7, SCUR1_79840.3, SCUR1_79840.4	SINT1_79260.1
OG0000058	SCUR1_79840.1, SCUR1_79840.5	SINT1_79280.1, SINT1_79280.2
OG0000060	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6	SINT1_64930.1
OG0000061	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17, SCUR1_52590.9, SCUR1_52590.8, SCUR1_52590.1, SCUR1_52590.3, SCUR1_52590.4, SCUR1_52590.2, SCUR1_52590.5, SCUR1_52590.6	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5
OG0000062	SCUR1_6120.7, SCUR1_6120.9, SCUR1_6120.5, SCUR1_6120.1, SCUR1_6120.6	SINT1_6140.1
OG0000063	SCUR1_39570.3	SINT1_39400.9, SINT1_39400.8
