Orthogroup	schistosoma_curassoni	schistosoma_mattheei
OG0000002	SCUR1_10130.1	SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1, SMTH1_63260.1, SMTH1_63260.2
OG0000002	SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4	SMTH1_107240.1
OG0000002	SCUR1_44420.1	SMTH1_21370.1, SMTH1_61890.1, SMTH1_61890.3
OG0000003	SCUR1_72910.3, SCUR1_27100.5	SMTH1_51780.8
OG0000003	SCUR1_62060.1, SCUR1_81440.5	SMTH1_51780.9
OG0000003	SCUR1_90510.6, SCUR1_31360.1, SCUR1_31360.10, SCUR1_31360.11, SCUR1_31360.4, SCUR1_31360.5, SCUR1_31360.3	SMTH1_51780.1, SMTH1_51780.3
OG0000003	SCUR1_90510.1, SCUR1_31360.2, SCUR1_99400.1, SCUR1_25610.1, SCUR1_99400.2	SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4
OG0000003	SCUR1_22950.8	SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3
OG0000004	SCUR1_68350.1	SMTH1_53750.1
OG0000004	SCUR1_69130.1	SMTH1_42190.1
OG0000004	SCUR1_18300.1	SMTH1_64920.1
OG0000004	SCUR1_22250.1	SMTH1_40470.1
OG0000004	SCUR1_89610.1, SCUR1_63070.1, SCUR1_59610.1	SMTH1_6510.1
OG0000004	SCUR1_31840.1, SCUR1_16900.1	SMTH1_48810.1
OG0000004	SCUR1_18250.1, SCUR1_71730.1	SMTH1_20460.1
OG0000004	SCUR1_89390.1	SMTH1_33620.1
OG0000004	SCUR1_59990.1	SMTH1_107180.1
OG0000004	SCUR1_89510.1	SMTH1_26730.1
OG0000004	SCUR1_81390.1	SMTH1_37300.1
OG0000005	SCUR1_77060.1, SCUR1_90810.1, SCUR1_90810.2	SMTH1_95090.1, SMTH1_95090.2, SMTH1_95090.3, SMTH1_95100.1
OG0000005	SCUR1_57140.1	SMTH1_51080.1
OG0000005	SCUR1_36670.1, SCUR1_57280.1	SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1
OG0000005	SCUR1_93510.1	SMTH1_77180.1
OG0000006	SCUR1_64410.1, SCUR1_47060.1	SMTH1_68820.1
OG0000006	SCUR1_99930.1, SCUR1_69570.1	SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1
OG0000006	SCUR1_81700.1, SCUR1_36840.1, SCUR1_89870.1, SCUR1_93140.1	SMTH1_17810.1, SMTH1_103690.1
OG0000006	SCUR1_29880.1, SCUR1_770.1	SMTH1_7160.1, SMTH1_64450.1
OG0000006	SCUR1_86810.1	SMTH1_70030.1
OG0000006	SCUR1_32370.1, SCUR1_63120.1	SMTH1_25140.1
OG0000006	SCUR1_91530.1	SMTH1_35950.1, SMTH1_55240.1
OG0000006	SCUR1_2540.1	SMTH1_12120.1
OG0000006	SCUR1_8080.1	SMTH1_99630.1, SMTH1_99640.1, SMTH1_66410.1, SMTH1_101460.1, SMTH1_107420.1, SMTH1_65110.1
OG0000006	SCUR1_2450.1	SMTH1_89700.1, SMTH1_48470.1, SMTH1_107410.1, SMTH1_107410.2, SMTH1_107410.3, SMTH1_78360.1
OG0000008	SCUR1_5950.1	SMTH1_29710.1
OG0000008	SCUR1_41850.1	SMTH1_3310.1
OG0000009	SCUR1_23720.1, SCUR1_80140.1, SCUR1_21410.1, SCUR1_21410.2	SMTH1_78800.1
OG0000009	SCUR1_46810.1	SMTH1_70120.1
OG0000009	SCUR1_40170.1	SMTH1_89240.1, SMTH1_89240.2
OG0000009	SCUR1_75850.1	SMTH1_46830.1
OG0000009	SCUR1_19860.1	SMTH1_88010.1, SMTH1_1660.1, SMTH1_1660.2, SMTH1_39030.1, SMTH1_56000.1
OG0000009	SCUR1_47600.1	SMTH1_50280.1, SMTH1_74320.1, SMTH1_21220.1, SMTH1_21220.2, SMTH1_87760.1
OG0000010	SCUR1_72730.1	SMTH1_55810.1
OG0000010	SCUR1_1350.1	SMTH1_102050.1
OG0000012	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45	SMTH1_45260.1
OG0000014	SCUR1_38430.10	SMTH1_42310.7
OG0000014	SCUR1_38430.29	SMTH1_42310.7
OG0000014	SCUR1_38430.30	SMTH1_42310.7
OG0000014	SCUR1_38430.32	SMTH1_42310.7
OG0000014	SCUR1_38430.33	SMTH1_42310.7
OG0000014	SCUR1_38430.5	SMTH1_42310.7
OG0000014	SCUR1_38430.7	SMTH1_42310.7
OG0000014	SCUR1_38430.28	SMTH1_42310.19
OG0000014	SCUR1_38430.28	SMTH1_42310.4
OG0000014	SCUR1_38430.28	SMTH1_42310.5
OG0000014	SCUR1_38430.3	SMTH1_42310.19
OG0000014	SCUR1_38430.3	SMTH1_42310.4
OG0000014	SCUR1_38430.3	SMTH1_42310.5
OG0000014	SCUR1_38430.31	SMTH1_42310.19
OG0000014	SCUR1_38430.31	SMTH1_42310.4
OG0000014	SCUR1_38430.31	SMTH1_42310.5
OG0000014	SCUR1_38430.4	SMTH1_42310.19
OG0000014	SCUR1_38430.4	SMTH1_42310.4
OG0000014	SCUR1_38430.4	SMTH1_42310.5
OG0000014	SCUR1_38430.6	SMTH1_42310.19
OG0000014	SCUR1_38430.6	SMTH1_42310.4
OG0000014	SCUR1_38430.6	SMTH1_42310.5
OG0000014	SCUR1_38430.1	SMTH1_42310.2
OG0000014	SCUR1_38430.15	SMTH1_42310.13
OG0000014	SCUR1_38430.15	SMTH1_42310.14
OG0000014	SCUR1_38430.15	SMTH1_42310.17
OG0000014	SCUR1_38430.21	SMTH1_42310.13
OG0000014	SCUR1_38430.21	SMTH1_42310.14
OG0000014	SCUR1_38430.21	SMTH1_42310.17
OG0000014	SCUR1_38430.22	SMTH1_42310.13
OG0000014	SCUR1_38430.22	SMTH1_42310.14
OG0000014	SCUR1_38430.22	SMTH1_42310.17
OG0000014	SCUR1_38430.23	SMTH1_42310.13
OG0000014	SCUR1_38430.23	SMTH1_42310.14
OG0000014	SCUR1_38430.23	SMTH1_42310.17
OG0000014	SCUR1_38430.2	SMTH1_42310.3
OG0000014	SCUR1_38430.20	SMTH1_42310.6
OG0000014	SCUR1_38430.24	SMTH1_42310.6
OG0000014	SCUR1_38430.25	SMTH1_42310.6
OG0000014	SCUR1_38430.26	SMTH1_42310.6
OG0000014	SCUR1_38430.11	SMTH1_42310.9
OG0000014	SCUR1_38430.14	SMTH1_42310.9
OG0000015	SCUR1_38440.1	SMTH1_42330.1
OG0000015	SCUR1_65580.1	SMTH1_73160.1
OG0000015	SCUR1_65590.1	SMTH1_73170.1
OG0000015	SCUR1_65590.2	SMTH1_73170.1
OG0000015	SCUR1_38610.1	SMTH1_42560.1
OG0000015	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3	SMTH1_42570.3
OG0000015	SCUR1_38620.4	SMTH1_42570.1, SMTH1_42570.2
OG0000015	SCUR1_38640.1	SMTH1_42590.1
OG0000015	SCUR1_43800.1	SMTH1_48670.1
OG0000015	SCUR1_42920.1	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5
OG0000015	SCUR1_42960.1, SCUR1_42910.1	SMTH1_47630.2
OG0000015	SCUR1_42940.1	SMTH1_47640.1
OG0000015	SCUR1_42960.2	SMTH1_47660.1
OG0000016	SCUR1_88550.1	SMTH1_25270.1
OG0000016	SCUR1_34730.1	SMTH1_106910.1, SMTH1_50680.1, SMTH1_86280.1
OG0000016	SCUR1_12900.1	SMTH1_49970.1
OG0000016	SCUR1_62840.1	SMTH1_20140.1
OG0000016	SCUR1_23450.1	SMTH1_13870.1, SMTH1_8830.1
OG0000016	SCUR1_57510.1, SCUR1_57490.1	SMTH1_25580.1, SMTH1_29560.1
OG0000016	SCUR1_80910.1, SCUR1_80910.2, SCUR1_80910.3	SMTH1_91760.1
OG0000018	SCUR1_42320.1	SMTH1_64760.2, SMTH1_64760.3, SMTH1_64760.4, SMTH1_64760.1
OG0000019	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2	SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4
OG0000019	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000020	SCUR1_90860.1	SMTH1_102380.1, SMTH1_102370.1
OG0000020	SCUR1_90600.2, SCUR1_90600.5, SCUR1_90600.6, SCUR1_90600.1, SCUR1_90600.3, SCUR1_90600.4	SMTH1_102080.1
OG0000021	SCUR1_8230.1	SMTH1_9440.1
OG0000021	SCUR1_5850.1	SMTH1_6700.1, SMTH1_82170.1
OG0000021	SCUR1_5860.2, SCUR1_5860.5	SMTH1_6710.1
OG0000021	SCUR1_5820.4	SMTH1_6650.1
OG0000021	SCUR1_5830.1	SMTH1_6670.1
OG0000021	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3	SMTH1_6690.1, SMTH1_6690.2
OG0000021	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2	SMTH1_6640.1
OG0000021	SCUR1_5810.1	SMTH1_6640.3
OG0000022	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5	SMTH1_30110.1
OG0000024	SCUR1_23660.1	SMTH1_26330.1
OG0000024	SCUR1_90210.1	SMTH1_101590.1
OG0000024	SCUR1_64030.1	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000024	SCUR1_79670.1	SMTH1_89320.1
OG0000024	SCUR1_79660.1, SCUR1_79660.2	SMTH1_89310.1
OG0000026	SCUR1_79090.1	SMTH1_88650.1, SMTH1_88650.2
OG0000026	SCUR1_71450.1	SMTH1_80430.1
OG0000026	SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5	SMTH1_80360.1
OG0000027	SCUR1_40200.1	SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12
OG0000028	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5	SMTH1_78260.1, SMTH1_78260.2
OG0000029	SCUR1_57630.1, SCUR1_99660.1	SMTH1_63900.1
OG0000029	SCUR1_86440.1	SMTH1_96900.1
OG0000029	SCUR1_86010.1	SMTH1_96870.1
OG0000029	SCUR1_20790.1	SMTH1_22560.1
OG0000029	SCUR1_20790.1	SMTH1_22560.2
OG0000029	SCUR1_20790.1	SMTH1_22560.3
OG0000029	SCUR1_20790.1	SMTH1_22560.4
OG0000029	SCUR1_86960.1	SMTH1_97890.7
OG0000029	SCUR1_86950.1	SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2
OG0000030	SCUR1_6670.1	SMTH1_7700.1
OG0000031	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	SCUR1_10300.1	SMTH1_11640.1
OG0000032	SCUR1_10320.1	SMTH1_11660.1
OG0000032	SCUR1_10310.1	SMTH1_11650.1
OG0000032	SCUR1_9500.1	SMTH1_88710.1
OG0000032	SCUR1_79130.1	SMTH1_88700.1
OG0000032	SCUR1_79130.2	SMTH1_88690.1
OG0000032	SCUR1_79130.3	SMTH1_88690.1
OG0000033	SCUR1_41840.1, SCUR1_8400.1	SMTH1_94000.1
OG0000033	SCUR1_14010.1, SCUR1_46040.1, SCUR1_35190.1, SCUR1_10560.1, SCUR1_31920.1, SCUR1_37620.1, SCUR1_3270.1, SCUR1_93810.1	SMTH1_85770.1
OG0000033	SCUR1_84970.1, SCUR1_4270.1, SCUR1_76530.1, SCUR1_30900.1, SCUR1_53660.1, SCUR1_83210.1, SCUR1_1750.1	SMTH1_15360.1
OG0000033	SCUR1_18840.1	SMTH1_16280.1
OG0000034	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3
OG0000034	SCUR1_90440.1	SMTH1_101830.1
OG0000034	SCUR1_90430.1	SMTH1_101820.1, SMTH1_101820.2
OG0000034	SCUR1_57480.1, SCUR1_57500.1	SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1
OG0000034	SCUR1_57520.1, SCUR1_95610.1	SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1
OG0000034	SCUR1_57530.1	SMTH1_63730.1
OG0000035	SCUR1_14970.1	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000036	SCUR1_10350.1	SMTH1_63170.1
OG0000037	SCUR1_59650.1	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1
OG0000037	SCUR1_59730.1	SMTH1_66620.1
OG0000038	SCUR1_5050.1	SMTH1_5930.1
OG0000038	SCUR1_12660.1, SCUR1_95150.1	SMTH1_48020.1
OG0000038	SCUR1_40730.1, SCUR1_4210.1	SMTH1_52630.1, SMTH1_66560.1
OG0000040	SCUR1_52110.3	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3
OG0000040	SCUR1_52110.1, SCUR1_52110.9, SCUR1_52110.25, SCUR1_52110.29, SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21, SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28	SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
OG0000042	SCUR1_40080.1	SMTH1_44430.1, SMTH1_44430.2
OG0000042	SCUR1_40070.1	SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2
OG0000042	SCUR1_40040.1	SMTH1_44330.1
OG0000042	SCUR1_40060.1	SMTH1_44340.1
OG0000042	SCUR1_40050.3, SCUR1_40050.1	SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1
OG0000042	SCUR1_40050.2	SMTH1_44390.1
OG0000043	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	SCUR1_84690.1	SMTH1_95170.1
OG0000044	SCUR1_84700.1	SMTH1_95180.1
OG0000044	SCUR1_98900.2	SMTH1_95210.1
OG0000044	SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1	SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	SCUR1_10540.5	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000046	SCUR1_28260.1, SCUR1_28260.2, SCUR1_28260.3	SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4
OG0000047	SCUR1_67810.3, SCUR1_67810.1, SCUR1_67810.2, SCUR1_52540.5, SCUR1_52540.8, SCUR1_52540.9, SCUR1_14640.4, SCUR1_14640.5, SCUR1_74340.2, SCUR1_74340.3, SCUR1_31390.4, SCUR1_31390.6, SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5, SCUR1_52540.2, SCUR1_52540.6, SCUR1_14640.1, SCUR1_74340.5, SCUR1_14640.2, SCUR1_14640.3, SCUR1_74340.1, SCUR1_74340.4, SCUR1_52540.4, SCUR1_52540.1, SCUR1_52540.3, SCUR1_52540.7	SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5
OG0000048	SCUR1_100.1, SCUR1_110.1	SMTH1_63190.1
OG0000048	SCUR1_98110.1	SMTH1_77080.1, SMTH1_51370.1, SMTH1_51370.2
OG0000048	SCUR1_99330.1, SCUR1_99330.2, SCUR1_99780.1	SMTH1_35420.1, SMTH1_35420.2
OG0000049	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3	SMTH1_77460.1
OG0000049	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4	SMTH1_81780.1
OG0000050	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3	SMTH1_59780.1, SMTH1_59790.1
OG0000050	SCUR1_53710.1	SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000051	SCUR1_10090.1	SMTH1_104280.1, SMTH1_1210.1, SMTH1_1430.1, SMTH1_35140.1, SMTH1_560.1, SMTH1_67360.1, SMTH1_76270.1, SMTH1_80350.1, SMTH1_82740.1, SMTH1_84360.1, SMTH1_85540.1, SMTH1_86990.1
OG0000051	SCUR1_27940.1	SMTH1_51910.1, SMTH1_13450.1
OG0000051	SCUR1_25720.1, SCUR1_95950.1, SCUR1_30050.1, SCUR1_26350.1, SCUR1_2500.1, SCUR1_54660.1, SCUR1_56870.1	SMTH1_23080.1, SMTH1_31740.1
OG0000052	SCUR1_28750.1	SMTH1_31800.1
OG0000052	SCUR1_3190.1	SMTH1_3820.1
OG0000052	SCUR1_96920.1	SMTH1_1100.1
OG0000052	SCUR1_96910.1, SCUR1_100150.1, SCUR1_850.2, SCUR1_850.1, SCUR1_100150.2	SMTH1_1110.1
OG0000052	SCUR1_2360.1, SCUR1_2360.2	SMTH1_2070.1
OG0000052	SCUR1_66590.1	SMTH1_74430.1
OG0000053	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19, SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000054	SCUR1_45490.1	SMTH1_34770.1
OG0000055	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4, SCUR1_68200.23, SCUR1_68200.14, SCUR1_68200.17, SCUR1_68200.13, SCUR1_68200.7, SCUR1_68200.12, SCUR1_68200.16, SCUR1_68210.1, SCUR1_68210.3, SCUR1_68210.7, SCUR1_68210.5, SCUR1_68210.6, SCUR1_68210.2, SCUR1_68210.4	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000056	SCUR1_17500.1	SMTH1_36280.1
OG0000056	SCUR1_75460.1	SMTH1_25400.1
OG0000057	SCUR1_51810.1	SMTH1_79310.1, SMTH1_54740.1
OG0000057	SCUR1_11890.1	SMTH1_28420.1, SMTH1_33050.1
OG0000057	SCUR1_14200.1	SMTH1_96520.1
OG0000057	SCUR1_11370.1, SCUR1_62950.1, SCUR1_95710.1	SMTH1_87590.1
OG0000058	SCUR1_88860.1	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	SCUR1_79800.1	SMTH1_89470.1
OG0000058	SCUR1_79810.1	SMTH1_89480.1
OG0000058	SCUR1_79840.2, SCUR1_79840.6, SCUR1_79840.8	SMTH1_89510.1, SMTH1_89510.2
OG0000058	SCUR1_79840.1, SCUR1_79840.5	SMTH1_89520.1
OG0000060	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6	SMTH1_72720.1
OG0000061	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17, SCUR1_52590.9, SCUR1_52590.8, SCUR1_52590.1, SCUR1_52590.3, SCUR1_52590.4, SCUR1_52590.2, SCUR1_52590.5, SCUR1_52590.6	SMTH1_58650.1
OG0000062	SCUR1_6120.7, SCUR1_6120.9, SCUR1_6120.5, SCUR1_6120.1, SCUR1_6120.6	SMTH1_7060.1
