Orthogroup	fasciola_gigantica	fasciola_hepatica
OG0000146	FGIG_01364	FhHiC23_g8653.t1
OG0000146	FGIG_07112	FhHiC23_g3017.t1
OG0000146	FGIG_08174	FhHiC23_g4902.t1
OG0000146	FGIG_12116	FhHiC23_g2238.t1
OG0000147	FGIG_03610	FhHiC23_g4780.t1
OG0000148	FGIG_05123, FGIG_04713	FhHiC23_g5498.t1
OG0000149	FGIG_08710	FhHiC23_g720.t1
OG0000151	FGIG_00898	FhHiC23_g7923.t1, FhHiC23_g7924.t1
OG0000152	FGIG_02196	FhHiC23_g11170.t1
OG0000153	FGIG_06246	FhHiC23_g1476.t1
OG0000153	FGIG_09804, FGIG_09803	FhHiC23_g1472.t1, FhHiC23_g1472.t2
OG0000153	FGIG_06247	FhHiC23_g1478.t1, FhHiC23_g1478.t2
OG0000154	FGIG_02765	FhHiC23_g3120.t1, FhHiC23_g3119.t1
OG0000154	FGIG_12625, FGIG_00749	FhHiC23_g11005.t1, FhHiC23_g3122.t1
OG0000155	FGIG_01109	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4
OG0000156	FGIG_01694	FhHiC23_g15553.t1
OG0000156	FGIG_10389	FhHiC23_g15566.t2
OG0000156	FGIG_01395	FhHiC23_g15566.t1, FhHiC23_g15566.t3
OG0000156	FGIG_06374	FhHiC23_g15050.t1
OG0000157	FGIG_01729	FhHiC23_g8049.t2, FhHiC23_g8049.t1
OG0000157	FGIG_07044, FGIG_07045	FhHiC23_g14186.t1
OG0000157	FGIG_03579	FhHiC23_g9140.t1, FhHiC23_g9140.t2
OG0000158	FGIG_05974	FhHiC23_g13140.t1
OG0000158	FGIG_05975	FhHiC23_g13141.t1, FhHiC23_g13141.t2
OG0000159	FGIG_07564	FhHiC23_g7585.t1
OG0000160	FGIG_05715	FhHiC23_g11475.t1
OG0000164	FGIG_12608, FGIG_03854	FhHiC23_g8533.t1
OG0000164	FGIG_01740	FhHiC23_g1084.t1
OG0000164	FGIG_05689	FhHiC23_g5363.t1, FhHiC23_g5363.t2
OG0000165	FGIG_03682	FhHiC23_g7386.t1, FhHiC23_g7386.t2
OG0000166	FGIG_04350	FhHiC23_g4357.t1, FhHiC23_g4436.t1
OG0000167	FGIG_09630	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4
OG0000169	FGIG_03347	FhHiC23_g9336.t1, FhHiC23_g9336.t2
OG0000169	FGIG_04403	FhHiC23_g9128.t1
OG0000169	FGIG_00713	FhHiC23_g10107.t1
OG0000169	FGIG_02221	FhHiC23_g10077.t1
OG0000169	FGIG_02220	FhHiC23_g10076.t1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	FhHiC23_g1333.t1
OG0000171	FGIG_01605	FhHiC23_g9453.t1, FhHiC23_g8538.t1
OG0000172	FGIG_02787	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3
OG0000172	FGIG_02788	FhHiC23_g11485.t2
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986	FhHiC23_g3805.t1
OG0000173	FGIG_11026	FhHiC23_g3804.t1
OG0000175	FGIG_00359	FhHiC23_g4838.t1
OG0000175	FGIG_00358	FhHiC23_g4840.t1, FhHiC23_g4840.t2
OG0000175	FGIG_00357	FhHiC23_g4841.t2, FhHiC23_g4841.t1
OG0000175	FGIG_00355	FhHiC23_g4843.t1
OG0000175	FGIG_00354	FhHiC23_g4844.t1
OG0000175	FGIG_00352	FhHiC23_g4846.t1
OG0000176	FGIG_00685	FhHiC23_g1475.t1, FhHiC23_g6682.t1, FhHiC23_g14687.t2, FhHiC23_g14687.t1, FhHiC23_g7341.t1, FhHiC23_g6566.t1, FhHiC23_g8889.t1, FhHiC23_g1261.t1, FhHiC23_g5760.t1, FhHiC23_g5760.t2, FhHiC23_g13662.t1, FhHiC23_g8945.t1
OG0000177	FGIG_04057	FhHiC23_g7294.t2, FhHiC23_g7294.t1
OG0000177	FGIG_04058	FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5
OG0000178	FGIG_04370	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1
OG0000179	FGIG_08795	FhHiC23_g1759.t1
OG0000179	FGIG_10380	FhHiC23_g2123.t1
OG0000180	FGIG_12039	FhHiC23_g4225.t1
OG0000182	FGIG_02134	FhHiC23_g8157.t2, FhHiC23_g8157.t1
OG0000182	FGIG_00290	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3
OG0000183	FGIG_02622	FhHiC23_g5440.t1, FhHiC23_g5440.t2
OG0000184	FGIG_03731	FhHiC23_g551.t1
OG0000184	FGIG_03730	FhHiC23_g552.t1
OG0000185	FGIG_07908	FhHiC23_g5939.t1, FhHiC23_g5938.t1
OG0000186	FGIG_00796	FhHiC23_g2328.t1, FhHiC23_g2327.t1
OG0000187	FGIG_10561, FGIG_02152	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2
OG0000188	FGIG_03282	FhHiC23_g5387.t1
OG0000189	FGIG_03464	FhHiC23_g11311.t1, FhHiC23_g11311.t2
OG0000190	FGIG_04440	FhHiC23_g2208.t1, FhHiC23_g2208.t2
OG0000191	FGIG_06431	FhHiC23_g14871.t1
OG0000191	FGIG_10462, FGIG_10464	FhHiC23_g4941.t1
OG0000191	FGIG_11528	FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1
OG0000191	FGIG_10245	FhHiC23_g14042.t1
OG0000192	FGIG_06841	FhHiC23_g8375.t1, FhHiC23_g8375.t3
OG0000192	FGIG_06840	FhHiC23_g8375.t2
OG0000193	FGIG_11714	FhHiC23_g7377.t1
OG0000193	FGIG_07076	FhHiC23_g8323.t2
OG0000194	FGIG_07707	FhHiC23_g2835.t1, FhHiC23_g2835.t2
OG0000195	FGIG_08368	FhHiC23_g1825.t1
OG0000196	FGIG_11982	FhHiC23_g13335.t1
OG0000196	FGIG_03269	FhHiC23_g15952.t1
OG0000196	FGIG_11890	FhHiC23_g11302.t1
OG0000198	FGIG_06396	FhHiC23_g11938.t1
OG0000198	FGIG_00941	FhHiC23_g10943.t1, FhHiC23_g10945.t1
OG0000199	FGIG_03163	FhHiC23_g6386.t1
OG0000201	FGIG_05120	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4
OG0000202	FGIG_07192	FhHiC23_g4745.t1
OG0000203	FGIG_08149	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2
OG0000205	FGIG_02525	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1
OG0000206	FGIG_03933	FhHiC23_g6357.t4
OG0000207	FGIG_05628	FhHiC23_g5475.t1
OG0000207	FGIG_09531	FhHiC23_g5478.t1, FhHiC23_g5477.t1
OG0000207	FGIG_04435	FhHiC23_g5930.t1, FhHiC23_g5929.t1
OG0000207	FGIG_12425	FhHiC23_g5928.t1, FhHiC23_g5931.t1
OG0000208	FGIG_04764	FhHiC23_g2420.t2, FhHiC23_g2420.t1, FhHiC23_g2420.t3
OG0000209	FGIG_06233	FhHiC23_g12702.t2, FhHiC23_g12702.t1
OG0000210	FGIG_06835	FhHiC23_g3612.t1
OG0000210	FGIG_08667	FhHiC23_g3613.t3, FhHiC23_g3613.t1, FhHiC23_g3613.t2
OG0000211	FGIG_06875	FhHiC23_g10758.t1, FhHiC23_g10758.t2
OG0000212	FGIG_07429, FGIG_07428	FhHiC23_g10468.t1
OG0000213	FGIG_08575	FhHiC23_g11275.t2, FhHiC23_g11275.t1
OG0000214	FGIG_09344	FhHiC23_g12464.t1
OG0000217	FGIG_02317	FhHiC23_g16420.t1, FhHiC23_g6181.t2, FhHiC23_g6181.t1
OG0000217	FGIG_02318	FhHiC23_g6181.t4, FhHiC23_g6181.t3
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	FhHiC23_g10938.t1
OG0000219	FGIG_07378	FhHiC23_g7095.t1, FhHiC23_g7095.t2
