Orthogroup	fasciola_gigantica	schistosoma_margrebowiei
OG0000062	FGIG_00991	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8
OG0000063	FGIG_03231	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9
OG0000064	FGIG_12411, FGIG_06602	SMRG1_4070.1, SMRG1_4070.2
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	SMRG1_23080.1, SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3
OG0000066	FGIG_00170	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10, SMRG1_37230.6, SMRG1_37230.8, SMRG1_37230.9, SMRG1_37230.1
OG0000067	FGIG_02840, FGIG_02842	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13
OG0000068	FGIG_12158	SMRG1_54400.1
OG0000068	FGIG_12079	SMRG1_95970.1
OG0000068	FGIG_07351	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5
OG0000068	FGIG_05814	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1
OG0000069	FGIG_12680, FGIG_06996	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9
OG0000071	FGIG_07065, FGIG_07067	SMRG1_34220.1
OG0000072	FGIG_06022, FGIG_09056	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6
OG0000073	FGIG_05759	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3
OG0000074	FGIG_06125	SMRG1_200.1
OG0000074	FGIG_03273	SMRG1_89070.1
OG0000074	FGIG_07718	SMRG1_10950.2, SMRG1_10950.1
OG0000074	FGIG_01338	SMRG1_89160.1
OG0000075	FGIG_05387	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	SMRG1_91970.1
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	SMRG1_3760.1, SMRG1_3760.2
OG0000077	FGIG_09054	SMRG1_10440.1
OG0000078	FGIG_04314	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15
OG0000079	FGIG_07135, FGIG_07136	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2
OG0000079	FGIG_05069, FGIG_05070	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3
OG0000080	FGIG_03532	SMRG1_44390.5, SMRG1_44390.3, SMRG1_44390.2, SMRG1_44390.4, SMRG1_44390.10, SMRG1_44390.13, SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6
OG0000081	FGIG_05277, FGIG_11514	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1
OG0000082	FGIG_06461	SMRG1_10080.1
OG0000085	FGIG_06241	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7
OG0000086	FGIG_09371	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9
OG0000087	FGIG_03026	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6
OG0000088	FGIG_14005, FGIG_05150	SMRG1_2980.1, SMRG1_2970.1
OG0000090	FGIG_01258	SMRG1_50660.11, SMRG1_50660.1, SMRG1_50660.4, SMRG1_50660.5, SMRG1_50660.10, SMRG1_50660.2, SMRG1_50660.3, SMRG1_50660.6, SMRG1_50660.7, SMRG1_50660.8, SMRG1_50660.9
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6
OG0000092	FGIG_06562	SMRG1_2010.1, SMRG1_2020.1
OG0000092	FGIG_11548	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4
OG0000093	FGIG_04003	SMRG1_40250.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4
OG0000094	FGIG_00948	SMRG1_8140.1, SMRG1_8140.2
OG0000095	FGIG_01883	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13
OG0000096	FGIG_03065	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2
OG0000097	FGIG_06823	SMRG1_6670.1
OG0000098	FGIG_08056	SMRG1_41340.1
OG0000098	FGIG_08009	SMRG1_67360.1
OG0000099	FGIG_01162	SMRG1_68280.1
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4
OG0000102	FGIG_11657	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4
OG0000102	FGIG_04726, FGIG_06854	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2
OG0000103	FGIG_06145, FGIG_13990	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1
OG0000104	FGIG_08148	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13
OG0000105	FGIG_00113, FGIG_06918	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10
OG0000110	FGIG_03667	SMRG1_29960.1, SMRG1_29930.1, SMRG1_29930.2
OG0000110	FGIG_10562	SMRG1_29970.1
OG0000110	FGIG_06603	SMRG1_29980.2, SMRG1_29980.1
OG0000111	FGIG_04030	SMRG1_41440.1
OG0000111	FGIG_03777	SMRG1_52570.1
OG0000111	FGIG_04347	SMRG1_31280.1
OG0000112	FGIG_09308, FGIG_06819	SMRG1_84400.11, SMRG1_84400.3, SMRG1_84400.8, SMRG1_84400.10, SMRG1_84400.1, SMRG1_84400.5, SMRG1_84400.12, SMRG1_84400.2, SMRG1_84400.4, SMRG1_84400.6, SMRG1_84400.9, SMRG1_84400.7
OG0000114	FGIG_00156	SMRG1_95870.6, SMRG1_95870.1, SMRG1_95870.2, SMRG1_95870.8, SMRG1_95870.5, SMRG1_95870.7, SMRG1_95870.11, SMRG1_95870.9, SMRG1_95870.10, SMRG1_95870.12, SMRG1_95870.3, SMRG1_95870.4
OG0000115	FGIG_02859	SMRG1_36780.14, SMRG1_36780.16, SMRG1_36780.18, SMRG1_36780.2, SMRG1_36780.3, SMRG1_36780.4, SMRG1_36780.1, SMRG1_36780.11, SMRG1_36780.12, SMRG1_36780.13, SMRG1_36780.5, SMRG1_36780.6, SMRG1_36780.9, SMRG1_36780.10, SMRG1_36780.15, SMRG1_36780.17, SMRG1_36780.7, SMRG1_36780.8
OG0000116	FGIG_03832, FGIG_01693	SMRG1_50820.3, SMRG1_50820.5, SMRG1_50820.4, SMRG1_50820.7, SMRG1_50820.10, SMRG1_50820.1, SMRG1_50820.2, SMRG1_50820.8, SMRG1_50820.6, SMRG1_50820.9
OG0000117	FGIG_02197	SMRG1_30060.1
OG0000118	FGIG_02831	SMRG1_39540.1, SMRG1_39540.2, SMRG1_39520.1, SMRG1_39530.1
OG0000119	FGIG_05939	SMRG1_96690.2, SMRG1_96690.1, SMRG1_96690.3, SMRG1_96690.8, SMRG1_96690.7, SMRG1_96690.4, SMRG1_96690.6, SMRG1_96690.5, SMRG1_96700.1
OG0000120	FGIG_06695	SMRG1_30130.18, SMRG1_30130.12, SMRG1_30130.13, SMRG1_30130.8, SMRG1_30130.10, SMRG1_30130.11, SMRG1_30130.15, SMRG1_30130.16, SMRG1_30130.7, SMRG1_30130.9, SMRG1_30130.5, SMRG1_30130.1, SMRG1_30130.2, SMRG1_30130.4, SMRG1_30130.3, SMRG1_30130.14, SMRG1_30130.17, SMRG1_30130.6
OG0000122	FGIG_06459, FGIG_06458	SMRG1_80900.10, SMRG1_80900.1, SMRG1_80900.5, SMRG1_80900.8, SMRG1_80900.4, SMRG1_80900.9, SMRG1_80900.2, SMRG1_80900.3, SMRG1_80900.6, SMRG1_80900.7
OG0000123	FGIG_06911	SMRG1_78990.10, SMRG1_78990.2, SMRG1_78990.1, SMRG1_78990.4, SMRG1_78990.5, SMRG1_78990.15, SMRG1_78990.17, SMRG1_78990.16, SMRG1_78990.14, SMRG1_78990.11, SMRG1_78990.13, SMRG1_78990.9, SMRG1_78990.7, SMRG1_78990.3, SMRG1_78990.8, SMRG1_78990.12, SMRG1_78990.6
OG0000125	FGIG_12140, FGIG_05136	SMRG1_290.1, SMRG1_290.10, SMRG1_290.2, SMRG1_290.4, SMRG1_290.9, SMRG1_290.5, SMRG1_290.6, SMRG1_290.3, SMRG1_290.11, SMRG1_290.12, SMRG1_290.13, SMRG1_290.8, SMRG1_290.7
OG0000126	FGIG_02836, FGIG_00047	SMRG1_72460.3, SMRG1_72460.9, SMRG1_72460.10, SMRG1_72460.4, SMRG1_72460.5, SMRG1_72460.6, SMRG1_72460.7, SMRG1_72460.8, SMRG1_72460.25, SMRG1_72460.15, SMRG1_72460.1, SMRG1_72460.11, SMRG1_72460.12, SMRG1_72460.13, SMRG1_72460.14, SMRG1_72460.16, SMRG1_72460.17, SMRG1_72460.18, SMRG1_72460.19, SMRG1_72460.2, SMRG1_72460.20, SMRG1_72460.21, SMRG1_72460.22, SMRG1_72460.23, SMRG1_72460.24
OG0000127	FGIG_10651, FGIG_01876	SMRG1_21350.2, SMRG1_21350.5, SMRG1_21350.7, SMRG1_21350.8, SMRG1_21350.1, SMRG1_21350.3, SMRG1_21350.4, SMRG1_21350.9, SMRG1_21350.6
OG0000128	FGIG_02928	SMRG1_43330.1
OG0000129	FGIG_01051	SMRG1_32350.1, SMRG1_32350.5, SMRG1_32350.2, SMRG1_32350.6, SMRG1_32350.9, SMRG1_32350.4, SMRG1_32350.8, SMRG1_32350.7, SMRG1_32350.10, SMRG1_32350.3
OG0000130	FGIG_06548, FGIG_01370	SMRG1_82830.1, SMRG1_82830.3, SMRG1_82830.4, SMRG1_82830.2, SMRG1_82830.5
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	SMRG1_8260.1, SMRG1_8330.1, SMRG1_86920.1, SMRG1_86880.1, SMRG1_86960.1, SMRG1_86930.1, SMRG1_86890.1, SMRG1_86900.1, SMRG1_86850.1, SMRG1_86860.1, SMRG1_86870.1
OG0000132	FGIG_04447, FGIG_04446	SMRG1_35650.2, SMRG1_35650.1, SMRG1_35650.4, SMRG1_35650.3
OG0000133	FGIG_10537	SMRG1_31690.2, SMRG1_31690.3, SMRG1_31690.7, SMRG1_31690.6, SMRG1_31690.1, SMRG1_31690.4, SMRG1_31690.5
OG0000134	FGIG_03080	SMRG1_19740.6, SMRG1_19740.4, SMRG1_19740.1, SMRG1_19740.5, SMRG1_19740.9, SMRG1_19740.2, SMRG1_19740.7, SMRG1_19740.8
OG0000135	FGIG_08997	SMRG1_12940.1
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	SMRG1_7080.1, SMRG1_7050.1
OG0000138	FGIG_10020	SMRG1_88720.1, SMRG1_88720.2, SMRG1_88720.3
OG0000138	FGIG_00536, FGIG_00535	SMRG1_45290.1, SMRG1_45290.2, SMRG1_45290.4, SMRG1_45290.3
OG0000139	FGIG_04756	SMRG1_3830.2, SMRG1_3830.1, SMRG1_3830.3, SMRG1_3830.4, SMRG1_3830.5
OG0000140	FGIG_05800	SMRG1_76690.5, SMRG1_76690.25, SMRG1_76690.24, SMRG1_76690.20, SMRG1_76690.13, SMRG1_76690.7, SMRG1_76690.29, SMRG1_76690.11, SMRG1_76690.28, SMRG1_76690.30, SMRG1_76690.1, SMRG1_76690.27, SMRG1_76690.15, SMRG1_76690.23, SMRG1_76690.6, SMRG1_76690.17, SMRG1_76690.22, SMRG1_76690.9, SMRG1_76690.12, SMRG1_76690.3, SMRG1_76690.4, SMRG1_76690.2, SMRG1_76690.31, SMRG1_76690.26, SMRG1_76690.14, SMRG1_76690.8, SMRG1_76690.10, SMRG1_76690.16, SMRG1_76690.19, SMRG1_76690.21, SMRG1_76690.18
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	SMRG1_19600.1, SMRG1_19610.1, SMRG1_19620.1, SMRG1_19620.2, SMRG1_19660.1, SMRG1_19630.1, SMRG1_19650.1
OG0000143	FGIG_03125	SMRG1_69810.1, SMRG1_69760.1, SMRG1_69750.1, SMRG1_69800.1, SMRG1_69770.1, SMRG1_69780.1
OG0000144	FGIG_04482	SMRG1_55210.1, SMRG1_55210.2, SMRG1_55210.3
