Orthogroup	fasciola_gigantica	schistosoma_intercalatum
OG0000040	FGIG_07013	SINT1_52070.2, SINT1_52070.4, SINT1_52070.3, SINT1_52070.7, SINT1_52070.6, SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1
OG0000042	FGIG_05270	SINT1_39890.1, SINT1_39880.1, SINT1_39840.1, SINT1_39870.1, SINT1_39850.1, SINT1_39860.1
OG0000043	FGIG_08366	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	SINT1_84450.1, SINT1_84460.1, SINT1_84460.2, SINT1_84460.3, SINT1_84460.4, SINT1_84460.5, SINT1_84460.6, SINT1_84460.7, SINT1_84460.8, SINT1_84510.2, SINT1_84510.3, SINT1_84500.1, SINT1_84510.1, SINT1_84530.1, SINT1_84540.1
OG0000045	FGIG_12527	SINT1_10700.1, SINT1_36390.1
OG0000049	FGIG_07932, FGIG_00477	SINT1_69090.2, SINT1_69090.3, SINT1_69090.5, SINT1_69090.1, SINT1_69090.4
OG0000049	FGIG_06077	SINT1_72570.1
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	SINT1_53550.1, SINT1_53580.1
OG0000052	FGIG_00994	SINT1_28750.1
OG0000052	FGIG_02824	SINT1_3180.1
OG0000052	FGIG_00846	SINT1_900.1
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	SINT1_1600.1
OG0000052	FGIG_04502, FGIG_12676	SINT1_66410.1, SINT1_66410.2, SINT1_66410.3
OG0000053	FGIG_08393, FGIG_12440	SINT1_18650.2, SINT1_18650.3, SINT1_18650.4, SINT1_18650.10, SINT1_18650.5, SINT1_18650.6, SINT1_18650.7, SINT1_18650.8, SINT1_18650.1, SINT1_18650.11, SINT1_18650.12, SINT1_18650.9, SINT1_18650.13
OG0000054	FGIG_12516	SINT1_63080.1
OG0000055	FGIG_03285, FGIG_05988	SINT1_68170.4, SINT1_68170.6, SINT1_68170.7, SINT1_68170.9, SINT1_68170.5, SINT1_68170.8, SINT1_68170.3, SINT1_68170.1, SINT1_68170.2, SINT1_68160.2, SINT1_68160.3, SINT1_68160.6, SINT1_68160.1, SINT1_68160.4, SINT1_68160.5, SINT1_68160.7
OG0000058	FGIG_11220	SINT1_88570.1
OG0000058	FGIG_06708	SINT1_79220.1
OG0000058	FGIG_00649	SINT1_79230.1, SINT1_79260.1, SINT1_79270.1, SINT1_79280.1, SINT1_79280.2, SINT1_79210.1
OG0000060	FGIG_07684	SINT1_64930.1
OG0000061	FGIG_09986	SINT1_52570.12, SINT1_52570.1, SINT1_52570.10, SINT1_52570.11, SINT1_52570.2, SINT1_52570.4, SINT1_52570.8, SINT1_52570.3, SINT1_52570.6, SINT1_52570.7, SINT1_52570.9, SINT1_52570.5
OG0000062	FGIG_00991	SINT1_6140.1
OG0000063	FGIG_03231	SINT1_39400.9, SINT1_39400.8, SINT1_39400.3, SINT1_39400.6, SINT1_39400.2, SINT1_39400.7, SINT1_39400.1, SINT1_39400.5, SINT1_39400.11, SINT1_39400.4, SINT1_39400.10, SINT1_39400.12
OG0000064	FGIG_12411, FGIG_06602	SINT1_4150.18, SINT1_4150.22, SINT1_4150.4, SINT1_4150.19, SINT1_4150.16, SINT1_4150.24, SINT1_4150.25, SINT1_4150.13, SINT1_4150.20, SINT1_4150.17, SINT1_4150.21, SINT1_4150.15, SINT1_4150.11, SINT1_4150.1, SINT1_4150.7, SINT1_4150.3, SINT1_4150.6, SINT1_4150.9, SINT1_4150.23, SINT1_4150.26, SINT1_4150.2, SINT1_4150.8, SINT1_4150.10, SINT1_4150.12, SINT1_4150.14, SINT1_4150.5
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	SINT1_23130.1, SINT1_23160.1, SINT1_23220.3, SINT1_23220.2, SINT1_23220.1, SINT1_23190.1, SINT1_23180.2
OG0000066	FGIG_00170	SINT1_37090.4, SINT1_37090.9, SINT1_37090.1, SINT1_37090.7, SINT1_37090.8, SINT1_37090.6, SINT1_37090.12, SINT1_37090.10, SINT1_37090.3, SINT1_37090.11, SINT1_37090.5, SINT1_37090.2
OG0000067	FGIG_02840, FGIG_02842	SINT1_67000.1, SINT1_67000.7, SINT1_67000.6, SINT1_67000.8, SINT1_67000.9, SINT1_67000.2, SINT1_67000.3, SINT1_67000.4, SINT1_67000.5
OG0000068	FGIG_12158	SINT1_53720.1
OG0000068	FGIG_12079	SINT1_93040.1
OG0000068	FGIG_07351	SINT1_36550.2, SINT1_36550.1, SINT1_36550.3
OG0000068	FGIG_05814	SINT1_28800.1
OG0000069	FGIG_12680, FGIG_06996	SINT1_20680.1, SINT1_20680.3, SINT1_20680.6, SINT1_20680.9, SINT1_20680.10, SINT1_20680.2, SINT1_20680.5, SINT1_20680.8, SINT1_20680.11, SINT1_20680.12, SINT1_20680.13, SINT1_20680.4, SINT1_20680.7
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	SINT1_43770.13, SINT1_43770.12, SINT1_43770.5, SINT1_43770.7, SINT1_43770.15, SINT1_43770.10, SINT1_43770.2, SINT1_43770.17, SINT1_43770.3, SINT1_43770.8, SINT1_43770.16, SINT1_43770.1, SINT1_43770.6, SINT1_43770.4, SINT1_43770.9, SINT1_43770.14, SINT1_43770.11
OG0000071	FGIG_07065, FGIG_07067	SINT1_34230.1, SINT1_34230.2, SINT1_34230.4, SINT1_34230.6, SINT1_34230.8, SINT1_34230.7, SINT1_34230.9, SINT1_34230.10, SINT1_34230.3, SINT1_34230.5
OG0000072	FGIG_06022, FGIG_09056	SINT1_87990.2, SINT1_87990.6, SINT1_87990.10, SINT1_87990.4, SINT1_87990.3, SINT1_87990.1, SINT1_87990.5, SINT1_87990.7, SINT1_87990.14, SINT1_87990.12, SINT1_87990.13, SINT1_87990.9, SINT1_87990.11, SINT1_87990.8
OG0000073	FGIG_05759	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3
OG0000074	FGIG_06125	SINT1_1200.2, SINT1_1200.1
OG0000074	FGIG_03273	SINT1_86470.1
OG0000074	FGIG_07718	SINT1_11530.3, SINT1_11530.2, SINT1_11530.1
OG0000074	FGIG_01338	SINT1_86570.1
OG0000075	FGIG_05387	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7
OG0000077	FGIG_09054	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5
OG0000078	FGIG_04314	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7
OG0000079	FGIG_07135, FGIG_07136	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4
OG0000079	FGIG_05069, FGIG_05070	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6
OG0000080	FGIG_03532	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9
OG0000081	FGIG_05277, FGIG_11514	SINT1_2370.1, SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1
OG0000082	FGIG_06461	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9
OG0000085	FGIG_06241	SINT1_36430.1
OG0000086	FGIG_09371	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2
OG0000087	FGIG_03026	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7
OG0000088	FGIG_14005, FGIG_05150	SINT1_3040.1, SINT1_3040.3, SINT1_3040.2, SINT1_3030.2, SINT1_3030.3, SINT1_3030.1, SINT1_3030.4, SINT1_3030.5, SINT1_3030.6
OG0000090	FGIG_01258	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6
OG0000092	FGIG_06562	SINT1_2100.1, SINT1_2100.2
OG0000092	FGIG_11548	SINT1_13320.1, SINT1_13320.2
OG0000093	FGIG_04003	SINT1_40130.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	SINT1_39320.1
OG0000094	FGIG_00948	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9
OG0000095	FGIG_01883	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7
OG0000096	FGIG_03065	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14
OG0000097	FGIG_06823	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8
OG0000098	FGIG_08056	SINT1_94630.1, SINT1_41140.1
OG0000098	FGIG_08009	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2
OG0000099	FGIG_01162	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4
OG0000102	FGIG_11657	SINT1_5950.1
OG0000102	FGIG_04726, FGIG_06854	SINT1_58290.1, SINT1_58290.2
OG0000103	FGIG_06145, FGIG_13990	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6
OG0000104	FGIG_08148	SINT1_6130.1
OG0000105	FGIG_00113, FGIG_06918	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2
OG0000110	FGIG_03667	SINT1_29940.1, SINT1_29940.2, SINT1_29900.1
OG0000110	FGIG_10562	SINT1_29950.1, SINT1_29950.2
OG0000110	FGIG_06603	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4
OG0000111	FGIG_04030	SINT1_41240.1
OG0000111	FGIG_03777	SINT1_51900.1
OG0000111	FGIG_04347	SINT1_31320.2, SINT1_31320.1
OG0000112	FGIG_09308, FGIG_06819	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8
OG0000114	FGIG_00156	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6
OG0000115	FGIG_02859	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13
OG0000116	FGIG_03832, FGIG_01693	SINT1_50100.1
OG0000117	FGIG_02197	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10
OG0000118	FGIG_02831	SINT1_39470.1, SINT1_39480.1, SINT1_39450.1, SINT1_39460.1, SINT1_39460.2
OG0000119	FGIG_05939	SINT1_93740.1, SINT1_93730.1
OG0000120	FGIG_06695	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2
OG0000122	FGIG_06459, FGIG_06458	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4
OG0000123	FGIG_06911	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10
OG0000125	FGIG_12140, FGIG_05136	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2
OG0000126	FGIG_02836, FGIG_00047	SINT1_70010.5, SINT1_70010.1, SINT1_70010.2, SINT1_70010.3, SINT1_70010.4
OG0000127	FGIG_10651, FGIG_01876	SINT1_22790.3, SINT1_22790.1, SINT1_22790.2
OG0000128	FGIG_02928	SINT1_43010.1
OG0000129	FGIG_01051	SINT1_32320.9, SINT1_32320.6, SINT1_32320.7, SINT1_32320.10, SINT1_32320.11, SINT1_32320.8, SINT1_32320.5, SINT1_32320.2, SINT1_32320.1, SINT1_32320.3, SINT1_32320.4
OG0000130	FGIG_06548, FGIG_01370	SINT1_80760.1
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	SINT1_8740.1, SINT1_84520.1, SINT1_84470.1, SINT1_84480.1, SINT1_84490.1
OG0000132	FGIG_04447, FGIG_04446	SINT1_35550.3, SINT1_35550.2, SINT1_35550.10, SINT1_35550.1, SINT1_35550.11, SINT1_35550.12, SINT1_35550.5, SINT1_35550.6, SINT1_35550.7, SINT1_35550.9, SINT1_35550.4, SINT1_35550.8
OG0000133	FGIG_10537	SINT1_31700.1, SINT1_31700.8, SINT1_31700.3, SINT1_31700.2, SINT1_31700.4, SINT1_31700.5, SINT1_31700.6, SINT1_31700.7
OG0000134	FGIG_03080	SINT1_20430.1, SINT1_20430.5, SINT1_20430.7, SINT1_20430.6, SINT1_20430.2, SINT1_20430.3, SINT1_20430.10, SINT1_20430.4, SINT1_20430.8, SINT1_20430.9
OG0000135	FGIG_08997	SINT1_13520.1, SINT1_13520.2, SINT1_13520.7, SINT1_13520.9, SINT1_13520.10, SINT1_13520.8, SINT1_13520.11, SINT1_13520.12, SINT1_13520.3, SINT1_13520.4, SINT1_13520.5, SINT1_13520.6
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	SINT1_7430.1, SINT1_7460.1, SINT1_7420.1, SINT1_7420.2
OG0000138	FGIG_10020	SINT1_86150.1
OG0000138	FGIG_00536, FGIG_00535	SINT1_45050.1, SINT1_45050.2
OG0000139	FGIG_04756	SINT1_3860.1, SINT1_3860.4, SINT1_3860.8, SINT1_3860.10, SINT1_3860.2, SINT1_3860.6, SINT1_3860.7, SINT1_3860.5, SINT1_3860.9, SINT1_3860.3
OG0000140	FGIG_05800	SINT1_74990.1
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	SINT1_20300.1, SINT1_20310.1, SINT1_20320.1, SINT1_20340.1, SINT1_20330.1
OG0000143	FGIG_03125	SINT1_67570.1, SINT1_96680.1, SINT1_67580.1
OG0000144	FGIG_04482	SINT1_54570.1, SINT1_54570.2, SINT1_54570.3
OG0000144	FGIG_02516	SINT1_27700.1
OG0000144	FGIG_08902, FGIG_02070	SINT1_56820.1
OG0000145	FGIG_06896	SINT1_33280.1, SINT1_33280.2
OG0000146	FGIG_01364	SINT1_89890.1
OG0000146	FGIG_07112	SINT1_56400.1
OG0000146	FGIG_08174	SINT1_29210.3, SINT1_29210.2, SINT1_29210.1
OG0000146	FGIG_12116	SINT1_47190.1
OG0000147	FGIG_03610	SINT1_36090.1, SINT1_36090.10, SINT1_36090.11, SINT1_36090.2, SINT1_36090.3, SINT1_36090.4, SINT1_36090.5, SINT1_36090.7, SINT1_36090.8, SINT1_36090.9, SINT1_36090.6
OG0000148	FGIG_05123, FGIG_04713	SINT1_31360.3, SINT1_31360.4, SINT1_31360.7, SINT1_31360.8, SINT1_31360.1, SINT1_31360.2, SINT1_31360.5, SINT1_31360.9, SINT1_31360.6
OG0000149	FGIG_08710	SINT1_53730.4, SINT1_53730.1, SINT1_53730.2, SINT1_53730.5, SINT1_53730.6, SINT1_53730.7, SINT1_53730.3
OG0000151	FGIG_00898	SINT1_63190.1
OG0000152	FGIG_02196	SINT1_11220.1, SINT1_11220.3, SINT1_11220.5, SINT1_11220.6, SINT1_11220.4, SINT1_11360.1, SINT1_11220.2, SINT1_11220.7
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	SINT1_50010.1, SINT1_50670.1, SINT1_50690.1, SINT1_50680.1, SINT1_50620.1, SINT1_50620.2
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	SINT1_18590.7, SINT1_18590.5, SINT1_18590.1, SINT1_18590.4, SINT1_18590.6, SINT1_18590.2, SINT1_18590.3, SINT1_18590.8, SINT1_18590.10, SINT1_18590.9
OG0000155	FGIG_01109	SINT1_36950.1
OG0000156	FGIG_01694	SINT1_20080.1
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	SINT1_20070.2, SINT1_20070.1, SINT1_20070.3, SINT1_20070.4
OG0000157	FGIG_01729	SINT1_61450.1
OG0000157	FGIG_07044, FGIG_07045	SINT1_43950.1
OG0000157	FGIG_03579	SINT1_92800.1, SINT1_92800.2
OG0000158	FGIG_05975	SINT1_5490.4, SINT1_5490.1, SINT1_5490.2, SINT1_5490.3, SINT1_5490.10, SINT1_5490.11, SINT1_5490.12, SINT1_5490.13, SINT1_5490.14, SINT1_5490.6, SINT1_5490.9, SINT1_5490.5, SINT1_5490.7, SINT1_5490.8, SINT1_5500.1
OG0000159	FGIG_07564	SINT1_61920.4, SINT1_61920.7, SINT1_61920.5, SINT1_61920.1, SINT1_61920.3, SINT1_61920.8, SINT1_61920.9, SINT1_61920.2, SINT1_61920.6
OG0000160	FGIG_05715	SINT1_14680.1
OG0000161	FGIG_08957	SINT1_34800.3, SINT1_34800.4, SINT1_34800.5, SINT1_34810.1, SINT1_34800.1, SINT1_34800.6, SINT1_34800.2
OG0000164	FGIG_12608, FGIG_03854	SINT1_61030.1
OG0000164	FGIG_01740	SINT1_76090.1
OG0000164	FGIG_10598	SINT1_55280.1
OG0000164	FGIG_05689	SINT1_30450.2, SINT1_30450.3, SINT1_30450.1
OG0000165	FGIG_03682	SINT1_65110.2, SINT1_65110.1, SINT1_65110.4, SINT1_65110.6, SINT1_65110.5, SINT1_65110.3
