Orthogroup	fasciola_gigantica	opisthorchis_viverrini
OG0000043	FGIG_08366	T265_02563
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	T265_05071, T265_05072, T265_08625, T265_11935
OG0000049	FGIG_07932, FGIG_00477	T265_01286
OG0000049	FGIG_06077	T265_15552
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	T265_02127, T265_02652
OG0000052	FGIG_00994	T265_08730, T265_12065
OG0000052	FGIG_02824	T265_04421
OG0000052	FGIG_00459	T265_01537, T265_15906, T265_15950
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	T265_02480
OG0000052	FGIG_04502, FGIG_12676	T265_06797
OG0000053	FGIG_08393, FGIG_12440	T265_11166
OG0000054	FGIG_05300	T265_02804
OG0000054	FGIG_12516	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045
OG0000055	FGIG_03285, FGIG_05988	T265_07023
OG0000058	FGIG_11220	T265_07455
OG0000058	FGIG_06708	T265_13746
OG0000058	FGIG_10503	T265_14968, T265_14965, T265_09830, T265_12109, T265_14967
OG0000060	FGIG_07684	T265_13025
OG0000061	FGIG_09986	T265_02884
OG0000062	FGIG_00991	T265_10452
OG0000063	FGIG_03231	T265_09823
OG0000064	FGIG_12411, FGIG_06602	T265_15306
OG0000065	FGIG_09064	T265_05693
OG0000065	FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	FGIG_00170	T265_07972
OG0000068	FGIG_12158	T265_12520
OG0000068	FGIG_12079	T265_06616
OG0000068	FGIG_07351	T265_13582
OG0000068	FGIG_05814	T265_03815
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	T265_10197
OG0000071	FGIG_07065	T265_11263
OG0000071	FGIG_07067	T265_11264
OG0000072	FGIG_06022, FGIG_09056	T265_13598
OG0000073	FGIG_05759	T265_11926
OG0000074	FGIG_06125	T265_06662
OG0000074	FGIG_03273	T265_09755
OG0000074	FGIG_07718	T265_14825
OG0000074	FGIG_01338	T265_13709
OG0000075	FGIG_05387	T265_02596
OG0000076	FGIG_04288, FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	T265_01838
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	T265_09657, T265_14927
OG0000077	FGIG_09054	T265_07170
OG0000078	FGIG_04314	T265_10237, T265_16023
OG0000079	FGIG_07135, FGIG_07136	T265_03623
OG0000079	FGIG_05069, FGIG_05070	T265_11700
OG0000080	FGIG_03532	T265_07150, T265_07149
OG0000081	FGIG_05277, FGIG_11514	T265_01189, T265_06107, T265_02619, T265_12063
OG0000082	FGIG_06461	T265_13150
OG0000085	FGIG_06241	T265_03464, T265_13261, T265_16244
OG0000086	FGIG_09371	T265_13900
OG0000087	FGIG_03026	T265_01347, T265_12258
OG0000090	FGIG_01258	T265_02657, T265_14540
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	T265_04053
OG0000092	FGIG_06562	T265_14035, T265_15099
OG0000092	FGIG_11548	T265_03205
OG0000093	FGIG_04003	T265_08704
OG0000093	FGIG_05928	T265_01251, T265_15703
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	T265_06064, T265_06061, T265_06063
OG0000093	FGIG_00747	T265_06066
OG0000094	FGIG_00948	T265_06493
OG0000095	FGIG_01883	T265_08487
OG0000096	FGIG_03065	T265_09813
OG0000097	FGIG_06823	T265_02082
OG0000098	FGIG_08056	T265_08810
OG0000098	FGIG_08009	T265_15515
OG0000099	FGIG_01162	T265_01131
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	T265_02321
OG0000102	FGIG_11657	T265_01574
OG0000102	FGIG_04726, FGIG_06854	T265_05632
OG0000103	FGIG_06145, FGIG_13990	T265_13207
OG0000105	FGIG_00113	T265_07815
OG0000105	FGIG_06918	T265_03022
OG0000107	FGIG_03366, FGIG_08506	T265_07359
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	T265_04554, T265_13536
OG0000110	FGIG_03667	T265_08891, T265_08892
OG0000110	FGIG_06603	T265_08890, T265_12894
OG0000111	FGIG_04030	T265_09132
OG0000111	FGIG_04347	T265_08991, T265_14719
OG0000112	FGIG_09308, FGIG_06819	T265_10678
OG0000114	FGIG_00156	T265_15923, T265_05226, T265_11486
OG0000115	FGIG_02859	T265_14637
OG0000116	FGIG_03832, FGIG_01693	T265_02129
OG0000117	FGIG_02197	T265_11206
OG0000119	FGIG_05939, FGIG_05940	T265_12920
OG0000120	FGIG_06695	T265_09108
OG0000122	FGIG_06459, FGIG_06458	T265_15228, T265_15224
OG0000123	FGIG_06911	T265_02792
OG0000125	FGIG_12140, FGIG_05136	T265_13688
OG0000127	FGIG_10651, FGIG_01876	T265_14567
OG0000128	FGIG_02928	T265_14408
OG0000129	FGIG_01051	T265_07587
OG0000130	FGIG_06548, FGIG_01370	T265_04661
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	FGIG_04447, FGIG_04446	T265_00680
OG0000133	FGIG_10537	T265_04893
OG0000134	FGIG_03080	T265_14784
OG0000135	FGIG_08997	T265_07991, T265_11510
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	T265_11527
OG0000138	FGIG_10020	T265_11205
OG0000138	FGIG_00536, FGIG_00535	T265_13897
OG0000139	FGIG_04756	T265_03450
OG0000140	FGIG_05800	T265_06793, T265_05820
OG0000142	FGIG_01698	T265_03704
OG0000142	FGIG_06045	T265_07291, T265_15439
OG0000143	FGIG_03125	T265_04146, T265_13432
OG0000144	FGIG_04482	T265_01304
OG0000144	FGIG_02516	T265_12086
OG0000144	FGIG_08902	T265_06668
OG0000144	FGIG_02070	T265_13782
OG0000145	FGIG_06896	T265_14746
OG0000146	FGIG_01365, FGIG_01364	T265_07748
OG0000146	FGIG_07112	T265_07423, T265_07424
OG0000146	FGIG_08174	T265_08388
OG0000146	FGIG_12116	T265_03861
OG0000149	FGIG_08710	T265_03520
OG0000151	FGIG_00898	T265_06094
OG0000152	FGIG_02196	T265_06135
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	T265_16031, T265_12191, T265_02887, T265_13113
OG0000153	FGIG_06247	T265_01183, T265_12738, T265_12737, T265_01181
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	T265_03183
OG0000155	FGIG_01109	T265_08299
OG0000156	FGIG_01694	T265_00887, T265_16074
OG0000156	FGIG_10389, FGIG_01395	T265_03696
OG0000156	FGIG_06374	T265_15374
OG0000157	FGIG_01729	T265_06998, T265_11481
OG0000157	FGIG_07044, FGIG_07045	T265_01460, T265_12799
OG0000157	FGIG_03579	T265_09530, T265_09531, T265_14875
OG0000158	FGIG_05974	T265_10234, T265_16363
OG0000158	FGIG_05975	T265_15093
OG0000159	FGIG_07564	T265_08123
OG0000160	FGIG_05715	T265_10045
OG0000161	FGIG_08957	T265_02978
OG0000164	FGIG_12608, FGIG_03854	T265_13175
OG0000164	FGIG_01740	T265_00011
OG0000164	FGIG_10598	T265_00309
OG0000164	FGIG_05689	T265_07457
OG0000165	FGIG_03682	T265_11439
OG0000166	FGIG_04350	T265_10300
OG0000167	FGIG_09630	T265_06764
OG0000169	FGIG_03347	T265_05323, T265_13753, T265_13752
OG0000169	FGIG_04403, FGIG_00713	T265_14845
OG0000169	FGIG_02219	T265_02738
OG0000169	FGIG_02221	T265_02739
OG0000169	FGIG_02220	T265_02737
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	T265_12986
OG0000171	FGIG_01605	T265_13394, T265_04623
OG0000172	FGIG_02787, FGIG_02788	T265_00976
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	T265_02233
OG0000175	FGIG_00359	T265_14593, T265_08511
OG0000175	FGIG_00355	T265_08509
OG0000175	FGIG_00354	T265_08510, T265_14591
OG0000176	FGIG_00685	T265_07532, T265_09847
OG0000177	FGIG_04057, FGIG_04058	T265_00175
OG0000178	FGIG_04370	T265_14067, T265_06556, T265_06557
OG0000179	FGIG_08795, FGIG_10380	T265_00043
OG0000180	FGIG_12039	T265_07809
OG0000182	FGIG_02134	T265_01820, T265_01818
OG0000182	FGIG_00290	T265_15629, T265_15631
OG0000183	FGIG_02622	T265_03893
OG0000184	FGIG_03731	T265_08817, T265_08819
OG0000184	FGIG_03730	T265_01209, T265_01210, T265_16188
OG0000185	FGIG_07908	T265_08504
OG0000186	FGIG_00796	T265_11314
OG0000187	FGIG_10561, FGIG_02152	T265_00019
OG0000188	FGIG_03282	T265_08339
OG0000189	FGIG_03464	T265_02452, T265_02451
OG0000190	FGIG_04440	T265_05088
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	T265_04702, T265_04703
OG0000192	FGIG_06841, FGIG_06840	T265_05152, T265_13696
OG0000193	FGIG_11714	T265_12730
OG0000194	FGIG_07707	T265_13065
OG0000195	FGIG_08368	T265_01951
OG0000196	FGIG_11982	T265_01003
OG0000196	FGIG_03269	T265_08738
OG0000196	FGIG_11890	T265_13637
OG0000198	FGIG_06396	T265_15102
OG0000199	FGIG_03163	T265_11013
OG0000201	FGIG_05120	T265_08652
OG0000202	FGIG_07192	T265_10935
OG0000203	FGIG_08149	T265_11084
OG0000205	FGIG_02525	T265_09508
OG0000206	FGIG_03933	T265_14079
OG0000207	FGIG_05628, FGIG_09531	T265_08744, T265_03601, T265_08745
OG0000207	FGIG_12425	T265_03786
OG0000207	FGIG_10073	T265_10778
OG0000208	FGIG_04764	T265_08097
OG0000209	FGIG_06233	T265_07713
OG0000210	FGIG_06835, FGIG_08667	T265_02395, T265_06283
OG0000211	FGIG_06875	T265_11721
OG0000212	FGIG_07429, FGIG_07428	T265_13666
OG0000213	FGIG_08575	T265_00196
OG0000214	FGIG_09344	T265_07833
OG0000217	FGIG_02317, FGIG_02318	T265_09745
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	T265_14088
OG0000219	FGIG_07378	T265_02042
OG0000220	FGIG_07549	T265_02843
OG0000221	FGIG_04956, FGIG_04954, FGIG_08084	T265_08529, T265_14604
OG0000221	FGIG_05748	T265_05121
OG0000221	FGIG_00257	T265_05122, T265_16332
OG0000221	FGIG_00717, FGIG_00718	T265_16220, T265_14170
OG0000221	FGIG_02269	T265_06922
OG0000222	FGIG_00564	T265_06992
OG0000223	FGIG_00853	T265_10052
OG0000224	FGIG_01377, FGIG_01378	T265_04345
OG0000225	FGIG_02370, FGIG_02369	T265_12484
OG0000226	FGIG_02439, FGIG_12357	T265_14337
OG0000227	FGIG_04507, FGIG_04506	T265_07183
OG0000228	FGIG_04992	T265_08398
OG0000229	FGIG_10264, FGIG_05406, FGIG_12189	T265_08218, T265_14510
OG0000230	FGIG_06761, FGIG_06762	T265_12726
OG0000234	FGIG_01289	T265_10531
OG0000235	FGIG_07942, FGIG_02783, FGIG_02784	T265_12698, T265_01014
OG0000236	FGIG_05608	T265_03312
OG0000237	FGIG_06420	T265_01303
OG0000239	FGIG_07503, FGIG_08719	T265_04264
OG0000240	FGIG_10740, FGIG_10875	T265_07380, T265_07378
OG0000241	FGIG_00479	T265_06506, T265_11039
OG0000242	FGIG_01807	T265_13733
OG0000243	FGIG_00529, FGIG_00528	T265_05124
OG0000244	FGIG_11655, FGIG_00993	T265_15435
OG0000245	FGIG_01848	T265_14174, T265_14575
OG0000246	FGIG_06772	T265_10932
OG0000247	FGIG_09572	T265_15298
OG0000248	FGIG_10714	T265_04925
OG0000249	FGIG_11297	T265_03415
OG0000250	FGIG_12420, FGIG_11532	T265_06450
OG0000252	FGIG_01524	T265_02607
OG0000253	FGIG_02155	T265_10374
OG0000254	FGIG_02996	T265_06296, T265_06297
OG0000255	FGIG_03191	T265_13093
OG0000257	FGIG_03641, FGIG_07534	T265_14891
OG0000258	FGIG_05122	T265_07887
OG0000259	FGIG_05764	T265_11833
OG0000260	FGIG_05885	T265_02300
OG0000261	FGIG_06157	T265_01967
OG0000262	FGIG_08811, FGIG_08810	T265_02991
OG0000263	FGIG_09258	T265_01552
OG0000264	FGIG_11442	T265_06018
OG0000264	FGIG_10736	T265_00952
OG0000266	FGIG_00212, FGIG_00213	T265_04658, T265_12225
OG0000267	FGIG_00498	T265_06971
OG0000267	FGIG_00260	T265_06972
OG0000268	FGIG_06620	T265_01937
OG0000268	FGIG_10234	T265_14773
OG0000268	FGIG_00942	T265_15257
OG0000269	FGIG_02813	T265_07262
OG0000270	FGIG_03740, FGIG_02883	T265_05581
OG0000271	FGIG_04146, FGIG_09915, FGIG_04147	T265_15071
OG0000272	FGIG_07493	T265_06215
OG0000273	FGIG_07763	T265_01594
OG0000274	FGIG_07950	T265_09322
OG0000274	FGIG_10372	T265_12983
OG0000275	FGIG_08245	T265_10067
OG0000276	FGIG_08474	T265_02335
OG0000277	FGIG_08916	T265_11132, T265_06184
OG0000281	FGIG_04239	T265_06212
OG0000281	FGIG_10083	T265_15299
OG0000282	FGIG_11572, FGIG_01087	T265_14842
OG0000283	FGIG_01798	T265_15051
OG0000285	FGIG_03702, FGIG_03701	T265_08710
OG0000286	FGIG_08247, FGIG_09211	T265_04472
OG0000286	FGIG_06296	T265_04474, T265_04727
OG0000287	FGIG_07559	T265_10894
OG0000288	FGIG_08415	T265_09141
OG0000289	FGIG_11097	T265_15426
OG0000290	FGIG_06528	T265_15145
OG0000290	FGIG_00121	T265_12657
OG0000291	FGIG_00724, FGIG_00726	T265_04365
OG0000292	FGIG_01340, FGIG_10382	T265_06608
OG0000293	FGIG_03259	T265_03762
OG0000293	FGIG_10208, FGIG_04594	T265_15333
OG0000293	FGIG_06127	T265_10243
OG0000294	FGIG_03314	T265_09655
OG0000295	FGIG_04922	T265_14299
OG0000296	FGIG_05009	T265_14159, T265_14160
OG0000296	FGIG_07123, FGIG_07878, FGIG_07122	T265_05818
OG0000297	FGIG_05203	T265_10571
OG0000298	FGIG_10124	T265_13422
OG0000298	FGIG_05892	T265_13679
OG0000299	FGIG_06707	T265_00596
OG0000300	FGIG_06727	T265_13509
OG0000301	FGIG_07052	T265_12938
OG0000302	FGIG_07305	T265_10713
OG0000303	FGIG_11626	T265_14378
OG0000303	FGIG_07919	T265_07763
OG0000304	FGIG_09605	T265_12343, T265_14866
OG0000305	FGIG_09613, FGIG_09611, FGIG_12612	T265_05934
OG0000306	FGIG_11983, FGIG_10527	T265_14560
OG0000307	FGIG_12478	T265_07841
OG0000311	FGIG_01279	T265_00973
OG0000312	FGIG_09661, FGIG_01495, FGIG_09662	T265_01921
OG0000313	FGIG_03443	T265_09150
OG0000314	FGIG_03632	T265_01890
OG0000315	FGIG_03911	T265_11685, T265_11690
OG0000315	FGIG_07353, FGIG_07352	T265_04922
OG0000316	FGIG_04659, FGIG_09851	T265_01535
OG0000317	FGIG_05137	T265_05123
OG0000318	FGIG_05250	T265_07846, T265_14409
OG0000319	FGIG_06268, FGIG_06269	T265_01888
OG0000320	FGIG_00209	T265_07800
OG0000320	FGIG_08913	T265_04040
OG0000321	FGIG_00856, FGIG_00857	T265_04495
OG0000322	FGIG_01204	T265_16264, T265_11089, T265_16340
OG0000323	FGIG_02690	T265_03095
OG0000324	FGIG_04179	T265_14121, T265_06759
OG0000325	FGIG_04546	T265_01773
OG0000326	FGIG_04814	T265_00641, T265_03157
OG0000327	FGIG_06438, FGIG_08722, FGIG_11975	T265_02347, T265_09489, T265_09958, T265_07526
OG0000327	FGIG_09141	T265_14620, T265_02671, T265_02673
OG0000328	FGIG_09711	T265_14757, T265_16117
OG0000329	FGIG_11990	T265_09935
OG0000332	FGIG_00632	T265_06732
OG0000333	FGIG_01538	T265_12002, T265_16355
OG0000334	FGIG_02321	T265_01786, T265_13083
OG0000335	FGIG_02931	T265_00217
OG0000336	FGIG_05611	T265_10908
OG0000336	FGIG_03447	T265_00993
OG0000337	FGIG_07022	T265_00559
OG0000341	FGIG_01721	T265_00227, T265_10507, T265_02670, T265_11860, T265_02303
OG0000341	FGIG_05086	T265_07144, T265_12151, T265_10850, T265_01497, T265_10851
OG0000341	FGIG_03151, FGIG_03152, FGIG_00248, FGIG_06153, FGIG_04226, FGIG_06180, FGIG_09700, FGIG_12642, FGIG_00506, FGIG_00036, FGIG_06152, FGIG_03322, FGIG_03118, FGIG_11886, FGIG_00035, FGIG_05505, FGIG_05506, FGIG_05087, FGIG_05507	T265_12148
OG0000342	FGIG_05549	T265_06197
OG0000342	FGIG_00226	T265_12666
OG0000343	FGIG_01634, FGIG_01635	T265_13980
OG0000344	FGIG_01866	T265_08425
OG0000345	FGIG_01894	T265_05949
OG0000346	FGIG_01903	T265_11581
OG0000346	FGIG_09179	T265_02834
OG0000347	FGIG_02160, FGIG_12660	T265_10741
OG0000348	FGIG_03483	T265_16293, T265_14984, T265_16184
OG0000349	FGIG_04573, FGIG_04572, FGIG_06122	T265_04375
OG0000350	FGIG_04749	T265_06604
OG0000351	FGIG_05010	T265_06873
OG0000352	FGIG_05384, FGIG_11348, FGIG_05385	T265_13524
OG0000353	FGIG_06289	T265_07437
OG0000354	FGIG_10148, FGIG_09059	T265_10467
OG0000355	FGIG_10341, FGIG_12112, FGIG_12113	T265_00276, T265_16001
OG0000356	FGIG_10789, FGIG_10788, FGIG_10790	T265_05555
OG0000357	FGIG_12459	T265_04749
OG0000359	FGIG_00275	T265_02465
OG0000360	FGIG_01496	T265_09152
OG0000361	FGIG_02685, FGIG_02684	T265_00382
OG0000362	FGIG_02801	T265_09349
OG0000363	FGIG_03340, FGIG_03341, FGIG_03338	T265_04138
OG0000364	FGIG_03707	T265_04227
OG0000365	FGIG_12204, FGIG_04576	T265_13943
OG0000366	FGIG_06034, FGIG_09373, FGIG_12323	T265_09296, T265_14802
OG0000367	FGIG_07381	T265_01910
OG0000368	FGIG_07710, FGIG_12057	T265_13246, T265_13243
OG0000369	FGIG_08435	T265_07721, T265_07722
OG0000370	FGIG_08520	T265_00271, T265_00274, T265_03617, T265_00269, T265_00272
OG0000371	FGIG_08814	T265_06459
OG0000372	FGIG_08961	T265_01134, T265_03329
OG0000373	FGIG_12324, FGIG_09323	T265_14558
OG0000374	FGIG_09768	T265_11863
OG0000375	FGIG_10082	T265_06672, T265_10946
OG0000376	FGIG_10153, FGIG_11766, FGIG_11765	T265_11878
OG0000378	FGIG_11867	T265_05203
OG0000380	FGIG_10359	T265_11613
OG0000380	FGIG_01104	T265_15157
OG0000380	FGIG_10893, FGIG_11041	T265_03707
OG0000381	FGIG_01453	T265_00434, T265_15881
OG0000381	FGIG_01451, FGIG_01452	T265_00435
OG0000382	FGIG_01588, FGIG_06764	T265_02482
OG0000382	FGIG_02246	T265_12879
OG0000383	FGIG_01645, FGIG_01646	T265_08239
OG0000384	FGIG_01701	T265_09198, T265_09197
OG0000385	FGIG_11275, FGIG_08742	T265_11602
OG0000385	FGIG_01970	T265_01125
OG0000385	FGIG_08723, FGIG_08724	T265_09794
OG0000385	FGIG_09649, FGIG_08987	T265_09072
OG0000386	FGIG_07934, FGIG_07933, FGIG_05021, FGIG_05980	T265_11583
OG0000387	FGIG_05744, FGIG_12613	T265_06420
OG0000388	FGIG_06147	T265_11998
OG0000389	FGIG_06300	T265_00782
OG0000390	FGIG_06318	T265_11108, T265_11109
OG0000391	FGIG_06566, FGIG_07343	T265_09227
OG0000392	FGIG_06786	T265_14483
OG0000393	FGIG_06864	T265_15423
OG0000394	FGIG_12663, FGIG_07717	T265_08783
OG0000395	FGIG_07807	T265_08193
OG0000396	FGIG_07980	T265_13488
OG0000397	FGIG_07986	T265_01775
OG0000398	FGIG_08346	T265_10761
OG0000398	FGIG_08154	T265_10760
OG0000399	FGIG_08267	T265_14889, T265_03269
OG0000400	FGIG_12136, FGIG_08348	T265_14201, T265_08063, T265_08065
OG0000400	FGIG_09690, FGIG_09691	T265_10204
OG0000401	FGIG_10170, FGIG_10171	T265_05655
OG0000405	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541	T265_09724
OG0000406	FGIG_00915	T265_05341
OG0000407	FGIG_01328	T265_12731
OG0000408	FGIG_01770	T265_07479
OG0000409	FGIG_01990	T265_03788
OG0000410	FGIG_03157	T265_13515
OG0000411	FGIG_03726	T265_13195
OG0000412	FGIG_04797	T265_09842
OG0000413	FGIG_05095	T265_02540
OG0000414	FGIG_05869	T265_06878, T265_06876, T265_06877
OG0000415	FGIG_06429	T265_13626, T265_04888
OG0000416	FGIG_10985, FGIG_07789, FGIG_12457	T265_07350
OG0000416	FGIG_07250	T265_09488
OG0000417	FGIG_07860	T265_01300
OG0000418	FGIG_07977, FGIG_11738, FGIG_12450	T265_07406, T265_14544
OG0000419	FGIG_09307	T265_00950
OG0000420	FGIG_09853	T265_01216
OG0000421	FGIG_09942	T265_13603
OG0000422	FGIG_10041	T265_01327
OG0000425	FGIG_00596	T265_00752
OG0000426	FGIG_00984	T265_12440
OG0000427	FGIG_01900, FGIG_06350	T265_13396
OG0000428	FGIG_02141, FGIG_04993, FGIG_02140	T265_08399
OG0000429	FGIG_05114	T265_07901
OG0000429	FGIG_08773	T265_10847
OG0000430	FGIG_02540, FGIG_02734	T265_11497
OG0000431	FGIG_02682	T265_00379
OG0000432	FGIG_02953	T265_10186
OG0000433	FGIG_03051	T265_13054
OG0000434	FGIG_07436, FGIG_07788, FGIG_12172, FGIG_03250	T265_05326
OG0000435	FGIG_03380, FGIG_03381	T265_01204
OG0000436	FGIG_04181	T265_03713
OG0000437	FGIG_04672	T265_13806
OG0000438	FGIG_04722	T265_09760
OG0000439	FGIG_05052	T265_02427
OG0000440	FGIG_05435	T265_08332
OG0000441	FGIG_06666	T265_00253
OG0000441	FGIG_10681, FGIG_09295	T265_07836
OG0000442	FGIG_06753	T265_09824
OG0000444	FGIG_09462, FGIG_11910, FGIG_09471	T265_11552
OG0000445	FGIG_11201	T265_12793
OG0000447	FGIG_00135	T265_03299
OG0000448	FGIG_00556	T265_05426
OG0000449	FGIG_00826	T265_03361
OG0000450	FGIG_01291	T265_11348
OG0000450	FGIG_04679	T265_01101
OG0000451	FGIG_01553	T265_05748
OG0000452	FGIG_03230	T265_09821
OG0000453	FGIG_04192	T265_06719
OG0000454	FGIG_06158	T265_12900
OG0000454	FGIG_09647	T265_02660
OG0000455	FGIG_06485	T265_13543
OG0000456	FGIG_08883	T265_00028
OG0000457	FGIG_08921	T265_06520
OG0000458	FGIG_09209	T265_14731
OG0000459	FGIG_09431	T265_12673
OG0000460	FGIG_11773	T265_02173
OG0000465	FGIG_00532	T265_12004, T265_15852
OG0000466	FGIG_01561, FGIG_03877, FGIG_01560, FGIG_01559	T265_00717, T265_09088
OG0000467	FGIG_02474, FGIG_02706, FGIG_02707, FGIG_02708, FGIG_02710, FGIG_02709	T265_06392, T265_14024, T265_15837
OG0000468	FGIG_02572	T265_13212
OG0000469	FGIG_03009	T265_06265
OG0000470	FGIG_04092	T265_02354
OG0000471	FGIG_05330, FGIG_05331	T265_04176
OG0000472	FGIG_10508	T265_08287
OG0000472	FGIG_06143	T265_14526, T265_08288
OG0000473	FGIG_06411, FGIG_12123, FGIG_06410	T265_09380
OG0000474	FGIG_07254	T265_12460
OG0000475	FGIG_07645	T265_14673
OG0000476	FGIG_08382, FGIG_08383	T265_07244
OG0000477	FGIG_08447, FGIG_12672	T265_01343
OG0000478	FGIG_09003, FGIG_10674	T265_09689
OG0000479	FGIG_09169	T265_11380
