Orthogroup	fasciola_gigantica	trichobilharzia_regenti
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	TREG1_32260.1, TREG1_32260.2, TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2
OG0000066	FGIG_00170	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12
OG0000067	FGIG_02840, FGIG_02842	TREG1_91260.1
OG0000068	FGIG_12158	TREG1_71380.1
OG0000068	FGIG_12079	TREG1_131340.1, TREG1_131340.2
OG0000068	FGIG_07351	TREG1_55730.1
OG0000068	FGIG_05814	TREG1_49690.1
OG0000069	FGIG_12680, FGIG_06996	TREG1_21770.1, TREG1_21780.1
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	TREG1_42860.1
OG0000071	FGIG_07065, FGIG_07067	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2
OG0000072	FGIG_06022, FGIG_09056	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15
OG0000073	FGIG_05759	TREG1_65500.1, TREG1_65510.1
OG0000074	FGIG_06125	TREG1_9890.1
OG0000074	FGIG_03273	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2
OG0000074	FGIG_07718	TREG1_20790.1
OG0000074	FGIG_01338	TREG1_124660.1
OG0000075	FGIG_05387	TREG1_53440.1, TREG1_53440.2
OG0000076	FGIG_04288, FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	TREG1_126320.1, TREG1_126330.1
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	TREG1_910.2, TREG1_910.1, TREG1_920.1
OG0000077	FGIG_09054	TREG1_9470.1, TREG1_9470.2
OG0000078	FGIG_04314	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4
OG0000079	FGIG_07135, FGIG_07136	TREG1_52960.1
OG0000079	FGIG_05069, FGIG_05070	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3
OG0000080	FGIG_03532	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6
OG0000082	FGIG_06461	TREG1_7110.14, TREG1_7110.8, TREG1_7110.1, TREG1_7110.11, TREG1_7110.2, TREG1_7110.3, TREG1_7110.4, TREG1_7110.5, TREG1_7110.6, TREG1_7110.9, TREG1_7110.12, TREG1_7110.10, TREG1_7110.7, TREG1_7110.13
OG0000085	FGIG_06241	TREG1_54260.1, TREG1_54250.1
OG0000086	FGIG_09371	TREG1_100910.2, TREG1_100910.3, TREG1_100910.8, TREG1_100910.6, TREG1_100910.5, TREG1_100910.4, TREG1_100910.10, TREG1_100910.1, TREG1_100910.7, TREG1_100910.9
OG0000087	FGIG_03026	TREG1_69010.1
OG0000088	FGIG_14005, FGIG_05150	TREG1_18410.1, TREG1_18410.2, TREG1_18400.1, TREG1_18400.2, TREG1_18400.3
OG0000090	FGIG_01258	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	TREG1_63980.1, TREG1_63970.1
OG0000092	FGIG_06562	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7
OG0000092	FGIG_11548	TREG1_28070.1
OG0000093	FGIG_04003	TREG1_40800.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	TREG1_36490.1, TREG1_36500.1, TREG1_36510.1, TREG1_36520.1, TREG1_36540.1, TREG1_36560.1, TREG1_36550.1
OG0000094	FGIG_00948	TREG1_6800.1
OG0000095	FGIG_01883	TREG1_88160.1, TREG1_88160.2, TREG1_88160.4, TREG1_88160.5, TREG1_88160.3
OG0000096	FGIG_03065	TREG1_50750.1, TREG1_50750.4, TREG1_50750.5, TREG1_50750.6, TREG1_50750.2, TREG1_50750.3
OG0000097	FGIG_06823	TREG1_6190.1
OG0000098	FGIG_08056	TREG1_36530.1
OG0000098	FGIG_08009	TREG1_89850.1
OG0000099	FGIG_01162	TREG1_92100.1, TREG1_92090.1, TREG1_92150.1
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	TREG1_100730.1
OG0000102	FGIG_11657	TREG1_121500.1, TREG1_12110.1, TREG1_12100.1, TREG1_12100.2
OG0000102	FGIG_04726, FGIG_06854	TREG1_78640.2, TREG1_78640.1, TREG1_78640.3
OG0000103	FGIG_06145, FGIG_13990	TREG1_103240.4, TREG1_103240.8, TREG1_103240.1, TREG1_103240.2, TREG1_103240.7, TREG1_103240.9, TREG1_103240.5, TREG1_103240.3, TREG1_103240.6
OG0000104	FGIG_08148	TREG1_5890.1
OG0000105	FGIG_00113, FGIG_06918	TREG1_4000.1, TREG1_3990.1
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	TREG1_6870.5, TREG1_6870.6, TREG1_6870.4, TREG1_6870.3, TREG1_6870.1, TREG1_6870.2
OG0000110	FGIG_03667	TREG1_47950.1, TREG1_48000.1
OG0000110	FGIG_10562	TREG1_47940.1, TREG1_48010.1
OG0000110	FGIG_06603	TREG1_48030.1, TREG1_48020.1
OG0000111	FGIG_04030	TREG1_33100.1
OG0000111	FGIG_03777	TREG1_66640.1
OG0000111	FGIG_04347	TREG1_50000.1
OG0000112	FGIG_09308, FGIG_06819	TREG1_117660.1
OG0000114	FGIG_00156	TREG1_134270.1, TREG1_134270.2
OG0000115	FGIG_02859	TREG1_45770.1
OG0000116	FGIG_03832, FGIG_01693	TREG1_67890.4, TREG1_67890.2, TREG1_67890.5, TREG1_67890.1, TREG1_67890.3
OG0000117	FGIG_02197	TREG1_48240.1, TREG1_48240.4, TREG1_48240.2, TREG1_48240.3
OG0000118	FGIG_02831	TREG1_45530.1, TREG1_45530.2, TREG1_45520.2, TREG1_45520.7, TREG1_45520.1, TREG1_45520.3, TREG1_45520.4, TREG1_45520.5, TREG1_45520.6, TREG1_45610.1, TREG1_45620.1, TREG1_45560.1, TREG1_45640.1, TREG1_45640.2
OG0000119	FGIG_05939	TREG1_135860.5, TREG1_135860.3, TREG1_135860.4, TREG1_135860.7, TREG1_135860.6, TREG1_135860.9, TREG1_135860.10, TREG1_135860.1, TREG1_135860.2, TREG1_135860.11, TREG1_135860.8
OG0000120	FGIG_06695	TREG1_47680.6, TREG1_47680.10, TREG1_47680.1, TREG1_47680.2, TREG1_47680.3, TREG1_47680.5, TREG1_47680.8, TREG1_47680.9, TREG1_47680.4, TREG1_47680.7
OG0000122	FGIG_06459, FGIG_06458	TREG1_101160.8, TREG1_101160.1, TREG1_101160.2, TREG1_101160.7, TREG1_101160.3, TREG1_101160.4, TREG1_101160.5, TREG1_101160.6
OG0000123	FGIG_06911	TREG1_104380.1, TREG1_104380.2, TREG1_104380.3
OG0000125	FGIG_12140, FGIG_05136	TREG1_11410.12, TREG1_11410.5, TREG1_11410.7, TREG1_11410.11, TREG1_11410.3, TREG1_11410.4, TREG1_11410.8, TREG1_11410.1, TREG1_11410.2, TREG1_11410.10, TREG1_11410.6, TREG1_11410.9
OG0000126	FGIG_02836, FGIG_00047	TREG1_95210.1
OG0000127	FGIG_10651, FGIG_01876	TREG1_54350.1
OG0000128	FGIG_02928	TREG1_42700.1, TREG1_42710.1
OG0000129	FGIG_01051	TREG1_51790.1
OG0000130	FGIG_06548, FGIG_01370	TREG1_114030.3, TREG1_114030.1, TREG1_114030.2
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	TREG1_11060.2, TREG1_11060.5, TREG1_11060.1, TREG1_11060.4, TREG1_11060.6, TREG1_11060.3, TREG1_10880.1
OG0000132	FGIG_04447, FGIG_04446	TREG1_52710.1, TREG1_52710.2
OG0000133	FGIG_10537	TREG1_46850.1
OG0000134	FGIG_03080	TREG1_16070.6, TREG1_16070.7, TREG1_16070.4, TREG1_16070.1, TREG1_16070.10, TREG1_16070.11, TREG1_16070.12, TREG1_16070.13, TREG1_16070.16, TREG1_16070.18, TREG1_16070.19, TREG1_16070.20, TREG1_16070.22, TREG1_16070.23, TREG1_16070.8, TREG1_16070.9, TREG1_16070.15, TREG1_16070.2, TREG1_16070.17, TREG1_16070.21, TREG1_16070.3, TREG1_16070.5, TREG1_16070.14
OG0000135	FGIG_08997	TREG1_30030.1
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	TREG1_10930.1, TREG1_10930.3, TREG1_10930.6, TREG1_10930.7, TREG1_10930.4, TREG1_10930.5, TREG1_10930.2
OG0000138	FGIG_10020	TREG1_120930.1, TREG1_120930.3, TREG1_120930.2
OG0000138	FGIG_00536, FGIG_00535	TREG1_35980.1, TREG1_35980.2, TREG1_35980.4, TREG1_35980.3
OG0000139	FGIG_04756	TREG1_3840.1
OG0000140	FGIG_05800	TREG1_105170.1, TREG1_105160.1
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	TREG1_22240.1, TREG1_22210.1, TREG1_22220.1, TREG1_22220.2, TREG1_22230.1, TREG1_22250.1
OG0000143	FGIG_03125	TREG1_90200.1, TREG1_92810.1, TREG1_92810.2, TREG1_92840.1, TREG1_90670.8, TREG1_90800.1, TREG1_92750.1, TREG1_92750.2, TREG1_92750.3, TREG1_92750.4, TREG1_92820.1, TREG1_93230.1, TREG1_92670.1, TREG1_92680.1, TREG1_92710.2, TREG1_92760.1, TREG1_92770.1, TREG1_92710.1, TREG1_92780.1, TREG1_92620.1, TREG1_92650.1, TREG1_93270.1, TREG1_93280.1, TREG1_93260.1, TREG1_93290.1, TREG1_93240.1, TREG1_93250.1, TREG1_92660.1, TREG1_138470.1, TREG1_92610.1, TREG1_92610.2, TREG1_92640.1, TREG1_92740.1, TREG1_92800.1, TREG1_92790.1, TREG1_92830.1, TREG1_92830.2
OG0000144	FGIG_04482	TREG1_75080.1, TREG1_75090.1
OG0000144	FGIG_02516	TREG1_59650.1, TREG1_72000.1
OG0000144	FGIG_08902, FGIG_02070	TREG1_72690.1, TREG1_72690.2, TREG1_72690.3, TREG1_72690.4, TREG1_72690.5
OG0000145	FGIG_06896	TREG1_34360.10, TREG1_34360.1, TREG1_34360.2, TREG1_34360.6, TREG1_34360.8, TREG1_34360.9, TREG1_34360.12, TREG1_34360.7, TREG1_34360.3, TREG1_34360.4, TREG1_34360.5, TREG1_34360.11
OG0000146	FGIG_01365, FGIG_01364	TREG1_125040.1
OG0000146	FGIG_07112	TREG1_76210.1
OG0000146	FGIG_08174	TREG1_46270.1
OG0000146	FGIG_12116	TREG1_67040.1
OG0000147	FGIG_03610	TREG1_44400.1, TREG1_44400.2, TREG1_44400.3, TREG1_44400.4
OG0000149	FGIG_08710	TREG1_71310.1
OG0000151	FGIG_00898	TREG1_90300.1
OG0000152	FGIG_02196	TREG1_21080.1, TREG1_21100.1
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	TREG1_76680.1, TREG1_76700.1, TREG1_76710.1, TREG1_76680.2, TREG1_76670.1, TREG1_76670.2, TREG1_76670.3, TREG1_76670.4, TREG1_76660.1, TREG1_76660.2, TREG1_76550.1, TREG1_76560.1
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	TREG1_22920.1
OG0000155	FGIG_01109	TREG1_140290.2, TREG1_140290.3, TREG1_140290.4, TREG1_140290.1, TREG1_52850.1, TREG1_52850.2
OG0000156	FGIG_01694	TREG1_22430.1, TREG1_22430.2
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	TREG1_22440.3, TREG1_22440.2, TREG1_22440.1
OG0000157	FGIG_01729	TREG1_84400.1, TREG1_84400.2
OG0000157	FGIG_07044, FGIG_07045	TREG1_34700.1, TREG1_34700.2
OG0000157	FGIG_03579	TREG1_136430.1, TREG1_136430.2, TREG1_136430.3, TREG1_136430.4
OG0000158	FGIG_05974	TREG1_1680.1
OG0000158	FGIG_05975	TREG1_1690.1
OG0000159	FGIG_07564	TREG1_81430.7, TREG1_81430.8, TREG1_81430.14, TREG1_81430.3, TREG1_81430.12, TREG1_81430.15, TREG1_81430.16, TREG1_81430.2, TREG1_81430.4, TREG1_81430.9, TREG1_81430.10, TREG1_81430.13, TREG1_81430.17, TREG1_81430.5, TREG1_81430.6, TREG1_81430.1, TREG1_81430.11, TREG1_81430.18, TREG1_81430.19
OG0000160	FGIG_05715	TREG1_14540.1, TREG1_14530.1
OG0000161	FGIG_08957	TREG1_57250.1, TREG1_57250.5, TREG1_57250.3, TREG1_57250.4, TREG1_57250.6, TREG1_57250.2
OG0000164	FGIG_12608, FGIG_03854	TREG1_84950.1
OG0000164	FGIG_01740	TREG1_100490.1
OG0000164	FGIG_10598	TREG1_73320.1, TREG1_73320.2
OG0000164	FGIG_05689	TREG1_49020.1
OG0000165	FGIG_03682	TREG1_88100.6, TREG1_88100.1, TREG1_88100.7, TREG1_88100.3, TREG1_88100.4, TREG1_88100.5, TREG1_88100.2, TREG1_88100.8
OG0000166	FGIG_04350	TREG1_119010.3, TREG1_119010.9, TREG1_119010.6, TREG1_119010.8, TREG1_119010.2, TREG1_119010.4, TREG1_119010.5, TREG1_119010.1, TREG1_119010.7
OG0000167	FGIG_09630	TREG1_107550.2, TREG1_107550.1, TREG1_107550.3
OG0000169	FGIG_03347	TREG1_133010.1
OG0000169	FGIG_04403, FGIG_00713	TREG1_133850.1
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	TREG1_133150.1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	TREG1_103200.3, TREG1_103200.1, TREG1_103200.2
OG0000171	FGIG_01605	TREG1_11160.1, TREG1_38450.1
OG0000172	FGIG_02787, FGIG_02788	TREG1_21360.1
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	TREG1_118700.1
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	TREG1_57480.1, TREG1_57470.1, TREG1_57460.1, TREG1_57450.1
OG0000176	FGIG_00685	TREG1_41410.1, TREG1_31270.1, TREG1_86660.1, TREG1_104340.1, TREG1_33480.1, TREG1_93490.1, TREG1_46390.1, TREG1_93100.1
OG0000177	FGIG_04057, FGIG_04058	TREG1_78220.6, TREG1_78220.8, TREG1_78220.3, TREG1_78220.2, TREG1_78220.5, TREG1_78220.1, TREG1_78220.7, TREG1_78220.4
OG0000178	FGIG_04370	TREG1_43450.2, TREG1_43450.1, TREG1_43450.3
OG0000179	FGIG_08795, FGIG_10380	TREG1_74820.1, TREG1_74820.2, TREG1_74810.1
OG0000180	FGIG_12039	TREG1_112250.1, TREG1_112250.2, TREG1_112250.3
OG0000182	FGIG_02134	TREG1_79160.5, TREG1_79160.4, TREG1_79160.1, TREG1_79160.2, TREG1_79160.3, TREG1_79170.1
OG0000182	FGIG_00290	TREG1_50210.3, TREG1_50210.1, TREG1_50210.2
OG0000183	FGIG_02622	TREG1_47830.1, TREG1_47830.2, TREG1_47830.3
OG0000184	FGIG_03731	TREG1_65710.1, TREG1_65760.1, TREG1_65740.1, TREG1_65730.1, TREG1_65770.1, TREG1_65720.1
OG0000184	FGIG_03730	TREG1_65700.1, TREG1_65700.3, TREG1_65700.2, TREG1_65700.4, TREG1_65640.1, TREG1_65650.1, TREG1_65660.1, TREG1_65680.1, TREG1_65690.1
OG0000185	FGIG_07908	TREG1_49370.1, TREG1_49380.1
OG0000186	FGIG_00796	TREG1_101700.1, TREG1_101700.2
OG0000187	FGIG_10561, FGIG_02152	TREG1_72910.1, TREG1_72910.2, TREG1_72910.3
OG0000188	FGIG_03282	TREG1_45440.1, TREG1_58510.1, TREG1_58510.2, TREG1_58510.3, TREG1_58510.4
OG0000189	FGIG_03464	TREG1_8570.1, TREG1_8570.2, TREG1_8570.4, TREG1_8570.5, TREG1_8570.3
OG0000190	FGIG_04440	TREG1_68900.10, TREG1_68900.14, TREG1_68900.16, TREG1_68900.4, TREG1_68900.7, TREG1_68900.1, TREG1_68900.11, TREG1_68900.2, TREG1_68900.17, TREG1_68900.5, TREG1_68900.12, TREG1_68900.6, TREG1_68900.13, TREG1_68900.15, TREG1_68900.3, TREG1_68900.8, TREG1_68900.9
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	TREG1_34230.2, TREG1_34190.3, TREG1_34240.1, TREG1_34230.1, TREG1_34230.3, TREG1_34190.4, TREG1_34160.1, TREG1_34190.6, TREG1_34170.1, TREG1_34180.1, TREG1_34190.1, TREG1_34200.1, TREG1_34190.2, TREG1_34210.1
OG0000192	FGIG_06841, FGIG_06840	TREG1_86440.5, TREG1_86440.2, TREG1_86440.1, TREG1_86440.3, TREG1_86440.4
OG0000193	FGIG_11714, FGIG_07076	TREG1_79090.2, TREG1_79090.5, TREG1_79090.8, TREG1_79090.4, TREG1_79090.7, TREG1_79090.1, TREG1_79090.3, TREG1_79090.6
OG0000194	FGIG_07707	TREG1_107490.3, TREG1_107490.1, TREG1_107490.2
OG0000195	FGIG_08368	TREG1_69360.1
