Orthogroup	fasciola_gigantica	s.mekongi
OG0000112	FGIG_09308, FGIG_06819	KAK4468035.1
OG0000114	FGIG_00156	KAK4467770.1
OG0000115	FGIG_02859	KAK4473986.1
OG0000116	FGIG_03832, FGIG_01693	KAK4469396.1
OG0000117	FGIG_02197	KAK4472459.1
OG0000118	FGIG_02831	KAK4473725.1, KAK4473729.1, KAK4473727.1, KAK4473726.1, KAK4473728.1
OG0000119	FGIG_05939	KAK4467682.1
OG0000120	FGIG_06695	KAK4472468.1
OG0000122	FGIG_06459, FGIG_06458	KAK4470066.1
OG0000123	FGIG_06911	KAK4470855.1
OG0000125	FGIG_12140, FGIG_05136	KAK4474534.1
OG0000126	FGIG_02836, FGIG_00047	KAK4470546.1
OG0000127	FGIG_10651, FGIG_01876	KAK4475492.1
OG0000128	FGIG_02928	KAK4473532.1
OG0000129	FGIG_01051	KAK4474206.1
OG0000130	FGIG_06548, FGIG_01370	KAK4467983.1
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	KAK4476229.1, KAK4468902.1
OG0000132	FGIG_04447, FGIG_04446	KAK4474101.1
OG0000133	FGIG_10537	KAK4472626.1
OG0000134	FGIG_03080	KAK4475011.1
OG0000135	FGIG_08997	KAK4474731.1
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	KAK4476189.1, KAK4476190.1
OG0000138	FGIG_10020	KAK4468744.1
OG0000138	FGIG_00536, FGIG_00535	KAK4473697.1
OG0000139	FGIG_04756	KAK4475677.1
OG0000140	FGIG_05800	KAK4470680.1, KAK4470033.1
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	KAK4475021.1, KAK4475019.1, KAK4475022.1
OG0000143	FGIG_03125	KAK4471520.1, KAK4471522.1
OG0000144	FGIG_04482	KAK4469871.1
OG0000144	FGIG_02516	KAK4473145.1
OG0000144	FGIG_08902, FGIG_02070	KAK4469772.1
OG0000145	FGIG_06896	KAK4472181.1
OG0000146	FGIG_01364	KAK4468443.1
OG0000146	FGIG_07112	KAK4469748.1
OG0000146	FGIG_08174	KAK4472748.1
OG0000146	FGIG_12116	KAK4469097.1
OG0000147	FGIG_03610	KAK4474043.1
OG0000148	FGIG_05123, FGIG_04713	KAK4472662.1
OG0000149	FGIG_08710	KAK4469180.1
OG0000151	FGIG_00898	KAK4471438.1, KAK4471439.1
OG0000152	FGIG_02196	KAK4474412.1
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	KAK4469387.1
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	KAK4475184.1, KAK4475186.1
OG0000155	FGIG_01109	KAK4473822.1
OG0000156	FGIG_01694	KAK4475038.1
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	KAK4475039.1
OG0000157	FGIG_01729	KAK4471808.1
OG0000157	FGIG_07044, FGIG_07045	KAK4472697.1
OG0000157	FGIG_03579	KAK4467690.1
OG0000158	FGIG_05975	KAK4475829.1, KAK4473934.1, KAK4475828.1
OG0000159	FGIG_07564	KAK4471746.1
OG0000160	FGIG_05715	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1
OG0000161	FGIG_08957	KAK4474169.1
OG0000164	FGIG_12608, FGIG_03854	KAK4471960.1
OG0000164	FGIG_01740	KAK4470406.1
OG0000164	FGIG_10598	KAK4469800.1
OG0000164	FGIG_05689	KAK4472495.1
OG0000165	FGIG_03682	KAK4471264.1
OG0000167	FGIG_09630	KAK4470364.1
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	KAK4467718.1, KAK4467716.1, KAK4467717.1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	KAK4470632.1
OG0000172	FGIG_02787, FGIG_02788	KAK4475142.1
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	KAK4468268.1
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	KAK4473136.1, KAK4473125.1, KAK4473114.1, KAK4473106.1
OG0000177	FGIG_04057, FGIG_04058	KAK4472104.1
OG0000178	FGIG_04370	KAK4472894.1
OG0000179	FGIG_08795, FGIG_10380	KAK4469016.1, KAK4469902.1
OG0000180	FGIG_12039	KAK4468049.1, KAK4468060.1, KAK4468069.1, KAK4468040.1
OG0000182	FGIG_02134	KAK4471145.1
OG0000182	FGIG_00290	KAK4472799.1
OG0000183	FGIG_02622	KAK4472516.1
OG0000184	FGIG_03731	KAK4469199.1
OG0000184	FGIG_03730	KAK4469198.1
OG0000185	FGIG_07908	KAK4472507.1
OG0000186	FGIG_00796	KAK4470241.1, KAK4470242.1
OG0000187	FGIG_10561, FGIG_02152	KAK4469682.1
OG0000188	FGIG_03282	KAK4472612.1
OG0000189	FGIG_03464	KAK4476062.1
OG0000190	FGIG_04440	KAK4469926.1
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	KAK4473909.1, KAK4473910.1
OG0000192	FGIG_06841, FGIG_06840	KAK4471381.1
OG0000193	FGIG_11714, FGIG_07076	KAK4471189.1
OG0000194	FGIG_07707	KAK4470371.1
OG0000195	FGIG_08368	KAK4469314.1
OG0000196	FGIG_11982, FGIG_03269	KAK4468938.1
OG0000196	FGIG_11890	KAK4474524.1
OG0000198	FGIG_06396	KAK4474280.1
OG0000199	FGIG_03163	KAK4472571.1
OG0000201	FGIG_05120	KAK4473643.1
OG0000202	FGIG_07192	KAK4469384.1
OG0000203	FGIG_08149	KAK4472530.1, KAK4472529.1
OG0000205	FGIG_02525	KAK4475157.1
OG0000206	FGIG_03933	KAK4474171.1
OG0000207	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073	KAK4474093.1, KAK4474090.1, KAK4474092.1, KAK4474089.1, KAK4474091.1
OG0000208	FGIG_04764	KAK4470297.1
OG0000209	FGIG_06233	KAK4476246.1
OG0000210	FGIG_06835, FGIG_08667	KAK4468068.1
OG0000211	FGIG_06875	KAK4476043.1
OG0000212	FGIG_07429, FGIG_07428	KAK4473242.1
OG0000213	FGIG_08575	KAK4474754.1
OG0000214	FGIG_09344	KAK4475773.1
OG0000217	FGIG_02317, FGIG_02318	KAK4472243.1
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	KAK4474847.1
OG0000219	FGIG_07378	KAK4471869.1
OG0000220	FGIG_07549	KAK4470648.1
OG0000221	FGIG_04956, FGIG_04954, FGIG_08084	KAK4476180.1
OG0000221	FGIG_02269	KAK4467410.1, KAK4475529.1
OG0000222	FGIG_00564	KAK4470706.1
OG0000223	FGIG_00853	KAK4476292.1
OG0000224	FGIG_01377, FGIG_01378	KAK4475913.1
OG0000225	FGIG_02370, FGIG_02369	KAK4475585.1
OG0000226	FGIG_02439, FGIG_12357	KAK4474133.1
OG0000227	FGIG_04507, FGIG_04506	KAK4471428.1
OG0000228	FGIG_04992	KAK4473445.1
OG0000229	FGIG_10264, FGIG_05406, FGIG_12189	KAK4472065.1
OG0000230	FGIG_06761, FGIG_06762	KAK4471407.1
OG0000234	FGIG_01289	KAK4473948.1
OG0000235	FGIG_07942, FGIG_02783, FGIG_02784	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1
OG0000236	FGIG_05608	KAK4469919.1
OG0000237	FGIG_06420	KAK4469703.1
OG0000238	FGIG_07333	KAK4473873.1
OG0000239	FGIG_07503, FGIG_08719	KAK4473024.1
OG0000240	FGIG_10740, FGIG_10875	KAK4472743.1
OG0000241	FGIG_00479	KAK4476019.1, KAK4476020.1
OG0000242	FGIG_01807	KAK4475949.1
OG0000243	FGIG_00529, FGIG_00528	KAK4475854.1, KAK4475855.1
OG0000244	FGIG_11655, FGIG_00993	KAK4475963.1
OG0000245	FGIG_01848	KAK4475214.1
OG0000246	FGIG_06772	KAK4472531.1
OG0000247	FGIG_09572	KAK4475795.1
OG0000248	FGIG_10714	KAK4471206.1
OG0000249	FGIG_11297	KAK4475119.1
OG0000250	FGIG_12420, FGIG_11532	KAK4473679.1
OG0000252	FGIG_01524	KAK4473757.1
OG0000253	FGIG_02155	KAK4474966.1
OG0000254	FGIG_02996	KAK4476211.1
OG0000255	FGIG_03191	KAK4472819.1
OG0000256	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257	KAK4472234.1, KAK4474108.1
OG0000257	FGIG_03641, FGIG_07534	KAK4472840.1
OG0000258	FGIG_05122	KAK4474630.1, KAK4474631.1
OG0000259	FGIG_05764	KAK4472857.1
OG0000260	FGIG_05885	KAK4475472.1
OG0000261	FGIG_06157	KAK4471010.1
OG0000262	FGIG_08811, FGIG_08810	KAK4472696.1
OG0000263	FGIG_09258	KAK4471877.1
OG0000264	FGIG_11442	KAK4468105.1
OG0000264	FGIG_10736	KAK4475793.1, KAK4467257.1
OG0000267	FGIG_00498, FGIG_00260	KAK4468325.1, KAK4468328.1
OG0000268	FGIG_06620	KAK4470182.1
OG0000268	FGIG_10234	KAK4476119.1
OG0000269	FGIG_02813	KAK4475673.1, KAK4467473.1
OG0000270	FGIG_03740, FGIG_02883	KAK4472943.1
OG0000271	FGIG_04146, FGIG_09915, FGIG_04147	KAK4469463.1
OG0000272	FGIG_07493	KAK4474616.1
OG0000273	FGIG_07763	KAK4476008.1
OG0000274	FGIG_10372	KAK4470994.1
OG0000275	FGIG_08245	KAK4473868.1
OG0000276	FGIG_08474	KAK4470557.1
OG0000277	FGIG_08916	KAK4468906.1
OG0000281	FGIG_00516	KAK4467957.1
OG0000281	FGIG_04239	KAK4474290.1
OG0000281	FGIG_10083	KAK4474343.1
OG0000282	FGIG_11572, FGIG_01087	KAK4469862.1
OG0000283	FGIG_01798	KAK4471958.1
OG0000284	FGIG_03458	KAK4473458.1
OG0000285	FGIG_03702, FGIG_03701	KAK4474033.1
OG0000286	FGIG_08247, FGIG_09211, FGIG_06296	KAK4473497.1
OG0000287	FGIG_07559	KAK4470322.1
OG0000288	FGIG_08415	KAK4468827.1
OG0000289	FGIG_11097	KAK4474869.1
OG0000290	FGIG_06528	KAK4473084.1
OG0000290	FGIG_00121	KAK4475486.1
OG0000291	FGIG_00724, FGIG_00726	KAK4475323.1
OG0000292	FGIG_01340, FGIG_10382	KAK4472551.1
OG0000293	FGIG_03259	KAK4473120.1
OG0000293	FGIG_10208, FGIG_04594	KAK4471757.1
OG0000293	FGIG_06127	KAK4469130.1
OG0000294	FGIG_03314	KAK4475667.1, KAK4467246.1
OG0000295	FGIG_04922	KAK4468851.1
OG0000296	FGIG_05009	KAK4475927.1
OG0000296	FGIG_07123, FGIG_07878, FGIG_07122	KAK4475928.1
OG0000297	FGIG_05203	KAK4470949.1
OG0000298	FGIG_10124	KAK4473556.1
OG0000298	FGIG_05892	KAK4473971.1
OG0000299	FGIG_06707	KAK4471833.1
OG0000300	FGIG_06727	KAK4474560.1
OG0000301	FGIG_07052	KAK4470788.1
OG0000302	FGIG_07305	KAK4472070.1
OG0000304	FGIG_09605	KAK4474657.1, KAK4474658.1
OG0000305	FGIG_09613, FGIG_09611, FGIG_12612	KAK4469933.1
OG0000306	FGIG_11983, FGIG_10527	KAK4474242.1, KAK4476079.1
OG0000307	FGIG_12478	KAK4476060.1, KAK4468423.1
OG0000311	FGIG_01279	KAK4475143.1
OG0000312	FGIG_09661, FGIG_01495, FGIG_09662	KAK4472510.1
OG0000313	FGIG_03443	KAK4467534.1, KAK4467392.1, KAK4467538.1
OG0000314	FGIG_03632	KAK4473872.1
OG0000315	FGIG_03911	KAK4472350.1
OG0000315	FGIG_07353, FGIG_07352	KAK4471203.1
OG0000316	FGIG_04659, FGIG_09851	KAK4475212.1
OG0000317	FGIG_05137	KAK4474513.1, KAK4474523.1
OG0000318	FGIG_05250	KAK4468970.1, KAK4467294.1
OG0000319	FGIG_06268, FGIG_06269	KAK4472555.1
OG0000320	FGIG_02124	KAK4475005.1
OG0000320	FGIG_00209	KAK4472423.1
OG0000320	FGIG_08913	KAK4469809.1
OG0000321	FGIG_00856, FGIG_00857	KAK4473857.1
OG0000322	FGIG_01204	KAK4473133.1
OG0000324	FGIG_04179	KAK4469242.1
OG0000325	FGIG_04546	KAK4470078.1
OG0000326	FGIG_04814	KAK4472025.1
OG0000328	FGIG_09711	KAK4472902.1
OG0000329	FGIG_11990	KAK4474582.1
OG0000332	FGIG_00632	KAK4471340.1
OG0000333	FGIG_01538	KAK4475969.1
OG0000334	FGIG_02321	KAK4467411.1, KAK4470467.1
OG0000335	FGIG_02931	KAK4475523.1
OG0000336	FGIG_05611	KAK4475727.1
OG0000336	FGIG_03447	KAK4474964.1
OG0000337	FGIG_07022	KAK4472168.1
OG0000341	FGIG_04690, FGIG_09203, FGIG_06869	KAK4467467.1
OG0000341	FGIG_01721, FGIG_05086, FGIG_03151, FGIG_03152, FGIG_00248, FGIG_06153, FGIG_04226, FGIG_06180, FGIG_09700, FGIG_12642, FGIG_00506, FGIG_00036, FGIG_06152, FGIG_03322, FGIG_03118, FGIG_11886, FGIG_00035, FGIG_05505, FGIG_05506, FGIG_05087, FGIG_05507	KAK4467250.1
OG0000342	FGIG_05549	KAK4475138.1
OG0000342	FGIG_00226	KAK4475114.1
OG0000343	FGIG_01634, FGIG_01635	KAK4472517.1
OG0000344	FGIG_01866	KAK4475916.1
OG0000345	FGIG_01894	KAK4469954.1
OG0000346	FGIG_09179	KAK4467924.1
OG0000347	FGIG_02160, FGIG_12660	KAK4472404.1
OG0000348	FGIG_03483	KAK4475811.1, KAK4467403.1, KAK4475810.1
OG0000349	FGIG_04573, FGIG_04572, FGIG_06122	KAK4474470.1
OG0000350	FGIG_04749	KAK4473804.1
OG0000351	FGIG_05010	KAK4475929.1
OG0000352	FGIG_05384, FGIG_11348, FGIG_05385	KAK4474141.1
OG0000353	FGIG_06289	KAK4470494.1
OG0000354	FGIG_10148, FGIG_09059	KAK4475576.1
OG0000355	FGIG_10341, FGIG_12112, FGIG_12113	KAK4476092.1
OG0000356	FGIG_10789, FGIG_10788, FGIG_10790	KAK4476066.1
OG0000357	FGIG_12459	KAK4473507.1
OG0000359	FGIG_00275	KAK4474769.1
OG0000360	FGIG_01496	KAK4475054.1
OG0000361	FGIG_02685, FGIG_02684	KAK4469276.1
OG0000362	FGIG_02801	KAK4471736.1
OG0000363	FGIG_03340, FGIG_03341, FGIG_03338	KAK4473533.1
OG0000364	FGIG_03707	KAK4472841.1
OG0000365	FGIG_12204, FGIG_04576	KAK4471088.1, KAK4472119.1
OG0000366	FGIG_06034, FGIG_09373, FGIG_12323	KAK4469245.1
OG0000367	FGIG_07381	KAK4472601.1
OG0000368	FGIG_07710, FGIG_12057	KAK4475121.1
OG0000369	FGIG_08435	KAK4467393.1, KAK4475644.1
OG0000370	FGIG_08520	KAK4473705.1
OG0000371	FGIG_08814	KAK4473814.1
OG0000372	FGIG_08961	KAK4474367.1, KAK4474369.1
OG0000373	FGIG_12324, FGIG_09323	KAK4474690.1
OG0000374	FGIG_09768	KAK4473375.1
OG0000375	FGIG_10082	KAK4475736.1, KAK4467517.1
OG0000376	FGIG_10153, FGIG_11766, FGIG_11765	KAK4471759.1
OG0000378	FGIG_11867	KAK4473152.1
OG0000380	FGIG_01104, FGIG_10893, FGIG_11041	KAK4475417.1
OG0000380	FGIG_00695	KAK4475418.1
OG0000381	FGIG_01453	KAK4469535.1
OG0000381	FGIG_01451, FGIG_01452	KAK4469537.1
OG0000382	FGIG_01588, FGIG_06764	KAK4468567.1, KAK4468564.1, KAK4468566.1, KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1
OG0000383	FGIG_01645, FGIG_01646	KAK4473926.1
OG0000384	FGIG_01701	KAK4472592.1
OG0000385	FGIG_01970	KAK4471741.1
OG0000386	FGIG_07934, FGIG_07933, FGIG_05021, FGIG_05980	KAK4475366.1
OG0000387	FGIG_05744, FGIG_12613	KAK4475570.1
OG0000388	FGIG_06147	KAK4468526.1
OG0000389	FGIG_06300	KAK4470603.1
OG0000390	FGIG_06318	KAK4468203.1
OG0000391	FGIG_06566, FGIG_07343	KAK4474521.1
OG0000392	FGIG_06786	KAK4471811.1
OG0000393	FGIG_06864	KAK4469470.1
OG0000394	FGIG_12663, FGIG_07717	KAK4471941.1
OG0000395	FGIG_07807	KAK4470950.1
OG0000396	FGIG_07980	KAK4467519.1, KAK4475731.1
OG0000397	FGIG_07986	KAK4470932.1
OG0000398	FGIG_08346, FGIG_08154	KAK4475045.1, KAK4475519.1, KAK4475514.1
OG0000399	FGIG_08267	KAK4473103.1, KAK4473104.1
OG0000400	FGIG_12136, FGIG_08348, FGIG_09690, FGIG_09691	KAK4473612.1, KAK4473602.1, KAK4474079.1
OG0000401	FGIG_10170, FGIG_10171	KAK4467755.1
OG0000402	FGIG_12370, FGIG_11519, FGIG_12593	KAK4474603.1
OG0000403	FGIG_11602	KAK4475601.1, KAK4475602.1
OG0000405	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541	KAK4473889.1
OG0000406	FGIG_00915	KAK4473809.1
OG0000407	FGIG_01328	KAK4471734.1
OG0000408	FGIG_01770	KAK4472973.1
OG0000409	FGIG_01990	KAK4468703.1
OG0000410	FGIG_06197	KAK4471325.1
OG0000411	FGIG_03726	KAK4472925.1
OG0000412	FGIG_04797	KAK4470212.1
OG0000413	FGIG_05095	KAK4471924.1
OG0000414	FGIG_05869	KAK4475938.1
OG0000415	FGIG_06429	KAK4472715.1
OG0000416	FGIG_10985, FGIG_07789, FGIG_12457	KAK4468438.1
OG0000416	FGIG_07250	KAK4468726.1
OG0000417	FGIG_07860	KAK4469705.1
OG0000418	FGIG_07977, FGIG_11738, FGIG_12450	KAK4467700.1
OG0000419	FGIG_09307	KAK4475912.1, KAK4475910.1
OG0000420	FGIG_09853	KAK4469112.1
OG0000421	FGIG_09942	KAK4471594.1
OG0000422	FGIG_10041	KAK4469383.1
OG0000425	FGIG_00596	KAK4472740.1
OG0000426	FGIG_00984	KAK4469886.1, KAK4469884.1
OG0000427	FGIG_01900, FGIG_06350	KAK4469545.1
OG0000428	FGIG_02141, FGIG_04993, FGIG_02140	KAK4473446.1
OG0000429	FGIG_05114	KAK4467920.1
OG0000429	FGIG_08773	KAK4473670.1
OG0000430	FGIG_02540, FGIG_02734	KAK4472238.1
OG0000431	FGIG_02682	KAK4469274.1
OG0000432	FGIG_02953	KAK4467945.1
OG0000433	FGIG_03051	KAK4473662.1
OG0000434	FGIG_07436, FGIG_07788, FGIG_12172, FGIG_03250	KAK4467761.1
OG0000435	FGIG_03380, FGIG_03381	KAK4469872.1
OG0000436	FGIG_04181	KAK4473268.1
OG0000437	FGIG_04672	KAK4475593.1
OG0000438	FGIG_04722	KAK4471311.1
OG0000439	FGIG_05052	KAK4468198.1
OG0000440	FGIG_05435	KAK4468410.1, KAK4468411.1
OG0000441	FGIG_06666	KAK4476204.1
OG0000441	FGIG_10681, FGIG_09295	KAK4474578.1
OG0000442	FGIG_06753	KAK4474032.1
OG0000443	FGIG_07760	KAK4475883.1, KAK4475884.1
OG0000444	FGIG_09462, FGIG_11910, FGIG_09471	KAK4470100.1
OG0000445	FGIG_11201	KAK4471266.1, KAK4471265.1
OG0000447	FGIG_00135	KAK4469770.1
OG0000448	FGIG_00556	KAK4472646.1
OG0000449	FGIG_00826	KAK4471127.1
OG0000450	FGIG_01291, FGIG_04679	KAK4473185.1
OG0000451	FGIG_01553	KAK4468749.1
OG0000452	FGIG_03230	KAK4473733.1
OG0000453	FGIG_04192	KAK4471747.1
OG0000454	FGIG_09647	KAK4470198.1
OG0000455	FGIG_06485	KAK4467551.1, KAK4467556.1, KAK4467557.1, KAK4467558.1
OG0000456	FGIG_08883	KAK4470105.1
