Orthogroup	schmidtea_mediterranea	trichobilharzia_regenti
OG0000024	h1SMcT0004401.1	TREG1_101000.1
OG0000024	h1SMcT0004270.1, h1SMcT0004269.2	TREG1_101010.1
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	TREG1_108810.1, TREG1_100830.1, TREG1_100840.1
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	TREG1_77780.2, TREG1_77780.1
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	TREG1_27530.2, TREG1_27530.1, TREG1_27540.1
OG0000029	h1SMcT0004609.1	TREG1_124060.1, TREG1_124050.1
OG0000030	h1SMcT0022545.1	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
OG0000032	h1SMcT0013288.1, h1SMcT0013302.3, h1SMcT0013288.2, h1SMcT0013302.1, h1SMcT0013302.2	TREG1_56670.1
OG0000032	h1SMcT0007869.1	TREG1_29630.1
OG0000033	h1SMcT0014497.2, h1SMcT0014497.3	TREG1_21870.1, TREG1_24050.1, TREG1_28200.1, TREG1_139970.1, TREG1_145000.2, TREG1_145010.1, TREG1_139970.3, TREG1_139970.2, TREG1_15170.1, TREG1_64550.1, TREG1_105080.1, TREG1_145000.1, TREG1_26660.2, TREG1_130180.1, TREG1_145010.2, TREG1_6850.1, TREG1_133870.1, TREG1_16270.1, TREG1_30450.1, TREG1_134810.1
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	TREG1_128470.1, TREG1_103670.1, TREG1_103680.1, TREG1_103680.2
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	TREG1_21190.1, TREG1_21180.1
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	TREG1_88330.1, TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1, TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	TREG1_41180.1, TREG1_41180.2, TREG1_138040.1, TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000047	h1SMcT0019900.1	TREG1_115800.1, TREG1_109470.1, TREG1_109470.4, TREG1_109470.6, TREG1_109470.5, TREG1_109470.7, TREG1_109470.2, TREG1_109470.3, TREG1_48980.6, TREG1_48980.3, TREG1_1760.4, TREG1_48980.1, TREG1_48980.2, TREG1_48980.5, TREG1_1760.3, TREG1_1760.1, TREG1_1760.2, TREG1_1750.1, TREG1_1750.2, TREG1_48980.4, TREG1_1750.3, TREG1_48980.7, TREG1_10650.1
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	TREG1_104790.1
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	TREG1_61870.1, TREG1_61870.2
OG0000052	h1SMcT0006122.2	TREG1_49560.1, TREG1_49560.2
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	TREG1_1120.1, TREG1_1140.1
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	TREG1_13330.1, TREG1_13320.1, TREG1_13340.1
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	TREG1_82400.1
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000054	h1SMcT0003275.1, h1SMcT0022962.1	TREG1_78260.1, TREG1_125050.1, TREG1_108180.1, TREG1_49720.1, TREG1_138980.1, TREG1_138980.2, TREG1_138980.3, TREG1_145510.1, TREG1_60480.1, TREG1_60480.2, TREG1_97910.2, TREG1_10200.1, TREG1_51670.2, TREG1_113750.28, TREG1_128510.1, TREG1_88620.1, TREG1_24310.1, TREG1_51670.1
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
OG0000056	h1SMcT0017059.1	TREG1_137290.1
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	TREG1_125580.1, TREG1_101190.1, TREG1_101210.1, TREG1_109360.1, TREG1_109360.2, TREG1_101200.1
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	TREG1_87890.1
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	TREG1_76900.1, TREG1_76910.1
OG0000063	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3	TREG1_43920.1, TREG1_43920.2
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	TREG1_71380.1
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	TREG1_131340.1, TREG1_131340.2, TREG1_55730.1
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	TREG1_49690.1
OG0000069	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4	TREG1_21770.1, TREG1_21780.1
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	TREG1_42860.1
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	TREG1_65500.1, TREG1_65510.1
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	TREG1_9890.1
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2
OG0000074	h1SMcT0008302.1	TREG1_124660.1
OG0000075	h1SMcT0017385.1	TREG1_53440.1, TREG1_53440.2
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	TREG1_126320.1, TREG1_126330.1
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	TREG1_910.2, TREG1_910.1, TREG1_920.1
OG0000077	h1SMcT0023123.1	TREG1_9470.1, TREG1_9470.2
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	TREG1_52960.1
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3
OG0000080	h1SMcT0013418.1	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	TREG1_69010.1
OG0000088	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5	TREG1_18410.1, TREG1_18410.2, TREG1_18400.1, TREG1_18400.2, TREG1_18400.3
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	TREG1_63980.1, TREG1_63970.1
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7
OG0000092	h1SMcT0002197.1	TREG1_28070.1
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	TREG1_40800.1
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	TREG1_36490.1, TREG1_36500.1, TREG1_36510.1, TREG1_36520.1, TREG1_36540.1, TREG1_36560.1, TREG1_36550.1
OG0000094	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4	TREG1_6800.1
OG0000095	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3	TREG1_88160.1, TREG1_88160.2, TREG1_88160.4, TREG1_88160.5, TREG1_88160.3
OG0000096	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1	TREG1_50750.1, TREG1_50750.4, TREG1_50750.5, TREG1_50750.6, TREG1_50750.2, TREG1_50750.3
OG0000097	h1SMcT0003774.1, h1SMcT0003774.2	TREG1_6190.1
OG0000098	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1	TREG1_36530.1
OG0000098	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2	TREG1_89850.1
OG0000099	h1SMcT0013445.1, h1SMcT0008305.1	TREG1_92100.1, TREG1_92090.1, TREG1_92150.1
OG0000099	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2	TREG1_100730.1
OG0000102	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7	TREG1_121500.1, TREG1_12110.1, TREG1_12100.1, TREG1_12100.2, TREG1_78640.2, TREG1_78640.1, TREG1_78640.3
OG0000104	h1SMcT0000528.1, h1SMcT0000528.2	TREG1_5890.1
OG0000105	h1SMcT0022377.1	TREG1_4000.1, TREG1_3990.1
OG0000107	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2	TREG1_73890.1
OG0000108	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2	TREG1_6870.5, TREG1_6870.6, TREG1_6870.4, TREG1_6870.3, TREG1_6870.1, TREG1_6870.2
OG0000110	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3	TREG1_47950.1, TREG1_48000.1, TREG1_47940.1, TREG1_48010.1, TREG1_48030.1, TREG1_48020.1
OG0000111	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2	TREG1_33100.1
OG0000111	h1SMcT0016216.1	TREG1_66640.1
OG0000116	h1SMcT0000626.1, h1SMcT0000626.2	TREG1_67890.4, TREG1_67890.2, TREG1_67890.5, TREG1_67890.1, TREG1_67890.3
OG0000119	h1SMcT0002719.1, h1SMcT0002719.5	TREG1_135860.5, TREG1_135860.3, TREG1_135860.4, TREG1_135860.7, TREG1_135860.6, TREG1_135860.9, TREG1_135860.10, TREG1_135860.1, TREG1_135860.2, TREG1_135860.11, TREG1_135860.8
OG0000123	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9	TREG1_104380.1, TREG1_104380.2, TREG1_104380.3
OG0000125	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4	TREG1_11410.12, TREG1_11410.5, TREG1_11410.7, TREG1_11410.11, TREG1_11410.3, TREG1_11410.4, TREG1_11410.8, TREG1_11410.1, TREG1_11410.2, TREG1_11410.10, TREG1_11410.6, TREG1_11410.9
OG0000126	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2	TREG1_95210.1
OG0000127	h1SMcT0019776.1, h1SMcT0019776.2	TREG1_54350.1
OG0000128	h1SMcT0019778.1, h1SMcT0019778.2	TREG1_42700.1, TREG1_42710.1
OG0000129	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4	TREG1_51790.1
OG0000130	h1SMcT0009248.1	TREG1_114030.3, TREG1_114030.1, TREG1_114030.2
OG0000132	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1	TREG1_52710.1, TREG1_52710.2
OG0000133	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2	TREG1_46850.1
