Orthogroup	schmidtea_mediterranea	schistosoma_mansoni
OG0000110	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3	Smp_333980.1, Smp_055260.1, Smp_129920.1, Smp_129900.1
OG0000111	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2	Smp_072140.1
OG0000111	h1SMcT0016216.1	Smp_146600.1, Smp_146600.2
OG0000116	h1SMcT0000626.1, h1SMcT0000626.2	Smp_013840.1, Smp_013840.2
OG0000119	h1SMcT0002719.1, h1SMcT0002719.5	Smp_347870.1, Smp_247020.1
OG0000123	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2	Smp_008620.1
OG0000127	h1SMcT0019776.1, h1SMcT0019776.2	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	h1SMcT0019778.1, h1SMcT0019778.2	Smp_332660.1
OG0000129	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4	Smp_140420.1
OG0000130	h1SMcT0009248.1	Smp_060420.1, Smp_060420.2
OG0000132	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1	Smp_028030.1
OG0000133	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2	Smp_072980.1
OG0000134	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3	Smp_032480.1
OG0000135	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1	Smp_046060.1, Smp_046060.2
OG0000136	h1SMcT0000155.1	Smp_174310.1
OG0000137	h1SMcT0023090.1	Smp_320100.1, Smp_320110.1, Smp_334920.1, Smp_166340.1, Smp_081900.1, Smp_166350.1, Smp_348070.1
OG0000138	h1SMcT0020322.1	Smp_158600.1
OG0000138	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3	Smp_335620.1
OG0000139	h1SMcT0002285.1	Smp_031040.1
OG0000140	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18	Smp_059210.1, Smp_059210.2
OG0000142	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1
OG0000144	h1SMcT0012404.1	Smp_034190.1
OG0000144	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1	Smp_097660.1, Smp_166400.1
OG0000145	h1SMcT0013665.1	Smp_110280.1, Smp_110280.2
OG0000146	h1SMcT0006897.1, h1SMcT0006897.2	Smp_016630.1
OG0000146	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1	Smp_246100.1
OG0000146	h1SMcT0021690.2	Smp_020080.1, Smp_016250.1
OG0000147	h1SMcT0011597.1	Smp_019170.1
OG0000149	h1SMcT0005461.1, h1SMcT0005461.2	Smp_123410.1
OG0000151	h1SMcT0006201.1	Smp_167920.1
OG0000152	h1SMcT0001548.1	Smp_078310.1
OG0000153	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1
OG0000154	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6	Smp_333260.1
OG0000155	h1SMcT0001030.1	Smp_302040.1, Smp_302040.2, Smp_302040.3
OG0000156	h1SMcT0017161.2, h1SMcT0002712.1	Smp_143840.1, Smp_039750.3, Smp_039750.1, Smp_039750.2
OG0000157	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2	Smp_212410.1, Smp_212410.2
OG0000157	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1	Smp_332710.1
OG0000157	h1SMcT0013969.1, h1SMcT0013969.2	Smp_153100.1
OG0000158	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10	Smp_068960.1, Smp_159520.1
OG0000159	h1SMcT0014227.1, h1SMcT0014227.2	Smp_129520.1
OG0000161	h1SMcT0012867.1	Smp_301780.1
OG0000164	h1SMcT0014759.1	Smp_179910.1
OG0000164	h1SMcT0021090.1	Smp_142450.1
OG0000164	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1	Smp_071250.1
OG0000165	h1SMcT0018166.5	Smp_002820.1
OG0000167	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4	Smp_042550.1, Smp_042550.2
OG0000172	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3
OG0000173	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5	Smp_344580.1
OG0000175	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1
OG0000177	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6	Smp_333480.1, Smp_333480.2
OG0000179	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4	Smp_134080.1, Smp_246010.1
OG0000180	h1SMcT0016760.1, h1SMcT0016760.2	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1
OG0000182	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4	Smp_159990.1
OG0000182	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2	Smp_020270.1, Smp_020270.2
OG0000184	h1SMcT0015425.1, h1SMcT0015431.1	Smp_167750.1, Smp_004220.1
OG0000186	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1	Smp_334080.1
OG0000187	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2	Smp_014670.1
OG0000190	h1SMcT0007247.1	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3
OG0000192	h1SMcT0015806.1	Smp_009990.1
OG0000193	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4	Smp_151750.1, Smp_211070.1
OG0000194	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2	Smp_145190.1, Smp_145190.2
OG0000195	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3	Smp_089930.1
OG0000196	h1SMcT0011061.1, h1SMcT0021737.1	Smp_051090.1
OG0000196	h1SMcT0001685.1	Smp_337400.1, Smp_337400.3
OG0000198	h1SMcT0018079.1	Smp_342030.1, Smp_058690.1, Smp_058700.1
OG0000199	h1SMcT0004687.1, h1SMcT0004687.2	Smp_033950.1
OG0000201	h1SMcT0009180.1	Smp_158560.1, Smp_158560.2
OG0000206	h1SMcT0011551.1, h1SMcT0011551.2	Smp_031920.1
OG0000208	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3	Smp_312880.1
OG0000209	h1SMcT0007034.1, h1SMcT0007034.2	Smp_214240.1, Smp_128390.1
OG0000210	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3	Smp_143690.1, Smp_143690.2
OG0000211	h1SMcT0007637.1	Smp_033050.1
OG0000212	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4	Smp_123940.1
OG0000213	h1SMcT0008371.1	Smp_333170.1
OG0000217	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1	Smp_343380.1
OG0000218	h1SMcT0004177.1	Smp_244280.1
OG0000219	h1SMcT0000079.1	Smp_162080.1
OG0000221	h1SMcT0016464.1, h1SMcT0016464.3	Smp_165820.1
OG0000221	h1SMcT0018055.1	Smp_153140.1
OG0000222	h1SMcT0013919.1	Smp_313450.1
OG0000223	h1SMcT0005506.1	Smp_159100.1
OG0000224	h1SMcT0009940.1, h1SMcT0009940.2	Smp_153770.1
OG0000225	h1SMcT0010147.1, h1SMcT0010147.2	Smp_017730.1
OG0000226	h1SMcT0018850.1	Smp_124820.1
OG0000227	h1SMcT0015210.2, h1SMcT0015210.1, h1SMcT0015210.3	Smp_122680.1
OG0000228	h1SMcT0003868.2, h1SMcT0003868.6, h1SMcT0003868.3, h1SMcT0003868.1, h1SMcT0003868.4, h1SMcT0003868.5	Smp_104030.1
OG0000229	h1SMcT0002720.3, h1SMcT0023063.1, h1SMcT0002720.5, h1SMcT0002720.1, h1SMcT0002720.2, h1SMcT0002720.4	Smp_307880.1
OG0000230	h1SMcT0016060.1, h1SMcT0003291.4, h1SMcT0003291.1, h1SMcT0003291.5, h1SMcT0003291.2, h1SMcT0003291.3	Smp_308600.1, Smp_308590.1
OG0000235	h1SMcT0013355.1, h1SMcT0013355.2, h1SMcT0015883.2, h1SMcT0015883.3, h1SMcT0003207.1, h1SMcT0003207.3, h1SMcT0014695.1, h1SMcT0017363.2	Smp_342880.1, Smp_342880.2
OG0000236	h1SMcT0020439.1, h1SMcT0020439.3, h1SMcT0020439.2	Smp_147620.1
OG0000237	h1SMcT0016068.1	Smp_130030.1
OG0000238	h1SMcT0021500.1, h1SMcT0021500.2	Smp_158450.1
OG0000239	h1SMcT0019805.1, h1SMcT0019805.3, h1SMcT0019812.2, h1SMcT0019812.4, h1SMcT0019812.6, h1SMcT0019812.7, h1SMcT0019812.5, h1SMcT0019812.3, h1SMcT0019812.1, h1SMcT0019805.2	Smp_163610.1, Smp_336250.1
OG0000240	h1SMcT0022933.1, h1SMcT0022933.2	Smp_168370.2, Smp_168370.1
OG0000242	h1SMcT0006326.1, h1SMcT0008643.1	Smp_346520.1
OG0000244	h1SMcT0003275.2, h1SMcT0003275.3, h1SMcT0003275.4	Smp_125550.1
OG0000245	h1SMcT0020223.2, h1SMcT0020223.13, h1SMcT0020223.12, h1SMcT0020223.8, h1SMcT0020223.9, h1SMcT0020223.4, h1SMcT0020223.10, h1SMcT0020223.5, h1SMcT0020223.11, h1SMcT0020223.6, h1SMcT0020223.7, h1SMcT0020223.3	Smp_315810.1, Smp_315810.2
OG0000246	h1SMcT0006409.1, h1SMcT0006409.2, h1SMcT0015152.1, h1SMcT0015152.2	Smp_334490.1
OG0000247	h1SMcT0022281.1, h1SMcT0022281.4, h1SMcT0022281.3, h1SMcT0022281.2, h1SMcT0022281.5	Smp_340410.1
OG0000248	h1SMcT0007514.1, h1SMcT0007514.9, h1SMcT0007514.3, h1SMcT0007514.4, h1SMcT0007514.5, h1SMcT0007514.6, h1SMcT0007514.8, h1SMcT0007514.10, h1SMcT0007514.2, h1SMcT0007514.7, h1SMcT0007514.11	Smp_023360.1
OG0000250	h1SMcT0017080.1, h1SMcT0017553.1, h1SMcT0017553.2	Smp_049380.1
OG0000251	h1SMcT0009291.2, h1SMcT0009291.1, h1SMcT0009291.3	Smp_055220.1
OG0000253	h1SMcT0004683.1, h1SMcT0004683.2	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3
OG0000254	h1SMcT0006413.1	Smp_133740.1
OG0000255	h1SMcT0004493.3, h1SMcT0004493.1, h1SMcT0004493.2	Smp_034870.1
