Orthogroup	schmidtea_mediterranea	opisthorchis_viverrini
OG0000024	h1SMcT0018417.1, h1SMcT0017552.1, h1SMcT0002548.1, h1SMcT0002548.2, h1SMcT0016506.1, h1SMcT0014680.1, h1SMcT0020917.1, h1SMcT0020917.2, h1SMcT0011022.1, h1SMcT0020391.1	T265_14936, T265_06010, T265_15612, T265_10293
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	T265_10896, T265_12043, T265_03132
OG0000024	h1SMcT0010675.1, h1SMcT0012436.1	T265_04046, T265_04047
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	T265_07485, T265_12778, T265_12779, T265_13344, T265_13367
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	T265_03596, T265_13290
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	T265_08214
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	T265_09600, T265_11026, T265_11028, T265_15320, T265_05522
OG0000029	h1SMcT0004609.1	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	h1SMcT0022545.1	T265_14111
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	T265_06361
OG0000032	h1SMcT0013288.1, h1SMcT0013302.3, h1SMcT0013288.2, h1SMcT0013302.1, h1SMcT0013302.2	T265_07146
OG0000032	h1SMcT0015528.1, h1SMcT0016625.1, h1SMcT0013860.1, h1SMcT0011024.1, h1SMcT0017238.1	T265_07309
OG0000032	h1SMcT0017710.1	T265_07310
OG0000032	h1SMcT0016933.1, h1SMcT0017699.1	T265_01645
OG0000032	h1SMcT0007869.1	T265_07180
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	T265_00972
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	T265_00630
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	T265_01293
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	T265_12048, T265_11239, T265_15548, T265_15551
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	T265_05071, T265_05072, T265_08625, T265_11935, T265_13418
OG0000047	h1SMcT0019900.1	T265_15705
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	T265_01286
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	T265_15552
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	T265_02127, T265_02652
OG0000052	h1SMcT0006122.2	T265_08730, T265_12065
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	T265_04421
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	T265_01537, T265_15906, T265_15950
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	T265_02480
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	T265_06797
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	T265_11166
OG0000054	h1SMcT0003275.1	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	T265_07023
OG0000056	h1SMcT0017059.1	T265_13933, T265_07274
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	T265_07455, T265_13746, T265_14968, T265_14965, T265_09830, T265_12109, T265_14967
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	T265_13025
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	T265_02884
OG0000062	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5	T265_10452
OG0000063	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3	T265_09823
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	T265_15306
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	T265_07972
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	T265_12520
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	T265_06616, T265_13582
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	T265_03815
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	T265_10197
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	T265_13598
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	T265_11926
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	T265_06662
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	T265_09755
OG0000074	h1SMcT0008302.1	T265_13709
OG0000074	h1SMcT0009813.1, h1SMcT0009813.2, h1SMcT0016753.4, h1SMcT0016753.1, h1SMcT0016753.3, h1SMcT0015497.1, h1SMcT0011118.1	T265_10587
OG0000075	h1SMcT0017385.1	T265_02596
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	T265_01838
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	T265_09657, T265_14927
OG0000077	h1SMcT0023123.1	T265_07170
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	T265_10237, T265_16023
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	T265_03623
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	T265_11700
OG0000080	h1SMcT0013418.1	T265_07150, T265_07149
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	T265_01347, T265_12258
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	T265_02657, T265_14540
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	T265_04053
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	T265_14035, T265_15099
OG0000092	h1SMcT0002197.1	T265_03205
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	T265_08704
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	T265_06064, T265_06061, T265_06063
OG0000093	h1SMcT0021895.1	T265_06066
OG0000094	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4	T265_06493
OG0000095	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3	T265_08487
OG0000096	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1	T265_09813
OG0000097	h1SMcT0003774.1, h1SMcT0003774.2	T265_02082
OG0000098	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1	T265_08810
OG0000098	h1SMcT0011165.1, h1SMcT0011165.2	T265_16367
OG0000098	h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2	T265_15515
OG0000099	h1SMcT0013445.1, h1SMcT0008305.1	T265_01131
OG0000099	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2	T265_02321
OG0000102	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7	T265_01574, T265_05632
OG0000105	h1SMcT0022377.1	T265_07815, T265_03022
OG0000107	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2	T265_07863
OG0000107	h1SMcT0011073.1, h1SMcT0007346.1, h1SMcT0007346.2	T265_07360
OG0000108	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2	T265_04554, T265_13536
OG0000110	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3	T265_08891, T265_08892, T265_08890, T265_12894
OG0000111	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2	T265_09132
OG0000111	h1SMcT0001631.1	T265_10340
OG0000116	h1SMcT0000626.1, h1SMcT0000626.2	T265_02129
OG0000119	h1SMcT0002719.1, h1SMcT0002719.5	T265_12920
OG0000123	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9	T265_02792
OG0000125	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4	T265_13688
OG0000127	h1SMcT0019776.1, h1SMcT0019776.2	T265_14567
OG0000128	h1SMcT0019778.1, h1SMcT0019778.2	T265_14408
OG0000129	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4	T265_07587
OG0000130	h1SMcT0009248.1	T265_04661
OG0000132	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1	T265_00680
OG0000133	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2	T265_04893
OG0000134	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3	T265_14784
OG0000135	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1	T265_07991, T265_11510
OG0000136	h1SMcT0000155.1	T265_11527
OG0000138	h1SMcT0020322.1	T265_11205
OG0000138	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3	T265_13897
OG0000139	h1SMcT0002285.1	T265_03450
OG0000140	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18	T265_06793, T265_05820
OG0000142	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1	T265_03704, T265_07291, T265_15439
OG0000144	h1SMcT0012404.1	T265_01304
OG0000144	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1	T265_12086, T265_06668, T265_13782
OG0000145	h1SMcT0013665.1	T265_14746
OG0000146	h1SMcT0006897.1, h1SMcT0006897.2	T265_07748
OG0000146	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1	T265_07423, T265_07424
OG0000146	h1SMcT0021690.2	T265_08388, T265_03861
OG0000149	h1SMcT0005461.1, h1SMcT0005461.2	T265_03520
OG0000151	h1SMcT0006201.1	T265_06094
OG0000152	h1SMcT0001548.1	T265_06135
OG0000153	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1	T265_16031, T265_12191, T265_02887, T265_13113, T265_01183, T265_12738, T265_12737, T265_01181
OG0000154	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6	T265_03183
OG0000155	h1SMcT0001030.1	T265_08299
OG0000156	h1SMcT0017161.2, h1SMcT0002712.1	T265_00887, T265_16074, T265_03696, T265_15374
OG0000157	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2	T265_06998, T265_11481
OG0000157	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1	T265_01460, T265_12799
OG0000157	h1SMcT0013969.1, h1SMcT0013969.2	T265_09530, T265_09531, T265_14875
OG0000158	h1SMcT0014818.1, h1SMcT0014818.2, h1SMcT0014818.3	T265_10234, T265_16363
OG0000158	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10	T265_15093
OG0000159	h1SMcT0014227.1, h1SMcT0014227.2	T265_08123
OG0000161	h1SMcT0012867.1	T265_02978
OG0000164	h1SMcT0014759.1	T265_13175
OG0000164	h1SMcT0021090.1	T265_00309
OG0000164	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1	T265_07457
OG0000165	h1SMcT0018166.5	T265_11439
OG0000167	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4	T265_06764
OG0000172	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3	T265_00976
OG0000173	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5	T265_02233
OG0000175	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591
OG0000177	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6	T265_00175
OG0000179	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4	T265_00043
OG0000180	h1SMcT0016760.1, h1SMcT0016760.2	T265_07809
OG0000182	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4	T265_01820, T265_01818
OG0000182	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2	T265_15629, T265_15631
OG0000184	h1SMcT0015425.1, h1SMcT0015431.1	T265_08817, T265_08819, T265_01209, T265_01210, T265_16188
OG0000186	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1	T265_11314
OG0000187	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2	T265_00019
OG0000190	h1SMcT0007247.1	T265_05088
OG0000192	h1SMcT0015806.1	T265_05152, T265_13696
OG0000193	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4	T265_12730, T265_08127
OG0000194	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2	T265_13065
OG0000195	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3	T265_01951
OG0000196	h1SMcT0011061.1, h1SMcT0021737.1	T265_01003, T265_08738
OG0000196	h1SMcT0019064.1	T265_00594
OG0000196	h1SMcT0001685.1	T265_13637
OG0000198	h1SMcT0018079.1	T265_15102
OG0000199	h1SMcT0004687.1, h1SMcT0004687.2	T265_11013
OG0000201	h1SMcT0009180.1	T265_08652
OG0000206	h1SMcT0011551.1, h1SMcT0011551.2	T265_14079
OG0000208	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3	T265_08097
OG0000209	h1SMcT0007034.1, h1SMcT0007034.2	T265_07713
OG0000210	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3	T265_02395, T265_06283
OG0000211	h1SMcT0007637.1	T265_11721
OG0000212	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4	T265_13666
OG0000213	h1SMcT0008371.1	T265_00196
OG0000217	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1	T265_09745
OG0000218	h1SMcT0004177.1	T265_14088
OG0000219	h1SMcT0000079.1	T265_02042
OG0000221	h1SMcT0016464.1, h1SMcT0016464.3	T265_08529, T265_14604
OG0000221	h1SMcT0005270.1	T265_05121, T265_05122, T265_16332
OG0000221	h1SMcT0001057.1	T265_16220, T265_14170
OG0000221	h1SMcT0018055.1	T265_06922
OG0000222	h1SMcT0013919.1	T265_06992
OG0000223	h1SMcT0005506.1	T265_10052
OG0000224	h1SMcT0009940.1, h1SMcT0009940.2	T265_04345
OG0000225	h1SMcT0010147.1, h1SMcT0010147.2	T265_12484
OG0000226	h1SMcT0018850.1	T265_14337
OG0000227	h1SMcT0015210.2, h1SMcT0015210.1, h1SMcT0015210.3	T265_07183
OG0000228	h1SMcT0003868.2, h1SMcT0003868.6, h1SMcT0003868.3, h1SMcT0003868.1, h1SMcT0003868.4, h1SMcT0003868.5	T265_08398
OG0000229	h1SMcT0002720.3, h1SMcT0023063.1, h1SMcT0002720.5, h1SMcT0002720.1, h1SMcT0002720.2, h1SMcT0002720.4	T265_08218, T265_14510
OG0000230	h1SMcT0016060.1, h1SMcT0003291.4, h1SMcT0003291.1, h1SMcT0003291.5, h1SMcT0003291.2, h1SMcT0003291.3	T265_12726
OG0000235	h1SMcT0013355.1, h1SMcT0013355.2, h1SMcT0015883.2, h1SMcT0015883.3, h1SMcT0003207.1, h1SMcT0003207.3, h1SMcT0014695.1, h1SMcT0017363.2	T265_12698, T265_01014
OG0000236	h1SMcT0020439.1, h1SMcT0020439.3, h1SMcT0020439.2	T265_03312
OG0000237	h1SMcT0016068.1	T265_01303
OG0000239	h1SMcT0019805.1, h1SMcT0019805.3, h1SMcT0019812.2, h1SMcT0019812.4, h1SMcT0019812.6, h1SMcT0019812.7, h1SMcT0019812.5, h1SMcT0019812.3, h1SMcT0019812.1, h1SMcT0019805.2	T265_04264
OG0000240	h1SMcT0022933.1, h1SMcT0022933.2	T265_07380, T265_07378
OG0000242	h1SMcT0006326.1, h1SMcT0008643.1	T265_13733
OG0000244	h1SMcT0003275.2, h1SMcT0003275.3, h1SMcT0003275.4	T265_15435
OG0000245	h1SMcT0020223.2, h1SMcT0020223.13, h1SMcT0020223.12, h1SMcT0020223.8, h1SMcT0020223.9, h1SMcT0020223.4, h1SMcT0020223.10, h1SMcT0020223.5, h1SMcT0020223.11, h1SMcT0020223.6, h1SMcT0020223.7, h1SMcT0020223.3	T265_14174, T265_14575
