Orthogroup	schmidtea_mediterranea	schistosoma_haematobium
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10
OG0000054	h1SMcT0010194.2	SHAE2_76560.1
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	SHAE2_73310.1, SHAE2_73320.1
OG0000056	h1SMcT0017059.1	SHAE2_50790.1, SHAE2_67990.1, SHAE2_28490.1, SHAE2_20020.1, SHAE2_101630.1, SHAE2_43920.1, SHAE2_38340.1, SHAE2_62250.1, SHAE2_69990.1, SHAE2_38240.1, SHAE2_86550.1, SHAE2_47250.1, SHAE2_64070.1, SHAE2_45620.1
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	SHAE2_95540.1, SHAE2_84800.1, SHAE2_84800.2, SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3, SHAE2_84760.1, SHAE2_84750.1, SHAE2_84740.1
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4
OG0000062	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5	SHAE2_6660.14, SHAE2_6660.4, SHAE2_6660.16, SHAE2_6660.19, SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13, SHAE2_6660.21, SHAE2_6660.3
OG0000063	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3	SHAE2_42340.3, SHAE2_42340.15, SHAE2_42340.18, SHAE2_42340.10, SHAE2_42340.12, SHAE2_42340.7, SHAE2_42340.9, SHAE2_42340.2, SHAE2_42340.8, SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	SHAE2_4750.14, SHAE2_4750.27, SHAE2_4750.8, SHAE2_4750.10, SHAE2_4750.15, SHAE2_4750.25, SHAE2_4750.26, SHAE2_4750.13, SHAE2_4750.6, SHAE2_4750.21, SHAE2_4750.11, SHAE2_4750.3, SHAE2_4750.7, SHAE2_4750.30, SHAE2_4750.12, SHAE2_4750.19, SHAE2_4750.18, SHAE2_4750.17, SHAE2_4750.9, SHAE2_4750.28, SHAE2_4750.29, SHAE2_4750.32, SHAE2_4750.23, SHAE2_4750.24, SHAE2_4750.2, SHAE2_4750.5, SHAE2_4750.31, SHAE2_4750.22, SHAE2_4750.33, SHAE2_4750.1, SHAE2_4750.4, SHAE2_4750.20, SHAE2_4750.16
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	SHAE2_40030.6, SHAE2_40030.14, SHAE2_40030.15, SHAE2_40030.1, SHAE2_40030.13, SHAE2_40030.5, SHAE2_40030.8, SHAE2_40030.12, SHAE2_40030.2, SHAE2_40030.9, SHAE2_40030.11, SHAE2_40030.4, SHAE2_40030.7, SHAE2_40030.3, SHAE2_40030.10
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	SHAE2_57070.1, SHAE2_57070.2, SHAE2_57070.3
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	SHAE2_100120.2, SHAE2_100120.1, SHAE2_100120.3, SHAE2_39460.1, SHAE2_39470.1
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	SHAE2_30990.1
OG0000069	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4	SHAE2_22730.1
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	SHAE2_46580.7, SHAE2_46580.1, SHAE2_46580.2, SHAE2_46580.4, SHAE2_46580.5, SHAE2_46580.3, SHAE2_46580.6
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	SHAE2_94930.1, SHAE2_94930.2
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	SHAE2_58540.12, SHAE2_58540.3, SHAE2_58540.7, SHAE2_58550.10, SHAE2_58550.12, SHAE2_58550.14, SHAE2_58550.15, SHAE2_58550.7, SHAE2_58540.8, SHAE2_58550.2, SHAE2_58540.1, SHAE2_58540.2, SHAE2_58540.9, SHAE2_58550.1, SHAE2_58550.13, SHAE2_58550.16, SHAE2_58550.3, SHAE2_58550.6, SHAE2_58550.8, SHAE2_58550.4, SHAE2_58540.13, SHAE2_58540.4, SHAE2_58540.5, SHAE2_58550.11, SHAE2_58550.9, SHAE2_58540.10, SHAE2_58540.6
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	SHAE2_1560.2, SHAE2_1560.1
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	SHAE2_93350.1
OG0000074	h1SMcT0008302.1	SHAE2_93440.1
OG0000075	h1SMcT0017385.1	SHAE2_36730.1, SHAE2_36730.2, SHAE2_36730.10, SHAE2_36730.12, SHAE2_36730.14, SHAE2_36730.18, SHAE2_36730.19, SHAE2_36730.20, SHAE2_36730.21, SHAE2_36730.3, SHAE2_36730.4, SHAE2_36730.5, SHAE2_36730.6, SHAE2_36730.7, SHAE2_36730.8, SHAE2_36730.9, SHAE2_36730.17, SHAE2_36730.13, SHAE2_36730.15, SHAE2_36730.16, SHAE2_36730.22, SHAE2_36730.23, SHAE2_36730.11
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	SHAE2_96250.2, SHAE2_96250.1
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	SHAE2_4440.10, SHAE2_4440.9, SHAE2_4440.5, SHAE2_4440.2, SHAE2_4440.6, SHAE2_4440.7, SHAE2_4440.8, SHAE2_4440.1, SHAE2_4440.4, SHAE2_4440.3
OG0000077	h1SMcT0023123.1	SHAE2_12640.13, SHAE2_12640.12, SHAE2_12640.1, SHAE2_12640.4, SHAE2_12640.5, SHAE2_12640.14, SHAE2_12640.15, SHAE2_12640.11, SHAE2_12640.8, SHAE2_12640.2, SHAE2_12640.3, SHAE2_12640.6, SHAE2_12640.10, SHAE2_12640.9, SHAE2_12640.7
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	SHAE2_6060.1, SHAE2_6060.11, SHAE2_6060.2, SHAE2_6060.8, SHAE2_6060.12, SHAE2_6060.14, SHAE2_6060.10, SHAE2_6060.13, SHAE2_6060.3, SHAE2_6060.7, SHAE2_6060.5, SHAE2_6060.4, SHAE2_6060.6, SHAE2_6060.9
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	SHAE2_32920.2, SHAE2_32920.1, SHAE2_32920.3
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	SHAE2_57130.1, SHAE2_57130.2, SHAE2_57130.6, SHAE2_57130.3, SHAE2_57130.8, SHAE2_57130.5, SHAE2_57130.4, SHAE2_57130.7, SHAE2_57130.9
OG0000080	h1SMcT0013418.1	SHAE2_46980.11, SHAE2_46980.13, SHAE2_46980.9, SHAE2_46980.8, SHAE2_46980.2, SHAE2_46980.4, SHAE2_46980.5, SHAE2_46980.6, SHAE2_46980.3, SHAE2_46980.7, SHAE2_46980.12, SHAE2_46980.10, SHAE2_46980.1, SHAE2_46980.14
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	SHAE2_56190.11, SHAE2_56190.3, SHAE2_56190.6, SHAE2_56190.8, SHAE2_56190.5, SHAE2_56190.1, SHAE2_56190.7, SHAE2_56190.2, SHAE2_56190.9, SHAE2_56190.4, SHAE2_56190.10
OG0000088	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5	SHAE2_3590.2, SHAE2_3590.3, SHAE2_3590.1, SHAE2_3590.4, SHAE2_3570.2, SHAE2_3570.5, SHAE2_3570.6, SHAE2_3570.7, SHAE2_3570.1, SHAE2_3570.3, SHAE2_3570.4
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	SHAE2_53200.2, SHAE2_53200.3, SHAE2_53200.4, SHAE2_53200.7, SHAE2_53200.6, SHAE2_53200.8, SHAE2_53200.9, SHAE2_53200.10, SHAE2_53200.14, SHAE2_53200.16, SHAE2_53200.17, SHAE2_53200.11, SHAE2_53200.12, SHAE2_53200.18, SHAE2_53200.19, SHAE2_53200.13, SHAE2_53200.1, SHAE2_53200.5, SHAE2_53200.15
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	SHAE2_51130.24, SHAE2_51130.18, SHAE2_51130.19, SHAE2_51130.28, SHAE2_51130.29, SHAE2_51130.12, SHAE2_51130.1, SHAE2_51130.4, SHAE2_51130.23, SHAE2_51130.21, SHAE2_51130.6, SHAE2_51130.2, SHAE2_51130.25, SHAE2_51130.26, SHAE2_51130.3, SHAE2_51130.17, SHAE2_51130.5, SHAE2_51130.13, SHAE2_51130.16, SHAE2_51130.9, SHAE2_51130.27, SHAE2_51130.11, SHAE2_51130.15, SHAE2_51130.20, SHAE2_51130.22, SHAE2_51130.8, SHAE2_51130.10, SHAE2_51130.14, SHAE2_51130.7
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	SHAE2_2520.1, SHAE2_2520.3, SHAE2_2520.2
OG0000092	h1SMcT0002197.1	SHAE2_14980.4, SHAE2_14980.3, SHAE2_14980.1, SHAE2_14980.2
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	SHAE2_43060.1
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	SHAE2_42250.1, SHAE2_42250.2
