Orthogroup	schmidtea_mediterranea	fasciola_hepatica
OG0000014	h1SMcT0018859.1, h1SMcT0020270.1	FhHiC23_g14469.t1
OG0000015	h1SMcT0022961.1	FhHiC23_g14476.t1, FhHiC23_g13988.t1, FhHiC23_g13993.t1, FhHiC23_g14071.t1, FhHiC23_g10739.t1, FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1, FhHiC23_g16654.t1, FhHiC23_g14001.t1, FhHiC23_g14207.t1, FhHiC23_g14206.t1, FhHiC23_g14471.t1, FhHiC23_g14472.t1, FhHiC23_g14475.t1, FhHiC23_g14628.t1, FhHiC23_g13668.t1, FhHiC23_g13669.t1
OG0000019	h1SMcT0009829.1	FhHiC23_g5935.t1, FhHiC23_g5936.t1, FhHiC23_g5529.t3, FhHiC23_g5529.t1, FhHiC23_g5529.t2, FhHiC23_g5529.t4, FhHiC23_g5529.t5, FhHiC23_g5529.t6, FhHiC23_g5529.t7
OG0000021	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2	FhHiC23_g13529.t1, FhHiC23_g12834.t1, FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3	FhHiC23_g10034.t1, FhHiC23_g10034.t2
OG0000024	h1SMcT0022444.1, h1SMcT0022444.2	FhHiC23_g8663.t1
OG0000024	h1SMcT0012325.1	FhHiC23_g2600.t1
OG0000024	h1SMcT0018867.1, h1SMcT0018867.2	FhHiC23_g3909.t1
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000024	h1SMcT0010675.1, h1SMcT0012436.1	FhHiC23_g1520.t1, FhHiC23_g1521.t1, FhHiC23_g1522.t1
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	FhHiC23_g9700.t3, FhHiC23_g9700.t1, FhHiC23_g9700.t2, FhHiC23_g1282.t1, FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	FhHiC23_g15510.t1, FhHiC23_g15705.t1
OG0000029	h1SMcT0004609.1	FhHiC23_g16496.t1
OG0000030	h1SMcT0022545.1	FhHiC23_g11202.t1
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	FhHiC23_g15305.t1
OG0000032	h1SMcT0013288.1, h1SMcT0013302.3, h1SMcT0013288.2, h1SMcT0013302.1, h1SMcT0013302.2	FhHiC23_g13908.t1, FhHiC23_g13918.t1
OG0000032	h1SMcT0016933.1, h1SMcT0017699.1	FhHiC23_g3568.t1, FhHiC23_g3568.t2
OG0000032	h1SMcT0007869.1	FhHiC23_g11680.t1
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	FhHiC23_g6871.t1
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	FhHiC23_g2039.t1
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	FhHiC23_g15459.t1
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	FhHiC23_g1755.t1, FhHiC23_g571.t1, FhHiC23_g573.t1
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	h1SMcT0006122.2	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	FhHiC23_g13097.t1, FhHiC23_g13097.t2, FhHiC23_g13095.t1, FhHiC23_g13095.t2
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	FhHiC23_g13824.t1
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000054	h1SMcT0003275.1	FhHiC23_g14380.t1, FhHiC23_g11010.t1, FhHiC23_g16188.t1, FhHiC23_g16179.t1
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1
OG0000056	h1SMcT0017059.1	FhHiC23_g10836.t1, FhHiC23_g13858.t1, FhHiC23_g14552.t1, FhHiC23_g6183.t1, FhHiC23_g4303.t1, FhHiC23_g8849.t1, FhHiC23_g10819.t1, FhHiC23_g2380.t1, FhHiC23_g3135.t1, FhHiC23_g7372.t1, FhHiC23_g5638.t1, FhHiC23_g13298.t1, FhHiC23_g3546.t1, FhHiC23_g788.t1
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	FhHiC23_g16509.t1, FhHiC23_g3241.t1, FhHiC23_g3240.t1
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	FhHiC23_g8030.t1
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	FhHiC23_g13576.t2, FhHiC23_g13576.t1
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1, FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	FhHiC23_g5260.t1
OG0000069	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	FhHiC23_g13499.t1
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	h1SMcT0008302.1	FhHiC23_g16397.t1
OG0000075	h1SMcT0017385.1	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	h1SMcT0023123.1	FhHiC23_g13340.t1
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	FhHiC23_g13137.t1
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3
OG0000080	h1SMcT0013418.1	FhHiC23_g14390.t1
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000088	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5	FhHiC23_g5522.t1
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	h1SMcT0002197.1	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	FhHiC23_g6196.t1, FhHiC23_g5957.t1
OG0000093	h1SMcT0021895.1	FhHiC23_g6435.t1
OG0000094	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3	FhHiC23_g7183.t1
OG0000096	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	h1SMcT0003774.1, h1SMcT0003774.2	FhHiC23_g11521.t1
OG0000098	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	h1SMcT0011165.1, h1SMcT0011165.2	FhHiC23_g4952.t1
OG0000098	h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2	FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	h1SMcT0013445.1, h1SMcT0008305.1	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7	FhHiC23_g13582.t1, FhHiC23_g7758.t1
OG0000104	h1SMcT0000528.1, h1SMcT0000528.2	FhHiC23_g12208.t1
OG0000105	h1SMcT0022377.1	FhHiC23_g13058.t1
OG0000107	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2	FhHiC23_g2176.t1
OG0000108	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2	FhHiC23_g10941.t2, FhHiC23_g10941.t1
OG0000110	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3	FhHiC23_g5186.t1, FhHiC23_g5186.t2, FhHiC23_g5563.t1, FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3
OG0000111	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2	FhHiC23_g4957.t1
OG0000116	h1SMcT0000626.1, h1SMcT0000626.2	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2
OG0000119	h1SMcT0002719.1, h1SMcT0002719.5	FhHiC23_g10335.t1
OG0000123	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1
OG0000125	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3
OG0000126	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1
OG0000127	h1SMcT0019776.1, h1SMcT0019776.2	FhHiC23_g12206.t1, FhHiC23_g12204.t1
OG0000128	h1SMcT0019778.1, h1SMcT0019778.2	FhHiC23_g14316.t1
OG0000129	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4	FhHiC23_g5688.t1, FhHiC23_g5688.t2
OG0000130	h1SMcT0009248.1	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3
OG0000132	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3
OG0000133	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1
OG0000134	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3	FhHiC23_g15419.t1, FhHiC23_g15419.t2
OG0000135	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3
OG0000136	h1SMcT0000155.1	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2
OG0000138	h1SMcT0020322.1	FhHiC23_g16219.t1
OG0000138	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3	FhHiC23_g14050.t1
OG0000139	h1SMcT0002285.1	FhHiC23_g12767.t1
OG0000140	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18	FhHiC23_g217.t1, FhHiC23_g217.t2
OG0000142	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1	FhHiC23_g15368.t1, FhHiC23_g15368.t2, FhHiC23_g11124.t1, FhHiC23_g15370.t1, FhHiC23_g15371.t1, FhHiC23_g15362.t2, FhHiC23_g15362.t1, FhHiC23_g15363.t1, FhHiC23_g15366.t1, FhHiC23_g15365.t1, FhHiC23_g11989.t1, FhHiC23_g15549.t1, FhHiC23_g15251.t1
OG0000144	h1SMcT0012404.1	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2
OG0000144	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1	FhHiC23_g4712.t2, FhHiC23_g4712.t1
OG0000145	h1SMcT0013665.1	FhHiC23_g6031.t1
OG0000146	h1SMcT0006897.1, h1SMcT0006897.2	FhHiC23_g8653.t1
