Orthogroup	trichobilharzia_regenti	schistosoma_japonicum
OG0000013	TREG1_21270.1, TREG1_110020.3, TREG1_110020.1, TREG1_110020.2, TREG1_122500.1, TREG1_101090.6, TREG1_92590.11, TREG1_83970.1, TREG1_160.1, TREG1_52770.1, TREG1_45730.1, TREG1_143700.1, TREG1_108090.1, TREG1_43640.3, TREG1_43640.4, TREG1_43640.1, TREG1_43640.2, TREG1_43640.5, TREG1_100340.3, TREG1_100340.4, TREG1_100340.5, TREG1_29230.1, TREG1_34610.10, TREG1_14750.3, TREG1_140650.1, TREG1_140650.2, TREG1_20500.1, TREG1_26380.4, TREG1_26230.2, TREG1_57260.10, TREG1_74710.7, TREG1_92590.5, TREG1_92590.6, TREG1_74710.2, TREG1_74710.6, TREG1_28390.2, TREG1_36480.2, TREG1_36480.3, TREG1_36480.5, TREG1_36480.6, TREG1_8530.1, TREG1_113750.14, TREG1_113750.27, TREG1_118210.4, TREG1_118210.6, TREG1_100340.6, TREG1_5960.2, TREG1_5960.4, TREG1_5960.3, TREG1_5960.1, TREG1_38740.1, TREG1_36480.4, TREG1_8530.3, TREG1_8530.4, TREG1_8530.5, TREG1_28130.1, TREG1_28130.2, TREG1_34610.12, TREG1_34610.13, TREG1_34610.16, TREG1_34610.5, TREG1_65870.1, TREG1_23940.3, TREG1_23940.5, TREG1_23940.6, TREG1_133410.1, TREG1_133410.2, TREG1_26380.1, TREG1_26380.2, TREG1_26380.3, TREG1_36480.1, TREG1_36480.7, TREG1_92590.8, TREG1_1510.1, TREG1_1510.2, TREG1_34610.11, TREG1_34610.14, TREG1_34610.15, TREG1_34610.8, TREG1_113750.12, TREG1_113750.1, TREG1_113750.13, TREG1_113750.15, TREG1_113750.16, TREG1_113750.17, TREG1_113750.2, TREG1_113750.23, TREG1_113750.24, TREG1_113750.3, TREG1_113750.5, TREG1_113750.10, TREG1_113750.18, TREG1_113750.19, TREG1_113750.25, TREG1_113750.26, TREG1_113750.4, TREG1_113750.6, TREG1_113750.7, TREG1_113750.11, TREG1_113750.20, TREG1_113750.21, TREG1_113750.22, TREG1_113750.8, TREG1_113750.9, TREG1_87530.1, TREG1_9860.1, TREG1_142570.1, TREG1_132800.1, TREG1_140190.1, TREG1_100340.7, TREG1_130090.1, TREG1_54100.5, TREG1_62120.1, TREG1_118210.2, TREG1_118210.3, TREG1_108080.1, TREG1_118210.5, TREG1_118210.1, TREG1_14750.1, TREG1_14750.2, TREG1_141780.1, TREG1_47460.10, TREG1_47460.9, TREG1_1020.1, TREG1_1020.2, TREG1_62130.1, TREG1_100340.1, TREG1_100340.2, TREG1_47460.4, TREG1_47460.7, TREG1_130090.2, TREG1_60090.1, TREG1_60090.2, TREG1_141470.1, TREG1_34070.1, TREG1_8980.1, TREG1_95510.1, TREG1_28390.3, TREG1_67670.1, TREG1_28390.1, TREG1_47460.1, TREG1_47460.2, TREG1_92590.7, TREG1_23940.1, TREG1_23940.2, TREG1_23940.4, TREG1_26230.6, TREG1_91460.1, TREG1_38750.1, TREG1_75660.3, TREG1_75660.1, TREG1_75660.2, TREG1_75660.4, TREG1_105260.1, TREG1_105260.2, TREG1_34610.7, TREG1_115500.1, TREG1_138250.1, TREG1_65870.2, TREG1_65870.4, TREG1_9690.1, TREG1_65370.2, TREG1_91460.2, TREG1_91460.3, TREG1_65870.3, TREG1_34610.9, TREG1_34610.6, TREG1_34680.1, TREG1_26230.5, TREG1_8530.2, TREG1_108320.1, TREG1_26230.1, TREG1_74710.5, TREG1_92590.10, TREG1_92590.4, TREG1_92590.12, TREG1_101090.3, TREG1_92590.9, TREG1_57260.11, TREG1_92590.1, TREG1_45630.1, TREG1_131400.1, TREG1_57260.3, TREG1_57260.5, TREG1_57260.9, TREG1_57260.2, TREG1_57260.4, TREG1_57260.8, TREG1_96490.3, TREG1_96490.2, TREG1_96490.6, TREG1_96490.1, TREG1_96490.4, TREG1_96490.5, TREG1_57260.1, TREG1_57260.6, TREG1_57260.7, TREG1_142850.1, TREG1_60580.1, TREG1_60580.2, TREG1_26230.3, TREG1_74710.1, TREG1_74710.3, TREG1_74710.4, TREG1_47460.3, TREG1_113760.1, TREG1_26190.1, TREG1_38660.1, TREG1_38660.2, TREG1_38660.3, TREG1_38660.4, TREG1_118810.1, TREG1_118810.2, TREG1_118810.3, TREG1_64940.1, TREG1_133610.1, TREG1_133610.2, TREG1_123550.1, TREG1_7760.1, TREG1_71280.1, TREG1_116490.1, TREG1_76540.1, TREG1_92590.2, TREG1_92590.3, TREG1_121700.4, TREG1_121700.5, TREG1_121700.6, TREG1_121700.7, TREG1_121700.8, TREG1_121700.1, TREG1_121700.2, TREG1_121700.3, TREG1_101090.4, TREG1_101090.5, TREG1_101090.7, TREG1_140640.1, TREG1_51480.1, TREG1_121700.9, TREG1_101090.2, TREG1_141770.1, TREG1_101090.1, TREG1_110440.1, TREG1_93070.1, TREG1_142860.1, TREG1_54100.1, TREG1_54100.2, TREG1_54100.3, TREG1_88630.1, TREG1_88630.2, TREG1_54100.4, TREG1_33590.3, TREG1_33590.1, TREG1_33590.2, TREG1_34060.1	EWB00_005940.4, EWB00_007899
OG0000014	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	TREG1_82560.1	EWB00_008878
OG0000015	TREG1_82570.1	EWB00_008877
OG0000015	TREG1_44970.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	TREG1_44960.1	EWB00_004377.1, EWB00_004377.2
OG0000015	TREG1_44940.2, TREG1_44940.1	EWB00_004374
OG0000015	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1	EWB00_006401.1, EWB00_006401.2
OG0000015	TREG1_129100.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000019	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2	EWB00_004344, EWB00_004346
OG0000021	TREG1_7080.1	EWB00_010539
OG0000021	TREG1_13160.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	TREG1_13170.1, TREG1_13180.1	EWB00_010822
OG0000021	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5	EWB00_002049
OG0000021	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3	EWB00_002050.1, EWB00_002050.2
OG0000021	TREG1_13150.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
OG0000022	TREG1_58780.1	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1	EWB00_008435
OG0000024	TREG1_48810.1	EWB00_007079
OG0000024	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1	EWB00_008906
OG0000024	TREG1_101000.1	EWB00_001214
OG0000024	TREG1_101010.1	EWB00_003471
OG0000026	TREG1_108810.1	EWB00_002251.1, EWB00_002251.2
OG0000026	TREG1_100830.1, TREG1_100840.1	EWB00_002721, EWB00_002746
OG0000027	TREG1_41010.1	EWB00_003944
OG0000028	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	TREG1_77780.2, TREG1_77780.1	EWB00_008857
OG0000029	TREG1_125210.1	EWB00_007517
OG0000029	TREG1_27530.1, TREG1_27540.1	EWB00_002502.3
OG0000029	TREG1_124060.1	EWB00_004876
OG0000029	TREG1_124050.1	EWB00_004878
OG0000030	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1	EWB00_003826
OG0000031	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	TREG1_5090.4, TREG1_5070.1, TREG1_5090.2, TREG1_5080.1, TREG1_5090.1, TREG1_5090.3	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3
OG0000032	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1	EWB00_010258, EWB00_009578
OG0000032	TREG1_77560.1	EWB00_003338
OG0000033	TREG1_21870.1, TREG1_24050.1, TREG1_28200.1, TREG1_139970.1, TREG1_145000.2, TREG1_145010.1, TREG1_139970.3, TREG1_139970.2, TREG1_15170.1, TREG1_64550.1, TREG1_105080.1, TREG1_145000.1, TREG1_26660.2, TREG1_130180.1, TREG1_145010.2, TREG1_6850.1, TREG1_133870.1, TREG1_16270.1, TREG1_30450.1, TREG1_134810.1	EWB00_011057, EWB00_008866
OG0000034	TREG1_128470.1	EWB00_008584
OG0000034	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2	EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	TREG1_21190.1, TREG1_21180.1	EWB00_002318
OG0000036	TREG1_94140.1, TREG1_38710.1, TREG1_23760.1, TREG1_26550.1, TREG1_96170.1, TREG1_4890.1, TREG1_109400.1, TREG1_37380.1, TREG1_129170.1, TREG1_116600.1, TREG1_820.1, TREG1_46890.1, TREG1_140720.1, TREG1_114640.1, TREG1_129140.1, TREG1_134900.1, TREG1_136510.1, TREG1_2510.1, TREG1_48130.1, TREG1_74950.1	EWB00_004262, EWB00_002379, EWB00_009421, EWB00_002232, EWB00_003005, EWB00_005946, EWB00_009571
OG0000037	TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3
OG0000037	TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3	EWB00_006569
OG0000040	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000041	TREG1_142240.1, TREG1_94810.1, TREG1_90530.1, TREG1_132260.1, TREG1_142450.1, TREG1_34660.1, TREG1_94730.1, TREG1_48330.1, TREG1_142510.1, TREG1_127330.1, TREG1_49790.1, TREG1_96930.1, TREG1_112840.1, TREG1_118460.1, TREG1_140420.1, TREG1_58250.1, TREG1_93850.1, TREG1_134000.1, TREG1_20780.1, TREG1_128090.1, TREG1_87730.1, TREG1_57760.1, TREG1_86290.1, TREG1_133170.1, TREG1_132690.1, TREG1_132690.2, TREG1_31410.1, TREG1_28280.1, TREG1_102930.1, TREG1_71090.10, TREG1_28290.1, TREG1_27470.1, TREG1_126080.1, TREG1_89370.1, TREG1_145150.1, TREG1_16360.17, TREG1_140910.1, TREG1_9970.1, TREG1_133440.1, TREG1_56810.1, TREG1_62140.1, TREG1_91250.1, TREG1_139380.1, TREG1_107530.1, TREG1_133630.1, TREG1_132300.1, TREG1_132300.2, TREG1_91930.1, TREG1_49510.1, TREG1_31020.1, TREG1_117160.1, TREG1_83210.1, TREG1_70760.1, TREG1_59840.1, TREG1_2550.1, TREG1_98170.1, TREG1_100820.1, TREG1_122930.1, TREG1_130960.1, TREG1_132780.1, TREG1_114020.1, TREG1_27300.1, TREG1_37390.1, TREG1_37050.1, TREG1_61590.1, TREG1_69370.1, TREG1_92700.1, TREG1_46260.1, TREG1_109760.1, TREG1_131300.1, TREG1_55930.1, TREG1_8580.1, TREG1_142670.1, TREG1_76000.1, TREG1_89330.1, TREG1_46610.1, TREG1_127680.1, TREG1_16420.1	EWB00_010562, EWB00_005597, EWB00_003816
OG0000042	TREG1_41180.1, TREG1_41180.2	EWB00_009261.1, EWB00_009261.2
OG0000042	TREG1_138040.1	EWB00_009262
OG0000042	TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2	EWB00_004609, EWB00_004610, EWB00_009263
OG0000043	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4	EWB00_003370, EWB00_010871
OG0000044	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2
OG0000045	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000046	TREG1_82050.1	EWB00_001944
OG0000046	TREG1_84750.1, TREG1_84750.2, TREG1_84750.3	EWB00_009841, EWB00_008650
OG0000046	TREG1_47460.8, TREG1_47460.6, TREG1_47460.5, TREG1_94310.1, TREG1_94310.2, TREG1_94310.3, TREG1_94310.4, TREG1_94320.1, TREG1_122920.1, TREG1_122920.2, TREG1_122920.3, TREG1_10640.1, TREG1_141250.1, TREG1_27670.2, TREG1_27670.3, TREG1_94330.1, TREG1_131520.1, TREG1_131870.1, TREG1_97370.1, TREG1_131870.2, TREG1_145250.1, TREG1_145250.2, TREG1_145250.3, TREG1_2880.1, TREG1_2880.2, TREG1_2880.3, TREG1_131520.4, TREG1_131520.2, TREG1_131520.3, TREG1_131520.5, TREG1_27670.1, TREG1_83780.1, TREG1_83780.2, TREG1_83780.3	EWB00_004680, EWB00_005730, EWB00_000584, EWB00_002790.1, EWB00_002790.2
OG0000049	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4	EWB00_001608.1, EWB00_001608.2
OG0000049	TREG1_104790.1	EWB00_008098
OG0000050	TREG1_61870.1, TREG1_61870.2	EWB00_005371.1, EWB00_005371.2
OG0000052	TREG1_49560.1, TREG1_49560.2	EWB00_003293
OG0000052	TREG1_1120.1, TREG1_1140.1	EWB00_007330
OG0000052	TREG1_13330.1, TREG1_13320.1	EWB00_005671
OG0000052	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2	EWB00_003847
OG0000052	TREG1_82400.1	EWB00_009848
OG0000053	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9	EWB00_005460.2, EWB00_005460.1
OG0000054	TREG1_17230.1	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548
OG0000055	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000057	TREG1_59320.1, TREG1_142620.1, TREG1_45550.1, TREG1_40710.1, TREG1_94400.1, TREG1_8970.1, TREG1_141350.1, TREG1_141350.2, TREG1_30560.1, TREG1_85340.1, TREG1_83390.1, TREG1_65130.1, TREG1_11820.1, TREG1_29000.1, TREG1_40350.1, TREG1_132830.1, TREG1_111550.1, TREG1_142630.1, TREG1_145280.1, TREG1_43520.1, TREG1_106100.1, TREG1_121450.1, TREG1_77510.1, TREG1_118740.1, TREG1_92450.1, TREG1_25940.1, TREG1_58160.1, TREG1_22740.1, TREG1_57210.1, TREG1_77710.1, TREG1_115510.1, TREG1_3200.1, TREG1_43460.1, TREG1_45660.1, TREG1_45680.1, TREG1_32070.1, TREG1_120500.1, TREG1_39320.1, TREG1_83580.1, TREG1_61160.1, TREG1_128790.1, TREG1_36360.1, TREG1_78490.1, TREG1_130560.1, TREG1_1100.1, TREG1_97600.1, TREG1_70910.1, TREG1_96110.1, TREG1_38080.1, TREG1_138400.1, TREG1_65800.1, TREG1_92220.1, TREG1_30360.1, TREG1_142550.1, TREG1_133840.1, TREG1_94360.1, TREG1_19730.1, TREG1_70560.1, TREG1_139390.1, TREG1_18950.1, TREG1_18950.2, TREG1_99600.1, TREG1_117500.1, TREG1_106120.1	EWB00_008005
OG0000058	TREG1_125580.1	EWB00_001871
OG0000058	TREG1_101190.1, TREG1_101210.1	EWB00_003488.1, EWB00_003488.2
OG0000058	TREG1_109360.1, TREG1_109360.2	EWB00_003491
OG0000060	TREG1_87890.1	EWB00_010498.1, EWB00_010498.2
OG0000061	TREG1_76900.1, TREG1_76910.1	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000063	TREG1_43920.1, TREG1_43920.2	EWB00_006170
OG0000064	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	TREG1_32260.1, TREG1_32260.2	EWB00_000537
OG0000065	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000067	TREG1_91260.1	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3
OG0000068	TREG1_71380.1	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	TREG1_131340.1, TREG1_131340.2	EWB00_000572
OG0000068	TREG1_55730.1	EWB00_004327
OG0000068	TREG1_49690.1	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000069	TREG1_21770.1, TREG1_21780.1	EWB00_002487
OG0000070	TREG1_42860.1	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2	EWB00_001786
OG0000072	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15	EWB00_001684
OG0000073	TREG1_65500.1, TREG1_65510.1	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	TREG1_9890.1	EWB00_007721.2, EWB00_007721.3, EWB00_007721.5
OG0000074	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2	EWB00_007512.1
OG0000074	TREG1_20790.1	EWB00_004196.6
OG0000074	TREG1_124660.1	EWB00_008993
OG0000075	TREG1_53440.1, TREG1_53440.2	EWB00_001749
OG0000076	TREG1_126320.1, TREG1_126330.1	EWB00_000338, EWB00_000339
OG0000076	TREG1_910.2, TREG1_910.1, TREG1_920.1	EWB00_009041
OG0000077	TREG1_9470.1, TREG1_9470.2	EWB00_004677
OG0000078	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	TREG1_52960.1	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3	EWB00_006494.1, EWB00_006494.2
