Orthogroup	trichobilharzia_regenti	s.mekongi
OG0000024	TREG1_101010.1	KAK4470057.1
OG0000026	TREG1_108810.1	KAK4470973.1
OG0000026	TREG1_100830.1, TREG1_100840.1	KAK4470239.1, KAK4470240.1, KAK4470216.1
OG0000027	TREG1_41010.1	KAK4473677.1, KAK4472147.1
OG0000028	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2	KAK4470768.1
OG0000029	TREG1_77780.2, TREG1_77780.1	KAK4471130.1
OG0000029	TREG1_125210.1	KAK4468717.1
OG0000029	TREG1_120250.1	KAK4468778.1
OG0000029	TREG1_124060.1	KAK4468699.1
OG0000030	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1	KAK4476063.1
OG0000031	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9	KAK4475389.1
OG0000032	TREG1_5090.4, TREG1_5070.1, TREG1_5090.2, TREG1_5080.1, TREG1_5090.1, TREG1_5090.3	KAK4476285.1
OG0000032	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1	KAK4476283.1, KAK4476284.1
OG0000032	TREG1_77560.1	KAK4470045.1
OG0000033	TREG1_21870.1, TREG1_24050.1, TREG1_28200.1, TREG1_139970.1, TREG1_145000.2, TREG1_145010.1, TREG1_139970.3, TREG1_139970.2, TREG1_15170.1, TREG1_64550.1, TREG1_105080.1, TREG1_145000.1, TREG1_26660.2, TREG1_130180.1, TREG1_145010.2, TREG1_6850.1, TREG1_133870.1, TREG1_16270.1, TREG1_30450.1, TREG1_134810.1	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1
OG0000034	TREG1_128470.1	KAK4468479.1
OG0000034	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2	KAK4468478.1, KAK4471028.1, KAK4471029.1
OG0000035	TREG1_21190.1, TREG1_21180.1	KAK4475274.1
OG0000036	TREG1_63270.1	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1
OG0000036	TREG1_94140.1, TREG1_38710.1, TREG1_23760.1, TREG1_26550.1, TREG1_96170.1, TREG1_4890.1, TREG1_109400.1, TREG1_37380.1, TREG1_129170.1, TREG1_116600.1, TREG1_820.1, TREG1_46890.1, TREG1_140720.1, TREG1_114640.1, TREG1_129140.1, TREG1_134900.1, TREG1_136510.1, TREG1_2510.1, TREG1_48130.1, TREG1_74950.1	KAK4472143.1, KAK4472173.1, KAK4474228.1, KAK4474291.1, KAK4467477.1, KAK4471065.1, KAK4474306.1, KAK4472149.1, KAK4470022.1, KAK4471041.1, KAK4474305.1, KAK4474277.1, KAK4469008.1, KAK4471073.1, KAK4471076.1, KAK4474227.1, KAK4471072.1, KAK4470050.1
OG0000037	TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1	KAK4471851.1
OG0000037	TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3	KAK4471850.1
OG0000041	TREG1_142240.1, TREG1_94810.1, TREG1_90530.1, TREG1_132260.1, TREG1_142450.1, TREG1_34660.1, TREG1_94730.1, TREG1_48330.1, TREG1_142510.1, TREG1_127330.1, TREG1_49790.1, TREG1_96930.1, TREG1_112840.1, TREG1_118460.1, TREG1_140420.1, TREG1_58250.1, TREG1_93850.1, TREG1_134000.1, TREG1_20780.1, TREG1_128090.1, TREG1_87730.1, TREG1_57760.1, TREG1_86290.1, TREG1_133170.1, TREG1_132690.1, TREG1_132690.2, TREG1_31410.1, TREG1_28280.1, TREG1_102930.1, TREG1_71090.10, TREG1_28290.1, TREG1_27470.1, TREG1_126080.1, TREG1_89370.1, TREG1_145150.1, TREG1_16360.17, TREG1_140910.1, TREG1_9970.1, TREG1_133440.1, TREG1_56810.1, TREG1_62140.1, TREG1_91250.1, TREG1_139380.1, TREG1_107530.1, TREG1_133630.1, TREG1_132300.1, TREG1_132300.2, TREG1_91930.1, TREG1_49510.1, TREG1_31020.1, TREG1_117160.1, TREG1_83210.1, TREG1_70760.1, TREG1_59840.1, TREG1_2550.1, TREG1_98170.1, TREG1_100820.1, TREG1_122930.1, TREG1_130960.1, TREG1_132780.1, TREG1_114020.1, TREG1_27300.1, TREG1_37390.1, TREG1_37050.1, TREG1_61590.1, TREG1_69370.1, TREG1_92700.1, TREG1_46260.1, TREG1_109760.1, TREG1_131300.1, TREG1_55930.1, TREG1_8580.1, TREG1_142670.1, TREG1_76000.1, TREG1_89330.1, TREG1_46610.1, TREG1_127680.1, TREG1_16420.1	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1
OG0000042	TREG1_41180.1, TREG1_41180.2	KAK4472150.1
OG0000042	TREG1_138040.1	KAK4472153.1
OG0000042	TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2	KAK4473688.1, KAK4472151.1, KAK4472152.1
OG0000044	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3	KAK4468903.1, KAK4468904.1
OG0000045	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4	KAK4468037.1, KAK4470284.1
OG0000049	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4	KAK4470136.1, KAK4470137.1
OG0000049	TREG1_104790.1	KAK4470598.1
OG0000050	TREG1_61870.1, TREG1_61870.2	KAK4469367.1
OG0000052	TREG1_49560.1, TREG1_49560.2	KAK4472821.1
OG0000052	TREG1_1120.1, TREG1_1140.1	KAK4474336.1
OG0000052	TREG1_13330.1, TREG1_13320.1	KAK4474374.1
OG0000052	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2	KAK4474946.1
OG0000052	TREG1_82400.1	KAK4471620.1
OG0000053	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9	KAK4475177.1, KAK4475178.1
OG0000054	TREG1_17230.1	KAK4471074.1, KAK4472139.1, KAK4469996.1
OG0000055	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5	KAK4471575.1, KAK4471564.1
OG0000057	TREG1_59320.1, TREG1_142620.1, TREG1_45550.1, TREG1_40710.1, TREG1_94400.1, TREG1_8970.1, TREG1_141350.1, TREG1_141350.2, TREG1_30560.1, TREG1_85340.1, TREG1_83390.1, TREG1_65130.1, TREG1_11820.1, TREG1_29000.1, TREG1_40350.1, TREG1_132830.1, TREG1_111550.1, TREG1_142630.1, TREG1_145280.1, TREG1_43520.1, TREG1_106100.1, TREG1_121450.1, TREG1_77510.1, TREG1_118740.1, TREG1_92450.1, TREG1_25940.1, TREG1_58160.1, TREG1_22740.1, TREG1_57210.1, TREG1_77710.1, TREG1_115510.1, TREG1_3200.1, TREG1_43460.1, TREG1_45660.1, TREG1_45680.1, TREG1_32070.1, TREG1_120500.1, TREG1_39320.1, TREG1_83580.1, TREG1_61160.1, TREG1_128790.1, TREG1_36360.1, TREG1_78490.1, TREG1_130560.1, TREG1_1100.1, TREG1_97600.1, TREG1_70910.1, TREG1_96110.1, TREG1_38080.1, TREG1_138400.1, TREG1_65800.1, TREG1_92220.1, TREG1_30360.1, TREG1_142550.1, TREG1_133840.1, TREG1_94360.1, TREG1_19730.1, TREG1_70560.1, TREG1_139390.1, TREG1_18950.1, TREG1_18950.2, TREG1_99600.1, TREG1_117500.1, TREG1_106120.1	KAK4468384.1, KAK4470043.1
OG0000058	TREG1_125580.1	KAK4468525.1
OG0000058	TREG1_101190.1, TREG1_101210.1	KAK4470069.1
OG0000058	TREG1_109360.1, TREG1_109360.2	KAK4470074.1, KAK4470072.1
OG0000058	TREG1_101200.1	KAK4470068.1
OG0000060	TREG1_87890.1	KAK4471247.1
OG0000061	TREG1_76900.1, TREG1_76910.1	KAK4469486.1
OG0000063	TREG1_43920.1, TREG1_43920.2	KAK4473734.1
OG0000064	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8	KAK4475705.1
OG0000065	TREG1_32260.1, TREG1_32260.2	KAK4473358.1
OG0000065	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12	KAK4473833.1
OG0000067	TREG1_91260.1	KAK4471577.1
OG0000068	TREG1_71380.1	KAK4469181.1
OG0000068	TREG1_131340.1, TREG1_131340.2	KAK4467758.1
OG0000068	TREG1_55730.1	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	TREG1_49690.1	KAK4472801.1
OG0000069	TREG1_21770.1, TREG1_21780.1	KAK4474982.1
OG0000070	TREG1_42860.1	KAK4472878.1
OG0000071	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2	KAK4472253.1
OG0000072	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15	KAK4468648.1
OG0000073	TREG1_65500.1, TREG1_65510.1	KAK4469816.1
OG0000074	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2	KAK4468714.1
OG0000074	TREG1_20790.1	KAK4474596.1
OG0000074	TREG1_124660.1	KAK4468705.1
OG0000075	TREG1_53440.1, TREG1_53440.2	KAK4472282.1
OG0000076	TREG1_126320.1, TREG1_126330.1	KAK4468620.1
OG0000076	TREG1_910.2, TREG1_910.1, TREG1_920.1	KAK4467358.1, KAK4475671.1
OG0000077	TREG1_9470.1, TREG1_9470.2	KAK4475941.1
OG0000078	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4	KAK4467476.1, KAK4475827.1
OG0000079	TREG1_52960.1	KAK4472724.1
OG0000080	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6	KAK4472503.1
OG0000082	TREG1_7110.14, TREG1_7110.8, TREG1_7110.1, TREG1_7110.11, TREG1_7110.2, TREG1_7110.3, TREG1_7110.4, TREG1_7110.5, TREG1_7110.6, TREG1_7110.9, TREG1_7110.12, TREG1_7110.10, TREG1_7110.7, TREG1_7110.13	KAK4476263.1
OG0000083	TREG1_22720.1, TREG1_117120.1, TREG1_133620.1, TREG1_30920.1, TREG1_46910.1, TREG1_80250.1, TREG1_80250.2, TREG1_80570.1, TREG1_128070.1, TREG1_134010.1, TREG1_126000.1, TREG1_29030.1, TREG1_29040.1, TREG1_81290.1, TREG1_94430.1, TREG1_85870.1, TREG1_145310.1, TREG1_80490.1, TREG1_6070.1, TREG1_68420.1, TREG1_8700.1, TREG1_143420.1, TREG1_143420.2, TREG1_143420.3, TREG1_143420.4, TREG1_117060.1, TREG1_117170.1, TREG1_79400.1, TREG1_93950.1, TREG1_96390.1, TREG1_137080.1, TREG1_93740.1, TREG1_65840.1, TREG1_111620.1, TREG1_31950.1, TREG1_132730.1, TREG1_18000.1, TREG1_100610.1, TREG1_100610.2, TREG1_86410.1, TREG1_130800.1, TREG1_30140.1, TREG1_54600.1, TREG1_89180.1, TREG1_140520.1, TREG1_140520.2, TREG1_49520.1, TREG1_93050.1, TREG1_32080.1, TREG1_111080.1, TREG1_30480.1, TREG1_104970.1, TREG1_17260.1, TREG1_17260.2, TREG1_30510.1, TREG1_33980.1, TREG1_34320.1, TREG1_79500.1, TREG1_93430.1, TREG1_70200.1, TREG1_30020.1, TREG1_104960.1, TREG1_78180.1, TREG1_34280.1, TREG1_33320.1, TREG1_97020.1, TREG1_133100.1	KAK4471026.1, KAK4474271.1
OG0000085	TREG1_54260.1, TREG1_54250.1	KAK4474010.1
OG0000086	TREG1_100910.2, TREG1_100910.3, TREG1_100910.8, TREG1_100910.6, TREG1_100910.5, TREG1_100910.4, TREG1_100910.10, TREG1_100910.1, TREG1_100910.7, TREG1_100910.9	KAK4470561.1
OG0000087	TREG1_69010.1	KAK4469513.1
OG0000088	TREG1_18410.1, TREG1_18410.2	KAK4475590.1
OG0000088	TREG1_18400.1, TREG1_18400.2, TREG1_18400.3	KAK4475589.1
OG0000090	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7	KAK4469374.1
OG0000091	TREG1_63980.1, TREG1_63970.1	KAK4469611.1
OG0000092	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7	KAK4475365.1
OG0000092	TREG1_28070.1	KAK4474711.1
OG0000093	TREG1_40800.1	KAK4473668.1
OG0000093	TREG1_36490.1, TREG1_36500.1, TREG1_36510.1, TREG1_36520.1, TREG1_36540.1, TREG1_36560.1, TREG1_36550.1	KAK4467328.1, KAK4467335.1
OG0000094	TREG1_6800.1	KAK4475997.1
OG0000095	TREG1_88160.1, TREG1_88160.2, TREG1_88160.4, TREG1_88160.5, TREG1_88160.3	KAK4471403.1, KAK4471978.1
OG0000096	TREG1_50750.1, TREG1_50750.4, TREG1_50750.5, TREG1_50750.6, TREG1_50750.2, TREG1_50750.3	KAK4474123.1
OG0000097	TREG1_6190.1	KAK4476042.1, KAK4476041.1
OG0000098	TREG1_36530.1	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	TREG1_89850.1	KAK4471639.1
OG0000099	TREG1_92100.1, TREG1_92090.1, TREG1_92150.1	KAK4471562.1
OG0000099	TREG1_100730.1	KAK4470190.1
OG0000102	TREG1_12100.1, TREG1_12100.2	KAK4475905.1
OG0000102	TREG1_78640.2, TREG1_78640.1, TREG1_78640.3	KAK4472110.1
OG0000103	TREG1_103240.4, TREG1_103240.8, TREG1_103240.1, TREG1_103240.2, TREG1_103240.7, TREG1_103240.9, TREG1_103240.5, TREG1_103240.3, TREG1_103240.6	KAK4470657.1
OG0000104	TREG1_5890.1	KAK4475921.1
OG0000105	TREG1_3990.1	KAK4474244.1
OG0000106	TREG1_98200.1, TREG1_98320.1	KAK4470606.1, KAK4467455.1
OG0000107	TREG1_73890.1	KAK4469978.1
OG0000108	TREG1_6870.5, TREG1_6870.6, TREG1_6870.4, TREG1_6870.3, TREG1_6870.1, TREG1_6870.2	KAK4475981.1
OG0000110	TREG1_47950.1	KAK4472451.1
OG0000110	TREG1_48000.1	KAK4472446.1
OG0000110	TREG1_47940.1, TREG1_48010.1	KAK4472452.1
OG0000110	TREG1_48030.1, TREG1_48020.1	KAK4472453.1
OG0000111	TREG1_33100.1	KAK4473064.1
OG0000111	TREG1_66640.1	KAK4469719.1
OG0000111	TREG1_50000.1	KAK4472666.1
OG0000112	TREG1_117660.1	KAK4468035.1
OG0000114	TREG1_134270.1, TREG1_134270.2	KAK4467770.1
OG0000115	TREG1_45770.1	KAK4473986.1
OG0000116	TREG1_67890.4, TREG1_67890.2, TREG1_67890.5, TREG1_67890.1, TREG1_67890.3	KAK4469396.1
OG0000117	TREG1_48240.1, TREG1_48240.4, TREG1_48240.2, TREG1_48240.3	KAK4472459.1
OG0000118	TREG1_45530.1, TREG1_45530.2	KAK4473725.1
OG0000118	TREG1_45520.2, TREG1_45520.7, TREG1_45520.1, TREG1_45520.3, TREG1_45520.4, TREG1_45520.5, TREG1_45520.6, TREG1_45610.1, TREG1_45620.1, TREG1_45560.1, TREG1_45640.1, TREG1_45640.2	KAK4473729.1, KAK4473727.1, KAK4473726.1, KAK4473728.1
OG0000119	TREG1_135860.5, TREG1_135860.3, TREG1_135860.4, TREG1_135860.7, TREG1_135860.6, TREG1_135860.9, TREG1_135860.10, TREG1_135860.1, TREG1_135860.2, TREG1_135860.11, TREG1_135860.8	KAK4467682.1
OG0000120	TREG1_47680.6, TREG1_47680.10, TREG1_47680.1, TREG1_47680.2, TREG1_47680.3, TREG1_47680.5, TREG1_47680.8, TREG1_47680.9, TREG1_47680.4, TREG1_47680.7	KAK4472468.1
OG0000122	TREG1_101160.8, TREG1_101160.1, TREG1_101160.2, TREG1_101160.7, TREG1_101160.3, TREG1_101160.4, TREG1_101160.5, TREG1_101160.6	KAK4470066.1
OG0000123	TREG1_104380.1, TREG1_104380.2, TREG1_104380.3	KAK4470855.1
OG0000125	TREG1_11410.12, TREG1_11410.5, TREG1_11410.7, TREG1_11410.11, TREG1_11410.3, TREG1_11410.4, TREG1_11410.8, TREG1_11410.1, TREG1_11410.2, TREG1_11410.10, TREG1_11410.6, TREG1_11410.9	KAK4474534.1
OG0000126	TREG1_95210.1	KAK4470546.1
OG0000127	TREG1_54350.1	KAK4475492.1
OG0000128	TREG1_42700.1, TREG1_42710.1	KAK4473532.1
OG0000129	TREG1_51790.1	KAK4474206.1
OG0000130	TREG1_114030.3, TREG1_114030.1, TREG1_114030.2	KAK4467983.1
OG0000131	TREG1_10880.1	KAK4476229.1, KAK4468902.1
OG0000132	TREG1_52710.1, TREG1_52710.2	KAK4474101.1
OG0000133	TREG1_46850.1	KAK4472626.1
OG0000134	TREG1_16070.6, TREG1_16070.7, TREG1_16070.4, TREG1_16070.1, TREG1_16070.10, TREG1_16070.11, TREG1_16070.12, TREG1_16070.13, TREG1_16070.16, TREG1_16070.18, TREG1_16070.19, TREG1_16070.20, TREG1_16070.22, TREG1_16070.23, TREG1_16070.8, TREG1_16070.9, TREG1_16070.15, TREG1_16070.2, TREG1_16070.17, TREG1_16070.21, TREG1_16070.3, TREG1_16070.5, TREG1_16070.14	KAK4475011.1
OG0000135	TREG1_30030.1	KAK4474731.1
OG0000136	TREG1_10930.1, TREG1_10930.3, TREG1_10930.6, TREG1_10930.7, TREG1_10930.4, TREG1_10930.5, TREG1_10930.2	KAK4476189.1, KAK4476190.1
OG0000138	TREG1_120930.1, TREG1_120930.3, TREG1_120930.2	KAK4468744.1
OG0000138	TREG1_35980.1, TREG1_35980.2, TREG1_35980.4, TREG1_35980.3	KAK4473697.1
OG0000139	TREG1_3840.1	KAK4475677.1
OG0000140	TREG1_105170.1, TREG1_105160.1	KAK4470680.1, KAK4470033.1
OG0000142	TREG1_22240.1, TREG1_22210.1, TREG1_22220.1, TREG1_22220.2	KAK4475021.1, KAK4475019.1, KAK4475022.1
OG0000143	TREG1_90200.1, TREG1_92810.1, TREG1_92810.2, TREG1_92840.1, TREG1_90670.8, TREG1_90800.1, TREG1_92750.1, TREG1_92750.2, TREG1_92750.3, TREG1_92750.4, TREG1_92820.1, TREG1_93230.1, TREG1_92670.1, TREG1_92680.1, TREG1_92710.2, TREG1_92760.1, TREG1_92770.1, TREG1_92710.1, TREG1_92780.1, TREG1_92620.1, TREG1_92650.1, TREG1_93270.1, TREG1_93280.1, TREG1_93260.1, TREG1_93290.1, TREG1_93240.1, TREG1_93250.1, TREG1_92660.1, TREG1_138470.1, TREG1_92610.1, TREG1_92610.2, TREG1_92640.1, TREG1_92740.1, TREG1_92800.1, TREG1_92790.1, TREG1_92830.1, TREG1_92830.2	KAK4471520.1, KAK4471522.1
OG0000144	TREG1_75080.1, TREG1_75090.1	KAK4469871.1
OG0000144	TREG1_59650.1, TREG1_72000.1	KAK4473145.1
OG0000144	TREG1_72690.1, TREG1_72690.2, TREG1_72690.3, TREG1_72690.4, TREG1_72690.5	KAK4469772.1
OG0000145	TREG1_34360.10, TREG1_34360.1, TREG1_34360.2, TREG1_34360.6, TREG1_34360.8, TREG1_34360.9, TREG1_34360.12, TREG1_34360.7, TREG1_34360.3, TREG1_34360.4, TREG1_34360.5, TREG1_34360.11	KAK4472181.1
OG0000146	TREG1_125040.1	KAK4468443.1
OG0000146	TREG1_76210.1	KAK4469748.1
OG0000146	TREG1_46270.1	KAK4472748.1
OG0000146	TREG1_67040.1	KAK4469097.1
OG0000147	TREG1_44400.1, TREG1_44400.2, TREG1_44400.3, TREG1_44400.4	KAK4474043.1
OG0000149	TREG1_71310.1	KAK4469180.1
OG0000151	TREG1_90300.1	KAK4471438.1, KAK4471439.1
