Orthogroup	trichobilharzia_regenti	schistosoma_mansoni
OG0000031	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9	Smp_017010.1
OG0000032	TREG1_5090.4, TREG1_5070.1, TREG1_5090.2, TREG1_5080.1, TREG1_5090.1, TREG1_5090.3	Smp_079970.1
OG0000032	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1	Smp_030730.1
OG0000032	TREG1_77560.1	Smp_313990.1, Smp_164480.1
OG0000034	TREG1_128470.1	Smp_009430.1
OG0000034	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2	Smp_308940.1, Smp_308930.1, Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1
OG0000035	TREG1_21190.1, TREG1_21180.1	Smp_045860.1
OG0000036	TREG1_63270.1	Smp_173130.1
OG0000037	TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1	Smp_157980.1, Smp_157980.2
OG0000037	TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3	Smp_308100.1, Smp_308110.1
OG0000040	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2
OG0000041	TREG1_142240.1, TREG1_94810.1, TREG1_90530.1, TREG1_132260.1, TREG1_142450.1, TREG1_34660.1, TREG1_94730.1, TREG1_48330.1, TREG1_142510.1, TREG1_127330.1, TREG1_49790.1, TREG1_96930.1, TREG1_112840.1, TREG1_118460.1, TREG1_140420.1, TREG1_58250.1, TREG1_93850.1, TREG1_134000.1, TREG1_20780.1, TREG1_128090.1, TREG1_87730.1, TREG1_57760.1, TREG1_86290.1, TREG1_133170.1, TREG1_132690.1, TREG1_132690.2, TREG1_31410.1, TREG1_28280.1, TREG1_102930.1, TREG1_71090.10, TREG1_28290.1, TREG1_27470.1, TREG1_126080.1, TREG1_89370.1, TREG1_145150.1, TREG1_16360.17, TREG1_140910.1, TREG1_9970.1, TREG1_133440.1, TREG1_56810.1, TREG1_62140.1, TREG1_91250.1, TREG1_139380.1, TREG1_107530.1, TREG1_133630.1, TREG1_132300.1, TREG1_132300.2, TREG1_91930.1, TREG1_49510.1, TREG1_31020.1, TREG1_117160.1, TREG1_83210.1, TREG1_70760.1, TREG1_59840.1, TREG1_2550.1, TREG1_98170.1, TREG1_100820.1, TREG1_122930.1, TREG1_130960.1, TREG1_132780.1, TREG1_114020.1, TREG1_27300.1, TREG1_37390.1, TREG1_37050.1, TREG1_61590.1, TREG1_69370.1, TREG1_92700.1, TREG1_46260.1, TREG1_109760.1, TREG1_131300.1, TREG1_55930.1, TREG1_8580.1, TREG1_142670.1, TREG1_76000.1, TREG1_89330.1, TREG1_46610.1, TREG1_127680.1, TREG1_16420.1	Smp_158210.1
OG0000042	TREG1_41180.1, TREG1_41180.2	Smp_247180.1
OG0000042	TREG1_138040.1	Smp_247170.1
OG0000042	TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2	Smp_048050.1, Smp_048050.2, Smp_049230.1, Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1
OG0000043	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4	Smp_083340.1
OG0000044	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1, Smp_155530.1, Smp_062080.1
OG0000045	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4	Smp_094770.1, Smp_175400.1
OG0000046	TREG1_82050.1	Smp_174250.1
OG0000047	TREG1_115800.1, TREG1_109470.1, TREG1_109470.4, TREG1_109470.6, TREG1_109470.5, TREG1_109470.7, TREG1_109470.2, TREG1_109470.3, TREG1_48980.6, TREG1_48980.3, TREG1_1760.4, TREG1_48980.1, TREG1_48980.2, TREG1_48980.5, TREG1_1760.3, TREG1_1760.1, TREG1_1760.2, TREG1_1750.1, TREG1_1750.2, TREG1_48980.4, TREG1_1750.3, TREG1_48980.7, TREG1_10650.1	Smp_076460.1
OG0000049	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4	Smp_315900.2, Smp_315900.1
OG0000049	TREG1_104790.1	Smp_343120.1
OG0000050	TREG1_61870.1, TREG1_61870.2	Smp_311520.1, Smp_245890.1
OG0000052	TREG1_49560.1, TREG1_49560.2	Smp_034920.1
OG0000052	TREG1_1120.1, TREG1_1140.1	Smp_332890.1
OG0000052	TREG1_13330.1, TREG1_13320.1	Smp_130810.1
OG0000052	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2	Smp_303940.1
OG0000052	TREG1_82400.1	Smp_159840.1
OG0000053	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9	Smp_075220.1
OG0000054	TREG1_17230.1, TREG1_78260.1, TREG1_125050.1, TREG1_108180.1, TREG1_49720.1, TREG1_138980.1, TREG1_138980.2, TREG1_138980.3, TREG1_145510.1, TREG1_60480.1, TREG1_60480.2, TREG1_97910.2, TREG1_10200.1, TREG1_51670.2, TREG1_113750.28, TREG1_128510.1, TREG1_88620.1, TREG1_24310.1, TREG1_51670.1	Smp_106390.1
OG0000055	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5	Smp_309720.1, Smp_309710.1
OG0000058	TREG1_125580.1	Smp_247950.1
OG0000058	TREG1_101190.1, TREG1_101210.1	Smp_247290.1
OG0000058	TREG1_109360.1, TREG1_109360.2	Smp_054010.1
OG0000058	TREG1_101200.1	Smp_150990.1, Smp_150990.2
OG0000060	TREG1_87890.1	Smp_123510.1
OG0000061	TREG1_76900.1, TREG1_76910.1	Smp_212360.2, Smp_212360.1
OG0000063	TREG1_43920.1, TREG1_43920.2	Smp_171820.1
OG0000064	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8	Smp_332910.1, Smp_332910.2
OG0000065	TREG1_32260.1, TREG1_32260.2	Smp_085010.1, Smp_085010.2
OG0000065	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2	Smp_067060.1, Smp_103610.1, Smp_344940.1
OG0000066	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12	Smp_040970.1
OG0000067	TREG1_91260.1	Smp_000260.1
OG0000068	TREG1_71380.1	Smp_002410.1
OG0000068	TREG1_131340.1, TREG1_131340.2	Smp_041430.1
OG0000068	TREG1_55730.1	Smp_301620.1, Smp_009760.1
OG0000068	TREG1_49690.1	Smp_034840.1
OG0000069	TREG1_21770.1, TREG1_21780.1	Smp_155020.1
OG0000070	TREG1_42860.1	Smp_315710.1
OG0000071	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2	Smp_033600.1
OG0000072	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15	Smp_343430.1
OG0000073	TREG1_65500.1, TREG1_65510.1	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2	Smp_164380.1
OG0000074	TREG1_20790.1	Smp_307260.1
OG0000074	TREG1_124660.1	Smp_085690.1
OG0000075	TREG1_53440.1, TREG1_53440.2	Smp_246680.1
OG0000076	TREG1_126320.1, TREG1_126330.1	Smp_141980.1, Smp_141980.2, Smp_141980.3
OG0000076	TREG1_910.2, TREG1_910.1, TREG1_920.1	Smp_134140.2, Smp_134140.1
OG0000077	TREG1_9470.1, TREG1_9470.2	Smp_244680.1, Smp_244680.2
OG0000078	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4	Smp_092530.1
OG0000079	TREG1_52960.1	Smp_129050.1
OG0000079	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000082	TREG1_7110.14, TREG1_7110.8, TREG1_7110.1, TREG1_7110.11, TREG1_7110.2, TREG1_7110.3, TREG1_7110.4, TREG1_7110.5, TREG1_7110.6, TREG1_7110.9, TREG1_7110.12, TREG1_7110.10, TREG1_7110.7, TREG1_7110.13	Smp_132900.1
OG0000084	TREG1_63340.1	Smp_185180.1, Smp_179580.1
OG0000084	TREG1_32550.1, TREG1_60570.1, TREG1_61680.1, TREG1_60470.1, TREG1_145020.1, TREG1_25920.1, TREG1_137750.1, TREG1_113070.1	Smp_201970.1
OG0000085	TREG1_54260.1, TREG1_54250.1	Smp_127430.1
OG0000086	TREG1_100910.2, TREG1_100910.3, TREG1_100910.8, TREG1_100910.6, TREG1_100910.5, TREG1_100910.4, TREG1_100910.10, TREG1_100910.1, TREG1_100910.7, TREG1_100910.9	Smp_149300.1
OG0000087	TREG1_69010.1	Smp_245790.1
OG0000088	TREG1_18410.1, TREG1_18410.2	Smp_028690.1, Smp_028690.2
OG0000088	TREG1_18400.1, TREG1_18400.2, TREG1_18400.3	Smp_131890.1
OG0000090	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7	Smp_310930.1
OG0000091	TREG1_63980.1, TREG1_63970.1	Smp_146060.1
OG0000092	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7	Smp_180470.1, Smp_180470.2
OG0000092	TREG1_28070.1	Smp_064870.1
OG0000093	TREG1_40800.1	Smp_049550.1
OG0000093	TREG1_36490.1, TREG1_36500.1, TREG1_36510.1, TREG1_36520.1, TREG1_36540.1, TREG1_36560.1, TREG1_36550.1	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	TREG1_6800.1	Smp_128570.1
OG0000095	TREG1_88160.1, TREG1_88160.2, TREG1_88160.4, TREG1_88160.5, TREG1_88160.3	Smp_162630.1
OG0000096	TREG1_50750.1, TREG1_50750.4, TREG1_50750.5, TREG1_50750.6, TREG1_50750.2, TREG1_50750.3	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	TREG1_6190.1	Smp_168050.1
OG0000098	TREG1_36530.1	Smp_072330.1
OG0000098	TREG1_89850.1	Smp_340630.1, Smp_340630.2
OG0000099	TREG1_92100.1, TREG1_92090.1, TREG1_92150.1	Smp_000100.1
OG0000099	TREG1_100730.1	Smp_317420.1
OG0000100	TREG1_54500.1, TREG1_93110.1, TREG1_76940.1, TREG1_129930.1	Smp_043250.1
OG0000100	TREG1_113050.1, TREG1_97820.1, TREG1_113020.1, TREG1_60720.1, TREG1_110550.1, TREG1_760.1, TREG1_126180.1	Smp_334830.1, Smp_316360.1
OG0000102	TREG1_12100.1, TREG1_12100.2	Smp_036590.1
OG0000102	TREG1_78640.2, TREG1_78640.1, TREG1_78640.3	Smp_138050.1
OG0000103	TREG1_103240.4, TREG1_103240.8, TREG1_103240.1, TREG1_103240.2, TREG1_103240.7, TREG1_103240.9, TREG1_103240.5, TREG1_103240.3, TREG1_103240.6	Smp_067000.1
OG0000104	TREG1_5890.1	Smp_006250.1
OG0000105	TREG1_3990.1	Smp_019790.1
OG0000106	TREG1_98200.1, TREG1_98320.1	Smp_345820.1, Smp_168430.1, Smp_336130.1, Smp_340550.1, Smp_337070.1, Smp_316230.1, Smp_316240.1, Smp_316210.1, Smp_316220.1, Smp_316250.1, Smp_137250.1
OG0000107	TREG1_73890.1	Smp_089430.1
OG0000107	TREG1_71680.1	Smp_335990.1
OG0000108	TREG1_6870.5, TREG1_6870.6, TREG1_6870.4, TREG1_6870.3, TREG1_6870.1, TREG1_6870.2	Smp_093930.1
OG0000110	TREG1_47950.1	Smp_333980.1
OG0000110	TREG1_48000.1	Smp_055260.1
OG0000110	TREG1_47940.1, TREG1_48010.1	Smp_129920.1
OG0000110	TREG1_48020.1	Smp_129900.1
OG0000111	TREG1_33100.1	Smp_072140.1
OG0000111	TREG1_66640.1	Smp_146600.1, Smp_146600.2
OG0000111	TREG1_50000.1	Smp_104110.1
OG0000112	TREG1_117660.1	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2
OG0000114	TREG1_134270.1, TREG1_134270.2	Smp_144700.1
OG0000115	TREG1_45770.1	Smp_094320.1
OG0000116	TREG1_67890.4, TREG1_67890.2, TREG1_67890.5, TREG1_67890.1, TREG1_67890.3	Smp_013840.1, Smp_013840.2
OG0000117	TREG1_48240.1, TREG1_48240.4, TREG1_48240.2, TREG1_48240.3	Smp_014170.1
OG0000118	TREG1_45530.1, TREG1_45530.2	Smp_319790.1, Smp_148080.1
OG0000118	TREG1_45520.2, TREG1_45520.7, TREG1_45520.1, TREG1_45520.3, TREG1_45520.4, TREG1_45520.5, TREG1_45520.6, TREG1_45610.1, TREG1_45620.1, TREG1_45560.1, TREG1_45640.1, TREG1_45640.2	Smp_344080.1, Smp_344070.1, Smp_319780.1, Smp_319770.1, Smp_319770.2
OG0000119	TREG1_135860.5, TREG1_135860.3, TREG1_135860.4, TREG1_135860.7, TREG1_135860.6, TREG1_135860.9, TREG1_135860.10, TREG1_135860.1, TREG1_135860.2, TREG1_135860.11, TREG1_135860.8	Smp_347870.1, Smp_247020.1
OG0000120	TREG1_47680.6, TREG1_47680.10, TREG1_47680.1, TREG1_47680.2, TREG1_47680.3, TREG1_47680.5, TREG1_47680.8, TREG1_47680.9, TREG1_47680.4, TREG1_47680.7	Smp_167850.1
OG0000122	TREG1_101160.8, TREG1_101160.1, TREG1_101160.2, TREG1_101160.7, TREG1_101160.3, TREG1_101160.4, TREG1_101160.5, TREG1_101160.6	Smp_344340.1
OG0000123	TREG1_104380.1, TREG1_104380.2, TREG1_104380.3	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4
OG0000125	TREG1_11410.12, TREG1_11410.5, TREG1_11410.7, TREG1_11410.11, TREG1_11410.3, TREG1_11410.4, TREG1_11410.8, TREG1_11410.1, TREG1_11410.2, TREG1_11410.10, TREG1_11410.6, TREG1_11410.9	Smp_097830.2, Smp_097830.1, Smp_097830.3
OG0000126	TREG1_95210.1	Smp_008620.1
OG0000127	TREG1_54350.1	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3
OG0000128	TREG1_42700.1, TREG1_42710.1	Smp_332660.1
OG0000129	TREG1_51790.1	Smp_140420.1
OG0000130	TREG1_114030.3, TREG1_114030.1, TREG1_114030.2	Smp_060420.1, Smp_060420.2
OG0000131	TREG1_11060.2, TREG1_11060.5, TREG1_11060.1, TREG1_11060.4, TREG1_11060.6, TREG1_11060.3	Smp_322720.1
OG0000131	TREG1_10880.1	Smp_342380.1, Smp_155520.1, Smp_155520.2, Smp_336270.1
OG0000132	TREG1_52710.1, TREG1_52710.2	Smp_028030.1
OG0000133	TREG1_46850.1	Smp_072980.1
OG0000134	TREG1_16070.6, TREG1_16070.7, TREG1_16070.4, TREG1_16070.1, TREG1_16070.10, TREG1_16070.11, TREG1_16070.12, TREG1_16070.13, TREG1_16070.16, TREG1_16070.18, TREG1_16070.19, TREG1_16070.20, TREG1_16070.22, TREG1_16070.23, TREG1_16070.8, TREG1_16070.9, TREG1_16070.15, TREG1_16070.2, TREG1_16070.17, TREG1_16070.21, TREG1_16070.3, TREG1_16070.5, TREG1_16070.14	Smp_032480.1
OG0000135	TREG1_30030.1	Smp_046060.1, Smp_046060.2
OG0000136	TREG1_10930.1, TREG1_10930.3, TREG1_10930.6, TREG1_10930.7, TREG1_10930.4, TREG1_10930.5, TREG1_10930.2	Smp_174310.1
OG0000137	TREG1_56270.1	Smp_334920.1
OG0000138	TREG1_120930.1, TREG1_120930.3, TREG1_120930.2	Smp_158600.1
OG0000138	TREG1_35980.1, TREG1_35980.2, TREG1_35980.4, TREG1_35980.3	Smp_335620.1
OG0000139	TREG1_3840.1	Smp_031040.1
OG0000140	TREG1_105170.1, TREG1_105160.1	Smp_059210.1, Smp_059210.2
OG0000142	TREG1_22240.1, TREG1_22210.1, TREG1_22220.1, TREG1_22220.2	Smp_139680.1, Smp_120070.1, Smp_203950.1
OG0000142	TREG1_22230.1, TREG1_22250.1	Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1
OG0000143	TREG1_90200.1, TREG1_92810.1, TREG1_92810.2, TREG1_92840.1, TREG1_90670.8, TREG1_90800.1, TREG1_92750.1, TREG1_92750.2, TREG1_92750.3, TREG1_92750.4, TREG1_92820.1, TREG1_93230.1, TREG1_92670.1, TREG1_92680.1, TREG1_92710.2, TREG1_92760.1, TREG1_92770.1, TREG1_92710.1, TREG1_92780.1, TREG1_92620.1, TREG1_92650.1, TREG1_93270.1, TREG1_93280.1, TREG1_93260.1, TREG1_93290.1, TREG1_93240.1, TREG1_93250.1, TREG1_92660.1, TREG1_138470.1, TREG1_92610.1, TREG1_92610.2, TREG1_92640.1, TREG1_92740.1, TREG1_92800.1, TREG1_92790.1, TREG1_92830.1, TREG1_92830.2	Smp_202190.1, Smp_301550.1, Smp_326730.1
OG0000144	TREG1_75080.1, TREG1_75090.1	Smp_034190.1
OG0000144	TREG1_59650.1, TREG1_72000.1	Smp_097660.1
OG0000144	TREG1_72690.1, TREG1_72690.2, TREG1_72690.3, TREG1_72690.4, TREG1_72690.5	Smp_166400.1
OG0000145	TREG1_34360.10, TREG1_34360.1, TREG1_34360.2, TREG1_34360.6, TREG1_34360.8, TREG1_34360.9, TREG1_34360.12, TREG1_34360.7, TREG1_34360.3, TREG1_34360.4, TREG1_34360.5, TREG1_34360.11	Smp_110280.1, Smp_110280.2
OG0000146	TREG1_125040.1	Smp_016630.1
OG0000146	TREG1_76210.1	Smp_246100.1
OG0000146	TREG1_46270.1	Smp_020080.1
OG0000146	TREG1_67040.1	Smp_016250.1
OG0000147	TREG1_44400.1, TREG1_44400.2, TREG1_44400.3, TREG1_44400.4	Smp_019170.1
OG0000149	TREG1_71310.1	Smp_123410.1
OG0000151	TREG1_90300.1	Smp_167920.1
OG0000152	TREG1_21080.1, TREG1_21100.1	Smp_078310.1
OG0000153	TREG1_76680.1, TREG1_76700.1, TREG1_76710.1, TREG1_76680.2	Smp_013950.1
OG0000153	TREG1_76670.1, TREG1_76670.2, TREG1_76670.3, TREG1_76670.4, TREG1_76660.1, TREG1_76660.2	Smp_169090.1
OG0000153	TREG1_76550.1, TREG1_76560.1	Smp_169050.2, Smp_169050.1
OG0000154	TREG1_22920.1	Smp_333260.1
