Orthogroup	schistosoma_japonicum	schistosoma_haematobium
OG0000010	EWB00_000457, EWB00_004748	SHAE2_61590.1
OG0000010	EWB00_004604	SHAE2_15450.1
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15
OG0000015	EWB00_008878	SHAE2_70060.1
OG0000015	EWB00_008877	SHAE2_70070.1
OG0000015	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5	SHAE2_41370.1
OG0000015	EWB00_004377.1, EWB00_004377.2	SHAE2_41380.1
OG0000015	EWB00_004374	SHAE2_41400.2
OG0000015	EWB00_009254, EWB00_009256.1, EWB00_009256.2	SHAE2_46480.1
OG0000015	EWB00_006401.1, EWB00_006401.2	SHAE2_45640.1
OG0000015	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	SHAE2_11980.1
OG0000018	EWB00_010090	SHAE2_33300.1, SHAE2_23610.1, SHAE2_38960.1, SHAE2_20330.3, SHAE2_20330.1, SHAE2_5050.2, SHAE2_5050.5, SHAE2_5050.6, SHAE2_5050.8, SHAE2_5050.1, SHAE2_5050.3, SHAE2_5050.4, SHAE2_5050.7, SHAE2_5050.9, SHAE2_55110.1, SHAE2_55110.2, SHAE2_55110.3, SHAE2_20330.2, SHAE2_20330.4, SHAE2_62230.1, SHAE2_62230.2
OG0000019	EWB00_004344	SHAE2_39640.11, SHAE2_39640.1, SHAE2_39640.9, SHAE2_39640.10, SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7, SHAE2_39640.3, SHAE2_39640.12
OG0000019	EWB00_004346	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000021	EWB00_010539	SHAE2_10160.1
OG0000021	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1	SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1
OG0000021	EWB00_010822	SHAE2_6360.1
OG0000021	EWB00_002049	SHAE2_6310.2, SHAE2_6310.1
OG0000021	EWB00_002050.1, EWB00_002050.2	SHAE2_6320.1
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	SHAE2_6330.1, SHAE2_6330.2
OG0000021	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3	SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000024	EWB00_007079	SHAE2_26160.1
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	SHAE2_96950.1
OG0000024	EWB00_008906	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6
OG0000024	EWB00_001214	SHAE2_84940.1, SHAE2_84940.2
OG0000024	EWB00_003471	SHAE2_84950.1
OG0000026	EWB00_002251.1, EWB00_002251.2	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	EWB00_002721	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3
OG0000026	EWB00_002746	SHAE2_76510.1, SHAE2_76510.2
OG0000027	EWB00_003944	SHAE2_42940.1
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	EWB00_008857	SHAE2_61420.1
OG0000029	EWB00_007517	SHAE2_92590.1
OG0000029	EWB00_002502.3	SHAE2_22850.2
OG0000029	EWB00_002502.3	SHAE2_22860.1
OG0000029	EWB00_002502.1	SHAE2_22850.1
OG0000029	EWB00_002502.2	SHAE2_22850.1
OG0000029	EWB00_002502.4	SHAE2_22850.1
OG0000029	EWB00_002502.1	SHAE2_22850.3
OG0000029	EWB00_002502.2	SHAE2_22850.3
OG0000029	EWB00_002502.4	SHAE2_22850.3
OG0000029	EWB00_004876	SHAE2_93560.1
OG0000029	EWB00_004878	SHAE2_93550.1
OG0000030	EWB00_003826	SHAE2_7260.1
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	SHAE2_21970.1
OG0000032	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3	SHAE2_12170.2
OG0000032	EWB00_010258	SHAE2_61170.2, SHAE2_61170.3
OG0000032	EWB00_009578	SHAE2_61170.1, SHAE2_61170.4
OG0000032	EWB00_003338	SHAE2_84140.1
OG0000033	EWB00_011057, EWB00_008866	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1
OG0000034	EWB00_008584	SHAE2_97190.1
OG0000034	EWB00_008585	SHAE2_97180.1, SHAE2_97170.1
OG0000034	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	SHAE2_57280.1, SHAE2_61250.1, SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1, SHAE2_61300.2, SHAE2_61300.1, SHAE2_61150.1, SHAE2_61160.1, SHAE2_61270.1
OG0000035	EWB00_002318	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3
OG0000036	EWB00_004262	SHAE2_93220.1, SHAE2_34210.1, SHAE2_24910.1, SHAE2_24910.2, SHAE2_95420.1
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3
OG0000037	EWB00_006569	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19, SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23, SHAE2_55390.1, SHAE2_55400.26
OG0000041	EWB00_010562, EWB00_005597, EWB00_003816	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3
OG0000042	EWB00_009261.1, EWB00_009261.2	SHAE2_42810.2, SHAE2_42810.1
OG0000042	EWB00_009262	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1
OG0000042	EWB00_004609	SHAE2_42750.1
OG0000042	EWB00_004610, EWB00_009263	SHAE2_42760.2, SHAE2_42780.1, SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1
OG0000043	EWB00_003370, EWB00_010871	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3
OG0000044	EWB00_011369.1, EWB00_011369.2	SHAE2_91220.1, SHAE2_91240.1, SHAE2_91240.2, SHAE2_91250.1, SHAE2_91250.2
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	SHAE2_12380.1, SHAE2_93110.1, SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23
OG0000046	EWB00_001944, EWB00_002829	SHAE2_4180.9, SHAE2_4180.11, SHAE2_4180.12, SHAE2_4180.5, SHAE2_4180.7, SHAE2_4180.1, SHAE2_4180.13, SHAE2_4180.3, SHAE2_4180.14, SHAE2_4180.4, SHAE2_4180.6, SHAE2_4180.8, SHAE2_4180.10, SHAE2_4180.2, SHAE2_53980.1, SHAE2_34200.2, SHAE2_34200.1, SHAE2_62240.1, SHAE2_62240.2, SHAE2_62240.3
OG0000048	EWB00_001580	SHAE2_48820.1, SHAE2_73940.1, SHAE2_48850.1, SHAE2_48840.1, SHAE2_48870.1, SHAE2_48860.1, SHAE2_101460.1, SHAE2_90060.1, SHAE2_85670.1, SHAE2_100460.1, SHAE2_100460.2
OG0000049	EWB00_001608.1, EWB00_001608.2	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
OG0000049	EWB00_008098	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6
OG0000050	EWB00_005371.1, EWB00_005371.2	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6
OG0000052	EWB00_003293	SHAE2_30940.1
OG0000052	EWB00_007330	SHAE2_3770.1
OG0000052	EWB00_005671	SHAE2_1260.1
OG0000052	EWB00_003847	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3
OG0000052	EWB00_009848	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1
OG0000053	EWB00_005460.2, EWB00_005460.1	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13, SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	SHAE2_73310.1, SHAE2_73320.1
OG0000056	EWB00_006591, EWB00_008824	SHAE2_38240.1, SHAE2_86550.1, SHAE2_47250.1
OG0000058	EWB00_001871	SHAE2_95540.1
OG0000058	EWB00_003488.1, EWB00_003488.2	SHAE2_84800.1, SHAE2_84800.2
OG0000058	EWB00_003491	SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3, SHAE2_84760.1, SHAE2_84750.1, SHAE2_84740.1
OG0000060	EWB00_010498.1, EWB00_010498.2	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4
OG0000062	EWB00_008458	SHAE2_6660.14, SHAE2_6660.4, SHAE2_6660.16, SHAE2_6660.19, SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13, SHAE2_6660.21, SHAE2_6660.3
OG0000063	EWB00_006170	SHAE2_42340.3, SHAE2_42340.15, SHAE2_42340.18, SHAE2_42340.10, SHAE2_42340.12, SHAE2_42340.7, SHAE2_42340.9, SHAE2_42340.2, SHAE2_42340.8, SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	SHAE2_4750.14, SHAE2_4750.27, SHAE2_4750.8, SHAE2_4750.10, SHAE2_4750.15, SHAE2_4750.25, SHAE2_4750.26, SHAE2_4750.13, SHAE2_4750.6, SHAE2_4750.21, SHAE2_4750.11, SHAE2_4750.3, SHAE2_4750.7, SHAE2_4750.30, SHAE2_4750.12, SHAE2_4750.19, SHAE2_4750.18, SHAE2_4750.17, SHAE2_4750.9, SHAE2_4750.28, SHAE2_4750.29, SHAE2_4750.32, SHAE2_4750.23, SHAE2_4750.24, SHAE2_4750.2, SHAE2_4750.5, SHAE2_4750.31, SHAE2_4750.22, SHAE2_4750.33, SHAE2_4750.1, SHAE2_4750.4, SHAE2_4750.20, SHAE2_4750.16
OG0000065	EWB00_000537	SHAE2_25330.1, SHAE2_25350.1, SHAE2_25340.1
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	SHAE2_25420.3, SHAE2_25420.2, SHAE2_25420.1, SHAE2_25400.1, SHAE2_25390.2, SHAE2_25390.1, SHAE2_25390.3, SHAE2_25390.5, SHAE2_25390.4
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	SHAE2_40030.6, SHAE2_40030.14, SHAE2_40030.15, SHAE2_40030.1, SHAE2_40030.13, SHAE2_40030.5, SHAE2_40030.8, SHAE2_40030.12, SHAE2_40030.2, SHAE2_40030.9
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	SHAE2_71830.19, SHAE2_71830.16, SHAE2_71830.6, SHAE2_71830.8, SHAE2_71830.10, SHAE2_71830.14, SHAE2_71830.15, SHAE2_71830.9, SHAE2_71830.11, SHAE2_71830.20, SHAE2_71830.13, SHAE2_71830.2, SHAE2_71830.1, SHAE2_71830.12, SHAE2_71830.17, SHAE2_71830.18, SHAE2_71830.3, SHAE2_71830.4, SHAE2_71830.7, SHAE2_71830.5
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	SHAE2_57070.1, SHAE2_57070.2, SHAE2_57070.3
OG0000068	EWB00_000572	SHAE2_100120.2, SHAE2_100120.1, SHAE2_100120.3
OG0000068	EWB00_004327	SHAE2_39460.1, SHAE2_39470.1
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	SHAE2_30990.1
OG0000069	EWB00_002487	SHAE2_22730.1
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	SHAE2_46580.7, SHAE2_46580.1, SHAE2_46580.2, SHAE2_46580.4, SHAE2_46580.5, SHAE2_46580.3, SHAE2_46580.6
OG0000071	EWB00_001786	SHAE2_36970.11, SHAE2_36970.2, SHAE2_36970.3, SHAE2_36970.5, SHAE2_36970.8, SHAE2_36970.9, SHAE2_36970.10, SHAE2_36970.13, SHAE2_36970.4, SHAE2_36970.6, SHAE2_36970.7, SHAE2_36970.12, SHAE2_36970.14, SHAE2_36970.1
OG0000072	EWB00_001684	SHAE2_94930.1, SHAE2_94930.2
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	SHAE2_58540.12, SHAE2_58540.3, SHAE2_58540.7, SHAE2_58550.10, SHAE2_58550.12, SHAE2_58550.14, SHAE2_58550.15, SHAE2_58550.7, SHAE2_58540.8, SHAE2_58550.2, SHAE2_58540.1, SHAE2_58540.2, SHAE2_58540.9, SHAE2_58550.1, SHAE2_58550.13, SHAE2_58550.16, SHAE2_58550.3, SHAE2_58550.6, SHAE2_58550.8, SHAE2_58550.4, SHAE2_58540.13, SHAE2_58540.4, SHAE2_58540.5, SHAE2_58550.11, SHAE2_58550.9, SHAE2_58540.10, SHAE2_58540.6
OG0000074	EWB00_007721.1	SHAE2_1560.1
OG0000074	EWB00_007512.1	SHAE2_93350.1
OG0000074	EWB00_004196.6	SHAE2_13230.1
OG0000074	EWB00_008993	SHAE2_93440.1
OG0000075	EWB00_001749	SHAE2_36730.1, SHAE2_36730.2, SHAE2_36730.10, SHAE2_36730.12, SHAE2_36730.14, SHAE2_36730.18, SHAE2_36730.19, SHAE2_36730.20, SHAE2_36730.21, SHAE2_36730.3, SHAE2_36730.4, SHAE2_36730.5, SHAE2_36730.6, SHAE2_36730.7, SHAE2_36730.8, SHAE2_36730.9, SHAE2_36730.17, SHAE2_36730.13, SHAE2_36730.15, SHAE2_36730.16, SHAE2_36730.22, SHAE2_36730.23, SHAE2_36730.11
OG0000076	EWB00_009041	SHAE2_4440.10, SHAE2_4440.9, SHAE2_4440.5, SHAE2_4440.2, SHAE2_4440.6, SHAE2_4440.7, SHAE2_4440.8, SHAE2_4440.1, SHAE2_4440.4, SHAE2_4440.3
OG0000077	EWB00_004677	SHAE2_12640.13, SHAE2_12640.12, SHAE2_12640.1, SHAE2_12640.4, SHAE2_12640.5, SHAE2_12640.14, SHAE2_12640.15, SHAE2_12640.11, SHAE2_12640.8, SHAE2_12640.2, SHAE2_12640.3, SHAE2_12640.6, SHAE2_12640.10, SHAE2_12640.9, SHAE2_12640.7
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	SHAE2_6060.1, SHAE2_6060.11, SHAE2_6060.2, SHAE2_6060.8, SHAE2_6060.12, SHAE2_6060.14, SHAE2_6060.10, SHAE2_6060.13, SHAE2_6060.3, SHAE2_6060.7, SHAE2_6060.5, SHAE2_6060.4, SHAE2_6060.6, SHAE2_6060.9
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	SHAE2_32920.2, SHAE2_32920.1, SHAE2_32920.3
OG0000079	EWB00_006494.1, EWB00_006494.2	SHAE2_57130.1, SHAE2_57130.2, SHAE2_57130.6, SHAE2_57130.3, SHAE2_57130.8, SHAE2_57130.5, SHAE2_57130.4, SHAE2_57130.7, SHAE2_57130.9
OG0000080	EWB00_004899.1, EWB00_004899.2	SHAE2_46980.11, SHAE2_46980.13, SHAE2_46980.9, SHAE2_46980.8, SHAE2_46980.2, SHAE2_46980.4, SHAE2_46980.5, SHAE2_46980.6, SHAE2_46980.3, SHAE2_46980.7, SHAE2_46980.12, SHAE2_46980.10, SHAE2_46980.1
OG0000081	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	SHAE2_75080.1, SHAE2_72480.1
OG0000082	EWB00_009477	SHAE2_12290.1
