Orthogroup	schistosoma_japonicum	schistosoma_mattheei
OG0000048	EWB00_001580	SMTH1_63190.1, SMTH1_77080.1, SMTH1_51370.1, SMTH1_51370.2, SMTH1_35420.1, SMTH1_35420.2, SMTH1_91020.1, SMTH1_91020.2, SMTH1_90630.2
OG0000049	EWB00_001608.1, EWB00_001608.2	SMTH1_77450.1, SMTH1_77460.1
OG0000049	EWB00_008098	SMTH1_81780.1
OG0000050	EWB00_005371.1, EWB00_005371.2	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000052	EWB00_003293	SMTH1_31800.1
OG0000052	EWB00_007330	SMTH1_3820.1
OG0000052	EWB00_005671	SMTH1_1100.1, SMTH1_1110.1
OG0000052	EWB00_003847	SMTH1_2070.1
OG0000052	EWB00_009848	SMTH1_74430.1
OG0000053	EWB00_005460.2, EWB00_005460.1	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000054	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767	SMTH1_12390.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000056	EWB00_006591, EWB00_008824	SMTH1_25400.1
OG0000057	EWB00_008005	SMTH1_24310.1
OG0000058	EWB00_001871	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	EWB00_003488.1, EWB00_003488.2	SMTH1_89470.1
OG0000058	EWB00_003491	SMTH1_89480.1, SMTH1_89510.1, SMTH1_89510.2, SMTH1_89520.1
OG0000060	EWB00_010498.1, EWB00_010498.2	SMTH1_72720.1
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	SMTH1_58650.1
OG0000062	EWB00_008458	SMTH1_7050.1, SMTH1_7060.1
OG0000063	EWB00_006170	SMTH1_43840.1
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15
OG0000065	EWB00_000537	SMTH1_107120.1
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	SMTH1_60000.1, SMTH1_60010.1
OG0000068	EWB00_000572	SMTH1_105080.1, SMTH1_105080.2
OG0000068	EWB00_004327	SMTH1_40460.1, SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	SMTH1_31850.1
OG0000069	EWB00_002487	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	SMTH1_48740.1
OG0000071	EWB00_001786	SMTH1_37950.1
OG0000072	EWB00_001684	SMTH1_99330.1, SMTH1_99340.1
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3
OG0000074	EWB00_007721.2, EWB00_007721.3, EWB00_007721.5	SMTH1_1470.6
OG0000074	EWB00_007721.1	SMTH1_1470.5
OG0000074	EWB00_007512.1	SMTH1_97660.1
OG0000074	EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4	SMTH1_12710.5
OG0000074	EWB00_004196.6	SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3
OG0000074	EWB00_008993	SMTH1_97780.1
OG0000075	EWB00_001749	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1
OG0000076	EWB00_009041	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5
OG0000077	EWB00_004677	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	SMTH1_6320.1, SMTH1_6330.1
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5
OG0000079	EWB00_006494.1, EWB00_006494.2	SMTH1_60070.2, SMTH1_60070.4, SMTH1_60070.3, SMTH1_60070.1
OG0000080	EWB00_004899.1, EWB00_004899.2	SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7
OG0000081	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	SMTH1_107550.1, SMTH1_105800.1, SMTH1_15900.1, SMTH1_85790.1, SMTH1_85760.1, SMTH1_42880.1, SMTH1_870.1
OG0000082	EWB00_009477	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9
OG0000086	EWB00_004530	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1
OG0000087	EWB00_010661	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3
OG0000088	EWB00_007313	SMTH1_3690.4, SMTH1_3690.2, SMTH1_3690.3, SMTH1_3690.1
OG0000088	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	SMTH1_3660.2, SMTH1_3660.1, SMTH1_3660.6, SMTH1_3660.5, SMTH1_3660.4, SMTH1_3660.3, SMTH1_3660.7
OG0000091	EWB00_010764.1, EWB00_010764.2	SMTH1_53400.1
OG0000092	EWB00_007194.1, EWB00_007194.2	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	SMTH1_14740.1
OG0000093	EWB00_003936	SMTH1_44730.1
OG0000094	EWB00_009097.1, EWB00_009097.2	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	SMTH1_68360.1
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9
OG0000097	EWB00_007768	SMTH1_7960.1
OG0000098	EWB00_011356	SMTH1_45820.1, SMTH1_45820.2
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	SMTH1_74230.1, SMTH1_74220.1
OG0000099	EWB00_006234.2	SMTH1_75170.1
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3
OG0000100	EWB00_003625	SMTH1_78430.1, SMTH1_100040.1, SMTH1_78440.1, SMTH1_66570.1, SMTH1_94920.1
OG0000100	EWB00_009588, EWB00_010419	SMTH1_60580.1, SMTH1_15580.1, SMTH1_74510.1
OG0000102	EWB00_010834.2, EWB00_010834.1	SMTH1_6850.1, SMTH1_6850.2, SMTH1_6850.3, SMTH1_6850.4
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	SMTH1_65150.1
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9
OG0000104	EWB00_008979.1, EWB00_008979.2	SMTH1_7040.1
OG0000105	EWB00_002088, EWB00_004453	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9
OG0000106	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641, EWB00_009643, EWB00_000001, EWB00_000002, EWB00_000004	SMTH1_81900.1
OG0000107	EWB00_002984	SMTH1_55210.1
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	SMTH1_9500.1
OG0000110	EWB00_006025	SMTH1_33110.1
OG0000110	EWB00_006029	SMTH1_33070.1, SMTH1_33080.1
OG0000110	EWB00_006024	SMTH1_33120.1, SMTH1_33120.2, SMTH1_33120.3
OG0000110	EWB00_006023	SMTH1_33130.1
OG0000111	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4	SMTH1_45910.1
OG0000111	EWB00_003555.1, EWB00_003555.2	SMTH1_57950.3, SMTH1_57950.2, SMTH1_57950.4, SMTH1_57950.1
OG0000111	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3	SMTH1_34710.1, SMTH1_34710.2
OG0000112	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1	SMTH1_92870.1, SMTH1_92880.1
OG0000113	EWB00_010713, EWB00_006167, EWB00_009422	SMTH1_94980.1
OG0000114	EWB00_000559.1, EWB00_000559.2	SMTH1_104970.1
OG0000115	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9
OG0000116	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5	SMTH1_56110.1
OG0000117	EWB00_006015.1, EWB00_006015.2	SMTH1_33220.1
OG0000118	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8	SMTH1_43930.1, SMTH1_43940.1
OG0000118	EWB00_006163.1, EWB00_006163.2	SMTH1_107810.1, SMTH1_107810.2, SMTH1_43950.1, SMTH1_43960.1
OG0000118	EWB00_006161	SMTH1_43910.1
OG0000118	EWB00_006160	SMTH1_43920.1
OG0000119	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3
