Orthogroup	schistosoma_japonicum	fasciola_gigantica
OG0000032	EWB00_003338	FGIG_12135
OG0000034	EWB00_008584, EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	EWB00_002318	FGIG_03979, FGIG_03980
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3, EWB00_006569	FGIG_03131, FGIG_03132
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	FGIG_07013
OG0000042	EWB00_009261.1, EWB00_009261.2, EWB00_009262, EWB00_004609, EWB00_004610, EWB00_009263	FGIG_05270
OG0000043	EWB00_003370, EWB00_010871	FGIG_08366
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	FGIG_12527
OG0000049	EWB00_001608.1, EWB00_001608.2	FGIG_07932, FGIG_00477
OG0000049	EWB00_008098	FGIG_06077
OG0000050	EWB00_005371.1, EWB00_005371.2	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	EWB00_003293	FGIG_00994
OG0000052	EWB00_007330	FGIG_02824
OG0000052	EWB00_005671	FGIG_00846
OG0000052	EWB00_003847	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	EWB00_009848	FGIG_04502, FGIG_12676
OG0000053	EWB00_005460.2, EWB00_005460.1	FGIG_08393, FGIG_12440
OG0000054	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548	FGIG_06834, FGIG_00432, FGIG_05300
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	FGIG_03285, FGIG_05988
OG0000058	EWB00_001871	FGIG_11220
OG0000058	EWB00_003488.1, EWB00_003488.2	FGIG_06708
OG0000058	EWB00_003491	FGIG_00649
OG0000060	EWB00_010498.1, EWB00_010498.2	FGIG_07684
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	FGIG_09986
OG0000062	EWB00_008458	FGIG_00991
OG0000063	EWB00_006170	FGIG_03231
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	FGIG_12411, FGIG_06602
OG0000065	EWB00_000537, EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	FGIG_00170
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	FGIG_02840, FGIG_02842
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	FGIG_12158
OG0000068	EWB00_000572	FGIG_12079
OG0000068	EWB00_004327	FGIG_07351
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	FGIG_05814
OG0000069	EWB00_002487	FGIG_12680, FGIG_06996
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	EWB00_001786	FGIG_07065, FGIG_07067
OG0000072	EWB00_001684	FGIG_06022, FGIG_09056
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	FGIG_05759
OG0000074	EWB00_007721.4, EWB00_007721.2, EWB00_007721.3, EWB00_007721.5, EWB00_007721.1	FGIG_06125
OG0000074	EWB00_007512.1	FGIG_03273
OG0000074	EWB00_004196.3, EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4, EWB00_004196.6	FGIG_07718
OG0000074	EWB00_008993	FGIG_01338
OG0000075	EWB00_001749	FGIG_05387
OG0000076	EWB00_000338, EWB00_000339	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	EWB00_009041	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	EWB00_004677	FGIG_09054
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	FGIG_04314
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	FGIG_07135, FGIG_07136
OG0000079	EWB00_006494.1, EWB00_006494.2	FGIG_05069, FGIG_05070
OG0000080	EWB00_004899.1, EWB00_004899.2	FGIG_03532
OG0000081	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	FGIG_05277, FGIG_11514
OG0000082	EWB00_009477	FGIG_06461
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	FGIG_06241
OG0000086	EWB00_004530	FGIG_09371
OG0000087	EWB00_010661	FGIG_03026
OG0000088	EWB00_007313, EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	FGIG_14005, FGIG_05150
OG0000090	EWB00_005364	FGIG_01258
OG0000091	EWB00_010764.1, EWB00_010764.2	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	EWB00_007194.1, EWB00_007194.2	FGIG_06562
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	FGIG_11548
OG0000093	EWB00_003936	FGIG_04003
OG0000094	EWB00_009097.1, EWB00_009097.2	FGIG_00948
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	FGIG_01883
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	FGIG_03065
OG0000097	EWB00_007768	FGIG_06823
OG0000098	EWB00_011356	FGIG_08056
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	FGIG_08009
OG0000099	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3	FGIG_01162
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	EWB00_010834.2, EWB00_010834.1	FGIG_11657
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	FGIG_04726, FGIG_06854
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	FGIG_06145, FGIG_13990
OG0000104	EWB00_008979.1, EWB00_008979.2	FGIG_08148
OG0000105	EWB00_002088, EWB00_004453	FGIG_00113, FGIG_06918
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	EWB00_006025, EWB00_006029	FGIG_03667
OG0000110	EWB00_006024	FGIG_10562
OG0000110	EWB00_006023	FGIG_06603
OG0000111	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4	FGIG_04030
OG0000111	EWB00_003555.1, EWB00_003555.2	FGIG_03777
OG0000111	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3	FGIG_04347
OG0000112	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1	FGIG_09308, FGIG_06819
OG0000114	EWB00_000559.1, EWB00_000559.2	FGIG_00156
OG0000115	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3	FGIG_02859
OG0000116	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5	FGIG_03832, FGIG_01693
OG0000117	EWB00_006015.1, EWB00_006015.2	FGIG_02197
OG0000118	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8, EWB00_006163.1, EWB00_006163.2, EWB00_006161, EWB00_006160, EWB00_006162	FGIG_02831
OG0000119	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1	FGIG_05939
OG0000120	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3	FGIG_06695
OG0000122	EWB00_003485	FGIG_06459, FGIG_06458
OG0000123	EWB00_001234.1, EWB00_001234.2	FGIG_06911
OG0000125	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3	FGIG_12140, FGIG_05136
OG0000126	EWB00_000954	FGIG_02836, FGIG_00047
OG0000127	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4	FGIG_10651, FGIG_01876
OG0000128	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3	FGIG_02928
OG0000129	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1	FGIG_01051
OG0000130	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3	FGIG_06548, FGIG_01370
OG0000131	EWB00_002108.1, EWB00_002108.2, EWB00_003089	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3	FGIG_04447, FGIG_04446
OG0000133	EWB00_002574.1, EWB00_002574.2	FGIG_10537
OG0000134	EWB00_002521	FGIG_03080
OG0000135	EWB00_002678.2, EWB00_002678.1	FGIG_08997
OG0000136	EWB00_002100.1, EWB00_002100.2	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	EWB00_007536.1, EWB00_007536.2	FGIG_10020
OG0000138	EWB00_009704	FGIG_00536, FGIG_00535
OG0000139	EWB00_009035	FGIG_04756
OG0000140	EWB00_010959	FGIG_05800
OG0000143	EWB00_006280.1, EWB00_006280.2	FGIG_03125
OG0000144	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6	FGIG_04482
OG0000144	EWB00_001080	FGIG_02516
OG0000144	EWB00_005163	FGIG_08902, FGIG_02070
OG0000145	EWB00_002936	FGIG_06896
OG0000146	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3	FGIG_01364
OG0000146	EWB00_005122	FGIG_07112
OG0000146	EWB00_007935.1, EWB00_007935.2	FGIG_08174
OG0000146	EWB00_006903	FGIG_12116
OG0000147	EWB00_004283	FGIG_03610
OG0000148	EWB00_007473	FGIG_05123, FGIG_04713
OG0000149	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4	FGIG_08710
OG0000151	EWB00_008868	FGIG_00898
OG0000152	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5	FGIG_02196
OG0000153	EWB00_005352.1, EWB00_005352.2, EWB00_003676, EWB00_008423, EWB00_003671, EWB00_008422	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	EWB00_005616	FGIG_01109
OG0000156	EWB00_010322	FGIG_01694
OG0000156	EWB00_010321	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	EWB00_001166	FGIG_01729
OG0000157	EWB00_005728	FGIG_07044, FGIG_07045
OG0000157	EWB00_011201	FGIG_03579
OG0000158	EWB00_006315, EWB00_006316	FGIG_05975
OG0000159	EWB00_009175	FGIG_07564
OG0000160	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3	FGIG_05715
OG0000161	EWB00_003371.1, EWB00_003371.2	FGIG_08957
OG0000164	EWB00_011122.1, EWB00_011122.2	FGIG_12608, FGIG_03854
OG0000164	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4	FGIG_01740
OG0000164	EWB00_003801.1, EWB00_003801.2	FGIG_10598
OG0000164	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4	FGIG_05689
OG0000165	EWB00_010478	FGIG_03682
OG0000166	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1	FGIG_04350
OG0000167	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6	FGIG_09630
OG0000169	EWB00_009686	FGIG_02219, FGIG_02221, FGIG_02220
OG0000170	EWB00_000962	FGIG_11214, FGIG_11905, FGIG_00734
OG0000172	EWB00_001058.1, EWB00_001058.2	FGIG_02787, FGIG_02788
OG0000173	EWB00_008475	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	EWB00_007666, EWB00_007667, EWB00_007668, EWB00_007669	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352
OG0000177	EWB00_010516.1, EWB00_010516.2	FGIG_04057, FGIG_04058
OG0000178	EWB00_003718	FGIG_04370
OG0000179	EWB00_000893, EWB00_009104	FGIG_08795, FGIG_10380
OG0000180	EWB00_006752, EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163, EWB00_006750.1, EWB00_006750.2	FGIG_12039
OG0000182	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2	FGIG_02134
OG0000182	EWB00_000643	FGIG_00290
OG0000183	EWB00_005958.1, EWB00_005958.2	FGIG_02622
OG0000184	EWB00_006467.1, EWB00_006467.2	FGIG_03731
OG0000184	EWB00_006468	FGIG_03730
OG0000185	EWB00_005969.1, EWB00_005969.2	FGIG_07908
OG0000186	EWB00_002720	FGIG_00796
OG0000187	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3	FGIG_10561, FGIG_02152
OG0000188	EWB00_010904	FGIG_03282
OG0000189	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4	FGIG_03464
OG0000190	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2	FGIG_04440
OG0000191	EWB00_004926, EWB00_003159, EWB00_004925, EWB00_003164, EWB00_003167	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245
OG0000192	EWB00_003964.1, EWB00_003964.2	FGIG_06841, FGIG_06840
OG0000193	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225	FGIG_11714, FGIG_07076
OG0000194	EWB00_001391	FGIG_07707
OG0000195	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3	FGIG_08368
OG0000196	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3	FGIG_11982, FGIG_03269
OG0000196	EWB00_009417.2, EWB00_009417.1	FGIG_11890
OG0000198	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3	FGIG_06396
OG0000199	EWB00_007850.1, EWB00_007850.2	FGIG_03163
OG0000201	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3	FGIG_05120
OG0000202	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2	FGIG_07192
OG0000203	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3	FGIG_08149
OG0000205	EWB00_005482	FGIG_02525
OG0000206	EWB00_003373.1, EWB00_003373.2, EWB00_003373.3	FGIG_03933
OG0000207	EWB00_006855, EWB00_006859, EWB00_006857, EWB00_006860, EWB00_006858, EWB00_006856	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073
OG0000208	EWB00_006604	FGIG_04764
OG0000209	EWB00_003068	FGIG_06233
OG0000210	EWB00_008607	FGIG_06835, FGIG_08667
OG0000211	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4	FGIG_06875
OG0000212	EWB00_000254.1, EWB00_000254.2	FGIG_07429, FGIG_07428
OG0000214	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3	FGIG_09344
OG0000217	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7	FGIG_02317, FGIG_02318
OG0000218	EWB00_007629	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630
OG0000219	EWB00_011278.1, EWB00_011278.2	FGIG_07378
OG0000220	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3	FGIG_07549
OG0000221	EWB00_009959, EWB00_008502	FGIG_04956, FGIG_04954, FGIG_08084
OG0000221	EWB00_007895, EWB00_007896	FGIG_02269
OG0000222	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2	FGIG_00564
OG0000223	EWB00_008468	FGIG_00853
OG0000224	EWB00_010846	FGIG_01377, FGIG_01378
OG0000225	EWB00_008634	FGIG_02370, FGIG_02369
OG0000226	EWB00_001463.1, EWB00_001463.2	FGIG_02439, FGIG_12357
OG0000227	EWB00_010050	FGIG_04507, FGIG_04506
OG0000228	EWB00_003240.1, EWB00_003240.2	FGIG_04992
OG0000229	EWB00_007972	FGIG_10264, FGIG_05406, FGIG_12189
OG0000230	EWB00_007125	FGIG_06761, FGIG_06762
OG0000234	EWB00_004388, EWB00_004387	FGIG_01289
OG0000235	EWB00_009052, EWB00_009056	FGIG_07942, FGIG_02783, FGIG_02784
OG0000236	EWB00_007746	FGIG_05608
OG0000237	EWB00_006822	FGIG_06420
OG0000238	EWB00_007715.1, EWB00_007715.2, EWB00_007715.3	FGIG_07333
OG0000239	EWB00_002853.1, EWB00_002853.2	FGIG_07503, FGIG_08719
OG0000240	EWB00_007941.1, EWB00_007941.2	FGIG_10740, FGIG_10875
OG0000241	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3, EWB00_007787	FGIG_00479
OG0000242	EWB00_004683	FGIG_01807
OG0000243	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3, EWB00_006288.1	FGIG_00529, FGIG_00528
OG0000244	EWB00_008588	FGIG_11655, FGIG_00993
OG0000245	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1	FGIG_01848
OG0000246	EWB00_003780.1, EWB00_003780.2	FGIG_06772
OG0000247	EWB00_006352.1, EWB00_006352.2	FGIG_09572
OG0000248	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2	FGIG_10714
OG0000249	EWB00_001035	FGIG_11297
OG0000250	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4	FGIG_12420, FGIG_11532
OG0000252	EWB00_006197	FGIG_01524
OG0000253	EWB00_000597.2, EWB00_000597.3, EWB00_000597.1	FGIG_02155
OG0000254	EWB00_009459.1, EWB00_009459.2, EWB00_009459.3	FGIG_02996
OG0000255	EWB00_003290.1, EWB00_003290.2	FGIG_03191
OG0000256	EWB00_008201, EWB00_009917	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257
OG0000258	EWB00_007679.1, EWB00_007679.2	FGIG_05122
OG0000259	EWB00_003467	FGIG_05764
OG0000260	EWB00_002420.5, EWB00_002420.1, EWB00_002420.4, EWB00_002420.7, EWB00_002420.2, EWB00_002420.8, EWB00_002420.3, EWB00_002420.6	FGIG_05885
OG0000261	EWB00_007911, EWB00_007909, EWB00_007910	FGIG_06157
OG0000262	EWB00_004140, EWB00_004139	FGIG_08811, FGIG_08810
OG0000263	EWB00_004713	FGIG_09258
OG0000264	EWB00_004506, EWB00_004507	FGIG_11442
OG0000264	EWB00_006350	FGIG_10736
OG0000268	EWB00_002781.2, EWB00_002781.1, EWB00_002781.3	FGIG_06620
OG0000268	EWB00_000422.4, EWB00_000422.5, EWB00_000422.2, EWB00_000422.3, EWB00_000422.1	FGIG_10234
OG0000269	EWB00_009039	FGIG_02813
OG0000270	EWB00_005015.1, EWB00_005015.2, EWB00_005015.3	FGIG_03740, FGIG_02883
OG0000271	EWB00_010608.4, EWB00_010608.1, EWB00_010608.2, EWB00_010608.3, EWB00_010608.5	FGIG_04146, FGIG_09915, FGIG_04147
OG0000272	EWB00_004167.1, EWB00_004167.2, EWB00_004167.4, EWB00_004167.5, EWB00_004167.3	FGIG_07493
OG0000273	EWB00_007794	FGIG_07763
OG0000274	EWB00_010594.5, EWB00_010594.2, EWB00_010594.1, EWB00_010594.3, EWB00_010594.4	FGIG_10372
OG0000275	EWB00_001311	FGIG_08245
OG0000276	EWB00_004524.5, EWB00_004524.3, EWB00_004524.2, EWB00_004524.1, EWB00_004524.4	FGIG_08474
OG0000277	EWB00_009160.5, EWB00_009160.1, EWB00_009160.2, EWB00_009160.3, EWB00_009160.4, EWB00_009160.6	FGIG_08916
OG0000281	EWB00_009452	FGIG_00516
OG0000281	EWB00_010291, EWB00_010289	FGIG_04239
OG0000282	EWB00_000750	FGIG_11572, FGIG_01087
OG0000283	EWB00_011116	FGIG_01798
OG0000284	EWB00_003225.3, EWB00_003225.1, EWB00_003225.2	FGIG_03458
OG0000285	EWB00_004295	FGIG_03702, FGIG_03701
OG0000286	EWB00_006409.1, EWB00_006409.2, EWB00_002827	FGIG_08247, FGIG_09211, FGIG_06296
OG0000287	EWB00_001190.1, EWB00_001190.2, EWB00_001190.3	FGIG_07559
OG0000288	EWB00_008053	FGIG_08415
OG0000289	EWB00_000082	FGIG_11097
OG0000290	EWB00_010888.2, EWB00_010888.3, EWB00_010888.4, EWB00_010888.6, EWB00_010888.1, EWB00_010888.5	FGIG_06528
OG0000290	EWB00_009745	FGIG_00121
OG0000291	EWB00_006455	FGIG_00724, FGIG_00726
OG0000292	EWB00_007865	FGIG_01340, FGIG_10382
OG0000293	EWB00_006949.2, EWB00_006949.1	FGIG_03259
OG0000293	EWB00_000820	FGIG_10208, FGIG_04594
OG0000293	EWB00_007238	FGIG_06127
OG0000294	EWB00_009046	FGIG_03314
OG0000295	EWB00_005285, EWB00_005283, EWB00_005284	FGIG_04922
OG0000297	EWB00_002278.3, EWB00_002278.2, EWB00_002278.1, EWB00_002278.4	FGIG_05203
OG0000298	EWB00_001802, EWB00_001803	FGIG_10124
OG0000298	EWB00_000994	FGIG_05892
OG0000299	EWB00_007963.1, EWB00_007963.2	FGIG_06707
OG0000300	EWB00_009379, EWB00_009380	FGIG_06727
OG0000301	EWB00_004573.5, EWB00_004573.1, EWB00_004573.7, EWB00_004573.2, EWB00_004573.3, EWB00_004573.4, EWB00_004573.6, EWB00_004573.8	FGIG_07052
OG0000302	EWB00_011256	FGIG_07305
OG0000303	EWB00_004180	FGIG_11626, FGIG_07919
OG0000304	EWB00_009739.1, EWB00_009739.2	FGIG_09605
OG0000305	EWB00_007763	FGIG_09613, FGIG_09611, FGIG_12612
OG0000306	EWB00_002091.1, EWB00_002091.2	FGIG_11983, FGIG_10527
OG0000307	EWB00_005330, EWB00_008525, EWB00_011426	FGIG_12478
OG0000311	EWB00_001060	FGIG_01279
OG0000312	EWB00_005964.1, EWB00_005964.2, EWB00_005964.3	FGIG_09661, FGIG_01495, FGIG_09662
OG0000313	EWB00_004170.1, EWB00_004170.2	FGIG_03443
OG0000314	EWB00_007714.1, EWB00_007714.2	FGIG_03632
OG0000315	EWB00_002931	FGIG_03911
OG0000316	EWB00_005434.1, EWB00_005434.2, EWB00_005434.3	FGIG_04659, FGIG_09851
OG0000317	EWB00_005657.1, EWB00_005657.2	FGIG_05137
OG0000318	EWB00_008744	FGIG_05250
OG0000319	EWB00_007862	FGIG_06268, FGIG_06269
OG0000320	EWB00_002513	FGIG_02124
OG0000320	EWB00_006052	FGIG_00209
OG0000320	EWB00_003791.1, EWB00_003791.2	FGIG_08913
OG0000321	EWB00_001296.1, EWB00_001296.2	FGIG_00856, FGIG_00857
OG0000322	EWB00_003360	FGIG_01204
OG0000324	EWB00_002977	FGIG_04179
OG0000325	EWB00_003497.1, EWB00_003497.2, EWB00_003497.3	FGIG_04546
OG0000326	EWB00_003851.1, EWB00_003851.3, EWB00_003851.2	FGIG_04814
OG0000327	EWB00_000974, EWB00_000972, EWB00_000973	FGIG_06438, FGIG_08722, FGIG_11975, FGIG_09141
OG0000328	EWB00_003307.1, EWB00_003307.2, EWB00_003309, EWB00_003308	FGIG_09711
OG0000329	EWB00_000879, EWB00_009351.1, EWB00_009351.3, EWB00_009351.2, EWB00_009351.4, EWB00_009351.5, EWB00_009351.7, EWB00_009351.6	FGIG_11990
OG0000332	EWB00_004112, EWB00_004113	FGIG_00632
OG0000333	EWB00_008457	FGIG_01538
OG0000334	EWB00_007243.1, EWB00_007243.2, EWB00_008221.1, EWB00_008221.2	FGIG_02321
OG0000335	EWB00_007904.1, EWB00_007904.2	FGIG_02931
