Orthogroup	fasciola_gigantica	fasciola_hepatica	opisthorchis_viverrini	s.mekongi	schistosoma_bovis	schistosoma_curassoni	schistosoma_guineensis	schistosoma_haematobium	schistosoma_intercalatum	schistosoma_japonicum	schistosoma_mansoni	schistosoma_margrebowiei	schistosoma_mattheei	schistosoma_rodhaini	schistosoma_spindale	schistosoma_turkestanicum	schmidtea_mediterranea	trichobilharzia_regenti
OG0016729	FGIG_04436																	
OG0016730	FGIG_04438																	
OG0016731	FGIG_04457																	
OG0016732	FGIG_04473																	
OG0016733	FGIG_04480																	
OG0016734	FGIG_04501																	
OG0016735	FGIG_04509																	
OG0016736	FGIG_04586																	
OG0016737	FGIG_04665																	
OG0016738	FGIG_04692																	
OG0016739	FGIG_04706																	
OG0016740	FGIG_04731																	
OG0016741	FGIG_04783																	
OG0016742	FGIG_04784																	
OG0016743	FGIG_04786																	
OG0016744	FGIG_04802																	
OG0016745	FGIG_04823																	
OG0016746	FGIG_04827																	
OG0016747	FGIG_04837																	
OG0016748	FGIG_04841																	
OG0016749	FGIG_04851																	
OG0016750	FGIG_04862																	
OG0016751	FGIG_04878																	
OG0016752	FGIG_04879																	
OG0016753	FGIG_04942																	
OG0016754	FGIG_04967																	
OG0016755	FGIG_05003																	
OG0016756	FGIG_05039																	
OG0016757	FGIG_05072																	
OG0016758	FGIG_05110																	
OG0016759	FGIG_05111																	
OG0016760	FGIG_05112																	
OG0016761	FGIG_05113																	
OG0016762	FGIG_05134																	
OG0016763	FGIG_05160																	
OG0016764	FGIG_05167																	
OG0016765	FGIG_05171																	
OG0016766	FGIG_05180																	
OG0016767	FGIG_05252																	
OG0016768	FGIG_05269																	
OG0016769	FGIG_05272																	
OG0016770	FGIG_05288																	
OG0016771	FGIG_05289																	
OG0016772	FGIG_05310																	
OG0016773	FGIG_05332																	
OG0016774	FGIG_05343																	
OG0016775	FGIG_05350																	
OG0016776	FGIG_05392																	
OG0016777	FGIG_05403																	
OG0016778	FGIG_05432																	
OG0016779	FGIG_05433																	
OG0016780	FGIG_05441																	
OG0016781	FGIG_05467																	
OG0016782	FGIG_05478																	
OG0016783	FGIG_05482																	
OG0016784	FGIG_05488																	
OG0016785	FGIG_05493																	
OG0016786	FGIG_05508																	
OG0016787	FGIG_05523																	
OG0016788	FGIG_05528																	
OG0016789	FGIG_05577																	
OG0016790	FGIG_05579																	
OG0016791	FGIG_05581																	
OG0016792	FGIG_05582																	
OG0016793	FGIG_05586																	
OG0016794	FGIG_05589																	
OG0016795	FGIG_05616																	
OG0016796	FGIG_05619																	
OG0016797	FGIG_05622																	
OG0016798	FGIG_05630																	
OG0016799	FGIG_05647																	
OG0016800	FGIG_05693																	
OG0016801	FGIG_05701																	
OG0016802	FGIG_05712																	
OG0016803	FGIG_05755																	
OG0016804	FGIG_05788																	
OG0016805	FGIG_05791																	
OG0016806	FGIG_05798																	
OG0016807	FGIG_05803																	
OG0016808	FGIG_05828																	
OG0016809	FGIG_05877																	
OG0016810	FGIG_05884																	
OG0016811	FGIG_05916																	
OG0016812	FGIG_05961																	
OG0016813	FGIG_05985																	
OG0016814	FGIG_06023																	
OG0016815	FGIG_06028																	
OG0016816	FGIG_06047																	
OG0016817	FGIG_06067																	
OG0016818	FGIG_06102																	
OG0016819	FGIG_06132																	
OG0016820	FGIG_06142																	
OG0016821	FGIG_06151																	
OG0016822	FGIG_06155																	
OG0016823	FGIG_06164																	
OG0016824	FGIG_06194																	
OG0016825	FGIG_06224																	
OG0016826	FGIG_06225																	
OG0016827	FGIG_06249																	
OG0016828	FGIG_06252																	
OG0016829	FGIG_06276																	
OG0016830	FGIG_06292																	
OG0016831	FGIG_06301																	
OG0016832	FGIG_06315																	
OG0016833	FGIG_06317																	
OG0016834	FGIG_06375																	
OG0016835	FGIG_06409																	
OG0016836	FGIG_06482																	
OG0016837	FGIG_06486																	
OG0016838	FGIG_06494																	
OG0016839	FGIG_06535																	
OG0016840	FGIG_06545																	
OG0016841	FGIG_06550																	
OG0016842	FGIG_06563																	
OG0016843	FGIG_06618																	
OG0016844	FGIG_06667																	
OG0016845	FGIG_06682																	
OG0016846	FGIG_06715																	
OG0016847	FGIG_06748																	
OG0016848	FGIG_06777																	
OG0016849	FGIG_06778																	
OG0016850	FGIG_06790																	
OG0016851	FGIG_06796																	
OG0016852	FGIG_06801																	
OG0016853	FGIG_06822																	
OG0016854	FGIG_06847																	
OG0016855	FGIG_06851																	
OG0016856	FGIG_06866																	
OG0016857	FGIG_06868																	
OG0016858	FGIG_06884																	
OG0016859	FGIG_06887																	
OG0016860	FGIG_06889																	
OG0016861	FGIG_06902																	
OG0016862	FGIG_06903																	
OG0016863	FGIG_06950																	
OG0016864	FGIG_06956																	
OG0016865	FGIG_06971																	
OG0016866	FGIG_07008																	
OG0016867	FGIG_07021																	
OG0016868	FGIG_07025																	
OG0016869	FGIG_07085																	
OG0016870	FGIG_07091																	
OG0016871	FGIG_07105																	
OG0016872	FGIG_07107																	
OG0016873	FGIG_07189																	
OG0016874	FGIG_07224																	
OG0016875	FGIG_07251																	
OG0016876	FGIG_07295																	
OG0016877	FGIG_07319																	
OG0016878	FGIG_07323																	
OG0016879	FGIG_07325																	
OG0016880	FGIG_07334																	
OG0016881	FGIG_07346																	
OG0016882	FGIG_07359																	
OG0016883	FGIG_07379																	
OG0016884	FGIG_07382																	
OG0016885	FGIG_07386																	
OG0016886	FGIG_07388																	
OG0016887	FGIG_07390																	
OG0016888	FGIG_07407																	
OG0016889	FGIG_07417																	
OG0016890	FGIG_07418																	
OG0016891	FGIG_07465																	
OG0016892	FGIG_07486																	
OG0016893	FGIG_07498																	
OG0016894	FGIG_07552																	
OG0016895	FGIG_07553																	
OG0016896	FGIG_07558																	
OG0016897	FGIG_07585																	
OG0016898	FGIG_07641																	
OG0016899	FGIG_07656																	
OG0016900	FGIG_07661																	
OG0016901	FGIG_07665																	
OG0016902	FGIG_07666																	
OG0016903	FGIG_07676																	
OG0016904	FGIG_07702																	
OG0016905	FGIG_07705																	
OG0016906	FGIG_07712																	
OG0016907	FGIG_07726																	
OG0016908	FGIG_07759																	
OG0016909	FGIG_07786																	
OG0016910	FGIG_07813																	
OG0016911	FGIG_07826																	
OG0016912	FGIG_07843																	
OG0016913	FGIG_07844																	
OG0016914	FGIG_07882																	
OG0016915	FGIG_07890																	
OG0016916	FGIG_07900																	
OG0016917	FGIG_07906																	
OG0016918	FGIG_07917																	
OG0016919	FGIG_07922																	
OG0016920	FGIG_07951																	
OG0016921	FGIG_07952																	
OG0016922	FGIG_08023																	
OG0016923	FGIG_08026																	
OG0016924	FGIG_08040																	
OG0016925	FGIG_08049																	
OG0016926	FGIG_08123																	
OG0016927	FGIG_08147																	
OG0016928	FGIG_08167																	
OG0016929	FGIG_08179																	
OG0016930	FGIG_08195																	
OG0016931	FGIG_08222																	
OG0016932	FGIG_08232																	
OG0016933	FGIG_08244																	
OG0016934	FGIG_08248																	
OG0016935	FGIG_08250																	
OG0016936	FGIG_08283																	
OG0016937	FGIG_08285																	
OG0016938	FGIG_08296																	
OG0016939	FGIG_08309																	
OG0016940	FGIG_08321																	
OG0016941	FGIG_08338																	
OG0016942	FGIG_08340																	
OG0016943	FGIG_08350																	
OG0016944	FGIG_08356																	
OG0016945	FGIG_08357																	
OG0016946	FGIG_08373																	
OG0016947	FGIG_08406																	
OG0016948	FGIG_08417																	
OG0016949	FGIG_08419																	
OG0016950	FGIG_08464																	
OG0016951	FGIG_08476																	
OG0016952	FGIG_08481																	
OG0016953	FGIG_08495																	
OG0016954	FGIG_08528																	
OG0016955	FGIG_08532																	
OG0016956	FGIG_08535																	
OG0016957	FGIG_08540																	
OG0016958	FGIG_08541																	
OG0016959	FGIG_08544																	
OG0016960	FGIG_08550																	
OG0016961	FGIG_08582																	
OG0016962	FGIG_08618																	
OG0016963	FGIG_08633																	
OG0016964	FGIG_08653																	
OG0016965	FGIG_08668																	
OG0016966	FGIG_08673																	
OG0016967	FGIG_08677																	
OG0016968	FGIG_08683																	
OG0016969	FGIG_08735																	
OG0016970	FGIG_08830																	
OG0016971	FGIG_08841																	
OG0016972	FGIG_08842																	
OG0016973	FGIG_08852																	
OG0016974	FGIG_08891																	
OG0016975	FGIG_08912																	
OG0016976	FGIG_08930																	
OG0016977	FGIG_08943																	
OG0016978	FGIG_08964																	
OG0016979	FGIG_08970																	
OG0016980	FGIG_09010																	
OG0016981	FGIG_09086																	
OG0016982	FGIG_09089																	
OG0016983	FGIG_09098																	
OG0016984	FGIG_09100																	
OG0016985	FGIG_09124																	
OG0016986	FGIG_09126																	
OG0016987	FGIG_09156																	
OG0016988	FGIG_09178																	
OG0016989	FGIG_09199																	
OG0016990	FGIG_09214																	
OG0016991	FGIG_09260																	
OG0016992	FGIG_09263																	
OG0016993	FGIG_09276																	
OG0016994	FGIG_09290																	
OG0016995	FGIG_09301																	
OG0016996	FGIG_09317																	
OG0016997	FGIG_09361																	
OG0016998	FGIG_09372																	
OG0016999	FGIG_09385																	
OG0017000	FGIG_09387																	
OG0017001	FGIG_09388																	
OG0017002	FGIG_09396																	
OG0017003	FGIG_09402																	
OG0017004	FGIG_09405																	
OG0017005	FGIG_09410																	
OG0017006	FGIG_09411																	
OG0017007	FGIG_09461																	
OG0017008	FGIG_09473																	
OG0017009	FGIG_09480																	
OG0017010	FGIG_09503																	
OG0017011	FGIG_09509																	
OG0017012	FGIG_09515																	
OG0017013	FGIG_09519																	
OG0017014	FGIG_09533																	
OG0017015	FGIG_09542																	
OG0017016	FGIG_09550																	
OG0017017	FGIG_09562																	
OG0017018	FGIG_09564																	
OG0017019	FGIG_09580																	
OG0017020	FGIG_09609																	
OG0017021	FGIG_09612																	
OG0017022	FGIG_09614																	
OG0017023	FGIG_09619																	
OG0017024	FGIG_09622																	
OG0017025	FGIG_09624																	
OG0017026	FGIG_09625																	
OG0017027	FGIG_09637																	
OG0017028	FGIG_09656																	
OG0017029	FGIG_09680																	
OG0017030	FGIG_09688																	
OG0017031	FGIG_09697																	
OG0017032	FGIG_09707																	
OG0017033	FGIG_09728																	
OG0017034	FGIG_09750																	
OG0017035	FGIG_09758																	
OG0017036	FGIG_09762																	
OG0017037	FGIG_09772																	
OG0017038	FGIG_09773																	
OG0017039	FGIG_09789																	
OG0017040	FGIG_09811																	
OG0017041	FGIG_09814																	
OG0017042	FGIG_09834																	
OG0017043	FGIG_09858																	
OG0017044	FGIG_09874																	
OG0017045	FGIG_09901																	
OG0017046	FGIG_09933																	
OG0017047	FGIG_09999																	
OG0017048	FGIG_10013																	
OG0017049	FGIG_10024																	
OG0017050	FGIG_10025																	
OG0017051	FGIG_10040																	
OG0017052	FGIG_10058																	
OG0017053	FGIG_10071																	
OG0017054	FGIG_10085																	
OG0017055	FGIG_10087																	
OG0017056	FGIG_10095																	
OG0017057	FGIG_10102																	
OG0017058	FGIG_10109																	
OG0017059	FGIG_10114																	
OG0017060	FGIG_10117																	
OG0017061	FGIG_10123																	
OG0017062	FGIG_10173																	
OG0017063	FGIG_10176																	
OG0017064	FGIG_10177																	
OG0017065	FGIG_10181																	
OG0017066	FGIG_10184																	
OG0017067	FGIG_10202																	
OG0017068	FGIG_10210																	
OG0017069	FGIG_10223																	
OG0017070	FGIG_10231																	
OG0017071	FGIG_10240																	
OG0017072	FGIG_10251																	
OG0017073	FGIG_10277																	
OG0017074	FGIG_10280																	
OG0017075	FGIG_10295																	
OG0017076	FGIG_10296																	
OG0017077	FGIG_10300																	
OG0017078	FGIG_10302																	
OG0017079	FGIG_10321																	
OG0017080	FGIG_10367																	
OG0017081	FGIG_10374																	
OG0017082	FGIG_10383																	
OG0017083	FGIG_10385																	
OG0017084	FGIG_10394																	
OG0017085	FGIG_10401																	
OG0017086	FGIG_10409																	
OG0017087	FGIG_10417																	
OG0017088	FGIG_10426																	
OG0017089	FGIG_10428																	
OG0017090	FGIG_10430																	
OG0017091	FGIG_10466																	
OG0017092	FGIG_10473																	
OG0017093	FGIG_10486																	
OG0017094	FGIG_10509																	
OG0017095	FGIG_10510																	
OG0017096	FGIG_10516																	
OG0017097	FGIG_10519																	
OG0017098	FGIG_10559																	
OG0017099	FGIG_10581																	
OG0017100	FGIG_10589																	
OG0017101	FGIG_10611																	
OG0017102	FGIG_10618																	
OG0017103	FGIG_10637																	
OG0017104	FGIG_10648																	
OG0017105	FGIG_10673																	
OG0017106	FGIG_10684																	
OG0017107	FGIG_10695																	
OG0017108	FGIG_10707																	
OG0017109	FGIG_10721																	
OG0017110	FGIG_10723																	
OG0017111	FGIG_10742																	
OG0017112	FGIG_10764																	
OG0017113	FGIG_10800																	
OG0017114	FGIG_10804																	
OG0017115	FGIG_10809																	
OG0017116	FGIG_10823																	
OG0017117	FGIG_10833																	
OG0017118	FGIG_10837																	
OG0017119	FGIG_10841																	
OG0017120	FGIG_10849																	
OG0017121	FGIG_10858																	
OG0017122	FGIG_10859																	
OG0017123	FGIG_10865																	
OG0017124	FGIG_10873																	
OG0017125	FGIG_10883																	
OG0017126	FGIG_10889																	
OG0017127	FGIG_10895																	
OG0017128	FGIG_10896																	
OG0017129	FGIG_10902																	
OG0017130	FGIG_10910																	
OG0017131	FGIG_10922																	
OG0017132	FGIG_10923																	
OG0017133	FGIG_10925																	
OG0017134	FGIG_10931																	
OG0017135	FGIG_10932																	
OG0017136	FGIG_10955																	
OG0017137	FGIG_10969																	
OG0017138	FGIG_10991																	
OG0017139	FGIG_11004																	
OG0017140	FGIG_11042																	
OG0017141	FGIG_11044																	
OG0017142	FGIG_11051																	
OG0017143	FGIG_11063																	
OG0017144	FGIG_11093																	
OG0017145	FGIG_11099																	
OG0017146	FGIG_11130																	
OG0017147	FGIG_11131																	
OG0017148	FGIG_11176																	
OG0017149	FGIG_11190																	
OG0017150	FGIG_11195																	
OG0017151	FGIG_11196																	
OG0017152	FGIG_11205																	
OG0017153	FGIG_11250																	
OG0017154	FGIG_11272																	
OG0017155	FGIG_11296																	
OG0017156	FGIG_11311																	
OG0017157	FGIG_11312																	
OG0017158	FGIG_11314																	
OG0017159	FGIG_11351																	
OG0017160	FGIG_11358																	
OG0017161	FGIG_11359																	
OG0017162	FGIG_11373																	
OG0017163	FGIG_11385																	
OG0017164	FGIG_11391																	
OG0017165	FGIG_11416																	
OG0017166	FGIG_11421																	
OG0017167	FGIG_11423																	
OG0017168	FGIG_11424																	
OG0017169	FGIG_11428																	
OG0017170	FGIG_11431																	
OG0017171	FGIG_11433																	
OG0017172	FGIG_11436																	
OG0017173	FGIG_11452																	
OG0017174	FGIG_11456																	
OG0017175	FGIG_11459																	
OG0017176	FGIG_11464																	
OG0017177	FGIG_11465																	
OG0017178	FGIG_11469																	
OG0017179	FGIG_11481																	
OG0017180	FGIG_11482																	
OG0017181	FGIG_11483																	
OG0017182	FGIG_11498																	
OG0017183	FGIG_11515																	
OG0017184	FGIG_11541																	
OG0017185	FGIG_11545																	
OG0017186	FGIG_11550																	
OG0017187	FGIG_11561																	
OG0017188	FGIG_11577																	
OG0017189	FGIG_11579																	
OG0017190	FGIG_11584																	
OG0017191	FGIG_11591																	
OG0017192	FGIG_11592																	
OG0017193	FGIG_11632																	
OG0017194	FGIG_11633																	
OG0017195	FGIG_11639																	
OG0017196	FGIG_11648																	
OG0017197	FGIG_11649																	
OG0017198	FGIG_11659																	
OG0017199	FGIG_11693																	
OG0017200	FGIG_11696																	
OG0017201	FGIG_11700																	
OG0017202	FGIG_11703																	
OG0017203	FGIG_11716																	
OG0017204	FGIG_11724																	
OG0017205	FGIG_11728																	
OG0017206	FGIG_11729																	
OG0017207	FGIG_11730																	
OG0017208	FGIG_11736																	
OG0017209	FGIG_11749																	
OG0017210	FGIG_11755																	
OG0017211	FGIG_11759																	
OG0017212	FGIG_11761																	
OG0017213	FGIG_11762																	
OG0017214	FGIG_11781																	
OG0017215	FGIG_11787																	
OG0017216	FGIG_11802																	
OG0017217	FGIG_11804																	
OG0017218	FGIG_11818																	
OG0017219	FGIG_11820																	
OG0017220	FGIG_11824																	
OG0017221	FGIG_11825																	
OG0017222	FGIG_11829																	
OG0017223	FGIG_11831																	
OG0017224	FGIG_11832																	
OG0017225	FGIG_11836																	
OG0017226	FGIG_11849																	
OG0017227	FGIG_11927																	
OG0017228	FGIG_11933																	
OG0017229	FGIG_11935																	
OG0017230	FGIG_11945																	
OG0017231	FGIG_11946																	
OG0017232	FGIG_11971																	
OG0017233	FGIG_11977																	
OG0017234	FGIG_12021																	
OG0017235	FGIG_12032																	
OG0017236	FGIG_12035																	
OG0017237	FGIG_12042																	
OG0017238	FGIG_12046																	
OG0017239	FGIG_12048																	
OG0017240	FGIG_12049																	
OG0017241	FGIG_12060																	
OG0017242	FGIG_12065																	
OG0017243	FGIG_12075																	
OG0017244	FGIG_12080																	
OG0017245	FGIG_12085																	
OG0017246	FGIG_12091																	
OG0017247	FGIG_12094																	
OG0017248	FGIG_12097																	
OG0017249	FGIG_12100																	
OG0017250	FGIG_12120																	
OG0017251	FGIG_12186																	
OG0017252	FGIG_12192																	
OG0017253	FGIG_12193																	
OG0017254	FGIG_12206																	
OG0017255	FGIG_12207																	
OG0017256	FGIG_12213																	
OG0017257	FGIG_12214																	
OG0017258	FGIG_12234																	
OG0017259	FGIG_12249																	
OG0017260	FGIG_12251																	
OG0017261	FGIG_12253																	
OG0017262	FGIG_12255																	
OG0017263	FGIG_12256																	
OG0017264	FGIG_12259																	
OG0017265	FGIG_12260																	
OG0017266	FGIG_12276																	
OG0017267	FGIG_12284																	
OG0017268	FGIG_12287																	
OG0017269	FGIG_12289																	
OG0017270	FGIG_12300																	
OG0017271	FGIG_12332																	
OG0017272	FGIG_12338																	
OG0017273	FGIG_12374																	
OG0017274	FGIG_12376																	
OG0017275	FGIG_12384																	
OG0017276	FGIG_12387																	
OG0017277	FGIG_12394																	
OG0017278	FGIG_12405																	
OG0017279	FGIG_12406																	
OG0017280	FGIG_12415																	
OG0017281	FGIG_12419																	
OG0017282	FGIG_12426																	
OG0017283	FGIG_12427																	
OG0017284	FGIG_12431																	
OG0017285	FGIG_12433																	
OG0017286	FGIG_12435																	
OG0017287	FGIG_12436																	
OG0017288	FGIG_12444																	
OG0017289	FGIG_12446																	
OG0017290	FGIG_12449																	
OG0017291	FGIG_12453																	
OG0017292	FGIG_12480																	
OG0017293	FGIG_12481																	
OG0017294	FGIG_12488																	
OG0017295	FGIG_12498																	
OG0017296	FGIG_12505																	
OG0017297	FGIG_12510																	
OG0017298	FGIG_12512																	
OG0017299	FGIG_12520																	
OG0017300	FGIG_12531																	
OG0017301	FGIG_12534																	
OG0017302	FGIG_12540																	
OG0017303	FGIG_12543																	
OG0017304	FGIG_12545																	
OG0017305	FGIG_12550																	
OG0017306	FGIG_12555																	
OG0017307	FGIG_12558																	
OG0017308	FGIG_12573																	
OG0017309	FGIG_12576																	
OG0017310	FGIG_12578																	
OG0017311	FGIG_12582																	
OG0017312	FGIG_12583																	
OG0017313	FGIG_12589																	
OG0017314	FGIG_12591																	
OG0017315	FGIG_12595																	
OG0017316	FGIG_12605																	
OG0017317	FGIG_12607																	
