Orthogroup	schmidtea_mediterranea	schistosoma_curassoni
OG0000024	h1SMcT0022444.1, h1SMcT0022444.2	SCUR1_23660.1
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	SCUR1_64030.1
OG0000024	h1SMcT0004401.1	SCUR1_79670.1
OG0000024	h1SMcT0004270.1, h1SMcT0004269.2	SCUR1_79660.1, SCUR1_79660.2
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	SCUR1_79090.1, SCUR1_71450.1, SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	SCUR1_57630.1, SCUR1_99660.1
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	SCUR1_20790.1
OG0000029	h1SMcT0004609.1	SCUR1_86960.1, SCUR1_86950.1
OG0000030	h1SMcT0022545.1	SCUR1_6670.1
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12
OG0000033	h1SMcT0014497.2, h1SMcT0014497.3	SCUR1_53450.1, SCUR1_37110.1, SCUR1_41840.1, SCUR1_8400.1, SCUR1_21110.1, SCUR1_31600.1, SCUR1_76470.1, SCUR1_14010.1, SCUR1_46040.1, SCUR1_35190.1, SCUR1_10560.1, SCUR1_31920.1, SCUR1_37620.1, SCUR1_3270.1, SCUR1_93810.1, SCUR1_27970.1, SCUR1_84970.1, SCUR1_4270.1, SCUR1_76530.1, SCUR1_30900.1, SCUR1_53660.1, SCUR1_83210.1, SCUR1_1750.1, SCUR1_18840.1
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3, SCUR1_90440.1, SCUR1_90430.1, SCUR1_57480.1, SCUR1_57500.1, SCUR1_57520.1, SCUR1_95610.1, SCUR1_57550.1, SCUR1_57380.1, SCUR1_95620.1, SCUR1_57530.1, SCUR1_57580.1
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	SCUR1_14970.1
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	SCUR1_59650.1, SCUR1_59730.1, SCUR1_59780.2, SCUR1_59790.1, SCUR1_100280.1, SCUR1_95090.4, SCUR1_95090.1, SCUR1_95090.2, SCUR1_95090.3, SCUR1_95090.5, SCUR1_95090.6
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	SCUR1_52110.3, SCUR1_52110.1, SCUR1_52110.9, SCUR1_52110.25, SCUR1_52110.29, SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21, SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	SCUR1_40080.1, SCUR1_40070.1, SCUR1_40040.1, SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1, SCUR1_40050.2
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	SCUR1_84690.1, SCUR1_84700.1, SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1, SCUR1_84780.2, SCUR1_98900.1, SCUR1_84780.1, SCUR1_98900.2, SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1
OG0000047	h1SMcT0019900.1	SCUR1_77650.1, SCUR1_14470.1, SCUR1_67810.3, SCUR1_67810.1, SCUR1_67810.2, SCUR1_52540.5, SCUR1_52540.8, SCUR1_52540.9, SCUR1_14640.4, SCUR1_14640.5, SCUR1_74340.2, SCUR1_74340.3, SCUR1_31390.4, SCUR1_31390.6, SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5, SCUR1_52540.2, SCUR1_52540.6, SCUR1_14640.1, SCUR1_74340.5, SCUR1_14640.2, SCUR1_14640.3, SCUR1_74340.1, SCUR1_74340.4, SCUR1_52540.4, SCUR1_52540.1, SCUR1_52540.3, SCUR1_52540.7, SCUR1_77670.1, SCUR1_4900.1
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3, SCUR1_53710.1
OG0000052	h1SMcT0006122.2	SCUR1_28750.1
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	SCUR1_3190.1
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	SCUR1_96920.1, SCUR1_96910.1, SCUR1_100150.1, SCUR1_850.2, SCUR1_850.1, SCUR1_100150.2
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	SCUR1_2360.1, SCUR1_2360.2
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	SCUR1_66590.1
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19, SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15
OG0000054	h1SMcT0010194.2	SCUR1_45490.1
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4, SCUR1_68200.23, SCUR1_68200.14, SCUR1_68200.17, SCUR1_68200.13, SCUR1_68200.7, SCUR1_68200.12, SCUR1_68200.16, SCUR1_68210.1, SCUR1_68210.3, SCUR1_68210.7, SCUR1_68210.5, SCUR1_68210.6, SCUR1_68210.2, SCUR1_68210.4
OG0000056	h1SMcT0017059.1	SCUR1_84350.1, SCUR1_17500.1, SCUR1_50470.1, SCUR1_78360.1, SCUR1_78360.2, SCUR1_72430.1, SCUR1_85840.1, SCUR1_83800.1, SCUR1_75460.1, SCUR1_51170.1, SCUR1_40370.1, SCUR1_18630.1
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	SCUR1_88860.1, SCUR1_79800.1, SCUR1_79810.1, SCUR1_79840.7, SCUR1_79840.3, SCUR1_79840.4, SCUR1_79840.2, SCUR1_79840.6, SCUR1_79840.8, SCUR1_79840.1, SCUR1_79840.5
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17, SCUR1_52590.9, SCUR1_52590.8, SCUR1_52590.1, SCUR1_52590.3, SCUR1_52590.4, SCUR1_52590.2, SCUR1_52590.5, SCUR1_52590.6
OG0000062	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5	SCUR1_6120.4, SCUR1_6120.8, SCUR1_6120.7, SCUR1_6120.9, SCUR1_6120.5, SCUR1_6120.1, SCUR1_6120.6, SCUR1_6120.2, SCUR1_6120.3
OG0000063	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3	SCUR1_39570.3, SCUR1_39570.4, SCUR1_39570.10, SCUR1_39570.6, SCUR1_39570.8, SCUR1_39570.1, SCUR1_39570.15, SCUR1_39570.5, SCUR1_39570.7, SCUR1_39570.16, SCUR1_39570.13, SCUR1_39570.14, SCUR1_39570.11, SCUR1_39570.2, SCUR1_39570.9, SCUR1_39570.12
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	SCUR1_4200.1
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	SCUR1_37290.10, SCUR1_37290.8, SCUR1_37290.12, SCUR1_37290.4, SCUR1_37290.7, SCUR1_37290.5, SCUR1_37290.13, SCUR1_37290.14, SCUR1_37290.6, SCUR1_37290.11, SCUR1_37290.2, SCUR1_37290.9, SCUR1_37290.3, SCUR1_37290.1
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	SCUR1_53860.1
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	SCUR1_93300.1, SCUR1_36720.2, SCUR1_36720.1, SCUR1_36720.3, SCUR1_36720.4
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	SCUR1_28800.1
OG0000069	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4	SCUR1_20660.13, SCUR1_20660.14, SCUR1_20660.18, SCUR1_20660.26, SCUR1_20660.36, SCUR1_20660.27, SCUR1_20660.23, SCUR1_20660.24, SCUR1_20660.28, SCUR1_20660.17, SCUR1_20660.2, SCUR1_20660.20, SCUR1_20660.21, SCUR1_20660.22, SCUR1_20660.25, SCUR1_20660.3, SCUR1_20660.4, SCUR1_20660.6, SCUR1_20660.7, SCUR1_20660.8, SCUR1_20660.1, SCUR1_20660.12, SCUR1_20660.5, SCUR1_20660.10, SCUR1_20660.16, SCUR1_20660.29, SCUR1_20660.30, SCUR1_20660.31, SCUR1_20660.32, SCUR1_20660.33, SCUR1_20660.9, SCUR1_20660.34, SCUR1_20660.35, SCUR1_20660.11, SCUR1_20660.15, SCUR1_20660.19
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	SCUR1_43900.6, SCUR1_43900.7, SCUR1_43900.12, SCUR1_43900.8, SCUR1_43900.3, SCUR1_43900.2, SCUR1_43900.1, SCUR1_43900.11, SCUR1_43900.9, SCUR1_43900.5, SCUR1_43900.4, SCUR1_43900.13, SCUR1_43900.14, SCUR1_43900.10
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	SCUR1_88280.7, SCUR1_88280.5, SCUR1_88280.3, SCUR1_88280.2, SCUR1_88280.1, SCUR1_88280.8, SCUR1_88280.4, SCUR1_88280.6
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	SCUR1_55360.1, SCUR1_55360.5, SCUR1_55360.8, SCUR1_55360.9, SCUR1_55360.2, SCUR1_55360.3, SCUR1_55360.4, SCUR1_55360.6, SCUR1_55360.7, SCUR1_55350.4, SCUR1_55350.2, SCUR1_55350.3, SCUR1_55350.5, SCUR1_55350.1
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	SCUR1_1180.1
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	SCUR1_86750.1, SCUR1_86750.2
OG0000074	h1SMcT0008302.1	SCUR1_86850.1, SCUR1_86850.2
OG0000075	h1SMcT0017385.1	SCUR1_34050.1
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	SCUR1_89500.3, SCUR1_89500.4, SCUR1_89500.1, SCUR1_89500.2
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	SCUR1_3860.1, SCUR1_3860.2
OG0000077	h1SMcT0023123.1	SCUR1_10810.3, SCUR1_10810.4, SCUR1_10810.5, SCUR1_10810.2, SCUR1_10810.1, SCUR1_10810.6, SCUR1_10810.7
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	SCUR1_5570.1, SCUR1_5570.4, SCUR1_5570.2, SCUR1_5570.3, SCUR1_5570.5, SCUR1_5570.7, SCUR1_5570.6
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	SCUR1_30630.2, SCUR1_30630.1, SCUR1_30630.3
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	SCUR1_53930.3, SCUR1_53930.2, SCUR1_53930.4, SCUR1_53930.6, SCUR1_53930.1, SCUR1_53930.5, SCUR1_53930.7
OG0000080	h1SMcT0013418.1	SCUR1_44300.10, SCUR1_44300.3, SCUR1_44300.5, SCUR1_44300.4, SCUR1_44300.1, SCUR1_44300.16, SCUR1_44300.11, SCUR1_44300.7, SCUR1_44300.8, SCUR1_44300.15, SCUR1_44300.6, SCUR1_44300.13, SCUR1_44300.2, SCUR1_44300.12, SCUR1_44300.14, SCUR1_44300.9
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	SCUR1_52940.3, SCUR1_52940.10, SCUR1_52940.8, SCUR1_52940.4, SCUR1_52940.9, SCUR1_52940.1, SCUR1_52940.5, SCUR1_52940.6, SCUR1_52940.7, SCUR1_52940.2
OG0000088	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5	SCUR1_3030.5, SCUR1_3030.1, SCUR1_3030.3, SCUR1_3030.2, SCUR1_3030.4, SCUR1_3020.1, SCUR1_3020.2, SCUR1_3020.3, SCUR1_3020.7, SCUR1_3020.5, SCUR1_3020.4, SCUR1_3020.6, SCUR1_3020.9, SCUR1_3020.8
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	SCUR1_49980.5, SCUR1_49980.1, SCUR1_49980.8, SCUR1_49980.2, SCUR1_49980.3, SCUR1_49980.4, SCUR1_49980.6, SCUR1_49980.7
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	SCUR1_47950.1
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	SCUR1_2070.1, SCUR1_2070.4, SCUR1_2070.2, SCUR1_2070.3, SCUR1_2070.5, SCUR1_2070.6
OG0000092	h1SMcT0002197.1	SCUR1_13260.3, SCUR1_13260.4, SCUR1_13260.8, SCUR1_13260.2, SCUR1_13260.7, SCUR1_13260.5, SCUR1_13260.6, SCUR1_13260.1
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	SCUR1_40300.1
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	SCUR1_96410.1, SCUR1_96420.1
