Orthogroup	schmidtea_mediterranea	schistosoma_turkestanicum
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	STRK1_18700.1, STRK1_18700.2
OG0000029	h1SMcT0004609.1	STRK1_87900.1, STRK1_87910.1, STRK1_87930.1, STRK1_87920.1
OG0000030	h1SMcT0022545.1	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3, STRK1_89060.1, STRK1_89070.1, STRK1_89080.1, STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2, STRK1_58000.1, STRK1_105220.1, STRK1_57980.1
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	STRK1_38240.1, STRK1_38230.1, STRK1_38230.2, STRK1_38230.3, STRK1_38190.1, STRK1_38200.1, STRK1_38210.1, STRK1_38220.1
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	STRK1_83210.1, STRK1_83210.2, STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	STRK1_67640.1
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	STRK1_71350.1
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2
OG0000052	h1SMcT0006122.2	STRK1_27330.1
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	STRK1_16800.1
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	STRK1_440.1
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	STRK1_1120.1, STRK1_97400.1
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	STRK1_2330.1
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	STRK1_66850.1
OG0000056	h1SMcT0017059.1	STRK1_44730.1, STRK1_44160.1, STRK1_44160.2, STRK1_44740.1
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	STRK1_86390.1, STRK1_77870.1, STRK1_77680.1, STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2
OG0000062	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	STRK1_27970.1, STRK1_27970.2, STRK1_27970.3, STRK1_27970.4
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	STRK1_51720.1
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	STRK1_90930.1, STRK1_31350.1
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	STRK1_27380.1
OG0000069	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	STRK1_86450.1
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	STRK1_720.2, STRK1_720.1
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	STRK1_88120.1
OG0000075	h1SMcT0017385.1	STRK1_35140.1, STRK1_35140.2
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	STRK1_85230.1, STRK1_85230.2
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	STRK1_16320.1, STRK1_16320.2
OG0000077	h1SMcT0023123.1	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	STRK1_29350.1, STRK1_29350.2
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	STRK1_51780.1, STRK1_51780.2
OG0000080	h1SMcT0013418.1	STRK1_101810.1, STRK1_39780.1, STRK1_39760.1, STRK1_39760.2, STRK1_39760.3
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4
OG0000088	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5	STRK1_17030.1, STRK1_17040.1, STRK1_17040.2
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	STRK1_104500.1, STRK1_49250.1, STRK1_49240.1
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4
OG0000092	h1SMcT0002197.1	STRK1_8500.1, STRK1_8500.2
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	STRK1_38460.1
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1
OG0000094	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3	STRK1_60680.1
OG0000096	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
OG0000097	h1SMcT0003774.1, h1SMcT0003774.2	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2	STRK1_64600.1, STRK1_64590.1
OG0000099	h1SMcT0013445.1, h1SMcT0008305.1	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7	STRK1_3550.1, STRK1_3550.2, STRK1_56260.1
OG0000104	h1SMcT0000528.1, h1SMcT0000528.2	STRK1_3670.1, STRK1_3670.2
OG0000105	h1SMcT0022377.1	STRK1_13170.1
OG0000107	h1SMcT0017615.1, h1SMcT0008020.1, h1SMcT0009789.1, h1SMcT0022826.1, h1SMcT0002740.1, h1SMcT0004777.1, h1SMcT0004777.2, h1SMcT0004777.3, h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2, h1SMcT0018827.1	STRK1_49750.1
OG0000107	h1SMcT0011073.1, h1SMcT0007346.1, h1SMcT0007346.2	STRK1_49760.1
OG0000108	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2	STRK1_12570.1, STRK1_12570.2
OG0000110	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3	STRK1_30120.1, STRK1_30150.1, STRK1_30110.1, STRK1_30100.1, STRK1_30100.2
OG0000111	h1SMcT0016216.1	STRK1_46420.1
OG0000116	h1SMcT0000626.1, h1SMcT0000626.2	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2
OG0000119	h1SMcT0002719.1, h1SMcT0002719.5	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7
OG0000123	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9	STRK1_73130.1, STRK1_73130.2
OG0000125	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1
OG0000126	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2	STRK1_68690.1
OG0000127	h1SMcT0019776.1, h1SMcT0019776.2	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2
OG0000128	h1SMcT0019778.1, h1SMcT0019778.2	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2
OG0000129	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2
OG0000130	h1SMcT0009248.1	STRK1_79420.1, STRK1_79420.2
OG0000132	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1	STRK1_36280.1, STRK1_36280.2
OG0000133	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2	STRK1_32070.1
OG0000134	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3	STRK1_18540.1
OG0000135	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2
OG0000136	h1SMcT0000155.1	STRK1_7170.1
OG0000137	h1SMcT0023090.1	STRK1_41450.1, STRK1_41430.1, STRK1_41430.2, STRK1_41500.1, STRK1_41510.1, STRK1_41480.1, STRK1_41490.1, STRK1_41470.1, STRK1_41460.1
OG0000138	h1SMcT0020322.1	STRK1_84500.1
OG0000138	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3	STRK1_42170.1
OG0000139	h1SMcT0002285.1	STRK1_16260.1
OG0000140	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2
OG0000142	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1	STRK1_18420.1, STRK1_18430.1, STRK1_18430.2, STRK1_18440.1, STRK1_18460.1
OG0000144	h1SMcT0012404.1	STRK1_48850.1
OG0000144	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1	STRK1_24000.1, STRK1_52920.1, STRK1_52940.1
OG0000145	h1SMcT0013665.1	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1
OG0000146	h1SMcT0006897.1, h1SMcT0006897.2	STRK1_86910.1
OG0000146	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1	STRK1_53240.1
OG0000146	h1SMcT0021690.2	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3, STRK1_45220.1
OG0000147	h1SMcT0011597.1	STRK1_30920.1
OG0000149	h1SMcT0005461.1, h1SMcT0005461.2	STRK1_51730.1, STRK1_51730.2
OG0000151	h1SMcT0006201.1	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1
OG0000152	h1SMcT0001548.1	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3
OG0000153	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1	STRK1_105080.1, STRK1_52110.1
OG0000154	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3
OG0000155	h1SMcT0001030.1	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1
OG0000156	h1SMcT0017161.2, h1SMcT0002712.1	STRK1_18130.1, STRK1_18120.1
OG0000157	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2	STRK1_65550.1
OG0000157	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1	STRK1_40030.1
OG0000157	h1SMcT0013969.1, h1SMcT0013969.2	STRK1_90020.1, STRK1_90030.1
OG0000158	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4
OG0000159	h1SMcT0014227.1, h1SMcT0014227.2	STRK1_59740.1
OG0000161	h1SMcT0012867.1	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7
OG0000164	h1SMcT0014759.1	STRK1_60530.1
OG0000164	h1SMcT0021090.1	STRK1_55190.1
OG0000164	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1	STRK1_29660.1
OG0000165	h1SMcT0018166.5	STRK1_63320.1
OG0000167	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2
OG0000172	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3	STRK1_3970.1
OG0000173	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5	STRK1_80280.1
OG0000175	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1	STRK1_39380.1, STRK1_39370.1, STRK1_39360.1, STRK1_39350.1
OG0000177	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1
OG0000179	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4	STRK1_53790.1, STRK1_53800.1
OG0000180	h1SMcT0016760.1, h1SMcT0016760.2	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4, STRK1_79020.1, STRK1_104300.1
OG0000182	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4	STRK1_55980.1
OG0000182	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2	STRK1_36970.1
OG0000184	h1SMcT0015425.1, h1SMcT0015431.1	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1, STRK1_49320.1
OG0000186	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1	STRK1_70010.1
OG0000187	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2	STRK1_46740.1
OG0000190	h1SMcT0007247.1	STRK1_46160.1, STRK1_46160.2
OG0000192	h1SMcT0015806.1	STRK1_64420.1
OG0000193	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4	STRK1_55830.1
OG0000194	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2	STRK1_74260.1
OG0000195	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3	STRK1_50680.1, STRK1_50680.2
OG0000196	h1SMcT0011061.1, h1SMcT0021737.1	STRK1_2310.1, STRK1_87510.1
OG0000196	h1SMcT0001685.1	STRK1_11370.1
OG0000198	h1SMcT0018079.1	STRK1_99590.1, STRK1_24300.1, STRK1_5020.1
OG0000199	h1SMcT0004687.1, h1SMcT0004687.2	STRK1_31630.1, STRK1_31630.2
OG0000201	h1SMcT0009180.1	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2
OG0000206	h1SMcT0011551.1, h1SMcT0011551.2	STRK1_35690.1, STRK1_35690.3, STRK1_35690.6, STRK1_35690.2, STRK1_35690.4, STRK1_35690.5
OG0000208	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3	STRK1_70670.1
OG0000209	h1SMcT0007034.1, h1SMcT0007034.2	STRK1_12090.7, STRK1_12090.2, STRK1_12090.3, STRK1_12090.4, STRK1_12090.5, STRK1_12090.6, STRK1_12090.1
OG0000210	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3	STRK1_82570.1, STRK1_82570.2, STRK1_82580.1, STRK1_82590.1
OG0000211	h1SMcT0007637.1	STRK1_6370.1
OG0000212	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4	STRK1_22730.1
OG0000213	h1SMcT0008371.1	STRK1_3000.1
OG0000217	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1	STRK1_31410.1, STRK1_31420.1
OG0000218	h1SMcT0004177.1	STRK1_14420.1
