Orthogroup	schistosoma_guineensis	schistosoma_mattheei
OG0000015	SGUI1_66240.1	SMTH1_73170.1
OG0000015	SGUI1_38300.1	SMTH1_42560.1
OG0000015	SGUI1_38310.1	SMTH1_42570.1, SMTH1_42570.2
OG0000015	SGUI1_43650.1	SMTH1_48670.1
OG0000015	SGUI1_42800.1	SMTH1_47660.1
OG0000015	SGUI1_9360.1	SMTH1_11420.1
OG0000016	SGUI1_37060.1, SGUI1_76340.1, SGUI1_9020.1, SGUI1_41450.1, SGUI1_40870.1	SMTH1_106910.1, SMTH1_50680.1, SMTH1_86280.1
OG0000016	SGUI1_25480.1	SMTH1_49970.1, SMTH1_20140.1, SMTH1_2130.1
OG0000016	SGUI1_45710.1, SGUI1_45920.1	SMTH1_63220.1
OG0000016	SGUI1_85950.1	SMTH1_13870.1, SMTH1_8830.1
OG0000016	SGUI1_41740.1	SMTH1_30600.1
OG0000016	SGUI1_17330.1	SMTH1_91760.1, SMTH1_94700.1
OG0000018	SGUI1_49660.2	SMTH1_29900.3
OG0000018	SGUI1_49660.5, SGUI1_70620.1, SGUI1_49660.3, SGUI1_49660.4, SGUI1_49660.6	SMTH1_29900.5
OG0000018	SGUI1_27910.1	SMTH1_60370.1
OG0000018	SGUI1_27920.1, SGUI1_49660.1	SMTH1_29900.1
OG0000018	SGUI1_72780.2, SGUI1_72780.1, SGUI1_72780.3, SGUI1_63130.1, SGUI1_63130.2, SGUI1_63130.3, SGUI1_87320.1	SMTH1_38820.2, SMTH1_38820.3, SMTH1_38830.1, SMTH1_38840.1, SMTH1_38820.1
OG0000019	SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11	SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4
OG0000019	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000020	SGUI1_92580.1, SGUI1_92580.3, SGUI1_92580.2	SMTH1_102430.1
OG0000020	SGUI1_92580.5, SGUI1_92580.6, SGUI1_92580.4, SGUI1_92580.7	SMTH1_102400.1, SMTH1_102410.1, SMTH1_102420.1
OG0000020	SGUI1_92560.11, SGUI1_92560.3, SGUI1_92560.9, SGUI1_92560.10, SGUI1_92560.6, SGUI1_92560.7, SGUI1_92560.8, SGUI1_92560.5, SGUI1_92560.2, SGUI1_92560.4, SGUI1_92560.12, SGUI1_92560.13, SGUI1_92560.16, SGUI1_92560.17, SGUI1_92560.14, SGUI1_92560.15	SMTH1_102380.1
OG0000020	SGUI1_92560.1	SMTH1_102370.1
OG0000020	SGUI1_92310.1	SMTH1_102080.1
OG0000021	SGUI1_7740.1	SMTH1_9440.1
OG0000021	SGUI1_5500.1	SMTH1_6700.1, SMTH1_82170.1
OG0000021	SGUI1_5470.1, SGUI1_5470.2	SMTH1_6650.1
OG0000021	SGUI1_5480.1	SMTH1_6670.1
OG0000021	SGUI1_5490.1	SMTH1_6690.1, SMTH1_6690.2
OG0000021	SGUI1_5450.1, SGUI1_5450.2	SMTH1_6640.1
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	SMTH1_30110.1
OG0000023	SGUI1_43890.1, SGUI1_86030.1	SMTH1_107560.1, SMTH1_39840.1
OG0000023	SGUI1_12860.1	SMTH1_91200.1
OG0000024	SGUI1_23290.1	SMTH1_26330.1
OG0000024	SGUI1_91920.1	SMTH1_101590.1
OG0000024	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000024	SGUI1_80800.1, SGUI1_80800.2	SMTH1_89320.1
OG0000024	SGUI1_80790.2, SGUI1_80790.1, SGUI1_80790.3	SMTH1_89310.1
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	SMTH1_88650.1, SMTH1_88650.2
OG0000026	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2	SMTH1_80430.1
OG0000026	SGUI1_72480.1	SMTH1_80360.1
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	SMTH1_78260.1, SMTH1_78260.2
OG0000029	SGUI1_57980.1	SMTH1_63900.1
OG0000029	SGUI1_87750.1	SMTH1_96900.1
OG0000029	SGUI1_87710.1	SMTH1_96870.1
OG0000029	SGUI1_20300.1, SGUI1_20290.1	SMTH1_22560.5
OG0000029	SGUI1_88610.3	SMTH1_97890.7
OG0000029	SGUI1_88610.1	SMTH1_97890.1
OG0000029	SGUI1_88610.1	SMTH1_97890.2
OG0000029	SGUI1_88610.2	SMTH1_97890.1
OG0000029	SGUI1_88610.2	SMTH1_97890.2
OG0000030	SGUI1_6410.1	SMTH1_7700.1
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	SGUI1_9580.1	SMTH1_11660.1
OG0000032	SGUI1_9560.1	SMTH1_88710.1
OG0000032	SGUI1_80200.1	SMTH1_88690.1
OG0000032	SGUI1_80200.2	SMTH1_88690.1
OG0000032	SGUI1_80200.3	SMTH1_88690.1
OG0000033	SGUI1_1730.1, SGUI1_9080.1, SGUI1_90840.1, SGUI1_12710.1, SGUI1_55160.1, SGUI1_1720.1, SGUI1_41780.1, SGUI1_42490.1, SGUI1_11600.1, SGUI1_31330.1, SGUI1_34350.1, SGUI1_64520.1, SGUI1_92500.1, SGUI1_95170.1, SGUI1_12380.1, SGUI1_65730.1, SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1	SMTH1_85770.1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3
OG0000034	SGUI1_92130.1, SGUI1_92130.2	SMTH1_101830.1
OG0000034	SGUI1_92120.1	SMTH1_101820.1, SMTH1_101820.2
OG0000034	SGUI1_57710.1, SGUI1_57800.1	SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1
OG0000034	SGUI1_57810.1	SMTH1_63730.1
OG0000035	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000036	SGUI1_84610.1, SGUI1_62270.1	SMTH1_42790.1, SMTH1_87980.1, SMTH1_93900.1
OG0000036	SGUI1_68580.1	SMTH1_63180.1, SMTH1_63180.2
OG0000037	SGUI1_60200.1	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1
OG0000037	SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3	SMTH1_66620.1
OG0000037	SGUI1_60370.1, SGUI1_60380.1	SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1
OG0000038	SGUI1_23230.1	SMTH1_48020.1
OG0000038	SGUI1_63870.1, SGUI1_21940.1, SGUI1_60360.1, SGUI1_33520.1, SGUI1_22810.1	SMTH1_1760.1, SMTH1_1760.2
OG0000038	SGUI1_50110.1, SGUI1_3690.1	SMTH1_33860.1
OG0000038	SGUI1_49690.1, SGUI1_49690.2, SGUI1_49690.3, SGUI1_49690.4, SGUI1_91460.1, SGUI1_57220.1, SGUI1_51390.1	SMTH1_52630.1, SMTH1_66560.1
OG0000040	SGUI1_52270.1, SGUI1_52260.1	SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
OG0000042	SGUI1_39810.1	SMTH1_44430.1, SMTH1_44430.2
OG0000042	SGUI1_39790.1, SGUI1_69850.1	SMTH1_44330.1
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	SGUI1_86170.1, SGUI1_86170.2	SMTH1_95170.1
OG0000044	SGUI1_86180.1, SGUI1_86180.2	SMTH1_95180.1
OG0000044	SGUI1_86240.1	SMTH1_95210.1
OG0000044	SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	SGUI1_9760.1	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000046	SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2	SMTH1_18850.1
OG0000046	SGUI1_12580.1	SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4
OG0000047	SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5	SMTH1_35900.2, SMTH1_35900.6, SMTH1_35900.7, SMTH1_35900.4, SMTH1_35900.3, SMTH1_35900.1, SMTH1_35900.5
OG0000048	SGUI1_96830.1	SMTH1_77080.1
OG0000048	SGUI1_46010.1	SMTH1_51370.2
OG0000049	SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	SMTH1_77460.1
OG0000049	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1	SMTH1_81780.1
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7	SMTH1_59780.1, SMTH1_59790.1
OG0000050	SGUI1_53910.1	SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000051	SGUI1_47790.1, SGUI1_76600.1, SGUI1_47920.1, SGUI1_69710.1, SGUI1_53620.1	SMTH1_107360.1, SMTH1_60980.1
OG0000051	SGUI1_46200.1, SGUI1_3030.1, SGUI1_52570.1, SGUI1_11490.1, SGUI1_67410.1, SGUI1_45220.1, SGUI1_10370.1, SGUI1_17630.1, SGUI1_57920.1, SGUI1_42200.1, SGUI1_90750.1	SMTH1_104280.1, SMTH1_1210.1, SMTH1_1430.1, SMTH1_35140.1, SMTH1_560.1, SMTH1_67360.1, SMTH1_76270.1, SMTH1_80350.1, SMTH1_82740.1, SMTH1_84360.1, SMTH1_85540.1, SMTH1_86990.1
OG0000051	SGUI1_71830.1, SGUI1_38970.1, SGUI1_40010.1, SGUI1_70810.1	SMTH1_51910.1, SMTH1_13450.1
OG0000051	SGUI1_26100.1, SGUI1_42470.1, SGUI1_79750.1, SGUI1_71360.1	SMTH1_23080.1, SMTH1_31740.1
OG0000052	SGUI1_28340.1	SMTH1_31800.1
OG0000052	SGUI1_3230.1	SMTH1_3820.1
OG0000052	SGUI1_940.1	SMTH1_1110.1
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	SMTH1_2070.1
OG0000052	SGUI1_67400.1	SMTH1_74430.1
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000054	SGUI1_3410.1, SGUI1_34850.1	SMTH1_12390.1
OG0000054	SGUI1_35540.1	SMTH1_43570.1, SMTH1_44960.1, SMTH1_15020.1, SMTH1_60540.1, SMTH1_89020.1
OG0000055	SGUI1_69140.1, SGUI1_69130.1	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000056	SGUI1_17070.1	SMTH1_100750.1
OG0000056	SGUI1_25970.1, SGUI1_44100.1	SMTH1_25400.1
OG0000056	SGUI1_51940.1	SMTH1_61570.1
OG0000057	SGUI1_34960.1	SMTH1_79310.1, SMTH1_54740.1
OG0000057	SGUI1_77540.1	SMTH1_24310.1
OG0000057	SGUI1_48370.1	SMTH1_28420.1, SMTH1_33050.1
OG0000057	SGUI1_11240.1	SMTH1_96520.1
OG0000057	SGUI1_18270.1, SGUI1_12390.1	SMTH1_87590.1
OG0000058	SGUI1_90500.1, SGUI1_90500.2	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	SGUI1_80950.1	SMTH1_89470.1
OG0000058	SGUI1_80980.1	SMTH1_89480.1
OG0000058	SGUI1_81010.1	SMTH1_89510.1, SMTH1_89510.2, SMTH1_89520.1
OG0000058	SGUI1_80940.1, SGUI1_80940.2	SMTH1_89460.1
OG0000060	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30	SMTH1_72720.1
OG0000061	SGUI1_52750.1	SMTH1_58650.1
OG0000062	SGUI1_5830.18, SGUI1_5830.9	SMTH1_7060.1
OG0000063	SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2	SMTH1_43840.1
OG0000065	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1	SMTH1_107120.1
OG0000065	SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8	SMTH1_25600.1
