Orthogroup	schistosoma_guineensis	trichobilharzia_regenti
OG0000016	SGUI1_36680.1, SGUI1_42920.1, SGUI1_67160.1, SGUI1_62150.1, SGUI1_81820.1, SGUI1_93260.1	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1
OG0000016	SGUI1_45710.1, SGUI1_45920.1, SGUI1_85950.1, SGUI1_41740.1	TREG1_28750.1, TREG1_63330.1, TREG1_71580.1, TREG1_69020.1, TREG1_46690.1, TREG1_88640.1, TREG1_95450.1, TREG1_2320.1, TREG1_81700.1, TREG1_113640.1, TREG1_104920.1
OG0000016	SGUI1_17330.1	TREG1_101520.1, TREG1_101900.1, TREG1_26730.1, TREG1_28240.1, TREG1_30730.1, TREG1_145030.1, TREG1_139640.1, TREG1_61260.1, TREG1_28980.1, TREG1_30630.1, TREG1_28880.1, TREG1_29390.1, TREG1_32190.1, TREG1_4150.1, TREG1_57670.1, TREG1_94420.1, TREG1_45800.1, TREG1_84010.1, TREG1_63050.1
OG0000019	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7, SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	SGUI1_7740.1	TREG1_7080.1
OG0000021	SGUI1_5500.1	TREG1_13160.1
OG0000021	SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5
OG0000021	SGUI1_5480.1	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3
OG0000021	SGUI1_5490.1	TREG1_13150.1
OG0000021	SGUI1_5450.1, SGUI1_5450.2	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	TREG1_58780.1
OG0000023	SGUI1_43890.1, SGUI1_86030.1, SGUI1_12860.1, SGUI1_58570.1	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1
OG0000024	SGUI1_23290.1	TREG1_48810.1
OG0000024	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
OG0000024	SGUI1_80800.1, SGUI1_80800.2	TREG1_101000.1
OG0000024	SGUI1_80790.2, SGUI1_80790.1, SGUI1_80790.3	TREG1_101010.1
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	TREG1_108810.1
OG0000026	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2, SGUI1_72480.1	TREG1_100830.1, TREG1_100840.1
OG0000027	SGUI1_39960.1	TREG1_41010.1
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	SGUI1_57980.1	TREG1_77780.2, TREG1_77780.1
OG0000029	SGUI1_87750.1	TREG1_125210.1
OG0000029	SGUI1_87710.1	TREG1_120250.1
OG0000029	SGUI1_20300.1, SGUI1_20290.1	TREG1_27530.1, TREG1_27540.1
OG0000029	SGUI1_88610.3	TREG1_124060.1
OG0000029	SGUI1_88610.1, SGUI1_88610.2	TREG1_124050.1
OG0000030	SGUI1_6410.1	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
OG0000032	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1	TREG1_77560.1
OG0000033	SGUI1_1730.1, SGUI1_9080.1, SGUI1_90840.1, SGUI1_12710.1, SGUI1_55160.1, SGUI1_1720.1, SGUI1_41780.1, SGUI1_42490.1, SGUI1_11600.1, SGUI1_31330.1, SGUI1_34350.1, SGUI1_64520.1, SGUI1_92500.1, SGUI1_95170.1, SGUI1_12380.1, SGUI1_65730.1, SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1, SGUI1_13730.1, SGUI1_9380.1	TREG1_21870.1, TREG1_24050.1, TREG1_28200.1, TREG1_139970.1, TREG1_145000.2, TREG1_145010.1, TREG1_139970.3, TREG1_139970.2, TREG1_15170.1, TREG1_64550.1, TREG1_105080.1, TREG1_145000.1, TREG1_26660.2, TREG1_130180.1, TREG1_145010.2, TREG1_6850.1, TREG1_133870.1, TREG1_16270.1, TREG1_30450.1, TREG1_134810.1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3	TREG1_128470.1
OG0000034	SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1, SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2
OG0000035	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19	TREG1_21190.1, TREG1_21180.1
OG0000036	SGUI1_23160.1, SGUI1_57530.1, SGUI1_26740.1, SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1	TREG1_94140.1, TREG1_38710.1, TREG1_23760.1, TREG1_26550.1, TREG1_96170.1, TREG1_4890.1, TREG1_109400.1, TREG1_37380.1, TREG1_129170.1, TREG1_116600.1, TREG1_820.1, TREG1_46890.1, TREG1_140720.1, TREG1_114640.1, TREG1_129140.1, TREG1_134900.1, TREG1_136510.1, TREG1_2510.1, TREG1_48130.1, TREG1_74950.1
OG0000037	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3	TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1
OG0000037	SGUI1_60370.1, SGUI1_60380.1	TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3
OG0000040	SGUI1_52270.1, SGUI1_52260.1	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4
OG0000041	SGUI1_12110.1	TREG1_142240.1, TREG1_94810.1, TREG1_90530.1, TREG1_132260.1, TREG1_142450.1, TREG1_34660.1, TREG1_94730.1, TREG1_48330.1, TREG1_142510.1, TREG1_127330.1, TREG1_49790.1, TREG1_96930.1, TREG1_112840.1, TREG1_118460.1, TREG1_140420.1, TREG1_58250.1, TREG1_93850.1, TREG1_134000.1, TREG1_20780.1, TREG1_128090.1, TREG1_87730.1, TREG1_57760.1, TREG1_86290.1, TREG1_133170.1, TREG1_132690.1, TREG1_132690.2, TREG1_31410.1, TREG1_28280.1, TREG1_102930.1, TREG1_71090.10, TREG1_28290.1, TREG1_27470.1, TREG1_126080.1, TREG1_89370.1, TREG1_145150.1, TREG1_16360.17, TREG1_140910.1, TREG1_9970.1, TREG1_133440.1, TREG1_56810.1, TREG1_62140.1, TREG1_91250.1, TREG1_139380.1, TREG1_107530.1, TREG1_133630.1, TREG1_132300.1, TREG1_132300.2, TREG1_91930.1, TREG1_49510.1, TREG1_31020.1, TREG1_117160.1, TREG1_83210.1, TREG1_70760.1, TREG1_59840.1, TREG1_2550.1, TREG1_98170.1, TREG1_100820.1, TREG1_122930.1, TREG1_130960.1, TREG1_132780.1, TREG1_114020.1, TREG1_27300.1, TREG1_37390.1, TREG1_37050.1, TREG1_61590.1, TREG1_69370.1, TREG1_92700.1, TREG1_46260.1, TREG1_109760.1, TREG1_131300.1, TREG1_55930.1, TREG1_8580.1, TREG1_142670.1, TREG1_76000.1, TREG1_89330.1, TREG1_46610.1, TREG1_127680.1, TREG1_16420.1
OG0000042	SGUI1_39810.1	TREG1_41180.1, TREG1_41180.2
OG0000042	SGUI1_39790.1, SGUI1_69850.1, SGUI1_39800.1, SGUI1_69840.1	TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4
OG0000044	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2, SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000045	SGUI1_9760.1, SGUI1_88200.2, SGUI1_88200.1, SGUI1_3820.1	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4
OG0000046	SGUI1_16750.1, SGUI1_35060.1, SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1, SGUI1_7850.1	TREG1_82050.1
OG0000046	SGUI1_43590.1	TREG1_84750.1, TREG1_84750.2, TREG1_84750.3
OG0000047	SGUI1_62750.1, SGUI1_62750.6, SGUI1_21950.7, SGUI1_21950.6, SGUI1_21950.2, SGUI1_21950.3, SGUI1_21950.4, SGUI1_21950.5, SGUI1_21950.1, SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5, SGUI1_63020.3, SGUI1_62750.5, SGUI1_63020.4, SGUI1_62750.3, SGUI1_62750.4, SGUI1_62750.2, SGUI1_62870.2, SGUI1_8690.1, SGUI1_12750.1, SGUI1_50490.2, SGUI1_50490.5, SGUI1_54110.1, SGUI1_62870.1, SGUI1_62870.3, SGUI1_50490.1, SGUI1_50490.4, SGUI1_50490.3	TREG1_115800.1, TREG1_109470.1, TREG1_109470.4, TREG1_109470.6, TREG1_109470.5, TREG1_109470.7, TREG1_109470.2, TREG1_109470.3, TREG1_48980.6, TREG1_48980.3, TREG1_1760.4, TREG1_48980.1, TREG1_48980.2, TREG1_48980.5, TREG1_1760.3, TREG1_1760.1, TREG1_1760.2, TREG1_1750.1, TREG1_1750.2, TREG1_48980.4, TREG1_1750.3, TREG1_48980.7, TREG1_10650.1
OG0000049	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1	TREG1_104790.1
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1	TREG1_61870.1, TREG1_61870.2
OG0000052	SGUI1_28340.1	TREG1_49560.1, TREG1_49560.2
OG0000052	SGUI1_3230.1	TREG1_1120.1, TREG1_1140.1
OG0000052	SGUI1_940.1	TREG1_13330.1, TREG1_13320.1
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	SGUI1_67400.1	TREG1_82400.1
OG0000053	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000055	SGUI1_69140.1, SGUI1_69130.1	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
OG0000057	SGUI1_77540.1	TREG1_59320.1, TREG1_142620.1, TREG1_45550.1, TREG1_40710.1, TREG1_94400.1, TREG1_8970.1, TREG1_141350.1, TREG1_141350.2, TREG1_30560.1, TREG1_85340.1, TREG1_83390.1, TREG1_65130.1, TREG1_11820.1, TREG1_29000.1, TREG1_40350.1, TREG1_132830.1, TREG1_111550.1, TREG1_142630.1, TREG1_145280.1, TREG1_43520.1, TREG1_106100.1, TREG1_121450.1, TREG1_77510.1, TREG1_118740.1, TREG1_92450.1, TREG1_25940.1, TREG1_58160.1, TREG1_22740.1, TREG1_57210.1, TREG1_77710.1, TREG1_115510.1, TREG1_3200.1, TREG1_43460.1, TREG1_45660.1, TREG1_45680.1, TREG1_32070.1, TREG1_120500.1, TREG1_39320.1, TREG1_83580.1, TREG1_61160.1, TREG1_128790.1, TREG1_36360.1, TREG1_78490.1, TREG1_130560.1, TREG1_1100.1, TREG1_97600.1, TREG1_70910.1, TREG1_96110.1, TREG1_38080.1, TREG1_138400.1, TREG1_65800.1, TREG1_92220.1, TREG1_30360.1, TREG1_142550.1, TREG1_133840.1, TREG1_94360.1, TREG1_19730.1, TREG1_70560.1, TREG1_139390.1, TREG1_18950.1, TREG1_18950.2, TREG1_99600.1, TREG1_117500.1, TREG1_106120.1
OG0000058	SGUI1_90500.1, SGUI1_90500.2	TREG1_125580.1
OG0000058	SGUI1_80950.1	TREG1_101190.1, TREG1_101210.1
OG0000058	SGUI1_80980.1, SGUI1_81010.1	TREG1_109360.1, TREG1_109360.2
OG0000058	SGUI1_80940.1, SGUI1_80940.2	TREG1_101200.1
OG0000060	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30	TREG1_87890.1
OG0000061	SGUI1_52750.1	TREG1_76900.1, TREG1_76910.1
OG0000063	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2	TREG1_43920.1, TREG1_43920.2
OG0000065	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1	TREG1_32260.1, TREG1_32260.2
OG0000065	SGUI1_22690.6, SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8, SGUI1_22680.1, SGUI1_22690.5, SGUI1_22690.1, SGUI1_22690.3, SGUI1_22690.2	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2
