Orthogroup	schistosoma_guineensis	schistosoma_haematobium
OG0000004	SGUI1_14050.1, SGUI1_67350.1	SHAE2_47490.1
OG0000004	SGUI1_6250.1	SHAE2_36270.1, SHAE2_54650.1
OG0000004	SGUI1_91000.1	SHAE2_96260.1, SHAE2_96260.2
OG0000005	SGUI1_22440.1	SHAE2_63030.1
OG0000005	SGUI1_13160.1, SGUI1_13090.1, SGUI1_90020.1	SHAE2_98210.1, SHAE2_98210.2, SHAE2_6770.1, SHAE2_6780.1
OG0000005	SGUI1_46820.1, SGUI1_69540.1	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1
OG0000005	SGUI1_48720.1, SGUI1_8030.1	SHAE2_55620.1
OG0000005	SGUI1_77060.1	SHAE2_17810.1
OG0000005	SGUI1_8270.1, SGUI1_24780.1, SGUI1_5770.1, SGUI1_6690.1, SGUI1_96750.1	SHAE2_67630.1
OG0000005	SGUI1_9070.1, SGUI1_68570.1, SGUI1_72710.1	SHAE2_16280.1, SHAE2_57870.1, SHAE2_91870.1
OG0000005	SGUI1_58210.1	SHAE2_12820.1, SHAE2_12830.1, SHAE2_89030.1
OG0000006	SGUI1_76880.1	SHAE2_55900.1
OG0000006	SGUI1_58630.1	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1
OG0000006	SGUI1_74190.1, SGUI1_53820.1	SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1
OG0000006	SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1	SHAE2_49370.1
OG0000006	SGUI1_6200.1, SGUI1_6200.2, SGUI1_6200.3, SGUI1_85990.1	SHAE2_40510.1, SHAE2_9980.1
OG0000006	SGUI1_58270.1, SGUI1_82620.1	SHAE2_65190.1
OG0000008	SGUI1_53450.1	SHAE2_26220.1
OG0000008	SGUI1_38260.1, SGUI1_9390.1, SGUI1_9390.2, SGUI1_67330.1, SGUI1_16340.1, SGUI1_13020.1, SGUI1_13750.1, SGUI1_12660.1, SGUI1_12540.1, SGUI1_47370.1, SGUI1_27000.1, SGUI1_90850.1, SGUI1_57630.1, SGUI1_39120.1, SGUI1_1320.1, SGUI1_29210.1, SGUI1_1190.1, SGUI1_10740.1, SGUI1_47340.1, SGUI1_58470.1	SHAE2_83090.1
OG0000008	SGUI1_13750.3, SGUI1_41060.1	SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1
OG0000009	SGUI1_81230.1	SHAE2_24900.1
OG0000009	SGUI1_16910.1, SGUI1_66090.1	SHAE2_45200.1
OG0000009	SGUI1_95330.1	SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1
OG0000009	SGUI1_18020.1	SHAE2_64150.1
OG0000009	SGUI1_31250.1, SGUI1_53900.1, SGUI1_47730.1, SGUI1_77190.1	SHAE2_79100.1
OG0000010	SGUI1_15990.1	SHAE2_14840.2, SHAE2_14840.1
OG0000010	SGUI1_93490.1, SGUI1_64390.1	SHAE2_29320.1
OG0000010	SGUI1_57400.1, SGUI1_74850.1	SHAE2_30800.1, SHAE2_26010.1, SHAE2_26020.1
OG0000010	SGUI1_26790.1	SHAE2_77120.1, SHAE2_69030.1
OG0000010	SGUI1_97030.1	SHAE2_77650.1
OG0000010	SGUI1_63390.1	SHAE2_15450.1
OG0000012	SGUI1_40550.1	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8
OG0000014	SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7	SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26
OG0000014	SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23	SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6
OG0000014	SGUI1_38080.16	SHAE2_41120.15
OG0000015	SGUI1_38090.2, SGUI1_38090.1	SHAE2_41150.1
OG0000015	SGUI1_66240.1	SHAE2_70070.1
OG0000015	SGUI1_38300.1	SHAE2_41370.1
OG0000015	SGUI1_43650.1	SHAE2_46480.1
OG0000015	SGUI1_42800.1	SHAE2_45640.1
OG0000015	SGUI1_9360.1	SHAE2_11980.1
OG0000016	SGUI1_36680.1	SHAE2_91170.1, SHAE2_22460.1
OG0000016	SGUI1_81820.1, SGUI1_93260.1	SHAE2_63450.1
OG0000016	SGUI1_51570.1	SHAE2_28020.1
OG0000016	SGUI1_45500.1, SGUI1_37060.1, SGUI1_76340.1, SGUI1_9020.1, SGUI1_41450.1, SGUI1_40870.1, SGUI1_36950.1	SHAE2_67860.1
OG0000016	SGUI1_17330.1	SHAE2_93630.1, SHAE2_38480.1, SHAE2_65970.1, SHAE2_82640.1, SHAE2_17260.1
OG0000018	SGUI1_4330.2, SGUI1_4340.2, SGUI1_4330.4, SGUI1_4340.4, SGUI1_7860.1, SGUI1_4330.3, SGUI1_4330.5, SGUI1_4340.3, SGUI1_4340.5	SHAE2_20330.3
OG0000018	SGUI1_72780.2, SGUI1_72780.1, SGUI1_72780.3, SGUI1_63130.1, SGUI1_63130.2, SGUI1_63130.3, SGUI1_87320.1	SHAE2_55110.1, SHAE2_55110.2, SHAE2_55110.3
OG0000019	SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7
OG0000019	SGUI1_36590.7	SHAE2_39640.3
OG0000019	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000020	SGUI1_92580.1, SGUI1_92580.3, SGUI1_92580.2	SHAE2_97880.1, SHAE2_97890.1
OG0000020	SGUI1_92580.5, SGUI1_92580.6, SGUI1_92580.4, SGUI1_92580.7	SHAE2_97900.1
OG0000020	SGUI1_97000.1, SGUI1_97000.2, SGUI1_97000.3	SHAE2_97360.1
OG0000021	SGUI1_7740.1	SHAE2_10160.1
OG0000021	SGUI1_5500.1	SHAE2_6350.1
OG0000021	SGUI1_5470.3	SHAE2_6310.2
OG0000021	SGUI1_5470.1, SGUI1_5470.2	SHAE2_6310.1
OG0000021	SGUI1_5480.1	SHAE2_6320.1
OG0000021	SGUI1_5490.1	SHAE2_6330.1, SHAE2_6330.2
OG0000021	SGUI1_5450.1, SGUI1_5450.2	SHAE2_6290.2
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000023	SGUI1_82420.1	SHAE2_26100.1
OG0000024	SGUI1_23290.1	SHAE2_26160.1
OG0000024	SGUI1_91920.1	SHAE2_96950.1
OG0000024	SGUI1_64640.1	SHAE2_68430.1
OG0000024	SGUI1_64640.1	SHAE2_68430.2
OG0000024	SGUI1_64640.1	SHAE2_68430.3
OG0000024	SGUI1_64640.1	SHAE2_68430.4
OG0000024	SGUI1_64640.1	SHAE2_68430.5
OG0000024	SGUI1_64640.3	SHAE2_68430.1
OG0000024	SGUI1_64640.3	SHAE2_68430.2
OG0000024	SGUI1_64640.3	SHAE2_68430.3
OG0000024	SGUI1_64640.3	SHAE2_68430.4
OG0000024	SGUI1_64640.3	SHAE2_68430.5
OG0000024	SGUI1_64640.2	SHAE2_68430.6
OG0000024	SGUI1_80800.1, SGUI1_80800.2	SHAE2_84940.1, SHAE2_84940.2
OG0000024	SGUI1_80790.2, SGUI1_80790.1	SHAE2_84950.1
OG0000026	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3
OG0000027	SGUI1_39960.1	SHAE2_42940.1
OG0000028	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5	SHAE2_74920.6, SHAE2_74920.7
OG0000028	SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10	SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	SGUI1_57980.1	SHAE2_61420.1
OG0000029	SGUI1_87750.1	SHAE2_92590.1
OG0000029	SGUI1_20300.1, SGUI1_20290.1	SHAE2_22850.2, SHAE2_22860.1
OG0000029	SGUI1_88610.3	SHAE2_93560.1
OG0000029	SGUI1_88610.1, SGUI1_88610.2	SHAE2_93550.1
OG0000030	SGUI1_6410.1	SHAE2_7260.1
OG0000031	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8	SHAE2_21970.1
OG0000032	SGUI1_80200.1	SHAE2_84140.1
OG0000032	SGUI1_80200.2	SHAE2_84140.1
OG0000032	SGUI1_80200.3	SHAE2_84140.1
OG0000034	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3	SHAE2_97190.1
OG0000034	SGUI1_92130.1, SGUI1_92130.2	SHAE2_97180.1
OG0000034	SGUI1_92120.1	SHAE2_97170.1
OG0000034	SGUI1_57710.1, SGUI1_57800.1	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1
OG0000034	SGUI1_57860.1	SHAE2_61300.2, SHAE2_61300.1
OG0000034	SGUI1_57690.1	SHAE2_61150.1
OG0000034	SGUI1_57700.1	SHAE2_61160.1
OG0000034	SGUI1_57810.1	SHAE2_61270.1
OG0000035	SGUI1_14660.4, SGUI1_14660.2	SHAE2_16750.10, SHAE2_16750.13
OG0000035	SGUI1_14660.21, SGUI1_14660.22	SHAE2_16750.16, SHAE2_16750.17
OG0000035	SGUI1_14660.8	SHAE2_16750.22, SHAE2_16750.7
OG0000035	SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19	SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3
OG0000036	SGUI1_26740.1	SHAE2_93220.1, SHAE2_34210.1
OG0000036	SGUI1_12600.1, SGUI1_2640.1, SGUI1_2640.2, SGUI1_2640.3, SGUI1_96790.1, SGUI1_84610.1, SGUI1_62270.1, SGUI1_68580.1, SGUI1_68950.1, SGUI1_64010.1, SGUI1_76950.1, SGUI1_81020.1	SHAE2_24910.1, SHAE2_24910.2
OG0000037	SGUI1_60200.1	SHAE2_63770.1, SHAE2_63780.1
OG0000037	SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3	SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3
OG0000037	SGUI1_60370.1, SGUI1_60380.1	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000038	SGUI1_23230.1	SHAE2_59300.1
OG0000038	SGUI1_8220.1	SHAE2_40300.1
OG0000038	SGUI1_63870.1, SGUI1_21940.1, SGUI1_60360.1, SGUI1_33520.1, SGUI1_22810.1	SHAE2_10510.1, SHAE2_85910.1
OG0000038	SGUI1_59630.1, SGUI1_40690.1, SGUI1_40690.2, SGUI1_40690.3	SHAE2_12870.1, SHAE2_14240.1, SHAE2_83230.1
OG0000040	SGUI1_52270.1	SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23
OG0000040	SGUI1_52260.1	SHAE2_55390.1, SHAE2_55400.26
OG0000041	SGUI1_12110.1	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3
OG0000042	SGUI1_39810.1	SHAE2_42810.2, SHAE2_42810.1
OG0000042	SGUI1_39790.1, SGUI1_69850.1	SHAE2_42750.1
OG0000043	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21
OG0000044	SGUI1_86180.1, SGUI1_86180.2	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3
OG0000044	SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2	SHAE2_91220.1
OG0000044	SGUI1_86240.1	SHAE2_91240.1, SHAE2_91240.2
OG0000044	SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3	SHAE2_91250.1, SHAE2_91250.2
OG0000045	SGUI1_9760.1	SHAE2_12380.1
OG0000045	SGUI1_88200.2, SGUI1_88200.1	SHAE2_93110.1
OG0000045	SGUI1_3820.1	SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23
OG0000046	SGUI1_35060.1	SHAE2_53980.1
OG0000046	SGUI1_12610.1, SGUI1_74010.1, SGUI1_73550.1, SGUI1_27900.1, SGUI1_73550.2, SGUI1_12580.1	SHAE2_34200.2, SHAE2_34200.1
OG0000046	SGUI1_7850.1	SHAE2_62240.1, SHAE2_62240.2, SHAE2_62240.3
OG0000047	SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5	SHAE2_100590.1
OG0000047	SGUI1_63020.3, SGUI1_62750.5, SGUI1_63020.4, SGUI1_62750.3, SGUI1_62750.4, SGUI1_62750.2	SHAE2_59000.1
OG0000048	SGUI1_96830.1	SHAE2_73940.1
OG0000048	SGUI1_46010.1	SHAE2_48870.1
OG0000049	SGUI1_70210.1	SHAE2_74260.1
OG0000049	SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
OG0000049	SGUI1_73830.2	SHAE2_77960.1, SHAE2_77960.7
OG0000049	SGUI1_73830.4, SGUI1_73830.3	SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3
OG0000049	SGUI1_73830.1	SHAE2_77960.6
OG0000050	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15
OG0000050	SGUI1_53910.1	SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6
OG0000051	SGUI1_59290.1	SHAE2_39490.1
OG0000051	SGUI1_45220.1, SGUI1_10370.1, SGUI1_17630.1, SGUI1_57920.1, SGUI1_42200.1, SGUI1_90750.1	SHAE2_15490.1
OG0000051	SGUI1_41040.1	SHAE2_64450.1
OG0000051	SGUI1_71830.1, SGUI1_38970.1, SGUI1_40010.1, SGUI1_70810.1	SHAE2_31540.1
OG0000051	SGUI1_71360.1	SHAE2_51900.1
OG0000052	SGUI1_28340.1	SHAE2_30940.1
OG0000052	SGUI1_3230.1	SHAE2_3770.1
OG0000052	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3
