Orthogroup	schistosoma_haematobium	schistosoma_bovis
OG0000003	SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3	SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1
OG0000004	SHAE2_45000.1, SHAE2_77060.1, SHAE2_22150.1, SHAE2_56330.1, SHAE2_85230.1, SHAE2_24720.1, SHAE2_53640.1, SHAE2_92300.1, SHAE2_56980.1, SHAE2_56980.2, SHAE2_2480.1, SHAE2_63150.1	SBOV2_84080.1
OG0000004	SHAE2_85020.1	SBOV2_45530.3
OG0000004	SHAE2_102090.1, SHAE2_60460.1	SBOV2_17290.1
OG0000004	SHAE2_38170.1	SBOV2_26620.1, SBOV2_56720.1, SBOV2_56720.2
OG0000004	SHAE2_93840.1	SBOV2_80040.1
OG0000004	SHAE2_24480.1	SBOV2_55030.1
OG0000004	SHAE2_44870.1	SBOV2_92090.1
OG0000004	SHAE2_47490.1	SBOV2_45390.1
OG0000005	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1	SBOV2_77100.1
OG0000005	SHAE2_55620.1	SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1
OG0000005	SHAE2_24880.1, SHAE2_48280.1, SHAE2_24890.1, SHAE2_17810.1, SHAE2_98820.1	SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1
OG0000005	SHAE2_23190.1	SBOV2_35020.1, SBOV2_90330.1
OG0000006	SHAE2_55900.1	SBOV2_16310.1
OG0000006	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	SBOV2_18200.1
OG0000006	SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1	SBOV2_2480.1
OG0000006	SHAE2_49370.1	SBOV2_58500.1
OG0000006	SHAE2_40510.1, SHAE2_9980.1, SHAE2_65190.1	SBOV2_16520.1, SBOV2_38470.1
OG0000006	SHAE2_77110.1, SHAE2_14280.1	SBOV2_58600.1, SBOV2_55160.1
OG0000006	SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4	SBOV2_82790.1
OG0000006	SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1	SBOV2_14350.1
OG0000008	SHAE2_26220.1	SBOV2_39270.1
OG0000008	SHAE2_83090.1	SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1, SBOV2_96210.1, SBOV2_37140.1
OG0000008	SHAE2_93330.1, SHAE2_4460.1, SHAE2_42580.1, SHAE2_91950.1, SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1, SHAE2_50850.1, SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1	SBOV2_68530.1
OG0000009	SHAE2_24900.1	SBOV2_1710.1
OG0000009	SHAE2_50000.1, SHAE2_50000.2, SHAE2_81890.1	SBOV2_58610.1
OG0000009	SHAE2_41140.1	SBOV2_89880.1
OG0000009	SHAE2_64150.1	SBOV2_45750.1
OG0000009	SHAE2_23940.1, SHAE2_24640.1	SBOV2_76620.1, SBOV2_70920.1
OG0000009	SHAE2_16450.1	SBOV2_28290.1
OG0000009	SHAE2_79100.1	SBOV2_81720.1, SBOV2_10990.1
OG0000010	SHAE2_29320.1	SBOV2_95290.1
OG0000010	SHAE2_69040.1	SBOV2_2840.1
OG0000010	SHAE2_30800.1, SHAE2_26010.1	SBOV2_81980.1
OG0000010	SHAE2_15450.1	SBOV2_3700.1
OG0000012	SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6	SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30
OG0000015	SHAE2_41150.1	SBOV2_29460.1
OG0000015	SHAE2_70060.1	SBOV2_65410.1
OG0000015	SHAE2_70070.1	SBOV2_65420.1
OG0000015	SHAE2_41370.1	SBOV2_29300.1
OG0000015	SHAE2_46430.1	SBOV2_42840.1
OG0000015	SHAE2_46480.1	SBOV2_42900.1
OG0000015	SHAE2_45590.1	SBOV2_41940.1, SBOV2_41950.1
OG0000015	SHAE2_45600.1	SBOV2_41960.1
OG0000015	SHAE2_45610.1	SBOV2_41970.1
OG0000015	SHAE2_45640.1	SBOV2_41990.1
OG0000015	SHAE2_11980.1	SBOV2_9870.1
OG0000016	SHAE2_67860.1	SBOV2_28680.1, SBOV2_47660.1, SBOV2_51280.1, SBOV2_41550.1
OG0000016	SHAE2_38480.1	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1
OG0000019	SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7	SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9
OG0000019	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19	SBOV2_30990.6, SBOV2_30990.1
OG0000020	SHAE2_97880.1, SHAE2_97890.1	SBOV2_91240.1
OG0000020	SHAE2_97360.1	SBOV2_90950.4, SBOV2_90950.1, SBOV2_90950.2, SBOV2_90950.3
OG0000021	SHAE2_10160.1	SBOV2_7110.1
OG0000021	SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1	SBOV2_5830.1
OG0000021	SHAE2_6360.1	SBOV2_5840.1
OG0000021	SHAE2_6310.2	SBOV2_5800.2
OG0000021	SHAE2_6310.1	SBOV2_5800.1
OG0000021	SHAE2_6320.1	SBOV2_5810.1
OG0000021	SHAE2_6330.1, SHAE2_6330.2	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000021	SHAE2_6290.2	SBOV2_5780.1
OG0000021	SHAE2_6290.3, SHAE2_6290.5	SBOV2_5780.2
OG0000022	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29	SBOV2_40340.1
OG0000024	SHAE2_26160.1	SBOV2_23240.1
OG0000024	SHAE2_96950.1	SBOV2_90560.1
OG0000024	SHAE2_68430.6	SBOV2_63690.1
OG0000024	SHAE2_84940.1, SHAE2_84940.2	SBOV2_79360.1, SBOV2_79360.2
OG0000024	SHAE2_84950.1	SBOV2_79350.1
OG0000026	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2	SBOV2_78760.1
OG0000026	SHAE2_76510.1, SHAE2_76510.2	SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3
OG0000028	SHAE2_74920.6, SHAE2_74920.7	SBOV2_69930.3, SBOV2_69930.6
OG0000028	SHAE2_74920.1	SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4
OG0000029	SHAE2_61420.1	SBOV2_57030.1
OG0000029	SHAE2_92590.1	SBOV2_86480.1
OG0000029	SHAE2_22850.2	SBOV2_19870.5
OG0000029	SHAE2_22860.1	SBOV2_19870.5
OG0000029	SHAE2_22850.1	SBOV2_19870.1
OG0000029	SHAE2_22850.3	SBOV2_19870.1
OG0000029	SHAE2_22850.1	SBOV2_19870.2
OG0000029	SHAE2_22850.3	SBOV2_19870.2
OG0000029	SHAE2_22850.1	SBOV2_19870.3
OG0000029	SHAE2_22850.3	SBOV2_19870.3
OG0000029	SHAE2_22850.1	SBOV2_19870.4
OG0000029	SHAE2_22850.3	SBOV2_19870.4
OG0000029	SHAE2_93560.1	SBOV2_87380.1
OG0000029	SHAE2_93550.1	SBOV2_87370.2, SBOV2_87370.1
OG0000030	SHAE2_7260.1	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	SHAE2_21970.1	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	SHAE2_12170.2	SBOV2_10100.1
OG0000032	SHAE2_12170.3	SBOV2_10110.1
OG0000032	SHAE2_61170.1	SBOV2_56850.1
OG0000032	SHAE2_61170.4	SBOV2_56850.1
OG0000032	SHAE2_84140.1	SBOV2_78800.1
OG0000034	SHAE2_97190.1	SBOV2_90790.1
OG0000034	SHAE2_97180.1	SBOV2_90780.1
OG0000034	SHAE2_97170.1	SBOV2_90770.1
OG0000034	SHAE2_57280.1, SHAE2_61250.1	SBOV2_56880.1
OG0000034	SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1	SBOV2_56890.1
OG0000034	SHAE2_61300.2, SHAE2_61300.1	SBOV2_56930.1
OG0000034	SHAE2_61270.1	SBOV2_56900.1
OG0000035	SHAE2_16750.10, SHAE2_16750.13	SBOV2_14610.9
OG0000035	SHAE2_16750.16, SHAE2_16750.17	SBOV2_14610.19, SBOV2_14610.20
OG0000035	SHAE2_16750.22, SHAE2_16750.7	SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1
OG0000035	SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3	SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4
OG0000036	SHAE2_24910.1, SHAE2_24910.2	SBOV2_64000.1, SBOV2_64000.2, SBOV2_10500.1, SBOV2_96110.1
OG0000037	SHAE2_63770.1, SHAE2_63780.1	SBOV2_59320.1
OG0000037	SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3	SBOV2_59490.1, SBOV2_59490.2
OG0000038	SHAE2_63020.1, SHAE2_50220.1	SBOV2_78900.1, SBOV2_50970.1
OG0000038	SHAE2_59300.1	SBOV2_51760.1
OG0000038	SHAE2_71210.1	SBOV2_52140.1
OG0000038	SHAE2_85900.1, SHAE2_85900.2, SHAE2_85900.3, SHAE2_10510.1, SHAE2_85910.1, SHAE2_12870.1, SHAE2_14240.1, SHAE2_83230.1	SBOV2_92900.1
OG0000040	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20	SBOV2_53440.5, SBOV2_53440.6
OG0000040	SHAE2_55400.14, SHAE2_55400.19	SBOV2_53440.1
OG0000040	SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15	SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13
OG0000040	SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23	SBOV2_53440.4
OG0000040	SHAE2_55390.1, SHAE2_55400.26	SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000041	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3	SBOV2_31710.1, SBOV2_31710.2
OG0000042	SHAE2_42810.2, SHAE2_42810.1	SBOV2_27900.1
OG0000042	SHAE2_42800.1	SBOV2_27910.2
OG0000042	SHAE2_42750.1	SBOV2_27970.1
OG0000042	SHAE2_42760.2, SHAE2_42780.1	SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3
OG0000042	SHAE2_42780.2, SHAE2_42760.1	SBOV2_27930.1, SBOV2_27960.5
OG0000042	SHAE2_42770.1	SBOV2_27960.2, SBOV2_27960.1
OG0000043	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3	SBOV2_85080.1
OG0000044	SHAE2_91220.1	SBOV2_85100.1
OG0000044	SHAE2_91240.1, SHAE2_91240.2	SBOV2_85120.1
OG0000044	SHAE2_91250.1, SHAE2_91250.2	SBOV2_85130.1
OG0000045	SHAE2_93110.1	SBOV2_3860.1
OG0000046	SHAE2_34200.2, SHAE2_34200.1	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2
OG0000047	SHAE2_100590.1	SBOV2_68600.1
OG0000047	SHAE2_59000.1	SBOV2_68880.2
OG0000048	SHAE2_73940.1	SBOV2_22170.1, SBOV2_22190.1, SBOV2_22190.2
OG0000049	SHAE2_74260.1	SBOV2_69310.2, SBOV2_69310.1
OG0000049	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	SHAE2_77960.1, SHAE2_77960.7	SBOV2_72720.4
OG0000049	SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3	SBOV2_72720.5
OG0000049	SHAE2_77960.6	SBOV2_72720.2
OG0000050	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8
OG0000050	SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6	SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000051	SHAE2_15490.1	SBOV2_44260.1
OG0000051	SHAE2_1850.1	SBOV2_29350.1
OG0000051	SHAE2_31540.1, SHAE2_66680.1	SBOV2_41630.1
OG0000051	SHAE2_51900.1	SBOV2_68980.1, SBOV2_84560.1, SBOV2_84560.2, SBOV2_90390.1
OG0000052	SHAE2_30940.1	SBOV2_38940.1, SBOV2_38940.2
OG0000052	SHAE2_3770.1	SBOV2_3270.1
OG0000052	SHAE2_1990.1, SHAE2_1980.4, SHAE2_1980.3	SBOV2_1730.1
OG0000052	SHAE2_71240.2, SHAE2_71240.3, SHAE2_71240.1	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	SHAE2_20680.2, SHAE2_20680.11, SHAE2_20680.16, SHAE2_20680.12, SHAE2_20680.14, SHAE2_20680.15, SHAE2_20680.3, SHAE2_20680.4, SHAE2_20680.17, SHAE2_20680.13	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9
OG0000053	SHAE2_20680.1, SHAE2_20680.5, SHAE2_20680.6, SHAE2_20680.7, SHAE2_20680.8, SHAE2_20680.9, SHAE2_20680.10	SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000055	SHAE2_73310.1, SHAE2_73320.1	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000057	SHAE2_2610.1, SHAE2_47220.1, SHAE2_78890.1, SHAE2_94710.1, SHAE2_39100.1	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1
OG0000058	SHAE2_95540.1	SBOV2_88040.2, SBOV2_88040.1
OG0000058	SHAE2_84800.1, SHAE2_84800.2	SBOV2_79500.1
OG0000058	SHAE2_84790.1, SHAE2_84790.2, SHAE2_84790.3	SBOV2_79520.1
OG0000058	SHAE2_84760.1	SBOV2_79550.2, SBOV2_79550.3
OG0000058	SHAE2_84750.1	SBOV2_79550.4, SBOV2_79550.6
OG0000058	SHAE2_84740.1	SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7
OG0000060	SHAE2_69670.1, SHAE2_69670.10, SHAE2_69670.6, SHAE2_69670.7, SHAE2_69670.9, SHAE2_69670.11, SHAE2_69670.5, SHAE2_69670.2, SHAE2_69670.4, SHAE2_69670.3, SHAE2_69670.12, SHAE2_69670.8	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
OG0000061	SHAE2_55850.1, SHAE2_55850.11, SHAE2_55850.13, SHAE2_55850.12, SHAE2_55850.10, SHAE2_55850.5, SHAE2_55850.6, SHAE2_55850.7, SHAE2_55850.8, SHAE2_55850.2, SHAE2_55850.9, SHAE2_55850.3, SHAE2_55850.4	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	SHAE2_6660.2, SHAE2_6660.18, SHAE2_6660.8, SHAE2_6660.7, SHAE2_6660.5, SHAE2_6660.1, SHAE2_6660.12, SHAE2_6660.17, SHAE2_6660.20, SHAE2_6660.9, SHAE2_6660.10, SHAE2_6660.11, SHAE2_6660.15, SHAE2_6660.6, SHAE2_6660.13	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	SHAE2_42340.3	SBOV2_28360.11
OG0000063	SHAE2_42340.15, SHAE2_42340.18, SHAE2_42340.10, SHAE2_42340.12, SHAE2_42340.7, SHAE2_42340.9, SHAE2_42340.2, SHAE2_42340.8	SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8
OG0000063	SHAE2_42340.5, SHAE2_42340.11, SHAE2_42340.1, SHAE2_42340.4, SHAE2_42340.6, SHAE2_42340.14, SHAE2_42340.16, SHAE2_42340.13, SHAE2_42340.17, SHAE2_42340.19	SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
