Orthogroup	schistosoma_haematobium	schistosoma_rodhaini
OG0000005	SHAE2_4150.1, SHAE2_67630.1, SHAE2_16280.1, SHAE2_57870.1, SHAE2_91870.1, SHAE2_24130.1, SHAE2_25130.1, SHAE2_25130.2, SHAE2_12820.1, SHAE2_12830.1, SHAE2_89030.1, SHAE2_23190.1, SHAE2_29330.1, SHAE2_71560.1, SHAE2_3410.1	SRDH2_74440.1, SRDH2_1360.1, SRDH2_79640.1, SRDH2_93790.1, SRDH2_9680.1, SRDH2_55640.1, SRDH2_39870.1, SRDH2_24030.1, SRDH2_92820.1, SRDH2_68140.1, SRDH2_42260.1, SRDH2_40170.1
OG0000006	SHAE2_55900.1, SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1
OG0000006	SHAE2_14790.1, SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1, SHAE2_63560.1, SHAE2_50040.1, SHAE2_64180.1	SRDH2_49820.1, SRDH2_56060.1
OG0000006	SHAE2_49370.1, SHAE2_102570.1	SRDH2_59490.1, SRDH2_11650.1, SRDH2_76390.1, SRDH2_7170.1, SRDH2_90220.1
OG0000006	SHAE2_14150.1, SHAE2_13340.1, SHAE2_28540.1, SHAE2_5140.1, SHAE2_85960.1, SHAE2_2730.2, SHAE2_13460.1, SHAE2_98580.1, SHAE2_3600.1, SHAE2_48770.1, SHAE2_96550.1, SHAE2_15810.1, SHAE2_2730.1, SHAE2_2730.3, SHAE2_75170.1, SHAE2_72530.1, SHAE2_54980.1, SHAE2_97000.1, SHAE2_79020.1, SHAE2_81870.1, SHAE2_77820.1, SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4, SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1	SRDH2_55650.1, SRDH2_4790.1, SRDH2_94580.1, SRDH2_95820.1, SRDH2_90660.1, SRDH2_74280.1
OG0000008	SHAE2_26220.1, SHAE2_83090.1, SHAE2_93330.1, SHAE2_4460.1, SHAE2_42580.1, SHAE2_91950.1, SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1, SHAE2_50850.1, SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1, SHAE2_93370.1	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1
OG0000009	SHAE2_45200.1	SRDH2_10110.1, SRDH2_26480.1
OG0000009	SHAE2_50000.1, SHAE2_50000.2, SHAE2_81890.1	SRDH2_94200.1
OG0000009	SHAE2_66930.1	SRDH2_56590.1, SRDH2_79580.1
OG0000009	SHAE2_41140.1	SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1
OG0000009	SHAE2_64150.1	SRDH2_3140.1
OG0000009	SHAE2_23940.1, SHAE2_24640.1	SRDH2_55480.1
OG0000009	SHAE2_79100.1	SRDH2_65600.1
OG0000010	SHAE2_30810.1	SRDH2_68920.1
OG0000010	SHAE2_29320.1	SRDH2_68580.2, SRDH2_68590.1
OG0000012	SHAE2_43510.24, SHAE2_43510.26, SHAE2_43510.25, SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6
OG0000014	SHAE2_41120.28	SRDH2_32020.33
OG0000014	SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6	SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4
OG0000014	SHAE2_41120.15	SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8
OG0000015	SHAE2_41150.1	SRDH2_32040.2
OG0000015	SHAE2_70060.1	SRDH2_66330.1
OG0000015	SHAE2_70070.1	SRDH2_66340.1
OG0000015	SHAE2_41370.1	SRDH2_38560.1
OG0000015	SHAE2_41380.1	SRDH2_38570.1
OG0000015	SHAE2_41400.2	SRDH2_38590.1
OG0000015	SHAE2_46480.1	SRDH2_43900.1
OG0000015	SHAE2_45590.1	SRDH2_43070.1, SRDH2_43080.1
OG0000015	SHAE2_45600.1	SRDH2_43060.1
OG0000015	SHAE2_45640.1	SRDH2_43100.1
OG0000015	SHAE2_11980.1	SRDH2_10450.1
OG0000018	SHAE2_33300.1, SHAE2_23610.1, SHAE2_38960.1, SHAE2_20330.3, SHAE2_20330.1, SHAE2_5050.2, SHAE2_5050.5, SHAE2_5050.6, SHAE2_5050.8, SHAE2_5050.1, SHAE2_5050.3, SHAE2_5050.4, SHAE2_5050.7, SHAE2_5050.9, SHAE2_55110.1, SHAE2_55110.2, SHAE2_55110.3, SHAE2_20330.2, SHAE2_20330.4, SHAE2_62230.1, SHAE2_62230.2	SRDH2_71230.4, SRDH2_56830.5, SRDH2_56830.3, SRDH2_56830.7, SRDH2_71230.3, SRDH2_56830.1, SRDH2_56830.2, SRDH2_56830.8, SRDH2_71230.1, SRDH2_71230.2, SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6, SRDH2_58370.1, SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1
OG0000019	SHAE2_39640.11, SHAE2_39640.1, SHAE2_39640.9, SHAE2_39640.10, SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7, SHAE2_39640.3, SHAE2_39640.12	SRDH2_34300.1
OG0000019	SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4
OG0000020	SHAE2_97900.1	SRDH2_95250.1, SRDH2_95240.1, SRDH2_95180.1
OG0000020	SHAE2_97360.1, SHAE2_97600.1	SRDH2_95300.1, SRDH2_95200.4, SRDH2_95200.5, SRDH2_95200.3, SRDH2_95200.9, SRDH2_95200.1, SRDH2_95200.2, SRDH2_95200.6, SRDH2_95200.8, SRDH2_95280.1, SRDH2_95200.7
OG0000021	SHAE2_10160.1	SRDH2_8550.1
OG0000021	SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1	SRDH2_5890.1
OG0000021	SHAE2_6360.1	SRDH2_5900.1
OG0000021	SHAE2_6310.2, SHAE2_6310.1	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1
OG0000021	SHAE2_6330.1, SHAE2_6330.2	SRDH2_102090.1, SRDH2_5880.1
OG0000021	SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4
OG0000022	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3
OG0000023	SHAE2_26100.1	SRDH2_63600.1, SRDH2_97530.1, SRDH2_84480.1, SRDH2_85020.1, SRDH2_39760.1
OG0000024	SHAE2_26160.1	SRDH2_24010.1
OG0000024	SHAE2_96950.1	SRDH2_94350.1
OG0000024	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6	SRDH2_67860.1
OG0000024	SHAE2_84940.1, SHAE2_84940.2	SRDH2_82380.1
OG0000026	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6
OG0000026	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7
OG0000026	SHAE2_76510.1, SHAE2_76510.2	SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6
OG0000028	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3
OG0000029	SHAE2_61420.1	SRDH2_58920.1
OG0000029	SHAE2_92590.1	SRDH2_90020.1
OG0000029	SHAE2_22850.1	SRDH2_20870.1
OG0000029	SHAE2_22850.3	SRDH2_20870.1
OG0000029	SHAE2_93560.1	SRDH2_91070.1
OG0000030	SHAE2_7260.1	SRDH2_6780.1
OG0000031	SHAE2_21970.1	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5
OG0000032	SHAE2_12170.2	SRDH2_10690.1
OG0000032	SHAE2_61170.1, SHAE2_61170.4	SRDH2_58770.1, SRDH2_58770.3, SRDH2_58770.2
OG0000032	SHAE2_84140.1	SRDH2_81680.1
OG0000033	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1	SRDH2_3900.1, SRDH2_71180.1, SRDH2_77620.1, SRDH2_19830.1, SRDH2_64110.1, SRDH2_56370.1, SRDH2_56780.1, SRDH2_79100.1, SRDH2_57970.1, SRDH2_50980.1, SRDH2_6620.1, SRDH2_101130.1, SRDH2_100490.1, SRDH2_101140.1, SRDH2_101160.1, SRDH2_101170.1, SRDH2_38350.1, SRDH2_15490.1, SRDH2_5580.1, SRDH2_37170.1, SRDH2_42520.1
OG0000034	SHAE2_97190.1	SRDH2_94750.1
OG0000034	SHAE2_97180.1, SHAE2_97170.1	SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1
OG0000034	SHAE2_57280.1, SHAE2_61250.1, SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1	SRDH2_58720.1, SRDH2_58700.1
OG0000034	SHAE2_61300.2, SHAE2_61300.1, SHAE2_61150.1, SHAE2_61160.1, SHAE2_61270.1	SRDH2_58680.1, SRDH2_58640.1
OG0000035	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10
OG0000037	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3	SRDH2_61520.1
OG0000037	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2	SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14
OG0000038	SHAE2_59300.1	SRDH2_68580.1, SRDH2_67930.1, SRDH2_47830.1, SRDH2_83970.1, SRDH2_90160.1, SRDH2_50090.1, SRDH2_101350.1, SRDH2_7630.1, SRDH2_78250.1, SRDH2_78250.2, SRDH2_83380.1, SRDH2_98050.1, SRDH2_17960.1, SRDH2_36860.1, SRDH2_17960.2, SRDH2_36860.2, SRDH2_7890.1, SRDH2_36860.3, SRDH2_84340.1, SRDH2_22660.1, SRDH2_7900.1, SRDH2_19300.1, SRDH2_100200.1, SRDH2_100200.2, SRDH2_28680.1, SRDH2_15040.1, SRDH2_101330.1, SRDH2_43890.1, SRDH2_16780.1
OG0000040	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19, SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23, SHAE2_55390.1, SHAE2_55400.26	SRDH2_53910.2, SRDH2_53910.7, SRDH2_53910.8, SRDH2_53910.11, SRDH2_53910.18, SRDH2_53910.12, SRDH2_53910.16, SRDH2_53910.3, SRDH2_53910.5, SRDH2_53910.6, SRDH2_53920.1, SRDH2_53910.19, SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9
OG0000041	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3	SRDH2_51400.1, SRDH2_100240.1, SRDH2_59560.1, SRDH2_1710.1, SRDH2_120.1, SRDH2_101540.1, SRDH2_49590.1, SRDH2_50260.1, SRDH2_39090.1, SRDH2_42060.1, SRDH2_70230.1, SRDH2_65040.1, SRDH2_60160.1, SRDH2_97680.1
OG0000042	SHAE2_42810.2, SHAE2_42810.1	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4
OG0000042	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1	SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3
OG0000042	SHAE2_42750.1	SRDH2_40000.1
OG0000042	SHAE2_42760.2, SHAE2_42780.1	SRDH2_101250.1
OG0000042	SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1	SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2
OG0000043	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8
OG0000044	SHAE2_91220.1	SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8
OG0000044	SHAE2_91240.1, SHAE2_91240.2	SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3
OG0000045	SHAE2_12380.1	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2
OG0000046	SHAE2_4180.9, SHAE2_4180.11, SHAE2_4180.12, SHAE2_4180.5, SHAE2_4180.7, SHAE2_4180.1, SHAE2_4180.13, SHAE2_4180.3, SHAE2_4180.14, SHAE2_4180.4, SHAE2_4180.6, SHAE2_4180.8, SHAE2_4180.10, SHAE2_4180.2, SHAE2_53980.1, SHAE2_34200.2, SHAE2_34200.1, SHAE2_62240.1, SHAE2_62240.2, SHAE2_62240.3	SRDH2_9900.1, SRDH2_102580.1, SRDH2_82820.1, SRDH2_97800.1, SRDH2_83880.1, SRDH2_84180.1
OG0000048	SHAE2_101460.1, SHAE2_90060.1	SRDH2_101650.1, SRDH2_58870.1
OG0000049	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5, SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4
OG0000049	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2
OG0000050	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6	SRDH2_54600.1, SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9
OG0000051	SHAE2_39490.1, SHAE2_15490.1, SHAE2_1850.1, SHAE2_64450.1, SHAE2_31540.1, SHAE2_66680.1, SHAE2_51900.1	SRDH2_12180.1, SRDH2_96950.1
OG0000052	SHAE2_30940.1	SRDH2_29050.1
OG0000052	SHAE2_3770.1	SRDH2_3320.1
OG0000052	SHAE2_1260.1	SRDH2_930.1
