Orthogroup	fasciola_hepatica	schistosoma_mattheei
OG0000023	FhHiC23_g1952.t1	SMTH1_107560.1, SMTH1_39840.1, SMTH1_107460.1, SMTH1_78450.1, SMTH1_91200.1
OG0000024	FhHiC23_g8663.t1	SMTH1_26330.1
OG0000024	FhHiC23_g1523.t1	SMTH1_101590.1
OG0000024	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000026	FhHiC23_g1282.t1	SMTH1_88650.1, SMTH1_88650.2
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1	SMTH1_80430.1, SMTH1_80360.1
OG0000027	FhHiC23_g5213.t1	SMTH1_44580.22, SMTH1_44580.24, SMTH1_44580.37, SMTH1_44580.23, SMTH1_44580.17, SMTH1_44580.16, SMTH1_44580.9, SMTH1_44580.31, SMTH1_44580.26, SMTH1_44580.10, SMTH1_44580.13, SMTH1_44580.2, SMTH1_44580.30, SMTH1_44580.11, SMTH1_44580.5, SMTH1_44580.27, SMTH1_44580.28, SMTH1_44580.32, SMTH1_44580.29, SMTH1_44580.3, SMTH1_44580.19, SMTH1_44580.33, SMTH1_44580.35, SMTH1_44580.4, SMTH1_44580.39, SMTH1_44580.15, SMTH1_44580.21, SMTH1_44580.8, SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12, SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38, SMTH1_44580.18, SMTH1_44580.1, SMTH1_44580.14
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1	SMTH1_78260.1, SMTH1_78260.2
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	SMTH1_63900.1
OG0000029	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1	SMTH1_96900.1
OG0000029	FhHiC23_g16496.t1	SMTH1_97890.7, SMTH1_54510.1, SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2
OG0000030	FhHiC23_g11202.t1	SMTH1_7700.1
OG0000031	FhHiC23_g15305.t1	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	SMTH1_88710.1, SMTH1_10840.2, SMTH1_10840.1, SMTH1_88700.1, SMTH1_88690.1
OG0000034	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3, SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2, SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1, SMTH1_63730.1
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000036	FhHiC23_g12971.t1, FhHiC23_g9258.t1	SMTH1_10880.1, SMTH1_88260.1, SMTH1_88260.2, SMTH1_73840.1, SMTH1_75240.1, SMTH1_99120.1, SMTH1_1650.1, SMTH1_29330.1, SMTH1_3580.1, SMTH1_43730.1, SMTH1_76250.1, SMTH1_7500.1, SMTH1_51050.1, SMTH1_75070.1, SMTH1_43290.1, SMTH1_9430.1, SMTH1_89590.1, SMTH1_64230.1, SMTH1_42790.1, SMTH1_87980.1, SMTH1_93900.1, SMTH1_63180.1, SMTH1_63180.2, SMTH1_63170.1
OG0000037	FhHiC23_g6871.t1	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1, SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1
OG0000040	FhHiC23_g2039.t1	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
OG0000042	FhHiC23_g15459.t1	SMTH1_44430.1, SMTH1_44430.2, SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2, SMTH1_44330.1, SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1, SMTH1_44390.1, SMTH1_44410.1
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	FhHiC23_g1755.t1	SMTH1_95170.1, SMTH1_95180.1, SMTH1_95210.1, SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000046	FhHiC23_g2169.t1, FhHiC23_g3705.t1	SMTH1_18850.1, SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4, SMTH1_47020.1, SMTH1_3530.1, SMTH1_3530.2, SMTH1_47020.2, SMTH1_47020.3
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	SMTH1_77450.1, SMTH1_77460.1
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	SMTH1_81780.1
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	SMTH1_31800.1
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	SMTH1_3820.1
OG0000052	FhHiC23_g13824.t1	SMTH1_2070.1
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	SMTH1_74430.1
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000056	FhHiC23_g10819.t1	SMTH1_25400.1
OG0000057	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1	SMTH1_24310.1
OG0000058	FhHiC23_g16509.t1	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	FhHiC23_g3241.t1	SMTH1_89470.1
OG0000058	FhHiC23_g3240.t1	SMTH1_89480.1, SMTH1_89510.1, SMTH1_89510.2, SMTH1_89520.1, SMTH1_89460.1
OG0000060	FhHiC23_g8030.t1	SMTH1_72720.1
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	SMTH1_58650.1
OG0000062	FhHiC23_g12088.t1, FhHiC23_g12088.t4	SMTH1_7050.1, SMTH1_7060.1
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	SMTH1_43840.1
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15
OG0000065	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1	SMTH1_107120.1, SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3, SMTH1_41200.7, SMTH1_41200.4, SMTH1_41200.2, SMTH1_41200.6
OG0000067	FhHiC23_g7039.t1, FhHiC23_g7040.t1	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	SMTH1_60000.1, SMTH1_60010.1
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	SMTH1_105080.1, SMTH1_105080.2
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	SMTH1_40460.1, SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4
OG0000068	FhHiC23_g5260.t1	SMTH1_31850.1
OG0000069	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	SMTH1_48740.1
OG0000071	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2	SMTH1_37950.1
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	SMTH1_99330.1, SMTH1_99340.1
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3
OG0000074	FhHiC23_g13499.t1	SMTH1_1470.7, SMTH1_1470.8, SMTH1_1470.4, SMTH1_1470.1, SMTH1_1470.2, SMTH1_1470.3, SMTH1_1470.6, SMTH1_1470.5
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	SMTH1_97660.1
OG0000074	FhHiC23_g10998.t1	SMTH1_12710.5, SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3
OG0000074	FhHiC23_g16397.t1	SMTH1_97780.1
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	SMTH1_100810.1
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5
OG0000077	FhHiC23_g13340.t1	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6
OG0000078	FhHiC23_g13137.t1	SMTH1_6320.1, SMTH1_6330.1
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	SMTH1_60070.2, SMTH1_60070.4, SMTH1_60070.3, SMTH1_60070.1
OG0000080	FhHiC23_g14390.t1	SMTH1_49150.6, SMTH1_49150.3, SMTH1_49150.1, SMTH1_49150.5, SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7, SMTH1_49150.8
OG0000081	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1	SMTH1_107550.1, SMTH1_105800.1, SMTH1_15900.1, SMTH1_85790.1, SMTH1_85760.1, SMTH1_42880.1, SMTH1_870.1
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9
OG0000086	FhHiC23_g1071.t1	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3
OG0000088	FhHiC23_g5522.t1	SMTH1_3690.4, SMTH1_3690.2, SMTH1_3690.3, SMTH1_3690.1, SMTH1_3660.2, SMTH1_3660.1, SMTH1_3660.6, SMTH1_3660.5, SMTH1_3660.4, SMTH1_3660.3, SMTH1_3660.7
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	SMTH1_55910.5, SMTH1_55910.4, SMTH1_55910.6, SMTH1_55910.1, SMTH1_55910.2, SMTH1_55910.3
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	SMTH1_53400.1
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	SMTH1_14740.1
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	SMTH1_44730.1
OG0000093	FhHiC23_g6196.t1, FhHiC23_g5957.t1	SMTH1_43690.1, SMTH1_43700.1, SMTH1_43710.1, SMTH1_43680.2, SMTH1_43680.3, SMTH1_43680.1, SMTH1_43690.2
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6
OG0000095	FhHiC23_g7183.t1	SMTH1_68360.1
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9
OG0000097	FhHiC23_g11521.t1	SMTH1_7960.1
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	SMTH1_45820.1, SMTH1_45820.2
OG0000098	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1	SMTH1_74230.1, SMTH1_74220.1
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	SMTH1_75170.1
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3
OG0000102	FhHiC23_g13582.t1	SMTH1_6850.1, SMTH1_6850.2, SMTH1_6850.3, SMTH1_6850.4
OG0000102	FhHiC23_g7758.t1	SMTH1_65150.1
OG0000103	FhHiC23_g2725.t1	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9
OG0000104	FhHiC23_g12208.t1	SMTH1_7040.1
OG0000105	FhHiC23_g13058.t1	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	SMTH1_9500.1
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	SMTH1_33110.1, SMTH1_33070.1, SMTH1_33080.1
OG0000110	FhHiC23_g5563.t1	SMTH1_33120.1, SMTH1_33120.2, SMTH1_33120.3
OG0000110	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3	SMTH1_33130.1
OG0000111	FhHiC23_g4957.t1	SMTH1_45910.1
OG0000111	FhHiC23_g5520.t1	SMTH1_34710.1, SMTH1_34710.2
OG0000112	FhHiC23_g3619.t1, FhHiC23_g3619.t2	SMTH1_92870.1, SMTH1_92880.1
OG0000114	FhHiC23_g9186.t1	SMTH1_104970.1
OG0000115	FhHiC23_g5095.t1	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9
OG0000116	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2	SMTH1_56110.1
OG0000117	FhHiC23_g5310.t1	SMTH1_33220.1
OG0000118	FhHiC23_g5237.t1	SMTH1_43930.1, SMTH1_43940.1, SMTH1_107810.1, SMTH1_107810.2, SMTH1_43950.1, SMTH1_43960.1, SMTH1_43910.1, SMTH1_43920.1
OG0000119	FhHiC23_g10335.t1	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3
OG0000120	FhHiC23_g5279.t1	SMTH1_107750.15, SMTH1_107750.1, SMTH1_107750.3, SMTH1_33290.1, SMTH1_33290.3, SMTH1_33290.4, SMTH1_107750.4, SMTH1_107750.10, SMTH1_107750.12, SMTH1_107750.16, SMTH1_107750.7, SMTH1_55820.1, SMTH1_107750.11, SMTH1_107750.5, SMTH1_107750.6, SMTH1_33290.5, SMTH1_107750.2, SMTH1_33290.2, SMTH1_33290.7, SMTH1_55820.3, SMTH1_55820.2, SMTH1_107750.13, SMTH1_107750.14, SMTH1_107750.9, SMTH1_33290.6, SMTH1_107750.8
OG0000122	FhHiC23_g1533.t1	SMTH1_89440.1
OG0000123	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1	SMTH1_87340.1
OG0000125	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3	SMTH1_1620.1
OG0000126	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1	SMTH1_78590.1
OG0000127	FhHiC23_g12206.t1, FhHiC23_g12204.t1	SMTH1_25070.3, SMTH1_25070.1, SMTH1_25070.2, SMTH1_25070.4
OG0000128	FhHiC23_g14316.t1	SMTH1_47950.1, SMTH1_47950.2, SMTH1_47950.3
OG0000129	FhHiC23_g5688.t1, FhHiC23_g5688.t2	SMTH1_35850.5, SMTH1_35850.1, SMTH1_35850.7, SMTH1_35850.2, SMTH1_35850.3, SMTH1_35850.8, SMTH1_35850.4, SMTH1_35850.6
OG0000130	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3	SMTH1_89720.8, SMTH1_89720.1, SMTH1_89720.2, SMTH1_89720.3, SMTH1_89720.4, SMTH1_89720.5, SMTH1_89720.6, SMTH1_89720.7, SMTH1_89720.9
OG0000131	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1	SMTH1_9790.1, SMTH1_9790.3, SMTH1_9790.2, SMTH1_95200.1, SMTH1_95190.1
OG0000132	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3	SMTH1_39420.1
