Orthogroup	fasciola_hepatica	schistosoma_margrebowiei
OG0000027	FhHiC23_g5213.t1	SMRG1_40140.16, SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8, SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9, SMRG1_40140.32, SMRG1_40140.27, SMRG1_40140.14, SMRG1_40140.15, SMRG1_40140.13, SMRG1_40140.35, SMRG1_40140.25, SMRG1_40140.12, SMRG1_40140.33, SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2, SMRG1_40140.28, SMRG1_40140.6, SMRG1_40140.4, SMRG1_40140.5, SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20, SMRG1_40140.3, SMRG1_40140.23, SMRG1_40140.22, SMRG1_40140.1
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	SMRG1_58130.1
OG0000029	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1	SMRG1_88400.1
OG0000029	FhHiC23_g16496.t1	SMRG1_89280.1, SMRG1_89270.1
OG0000030	FhHiC23_g11202.t1	SMRG1_6460.1
OG0000031	FhHiC23_g15305.t1	SMRG1_20540.2, SMRG1_20540.10, SMRG1_20540.11, SMRG1_20540.12, SMRG1_20540.4, SMRG1_20540.6, SMRG1_20540.8, SMRG1_20540.9, SMRG1_20540.3, SMRG1_20540.14, SMRG1_20540.7, SMRG1_20540.1, SMRG1_20540.13, SMRG1_20540.5
OG0000032	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1	SMRG1_9210.1, SMRG1_80140.1, SMRG1_9980.1, SMRG1_80130.1
OG0000034	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1	SMRG1_92940.1, SMRG1_92920.1, SMRG1_92920.2, SMRG1_92910.1, SMRG1_57920.1, SMRG1_57930.1, SMRG1_57950.1, SMRG1_58000.1, SMRG1_57940.1, SMRG1_57960.1, SMRG1_57970.1
OG0000035	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5
OG0000036	FhHiC23_g12971.t1, FhHiC23_g9258.t1	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1
OG0000037	FhHiC23_g6871.t1	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4, SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6
OG0000040	FhHiC23_g2039.t1	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9, SMRG1_52720.1, SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4, SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8
OG0000042	FhHiC23_g15459.t1	SMRG1_40000.1, SMRG1_40000.2, SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3, SMRG1_39890.1, SMRG1_39890.2, SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1, SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1
OG0000043	FhHiC23_g4609.t1, FhHiC23_g4609.t2	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18
OG0000044	FhHiC23_g1755.t1	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3, SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2, SMRG1_86970.2, SMRG1_86970.1, SMRG1_86980.1
OG0000045	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2	SMRG1_10160.8, SMRG1_10160.3, SMRG1_10160.6, SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4, SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1, SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3
OG0000046	FhHiC23_g2169.t1, FhHiC23_g3705.t1	SMRG1_46780.1, SMRG1_69180.3, SMRG1_69180.4, SMRG1_69180.5, SMRG1_69180.6, SMRG1_69180.1, SMRG1_69050.1, SMRG1_69050.2, SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2
OG0000049	FhHiC23_g1642.t1, FhHiC23_g1642.t2	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8
OG0000049	FhHiC23_g2467.t1, FhHiC23_g2467.t2	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6
OG0000050	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5
OG0000052	FhHiC23_g6159.t2, FhHiC23_g6159.t1	SMRG1_28750.1
OG0000052	FhHiC23_g12020.t1, FhHiC23_g12020.t3	SMRG1_3130.1
OG0000052	FhHiC23_g13824.t1	SMRG1_600.1
OG0000052	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1	SMRG1_67530.1
OG0000053	FhHiC23_g15140.t1, FhHiC23_g15140.t2	SMRG1_16530.1, SMRG1_16530.2
OG0000055	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3
OG0000056	FhHiC23_g10819.t1	SMRG1_75260.1, SMRG1_74860.1, SMRG1_67770.1, SMRG1_14250.1, SMRG1_62560.1, SMRG1_75270.1, SMRG1_75270.2, SMRG1_88480.1, SMRG1_45130.1, SMRG1_2550.1, SMRG1_23560.1, SMRG1_67170.1, SMRG1_94190.1, SMRG1_30140.1
OG0000057	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1	SMRG1_42540.1
OG0000058	FhHiC23_g16509.t1	SMRG1_91250.1
OG0000058	FhHiC23_g3241.t1	SMRG1_80930.1
OG0000058	FhHiC23_g3240.t1	SMRG1_80970.1, SMRG1_80940.1, SMRG1_80990.1, SMRG1_80920.1, SMRG1_80920.2
OG0000060	FhHiC23_g8030.t1	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9
OG0000061	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16
OG0000062	FhHiC23_g12088.t1, FhHiC23_g12088.t4	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8
OG0000063	FhHiC23_g5471.t1, FhHiC23_g5471.t2	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9
OG0000064	FhHiC23_g13576.t2, FhHiC23_g13576.t1	SMRG1_4070.1, SMRG1_4070.2
OG0000065	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1	SMRG1_23080.1, SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3
OG0000066	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10, SMRG1_37230.6, SMRG1_37230.8, SMRG1_37230.9, SMRG1_37230.1
OG0000067	FhHiC23_g7039.t1, FhHiC23_g7040.t1	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13
OG0000068	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1	SMRG1_54400.1
OG0000068	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1	SMRG1_95970.1
OG0000068	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5
OG0000068	FhHiC23_g5260.t1	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1
OG0000069	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8
OG0000070	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9
OG0000071	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2	SMRG1_34220.1
OG0000072	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6
OG0000073	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3
OG0000074	FhHiC23_g13499.t1	SMRG1_200.1
OG0000074	FhHiC23_g4352.t2, FhHiC23_g4352.t1	SMRG1_89070.1
OG0000074	FhHiC23_g10998.t1	SMRG1_10950.2, SMRG1_10950.1
OG0000074	FhHiC23_g16397.t1	SMRG1_89160.1
OG0000075	FhHiC23_g5300.t1, FhHiC23_g5300.t2	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14
OG0000076	FhHiC23_g8656.t1, FhHiC23_g8656.t2	SMRG1_91970.1
OG0000076	FhHiC23_g13008.t1, FhHiC23_g13008.t2	SMRG1_3760.1, SMRG1_3760.2
OG0000077	FhHiC23_g13340.t1	SMRG1_10440.1
OG0000078	FhHiC23_g13137.t1	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15
OG0000079	FhHiC23_g5009.t2, FhHiC23_g5009.t1	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2
OG0000079	FhHiC23_g2347.t2, FhHiC23_g2347.t1, FhHiC23_g2347.t3	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3
OG0000080	FhHiC23_g14390.t1	SMRG1_44390.5, SMRG1_44390.3, SMRG1_44390.2, SMRG1_44390.4, SMRG1_44390.10, SMRG1_44390.13, SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6
OG0000081	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1
OG0000082	FhHiC23_g13569.t1, FhHiC23_g13569.t2	SMRG1_10080.1
OG0000085	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7
OG0000086	FhHiC23_g1071.t1	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9
OG0000087	FhHiC23_g1744.t1, FhHiC23_g1744.t2	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6
OG0000088	FhHiC23_g5522.t1	SMRG1_2980.1, SMRG1_2970.1
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	SMRG1_50660.11, SMRG1_50660.1, SMRG1_50660.4, SMRG1_50660.5, SMRG1_50660.10, SMRG1_50660.2, SMRG1_50660.3, SMRG1_50660.6, SMRG1_50660.7, SMRG1_50660.8, SMRG1_50660.9
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	SMRG1_2010.1, SMRG1_2020.1
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	SMRG1_40250.1
OG0000093	FhHiC23_g6196.t1, FhHiC23_g5957.t1	SMRG1_45910.1, SMRG1_45920.2, SMRG1_45920.3, SMRG1_45920.5, SMRG1_45930.1, SMRG1_45920.1, SMRG1_45920.4
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	SMRG1_8140.1, SMRG1_8140.2
OG0000095	FhHiC23_g7183.t1	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2
OG0000097	FhHiC23_g11521.t1	SMRG1_6670.1
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	SMRG1_41340.1
OG0000098	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1	SMRG1_67360.1
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	SMRG1_68280.1
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4
OG0000102	FhHiC23_g13582.t1	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4
OG0000102	FhHiC23_g7758.t1	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2
OG0000103	FhHiC23_g2725.t1	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1
OG0000104	FhHiC23_g12208.t1	SMRG1_5870.6, SMRG1_5870.7, SMRG1_5870.3, SMRG1_5870.4, SMRG1_5870.5, SMRG1_5870.8, SMRG1_5870.1, SMRG1_5870.2, SMRG1_5870.11, SMRG1_5870.9, SMRG1_5870.10, SMRG1_5870.12, SMRG1_5870.13
OG0000105	FhHiC23_g13058.t1	SMRG1_7360.5, SMRG1_7360.7, SMRG1_7360.1, SMRG1_7360.3, SMRG1_7360.8, SMRG1_7360.2, SMRG1_7360.4, SMRG1_7360.6
OG0000107	FhHiC23_g2176.t1	SMRG1_56920.1
OG0000108	FhHiC23_g10941.t2, FhHiC23_g10941.t1	SMRG1_8000.1, SMRG1_8000.7, SMRG1_8000.4, SMRG1_8000.5, SMRG1_8000.8, SMRG1_8000.3, SMRG1_8000.2, SMRG1_8000.6, SMRG1_8000.9, SMRG1_8000.10
OG0000110	FhHiC23_g5186.t1, FhHiC23_g5186.t2	SMRG1_29960.1, SMRG1_29930.1, SMRG1_29930.2
