Orthogroup	fasciola_gigantica	schistosoma_spindale
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3
OG0000029	FGIG_01225	SSPN1_55690.1
OG0000029	FGIG_12390, FGIG_07520	SSPN1_84220.1
OG0000029	FGIG_04785	SSPN1_13090.1, SSPN1_13090.2
OG0000029	FGIG_11109	SSPN1_85060.1, SSPN1_85050.1
OG0000030	FGIG_03562	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77
OG0000031	FGIG_00219, FGIG_09645	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6
OG0000032	FGIG_12135	SSPN1_21640.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	SSPN1_88360.1, SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2, SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1
OG0000035	FGIG_03979, FGIG_03980	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2
OG0000037	FGIG_03131, FGIG_03132	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3, SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1
OG0000040	FGIG_07013	SSPN1_50390.1, SSPN1_50400.1
OG0000042	FGIG_05270	SSPN1_31120.1, SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7, SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1
OG0000043	FGIG_08366	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	SSPN1_82650.1, SSPN1_82650.2, SSPN1_82750.1, SSPN1_82730.1, SSPN1_82730.2, SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2
OG0000045	FGIG_12527	SSPN1_19960.1
OG0000049	FGIG_07932, FGIG_00477	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3
OG0000049	FGIG_06077	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	SSPN1_51870.8, SSPN1_51870.5, SSPN1_51870.6, SSPN1_51870.4, SSPN1_51870.7, SSPN1_51870.1, SSPN1_51880.1, SSPN1_51890.2, SSPN1_51890.5, SSPN1_51890.1, SSPN1_51890.6, SSPN1_51890.3, SSPN1_51890.4, SSPN1_51870.2, SSPN1_51870.3
OG0000052	FGIG_00994	SSPN1_27560.1
OG0000052	FGIG_02824	SSPN1_3140.1
OG0000052	FGIG_00846	SSPN1_510.1, SSPN1_510.2
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	SSPN1_1630.1, SSPN1_1630.2, SSPN1_1640.2, SSPN1_1640.1
OG0000052	FGIG_04502, FGIG_12676	SSPN1_57870.1
OG0000053	FGIG_08393, FGIG_12440	SSPN1_11330.1, SSPN1_11330.3, SSPN1_11330.2
OG0000055	FGIG_03285, FGIG_05988	SSPN1_66280.1, SSPN1_66290.1
OG0000058	FGIG_11220	SSPN1_85960.1
OG0000058	FGIG_06708	SSPN1_77480.1
OG0000058	FGIG_00649	SSPN1_77520.4, SSPN1_77530.1, SSPN1_77490.1, SSPN1_77520.1, SSPN1_77520.2, SSPN1_77520.3
OG0000060	FGIG_07684	SSPN1_59230.1, SSPN1_59230.7, SSPN1_59230.2, SSPN1_59230.6, SSPN1_59230.5, SSPN1_59230.8, SSPN1_59230.3, SSPN1_59230.4
OG0000061	FGIG_09986	SSPN1_50850.10, SSPN1_50850.9, SSPN1_50850.12, SSPN1_50850.11, SSPN1_50850.4, SSPN1_50850.6, SSPN1_50850.5, SSPN1_50850.8, SSPN1_50850.2, SSPN1_50850.7, SSPN1_50850.1, SSPN1_50850.3
OG0000062	FGIG_00991	SSPN1_6020.10, SSPN1_6020.15, SSPN1_6020.6, SSPN1_6020.9, SSPN1_6020.16, SSPN1_6020.14, SSPN1_6020.1, SSPN1_6020.12, SSPN1_6020.13, SSPN1_6020.2, SSPN1_6020.5, SSPN1_6020.7, SSPN1_6020.8, SSPN1_6020.11, SSPN1_6020.3, SSPN1_6020.4
OG0000063	FGIG_03231	SSPN1_31570.1
OG0000064	FGIG_12411, FGIG_06602	SSPN1_4120.1, SSPN1_4120.2
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	SSPN1_22330.1, SSPN1_22360.1
OG0000066	FGIG_00170	SSPN1_33820.1
OG0000067	FGIG_02840, FGIG_02842	SSPN1_57390.6, SSPN1_57390.1, SSPN1_57390.4, SSPN1_57390.7, SSPN1_57390.8, SSPN1_57390.2, SSPN1_57390.3, SSPN1_57390.5
OG0000068	FGIG_12158	SSPN1_52040.1
OG0000068	FGIG_12079	SSPN1_91120.1, SSPN1_91120.2, SSPN1_91120.3, SSPN1_91120.4, SSPN1_91120.5, SSPN1_91120.6
OG0000068	FGIG_07351	SSPN1_34390.1, SSPN1_34390.2, SSPN1_34400.1
OG0000068	FGIG_05814	SSPN1_27620.1
OG0000069	FGIG_12680, FGIG_06996	SSPN1_10380.1, SSPN1_10380.2, SSPN1_10380.3
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	SSPN1_42340.2, SSPN1_42340.1, SSPN1_42340.3
OG0000071	FGIG_07065, FGIG_07067	SSPN1_36770.1
OG0000072	FGIG_06022, FGIG_09056	SSPN1_86510.2, SSPN1_86510.4, SSPN1_86510.1, SSPN1_86510.3
OG0000073	FGIG_05759	SSPN1_75390.1, SSPN1_75400.1, SSPN1_53480.2, SSPN1_53480.3, SSPN1_53480.4, SSPN1_53480.1, SSPN1_53490.1, SSPN1_53490.2, SSPN1_53490.3, SSPN1_53490.4
OG0000074	FGIG_06125	SSPN1_190.1
OG0000074	FGIG_03273	SSPN1_84850.1
OG0000074	FGIG_07718	SSPN1_19150.1
OG0000074	FGIG_01338	SSPN1_84940.1
OG0000075	FGIG_05387	SSPN1_37000.1
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	SSPN1_87470.1
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	SSPN1_3830.1
OG0000077	FGIG_09054	SSPN1_19690.2, SSPN1_19690.20, SSPN1_19690.21, SSPN1_19690.3, SSPN1_19690.5, SSPN1_19690.6, SSPN1_19690.22, SSPN1_19690.24, SSPN1_19690.18, SSPN1_19690.19, SSPN1_19690.12, SSPN1_19690.13, SSPN1_19690.14, SSPN1_19690.15, SSPN1_19690.25, SSPN1_19690.16, SSPN1_19690.17, SSPN1_19690.7, SSPN1_19690.23, SSPN1_19690.1, SSPN1_19690.10, SSPN1_19690.11, SSPN1_19690.4, SSPN1_19690.8, SSPN1_19690.9
OG0000078	FGIG_04314	SSPN1_5440.6, SSPN1_5440.2, SSPN1_5440.4, SSPN1_5440.5, SSPN1_5440.1, SSPN1_5440.3
OG0000079	FGIG_07135, FGIG_07136	SSPN1_29590.2, SSPN1_29590.1
OG0000079	FGIG_05069, FGIG_05070	SSPN1_52110.7, SSPN1_52110.5, SSPN1_52110.1, SSPN1_52110.3, SSPN1_52110.9, SSPN1_52110.4, SSPN1_52110.6, SSPN1_52110.2, SSPN1_52110.8
OG0000080	FGIG_03532	SSPN1_42730.5, SSPN1_42730.4, SSPN1_42730.8, SSPN1_42730.6, SSPN1_42730.2, SSPN1_42730.9, SSPN1_42730.1, SSPN1_42730.7, SSPN1_42730.3
OG0000082	FGIG_06461	SSPN1_20040.1
OG0000085	FGIG_06241	SSPN1_34520.2, SSPN1_34520.5, SSPN1_34520.1, SSPN1_34520.4, SSPN1_34520.3
OG0000086	FGIG_09371	SSPN1_70330.4, SSPN1_70330.2, SSPN1_70330.6, SSPN1_70330.5, SSPN1_70330.1, SSPN1_70330.3
OG0000087	FGIG_03026	SSPN1_51210.1
OG0000088	FGIG_14005, FGIG_05150	SSPN1_3000.1, SSPN1_2990.4, SSPN1_2990.5, SSPN1_2990.3, SSPN1_2990.1, SSPN1_2990.2
OG0000090	FGIG_01258	SSPN1_48330.4, SSPN1_48330.1, SSPN1_48330.2, SSPN1_48330.3
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	SSPN1_46320.9, SSPN1_46320.14, SSPN1_46320.15, SSPN1_46320.16, SSPN1_46320.13, SSPN1_46320.1, SSPN1_46320.10, SSPN1_46320.5, SSPN1_46320.8, SSPN1_46320.12, SSPN1_46320.3, SSPN1_46320.7, SSPN1_46320.2, SSPN1_46320.4, SSPN1_46320.6, SSPN1_46320.11
OG0000092	FGIG_06562	SSPN1_2160.1, SSPN1_2160.2
OG0000092	FGIG_11548	SSPN1_17740.2, SSPN1_17740.4, SSPN1_17740.1, SSPN1_17740.3
OG0000093	FGIG_04003	SSPN1_30830.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	SSPN1_93300.1, SSPN1_31650.1, SSPN1_93310.2, SSPN1_31660.1, SSPN1_93310.1, SSPN1_93310.3
OG0000094	FGIG_00948	SSPN1_8420.5, SSPN1_8420.1, SSPN1_8420.2, SSPN1_8420.4, SSPN1_8420.6, SSPN1_8420.3
OG0000095	FGIG_01883	SSPN1_62740.3, SSPN1_62740.7, SSPN1_62740.8, SSPN1_62740.12, SSPN1_62740.4, SSPN1_62740.9, SSPN1_62740.1, SSPN1_62740.2, SSPN1_62740.5, SSPN1_62740.11, SSPN1_62740.6, SSPN1_62740.10
OG0000096	FGIG_03065	SSPN1_35570.1
OG0000097	FGIG_06823	SSPN1_6940.5, SSPN1_6940.1, SSPN1_6940.2, SSPN1_6940.3, SSPN1_6940.4
OG0000098	FGIG_08056	SSPN1_39820.1
OG0000098	FGIG_08009	SSPN1_58010.9, SSPN1_58010.2, SSPN1_58010.3, SSPN1_58010.1, SSPN1_58010.6, SSPN1_58010.5, SSPN1_58010.7, SSPN1_58010.8, SSPN1_58010.4
OG0000099	FGIG_01162	SSPN1_64930.1, SSPN1_64930.2
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	SSPN1_69100.2, SSPN1_69100.3, SSPN1_69100.1, SSPN1_69100.4
OG0000102	FGIG_11657	SSPN1_5840.1
OG0000102	FGIG_04726, FGIG_06854	SSPN1_56690.1, SSPN1_56690.5, SSPN1_56690.4, SSPN1_56690.3, SSPN1_56690.2
OG0000103	FGIG_06145, FGIG_13990	SSPN1_71380.1, SSPN1_71390.1, SSPN1_71390.10, SSPN1_71390.4, SSPN1_71390.5, SSPN1_71390.6, SSPN1_71390.2, SSPN1_71390.3, SSPN1_71390.7, SSPN1_71390.8, SSPN1_71390.9
OG0000104	FGIG_08148	SSPN1_6010.1, SSPN1_6010.10, SSPN1_6010.5, SSPN1_6010.8, SSPN1_6010.2, SSPN1_6010.3, SSPN1_6010.4, SSPN1_6010.9, SSPN1_6010.11, SSPN1_6010.6, SSPN1_6010.7
OG0000105	FGIG_00113, FGIG_06918	SSPN1_7680.6, SSPN1_7680.1, SSPN1_7680.2, SSPN1_7680.4, SSPN1_7680.3, SSPN1_7680.5
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	SSPN1_8260.1
OG0000110	FGIG_03667	SSPN1_28800.1, SSPN1_28780.1
OG0000110	FGIG_10562	SSPN1_28810.2, SSPN1_28810.1
OG0000110	FGIG_06603	SSPN1_28830.1, SSPN1_28820.1
OG0000111	FGIG_04030	SSPN1_39920.1
OG0000111	FGIG_03777	SSPN1_50260.2, SSPN1_50260.1
OG0000111	FGIG_04347	SSPN1_30100.1
OG0000112	FGIG_09308, FGIG_06819	SSPN1_80600.1
OG0000114	FGIG_00156	SSPN1_91010.1, SSPN1_91010.2, SSPN1_91010.4, SSPN1_91010.3
OG0000115	FGIG_02859	SSPN1_34290.1, SSPN1_34290.2
OG0000116	FGIG_03832, FGIG_01693	SSPN1_48510.3, SSPN1_48510.4, SSPN1_48510.5, SSPN1_48510.8, SSPN1_48510.1, SSPN1_48510.11, SSPN1_48510.2, SSPN1_48510.10, SSPN1_48510.6, SSPN1_48510.7, SSPN1_48510.9
OG0000117	FGIG_02197	SSPN1_28910.6, SSPN1_28910.9, SSPN1_28910.1, SSPN1_28910.3, SSPN1_28910.4, SSPN1_28910.7, SSPN1_28910.5, SSPN1_28910.10, SSPN1_28910.2, SSPN1_28910.8
OG0000118	FGIG_02831	SSPN1_31490.1, SSPN1_31480.1, SSPN1_31520.1, SSPN1_31510.1, SSPN1_31500.1
OG0000119	FGIG_05939	SSPN1_91830.6, SSPN1_91840.3, SSPN1_91830.10, SSPN1_91830.5, SSPN1_91830.8, SSPN1_91830.9, SSPN1_91840.2, SSPN1_91840.4, SSPN1_91830.1, SSPN1_91830.3, SSPN1_91830.4, SSPN1_91830.2, SSPN1_91830.7, SSPN1_91840.1
OG0000122	FGIG_06459, FGIG_06458	SSPN1_77430.1
OG0000123	FGIG_06911	SSPN1_75600.1, SSPN1_75600.2
OG0000125	FGIG_12140, FGIG_05136	SSPN1_1270.1
OG0000126	FGIG_02836, FGIG_00047	SSPN1_68020.1, SSPN1_68020.2, SSPN1_68020.3, SSPN1_68020.4
OG0000127	FGIG_10651, FGIG_01876	SSPN1_21920.1, SSPN1_21920.2, SSPN1_21920.3, SSPN1_21920.4, SSPN1_21920.5, SSPN1_21920.6
OG0000128	FGIG_02928	SSPN1_41670.7, SSPN1_41670.3, SSPN1_41670.4, SSPN1_41670.8, SSPN1_41670.9, SSPN1_41670.1, SSPN1_41670.2, SSPN1_41670.5, SSPN1_41670.6
OG0000129	FGIG_01051	SSPN1_38560.7, SSPN1_38560.8, SSPN1_38560.6, SSPN1_38560.3, SSPN1_38560.2, SSPN1_38560.1, SSPN1_38560.4, SSPN1_38560.5
OG0000130	FGIG_06548, FGIG_01370	SSPN1_79040.1, SSPN1_79040.2, SSPN1_79040.3, SSPN1_79040.5, SSPN1_79040.4
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	SSPN1_8540.1, SSPN1_82740.1, SSPN1_82770.1, SSPN1_82660.1, SSPN1_82670.1, SSPN1_82760.1, SSPN1_82760.2
OG0000132	FGIG_04447, FGIG_04446	SSPN1_35370.1
OG0000133	FGIG_10537	SSPN1_30530.3, SSPN1_30530.1, SSPN1_30530.4, SSPN1_30530.2
OG0000134	FGIG_03080	SSPN1_12980.6, SSPN1_12980.5, SSPN1_12980.9, SSPN1_12980.1, SSPN1_12980.2, SSPN1_12980.3, SSPN1_12980.4, SSPN1_12980.7, SSPN1_12980.8
OG0000135	FGIG_08997	SSPN1_17940.1, SSPN1_17940.11, SSPN1_17940.2, SSPN1_17940.12, SSPN1_17940.10, SSPN1_17940.9, SSPN1_17940.6, SSPN1_17940.7, SSPN1_17940.8, SSPN1_17940.4, SSPN1_17940.3, SSPN1_17940.5
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	SSPN1_7350.1
OG0000138	FGIG_10020	SSPN1_84510.1
OG0000138	FGIG_00536, FGIG_00535	SSPN1_43540.1
OG0000139	FGIG_04756	SSPN1_3890.10, SSPN1_3890.12, SSPN1_3890.11, SSPN1_3890.13, SSPN1_3890.5, SSPN1_3890.7, SSPN1_3890.1, SSPN1_3890.6, SSPN1_3890.8, SSPN1_3890.2, SSPN1_3890.3, SSPN1_3890.4, SSPN1_3890.9
OG0000140	FGIG_05800	SSPN1_73280.1
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	SSPN1_12880.1, SSPN1_12890.1
OG0000143	FGIG_03125	SSPN1_65840.1, SSPN1_65830.1
OG0000144	FGIG_04482	SSPN1_52880.1, SSPN1_52880.2
OG0000144	FGIG_02516	SSPN1_26530.1
OG0000144	FGIG_08902, FGIG_02070	SSPN1_54950.1
OG0000145	FGIG_06896	SSPN1_37690.1, SSPN1_37680.1, SSPN1_37680.2
OG0000146	FGIG_01364	SSPN1_87990.1
OG0000146	FGIG_08174	SSPN1_28030.1
OG0000146	FGIG_12116	SSPN1_45680.1
OG0000147	FGIG_03610	SSPN1_34820.5, SSPN1_34820.1, SSPN1_34820.3, SSPN1_34820.4, SSPN1_34820.2
OG0000148	FGIG_05123, FGIG_04713	SSPN1_30160.3, SSPN1_30160.2, SSPN1_30160.7, SSPN1_30160.1, SSPN1_30160.4, SSPN1_30160.5, SSPN1_30160.8, SSPN1_30160.6
OG0000149	FGIG_08710	SSPN1_52060.4, SSPN1_52060.7, SSPN1_52060.8, SSPN1_52060.3, SSPN1_52060.5, SSPN1_52060.6, SSPN1_52060.1, SSPN1_52060.12, SSPN1_52060.2, SSPN1_52060.9, SSPN1_52060.10, SSPN1_52060.11
OG0000151	FGIG_00898	SSPN1_60590.1
OG0000152	FGIG_02196	SSPN1_19460.2, SSPN1_19460.1, SSPN1_19460.3, SSPN1_19460.5, SSPN1_19460.4
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	SSPN1_48430.1, SSPN1_49110.1, SSPN1_49060.1
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	SSPN1_11260.1, SSPN1_11260.6, SSPN1_11260.8, SSPN1_11260.7, SSPN1_11260.9, SSPN1_11260.2, SSPN1_11260.5, SSPN1_11260.3, SSPN1_11260.4
OG0000155	FGIG_01109	SSPN1_33980.1
OG0000156	FGIG_01694	SSPN1_12720.4, SSPN1_12720.2, SSPN1_12720.3, SSPN1_12720.1
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	SSPN1_12710.3, SSPN1_12710.4, SSPN1_12710.1, SSPN1_12710.2
OG0000157	FGIG_01729	SSPN1_62430.3
OG0000157	FGIG_07044, FGIG_07045	SSPN1_42520.1
OG0000157	FGIG_03579	SSPN1_90870.1, SSPN1_90870.2
OG0000158	FGIG_05975	SSPN1_5420.1
OG0000159	FGIG_07564	SSPN1_61930.1
OG0000160	FGIG_05715	SSPN1_16020.2, SSPN1_16020.6, SSPN1_16020.8, SSPN1_16020.10, SSPN1_16020.3, SSPN1_16020.11, SSPN1_16020.1, SSPN1_16020.12, SSPN1_16020.4, SSPN1_16020.5, SSPN1_16020.7, SSPN1_16020.9
OG0000161	FGIG_08957	SSPN1_36170.1, SSPN1_36170.2, SSPN1_36170.3, SSPN1_36170.4, SSPN1_36150.1, SSPN1_36160.1, SSPN1_36170.5, SSPN1_36170.6
OG0000164	FGIG_12608, FGIG_03854	SSPN1_62920.1, SSPN1_62920.2, SSPN1_62920.3
OG0000164	FGIG_01740	SSPN1_74370.1
OG0000164	FGIG_10598	SSPN1_53630.1
OG0000164	FGIG_05689	SSPN1_29260.1
OG0000165	FGIG_03682	SSPN1_59070.1
OG0000166	FGIG_04350	SSPN1_84550.2, SSPN1_84550.1, SSPN1_84550.3
OG0000167	FGIG_09630	SSPN1_72110.3, SSPN1_72110.4, SSPN1_72110.5, SSPN1_72110.2, SSPN1_72110.1
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	SSPN1_90630.1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	SSPN1_67940.1
OG0000172	FGIG_02787, FGIG_02788	SSPN1_11660.6, SSPN1_11660.5, SSPN1_11660.4, SSPN1_11660.1, SSPN1_11660.7, SSPN1_11660.2, SSPN1_11660.3
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	SSPN1_79450.4, SSPN1_79450.1, SSPN1_79450.2, SSPN1_79450.3
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	SSPN1_39990.1, SSPN1_39980.1, SSPN1_39970.1, SSPN1_39960.1
OG0000176	FGIG_00685	SSPN1_28280.1, SSPN1_87350.1
OG0000177	FGIG_04057, FGIG_04058	SSPN1_56760.1, SSPN1_56760.2, SSPN1_56760.3, SSPN1_56760.4, SSPN1_56760.5, SSPN1_56760.6
OG0000178	FGIG_04370	SSPN1_25140.1, SSPN1_25140.2
OG0000179	FGIG_08795, FGIG_10380	SSPN1_53970.1, SSPN1_53970.2, SSPN1_53970.3, SSPN1_53970.4, SSPN1_53980.1
OG0000180	FGIG_12039	SSPN1_78230.1, SSPN1_78220.1, SSPN1_78210.1, SSPN1_78200.1, SSPN1_78240.1, SSPN1_78240.2
OG0000182	FGIG_02134	SSPN1_55870.5, SSPN1_55870.6, SSPN1_55870.4, SSPN1_55870.1, SSPN1_55870.2, SSPN1_55870.3
OG0000182	FGIG_00290	SSPN1_27800.11, SSPN1_27800.7, SSPN1_27800.8, SSPN1_27800.9, SSPN1_27800.4, SSPN1_27800.5, SSPN1_27800.2, SSPN1_27800.1, SSPN1_27800.10, SSPN1_27800.3, SSPN1_27800.6
OG0000183	FGIG_02622	SSPN1_38240.1
OG0000184	FGIG_03731	SSPN1_48240.1, SSPN1_48240.2, SSPN1_48240.3, SSPN1_48240.4
OG0000184	FGIG_03730	SSPN1_48250.1
OG0000185	FGIG_07908	SSPN1_38130.1
OG0000186	FGIG_00796	SSPN1_69400.5, SSPN1_69400.3, SSPN1_69400.4, SSPN1_69400.8, SSPN1_69400.1, SSPN1_69400.2, SSPN1_69400.7, SSPN1_69400.9, SSPN1_69400.6
OG0000187	FGIG_10561, FGIG_02152	SSPN1_50640.2, SSPN1_50640.5, SSPN1_50640.1, SSPN1_50640.7, SSPN1_50640.6, SSPN1_50640.3, SSPN1_50640.9, SSPN1_50640.8, SSPN1_50640.4, SSPN1_50640.10, SSPN1_50640.11, SSPN1_50640.12
OG0000188	FGIG_03282	SSPN1_39090.1
