Orthogroup	fasciola_gigantica	schistosoma_mattheei
OG0000042	FGIG_05270	SMTH1_44430.1, SMTH1_44430.2, SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2, SMTH1_44330.1, SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1, SMTH1_44390.1, SMTH1_44410.1
OG0000043	FGIG_08366	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	SMTH1_95170.1, SMTH1_95180.1, SMTH1_95210.1, SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	FGIG_12527	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000049	FGIG_07932, FGIG_00477	SMTH1_77450.1, SMTH1_77460.1
OG0000049	FGIG_06077	SMTH1_81780.1
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	SMTH1_59780.1, SMTH1_59790.1, SMTH1_59820.10, SMTH1_59820.8, SMTH1_59820.9, SMTH1_59820.1, SMTH1_59820.11, SMTH1_59820.4, SMTH1_59820.7, SMTH1_59820.12, SMTH1_59820.14, SMTH1_59820.2, SMTH1_59820.3, SMTH1_59820.15, SMTH1_59820.5, SMTH1_59820.6, SMTH1_59820.13
OG0000052	FGIG_00994	SMTH1_31800.1
OG0000052	FGIG_02824	SMTH1_3820.1
OG0000052	FGIG_00846	SMTH1_1110.1
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	SMTH1_2070.1
OG0000052	FGIG_04502, FGIG_12676	SMTH1_74430.1
OG0000053	FGIG_08393, FGIG_12440	SMTH1_20440.1, SMTH1_20440.11, SMTH1_20440.12, SMTH1_20440.3, SMTH1_20440.4, SMTH1_20440.6, SMTH1_20440.7, SMTH1_20440.10, SMTH1_20440.2, SMTH1_20440.5, SMTH1_20440.8, SMTH1_20440.9
OG0000055	FGIG_03285, FGIG_05988	SMTH1_76430.1, SMTH1_76430.5, SMTH1_76430.4, SMTH1_76430.2, SMTH1_76430.3, SMTH1_76440.1
OG0000058	FGIG_11220	SMTH1_100010.3, SMTH1_100010.2, SMTH1_100010.1
OG0000058	FGIG_06708	SMTH1_89470.1
OG0000058	FGIG_00649	SMTH1_89480.1, SMTH1_89510.1, SMTH1_89510.2, SMTH1_89520.1, SMTH1_89460.1
OG0000060	FGIG_07684	SMTH1_72720.1
OG0000061	FGIG_09986	SMTH1_58650.1
OG0000062	FGIG_00991	SMTH1_7050.1, SMTH1_7060.1
OG0000063	FGIG_03231	SMTH1_43840.1
OG0000064	FGIG_12411, FGIG_06602	SMTH1_4870.3, SMTH1_4870.5, SMTH1_4870.4, SMTH1_4870.10, SMTH1_4870.7, SMTH1_4870.6, SMTH1_4870.8, SMTH1_4870.12, SMTH1_4870.13, SMTH1_4870.14, SMTH1_4870.11, SMTH1_4870.1, SMTH1_4870.2, SMTH1_4870.9, SMTH1_4870.15
OG0000065	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523	SMTH1_107120.1, SMTH1_25650.1, SMTH1_25600.1, SMTH1_25640.1, SMTH1_25640.2
OG0000066	FGIG_00170	SMTH1_41200.8, SMTH1_41200.10, SMTH1_41200.5, SMTH1_41200.9, SMTH1_41200.1, SMTH1_41200.3, SMTH1_41200.7, SMTH1_41200.4, SMTH1_41200.2, SMTH1_41200.6
OG0000067	FGIG_02840, FGIG_02842	SMTH1_75020.12, SMTH1_75020.11, SMTH1_75020.13, SMTH1_75020.1, SMTH1_75020.8, SMTH1_75020.2, SMTH1_75020.5, SMTH1_75020.6, SMTH1_75020.7, SMTH1_75020.9, SMTH1_75020.3, SMTH1_75020.4, SMTH1_75020.10
OG0000068	FGIG_12158	SMTH1_60000.1, SMTH1_60010.1
OG0000068	FGIG_12079	SMTH1_105080.1, SMTH1_105080.2
OG0000068	FGIG_07351	SMTH1_40460.1, SMTH1_40460.5, SMTH1_40460.2, SMTH1_40460.3, SMTH1_40460.4
OG0000068	FGIG_05814	SMTH1_31850.1
OG0000069	FGIG_12680, FGIG_06996	SMTH1_22730.2, SMTH1_22710.1, SMTH1_22730.1
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	SMTH1_48740.1
OG0000071	FGIG_07065, FGIG_07067	SMTH1_37950.1
OG0000072	FGIG_06022, FGIG_09056	SMTH1_99330.1, SMTH1_99340.1
OG0000073	FGIG_05759	SMTH1_61870.1, SMTH1_61880.1, SMTH1_61880.2, SMTH1_61880.3
OG0000074	FGIG_06125	SMTH1_1470.7, SMTH1_1470.8, SMTH1_1470.4, SMTH1_1470.1, SMTH1_1470.2, SMTH1_1470.3, SMTH1_1470.6, SMTH1_1470.5
OG0000074	FGIG_03273	SMTH1_97660.1
OG0000074	FGIG_07718	SMTH1_12710.5, SMTH1_12710.1, SMTH1_12710.2, SMTH1_12710.4, SMTH1_12710.3
OG0000074	FGIG_01338	SMTH1_97780.1
OG0000075	FGIG_05387	SMTH1_37710.1, SMTH1_37730.1, SMTH1_37720.1
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	SMTH1_100810.1
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	SMTH1_4450.2, SMTH1_4450.3, SMTH1_4450.4, SMTH1_4450.1, SMTH1_4450.5
OG0000077	FGIG_09054	SMTH1_12170.1, SMTH1_12170.2, SMTH1_12170.4, SMTH1_12170.3, SMTH1_12170.10, SMTH1_12170.8, SMTH1_12170.5, SMTH1_12170.7, SMTH1_12170.9, SMTH1_12170.6
OG0000078	FGIG_04314	SMTH1_6320.1, SMTH1_6330.1
OG0000079	FGIG_07135, FGIG_07136	SMTH1_34060.2, SMTH1_34060.4, SMTH1_34060.1, SMTH1_34060.3, SMTH1_34060.5
OG0000079	FGIG_05069, FGIG_05070	SMTH1_60070.2, SMTH1_60070.4, SMTH1_60070.3, SMTH1_60070.1
OG0000080	FGIG_03532	SMTH1_49150.6, SMTH1_49150.3, SMTH1_49150.1, SMTH1_49150.5, SMTH1_49150.2, SMTH1_49150.4, SMTH1_49150.7, SMTH1_49150.8
OG0000081	FGIG_05277, FGIG_11514	SMTH1_107550.1, SMTH1_105800.1, SMTH1_15900.1, SMTH1_85790.1, SMTH1_85760.1, SMTH1_42880.1, SMTH1_870.1
OG0000082	FGIG_06461	SMTH1_11790.11, SMTH1_11790.12, SMTH1_11790.1, SMTH1_11790.2, SMTH1_11790.3, SMTH1_11790.4, SMTH1_11790.5, SMTH1_11790.9, SMTH1_11790.8, SMTH1_11790.10, SMTH1_11790.6, SMTH1_11790.7, SMTH1_11790.13, SMTH1_11790.14
OG0000085	FGIG_06241	SMTH1_40330.1, SMTH1_40330.10, SMTH1_40330.2, SMTH1_40330.3, SMTH1_40330.4, SMTH1_40330.5, SMTH1_40330.7, SMTH1_40330.8, SMTH1_40330.6, SMTH1_40330.9
OG0000086	FGIG_09371	SMTH1_81430.2, SMTH1_81430.3, SMTH1_81430.6, SMTH1_81430.7, SMTH1_81430.4, SMTH1_81430.5, SMTH1_81430.8, SMTH1_81430.9, SMTH1_81430.1
OG0000087	FGIG_03026	SMTH1_59010.1, SMTH1_59010.12, SMTH1_59010.14, SMTH1_59010.15, SMTH1_59010.16, SMTH1_59010.6, SMTH1_59010.8, SMTH1_59010.9, SMTH1_59010.13, SMTH1_59010.7, SMTH1_59010.5, SMTH1_59010.10, SMTH1_59010.4, SMTH1_59010.11, SMTH1_59010.17, SMTH1_59010.2, SMTH1_59010.3
OG0000088	FGIG_14005, FGIG_05150	SMTH1_3690.4, SMTH1_3690.2, SMTH1_3690.3, SMTH1_3690.1, SMTH1_3660.2, SMTH1_3660.1, SMTH1_3660.6, SMTH1_3660.5, SMTH1_3660.4, SMTH1_3660.3, SMTH1_3660.7
OG0000090	FGIG_01258	SMTH1_55910.5, SMTH1_55910.4, SMTH1_55910.6, SMTH1_55910.1, SMTH1_55910.2, SMTH1_55910.3
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	SMTH1_53400.1
OG0000092	FGIG_06562	SMTH1_2640.1, SMTH1_2640.2, SMTH1_2640.3
OG0000092	FGIG_11548	SMTH1_14740.1
OG0000093	FGIG_04003	SMTH1_44730.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	SMTH1_43690.1, SMTH1_43700.1, SMTH1_43710.1, SMTH1_43680.2, SMTH1_43680.3, SMTH1_43680.1, SMTH1_43690.2
OG0000094	FGIG_00948	SMTH1_9680.2, SMTH1_9680.3, SMTH1_9680.1, SMTH1_9680.5, SMTH1_9680.4, SMTH1_9680.6
OG0000095	FGIG_01883	SMTH1_68360.1
OG0000096	FGIG_03065	SMTH1_39100.6, SMTH1_39100.1, SMTH1_39100.2, SMTH1_39100.8, SMTH1_39100.7, SMTH1_39100.3, SMTH1_39100.10, SMTH1_39100.4, SMTH1_39100.5, SMTH1_39100.9
OG0000097	FGIG_06823	SMTH1_7960.1
OG0000098	FGIG_08056	SMTH1_45820.1, SMTH1_45820.2
OG0000098	FGIG_08009	SMTH1_74230.1, SMTH1_74220.1
OG0000099	FGIG_01162	SMTH1_75170.1
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	SMTH1_80070.5, SMTH1_80070.1, SMTH1_80070.4, SMTH1_80070.2, SMTH1_80070.3
OG0000102	FGIG_11657	SMTH1_6850.1, SMTH1_6850.2, SMTH1_6850.3, SMTH1_6850.4
OG0000102	FGIG_04726, FGIG_06854	SMTH1_65150.1
OG0000103	FGIG_06145, FGIG_13990	SMTH1_82550.10, SMTH1_82550.1, SMTH1_82550.2, SMTH1_82550.3, SMTH1_82550.4, SMTH1_82550.8, SMTH1_82550.7, SMTH1_82550.5, SMTH1_82550.6, SMTH1_82550.9
OG0000104	FGIG_08148	SMTH1_7040.1
OG0000105	FGIG_00113, FGIG_06918	SMTH1_8820.1, SMTH1_8820.2, SMTH1_8820.3, SMTH1_8820.4, SMTH1_8820.5, SMTH1_8820.6, SMTH1_8820.7, SMTH1_8820.8, SMTH1_8820.9
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	SMTH1_9500.1
OG0000110	FGIG_03667	SMTH1_33110.1, SMTH1_33070.1, SMTH1_33080.1
OG0000110	FGIG_10562	SMTH1_33120.1, SMTH1_33120.2, SMTH1_33120.3
OG0000110	FGIG_06603	SMTH1_33130.1
OG0000111	FGIG_04030	SMTH1_45910.1
OG0000111	FGIG_03777	SMTH1_57950.3, SMTH1_57950.2, SMTH1_57950.4, SMTH1_57950.1
OG0000111	FGIG_04347	SMTH1_34710.1, SMTH1_34710.2
OG0000112	FGIG_09308, FGIG_06819	SMTH1_92870.1, SMTH1_92880.1
OG0000114	FGIG_00156	SMTH1_104970.1
OG0000115	FGIG_02859	SMTH1_40570.1, SMTH1_40570.12, SMTH1_40570.3, SMTH1_40570.4, SMTH1_40570.7, SMTH1_40570.11, SMTH1_40570.6, SMTH1_40570.10, SMTH1_40570.2, SMTH1_40570.5, SMTH1_40570.8, SMTH1_40570.9
OG0000116	FGIG_03832, FGIG_01693	SMTH1_56110.1
OG0000117	FGIG_02197	SMTH1_33220.1
OG0000118	FGIG_02831	SMTH1_43930.1, SMTH1_43940.1, SMTH1_107810.1, SMTH1_107810.2, SMTH1_43950.1, SMTH1_43960.1, SMTH1_43910.1, SMTH1_43920.1
OG0000119	FGIG_05939	SMTH1_105850.1, SMTH1_105830.1, SMTH1_105850.5, SMTH1_105850.2, SMTH1_105850.4, SMTH1_105830.2, SMTH1_105850.3
OG0000120	FGIG_06695	SMTH1_107750.15, SMTH1_107750.1, SMTH1_107750.3, SMTH1_33290.1, SMTH1_33290.3, SMTH1_33290.4, SMTH1_107750.4, SMTH1_107750.10, SMTH1_107750.12, SMTH1_107750.16, SMTH1_107750.7, SMTH1_55820.1, SMTH1_107750.11, SMTH1_107750.5, SMTH1_107750.6, SMTH1_33290.5, SMTH1_107750.2, SMTH1_33290.2, SMTH1_33290.7, SMTH1_55820.3, SMTH1_55820.2, SMTH1_107750.13, SMTH1_107750.14, SMTH1_107750.9, SMTH1_33290.6, SMTH1_107750.8
OG0000122	FGIG_06459, FGIG_06458	SMTH1_89440.1
OG0000123	FGIG_06911	SMTH1_87340.1
OG0000125	FGIG_12140, FGIG_05136	SMTH1_1620.1
OG0000126	FGIG_02836, FGIG_00047	SMTH1_78590.1
OG0000127	FGIG_10651, FGIG_01876	SMTH1_25070.3, SMTH1_25070.1, SMTH1_25070.2, SMTH1_25070.4
OG0000128	FGIG_02928	SMTH1_47950.1, SMTH1_47950.2, SMTH1_47950.3
OG0000129	FGIG_01051	SMTH1_35850.5, SMTH1_35850.1, SMTH1_35850.7, SMTH1_35850.2, SMTH1_35850.3, SMTH1_35850.8, SMTH1_35850.4, SMTH1_35850.6
OG0000130	FGIG_06548, FGIG_01370	SMTH1_89720.8, SMTH1_89720.1, SMTH1_89720.2, SMTH1_89720.3, SMTH1_89720.4, SMTH1_89720.5, SMTH1_89720.6, SMTH1_89720.7, SMTH1_89720.9
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	SMTH1_9790.1, SMTH1_9790.3, SMTH1_9790.2, SMTH1_95200.1, SMTH1_95190.1
OG0000132	FGIG_04447, FGIG_04446	SMTH1_39420.1
OG0000133	FGIG_10537	SMTH1_35160.11, SMTH1_35160.2, SMTH1_35160.3, SMTH1_35160.5, SMTH1_35160.6, SMTH1_35160.1, SMTH1_35160.4, SMTH1_35160.7, SMTH1_35160.10, SMTH1_35160.9, SMTH1_35160.8
OG0000134	FGIG_03080	SMTH1_22380.1
OG0000135	FGIG_08997	SMTH1_14940.1, SMTH1_14940.2, SMTH1_14940.7, SMTH1_14940.6, SMTH1_14940.5, SMTH1_14940.3, SMTH1_14940.4
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	SMTH1_8440.1, SMTH1_8450.1
OG0000138	FGIG_10020	SMTH1_97260.1, SMTH1_97260.2, SMTH1_97260.3
OG0000138	FGIG_00536, FGIG_00535	SMTH1_50090.1, SMTH1_50090.2, SMTH1_50090.3, SMTH1_50090.4
OG0000139	FGIG_04756	SMTH1_4530.1, SMTH1_4520.1
OG0000140	FGIG_05800	SMTH1_84690.1
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	SMTH1_22220.1, SMTH1_22230.1, SMTH1_22240.1, SMTH1_22260.1, SMTH1_22250.1
OG0000143	FGIG_03125	SMTH1_75760.1, SMTH1_75770.1
OG0000144	FGIG_04482	SMTH1_60870.1
OG0000144	FGIG_02516	SMTH1_30570.1
OG0000144	FGIG_08902, FGIG_02070	SMTH1_63350.1, SMTH1_63350.3, SMTH1_63350.5, SMTH1_63350.2, SMTH1_63350.4
OG0000145	FGIG_06896	SMTH1_36980.1
OG0000146	FGIG_01364	SMTH1_101450.1
OG0000146	FGIG_07112	SMTH1_62830.1
OG0000146	FGIG_08174	SMTH1_32350.1
OG0000146	FGIG_12116	SMTH1_52670.1, SMTH1_52670.2
OG0000147	FGIG_03610	SMTH1_40010.1, SMTH1_40000.1
OG0000148	FGIG_05123, FGIG_04713	SMTH1_34740.1
OG0000149	FGIG_08710	SMTH1_60020.1, SMTH1_60020.3, SMTH1_60020.2, SMTH1_60020.4, SMTH1_60020.5, SMTH1_60020.6, SMTH1_60020.7
OG0000151	FGIG_00898	SMTH1_70720.1, SMTH1_70710.1, SMTH1_70710.10, SMTH1_70710.3, SMTH1_70710.4, SMTH1_70710.6, SMTH1_70710.2, SMTH1_70710.11, SMTH1_70710.5, SMTH1_70710.8, SMTH1_70710.7, SMTH1_70710.9
OG0000152	FGIG_02196	SMTH1_12520.1, SMTH1_12430.3, SMTH1_12430.1, SMTH1_12430.2, SMTH1_12430.4, SMTH1_12430.5, SMTH1_12430.7, SMTH1_12430.6
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	SMTH1_56020.1, SMTH1_56720.1, SMTH1_56660.1, SMTH1_56660.2, SMTH1_56660.3
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	SMTH1_20370.1
OG0000155	FGIG_01109	SMTH1_40880.5, SMTH1_40880.3, SMTH1_40880.8, SMTH1_40880.6, SMTH1_40880.1, SMTH1_40880.2, SMTH1_40880.10, SMTH1_40880.11, SMTH1_40880.4, SMTH1_40880.9, SMTH1_40880.7
OG0000156	FGIG_01694	SMTH1_21930.1
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	SMTH1_21920.2, SMTH1_21920.1, SMTH1_21920.7, SMTH1_21920.6, SMTH1_21920.3, SMTH1_21920.4, SMTH1_21920.5
OG0000157	FGIG_01729	SMTH1_68650.1
OG0000157	FGIG_07044, FGIG_07045	SMTH1_48940.1
OG0000157	FGIG_03579	SMTH1_104820.3, SMTH1_104820.1, SMTH1_104820.2
OG0000158	FGIG_05975	SMTH1_6290.1, SMTH1_6300.1
OG0000159	FGIG_07564	SMTH1_69180.6, SMTH1_69180.3, SMTH1_69180.4, SMTH1_69180.1, SMTH1_69180.2, SMTH1_69180.5
OG0000160	FGIG_05715	SMTH1_16290.2, SMTH1_16290.1, SMTH1_16290.3
OG0000161	FGIG_08957	SMTH1_38560.4, SMTH1_38560.1, SMTH1_38560.3, SMTH1_38560.2
OG0000164	FGIG_12608, FGIG_03854	SMTH1_68170.1
OG0000164	FGIG_01740	SMTH1_85910.1, SMTH1_85910.2
OG0000164	FGIG_10598	SMTH1_61700.1
OG0000164	FGIG_05689	SMTH1_33670.2, SMTH1_33670.3, SMTH1_33670.1
OG0000165	FGIG_03682	SMTH1_72910.8, SMTH1_72910.6, SMTH1_72910.3, SMTH1_72910.4, SMTH1_72910.7, SMTH1_72910.1, SMTH1_72910.2, SMTH1_72910.5
OG0000166	FGIG_04350	SMTH1_97320.1
OG0000167	FGIG_09630	SMTH1_83320.2, SMTH1_83320.3, SMTH1_83320.6, SMTH1_83320.4, SMTH1_83320.1, SMTH1_83320.7, SMTH1_83320.5
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	SMTH1_104550.1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	SMTH1_78500.1, SMTH1_78510.1
OG0000172	FGIG_02787, FGIG_02788	SMTH1_20790.2, SMTH1_20790.4, SMTH1_20790.1, SMTH1_20790.3
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	SMTH1_91610.1
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	SMTH1_46290.1, SMTH1_45990.1, SMTH1_45980.1, SMTH1_45970.1, SMTH1_45960.1
OG0000176	FGIG_00685	SMTH1_76420.1, SMTH1_78680.1, SMTH1_78310.1, SMTH1_23550.1, SMTH1_7150.1
OG0000177	FGIG_04057, FGIG_04058	SMTH1_65220.1, SMTH1_65220.2, SMTH1_65220.3, SMTH1_65220.5, SMTH1_65220.4
OG0000178	FGIG_04370	SMTH1_28980.1, SMTH1_28980.2, SMTH1_28980.3, SMTH1_28980.4
OG0000179	FGIG_08795, FGIG_10380	SMTH1_62130.1, SMTH1_62140.2, SMTH1_62140.3, SMTH1_62140.6, SMTH1_62140.1, SMTH1_62140.4, SMTH1_62140.5
OG0000180	FGIG_12039	SMTH1_91090.1, SMTH1_91080.1, SMTH1_91100.1
OG0000182	FGIG_02134	SMTH1_64220.1
OG0000182	FGIG_00290	SMTH1_32050.1, SMTH1_32060.1
OG0000183	FGIG_02622	SMTH1_36270.2, SMTH1_36270.8, SMTH1_36270.9, SMTH1_36270.6, SMTH1_36270.1, SMTH1_36270.4, SMTH1_36270.7, SMTH1_36270.3, SMTH1_36270.5
OG0000184	FGIG_03731	SMTH1_55790.1, SMTH1_55790.2, SMTH1_55790.3
OG0000184	FGIG_03730	SMTH1_55800.1
OG0000185	FGIG_07908	SMTH1_36410.8, SMTH1_36410.7, SMTH1_36410.2, SMTH1_36410.1, SMTH1_36410.3, SMTH1_36410.5, SMTH1_36410.9, SMTH1_36410.4, SMTH1_36410.6
OG0000186	FGIG_00796	SMTH1_80440.1
OG0000187	FGIG_10561, FGIG_02152	SMTH1_58360.3, SMTH1_58360.4, SMTH1_58360.2, SMTH1_58360.1, SMTH1_58360.5
OG0000188	FGIG_03282	SMTH1_35270.3, SMTH1_35270.2, SMTH1_35270.1, SMTH1_35270.4, SMTH1_35270.5
OG0000189	FGIG_03464	SMTH1_7670.1
OG0000190	FGIG_04440	SMTH1_57710.10, SMTH1_57710.11, SMTH1_57710.4, SMTH1_57710.5, SMTH1_57710.9, SMTH1_57710.3, SMTH1_57710.8, SMTH1_57710.1, SMTH1_57710.6, SMTH1_57740.1, SMTH1_57710.2, SMTH1_57710.7
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	SMTH1_41920.1, SMTH1_42000.1, SMTH1_41960.1, SMTH1_41930.1
OG0000192	FGIG_06841, FGIG_06840	SMTH1_70090.1
