Orthogroup	fasciola_gigantica	schmidtea_mediterranea
OG0000049	FGIG_06077	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3
OG0000050	FGIG_02718, FGIG_02717, FGIG_07228	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4
OG0000052	FGIG_00994	h1SMcT0006122.2
OG0000052	FGIG_02824	h1SMcT0020686.1, h1SMcT0020686.2
OG0000052	FGIG_00846, FGIG_00459	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1
OG0000052	FGIG_04502, FGIG_12676	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2
OG0000053	FGIG_08393, FGIG_12440	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2
OG0000054	FGIG_12516	h1SMcT0003275.1
OG0000055	FGIG_03285, FGIG_05988	h1SMcT0011774.1, h1SMcT0011774.2
OG0000058	FGIG_11220, FGIG_06708, FGIG_00649, FGIG_10503	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4
OG0000060	FGIG_07684	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4
OG0000061	FGIG_09986	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3
OG0000062	FGIG_00991	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5
OG0000063	FGIG_03231	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3
OG0000064	FGIG_12411, FGIG_06602	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2
OG0000066	FGIG_00170	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1
OG0000068	FGIG_12158	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1
OG0000068	FGIG_12079, FGIG_07351	h1SMcT0007421.1, h1SMcT0007653.1
OG0000068	FGIG_05814	h1SMcT0008274.1, h1SMcT0013810.1
OG0000069	FGIG_12680, FGIG_06996	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4
OG0000070	FGIG_00175, FGIG_00176, FGIG_00174	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11
OG0000072	FGIG_06022, FGIG_09056	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2
OG0000073	FGIG_05759	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2
OG0000074	FGIG_06125	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1
OG0000074	FGIG_03273	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2
OG0000074	FGIG_01338	h1SMcT0008302.1
OG0000075	FGIG_05387	h1SMcT0017385.1
OG0000076	FGIG_04288, FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	h1SMcT0013513.1, h1SMcT0013513.2
OG0000077	FGIG_09054	h1SMcT0023123.1
OG0000078	FGIG_04314	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2
OG0000079	FGIG_07135, FGIG_07136	h1SMcT0006746.1, h1SMcT0006746.2
OG0000079	FGIG_05069, FGIG_05070	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2
OG0000080	FGIG_03532	h1SMcT0013418.1
OG0000087	FGIG_03026	h1SMcT0020497.1, h1SMcT0020497.2
OG0000088	FGIG_14005, FGIG_05150	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5
OG0000090	FGIG_01258	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1
OG0000091	FGIG_02767, FGIG_02766, FGIG_02768	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3
OG0000092	FGIG_06562	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5
OG0000092	FGIG_11548	h1SMcT0002197.1
OG0000093	FGIG_04003	h1SMcT0011102.1, h1SMcT0021280.1
OG0000093	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1
OG0000093	FGIG_00747	h1SMcT0021895.1
OG0000094	FGIG_00948	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4
OG0000095	FGIG_01883	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3
OG0000096	FGIG_03065	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1
OG0000097	FGIG_06823	h1SMcT0003774.1, h1SMcT0003774.2
OG0000098	FGIG_08056	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1
OG0000098	FGIG_08009	h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2
OG0000099	FGIG_01162	h1SMcT0013445.1, h1SMcT0008305.1
OG0000099	FGIG_12268, FGIG_12217, FGIG_10911	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2
OG0000102	FGIG_11657, FGIG_04726, FGIG_06854	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7
OG0000104	FGIG_08148	h1SMcT0000528.1, h1SMcT0000528.2
OG0000105	FGIG_00113, FGIG_06918	h1SMcT0022377.1
OG0000107	FGIG_12152	h1SMcT0018827.1
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2
OG0000110	FGIG_03667, FGIG_10562, FGIG_06603	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3
OG0000111	FGIG_04030	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2
OG0000111	FGIG_03777	h1SMcT0016216.1
OG0000116	FGIG_03832, FGIG_01693	h1SMcT0000626.1, h1SMcT0000626.2
OG0000119	FGIG_05939, FGIG_05940	h1SMcT0002719.1, h1SMcT0002719.5
OG0000123	FGIG_06911	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9
OG0000125	FGIG_12140, FGIG_05136	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4
OG0000126	FGIG_02836, FGIG_00047	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2
OG0000127	FGIG_10651, FGIG_01876	h1SMcT0019776.1, h1SMcT0019776.2
OG0000128	FGIG_02928	h1SMcT0019778.1, h1SMcT0019778.2
OG0000129	FGIG_01051	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4
OG0000130	FGIG_06548, FGIG_01370	h1SMcT0009248.1
OG0000132	FGIG_04447, FGIG_04446	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1
OG0000133	FGIG_10537	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2
OG0000134	FGIG_03080	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3
OG0000135	FGIG_08997	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	h1SMcT0000155.1
OG0000138	FGIG_10020	h1SMcT0020322.1
OG0000138	FGIG_00536, FGIG_00535	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3
OG0000139	FGIG_04756	h1SMcT0002285.1
OG0000140	FGIG_05800	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1
OG0000144	FGIG_04482	h1SMcT0012404.1
OG0000144	FGIG_02516, FGIG_08902, FGIG_02070	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1
OG0000145	FGIG_06896	h1SMcT0013665.1
OG0000146	FGIG_01365, FGIG_01364	h1SMcT0006897.1, h1SMcT0006897.2
OG0000146	FGIG_07112	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1
OG0000146	FGIG_08174, FGIG_12116	h1SMcT0021690.2
OG0000147	FGIG_03610	h1SMcT0011597.1
OG0000149	FGIG_08710	h1SMcT0005461.1, h1SMcT0005461.2
OG0000151	FGIG_00898	h1SMcT0006201.1
OG0000152	FGIG_02196	h1SMcT0001548.1
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803, FGIG_06247	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6
OG0000155	FGIG_01109	h1SMcT0001030.1
OG0000156	FGIG_01694, FGIG_10389, FGIG_01395, FGIG_06374	h1SMcT0017161.2, h1SMcT0002712.1
OG0000157	FGIG_01729	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2
OG0000157	FGIG_07044, FGIG_07045	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1
OG0000157	FGIG_03579	h1SMcT0013969.1, h1SMcT0013969.2
OG0000158	FGIG_05974	h1SMcT0014818.1, h1SMcT0014818.2, h1SMcT0014818.3
OG0000158	FGIG_05975	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10
OG0000159	FGIG_07564	h1SMcT0014227.1, h1SMcT0014227.2
OG0000161	FGIG_08957	h1SMcT0012867.1
OG0000164	FGIG_12608, FGIG_03854	h1SMcT0014759.1
OG0000164	FGIG_10598	h1SMcT0021090.1
OG0000164	FGIG_05689	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1
OG0000165	FGIG_03682	h1SMcT0018166.5
OG0000167	FGIG_09630	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4
OG0000172	FGIG_02787, FGIG_02788	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1
OG0000177	FGIG_04057, FGIG_04058	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6
OG0000179	FGIG_08795, FGIG_10380	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4
OG0000180	FGIG_12039	h1SMcT0016760.1, h1SMcT0016760.2
OG0000182	FGIG_02134	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4
OG0000182	FGIG_00290	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2
OG0000184	FGIG_03731, FGIG_03730	h1SMcT0015425.1, h1SMcT0015431.1
OG0000186	FGIG_00796	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1
OG0000187	FGIG_10561, FGIG_02152	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2
OG0000190	FGIG_04440	h1SMcT0007247.1
OG0000192	FGIG_06841, FGIG_06840	h1SMcT0015806.1
OG0000193	FGIG_11714, FGIG_07076	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4
OG0000194	FGIG_07707	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2
OG0000195	FGIG_08368	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3
OG0000196	FGIG_11982, FGIG_03269	h1SMcT0011061.1, h1SMcT0021737.1
OG0000196	FGIG_11890	h1SMcT0001685.1
OG0000198	FGIG_06396, FGIG_00941	h1SMcT0018079.1
OG0000199	FGIG_03163	h1SMcT0004687.1, h1SMcT0004687.2
OG0000201	FGIG_05120	h1SMcT0009180.1
OG0000206	FGIG_03933	h1SMcT0011551.1, h1SMcT0011551.2
OG0000208	FGIG_04764	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3
OG0000209	FGIG_06233	h1SMcT0007034.1, h1SMcT0007034.2
OG0000210	FGIG_06835, FGIG_08667	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3
OG0000211	FGIG_06875	h1SMcT0007637.1
OG0000212	FGIG_07429, FGIG_07428	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4
OG0000213	FGIG_08575	h1SMcT0008371.1
OG0000217	FGIG_02317, FGIG_02318	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	h1SMcT0004177.1
OG0000219	FGIG_07378	h1SMcT0000079.1
OG0000221	FGIG_04956, FGIG_04954, FGIG_08084	h1SMcT0016464.1, h1SMcT0016464.3
OG0000221	FGIG_05748, FGIG_00257	h1SMcT0005270.1
OG0000221	FGIG_00717, FGIG_00718	h1SMcT0001057.1
OG0000221	FGIG_02269	h1SMcT0018055.1
OG0000222	FGIG_00564	h1SMcT0013919.1
OG0000223	FGIG_00853	h1SMcT0005506.1
OG0000224	FGIG_01377, FGIG_01378	h1SMcT0009940.1, h1SMcT0009940.2
OG0000225	FGIG_02370, FGIG_02369	h1SMcT0010147.1, h1SMcT0010147.2
OG0000226	FGIG_02439, FGIG_12357	h1SMcT0018850.1
OG0000227	FGIG_04507, FGIG_04506	h1SMcT0015210.2, h1SMcT0015210.1, h1SMcT0015210.3
OG0000228	FGIG_04992	h1SMcT0003868.2, h1SMcT0003868.6, h1SMcT0003868.3, h1SMcT0003868.1, h1SMcT0003868.4, h1SMcT0003868.5
OG0000229	FGIG_10264, FGIG_05406, FGIG_12189	h1SMcT0002720.3, h1SMcT0023063.1, h1SMcT0002720.5, h1SMcT0002720.1, h1SMcT0002720.2, h1SMcT0002720.4
OG0000230	FGIG_06761, FGIG_06762	h1SMcT0016060.1, h1SMcT0003291.4, h1SMcT0003291.1, h1SMcT0003291.5, h1SMcT0003291.2, h1SMcT0003291.3
OG0000235	FGIG_07942, FGIG_02783, FGIG_02784	h1SMcT0013355.1, h1SMcT0013355.2, h1SMcT0015883.2, h1SMcT0015883.3, h1SMcT0003207.1, h1SMcT0003207.3, h1SMcT0014695.1, h1SMcT0017363.2
OG0000236	FGIG_05608	h1SMcT0020439.1, h1SMcT0020439.3, h1SMcT0020439.2
OG0000237	FGIG_06420	h1SMcT0016068.1
OG0000238	FGIG_07333	h1SMcT0021500.1, h1SMcT0021500.2
OG0000239	FGIG_07503, FGIG_08719	h1SMcT0019805.1, h1SMcT0019805.3, h1SMcT0019812.2, h1SMcT0019812.4, h1SMcT0019812.6, h1SMcT0019812.7, h1SMcT0019812.5, h1SMcT0019812.3, h1SMcT0019812.1, h1SMcT0019805.2
OG0000240	FGIG_10740, FGIG_10875	h1SMcT0022933.1, h1SMcT0022933.2
OG0000242	FGIG_01807	h1SMcT0006326.1, h1SMcT0008643.1
OG0000244	FGIG_11655, FGIG_00993	h1SMcT0003275.2, h1SMcT0003275.3, h1SMcT0003275.4
OG0000245	FGIG_01848	h1SMcT0020223.2, h1SMcT0020223.13, h1SMcT0020223.12, h1SMcT0020223.8, h1SMcT0020223.9, h1SMcT0020223.4, h1SMcT0020223.10, h1SMcT0020223.5, h1SMcT0020223.11, h1SMcT0020223.6, h1SMcT0020223.7, h1SMcT0020223.3
OG0000246	FGIG_06772	h1SMcT0006409.1, h1SMcT0006409.2, h1SMcT0015152.1, h1SMcT0015152.2
OG0000247	FGIG_09572	h1SMcT0022281.1, h1SMcT0022281.4, h1SMcT0022281.3, h1SMcT0022281.2, h1SMcT0022281.5
OG0000248	FGIG_10714	h1SMcT0007514.1, h1SMcT0007514.9, h1SMcT0007514.3, h1SMcT0007514.4, h1SMcT0007514.5, h1SMcT0007514.6, h1SMcT0007514.8, h1SMcT0007514.10, h1SMcT0007514.2, h1SMcT0007514.7, h1SMcT0007514.11
OG0000250	FGIG_12420, FGIG_11532	h1SMcT0017080.1, h1SMcT0017553.1, h1SMcT0017553.2
OG0000253	FGIG_02155	h1SMcT0004683.1, h1SMcT0004683.2
OG0000254	FGIG_02996	h1SMcT0006413.1
OG0000255	FGIG_03191	h1SMcT0004493.3, h1SMcT0004493.1, h1SMcT0004493.2
OG0000256	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257	h1SMcT0009206.1, h1SMcT0009157.1, h1SMcT0009159.1, h1SMcT0009177.1, h1SMcT0009175.7, h1SMcT0009175.9, h1SMcT0009175.10, h1SMcT0009175.6, h1SMcT0009175.1, h1SMcT0009175.4, h1SMcT0009175.2, h1SMcT0009175.3, h1SMcT0009175.5, h1SMcT0007334.4, h1SMcT0007334.3, h1SMcT0007334.5, h1SMcT0007333.1, h1SMcT0007332.2, h1SMcT0007332.14, h1SMcT0007332.10, h1SMcT0007332.11, h1SMcT0007332.12, h1SMcT0007332.8, h1SMcT0007332.7, h1SMcT0007332.1, h1SMcT0007332.5, h1SMcT0007332.6, h1SMcT0007332.3, h1SMcT0007332.9, h1SMcT0007332.4, h1SMcT0007332.15, h1SMcT0007332.13
