Orthogroup	schistosoma_bovis	fasciola_gigantica
OG0000027	SBOV2_27780.13, SBOV2_27780.29, SBOV2_27780.35, SBOV2_27780.15, SBOV2_27780.14, SBOV2_27780.30, SBOV2_27780.34, SBOV2_27780.12, SBOV2_27780.2, SBOV2_27780.20, SBOV2_27780.28, SBOV2_27780.26, SBOV2_27780.24, SBOV2_27780.33, SBOV2_27780.31, SBOV2_27780.1, SBOV2_27780.3, SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23, SBOV2_27780.22, SBOV2_27780.25, SBOV2_27780.19, SBOV2_27780.6, SBOV2_27780.7, SBOV2_27780.9, SBOV2_27780.18, SBOV2_27780.16	FGIG_03818
OG0000028	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	SBOV2_57030.1	FGIG_01225
OG0000029	SBOV2_86480.1	FGIG_12390, FGIG_07520
OG0000029	SBOV2_19870.1, SBOV2_19870.2, SBOV2_19870.3, SBOV2_19870.4	FGIG_04785
OG0000029	SBOV2_87380.1, SBOV2_87370.2, SBOV2_87370.1	FGIG_11109
OG0000030	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52	FGIG_03562
OG0000031	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12	FGIG_00219, FGIG_09645
OG0000032	SBOV2_9410.1	FGIG_12135
OG0000034	SBOV2_90790.1, SBOV2_90780.1, SBOV2_90770.1, SBOV2_56880.1, SBOV2_56890.1, SBOV2_56930.1, SBOV2_56900.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4	FGIG_03979, FGIG_03980
OG0000037	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2, SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2	FGIG_03131, FGIG_03132
OG0000040	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1, SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8	FGIG_07013
OG0000042	SBOV2_27900.1, SBOV2_27910.1, SBOV2_27910.2, SBOV2_27970.1, SBOV2_27960.4, SBOV2_27960.6, SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3, SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1	FGIG_05270
OG0000043	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7	FGIG_08366
OG0000044	SBOV2_85070.1, SBOV2_85080.1, SBOV2_85100.1, SBOV2_85120.1, SBOV2_85130.1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6, SBOV2_3860.1	FGIG_12527
OG0000049	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5	FGIG_07932, FGIG_00477
OG0000049	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7	FGIG_06077
OG0000050	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	SBOV2_38940.1, SBOV2_38940.2	FGIG_00994
OG0000052	SBOV2_3270.1	FGIG_02824
OG0000052	SBOV2_990.1, SBOV2_990.2	FGIG_00846
OG0000052	SBOV2_1730.1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3	FGIG_04502, FGIG_12676
OG0000053	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7	FGIG_08393, FGIG_12440
OG0000055	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8	FGIG_03285, FGIG_05988
OG0000058	SBOV2_88040.2, SBOV2_88040.1	FGIG_11220
OG0000058	SBOV2_79500.1	FGIG_06708
OG0000058	SBOV2_79520.1, SBOV2_79550.2, SBOV2_79550.3, SBOV2_79550.4, SBOV2_79550.6, SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7, SBOV2_79490.2, SBOV2_79490.1	FGIG_00649
OG0000060	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15	FGIG_07684
OG0000061	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6	FGIG_09986
OG0000062	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12	FGIG_00991
OG0000063	SBOV2_28360.11, SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8, SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9	FGIG_03231
OG0000064	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7	FGIG_12411, FGIG_06602
OG0000065	SBOV2_22570.1, SBOV2_22560.1, SBOV2_22600.2, SBOV2_22600.1, SBOV2_22580.1, SBOV2_22580.2	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	SBOV2_30560.11, SBOV2_30560.7, SBOV2_30560.3, SBOV2_30560.5, SBOV2_30560.12, SBOV2_30560.10, SBOV2_30560.4, SBOV2_30560.6, SBOV2_30560.2, SBOV2_30560.8, SBOV2_30560.9, SBOV2_30560.1	FGIG_00170
OG0000067	SBOV2_67100.14, SBOV2_67100.10, SBOV2_67100.15, SBOV2_67100.16, SBOV2_67100.8, SBOV2_67100.9, SBOV2_67100.3, SBOV2_67100.5, SBOV2_67100.6, SBOV2_67100.1, SBOV2_67100.7, SBOV2_67100.11, SBOV2_67100.4, SBOV2_67100.12, SBOV2_67100.13, SBOV2_67100.2	FGIG_02840, FGIG_02842
OG0000068	SBOV2_51770.1	FGIG_12158
OG0000068	SBOV2_93650.1	FGIG_12079
OG0000068	SBOV2_31110.2, SBOV2_31110.3, SBOV2_31110.1	FGIG_07351
OG0000068	SBOV2_38890.1	FGIG_05814
OG0000069	SBOV2_20000.13, SBOV2_20000.6, SBOV2_20000.7, SBOV2_20000.9, SBOV2_20000.12, SBOV2_20000.4, SBOV2_20000.5, SBOV2_20000.10, SBOV2_20000.2, SBOV2_20000.3, SBOV2_20000.11, SBOV2_20000.1, SBOV2_20000.8	FGIG_12680, FGIG_06996
OG0000070	SBOV2_43000.2, SBOV2_43000.6, SBOV2_43000.7, SBOV2_43000.9, SBOV2_43000.1, SBOV2_43000.4, SBOV2_43000.8, SBOV2_43000.5, SBOV2_43000.3	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	SBOV2_33490.1, SBOV2_33490.13, SBOV2_33490.2, SBOV2_33490.3, SBOV2_33490.5, SBOV2_33490.6, SBOV2_33490.7, SBOV2_33490.8, SBOV2_33490.11, SBOV2_33490.12, SBOV2_33490.15, SBOV2_33490.16, SBOV2_33490.4, SBOV2_33490.9, SBOV2_33490.10, SBOV2_33490.14	FGIG_07065, FGIG_07067
OG0000072	SBOV2_88630.3, SBOV2_88630.28, SBOV2_88630.12, SBOV2_88630.15, SBOV2_88630.17, SBOV2_88630.18, SBOV2_88630.19, SBOV2_88630.20, SBOV2_88630.21, SBOV2_88630.22, SBOV2_88630.24, SBOV2_88630.25, SBOV2_88630.14, SBOV2_88630.23, SBOV2_88630.5, SBOV2_88630.13, SBOV2_88630.10, SBOV2_88630.11, SBOV2_88630.16, SBOV2_88630.4, SBOV2_88630.6, SBOV2_88630.7, SBOV2_88630.8, SBOV2_88630.9, SBOV2_88630.27, SBOV2_88630.26, SBOV2_88630.2, SBOV2_88630.1	FGIG_06022, FGIG_09056
OG0000073	SBOV2_50220.2, SBOV2_50220.4, SBOV2_50220.5, SBOV2_50220.6, SBOV2_50230.1, SBOV2_50220.1, SBOV2_50220.3, SBOV2_50230.2, SBOV2_50230.3, SBOV2_50230.4, SBOV2_50230.5	FGIG_05759
OG0000074	SBOV2_1290.2, SBOV2_1290.1	FGIG_06125
OG0000074	SBOV2_87160.1	FGIG_03273
OG0000074	SBOV2_11150.1	FGIG_07718
OG0000074	SBOV2_87240.1	FGIG_01338
OG0000075	SBOV2_33720.3, SBOV2_33720.4, SBOV2_33720.5, SBOV2_33720.10, SBOV2_33720.11, SBOV2_33720.12, SBOV2_33720.13, SBOV2_33720.2, SBOV2_33720.6, SBOV2_33720.7, SBOV2_33720.8, SBOV2_33720.9, SBOV2_33720.1	FGIG_05387
OG0000076	SBOV2_89870.3, SBOV2_89870.1, SBOV2_89870.2	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	SBOV2_3940.6, SBOV2_3940.5, SBOV2_3940.4, SBOV2_3940.2, SBOV2_3940.1, SBOV2_3940.3, SBOV2_3940.7, SBOV2_3940.8	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	SBOV2_10610.1, SBOV2_10610.11, SBOV2_10610.9, SBOV2_10610.2, SBOV2_10610.4, SBOV2_10610.8, SBOV2_10610.6, SBOV2_10610.10, SBOV2_10610.3, SBOV2_10610.5, SBOV2_10610.7	FGIG_09054
OG0000078	SBOV2_5510.1, SBOV2_5510.11, SBOV2_5510.13, SBOV2_5510.15, SBOV2_5510.16, SBOV2_5510.17, SBOV2_5510.4, SBOV2_5510.10, SBOV2_5510.12, SBOV2_5510.14, SBOV2_5510.2, SBOV2_5510.3, SBOV2_5510.5, SBOV2_5510.6, SBOV2_5510.7, SBOV2_5510.8, SBOV2_5510.9	FGIG_04314
OG0000079	SBOV2_36930.1	FGIG_07135, FGIG_07136
OG0000079	SBOV2_51700.9, SBOV2_51700.2, SBOV2_51700.1, SBOV2_51700.3, SBOV2_51700.4, SBOV2_51700.5, SBOV2_51700.6, SBOV2_51700.7, SBOV2_51700.10, SBOV2_51700.8	FGIG_05069, FGIG_05070
OG0000080	SBOV2_43400.8, SBOV2_43400.13, SBOV2_43400.12, SBOV2_43400.16, SBOV2_43400.17, SBOV2_43400.4, SBOV2_43400.11, SBOV2_43400.6, SBOV2_43400.10, SBOV2_43400.1, SBOV2_43400.2, SBOV2_43400.3, SBOV2_43400.14, SBOV2_43400.9, SBOV2_43400.7, SBOV2_43400.5, SBOV2_43400.15	FGIG_03532
OG0000081	SBOV2_26060.1, SBOV2_96400.1, SBOV2_96020.1, SBOV2_1720.1, SBOV2_80910.1, SBOV2_45350.1, SBOV2_78740.1, SBOV2_79780.1, SBOV2_90470.1, SBOV2_42760.1, SBOV2_77180.1, SBOV2_96010.1, SBOV2_55930.1	FGIG_05277, FGIG_11514
OG0000082	SBOV2_10250.1	FGIG_06461
OG0000085	SBOV2_31240.5, SBOV2_31240.1, SBOV2_31240.10, SBOV2_31240.2, SBOV2_31240.4, SBOV2_31240.6, SBOV2_31240.7, SBOV2_31240.8, SBOV2_31240.3, SBOV2_31240.9	FGIG_06241
OG0000086	SBOV2_72400.4, SBOV2_72400.3, SBOV2_72400.7, SBOV2_72400.9, SBOV2_72400.2, SBOV2_72400.5, SBOV2_72400.6, SBOV2_72400.8, SBOV2_72400.1	FGIG_09371
OG0000087	SBOV2_52670.10, SBOV2_52670.11, SBOV2_52670.8, SBOV2_52670.9, SBOV2_52670.13, SBOV2_52670.12, SBOV2_52670.4, SBOV2_52670.5, SBOV2_52670.1, SBOV2_52670.3, SBOV2_52670.6, SBOV2_52670.7, SBOV2_52670.2	FGIG_03026
OG0000088	SBOV2_3130.1, SBOV2_3130.6, SBOV2_3130.2, SBOV2_3130.5, SBOV2_3130.3, SBOV2_3130.4, SBOV2_3120.5, SBOV2_3120.1, SBOV2_3120.2, SBOV2_3120.3, SBOV2_3120.4, SBOV2_3120.6	FGIG_14005, FGIG_05150
OG0000090	SBOV2_49320.5, SBOV2_49320.6, SBOV2_49320.1, SBOV2_49320.2, SBOV2_49320.3, SBOV2_49320.4	FGIG_01258
OG0000091	SBOV2_47220.1, SBOV2_47220.2	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SBOV2_2240.2, SBOV2_2240.1	FGIG_06562
OG0000092	SBOV2_12900.5, SBOV2_12900.3, SBOV2_12900.4, SBOV2_12900.1, SBOV2_12900.2	FGIG_11548
OG0000093	SBOV2_27670.1	FGIG_04003
OG0000093	SBOV2_28460.2, SBOV2_28470.1, SBOV2_28450.1, SBOV2_28460.1, SBOV2_28460.3	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SBOV2_8390.8, SBOV2_8390.2, SBOV2_8390.3, SBOV2_8390.13, SBOV2_8390.4, SBOV2_8390.5, SBOV2_8390.6, SBOV2_8390.11, SBOV2_8390.9, SBOV2_8390.1, SBOV2_8390.7, SBOV2_8390.10, SBOV2_8390.12	FGIG_00948
OG0000095	SBOV2_61050.1, SBOV2_61050.12, SBOV2_61050.8, SBOV2_61050.3, SBOV2_61050.10, SBOV2_61050.13, SBOV2_61050.11, SBOV2_61050.2, SBOV2_61050.6, SBOV2_61050.7, SBOV2_61050.4, SBOV2_61050.14, SBOV2_61050.5, SBOV2_61050.15, SBOV2_61050.9	FGIG_01883
OG0000096	SBOV2_32350.7, SBOV2_32350.2, SBOV2_32350.9, SBOV2_32350.1, SBOV2_32350.8, SBOV2_32350.5, SBOV2_32350.4, SBOV2_32350.10, SBOV2_32350.6, SBOV2_32350.11, SBOV2_32350.3	FGIG_03065
OG0000097	SBOV2_6860.14, SBOV2_6860.6, SBOV2_6860.13, SBOV2_6860.2, SBOV2_6860.5, SBOV2_6860.1, SBOV2_6860.10, SBOV2_6860.7, SBOV2_6860.8, SBOV2_6860.11, SBOV2_6860.4, SBOV2_6860.9, SBOV2_6860.12, SBOV2_6860.3	FGIG_06823
OG0000098	SBOV2_95540.1, SBOV2_26730.1, SBOV2_26740.1, SBOV2_26740.2	FGIG_08056
OG0000098	SBOV2_66390.4, SBOV2_66390.3, SBOV2_66390.1, SBOV2_66390.2, SBOV2_66390.5, SBOV2_66390.6	FGIG_08009
OG0000099	SBOV2_67260.2, SBOV2_67260.1, SBOV2_67260.3, SBOV2_67260.4	FGIG_01162
OG0000099	SBOV2_71230.11, SBOV2_71230.8, SBOV2_71230.2, SBOV2_71230.10, SBOV2_71230.6, SBOV2_71230.7, SBOV2_71230.9, SBOV2_71230.3, SBOV2_71230.4, SBOV2_71230.1, SBOV2_71230.5	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SBOV2_5930.1, SBOV2_5930.2, SBOV2_5930.3, SBOV2_5930.4, SBOV2_5930.5	FGIG_11657
OG0000102	SBOV2_58130.1, SBOV2_58130.2, SBOV2_58130.3	FGIG_04726, FGIG_06854
OG0000103	SBOV2_73330.7, SBOV2_73330.1, SBOV2_73330.4, SBOV2_73330.5, SBOV2_73330.6, SBOV2_73330.3, SBOV2_73330.8, SBOV2_73330.2	FGIG_06145, FGIG_13990
OG0000104	SBOV2_6070.1, SBOV2_6070.10, SBOV2_6070.11, SBOV2_6070.2, SBOV2_6070.8, SBOV2_6070.9, SBOV2_6070.3, SBOV2_6070.4, SBOV2_6070.6, SBOV2_6070.7, SBOV2_6070.15, SBOV2_6070.18, SBOV2_6070.19, SBOV2_6070.20, SBOV2_6070.12, SBOV2_6070.13, SBOV2_6070.14, SBOV2_6070.16, SBOV2_6070.17, SBOV2_6070.5, SBOV2_6070.21	FGIG_08148
OG0000105	SBOV2_7670.1	FGIG_00113, FGIG_06918
OG0000108	SBOV2_8260.1, SBOV2_8260.6, SBOV2_8260.7, SBOV2_8260.4, SBOV2_8260.3, SBOV2_8260.2, SBOV2_8260.9, SBOV2_8260.5, SBOV2_8260.11, SBOV2_8260.8, SBOV2_8260.12, SBOV2_8260.13, SBOV2_8260.14, SBOV2_8260.15, SBOV2_8260.16, SBOV2_8260.19, SBOV2_8260.17, SBOV2_8260.18, SBOV2_8260.10	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SBOV2_37740.1, SBOV2_37770.1, SBOV2_37770.2	FGIG_03667
OG0000110	SBOV2_37730.2, SBOV2_37730.3, SBOV2_37730.1	FGIG_10562
OG0000110	SBOV2_37710.1, SBOV2_37720.1	FGIG_06603
OG0000111	SBOV2_26650.1	FGIG_04030
OG0000111	SBOV2_53560.1	FGIG_03777
OG0000111	SBOV2_36400.1, SBOV2_36400.2	FGIG_04347
OG0000112	SBOV2_82930.3, SBOV2_82930.2, SBOV2_82930.4, SBOV2_82930.5, SBOV2_82930.6, SBOV2_82930.13, SBOV2_82930.10, SBOV2_82930.8, SBOV2_82930.1, SBOV2_82930.11, SBOV2_82930.12, SBOV2_82930.9, SBOV2_82930.7	FGIG_09308, FGIG_06819
OG0000114	SBOV2_93530.3, SBOV2_93530.4, SBOV2_93530.14, SBOV2_93530.5, SBOV2_93530.17, SBOV2_93530.18, SBOV2_93530.11, SBOV2_93530.20, SBOV2_93530.19, SBOV2_93530.21, SBOV2_93530.22, SBOV2_93530.1, SBOV2_93530.10, SBOV2_93530.15, SBOV2_93530.6, SBOV2_93530.12, SBOV2_93530.16, SBOV2_93530.2, SBOV2_93530.7, SBOV2_93530.8, SBOV2_93530.9, SBOV2_93530.13	FGIG_00156
OG0000115	SBOV2_31010.2, SBOV2_31010.4, SBOV2_31010.5, SBOV2_31010.7, SBOV2_31010.10, SBOV2_31010.11, SBOV2_31010.8, SBOV2_31010.9, SBOV2_31010.1, SBOV2_31010.12, SBOV2_31010.13, SBOV2_31010.14, SBOV2_31010.3, SBOV2_31010.6	FGIG_02859
OG0000116	SBOV2_49500.1	FGIG_03832, FGIG_01693
OG0000117	SBOV2_37640.10, SBOV2_37640.11, SBOV2_37640.3, SBOV2_37640.12, SBOV2_37640.2, SBOV2_37640.5, SBOV2_37640.8, SBOV2_37640.6, SBOV2_37640.13, SBOV2_37640.9, SBOV2_37640.1, SBOV2_37640.7, SBOV2_37640.4	FGIG_02197
OG0000118	SBOV2_28280.3, SBOV2_28280.1, SBOV2_28280.2, SBOV2_28310.4, SBOV2_28310.5, SBOV2_28310.2, SBOV2_28310.1, SBOV2_28310.3, SBOV2_28300.1	FGIG_02831
OG0000119	SBOV2_94370.2, SBOV2_94370.4, SBOV2_94370.1, SBOV2_94370.3, SBOV2_94360.1, SBOV2_94370.5	FGIG_05939
OG0000120	SBOV2_37560.1	FGIG_06695
