Orthogroup	schistosoma_bovis	schistosoma_curassoni
OG0000003	SBOV2_22620.3	SCUR1_72910.3, SCUR1_27100.5
OG0000003	SBOV2_32260.1	SCUR1_62060.1, SCUR1_81440.5
OG0000003	SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6	SCUR1_1980.4, SCUR1_27030.3, SCUR1_95570.3, SCUR1_78040.2, SCUR1_90510.6, SCUR1_31360.1, SCUR1_31360.10, SCUR1_31360.11, SCUR1_31360.4, SCUR1_31360.5, SCUR1_31360.3, SCUR1_27100.2, SCUR1_27100.3
OG0000003	SBOV2_32260.3	SCUR1_72910.1, SCUR1_72910.2, SCUR1_72910.4, SCUR1_1980.5
OG0000003	SBOV2_27480.1	SCUR1_22950.7, SCUR1_42620.1, SCUR1_22950.6, SCUR1_22950.2, SCUR1_22950.3, SCUR1_31380.1, SCUR1_31380.2
OG0000003	SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1	SCUR1_5350.3, SCUR1_5350.4, SCUR1_5350.2, SCUR1_5350.1, SCUR1_5350.5
OG0000003	SBOV2_67820.1	SCUR1_22950.8
OG0000004	SBOV2_45530.3	SCUR1_89610.1
OG0000004	SBOV2_17290.1	SCUR1_59610.1
OG0000004	SBOV2_80040.1	SCUR1_42680.1, SCUR1_27450.1, SCUR1_72320.1
OG0000004	SBOV2_55030.1	SCUR1_48190.1
OG0000004	SBOV2_92090.1	SCUR1_18250.1, SCUR1_71730.1
OG0000004	SBOV2_31470.1	SCUR1_59990.1
OG0000004	SBOV2_48210.1	SCUR1_73280.1
OG0000004	SBOV2_48030.1	SCUR1_40830.1
OG0000004	SBOV2_45390.1	SCUR1_3140.1, SCUR1_75270.1
OG0000005	SBOV2_77100.1	SCUR1_57140.1
OG0000005	SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1	SCUR1_36670.1, SCUR1_57280.1
OG0000005	SBOV2_35020.1	SCUR1_43030.1
OG0000005	SBOV2_90330.1	SCUR1_39690.1, SCUR1_76910.1
OG0000006	SBOV2_16310.1	SCUR1_64410.1, SCUR1_47060.1
OG0000006	SBOV2_18200.1	SCUR1_99930.1, SCUR1_69570.1
OG0000006	SBOV2_32360.1, SBOV2_3690.1	SCUR1_67860.1, SCUR1_87410.1, SCUR1_37570.1
OG0000006	SBOV2_59330.1, SBOV2_9090.1	SCUR1_81700.1, SCUR1_36840.1, SCUR1_89870.1, SCUR1_93140.1
OG0000006	SBOV2_2480.1	SCUR1_29880.1, SCUR1_770.1
OG0000006	SBOV2_58500.1	SCUR1_32370.1, SCUR1_63120.1
OG0000006	SBOV2_16520.1, SBOV2_38470.1	SCUR1_10110.1, SCUR1_91530.1
OG0000006	SBOV2_58600.1, SBOV2_55160.1	SCUR1_2540.1
OG0000006	SBOV2_82790.1, SBOV2_14350.1	SCUR1_2450.1
OG0000008	SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1	SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1
OG0000008	SBOV2_96210.1	SCUR1_5950.1
OG0000008	SBOV2_37140.1	SCUR1_43390.1
OG0000008	SBOV2_68530.1	SCUR1_60040.1, SCUR1_10360.1, SCUR1_85460.1, SCUR1_99950.1, SCUR1_15000.1, SCUR1_32700.1, SCUR1_99360.1, SCUR1_41850.1, SCUR1_74150.1
OG0000009	SBOV2_1710.1	SCUR1_70190.1
OG0000009	SBOV2_62130.1	SCUR1_51510.1
OG0000009	SBOV2_89880.1	SCUR1_40170.1
OG0000009	SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1	SCUR1_25210.1
OG0000009	SBOV2_28290.1	SCUR1_75850.1
OG0000009	SBOV2_81720.1, SBOV2_10990.1	SCUR1_19860.1
OG0000010	SBOV2_95290.1	SCUR1_83150.1
OG0000010	SBOV2_2840.1	SCUR1_72730.1
OG0000010	SBOV2_30110.1	SCUR1_53870.1
OG0000010	SBOV2_3700.1	SCUR1_1350.1
OG0000012	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45
OG0000014	SBOV2_29480.34	SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14
OG0000015	SBOV2_29460.1	SCUR1_38440.1
OG0000015	SBOV2_65410.1	SCUR1_65580.1
OG0000015	SBOV2_65420.1	SCUR1_65590.1
OG0000015	SBOV2_65420.1	SCUR1_65590.2
OG0000015	SBOV2_29300.1	SCUR1_38610.1
OG0000015	SBOV2_29290.1	SCUR1_38620.4
OG0000015	SBOV2_42840.1	SCUR1_43740.1
OG0000015	SBOV2_42900.1	SCUR1_43800.1
OG0000015	SBOV2_41940.1, SBOV2_41950.1	SCUR1_42920.1
OG0000015	SBOV2_41990.2	SCUR1_42960.1
OG0000015	SBOV2_41960.1	SCUR1_42930.1
OG0000015	SBOV2_41970.1	SCUR1_42940.1
OG0000015	SBOV2_41990.1	SCUR1_42960.2
OG0000016	SBOV2_22420.1, SBOV2_22420.2	SCUR1_88550.1
OG0000016	SBOV2_28680.1, SBOV2_47660.1, SBOV2_51280.1, SBOV2_41550.1	SCUR1_34730.1
OG0000016	SBOV2_52870.1	SCUR1_49120.1, SCUR1_17810.1
OG0000016	SBOV2_95410.1	SCUR1_57510.1, SCUR1_57490.1
OG0000016	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1	SCUR1_80910.1, SCUR1_80910.2, SCUR1_80910.3
OG0000018	SBOV2_2690.1	SCUR1_80280.5, SCUR1_80280.4, SCUR1_80270.1, SCUR1_80280.2
OG0000019	SBOV2_30990.8	SCUR1_36850.7
OG0000019	SBOV2_30990.15, SBOV2_30990.16	SCUR1_36850.9
OG0000019	SBOV2_30990.6, SBOV2_30990.1	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000020	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1	SCUR1_90860.1
OG0000020	SBOV2_90970.3, SBOV2_90970.4, SBOV2_90970.5, SBOV2_90970.1, SBOV2_90970.2, SBOV2_90960.1	SCUR1_90600.2, SCUR1_90600.5, SCUR1_90600.6, SCUR1_90600.1, SCUR1_90600.3, SCUR1_90600.4
OG0000021	SBOV2_7110.1	SCUR1_8230.1
OG0000021	SBOV2_5830.1	SCUR1_5850.1
OG0000021	SBOV2_5840.1	SCUR1_5860.1, SCUR1_5860.2, SCUR1_5860.5, SCUR1_5860.3, SCUR1_5860.4
OG0000021	SBOV2_5800.2	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3
OG0000021	SBOV2_5800.1	SCUR1_5820.4
OG0000021	SBOV2_5810.1	SCUR1_5830.1
OG0000021	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3
OG0000021	SBOV2_5780.1	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2
OG0000022	SBOV2_40340.1	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
OG0000024	SBOV2_23240.1	SCUR1_23660.1
OG0000024	SBOV2_90560.1	SCUR1_90210.1
OG0000024	SBOV2_63690.1	SCUR1_64030.1
OG0000024	SBOV2_79360.1, SBOV2_79360.2	SCUR1_79670.1
OG0000024	SBOV2_79350.1	SCUR1_79660.1
OG0000026	SBOV2_78760.1	SCUR1_79090.1
OG0000026	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8	SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5
OG0000026	SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3	SCUR1_71400.3
OG0000027	SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23	SCUR1_40200.1
OG0000028	SBOV2_69930.3, SBOV2_69930.6	SCUR1_69820.2
OG0000029	SBOV2_57030.1	SCUR1_99660.1
OG0000029	SBOV2_86480.1	SCUR1_86440.1
OG0000029	SBOV2_86450.1, SBOV2_96800.1	SCUR1_86010.1
OG0000029	SBOV2_19870.1	SCUR1_20790.1
OG0000029	SBOV2_19870.2	SCUR1_20790.1
OG0000029	SBOV2_19870.3	SCUR1_20790.1
OG0000029	SBOV2_19870.4	SCUR1_20790.1
OG0000029	SBOV2_87380.1	SCUR1_86960.1
OG0000029	SBOV2_87370.2, SBOV2_87370.1	SCUR1_86950.1
OG0000030	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52	SCUR1_6670.1
OG0000031	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12
OG0000032	SBOV2_10100.1	SCUR1_10300.1
OG0000032	SBOV2_10120.1	SCUR1_10320.1
OG0000032	SBOV2_10110.1	SCUR1_10310.1
OG0000032	SBOV2_56850.1	SCUR1_57440.1
OG0000032	SBOV2_9410.1	SCUR1_9500.1
OG0000032	SBOV2_78820.1	SCUR1_79130.1
OG0000032	SBOV2_78800.1	SCUR1_79130.2
OG0000032	SBOV2_78800.1	SCUR1_79130.3
OG0000033	SBOV2_74200.1	SCUR1_10560.1, SCUR1_31920.1
OG0000033	SBOV2_96030.1, SBOV2_96030.2, SBOV2_16090.1, SBOV2_60740.1, SBOV2_91630.1, SBOV2_16490.1	SCUR1_37620.1
OG0000033	SBOV2_47110.1	SCUR1_3270.1, SCUR1_93810.1
OG0000033	SBOV2_60670.1	SCUR1_27970.1
OG0000034	SBOV2_90790.1	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3
OG0000034	SBOV2_90780.1	SCUR1_90440.1
OG0000034	SBOV2_90770.1	SCUR1_90430.1
OG0000034	SBOV2_56880.1	SCUR1_57480.1, SCUR1_57500.1
OG0000034	SBOV2_56890.1	SCUR1_57520.1, SCUR1_95610.1
OG0000034	SBOV2_56930.1	SCUR1_57550.1
OG0000034	SBOV2_56900.1	SCUR1_57530.1
OG0000035	SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26	SCUR1_14970.1
OG0000036	SBOV2_10500.1, SBOV2_96110.1	SCUR1_5010.1, SCUR1_5010.2, SCUR1_38900.1, SCUR1_51740.1
OG0000037	SBOV2_59320.1	SCUR1_59650.1
OG0000037	SBOV2_59490.1, SBOV2_59490.2	SCUR1_59730.1
OG0000037	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5	SCUR1_59780.2
OG0000037	SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2	SCUR1_59790.1
OG0000038	SBOV2_78900.1, SBOV2_50970.1	SCUR1_5050.1
OG0000038	SBOV2_51760.1	SCUR1_12660.1, SCUR1_95150.1
OG0000038	SBOV2_92900.1	SCUR1_65040.1, SCUR1_5740.1, SCUR1_26730.1, SCUR1_2400.1
OG0000038	SBOV2_78080.1	SCUR1_40730.1, SCUR1_4210.1
OG0000038	SBOV2_71000.1	SCUR1_99440.1
OG0000040	SBOV2_53440.1	SCUR1_52110.3
OG0000040	SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13	SCUR1_52110.25
OG0000040	SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13	SCUR1_52110.29
OG0000040	SBOV2_53440.10	SCUR1_52110.4
OG0000040	SBOV2_53440.10	SCUR1_52110.5
OG0000040	SBOV2_53440.7	SCUR1_52110.4
OG0000040	SBOV2_53440.7	SCUR1_52110.5
OG0000040	SBOV2_53440.4	SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21
OG0000040	SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8	SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28
OG0000042	SBOV2_27900.1	SCUR1_40080.1
OG0000042	SBOV2_27910.1, SBOV2_27910.2	SCUR1_40070.1
OG0000042	SBOV2_27970.1	SCUR1_40040.1
OG0000042	SBOV2_27920.1	SCUR1_40060.1
OG0000042	SBOV2_27940.1	SCUR1_40060.1
OG0000042	SBOV2_27950.1	SCUR1_40060.1
OG0000042	SBOV2_27960.3	SCUR1_40060.1
OG0000042	SBOV2_27930.1, SBOV2_27960.5	SCUR1_40050.2
OG0000043	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8
OG0000044	SBOV2_85070.1	SCUR1_84690.1
OG0000044	SBOV2_85080.1	SCUR1_84700.1
OG0000044	SBOV2_85100.1	SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1
OG0000044	SBOV2_85120.1	SCUR1_98900.2
OG0000044	SBOV2_85130.1	SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1
OG0000045	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6	SCUR1_10540.1, SCUR1_10540.3, SCUR1_10540.4
OG0000046	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2	SCUR1_28260.1, SCUR1_28260.2, SCUR1_28260.3
OG0000047	SBOV2_68600.1	SCUR1_67810.3, SCUR1_67810.1, SCUR1_67810.2, SCUR1_52540.5, SCUR1_52540.8, SCUR1_52540.9, SCUR1_14640.4, SCUR1_14640.5, SCUR1_74340.2, SCUR1_74340.3, SCUR1_31390.4, SCUR1_31390.6, SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5, SCUR1_52540.2, SCUR1_52540.6, SCUR1_14640.1, SCUR1_74340.5, SCUR1_14640.2, SCUR1_14640.3, SCUR1_74340.1, SCUR1_74340.4, SCUR1_52540.4, SCUR1_52540.1, SCUR1_52540.3, SCUR1_52540.7
OG0000047	SBOV2_68880.2	SCUR1_77670.1
OG0000047	SBOV2_31700.2, SBOV2_31700.1, SBOV2_95340.5, SBOV2_95340.1	SCUR1_4900.1
OG0000048	SBOV2_22140.1	SCUR1_100.1, SCUR1_110.1
OG0000048	SBOV2_22170.1, SBOV2_22190.1, SBOV2_22190.2	SCUR1_98110.1
OG0000049	SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3
OG0000049	SBOV2_72720.4	SCUR1_72710.1
OG0000049	SBOV2_72720.5	SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3
OG0000049	SBOV2_72720.2	SCUR1_72710.5, SCUR1_72710.4
OG0000050	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3
OG0000050	SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12	SCUR1_53710.1
OG0000051	SBOV2_26350.1, SBOV2_44260.1, SBOV2_29350.1	SCUR1_10090.1
OG0000051	SBOV2_41630.1	SCUR1_27940.1
OG0000051	SBOV2_1690.1	SCUR1_54100.1, SCUR1_91640.1, SCUR1_60130.1, SCUR1_99320.1, SCUR1_81330.1
OG0000051	SBOV2_60960.1	SCUR1_95950.1
OG0000051	SBOV2_79880.1	SCUR1_30050.1
OG0000051	SBOV2_68980.1, SBOV2_84560.1, SBOV2_84560.2, SBOV2_90390.1	SCUR1_26350.1, SCUR1_2500.1, SCUR1_54660.1, SCUR1_56870.1
OG0000052	SBOV2_38940.1, SBOV2_38940.2	SCUR1_28750.1
OG0000052	SBOV2_3270.1	SCUR1_3190.1
OG0000052	SBOV2_990.1, SBOV2_990.2	SCUR1_100150.1, SCUR1_850.2, SCUR1_850.1, SCUR1_100150.2
OG0000052	SBOV2_1730.1	SCUR1_2360.1, SCUR1_2360.2
OG0000052	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3	SCUR1_66590.1
OG0000053	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19
OG0000053	SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7	SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15
OG0000055	SBOV2_68310.8, SBOV2_68320.2	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4
OG0000056	SBOV2_41870.1	SCUR1_50470.1
OG0000056	SBOV2_88120.1, SBOV2_96280.3, SBOV2_24970.1, SBOV2_24970.2, SBOV2_1650.1, SBOV2_1650.2, SBOV2_39410.1	SCUR1_78360.1, SCUR1_78360.2, SCUR1_72430.1, SCUR1_85840.1
OG0000056	SBOV2_96240.1	SCUR1_40370.1
OG0000057	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1	SCUR1_26010.1, SCUR1_51810.1, SCUR1_11890.1, SCUR1_14200.1, SCUR1_11370.1, SCUR1_62950.1, SCUR1_95710.1
OG0000058	SBOV2_88040.2, SBOV2_88040.1	SCUR1_88860.1
OG0000058	SBOV2_79500.1	SCUR1_79800.1
OG0000058	SBOV2_79520.1	SCUR1_79810.1
OG0000058	SBOV2_79550.2, SBOV2_79550.3	SCUR1_79840.7, SCUR1_79840.3, SCUR1_79840.4
OG0000058	SBOV2_79550.4, SBOV2_79550.6	SCUR1_79840.2, SCUR1_79840.6, SCUR1_79840.8
OG0000058	SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7	SCUR1_79840.1, SCUR1_79840.5
OG0000060	SBOV2_64940.4	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6
OG0000061	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17
