Orthogroup	schistosoma_bovis	schistosoma_rodhaini
OG0000006	SBOV2_59330.1, SBOV2_9090.1	SRDH2_74110.1, SRDH2_95720.1, SRDH2_42990.1, SRDH2_40930.1, SRDH2_56680.1
OG0000006	SBOV2_2480.1	SRDH2_49820.1, SRDH2_56060.1
OG0000006	SBOV2_88050.1, SBOV2_52390.1, SBOV2_58500.1	SRDH2_59490.1, SRDH2_11650.1, SRDH2_76390.1, SRDH2_7170.1, SRDH2_90220.1
OG0000006	SBOV2_82790.1, SBOV2_14350.1	SRDH2_55650.1, SRDH2_4790.1, SRDH2_94580.1, SRDH2_95820.1, SRDH2_90660.1, SRDH2_74280.1
OG0000008	SBOV2_39270.1, SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1, SBOV2_96210.1, SBOV2_37140.1, SBOV2_68530.1	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1
OG0000009	SBOV2_76160.1, SBOV2_59820.1	SRDH2_10110.1, SRDH2_26480.1
OG0000009	SBOV2_62130.1, SBOV2_91300.1	SRDH2_19580.1, SRDH2_19570.1, SRDH2_42650.1, SRDH2_86450.1
OG0000009	SBOV2_58610.1	SRDH2_94200.1
OG0000009	SBOV2_15160.1	SRDH2_56120.1, SRDH2_56120.2
OG0000009	SBOV2_89880.1	SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1
OG0000009	SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1	SRDH2_66450.1, SRDH2_33280.1
OG0000009	SBOV2_45750.1	SRDH2_3140.1
OG0000009	SBOV2_76620.1, SBOV2_70920.1	SRDH2_55480.1
OG0000009	SBOV2_81720.1, SBOV2_10990.1	SRDH2_65600.1
OG0000010	SBOV2_95290.1	SRDH2_68580.2, SRDH2_68590.1
OG0000010	SBOV2_30110.1	SRDH2_8620.1, SRDH2_27680.1, SRDH2_34460.1, SRDH2_46180.2, SRDH2_46180.1, SRDH2_12260.1, SRDH2_32760.1, SRDH2_78420.1, SRDH2_46690.1, SRDH2_102330.1, SRDH2_58060.1, SRDH2_58060.3, SRDH2_58060.2, SRDH2_17270.1, SRDH2_56770.1, SRDH2_45730.1, SRDH2_32760.2, SRDH2_56760.1, SRDH2_1720.1, SRDH2_3580.1, SRDH2_3580.3, SRDH2_3580.2, SRDH2_3570.1, SRDH2_7950.1, SRDH2_34120.1, SRDH2_55000.1, SRDH2_93550.1
OG0000012	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6
OG0000014	SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30	SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4
OG0000015	SBOV2_29460.1	SRDH2_32040.2
OG0000015	SBOV2_65410.1	SRDH2_66330.1
OG0000015	SBOV2_65420.1	SRDH2_66340.1
OG0000015	SBOV2_29300.1	SRDH2_38560.1
OG0000015	SBOV2_29290.1	SRDH2_38570.1
OG0000015	SBOV2_42900.1	SRDH2_43900.1
OG0000015	SBOV2_41940.1, SBOV2_41950.1	SRDH2_43070.1, SRDH2_43080.1
OG0000015	SBOV2_41960.1	SRDH2_43060.1
OG0000015	SBOV2_41990.1	SRDH2_43100.1
OG0000015	SBOV2_9870.1	SRDH2_10450.1
OG0000016	SBOV2_22420.1, SBOV2_22420.2	SRDH2_73930.1, SRDH2_87840.1, SRDH2_66850.1, SRDH2_63280.1, SRDH2_70470.1, SRDH2_57480.1, SRDH2_90410.1, SRDH2_43490.1
OG0000016	SBOV2_44850.1	SRDH2_46830.1
OG0000018	SBOV2_2690.1	SRDH2_71230.4, SRDH2_56830.5, SRDH2_56830.3, SRDH2_56830.7, SRDH2_71230.3, SRDH2_56830.1, SRDH2_56830.2, SRDH2_56830.8, SRDH2_71230.1, SRDH2_71230.2, SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6, SRDH2_58370.1, SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1
OG0000019	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9	SRDH2_34300.1
OG0000019	SBOV2_30990.6, SBOV2_30990.1	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4
OG0000020	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1, SBOV2_90950.4, SBOV2_90950.1, SBOV2_90950.2, SBOV2_90950.3, SBOV2_90970.3, SBOV2_90970.4, SBOV2_90970.5, SBOV2_90970.1, SBOV2_90970.2, SBOV2_90960.1	SRDH2_95300.1, SRDH2_95200.4, SRDH2_95200.5, SRDH2_95200.3, SRDH2_95200.9, SRDH2_95200.1, SRDH2_95200.2, SRDH2_95200.6, SRDH2_95200.8, SRDH2_95280.1, SRDH2_95200.7
OG0000021	SBOV2_7110.1	SRDH2_8550.1
OG0000021	SBOV2_5830.1	SRDH2_5890.1
OG0000021	SBOV2_5840.1	SRDH2_5900.1
OG0000021	SBOV2_5800.2, SBOV2_5800.1	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1
OG0000021	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2	SRDH2_102090.1, SRDH2_5880.1
OG0000021	SBOV2_5780.1, SBOV2_5780.2	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4
OG0000022	SBOV2_40340.1	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3
OG0000023	SBOV2_19240.1	SRDH2_86550.1, SRDH2_46810.1, SRDH2_44490.1, SRDH2_37230.1, SRDH2_15010.1, SRDH2_15010.2, SRDH2_80730.1, SRDH2_80730.2
OG0000023	SBOV2_75080.1	SRDH2_49570.1, SRDH2_21610.1, SRDH2_49310.1, SRDH2_9630.1
OG0000023	SBOV2_22350.1, SBOV2_78210.1	SRDH2_79690.1
OG0000023	SBOV2_56510.1	SRDH2_79740.1
OG0000024	SBOV2_23240.1	SRDH2_24010.1
OG0000024	SBOV2_90560.1	SRDH2_94350.1
OG0000024	SBOV2_63690.1	SRDH2_67860.1
OG0000024	SBOV2_79360.1, SBOV2_79360.2	SRDH2_82380.1
OG0000026	SBOV2_78760.1	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6
OG0000026	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3	SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6
OG0000027	SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23	SRDH2_40180.2, SRDH2_40180.4, SRDH2_40180.5, SRDH2_40180.1
OG0000027	SBOV2_27780.22	SRDH2_40180.3
OG0000028	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3
OG0000029	SBOV2_57030.1	SRDH2_58920.1
OG0000029	SBOV2_86480.1	SRDH2_90020.1
OG0000029	SBOV2_86450.1, SBOV2_96800.1	SRDH2_90050.1
OG0000029	SBOV2_19870.1	SRDH2_20870.1
OG0000029	SBOV2_19870.2	SRDH2_20870.1
OG0000029	SBOV2_19870.3	SRDH2_20870.1
OG0000029	SBOV2_19870.4	SRDH2_20870.1
OG0000029	SBOV2_87380.1	SRDH2_91070.1
OG0000030	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52	SRDH2_6780.1
OG0000031	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5
OG0000032	SBOV2_10100.1	SRDH2_10690.1
OG0000032	SBOV2_56850.1	SRDH2_58770.1, SRDH2_58770.3, SRDH2_58770.2
OG0000032	SBOV2_9410.1	SRDH2_23570.1
OG0000032	SBOV2_78820.1	SRDH2_81680.2, SRDH2_81690.1
OG0000032	SBOV2_78800.1	SRDH2_81680.1
OG0000033	SBOV2_16080.1, SBOV2_74200.1, SBOV2_96030.1, SBOV2_96030.2, SBOV2_16090.1, SBOV2_60740.1, SBOV2_91630.1, SBOV2_16490.1, SBOV2_47110.1, SBOV2_60670.1, SBOV2_18690.1	SRDH2_3900.1, SRDH2_71180.1, SRDH2_77620.1, SRDH2_19830.1, SRDH2_64110.1, SRDH2_56370.1, SRDH2_56780.1, SRDH2_79100.1, SRDH2_57970.1, SRDH2_50980.1, SRDH2_6620.1, SRDH2_101130.1, SRDH2_100490.1, SRDH2_101140.1, SRDH2_101160.1, SRDH2_101170.1, SRDH2_38350.1, SRDH2_15490.1, SRDH2_5580.1, SRDH2_37170.1, SRDH2_42520.1
OG0000034	SBOV2_90790.1	SRDH2_94750.1
OG0000034	SBOV2_90780.1, SBOV2_90770.1	SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1
OG0000034	SBOV2_56880.1, SBOV2_56890.1	SRDH2_58720.1, SRDH2_58700.1
OG0000034	SBOV2_56930.1, SBOV2_56900.1	SRDH2_58680.1, SRDH2_58640.1
OG0000035	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10
OG0000036	SBOV2_8200.1, SBOV2_23050.1	SRDH2_86460.1, SRDH2_76890.1
OG0000037	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2	SRDH2_61520.1
OG0000037	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2	SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14
OG0000038	SBOV2_51760.1	SRDH2_68580.1, SRDH2_67930.1, SRDH2_47830.1, SRDH2_83970.1, SRDH2_90160.1, SRDH2_50090.1, SRDH2_101350.1, SRDH2_7630.1, SRDH2_78250.1, SRDH2_78250.2, SRDH2_83380.1, SRDH2_98050.1, SRDH2_17960.1, SRDH2_36860.1, SRDH2_17960.2, SRDH2_36860.2, SRDH2_7890.1, SRDH2_36860.3, SRDH2_84340.1, SRDH2_22660.1, SRDH2_7900.1, SRDH2_19300.1, SRDH2_100200.1, SRDH2_100200.2, SRDH2_28680.1, SRDH2_15040.1, SRDH2_101330.1, SRDH2_43890.1, SRDH2_16780.1
OG0000040	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1, SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8	SRDH2_53910.2, SRDH2_53910.7, SRDH2_53910.8, SRDH2_53910.11, SRDH2_53910.18, SRDH2_53910.12, SRDH2_53910.16, SRDH2_53910.3, SRDH2_53910.5, SRDH2_53910.6, SRDH2_53920.1, SRDH2_53910.19, SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9
OG0000041	SBOV2_31710.1, SBOV2_31710.2	SRDH2_51400.1, SRDH2_100240.1, SRDH2_59560.1, SRDH2_1710.1, SRDH2_120.1, SRDH2_101540.1, SRDH2_49590.1, SRDH2_50260.1, SRDH2_39090.1, SRDH2_42060.1, SRDH2_70230.1, SRDH2_65040.1, SRDH2_60160.1, SRDH2_97680.1
OG0000042	SBOV2_27900.1	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4
OG0000042	SBOV2_27910.1, SBOV2_27910.2	SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3
OG0000042	SBOV2_27970.1	SRDH2_40000.1
OG0000042	SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3	SRDH2_101250.1
OG0000042	SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1	SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2
OG0000043	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4
OG0000044	SBOV2_85070.1, SBOV2_85080.1	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8
OG0000044	SBOV2_85100.1	SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8
OG0000044	SBOV2_85120.1	SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3
OG0000045	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2
OG0000046	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2, SBOV2_83530.1	SRDH2_9900.1, SRDH2_102580.1, SRDH2_82820.1, SRDH2_97800.1, SRDH2_83880.1, SRDH2_84180.1
OG0000049	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5, SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4
OG0000049	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2
OG0000050	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12	SRDH2_54600.1, SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9
OG0000051	SBOV2_51000.1, SBOV2_49080.1, SBOV2_26350.1, SBOV2_44260.1, SBOV2_29350.1, SBOV2_21110.1, SBOV2_41630.1, SBOV2_17010.1, SBOV2_1690.1, SBOV2_20050.1, SBOV2_60960.1, SBOV2_79880.1, SBOV2_68980.1, SBOV2_84560.1, SBOV2_84560.2, SBOV2_90390.1, SBOV2_56520.1	SRDH2_12180.1, SRDH2_96950.1
OG0000052	SBOV2_38940.1, SBOV2_38940.2	SRDH2_29050.1
OG0000052	SBOV2_3270.1	SRDH2_3320.1
OG0000052	SBOV2_990.1, SBOV2_990.2	SRDH2_930.1
OG0000052	SBOV2_1730.1	SRDH2_1740.1
OG0000052	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3	SRDH2_69180.1
