Orthogroup	schistosoma_bovis	trichobilharzia_regenti
OG0000019	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9, SBOV2_30990.6, SBOV2_30990.1	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	SBOV2_7110.1	TREG1_7080.1
OG0000021	SBOV2_5830.1	TREG1_13160.1
OG0000021	SBOV2_5840.1	TREG1_13170.1, TREG1_13180.1
OG0000021	SBOV2_5800.2, SBOV2_5800.1	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5
OG0000021	SBOV2_5810.1	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3
OG0000021	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2	TREG1_13150.1
OG0000021	SBOV2_5780.1, SBOV2_5780.2	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2
OG0000022	SBOV2_40340.1	TREG1_58780.1
OG0000023	SBOV2_75080.1, SBOV2_22350.1, SBOV2_78210.1, SBOV2_56510.1	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1
OG0000024	SBOV2_23240.1	TREG1_48810.1
OG0000024	SBOV2_63690.1	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
OG0000024	SBOV2_79360.1, SBOV2_79360.2	TREG1_101000.1
OG0000024	SBOV2_79350.1	TREG1_101010.1
OG0000026	SBOV2_78760.1	TREG1_108810.1
OG0000026	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3	TREG1_100830.1, TREG1_100840.1
OG0000027	SBOV2_27780.13, SBOV2_27780.29, SBOV2_27780.35, SBOV2_27780.15, SBOV2_27780.14, SBOV2_27780.30, SBOV2_27780.34, SBOV2_27780.12, SBOV2_27780.2, SBOV2_27780.20, SBOV2_27780.28, SBOV2_27780.26, SBOV2_27780.24, SBOV2_27780.33, SBOV2_27780.31, SBOV2_27780.1, SBOV2_27780.3, SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23, SBOV2_27780.22, SBOV2_27780.25, SBOV2_27780.19, SBOV2_27780.6, SBOV2_27780.7, SBOV2_27780.9, SBOV2_27780.18, SBOV2_27780.16	TREG1_41010.1
OG0000028	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	SBOV2_57030.1	TREG1_77780.2, TREG1_77780.1
OG0000029	SBOV2_86480.1	TREG1_125210.1
OG0000029	SBOV2_86450.1, SBOV2_96800.1	TREG1_120250.1
OG0000029	SBOV2_19870.5	TREG1_27530.1, TREG1_27540.1
OG0000029	SBOV2_87380.1	TREG1_124060.1
OG0000029	SBOV2_87370.2, SBOV2_87370.1	TREG1_124050.1
OG0000030	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
OG0000032	SBOV2_10100.1	TREG1_5090.4, TREG1_5070.1, TREG1_5090.2, TREG1_5080.1, TREG1_5090.1, TREG1_5090.3
OG0000032	SBOV2_56850.1	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1
OG0000032	SBOV2_9410.1	TREG1_77560.1
OG0000033	SBOV2_16080.1, SBOV2_74200.1, SBOV2_96030.1, SBOV2_96030.2, SBOV2_16090.1, SBOV2_60740.1, SBOV2_91630.1, SBOV2_16490.1, SBOV2_47110.1, SBOV2_60670.1, SBOV2_18690.1	TREG1_21870.1, TREG1_24050.1, TREG1_28200.1, TREG1_139970.1, TREG1_145000.2, TREG1_145010.1, TREG1_139970.3, TREG1_139970.2, TREG1_15170.1, TREG1_64550.1, TREG1_105080.1, TREG1_145000.1, TREG1_26660.2, TREG1_130180.1, TREG1_145010.2, TREG1_6850.1, TREG1_133870.1, TREG1_16270.1, TREG1_30450.1, TREG1_134810.1
OG0000034	SBOV2_90790.1	TREG1_128470.1
OG0000034	SBOV2_90780.1, SBOV2_90770.1, SBOV2_56880.1, SBOV2_56890.1, SBOV2_56930.1, SBOV2_56900.1	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2
OG0000035	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4	TREG1_21190.1, TREG1_21180.1
OG0000036	SBOV2_8200.1, SBOV2_23050.1, SBOV2_95590.1, SBOV2_64000.1, SBOV2_64000.2, SBOV2_10500.1, SBOV2_96110.1	TREG1_94140.1, TREG1_38710.1, TREG1_23760.1, TREG1_26550.1, TREG1_96170.1, TREG1_4890.1, TREG1_109400.1, TREG1_37380.1, TREG1_129170.1, TREG1_116600.1, TREG1_820.1, TREG1_46890.1, TREG1_140720.1, TREG1_114640.1, TREG1_129140.1, TREG1_134900.1, TREG1_136510.1, TREG1_2510.1, TREG1_48130.1, TREG1_74950.1
OG0000037	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2	TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1
OG0000037	SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2	TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3
OG0000040	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1, SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4
OG0000041	SBOV2_31710.1, SBOV2_31710.2	TREG1_142240.1, TREG1_94810.1, TREG1_90530.1, TREG1_132260.1, TREG1_142450.1, TREG1_34660.1, TREG1_94730.1, TREG1_48330.1, TREG1_142510.1, TREG1_127330.1, TREG1_49790.1, TREG1_96930.1, TREG1_112840.1, TREG1_118460.1, TREG1_140420.1, TREG1_58250.1, TREG1_93850.1, TREG1_134000.1, TREG1_20780.1, TREG1_128090.1, TREG1_87730.1, TREG1_57760.1, TREG1_86290.1, TREG1_133170.1, TREG1_132690.1, TREG1_132690.2, TREG1_31410.1, TREG1_28280.1, TREG1_102930.1, TREG1_71090.10, TREG1_28290.1, TREG1_27470.1, TREG1_126080.1, TREG1_89370.1, TREG1_145150.1, TREG1_16360.17, TREG1_140910.1, TREG1_9970.1, TREG1_133440.1, TREG1_56810.1, TREG1_62140.1, TREG1_91250.1, TREG1_139380.1, TREG1_107530.1, TREG1_133630.1, TREG1_132300.1, TREG1_132300.2, TREG1_91930.1, TREG1_49510.1, TREG1_31020.1, TREG1_117160.1, TREG1_83210.1, TREG1_70760.1, TREG1_59840.1, TREG1_2550.1, TREG1_98170.1, TREG1_100820.1, TREG1_122930.1, TREG1_130960.1, TREG1_132780.1, TREG1_114020.1, TREG1_27300.1, TREG1_37390.1, TREG1_37050.1, TREG1_61590.1, TREG1_69370.1, TREG1_92700.1, TREG1_46260.1, TREG1_109760.1, TREG1_131300.1, TREG1_55930.1, TREG1_8580.1, TREG1_142670.1, TREG1_76000.1, TREG1_89330.1, TREG1_46610.1, TREG1_127680.1, TREG1_16420.1
OG0000042	SBOV2_27900.1	TREG1_41180.1, TREG1_41180.2
OG0000042	SBOV2_27910.1, SBOV2_27910.2	TREG1_138040.1
OG0000042	SBOV2_27970.1, SBOV2_27960.4, SBOV2_27960.6, SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3, SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1	TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2
OG0000043	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4
OG0000044	SBOV2_85070.1, SBOV2_85080.1, SBOV2_85100.1, SBOV2_85120.1, SBOV2_85130.1	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000045	SBOV2_10340.5, SBOV2_10340.7, SBOV2_10340.4, SBOV2_10340.8, SBOV2_10340.1, SBOV2_10340.2, SBOV2_10340.3, SBOV2_10340.6, SBOV2_3860.1	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4
OG0000046	SBOV2_39390.1, SBOV2_39390.3, SBOV2_39390.2, SBOV2_83530.1	TREG1_82050.1
OG0000047	SBOV2_82060.1, SBOV2_95340.4, SBOV2_30660.1, SBOV2_95340.2, SBOV2_95340.6, SBOV2_30660.4, SBOV2_95340.11, SBOV2_30660.3, SBOV2_31700.4, SBOV2_95340.10, SBOV2_95340.8, SBOV2_30660.2, SBOV2_95340.3, SBOV2_31700.5, SBOV2_68880.3, SBOV2_30660.6, SBOV2_68600.1, SBOV2_68880.2, SBOV2_31700.2, SBOV2_31700.1, SBOV2_95340.5, SBOV2_95340.1, SBOV2_30660.5, SBOV2_95340.12, SBOV2_95340.9, SBOV2_31700.3, SBOV2_95340.7	TREG1_115800.1, TREG1_109470.1, TREG1_109470.4, TREG1_109470.6, TREG1_109470.5, TREG1_109470.7, TREG1_109470.2, TREG1_109470.3, TREG1_48980.6, TREG1_48980.3, TREG1_1760.4, TREG1_48980.1, TREG1_48980.2, TREG1_48980.5, TREG1_1760.3, TREG1_1760.1, TREG1_1760.2, TREG1_1750.1, TREG1_1750.2, TREG1_48980.4, TREG1_1750.3, TREG1_48980.7, TREG1_10650.1
OG0000049	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7	TREG1_104790.1
OG0000050	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12	TREG1_61870.1, TREG1_61870.2
OG0000052	SBOV2_38940.1, SBOV2_38940.2	TREG1_49560.1, TREG1_49560.2
OG0000052	SBOV2_3270.1	TREG1_1120.1, TREG1_1140.1
OG0000052	SBOV2_990.1, SBOV2_990.2	TREG1_13330.1, TREG1_13320.1
OG0000052	SBOV2_1730.1	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3	TREG1_82400.1
OG0000053	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000055	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
OG0000057	SBOV2_19440.1, SBOV2_36360.1, SBOV2_10510.1	TREG1_59320.1, TREG1_142620.1, TREG1_45550.1, TREG1_40710.1, TREG1_94400.1, TREG1_8970.1, TREG1_141350.1, TREG1_141350.2, TREG1_30560.1, TREG1_85340.1, TREG1_83390.1, TREG1_65130.1, TREG1_11820.1, TREG1_29000.1, TREG1_40350.1, TREG1_132830.1, TREG1_111550.1, TREG1_142630.1, TREG1_145280.1, TREG1_43520.1, TREG1_106100.1, TREG1_121450.1, TREG1_77510.1, TREG1_118740.1, TREG1_92450.1, TREG1_25940.1, TREG1_58160.1, TREG1_22740.1, TREG1_57210.1, TREG1_77710.1, TREG1_115510.1, TREG1_3200.1, TREG1_43460.1, TREG1_45660.1, TREG1_45680.1, TREG1_32070.1, TREG1_120500.1, TREG1_39320.1, TREG1_83580.1, TREG1_61160.1, TREG1_128790.1, TREG1_36360.1, TREG1_78490.1, TREG1_130560.1, TREG1_1100.1, TREG1_97600.1, TREG1_70910.1, TREG1_96110.1, TREG1_38080.1, TREG1_138400.1, TREG1_65800.1, TREG1_92220.1, TREG1_30360.1, TREG1_142550.1, TREG1_133840.1, TREG1_94360.1, TREG1_19730.1, TREG1_70560.1, TREG1_139390.1, TREG1_18950.1, TREG1_18950.2, TREG1_99600.1, TREG1_117500.1, TREG1_106120.1
OG0000058	SBOV2_88040.2, SBOV2_88040.1	TREG1_125580.1
OG0000058	SBOV2_79500.1	TREG1_101190.1, TREG1_101210.1
OG0000058	SBOV2_79520.1, SBOV2_79550.2, SBOV2_79550.3, SBOV2_79550.4, SBOV2_79550.6, SBOV2_79550.1, SBOV2_79550.5, SBOV2_79550.7	TREG1_109360.1, TREG1_109360.2
OG0000058	SBOV2_79490.2, SBOV2_79490.1	TREG1_101200.1
OG0000060	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15	TREG1_87890.1
OG0000061	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6	TREG1_76900.1, TREG1_76910.1
OG0000063	SBOV2_28360.11, SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8, SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9	TREG1_43920.1, TREG1_43920.2
OG0000064	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8
OG0000065	SBOV2_22570.1, SBOV2_22560.1	TREG1_32260.1, TREG1_32260.2
OG0000065	SBOV2_22600.2, SBOV2_22600.1, SBOV2_22580.1, SBOV2_22580.2	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2
