Orthogroup	opisthorchis_viverrini	schistosoma_bovis
OG0000006	T265_12134	SBOV2_2480.1, SBOV2_88050.1, SBOV2_52390.1, SBOV2_58500.1
OG0000006	T265_06454	SBOV2_16520.1, SBOV2_38470.1, SBOV2_58600.1, SBOV2_55160.1
OG0000010	T265_00181	SBOV2_3700.1
OG0000012	T265_16252, T265_09012	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	T265_11882	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20
OG0000015	T265_11957	SBOV2_65410.1, SBOV2_65420.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SBOV2_29300.1
OG0000015	T265_01476, T265_15570	SBOV2_42840.1
OG0000016	T265_07831	SBOV2_44850.1
OG0000019	T265_07377	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9, SBOV2_30990.6, SBOV2_30990.1
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SBOV2_7110.1
OG0000021	T265_00883	SBOV2_5830.1, SBOV2_5840.1, SBOV2_5800.2, SBOV2_5800.1, SBOV2_5810.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000022	T265_03268	SBOV2_40340.1
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SBOV2_19240.1
OG0000023	T265_09097	SBOV2_75080.1, SBOV2_22350.1, SBOV2_78210.1, SBOV2_56510.1
OG0000024	T265_04524, T265_12877	SBOV2_23240.1
OG0000024	T265_08845	SBOV2_90560.1
OG0000024	T265_10896, T265_12043, T265_03132	SBOV2_63690.1
OG0000026	T265_07485	SBOV2_78760.1
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3
OG0000027	T265_14036	SBOV2_27780.13, SBOV2_27780.29, SBOV2_27780.35, SBOV2_27780.15, SBOV2_27780.14, SBOV2_27780.30, SBOV2_27780.34, SBOV2_27780.12, SBOV2_27780.2, SBOV2_27780.20, SBOV2_27780.28, SBOV2_27780.26, SBOV2_27780.24, SBOV2_27780.33, SBOV2_27780.31, SBOV2_27780.1, SBOV2_27780.3, SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23, SBOV2_27780.22, SBOV2_27780.25, SBOV2_27780.19, SBOV2_27780.6, SBOV2_27780.7, SBOV2_27780.9, SBOV2_27780.18, SBOV2_27780.16
OG0000028	T265_03596, T265_13290	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4
OG0000029	T265_08214	SBOV2_57030.1
OG0000029	T265_00572, T265_00570, T265_00571	SBOV2_86480.1
OG0000029	T265_11026	SBOV2_19870.5
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SBOV2_87380.1, SBOV2_87370.2, SBOV2_87370.1
OG0000030	T265_14111	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	T265_06361	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	T265_03331	SBOV2_56850.1
OG0000032	T265_07282	SBOV2_9410.1, SBOV2_78820.1, SBOV2_78800.1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SBOV2_90790.1, SBOV2_90780.1, SBOV2_90770.1, SBOV2_56880.1, SBOV2_56890.1, SBOV2_56930.1, SBOV2_56900.1
OG0000035	T265_00972	SBOV2_14610.9, SBOV2_14610.17, SBOV2_14610.19, SBOV2_14610.20, SBOV2_14610.2, SBOV2_14610.5, SBOV2_14610.1, SBOV2_14610.12, SBOV2_14610.7, SBOV2_14610.21, SBOV2_14610.25, SBOV2_14610.10, SBOV2_14610.8, SBOV2_14610.13, SBOV2_14610.6, SBOV2_14610.3, SBOV2_14610.14, SBOV2_14610.11, SBOV2_14610.22, SBOV2_14610.27, SBOV2_14610.24, SBOV2_14610.23, SBOV2_14610.15, SBOV2_14610.16, SBOV2_14610.18, SBOV2_14610.26, SBOV2_14610.4
OG0000037	T265_00630	SBOV2_59320.1, SBOV2_59490.1, SBOV2_59490.2, SBOV2_59510.1, SBOV2_59510.4, SBOV2_59510.2, SBOV2_59510.3, SBOV2_59510.5, SBOV2_59520.3, SBOV2_59520.1, SBOV2_59520.2
OG0000038	T265_12650	SBOV2_78900.1, SBOV2_50970.1, SBOV2_51760.1, SBOV2_24870.1, SBOV2_52140.1, SBOV2_92900.1, SBOV2_77500.1, SBOV2_77500.2, SBOV2_78080.1, SBOV2_71000.1, SBOV2_96330.1
OG0000040	T265_01293	SBOV2_53440.5, SBOV2_53440.6, SBOV2_53440.1, SBOV2_53440.2, SBOV2_53440.9, SBOV2_53440.14, SBOV2_53440.13, SBOV2_53440.10, SBOV2_53440.7, SBOV2_53440.4, SBOV2_53440.11, SBOV2_53440.12, SBOV2_53440.3, SBOV2_53440.8
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SBOV2_27900.1, SBOV2_27910.1, SBOV2_27910.2, SBOV2_27970.1, SBOV2_27960.4, SBOV2_27960.6, SBOV2_27920.1, SBOV2_27940.1, SBOV2_27950.1, SBOV2_27960.3, SBOV2_27930.1, SBOV2_27960.5, SBOV2_27960.2, SBOV2_27960.1
OG0000043	T265_02563	SBOV2_39850.15, SBOV2_39850.18, SBOV2_39850.5, SBOV2_39850.10, SBOV2_39850.19, SBOV2_39850.1, SBOV2_39850.13, SBOV2_39850.16, SBOV2_39850.3, SBOV2_39850.12, SBOV2_39850.11, SBOV2_39850.8, SBOV2_39850.9, SBOV2_39850.2, SBOV2_39850.4, SBOV2_39850.6, SBOV2_39850.14, SBOV2_39850.17, SBOV2_39850.7
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SBOV2_85070.1, SBOV2_85080.1, SBOV2_85100.1, SBOV2_85120.1, SBOV2_85130.1
OG0000047	T265_15705	SBOV2_82060.1, SBOV2_95340.4, SBOV2_30660.1, SBOV2_95340.2, SBOV2_95340.6, SBOV2_30660.4, SBOV2_95340.11, SBOV2_30660.3, SBOV2_31700.4, SBOV2_95340.10, SBOV2_95340.8, SBOV2_30660.2, SBOV2_95340.3, SBOV2_31700.5, SBOV2_68880.3, SBOV2_30660.6, SBOV2_68600.1, SBOV2_68880.2, SBOV2_31700.2, SBOV2_31700.1, SBOV2_95340.5, SBOV2_95340.1, SBOV2_30660.5, SBOV2_95340.12, SBOV2_95340.9, SBOV2_31700.3, SBOV2_95340.7
OG0000049	T265_01286	SBOV2_69310.2, SBOV2_69310.1, SBOV2_69310.3, SBOV2_69310.4, SBOV2_69310.5
OG0000049	T265_15552	SBOV2_72720.4, SBOV2_72720.3, SBOV2_72720.5, SBOV2_72720.2, SBOV2_72720.6, SBOV2_72720.1, SBOV2_72720.7
OG0000050	T265_02127, T265_02652	SBOV2_51950.6, SBOV2_51950.1, SBOV2_51950.2, SBOV2_51950.4, SBOV2_51950.3, SBOV2_51950.5, SBOV2_51950.7, SBOV2_51950.8, SBOV2_51930.2, SBOV2_51930.3, SBOV2_51930.4, SBOV2_51930.1, SBOV2_51930.5, SBOV2_51930.8, SBOV2_51930.6, SBOV2_51930.9, SBOV2_51930.7, SBOV2_51930.11, SBOV2_51930.10, SBOV2_51930.12
OG0000052	T265_08730, T265_12065	SBOV2_38940.1, SBOV2_38940.2
OG0000052	T265_04421	SBOV2_3270.1
OG0000052	T265_02480	SBOV2_1730.1
OG0000052	T265_06797	SBOV2_66560.1, SBOV2_66560.2, SBOV2_66560.3
OG0000053	T265_11166	SBOV2_17940.1, SBOV2_17940.11, SBOV2_17940.2, SBOV2_17940.4, SBOV2_17940.5, SBOV2_17940.6, SBOV2_17940.16, SBOV2_17940.17, SBOV2_17940.10, SBOV2_17940.12, SBOV2_17940.13, SBOV2_17940.15, SBOV2_17940.8, SBOV2_17940.9, SBOV2_17940.14, SBOV2_17940.3, SBOV2_17940.7
OG0000055	T265_07023	SBOV2_68310.8, SBOV2_68320.2, SBOV2_68310.4, SBOV2_68310.5, SBOV2_68310.7, SBOV2_68310.9, SBOV2_68310.1, SBOV2_68310.2, SBOV2_68310.3, SBOV2_68310.6, SBOV2_68320.3, SBOV2_68320.1, SBOV2_68320.11, SBOV2_68320.5, SBOV2_68320.4, SBOV2_68320.6, SBOV2_68320.7, SBOV2_68320.9, SBOV2_68320.10, SBOV2_68320.8
OG0000058	T265_07455	SBOV2_88040.2, SBOV2_88040.1
OG0000058	T265_13746	SBOV2_79500.1
OG0000060	T265_13025	SBOV2_64940.2, SBOV2_64940.17, SBOV2_64940.4, SBOV2_64940.5, SBOV2_64940.7, SBOV2_64940.1, SBOV2_64940.10, SBOV2_64940.13, SBOV2_64940.16, SBOV2_64940.18, SBOV2_64940.3, SBOV2_64940.6, SBOV2_64940.8, SBOV2_64940.9, SBOV2_64940.11, SBOV2_64940.12, SBOV2_64940.14, SBOV2_64940.15
OG0000061	T265_02884	SBOV2_52980.10, SBOV2_52980.9, SBOV2_52980.15, SBOV2_52980.7, SBOV2_52980.8, SBOV2_52980.3, SBOV2_52980.1, SBOV2_52980.2, SBOV2_52980.13, SBOV2_52980.14, SBOV2_52980.11, SBOV2_52980.4, SBOV2_52980.12, SBOV2_52980.5, SBOV2_52980.6
OG0000062	T265_10452	SBOV2_6080.14, SBOV2_6080.15, SBOV2_6080.5, SBOV2_6080.7, SBOV2_6080.1, SBOV2_6080.10, SBOV2_6080.2, SBOV2_6080.3, SBOV2_6080.9, SBOV2_6080.13, SBOV2_6080.6, SBOV2_6080.8, SBOV2_6080.11, SBOV2_6080.4, SBOV2_6080.12
OG0000063	T265_09823	SBOV2_28360.11, SBOV2_28360.6, SBOV2_28360.3, SBOV2_28360.5, SBOV2_28360.10, SBOV2_28360.4, SBOV2_28360.8, SBOV2_28360.7, SBOV2_28360.1, SBOV2_28360.2, SBOV2_28360.9
OG0000064	T265_15306	SBOV2_4260.9, SBOV2_4260.4, SBOV2_4260.11, SBOV2_4260.14, SBOV2_4260.6, SBOV2_4260.13, SBOV2_4260.2, SBOV2_4260.8, SBOV2_4260.15, SBOV2_4260.5, SBOV2_4260.12, SBOV2_4260.1, SBOV2_4260.10, SBOV2_4260.3, SBOV2_4260.7
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SBOV2_22570.1, SBOV2_22560.1, SBOV2_22600.2, SBOV2_22600.1, SBOV2_22580.1, SBOV2_22580.2
OG0000066	T265_07972	SBOV2_30560.11, SBOV2_30560.7, SBOV2_30560.3, SBOV2_30560.5, SBOV2_30560.12, SBOV2_30560.10, SBOV2_30560.4, SBOV2_30560.6, SBOV2_30560.2, SBOV2_30560.8, SBOV2_30560.9, SBOV2_30560.1
OG0000068	T265_12520	SBOV2_51770.1
OG0000068	T265_06616	SBOV2_93650.1
OG0000068	T265_13582	SBOV2_31110.2, SBOV2_31110.3, SBOV2_31110.1
OG0000068	T265_03815	SBOV2_38890.1
OG0000070	T265_10197	SBOV2_43000.2, SBOV2_43000.6, SBOV2_43000.7, SBOV2_43000.9, SBOV2_43000.1, SBOV2_43000.4, SBOV2_43000.8, SBOV2_43000.5, SBOV2_43000.3
OG0000071	T265_11263, T265_11264	SBOV2_33490.1, SBOV2_33490.13, SBOV2_33490.2, SBOV2_33490.3, SBOV2_33490.5, SBOV2_33490.6, SBOV2_33490.7, SBOV2_33490.8, SBOV2_33490.11, SBOV2_33490.12, SBOV2_33490.15, SBOV2_33490.16, SBOV2_33490.4, SBOV2_33490.9, SBOV2_33490.10, SBOV2_33490.14
OG0000072	T265_13598	SBOV2_88630.3, SBOV2_88630.28, SBOV2_88630.12, SBOV2_88630.15, SBOV2_88630.17, SBOV2_88630.18, SBOV2_88630.19, SBOV2_88630.20, SBOV2_88630.21, SBOV2_88630.22, SBOV2_88630.24, SBOV2_88630.25, SBOV2_88630.14, SBOV2_88630.23, SBOV2_88630.5, SBOV2_88630.13, SBOV2_88630.10, SBOV2_88630.11, SBOV2_88630.16, SBOV2_88630.4, SBOV2_88630.6, SBOV2_88630.7, SBOV2_88630.8, SBOV2_88630.9, SBOV2_88630.27, SBOV2_88630.26, SBOV2_88630.2, SBOV2_88630.1
OG0000073	T265_11926	SBOV2_50220.2, SBOV2_50220.4, SBOV2_50220.5, SBOV2_50220.6, SBOV2_50230.1, SBOV2_50220.1, SBOV2_50220.3, SBOV2_50230.2, SBOV2_50230.3, SBOV2_50230.4, SBOV2_50230.5
OG0000074	T265_06662	SBOV2_1290.2, SBOV2_1290.1
OG0000074	T265_09755	SBOV2_87160.1
OG0000074	T265_14825	SBOV2_11150.1
OG0000074	T265_13709	SBOV2_87240.1
OG0000075	T265_02596	SBOV2_33720.3, SBOV2_33720.4, SBOV2_33720.5, SBOV2_33720.10, SBOV2_33720.11, SBOV2_33720.12, SBOV2_33720.13, SBOV2_33720.2, SBOV2_33720.6, SBOV2_33720.7, SBOV2_33720.8, SBOV2_33720.9, SBOV2_33720.1
OG0000076	T265_01838	SBOV2_89870.3, SBOV2_89870.1, SBOV2_89870.2
OG0000076	T265_09657, T265_14927	SBOV2_3940.6, SBOV2_3940.5, SBOV2_3940.4, SBOV2_3940.2, SBOV2_3940.1, SBOV2_3940.3, SBOV2_3940.7, SBOV2_3940.8
OG0000077	T265_07170	SBOV2_10610.1, SBOV2_10610.11, SBOV2_10610.9, SBOV2_10610.2, SBOV2_10610.4, SBOV2_10610.8, SBOV2_10610.6, SBOV2_10610.10, SBOV2_10610.3, SBOV2_10610.5, SBOV2_10610.7
OG0000078	T265_10237, T265_16023	SBOV2_5510.1, SBOV2_5510.11, SBOV2_5510.13, SBOV2_5510.15, SBOV2_5510.16, SBOV2_5510.17, SBOV2_5510.4, SBOV2_5510.10, SBOV2_5510.12, SBOV2_5510.14, SBOV2_5510.2, SBOV2_5510.3, SBOV2_5510.5, SBOV2_5510.6, SBOV2_5510.7, SBOV2_5510.8, SBOV2_5510.9
OG0000079	T265_03623	SBOV2_36930.1
OG0000079	T265_11700	SBOV2_51700.9, SBOV2_51700.2, SBOV2_51700.1, SBOV2_51700.3, SBOV2_51700.4, SBOV2_51700.5, SBOV2_51700.6, SBOV2_51700.7, SBOV2_51700.10, SBOV2_51700.8
OG0000080	T265_07150, T265_07149	SBOV2_43400.8, SBOV2_43400.13, SBOV2_43400.12, SBOV2_43400.16, SBOV2_43400.17, SBOV2_43400.4, SBOV2_43400.11, SBOV2_43400.6, SBOV2_43400.10, SBOV2_43400.1, SBOV2_43400.2, SBOV2_43400.3, SBOV2_43400.14, SBOV2_43400.9, SBOV2_43400.7, SBOV2_43400.5, SBOV2_43400.15
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SBOV2_26060.1, SBOV2_96400.1, SBOV2_96020.1, SBOV2_1720.1, SBOV2_80910.1, SBOV2_45350.1, SBOV2_78740.1, SBOV2_79780.1, SBOV2_90470.1, SBOV2_42760.1, SBOV2_77180.1, SBOV2_96010.1, SBOV2_55930.1
OG0000082	T265_13150	SBOV2_10250.1
OG0000085	T265_03464, T265_13261, T265_16244	SBOV2_31240.5, SBOV2_31240.1, SBOV2_31240.10, SBOV2_31240.2, SBOV2_31240.4, SBOV2_31240.6, SBOV2_31240.7, SBOV2_31240.8, SBOV2_31240.3, SBOV2_31240.9
OG0000086	T265_13900	SBOV2_72400.4, SBOV2_72400.3, SBOV2_72400.7, SBOV2_72400.9, SBOV2_72400.2, SBOV2_72400.5, SBOV2_72400.6, SBOV2_72400.8, SBOV2_72400.1
OG0000087	T265_01347, T265_12258	SBOV2_52670.10, SBOV2_52670.11, SBOV2_52670.8, SBOV2_52670.9, SBOV2_52670.13, SBOV2_52670.12, SBOV2_52670.4, SBOV2_52670.5, SBOV2_52670.1, SBOV2_52670.3, SBOV2_52670.6, SBOV2_52670.7, SBOV2_52670.2
OG0000090	T265_02657, T265_14540	SBOV2_49320.5, SBOV2_49320.6, SBOV2_49320.1, SBOV2_49320.2, SBOV2_49320.3, SBOV2_49320.4
OG0000091	T265_04053	SBOV2_47220.1, SBOV2_47220.2
OG0000092	T265_14035, T265_15099	SBOV2_2240.2, SBOV2_2240.1
OG0000092	T265_03205	SBOV2_12900.5, SBOV2_12900.3, SBOV2_12900.4, SBOV2_12900.1, SBOV2_12900.2
OG0000093	T265_08704	SBOV2_27670.1
OG0000093	T265_06064, T265_06061, T265_06063	SBOV2_28460.2, SBOV2_28470.1, SBOV2_28450.1, SBOV2_28460.1, SBOV2_28460.3
OG0000094	T265_06493	SBOV2_8390.8, SBOV2_8390.2, SBOV2_8390.3, SBOV2_8390.13, SBOV2_8390.4, SBOV2_8390.5, SBOV2_8390.6, SBOV2_8390.11, SBOV2_8390.9, SBOV2_8390.1, SBOV2_8390.7, SBOV2_8390.10, SBOV2_8390.12
OG0000095	T265_08487	SBOV2_61050.1, SBOV2_61050.12, SBOV2_61050.8, SBOV2_61050.3, SBOV2_61050.10, SBOV2_61050.13, SBOV2_61050.11, SBOV2_61050.2, SBOV2_61050.6, SBOV2_61050.7, SBOV2_61050.4, SBOV2_61050.14, SBOV2_61050.5, SBOV2_61050.15, SBOV2_61050.9
OG0000096	T265_09813	SBOV2_32350.7, SBOV2_32350.2, SBOV2_32350.9, SBOV2_32350.1, SBOV2_32350.8, SBOV2_32350.5, SBOV2_32350.4, SBOV2_32350.10, SBOV2_32350.6, SBOV2_32350.11, SBOV2_32350.3
OG0000097	T265_02082	SBOV2_6860.14, SBOV2_6860.6, SBOV2_6860.13, SBOV2_6860.2, SBOV2_6860.5, SBOV2_6860.1, SBOV2_6860.10, SBOV2_6860.7, SBOV2_6860.8, SBOV2_6860.11, SBOV2_6860.4, SBOV2_6860.9, SBOV2_6860.12, SBOV2_6860.3
OG0000098	T265_08810	SBOV2_95540.1, SBOV2_26730.1, SBOV2_26740.1, SBOV2_26740.2
OG0000098	T265_16367, T265_15515	SBOV2_66390.4, SBOV2_66390.3, SBOV2_66390.1, SBOV2_66390.2, SBOV2_66390.5, SBOV2_66390.6
OG0000099	T265_01131	SBOV2_67260.2, SBOV2_67260.1, SBOV2_67260.3, SBOV2_67260.4
OG0000099	T265_02321	SBOV2_71230.11, SBOV2_71230.8, SBOV2_71230.2, SBOV2_71230.10, SBOV2_71230.6, SBOV2_71230.7, SBOV2_71230.9, SBOV2_71230.3, SBOV2_71230.4, SBOV2_71230.1, SBOV2_71230.5
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	SBOV2_82490.1, SBOV2_4120.1, SBOV2_18340.1, SBOV2_9200.1, SBOV2_4170.1
OG0000102	T265_01574	SBOV2_5930.1, SBOV2_5930.2, SBOV2_5930.3, SBOV2_5930.4, SBOV2_5930.5
OG0000102	T265_05632	SBOV2_58130.1, SBOV2_58130.2, SBOV2_58130.3
OG0000103	T265_13207	SBOV2_73330.7, SBOV2_73330.1, SBOV2_73330.4, SBOV2_73330.5, SBOV2_73330.6, SBOV2_73330.3, SBOV2_73330.8, SBOV2_73330.2
OG0000105	T265_07815, T265_03022	SBOV2_7670.1
OG0000107	T265_07863	SBOV2_55660.2, SBOV2_55660.3, SBOV2_55660.4, SBOV2_55660.1
OG0000107	T265_07360	SBOV2_54410.1, SBOV2_54410.2
OG0000108	T265_04554, T265_13536	SBOV2_8260.1, SBOV2_8260.6, SBOV2_8260.7, SBOV2_8260.4, SBOV2_8260.3, SBOV2_8260.2, SBOV2_8260.9, SBOV2_8260.5, SBOV2_8260.11, SBOV2_8260.8, SBOV2_8260.12, SBOV2_8260.13, SBOV2_8260.14, SBOV2_8260.15, SBOV2_8260.16, SBOV2_8260.19, SBOV2_8260.17, SBOV2_8260.18, SBOV2_8260.10
OG0000110	T265_08891, T265_08892	SBOV2_37740.1, SBOV2_37770.1, SBOV2_37770.2
OG0000110	T265_08890	SBOV2_37710.1, SBOV2_37720.1
OG0000111	T265_09132	SBOV2_26650.1
OG0000111	T265_08991, T265_14719	SBOV2_36400.1, SBOV2_36400.2
OG0000112	T265_10678	SBOV2_82930.3, SBOV2_82930.2, SBOV2_82930.4, SBOV2_82930.5, SBOV2_82930.6, SBOV2_82930.13, SBOV2_82930.10, SBOV2_82930.8, SBOV2_82930.1, SBOV2_82930.11, SBOV2_82930.12, SBOV2_82930.9, SBOV2_82930.7
OG0000114	T265_15923, T265_05226, T265_11486	SBOV2_93530.3, SBOV2_93530.4, SBOV2_93530.14, SBOV2_93530.5, SBOV2_93530.17, SBOV2_93530.18, SBOV2_93530.11, SBOV2_93530.20, SBOV2_93530.19, SBOV2_93530.21, SBOV2_93530.22, SBOV2_93530.1, SBOV2_93530.10, SBOV2_93530.15, SBOV2_93530.6, SBOV2_93530.12, SBOV2_93530.16, SBOV2_93530.2, SBOV2_93530.7, SBOV2_93530.8, SBOV2_93530.9, SBOV2_93530.13
