Orthogroup	opisthorchis_viverrini	schistosoma_curassoni
OG0000019	T265_07377	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2, SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SCUR1_8230.1
OG0000021	T265_00883	SCUR1_5850.1, SCUR1_5860.1, SCUR1_5860.2, SCUR1_5860.5, SCUR1_5860.3, SCUR1_5860.4, SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3, SCUR1_5820.4, SCUR1_5830.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3
OG0000022	T265_03268	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SCUR1_83970.1
OG0000024	T265_04524, T265_12877	SCUR1_23660.1
OG0000024	T265_08845	SCUR1_90210.1
OG0000024	T265_10896, T265_12043, T265_03132	SCUR1_64030.1
OG0000026	T265_07485	SCUR1_79090.1
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SCUR1_71450.1, SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3
OG0000027	T265_14036	SCUR1_40200.1
OG0000028	T265_03596, T265_13290	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5
OG0000029	T265_08214	SCUR1_57630.1, SCUR1_99660.1
OG0000029	T265_00572, T265_00570, T265_00571	SCUR1_86440.1
OG0000029	T265_11027, T265_15319, T265_09602	SCUR1_23500.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SCUR1_86960.1, SCUR1_86950.1
OG0000030	T265_14111	SCUR1_6670.1
OG0000031	T265_06361	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12
OG0000032	T265_03331	SCUR1_57440.2, SCUR1_57440.1
OG0000032	T265_07282	SCUR1_9500.1, SCUR1_79130.1, SCUR1_79130.2, SCUR1_79130.3
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3, SCUR1_90440.1, SCUR1_90430.1, SCUR1_57480.1, SCUR1_57500.1, SCUR1_57520.1, SCUR1_95610.1, SCUR1_57550.1, SCUR1_57380.1, SCUR1_95620.1, SCUR1_57530.1, SCUR1_57580.1
OG0000035	T265_00972	SCUR1_14970.1
OG0000037	T265_00630	SCUR1_59650.1, SCUR1_59730.1, SCUR1_59780.2, SCUR1_59790.1, SCUR1_100280.1, SCUR1_95090.4, SCUR1_95090.1, SCUR1_95090.2, SCUR1_95090.3, SCUR1_95090.5, SCUR1_95090.6
OG0000038	T265_12650	SCUR1_50900.1, SCUR1_5050.1, SCUR1_71490.1, SCUR1_12660.1, SCUR1_95150.1, SCUR1_28730.1, SCUR1_41660.1, SCUR1_65040.1, SCUR1_5740.1, SCUR1_26730.1, SCUR1_2400.1, SCUR1_40730.1, SCUR1_4210.1, SCUR1_39210.1, SCUR1_99440.1
OG0000040	T265_01293	SCUR1_52110.3, SCUR1_52110.1, SCUR1_52110.9, SCUR1_52110.25, SCUR1_52110.29, SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21, SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SCUR1_40080.1, SCUR1_40070.1, SCUR1_40040.1, SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1, SCUR1_40050.2
OG0000043	T265_02563	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SCUR1_84690.1, SCUR1_84700.1, SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1, SCUR1_84780.2, SCUR1_98900.1, SCUR1_84780.1, SCUR1_98900.2, SCUR1_98930.1, SCUR1_98910.1, SCUR1_98950.1, SCUR1_98920.1, SCUR1_98940.1
OG0000047	T265_15705	SCUR1_77650.1, SCUR1_14470.1, SCUR1_67810.3, SCUR1_67810.1, SCUR1_67810.2, SCUR1_52540.5, SCUR1_52540.8, SCUR1_52540.9, SCUR1_14640.4, SCUR1_14640.5, SCUR1_74340.2, SCUR1_74340.3, SCUR1_31390.4, SCUR1_31390.6, SCUR1_31390.2, SCUR1_31390.1, SCUR1_31390.3, SCUR1_31390.9, SCUR1_31390.10, SCUR1_31390.7, SCUR1_31390.8, SCUR1_31390.5, SCUR1_52540.2, SCUR1_52540.6, SCUR1_14640.1, SCUR1_74340.5, SCUR1_14640.2, SCUR1_14640.3, SCUR1_74340.1, SCUR1_74340.4, SCUR1_52540.4, SCUR1_52540.1, SCUR1_52540.3, SCUR1_52540.7, SCUR1_77670.1, SCUR1_4900.1
OG0000049	T265_01286	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3
OG0000049	T265_15552	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4
OG0000050	T265_02127, T265_02652	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3, SCUR1_53710.1
OG0000052	T265_08730, T265_12065	SCUR1_28750.1
OG0000052	T265_04421	SCUR1_3190.1
OG0000052	T265_02480	SCUR1_2360.1, SCUR1_2360.2
OG0000052	T265_06797	SCUR1_66590.1
OG0000053	T265_11166	SCUR1_97170.1, SCUR1_97170.11, SCUR1_97170.16, SCUR1_97170.4, SCUR1_97170.5, SCUR1_97170.6, SCUR1_97170.7, SCUR1_97170.8, SCUR1_97170.18, SCUR1_97170.19, SCUR1_97170.10, SCUR1_97170.12, SCUR1_97170.13, SCUR1_97170.14, SCUR1_97170.17, SCUR1_97170.2, SCUR1_97170.3, SCUR1_97170.9, SCUR1_97170.15
OG0000055	T265_07023	SCUR1_68200.6, SCUR1_68200.24, SCUR1_68200.10, SCUR1_68200.8, SCUR1_68200.9, SCUR1_68200.5, SCUR1_68200.20, SCUR1_68200.21, SCUR1_68200.11, SCUR1_68200.22, SCUR1_68200.15, SCUR1_68200.18, SCUR1_68200.19, SCUR1_68200.2, SCUR1_68200.1, SCUR1_68200.3, SCUR1_68200.4, SCUR1_68200.23, SCUR1_68200.14, SCUR1_68200.17, SCUR1_68200.13, SCUR1_68200.7, SCUR1_68200.12, SCUR1_68200.16, SCUR1_68210.1, SCUR1_68210.3, SCUR1_68210.7, SCUR1_68210.5, SCUR1_68210.6, SCUR1_68210.2, SCUR1_68210.4
OG0000058	T265_07455	SCUR1_88860.1
OG0000058	T265_13746	SCUR1_79800.1
OG0000060	T265_13025	SCUR1_65160.2, SCUR1_65160.3, SCUR1_65160.5, SCUR1_65160.1, SCUR1_65160.4, SCUR1_65160.6
OG0000061	T265_02884	SCUR1_52590.14, SCUR1_52590.15, SCUR1_52590.7, SCUR1_52590.11, SCUR1_52590.12, SCUR1_52590.10, SCUR1_52590.13, SCUR1_52590.16, SCUR1_52590.17, SCUR1_52590.9, SCUR1_52590.8, SCUR1_52590.1, SCUR1_52590.3, SCUR1_52590.4, SCUR1_52590.2, SCUR1_52590.5, SCUR1_52590.6
OG0000062	T265_10452	SCUR1_6120.4, SCUR1_6120.8, SCUR1_6120.7, SCUR1_6120.9, SCUR1_6120.5, SCUR1_6120.1, SCUR1_6120.6, SCUR1_6120.2, SCUR1_6120.3
OG0000063	T265_09823	SCUR1_39570.3, SCUR1_39570.4, SCUR1_39570.10, SCUR1_39570.6, SCUR1_39570.8, SCUR1_39570.1, SCUR1_39570.15, SCUR1_39570.5, SCUR1_39570.7, SCUR1_39570.16, SCUR1_39570.13, SCUR1_39570.14, SCUR1_39570.11, SCUR1_39570.2, SCUR1_39570.9, SCUR1_39570.12
OG0000064	T265_15306	SCUR1_4200.1
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SCUR1_22980.1, SCUR1_23010.1, SCUR1_23000.5, SCUR1_23000.1, SCUR1_23000.2, SCUR1_23000.3, SCUR1_23000.4
OG0000066	T265_07972	SCUR1_37290.10, SCUR1_37290.8, SCUR1_37290.12, SCUR1_37290.4, SCUR1_37290.7, SCUR1_37290.5, SCUR1_37290.13, SCUR1_37290.14, SCUR1_37290.6, SCUR1_37290.11, SCUR1_37290.2, SCUR1_37290.9, SCUR1_37290.3, SCUR1_37290.1
OG0000068	T265_12520	SCUR1_53860.1
OG0000068	T265_06616	SCUR1_93300.1
OG0000068	T265_13582	SCUR1_36720.2, SCUR1_36720.1, SCUR1_36720.3, SCUR1_36720.4
OG0000068	T265_03815	SCUR1_28800.1
OG0000070	T265_10197	SCUR1_43900.6, SCUR1_43900.7, SCUR1_43900.12, SCUR1_43900.8, SCUR1_43900.3, SCUR1_43900.2, SCUR1_43900.1, SCUR1_43900.11, SCUR1_43900.9, SCUR1_43900.5, SCUR1_43900.4, SCUR1_43900.13, SCUR1_43900.14, SCUR1_43900.10
OG0000071	T265_11263, T265_11264	SCUR1_34320.1, SCUR1_34320.3, SCUR1_34320.4, SCUR1_34320.5, SCUR1_34320.2, SCUR1_34320.6
OG0000072	T265_13598	SCUR1_88280.7, SCUR1_88280.5, SCUR1_88280.3, SCUR1_88280.2, SCUR1_88280.1, SCUR1_88280.8, SCUR1_88280.4, SCUR1_88280.6
OG0000073	T265_11926	SCUR1_55360.1, SCUR1_55360.5, SCUR1_55360.8, SCUR1_55360.9, SCUR1_55360.2, SCUR1_55360.3, SCUR1_55360.4, SCUR1_55360.6, SCUR1_55360.7, SCUR1_55350.4, SCUR1_55350.2, SCUR1_55350.3, SCUR1_55350.5, SCUR1_55350.1
OG0000074	T265_06662	SCUR1_1180.1
OG0000074	T265_09755	SCUR1_86750.1, SCUR1_86750.2
OG0000074	T265_14825	SCUR1_11360.1
OG0000074	T265_13709	SCUR1_86850.1, SCUR1_86850.2
OG0000075	T265_02596	SCUR1_34050.1
OG0000076	T265_01838	SCUR1_89500.3, SCUR1_89500.4, SCUR1_89500.1, SCUR1_89500.2
OG0000076	T265_09657, T265_14927	SCUR1_3860.1, SCUR1_3860.2
OG0000077	T265_07170	SCUR1_10810.3, SCUR1_10810.4, SCUR1_10810.5, SCUR1_10810.2, SCUR1_10810.1, SCUR1_10810.6, SCUR1_10810.7
OG0000078	T265_10237, T265_16023	SCUR1_5570.1, SCUR1_5570.4, SCUR1_5570.2, SCUR1_5570.3, SCUR1_5570.5, SCUR1_5570.7, SCUR1_5570.6
OG0000079	T265_03623	SCUR1_30630.2, SCUR1_30630.1, SCUR1_30630.3
OG0000079	T265_11700	SCUR1_53930.3, SCUR1_53930.2, SCUR1_53930.4, SCUR1_53930.6, SCUR1_53930.1, SCUR1_53930.5, SCUR1_53930.7
OG0000080	T265_07150, T265_07149	SCUR1_44300.10, SCUR1_44300.3, SCUR1_44300.5, SCUR1_44300.4, SCUR1_44300.1, SCUR1_44300.16, SCUR1_44300.11, SCUR1_44300.7, SCUR1_44300.8, SCUR1_44300.15, SCUR1_44300.6, SCUR1_44300.13, SCUR1_44300.2, SCUR1_44300.12, SCUR1_44300.14, SCUR1_44300.9
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SCUR1_77680.1, SCUR1_33180.1, SCUR1_75470.1, SCUR1_22270.1, SCUR1_74360.1, SCUR1_46320.1, SCUR1_46330.1, SCUR1_45760.1, SCUR1_63590.1, SCUR1_88200.1, SCUR1_73070.1, SCUR1_32970.1
OG0000082	T265_13150	SCUR1_10450.1, SCUR1_10450.2, SCUR1_10450.15, SCUR1_10450.16, SCUR1_10450.18, SCUR1_10450.11, SCUR1_10450.17, SCUR1_10450.3, SCUR1_10450.4, SCUR1_10450.7, SCUR1_10450.9, SCUR1_10450.10, SCUR1_10450.13, SCUR1_10450.14, SCUR1_10450.5, SCUR1_10450.6, SCUR1_10450.8, SCUR1_10450.19, SCUR1_10450.12
OG0000085	T265_03464, T265_13261, T265_16244	SCUR1_36590.1, SCUR1_36590.6, SCUR1_36590.2, SCUR1_36590.3, SCUR1_36590.4, SCUR1_36590.5
OG0000086	T265_13900	SCUR1_72390.1, SCUR1_72390.6, SCUR1_72390.3, SCUR1_72390.10, SCUR1_72390.8, SCUR1_72390.2, SCUR1_72390.5, SCUR1_72390.12, SCUR1_72390.13, SCUR1_72390.11, SCUR1_72390.7, SCUR1_72390.9, SCUR1_72390.4
OG0000087	T265_01347, T265_12258	SCUR1_52940.3, SCUR1_52940.10, SCUR1_52940.8, SCUR1_52940.4, SCUR1_52940.9, SCUR1_52940.1, SCUR1_52940.5, SCUR1_52940.6, SCUR1_52940.7, SCUR1_52940.2
OG0000090	T265_02657, T265_14540	SCUR1_49980.5, SCUR1_49980.1, SCUR1_49980.8, SCUR1_49980.2, SCUR1_49980.3, SCUR1_49980.4, SCUR1_49980.6, SCUR1_49980.7
OG0000091	T265_04053	SCUR1_47950.1
OG0000092	T265_14035, T265_15099	SCUR1_2070.1, SCUR1_2070.4, SCUR1_2070.2, SCUR1_2070.3, SCUR1_2070.5, SCUR1_2070.6
OG0000092	T265_03205	SCUR1_13260.3, SCUR1_13260.4, SCUR1_13260.8, SCUR1_13260.2, SCUR1_13260.7, SCUR1_13260.5, SCUR1_13260.6, SCUR1_13260.1
OG0000093	T265_08704	SCUR1_40300.1
OG0000093	T265_06064, T265_06061, T265_06063	SCUR1_96410.1, SCUR1_96420.1
OG0000094	T265_06493	SCUR1_8440.11, SCUR1_8440.13, SCUR1_8440.5, SCUR1_8440.9, SCUR1_8440.4, SCUR1_8440.6, SCUR1_8440.7, SCUR1_8440.1, SCUR1_8440.2, SCUR1_8440.3, SCUR1_8440.8, SCUR1_8440.12, SCUR1_8440.16, SCUR1_8440.15, SCUR1_8440.14, SCUR1_8440.10
OG0000095	T265_08487	SCUR1_61370.7, SCUR1_61370.1, SCUR1_61370.3, SCUR1_61370.5, SCUR1_61370.6, SCUR1_61370.4, SCUR1_61370.9, SCUR1_61370.2, SCUR1_61370.8
OG0000096	T265_09813	SCUR1_35430.4, SCUR1_35430.6, SCUR1_35430.10, SCUR1_35430.5, SCUR1_35430.14, SCUR1_35430.8, SCUR1_35430.12, SCUR1_35430.2, SCUR1_35430.15, SCUR1_35430.9, SCUR1_35430.11, SCUR1_35430.7, SCUR1_35430.1, SCUR1_35430.13, SCUR1_35430.3
OG0000097	T265_02082	SCUR1_6890.25, SCUR1_6890.2, SCUR1_6890.20, SCUR1_6890.24, SCUR1_6890.10, SCUR1_6890.15, SCUR1_6890.17, SCUR1_6890.19, SCUR1_6890.23, SCUR1_6890.5, SCUR1_6890.8, SCUR1_6890.21, SCUR1_6890.16, SCUR1_6890.18, SCUR1_6890.26, SCUR1_6890.6, SCUR1_6890.1, SCUR1_6890.12, SCUR1_6890.13, SCUR1_6890.14, SCUR1_6890.3, SCUR1_6890.4, SCUR1_6890.7, SCUR1_6890.9, SCUR1_6890.11, SCUR1_6890.22
OG0000098	T265_08810	SCUR1_94810.1, SCUR1_41240.1
OG0000098	T265_16367, T265_15515	SCUR1_98370.1, SCUR1_66460.3, SCUR1_66460.1, SCUR1_66460.4, SCUR1_66460.2, SCUR1_66510.1
OG0000099	T265_01131	SCUR1_67230.1, SCUR1_67230.3, SCUR1_67230.2
OG0000099	T265_02321	SCUR1_71170.4, SCUR1_71170.3, SCUR1_71170.7, SCUR1_71170.2, SCUR1_71170.1, SCUR1_71170.5, SCUR1_71170.6
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	SCUR1_32460.1, SCUR1_27270.1, SCUR1_36060.1
OG0000102	T265_01574	SCUR1_5960.1
OG0000102	T265_05632	SCUR1_58590.1, SCUR1_58590.2, SCUR1_58590.3
OG0000103	T265_13207	SCUR1_73440.1, SCUR1_73440.8, SCUR1_73440.10, SCUR1_73440.4, SCUR1_73440.5, SCUR1_73440.6, SCUR1_73440.7, SCUR1_73440.2, SCUR1_73440.3, SCUR1_73440.9
OG0000105	T265_07815, T265_03022	SCUR1_7610.1
OG0000107	T265_07863	SCUR1_56400.1
OG0000108	T265_04554, T265_13536	SCUR1_8280.1
OG0000110	T265_08891, T265_08892	SCUR1_29820.1, SCUR1_29820.2, SCUR1_29800.2, SCUR1_29800.4, SCUR1_29800.1, SCUR1_29800.5, SCUR1_29800.3
OG0000110	T265_08890	SCUR1_29840.2, SCUR1_29840.1
OG0000111	T265_09132	SCUR1_41310.1
OG0000111	T265_08991, T265_14719	SCUR1_31210.1
OG0000112	T265_10678	SCUR1_82790.7, SCUR1_82790.1, SCUR1_82790.4, SCUR1_82790.5, SCUR1_82790.8, SCUR1_82790.11, SCUR1_82790.10, SCUR1_82790.12, SCUR1_82790.2, SCUR1_82790.13, SCUR1_82790.6, SCUR1_82790.9, SCUR1_82790.3
OG0000114	T265_15923, T265_05226, T265_11486	SCUR1_93190.5, SCUR1_93190.1, SCUR1_93190.7, SCUR1_93190.2, SCUR1_93190.3, SCUR1_93190.6, SCUR1_93190.8, SCUR1_93190.9, SCUR1_93190.4
OG0000115	T265_14637	SCUR1_36820.4, SCUR1_36820.5, SCUR1_36820.2, SCUR1_36820.7, SCUR1_36820.9, SCUR1_36820.1, SCUR1_36820.10, SCUR1_36820.3, SCUR1_36820.6, SCUR1_36820.8
