Orthogroup	schistosoma_turkestanicum	opisthorchis_viverrini
OG0000032	STRK1_9700.1, STRK1_56770.1	T265_03331
OG0000032	STRK1_76860.1	T265_07282
OG0000034	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3, STRK1_89060.1, STRK1_89070.1, STRK1_89080.1, STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1	T265_00972
OG0000037	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2, STRK1_58000.1, STRK1_105220.1, STRK1_57980.1	T265_00630
OG0000040	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5	T265_01293
OG0000042	STRK1_38240.1, STRK1_38230.1, STRK1_38230.2, STRK1_38230.3, STRK1_38190.1, STRK1_38200.1, STRK1_38210.1, STRK1_38220.1	T265_12048, T265_11239, T265_15548, T265_15551
OG0000043	STRK1_23860.1, STRK1_23860.2	T265_02563
OG0000044	STRK1_83210.1, STRK1_83210.2, STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1	T265_05071, T265_05072, T265_08625, T265_11935
OG0000049	STRK1_67640.1	T265_01286
OG0000049	STRK1_71350.1	T265_15552
OG0000050	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2	T265_02127, T265_02652
OG0000052	STRK1_27330.1	T265_08730, T265_12065
OG0000052	STRK1_16800.1	T265_04421
OG0000052	STRK1_1120.1, STRK1_97400.1	T265_02480
OG0000052	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1	T265_06797
OG0000053	STRK1_2330.1	T265_11166
OG0000055	STRK1_66850.1	T265_07023
OG0000058	STRK1_86390.1	T265_07455
OG0000058	STRK1_77870.1	T265_13746
OG0000060	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1	T265_13025
OG0000061	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2	T265_02884
OG0000062	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5	T265_10452
OG0000064	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1	T265_15306
OG0000065	STRK1_21210.1, STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	STRK1_27970.1, STRK1_27970.2, STRK1_27970.3, STRK1_27970.4	T265_07972
OG0000068	STRK1_51720.1	T265_12520
OG0000068	STRK1_90930.1	T265_06616
OG0000068	STRK1_31350.1	T265_13582
OG0000068	STRK1_27380.1	T265_03815
OG0000070	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1	T265_10197
OG0000071	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2	T265_11263, T265_11264
OG0000072	STRK1_86450.1	T265_13598
OG0000073	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3	T265_11926
OG0000074	STRK1_720.2, STRK1_720.1	T265_06662
OG0000074	STRK1_88120.1	T265_09755
OG0000074	STRK1_10690.2, STRK1_10690.1	T265_14825
OG0000075	STRK1_35140.1, STRK1_35140.2	T265_02596
OG0000076	STRK1_85230.1, STRK1_85230.2	T265_01838
OG0000076	STRK1_16320.1, STRK1_16320.2	T265_09657, T265_14927
OG0000077	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2	T265_07170
OG0000078	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4	T265_10237, T265_16023
OG0000079	STRK1_29350.1, STRK1_29350.2	T265_03623
OG0000079	STRK1_51780.1, STRK1_51780.2	T265_11700
OG0000080	STRK1_101810.1, STRK1_39780.1, STRK1_39760.1, STRK1_39760.2, STRK1_39760.3	T265_07150, T265_07149
OG0000082	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3	T265_13150
OG0000085	STRK1_31220.1, STRK1_31220.2	T265_03464, T265_13261, T265_16244
OG0000086	STRK1_71670.1, STRK1_71670.2	T265_13900
OG0000087	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4	T265_01347, T265_12258
OG0000090	STRK1_104500.1, STRK1_49250.1, STRK1_49240.1	T265_02657, T265_14540
OG0000091	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5	T265_04053
OG0000092	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4	T265_14035, T265_15099
OG0000092	STRK1_8500.1, STRK1_8500.2	T265_03205
OG0000093	STRK1_38460.1	T265_08704
OG0000093	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1	T265_06064, T265_06061, T265_06063
OG0000094	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5	T265_06493
OG0000095	STRK1_60680.1	T265_08487
OG0000096	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2	T265_09813
OG0000097	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3	T265_02082
OG0000098	STRK1_64600.1, STRK1_64590.1	T265_16367, T265_15515
OG0000099	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2	T265_01131
OG0000099	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1	T265_02321
OG0000102	STRK1_3550.1, STRK1_3550.2	T265_01574
OG0000102	STRK1_56260.1	T265_05632
OG0000103	STRK1_75520.1, STRK1_75520.2	T265_13207
OG0000105	STRK1_13170.1	T265_07815, T265_03022
OG0000107	STRK1_49750.1	T265_07359, T265_07863
OG0000107	STRK1_49760.1	T265_07360
OG0000108	STRK1_12570.1, STRK1_12570.2	T265_04554, T265_13536
OG0000110	STRK1_30120.1, STRK1_30150.1	T265_08891, T265_08892
OG0000110	STRK1_30100.1, STRK1_30100.2	T265_08890, T265_12894
OG0000112	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1	T265_10678
OG0000114	STRK1_91030.1, STRK1_91030.2	T265_15923, T265_05226, T265_11486
OG0000115	STRK1_28410.1	T265_14637
OG0000116	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2	T265_02129
OG0000117	STRK1_30040.1	T265_11206
OG0000119	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7	T265_12920
OG0000120	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4	T265_09108
OG0000122	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2	T265_15228, T265_15224
OG0000123	STRK1_73130.1, STRK1_73130.2	T265_02792
OG0000125	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1	T265_13688
OG0000127	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2	T265_14567
OG0000128	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2	T265_14408
OG0000129	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2	T265_07587
OG0000130	STRK1_79420.1, STRK1_79420.2	T265_04661
OG0000131	STRK1_12320.1, STRK1_12290.1, STRK1_83820.1, STRK1_83830.1, STRK1_83850.1, STRK1_83860.1	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523
OG0000132	STRK1_36280.1, STRK1_36280.2	T265_00680
OG0000133	STRK1_32070.1	T265_04893
OG0000134	STRK1_18540.1	T265_14784
OG0000135	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2	T265_07991, T265_11510
OG0000136	STRK1_7170.1	T265_11527
OG0000138	STRK1_84500.1	T265_11205
OG0000138	STRK1_42170.1	T265_13897
OG0000139	STRK1_16260.1	T265_03450
OG0000140	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2	T265_06793, T265_05820
OG0000142	STRK1_18420.1, STRK1_18430.1, STRK1_18430.2, STRK1_18440.1, STRK1_18460.1	T265_03704, T265_07291, T265_15439
OG0000143	STRK1_65800.1, STRK1_65810.1, STRK1_65820.1	T265_04146, T265_13432
OG0000144	STRK1_48850.1	T265_01304
OG0000144	STRK1_24000.1	T265_12086
OG0000144	STRK1_52920.1, STRK1_52940.1	T265_06668, T265_13782
OG0000145	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1	T265_14746
OG0000146	STRK1_86910.1	T265_07748
OG0000146	STRK1_53240.1	T265_07423, T265_07424
OG0000146	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3	T265_08388
OG0000146	STRK1_45220.1	T265_03861
OG0000149	STRK1_51730.1, STRK1_51730.2	T265_03520
OG0000151	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1	T265_06094
OG0000152	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3	T265_06135
OG0000153	STRK1_105080.1, STRK1_52110.1	T265_16031, T265_12191, T265_02887, T265_13113
OG0000154	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3	T265_03183
OG0000155	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1	T265_08299
OG0000156	STRK1_18130.1	T265_00887, T265_16074
OG0000156	STRK1_18120.1	T265_03696, T265_15374
OG0000157	STRK1_65550.1	T265_06998, T265_11481
OG0000157	STRK1_40030.1	T265_01460, T265_12799
OG0000157	STRK1_90020.1, STRK1_90030.1	T265_09530, T265_09531, T265_14875
OG0000158	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4	T265_15093
OG0000159	STRK1_59740.1	T265_08123
OG0000160	STRK1_5090.1, STRK1_5070.1	T265_10045
OG0000161	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7	T265_02978
OG0000164	STRK1_60530.1	T265_13175
OG0000164	STRK1_73910.1	T265_00011
OG0000164	STRK1_55190.1	T265_00309
OG0000164	STRK1_29660.1	T265_07457
OG0000165	STRK1_63320.1	T265_11439
OG0000166	STRK1_84550.1	T265_10300
OG0000167	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2	T265_06764
OG0000169	STRK1_97570.1	T265_09476
OG0000169	STRK1_90390.1	T265_02738, T265_02739, T265_02737
OG0000170	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1	T265_12986
OG0000171	STRK1_59140.1	T265_03862, T265_12839, T265_04612, T265_00184
OG0000172	STRK1_3970.1	T265_00976
OG0000173	STRK1_80280.1	T265_02233
OG0000175	STRK1_39380.1, STRK1_39370.1, STRK1_39360.1, STRK1_39350.1	T265_14593, T265_08511, T265_08509, T265_08510, T265_14591
OG0000176	STRK1_44100.1, STRK1_83020.1, STRK1_21670.1, STRK1_65730.1	T265_07532, T265_09847
OG0000177	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1	T265_00175
OG0000178	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2	T265_14067, T265_06556, T265_06557
OG0000179	STRK1_53790.1, STRK1_53800.1	T265_00043
OG0000180	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4, STRK1_79020.1, STRK1_104300.1	T265_07809
OG0000182	STRK1_55980.1	T265_01820, T265_01818
OG0000182	STRK1_36970.1	T265_15629, T265_15631
OG0000183	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2	T265_03893
OG0000184	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1	T265_08817, T265_08819
OG0000184	STRK1_49320.1	T265_01209, T265_01210, T265_16188
OG0000185	STRK1_34010.1	T265_08504
OG0000186	STRK1_70010.1	T265_11314
OG0000187	STRK1_46740.1	T265_00019
OG0000188	STRK1_31940.1	T265_08339
OG0000189	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7	T265_02452, T265_02451
OG0000190	STRK1_46160.1, STRK1_46160.2	T265_05088
OG0000191	STRK1_33090.1, STRK1_33020.1, STRK1_33020.2, STRK1_33020.3, STRK1_33080.1	T265_04702, T265_04703
OG0000192	STRK1_64420.1	T265_05152, T265_13696
OG0000194	STRK1_74260.1	T265_13065
OG0000195	STRK1_50680.1, STRK1_50680.2	T265_01951
OG0000196	STRK1_2310.1, STRK1_87510.1	T265_01003, T265_08738
OG0000196	STRK1_11370.1	T265_13637
OG0000199	STRK1_31630.1, STRK1_31630.2	T265_11013
OG0000201	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2	T265_08652
OG0000202	STRK1_49150.1	T265_10935
OG0000203	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1	T265_11084
OG0000205	STRK1_2090.1	T265_09508
OG0000206	STRK1_35690.1, STRK1_35690.3, STRK1_35690.6, STRK1_35690.2, STRK1_35690.4, STRK1_35690.5	T265_14079
OG0000207	STRK1_36180.1, STRK1_36170.1	T265_08744, T265_03601, T265_08745, T265_03786, T265_10778
OG0000208	STRK1_70670.1	T265_08097
OG0000209	STRK1_12090.7, STRK1_12090.2, STRK1_12090.3, STRK1_12090.4, STRK1_12090.5, STRK1_12090.6, STRK1_12090.1	T265_07713
OG0000210	STRK1_82570.1, STRK1_82570.2, STRK1_82580.1, STRK1_82590.1	T265_02395, T265_06283
OG0000211	STRK1_6370.1	T265_11721
OG0000212	STRK1_22730.1	T265_13666
OG0000213	STRK1_3000.1	T265_00196
OG0000214	STRK1_6400.1, STRK1_6400.2, STRK1_6400.5, STRK1_6400.4, STRK1_6400.3	T265_07833
OG0000217	STRK1_31410.1, STRK1_31420.1	T265_09745
OG0000218	STRK1_14420.1	T265_14088
OG0000219	STRK1_61660.1	T265_02042
OG0000220	STRK1_96360.1, STRK1_75400.1, STRK1_75400.2	T265_02843
OG0000221	STRK1_9390.1, STRK1_9390.2	T265_08529, T265_14604
OG0000221	STRK1_17630.1	T265_06922
OG0000222	STRK1_72970.1, STRK1_72970.2	T265_06992
OG0000223	STRK1_9570.1	T265_10052
OG0000224	STRK1_3630.1, STRK1_3630.2, STRK1_3630.3	T265_04345
OG0000225	STRK1_17080.1	T265_12484
OG0000226	STRK1_110110.1, STRK1_111280.1, STRK1_36050.1	T265_14337
OG0000227	STRK1_105550.1, STRK1_67030.1	T265_07183
OG0000228	STRK1_37190.1	T265_08398
OG0000229	STRK1_57310.1, STRK1_57310.2	T265_08218, T265_14510
OG0000230	STRK1_64230.1, STRK1_64230.2	T265_12726
OG0000234	STRK1_32720.1, STRK1_100400.1, STRK1_100400.2	T265_10531
OG0000235	STRK1_16390.1, STRK1_16390.2	T265_12698, T265_01014
OG0000236	STRK1_48030.1	T265_03312
OG0000237	STRK1_46580.1, STRK1_46580.2	T265_01303
OG0000239	STRK1_25400.1, STRK1_82380.1, STRK1_96300.1, STRK1_111340.1, STRK1_82370.1	T265_04264
OG0000240	STRK1_36510.1, STRK1_36510.2	T265_07380, T265_07378
OG0000241	STRK1_22340.1	T265_07506
OG0000242	STRK1_7310.1	T265_13733
OG0000243	STRK1_15380.2, STRK1_15380.5, STRK1_15380.3, STRK1_15380.4, STRK1_15380.1	T265_05124
OG0000244	STRK1_5740.1	T265_15435
OG0000245	STRK1_2610.1, STRK1_2610.2, STRK1_2620.1	T265_14174, T265_14575
OG0000246	STRK1_110700.1	T265_10932
OG0000247	STRK1_6610.2, STRK1_6610.1, STRK1_6610.3, STRK1_96250.1	T265_15298
OG0000248	STRK1_62100.3, STRK1_62100.4, STRK1_62100.1, STRK1_62100.2	T265_04925
OG0000249	STRK1_3790.1	T265_03415
OG0000250	STRK1_38330.1, STRK1_99630.1, STRK1_99640.1	T265_06450
OG0000251	STRK1_76350.1, STRK1_76350.2	T265_09163
OG0000252	STRK1_41280.1, STRK1_41280.2	T265_02607
OG0000253	STRK1_4200.1	T265_10374
OG0000254	STRK1_8800.2, STRK1_8800.5, STRK1_8800.1, STRK1_8800.3, STRK1_8790.1, STRK1_8800.4	T265_06296, T265_06297
OG0000255	STRK1_27350.1	T265_13093
OG0000257	STRK1_26610.1, STRK1_26610.2, STRK1_26610.3, STRK1_26610.4	T265_14891
OG0000259	STRK1_26930.1	T265_11833
OG0000260	STRK1_20550.1	T265_02300
OG0000261	STRK1_68260.4, STRK1_68260.2, STRK1_68260.1, STRK1_68260.3	T265_01967
OG0000262	STRK1_29090.1, STRK1_29090.2	T265_02991
OG0000263	STRK1_58480.1	T265_01552
OG0000264	STRK1_82020.1, STRK1_102900.1, STRK1_82030.1	T265_06018
OG0000264	STRK1_99780.1	T265_00952
OG0000266	STRK1_79410.1	T265_04658, T265_12225
OG0000267	STRK1_78620.1, STRK1_78620.2	T265_06971, T265_06972
OG0000268	STRK1_69760.1	T265_01937
OG0000268	STRK1_12970.1, STRK1_12950.1	T265_14773
OG0000269	STRK1_16300.1	T265_07262
OG0000270	STRK1_25920.1, STRK1_25920.5, STRK1_25920.6, STRK1_25920.2, STRK1_25920.3, STRK1_25920.4	T265_05581
OG0000271	STRK1_52250.1	T265_15071
OG0000272	STRK1_4830.1, STRK1_4830.2, STRK1_4830.4, STRK1_4830.3	T265_07370, T265_06215
OG0000273	STRK1_7040.1, STRK1_7050.1	T265_01594
OG0000274	STRK1_76560.5, STRK1_76560.3, STRK1_76560.4, STRK1_76560.1, STRK1_76560.2	T265_12983
OG0000275	STRK1_33550.1	T265_10067
OG0000276	STRK1_71710.1	T265_02335
OG0000278	STRK1_18780.1	T265_15579, T265_04501, T265_04608
OG0000281	STRK1_15090.1	T265_06212
OG0000281	STRK1_15770.1	T265_15299
OG0000282	STRK1_48760.1, STRK1_48760.2	T265_14842
OG0000283	STRK1_60510.1, STRK1_60510.2, STRK1_60500.1, STRK1_60950.1, STRK1_60960.1	T265_15051
OG0000285	STRK1_31040.1, STRK1_31040.2	T265_08710
OG0000286	STRK1_37690.1, STRK1_37650.3, STRK1_37650.1, STRK1_37650.2	T265_04472, T265_04474, T265_04727
OG0000287	STRK1_71740.1, STRK1_71740.2, STRK1_71740.3	T265_10894
OG0000288	STRK1_84080.1	T265_09141
OG0000289	STRK1_14180.1, STRK1_14180.3, STRK1_14180.2	T265_15426
OG0000290	STRK1_25340.1, STRK1_25340.2	T265_15145
OG0000290	STRK1_20740.1, STRK1_20740.2	T265_12657
OG0000291	STRK1_4320.1	T265_04365
OG0000292	STRK1_27610.3, STRK1_27610.6, STRK1_27610.5, STRK1_27610.1, STRK1_27610.2, STRK1_27610.4	T265_06608
OG0000293	STRK1_23670.1	T265_03762, T265_05025
OG0000293	STRK1_59880.1	T265_15333
OG0000293	STRK1_45510.1	T265_10243
OG0000294	STRK1_16350.1, STRK1_16350.2	T265_09655
OG0000295	STRK1_103260.1, STRK1_83870.1	T265_14299
OG0000296	STRK1_8690.2, STRK1_8690.4, STRK1_8690.9, STRK1_8690.10, STRK1_8690.5, STRK1_8690.7, STRK1_8690.6, STRK1_8690.8, STRK1_8700.1, STRK1_8690.1, STRK1_8690.3	T265_14159, T265_14160
OG0000297	STRK1_76660.1	T265_10571
OG0000298	STRK1_40640.1	T265_13422
OG0000298	STRK1_99160.1	T265_13679
OG0000299	STRK1_58170.1	T265_00596
OG0000300	STRK1_10620.1, STRK1_10620.2, STRK1_10620.3	T265_13509
OG0000301	STRK1_74980.1, STRK1_74980.2	T265_12938
OG0000302	STRK1_57360.1, STRK1_57360.2, STRK1_57360.3	T265_10713
OG0000303	STRK1_4940.1, STRK1_4940.2	T265_14378, T265_07763
OG0000304	STRK1_8000.1, STRK1_8000.2, STRK1_8000.3	T265_12343, T265_14866
OG0000305	STRK1_46100.1	T265_05934
OG0000306	STRK1_7470.1	T265_14560
OG0000307	STRK1_6030.1, STRK1_105410.1, STRK1_6020.1, STRK1_87110.1, STRK1_80540.1	T265_07841
OG0000311	STRK1_3950.1	T265_00973
OG0000312	STRK1_33980.1	T265_01921
OG0000313	STRK1_4880.1, STRK1_4880.2	T265_09150
OG0000314	STRK1_33380.1	T265_01890
OG0000315	STRK1_34570.1, STRK1_34570.2, STRK1_34570.3	T265_11685, T265_11690
OG0000315	STRK1_62060.1, STRK1_62060.2	T265_04922
OG0000316	STRK1_2600.4, STRK1_2600.2, STRK1_2600.3, STRK1_2600.1	T265_01535
OG0000317	STRK1_850.1	T265_05123
OG0000318	STRK1_50180.1, STRK1_50180.2	T265_07846, T265_14409
OG0000319	STRK1_35360.1, STRK1_35360.2, STRK1_35360.3	T265_01888
OG0000320	STRK1_30360.1, STRK1_30360.2, STRK1_30360.3	T265_07800
OG0000320	STRK1_54950.1	T265_04040
OG0000321	STRK1_33670.1, STRK1_33670.2, STRK1_33670.3	T265_04495
OG0000322	STRK1_23800.1	T265_16264, T265_11089, T265_16340
OG0000323	STRK1_101620.1	T265_03095, T265_03109
OG0000324	STRK1_49820.1	T265_14121, T265_06759
OG0000325	STRK1_77730.1, STRK1_77730.2	T265_01773
OG0000326	STRK1_57480.1	T265_00641, T265_03157
OG0000327	STRK1_68400.1, STRK1_68410.1	T265_02347, T265_09489, T265_09958, T265_07526, T265_14620, T265_02671, T265_02673
OG0000328	STRK1_27160.1	T265_14757, T265_16117
OG0000329	STRK1_5220.1	T265_09935
OG0000332	STRK1_106830.2, STRK1_106830.1, STRK1_63230.1, STRK1_63230.3, STRK1_63230.2, STRK1_63230.4	T265_06732
OG0000333	STRK1_5710.1	T265_12002, T265_16355
OG0000334	STRK1_73690.1, STRK1_73690.2, STRK1_73680.1	T265_01786, T265_13083
OG0000335	STRK1_17750.1, STRK1_17760.1, STRK1_17770.1, STRK1_17780.1	T265_00217
OG0000336	STRK1_15820.1, STRK1_15830.1	T265_10908
OG0000336	STRK1_4180.1, STRK1_4180.2	T265_00993
OG0000337	STRK1_30640.1, STRK1_30640.2, STRK1_30640.3, STRK1_30640.4, STRK1_30640.5	T265_00559
OG0000339	STRK1_29490.1	T265_13393
OG0000340	STRK1_92470.3, STRK1_92470.2, STRK1_92470.1	T265_02762
OG0000342	STRK1_4000.1	T265_06197
OG0000342	STRK1_6430.1	T265_03316
OG0000342	STRK1_3850.1	T265_12666
OG0000343	STRK1_33900.2, STRK1_33900.1, STRK1_33900.3, STRK1_33940.1, STRK1_33940.2, STRK1_33940.3, STRK1_33940.4, STRK1_33940.5, STRK1_33940.6	T265_13980
OG0000344	STRK1_10700.1, STRK1_3600.1	T265_08425
OG0000345	STRK1_54230.1, STRK1_54230.2	T265_05949
OG0000346	STRK1_26620.1	T265_11581
OG0000347	STRK1_29530.1	T265_10741
OG0000348	STRK1_3330.1, STRK1_104550.3, STRK1_104550.1, STRK1_3320.1, STRK1_104550.2, STRK1_104550.4	T265_16293, T265_14984, T265_16184
OG0000349	STRK1_300.2, STRK1_300.1, STRK1_300.3	T265_04375
OG0000350	STRK1_28740.1	T265_06604
OG0000351	STRK1_8730.2, STRK1_8730.1, STRK1_98220.1	T265_06873
OG0000352	STRK1_36020.1	T265_13524
OG0000353	STRK1_68740.1	T265_07437
OG0000354	STRK1_17160.1	T265_10467
OG0000355	STRK1_13090.1	T265_00276, T265_16001
OG0000356	STRK1_6220.3, STRK1_6220.4, STRK1_6220.1, STRK1_6220.2	T265_05555
OG0000357	STRK1_41100.1, STRK1_41100.2	T265_04749
OG0000359	STRK1_15140.2, STRK1_15140.1, STRK1_15140.3	T265_02465
