Orthogroup	schistosoma_turkestanicum	fasciola_gigantica
OG0000131	STRK1_12320.1, STRK1_12290.1, STRK1_83820.1, STRK1_83830.1, STRK1_83850.1, STRK1_83860.1	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	STRK1_36280.1, STRK1_36280.2	FGIG_04447, FGIG_04446
OG0000133	STRK1_32070.1	FGIG_10537
OG0000134	STRK1_18540.1	FGIG_03080
OG0000135	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2	FGIG_08997
OG0000136	STRK1_7170.1	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	STRK1_84500.1	FGIG_10020
OG0000138	STRK1_42170.1	FGIG_00536, FGIG_00535
OG0000139	STRK1_16260.1	FGIG_04756
OG0000140	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2	FGIG_05800
OG0000142	STRK1_18420.1, STRK1_18430.1, STRK1_18430.2, STRK1_18440.1, STRK1_18460.1	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045
OG0000143	STRK1_65800.1, STRK1_65810.1, STRK1_65820.1	FGIG_03125
OG0000144	STRK1_48850.1	FGIG_04482
OG0000144	STRK1_24000.1	FGIG_02516
OG0000144	STRK1_52920.1, STRK1_52940.1	FGIG_08902, FGIG_02070
OG0000145	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1	FGIG_06896
OG0000146	STRK1_86910.1	FGIG_01364
OG0000146	STRK1_53240.1	FGIG_07112
OG0000146	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3	FGIG_08174
OG0000146	STRK1_45220.1	FGIG_12116
OG0000147	STRK1_30920.1	FGIG_03610
OG0000148	STRK1_32430.1	FGIG_05123, FGIG_04713
OG0000149	STRK1_51730.1, STRK1_51730.2	FGIG_08710
OG0000151	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1	FGIG_00898
OG0000152	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3	FGIG_02196
OG0000153	STRK1_105080.1, STRK1_52110.1	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1	FGIG_01109
OG0000156	STRK1_18130.1	FGIG_01694
OG0000156	STRK1_18120.1	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	STRK1_65550.1	FGIG_01729
OG0000157	STRK1_40030.1	FGIG_07044, FGIG_07045
OG0000157	STRK1_90020.1, STRK1_90030.1	FGIG_03579
OG0000158	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4	FGIG_05975
OG0000159	STRK1_59740.1	FGIG_07564
OG0000160	STRK1_5090.1, STRK1_5070.1	FGIG_05715
OG0000161	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7	FGIG_08957
OG0000164	STRK1_60530.1	FGIG_12608, FGIG_03854
OG0000164	STRK1_73910.1	FGIG_01740
OG0000164	STRK1_55190.1	FGIG_10598
OG0000164	STRK1_29660.1	FGIG_05689
OG0000165	STRK1_63320.1	FGIG_03682
OG0000166	STRK1_84550.1	FGIG_04350
OG0000167	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2	FGIG_09630
OG0000169	STRK1_90390.1	FGIG_02219, FGIG_02221, FGIG_02220
OG0000170	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1	FGIG_11214, FGIG_11905, FGIG_00734
OG0000172	STRK1_3970.1	FGIG_02787, FGIG_02788
OG0000173	STRK1_80280.1	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	STRK1_39380.1, STRK1_39370.1, STRK1_39360.1, STRK1_39350.1	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352
OG0000176	STRK1_44100.1, STRK1_83020.1, STRK1_21670.1, STRK1_65730.1	FGIG_00685
OG0000177	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1	FGIG_04057, FGIG_04058
OG0000178	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2	FGIG_04370
OG0000179	STRK1_53790.1, STRK1_53800.1	FGIG_08795, FGIG_10380
OG0000180	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4, STRK1_79020.1, STRK1_104300.1	FGIG_12039
OG0000182	STRK1_55980.1	FGIG_02134
OG0000182	STRK1_36970.1	FGIG_00290
OG0000183	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2	FGIG_02622
OG0000184	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1	FGIG_03731
OG0000184	STRK1_49320.1	FGIG_03730
OG0000185	STRK1_34010.1	FGIG_07908
OG0000186	STRK1_70010.1	FGIG_00796
OG0000187	STRK1_46740.1	FGIG_10561, FGIG_02152
OG0000188	STRK1_31940.1	FGIG_03282
OG0000189	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7	FGIG_03464
OG0000190	STRK1_46160.1, STRK1_46160.2	FGIG_04440
OG0000191	STRK1_33090.1, STRK1_33020.1, STRK1_33020.2, STRK1_33020.3, STRK1_33080.1	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245
OG0000192	STRK1_64420.1	FGIG_06841, FGIG_06840
OG0000194	STRK1_74260.1	FGIG_07707
OG0000195	STRK1_50680.1, STRK1_50680.2	FGIG_08368
OG0000196	STRK1_2310.1, STRK1_87510.1	FGIG_11982, FGIG_03269
OG0000196	STRK1_11370.1	FGIG_11890
OG0000198	STRK1_5020.1	FGIG_00941
OG0000199	STRK1_31630.1, STRK1_31630.2	FGIG_03163
OG0000201	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2	FGIG_05120
OG0000202	STRK1_49150.1	FGIG_07192
OG0000203	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1	FGIG_08149
OG0000205	STRK1_2090.1	FGIG_02525
OG0000206	STRK1_35690.1, STRK1_35690.3, STRK1_35690.6, STRK1_35690.2, STRK1_35690.4, STRK1_35690.5	FGIG_03933
OG0000207	STRK1_36180.1, STRK1_36170.1	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073
OG0000208	STRK1_70670.1	FGIG_04764
OG0000209	STRK1_12090.7, STRK1_12090.2, STRK1_12090.3, STRK1_12090.4, STRK1_12090.5, STRK1_12090.6, STRK1_12090.1	FGIG_06233
OG0000210	STRK1_82570.1, STRK1_82570.2, STRK1_82580.1, STRK1_82590.1	FGIG_06835, FGIG_08667
OG0000211	STRK1_6370.1	FGIG_06875
OG0000212	STRK1_22730.1	FGIG_07429, FGIG_07428
OG0000213	STRK1_3000.1	FGIG_08575
OG0000214	STRK1_6400.1, STRK1_6400.2, STRK1_6400.5, STRK1_6400.4, STRK1_6400.3	FGIG_09344
OG0000217	STRK1_31410.1, STRK1_31420.1	FGIG_02317, FGIG_02318
OG0000218	STRK1_14420.1	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630
OG0000219	STRK1_61660.1	FGIG_07378
OG0000220	STRK1_96360.1, STRK1_75400.1, STRK1_75400.2	FGIG_07549
OG0000221	STRK1_9390.1, STRK1_9390.2	FGIG_04956, FGIG_04954, FGIG_08084
OG0000221	STRK1_17630.1	FGIG_02269
OG0000222	STRK1_72970.1, STRK1_72970.2	FGIG_00564
OG0000223	STRK1_9570.1	FGIG_00853
OG0000224	STRK1_3630.1, STRK1_3630.2, STRK1_3630.3	FGIG_01377, FGIG_01378
OG0000225	STRK1_17080.1	FGIG_02370, FGIG_02369
OG0000226	STRK1_110110.1, STRK1_111280.1, STRK1_36050.1	FGIG_02439, FGIG_12357
OG0000227	STRK1_105550.1, STRK1_67030.1	FGIG_04507, FGIG_04506
OG0000228	STRK1_37190.1	FGIG_04992
OG0000229	STRK1_57310.1, STRK1_57310.2	FGIG_10264, FGIG_05406, FGIG_12189
OG0000230	STRK1_64230.1, STRK1_64230.2	FGIG_06761, FGIG_06762
OG0000234	STRK1_32720.1, STRK1_100400.1, STRK1_100400.2	FGIG_01289
OG0000235	STRK1_16390.1, STRK1_16390.2	FGIG_07942, FGIG_02783, FGIG_02784
OG0000236	STRK1_48030.1	FGIG_05608
OG0000237	STRK1_46580.1, STRK1_46580.2	FGIG_06420
OG0000238	STRK1_33370.1	FGIG_07333
OG0000239	STRK1_25400.1, STRK1_82380.1, STRK1_96300.1, STRK1_111340.1, STRK1_82370.1	FGIG_07503, FGIG_08719
OG0000240	STRK1_36510.1, STRK1_36510.2	FGIG_10740, FGIG_10875
OG0000242	STRK1_7310.1	FGIG_01807
OG0000243	STRK1_15380.2, STRK1_15380.5, STRK1_15380.3, STRK1_15380.4, STRK1_15380.1	FGIG_00529, FGIG_00528
OG0000244	STRK1_5740.1	FGIG_11655, FGIG_00993
OG0000245	STRK1_2610.1, STRK1_2610.2, STRK1_2620.1	FGIG_01848
OG0000246	STRK1_110700.1	FGIG_06772
OG0000247	STRK1_6610.2, STRK1_6610.1, STRK1_6610.3, STRK1_96250.1	FGIG_09572
OG0000248	STRK1_62100.3, STRK1_62100.4, STRK1_62100.1, STRK1_62100.2	FGIG_10714
OG0000249	STRK1_3790.1	FGIG_11297
OG0000250	STRK1_38330.1, STRK1_99630.1, STRK1_99640.1	FGIG_12420, FGIG_11532
OG0000252	STRK1_41280.1, STRK1_41280.2	FGIG_01524
OG0000253	STRK1_4200.1	FGIG_02155
OG0000254	STRK1_8800.2, STRK1_8800.5, STRK1_8800.1, STRK1_8800.3, STRK1_8790.1, STRK1_8800.4	FGIG_02996
OG0000255	STRK1_27350.1	FGIG_03191
OG0000256	STRK1_43030.1, STRK1_43030.3, STRK1_43030.2	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257
OG0000257	STRK1_26610.1, STRK1_26610.2, STRK1_26610.3, STRK1_26610.4	FGIG_03641, FGIG_07534
OG0000259	STRK1_26930.1	FGIG_05764
OG0000260	STRK1_20550.1	FGIG_05885
OG0000261	STRK1_68260.4, STRK1_68260.2, STRK1_68260.1, STRK1_68260.3	FGIG_06157
OG0000262	STRK1_29090.1, STRK1_29090.2	FGIG_08811, FGIG_08810
OG0000263	STRK1_58480.1	FGIG_09258
OG0000264	STRK1_82020.1, STRK1_102900.1, STRK1_82030.1	FGIG_11442
OG0000264	STRK1_99780.1	FGIG_10736
OG0000266	STRK1_79410.1	FGIG_00212, FGIG_00213
OG0000267	STRK1_78620.1, STRK1_78620.2	FGIG_00498, FGIG_00260
OG0000268	STRK1_69760.1	FGIG_06620
OG0000268	STRK1_12970.1, STRK1_12950.1	FGIG_10234
OG0000269	STRK1_16300.1	FGIG_02813
OG0000270	STRK1_25920.1, STRK1_25920.5, STRK1_25920.6, STRK1_25920.2, STRK1_25920.3, STRK1_25920.4	FGIG_03740, FGIG_02883
OG0000271	STRK1_52250.1	FGIG_04146, FGIG_09915, FGIG_04147
OG0000272	STRK1_4830.1, STRK1_4830.2, STRK1_4830.4, STRK1_4830.3	FGIG_07493
OG0000273	STRK1_7040.1, STRK1_7050.1	FGIG_07763
OG0000274	STRK1_76560.5, STRK1_76560.3, STRK1_76560.4, STRK1_76560.1, STRK1_76560.2	FGIG_10372
OG0000275	STRK1_33550.1	FGIG_08245
OG0000276	STRK1_71710.1	FGIG_08474
OG0000277	STRK1_89530.1, STRK1_89530.2, STRK1_89530.3	FGIG_08916
OG0000281	STRK1_81070.1	FGIG_00516
OG0000281	STRK1_15090.1	FGIG_04239
OG0000281	STRK1_15770.1	FGIG_10083
OG0000282	STRK1_48760.1, STRK1_48760.2	FGIG_11572, FGIG_01087
OG0000283	STRK1_60510.1, STRK1_60510.2, STRK1_60500.1, STRK1_60950.1, STRK1_60960.1	FGIG_01798
OG0000284	STRK1_37300.1, STRK1_37300.2	FGIG_03458
OG0000285	STRK1_31040.1, STRK1_31040.2	FGIG_03702, FGIG_03701
OG0000286	STRK1_37690.1, STRK1_37650.3, STRK1_37650.1, STRK1_37650.2	FGIG_08247, FGIG_09211, FGIG_06296
OG0000287	STRK1_71740.1, STRK1_71740.2, STRK1_71740.3	FGIG_07559
OG0000288	STRK1_84080.1	FGIG_08415
OG0000289	STRK1_14180.1, STRK1_14180.3, STRK1_14180.2	FGIG_11097
OG0000290	STRK1_25340.1, STRK1_25340.2	FGIG_06528
OG0000290	STRK1_20740.1, STRK1_20740.2	FGIG_00121
OG0000291	STRK1_4320.1	FGIG_00724, FGIG_00726
OG0000292	STRK1_27610.3, STRK1_27610.6, STRK1_27610.5, STRK1_27610.1, STRK1_27610.2, STRK1_27610.4	FGIG_01340, FGIG_10382
OG0000293	STRK1_23670.1	FGIG_03259
OG0000293	STRK1_59880.1	FGIG_10208, FGIG_04594
OG0000293	STRK1_45510.1	FGIG_06127
OG0000294	STRK1_16350.1, STRK1_16350.2	FGIG_03314
OG0000295	STRK1_103260.1, STRK1_83870.1	FGIG_04922
OG0000296	STRK1_8690.2, STRK1_8690.4, STRK1_8690.9, STRK1_8690.10, STRK1_8690.5, STRK1_8690.7, STRK1_8690.6, STRK1_8690.8, STRK1_8700.1, STRK1_8690.1, STRK1_8690.3	FGIG_05009
OG0000297	STRK1_76660.1	FGIG_05203
OG0000298	STRK1_40640.1	FGIG_10124
OG0000298	STRK1_99160.1	FGIG_05892
OG0000299	STRK1_58170.1	FGIG_06707
OG0000300	STRK1_10620.1, STRK1_10620.2, STRK1_10620.3	FGIG_06727
OG0000301	STRK1_74980.1, STRK1_74980.2	FGIG_07052
OG0000302	STRK1_57360.1, STRK1_57360.2, STRK1_57360.3	FGIG_07305
OG0000303	STRK1_4940.1, STRK1_4940.2	FGIG_11626, FGIG_07919
OG0000304	STRK1_8000.1, STRK1_8000.2, STRK1_8000.3	FGIG_09605
OG0000305	STRK1_46100.1	FGIG_09613, FGIG_09611, FGIG_12612
OG0000306	STRK1_7470.1	FGIG_11983, FGIG_10527
OG0000307	STRK1_6030.1, STRK1_105410.1, STRK1_6020.1, STRK1_87110.1, STRK1_80540.1	FGIG_12478
OG0000311	STRK1_3950.1	FGIG_01279
OG0000312	STRK1_33980.1	FGIG_09661, FGIG_01495, FGIG_09662
OG0000313	STRK1_4880.1, STRK1_4880.2	FGIG_03443
OG0000314	STRK1_33380.1	FGIG_03632
OG0000315	STRK1_34570.1, STRK1_34570.2, STRK1_34570.3	FGIG_03911
OG0000315	STRK1_62060.1, STRK1_62060.2	FGIG_07353, FGIG_07352
OG0000316	STRK1_2600.4, STRK1_2600.2, STRK1_2600.3, STRK1_2600.1	FGIG_04659, FGIG_09851
OG0000317	STRK1_850.1	FGIG_05137
OG0000318	STRK1_50180.1, STRK1_50180.2	FGIG_05250
OG0000319	STRK1_35360.1, STRK1_35360.2, STRK1_35360.3	FGIG_06268, FGIG_06269
OG0000320	STRK1_18610.1	FGIG_02124
