Orthogroup	schistosoma_rodhaini	schistosoma_curassoni
OG0000008	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1	SCUR1_77710.1, SCUR1_29990.1, SCUR1_49650.1, SCUR1_80680.1, SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1, SCUR1_37630.1, SCUR1_37100.1, SCUR1_5320.1, SCUR1_41520.1, SCUR1_5950.1, SCUR1_43610.1, SCUR1_43390.1, SCUR1_8410.1, SCUR1_60040.1, SCUR1_10360.1, SCUR1_85460.1, SCUR1_99950.1, SCUR1_15000.1, SCUR1_32700.1, SCUR1_99360.1, SCUR1_41850.1, SCUR1_74150.1, SCUR1_5300.1, SCUR1_10070.1
OG0000008	SRDH2_91540.1, SRDH2_91540.2	SCUR1_53440.1
OG0000009	SRDH2_82870.1, SRDH2_36960.1, SRDH2_71930.1	SCUR1_23720.1, SCUR1_80140.1, SCUR1_21410.1, SCUR1_21410.2
OG0000009	SRDH2_19580.1, SRDH2_19570.1, SRDH2_42650.1, SRDH2_86450.1	SCUR1_51510.1
OG0000009	SRDH2_44870.1, SRDH2_28150.1, SRDH2_40630.1, SRDH2_79370.1, SRDH2_12230.1, SRDH2_19910.1	SCUR1_46810.1
OG0000009	SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1	SCUR1_40170.1
OG0000009	SRDH2_66450.1, SRDH2_33280.1	SCUR1_25210.1
OG0000009	SRDH2_65600.1	SCUR1_19860.1, SCUR1_47600.1
OG0000010	SRDH2_68580.2, SRDH2_68590.1	SCUR1_83150.1
OG0000010	SRDH2_8620.1, SRDH2_27680.1, SRDH2_34460.1, SRDH2_46180.2, SRDH2_46180.1, SRDH2_12260.1, SRDH2_32760.1, SRDH2_78420.1, SRDH2_46690.1, SRDH2_102330.1, SRDH2_58060.1, SRDH2_58060.3, SRDH2_58060.2, SRDH2_17270.1, SRDH2_56770.1, SRDH2_45730.1, SRDH2_32760.2, SRDH2_56760.1, SRDH2_1720.1, SRDH2_3580.1, SRDH2_3580.3, SRDH2_3580.2, SRDH2_3570.1, SRDH2_7950.1, SRDH2_34120.1, SRDH2_55000.1, SRDH2_93550.1	SCUR1_53870.1
OG0000012	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45
OG0000014	SRDH2_32020.13, SRDH2_32020.17, SRDH2_32020.23, SRDH2_32020.27	SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9
OG0000015	SRDH2_32040.2	SCUR1_38440.1
OG0000015	SRDH2_66330.1	SCUR1_65580.1
OG0000015	SRDH2_66340.1	SCUR1_65590.1
OG0000015	SRDH2_66340.1	SCUR1_65590.2
OG0000015	SRDH2_38560.1	SCUR1_38610.1
OG0000015	SRDH2_38570.1	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3, SCUR1_38620.4
OG0000015	SRDH2_38590.1	SCUR1_38640.1
OG0000015	SRDH2_43900.1	SCUR1_43800.1
OG0000015	SRDH2_43070.1, SRDH2_43080.1	SCUR1_42920.1
OG0000015	SRDH2_43060.1	SCUR1_42930.1
OG0000015	SRDH2_43100.1	SCUR1_42960.2
OG0000016	SRDH2_73930.1, SRDH2_87840.1, SRDH2_66850.1, SRDH2_63280.1, SRDH2_70470.1, SRDH2_57480.1, SRDH2_90410.1, SRDH2_43490.1	SCUR1_88550.1
OG0000018	SRDH2_71230.4, SRDH2_56830.5, SRDH2_56830.3, SRDH2_56830.7, SRDH2_71230.3, SRDH2_56830.1, SRDH2_56830.2, SRDH2_56830.8, SRDH2_71230.1, SRDH2_71230.2, SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6, SRDH2_58370.1, SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1	SCUR1_11690.4, SCUR1_11690.1, SCUR1_11690.2, SCUR1_11690.3, SCUR1_11690.5, SCUR1_11690.6, SCUR1_11690.7, SCUR1_29330.1, SCUR1_80280.1, SCUR1_80280.3, SCUR1_80280.5, SCUR1_80280.4, SCUR1_80270.1, SCUR1_80280.2, SCUR1_42320.1
OG0000019	SRDH2_34300.1	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2
OG0000019	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000020	SRDH2_95300.1, SRDH2_95200.4, SRDH2_95200.5, SRDH2_95200.3, SRDH2_95200.9, SRDH2_95200.1, SRDH2_95200.2, SRDH2_95200.6, SRDH2_95200.8, SRDH2_95280.1, SRDH2_95200.7	SCUR1_90860.1, SCUR1_90600.2, SCUR1_90600.5, SCUR1_90600.6, SCUR1_90600.1, SCUR1_90600.3, SCUR1_90600.4
OG0000021	SRDH2_8550.1	SCUR1_8230.1
OG0000021	SRDH2_5890.1	SCUR1_5850.1
OG0000021	SRDH2_5900.1	SCUR1_5860.1, SCUR1_5860.2, SCUR1_5860.5, SCUR1_5860.3, SCUR1_5860.4
OG0000021	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3, SCUR1_5820.4
OG0000021	SRDH2_102090.1, SRDH2_5880.1	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3
OG0000021	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2, SCUR1_5810.1
OG0000022	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
OG0000023	SRDH2_63600.1, SRDH2_97530.1, SRDH2_84480.1, SRDH2_85020.1, SRDH2_39760.1	SCUR1_83970.1
OG0000024	SRDH2_24010.1	SCUR1_23660.1
OG0000024	SRDH2_94350.1	SCUR1_90210.1
OG0000024	SRDH2_67860.1	SCUR1_64030.1
OG0000024	SRDH2_82380.1	SCUR1_79670.1
OG0000024	SRDH2_82370.1	SCUR1_79660.2
OG0000026	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6	SCUR1_79090.1
OG0000026	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7	SCUR1_71450.1
OG0000026	SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6	SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3
OG0000027	SRDH2_40180.2, SRDH2_40180.4, SRDH2_40180.5, SRDH2_40180.1	SCUR1_40200.1
OG0000028	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5
OG0000029	SRDH2_58920.1	SCUR1_99660.1
OG0000029	SRDH2_90020.1	SCUR1_86440.1
OG0000029	SRDH2_90050.1	SCUR1_86010.1
OG0000029	SRDH2_20870.1	SCUR1_20790.1
OG0000029	SRDH2_91070.1	SCUR1_86960.1
OG0000030	SRDH2_6780.1	SCUR1_6670.1
OG0000031	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12
OG0000032	SRDH2_10690.1	SCUR1_10300.1
OG0000032	SRDH2_58770.1, SRDH2_58770.3, SRDH2_58770.2	SCUR1_57440.1
OG0000032	SRDH2_23570.1	SCUR1_9500.1
OG0000032	SRDH2_81680.2, SRDH2_81690.1	SCUR1_79130.1
OG0000032	SRDH2_81680.1	SCUR1_79130.2
OG0000032	SRDH2_81680.1	SCUR1_79130.3
OG0000033	SRDH2_3900.1, SRDH2_71180.1, SRDH2_77620.1, SRDH2_19830.1, SRDH2_64110.1, SRDH2_56370.1, SRDH2_56780.1, SRDH2_79100.1, SRDH2_57970.1, SRDH2_50980.1, SRDH2_6620.1, SRDH2_101130.1, SRDH2_100490.1, SRDH2_101140.1, SRDH2_101160.1, SRDH2_101170.1, SRDH2_38350.1, SRDH2_15490.1, SRDH2_5580.1, SRDH2_37170.1, SRDH2_42520.1	SCUR1_53450.1, SCUR1_37110.1, SCUR1_41840.1, SCUR1_8400.1, SCUR1_21110.1, SCUR1_31600.1, SCUR1_76470.1, SCUR1_14010.1, SCUR1_46040.1, SCUR1_35190.1, SCUR1_10560.1, SCUR1_31920.1, SCUR1_37620.1, SCUR1_3270.1, SCUR1_93810.1, SCUR1_27970.1, SCUR1_84970.1, SCUR1_4270.1, SCUR1_76530.1, SCUR1_30900.1, SCUR1_53660.1, SCUR1_83210.1, SCUR1_1750.1, SCUR1_18840.1
OG0000034	SRDH2_94750.1	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3
OG0000034	SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1	SCUR1_90440.1, SCUR1_90430.1
OG0000034	SRDH2_58720.1, SRDH2_58700.1	SCUR1_57480.1, SCUR1_57500.1, SCUR1_57520.1, SCUR1_95610.1
OG0000034	SRDH2_58680.1, SRDH2_58640.1	SCUR1_57550.1, SCUR1_57380.1, SCUR1_95620.1, SCUR1_57530.1, SCUR1_57580.1
OG0000035	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10	SCUR1_14970.1
OG0000037	SRDH2_61520.1	SCUR1_59650.1, SCUR1_59730.1
OG0000037	SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14	SCUR1_59780.2, SCUR1_59790.1, SCUR1_100280.1, SCUR1_95090.4, SCUR1_95090.1, SCUR1_95090.2, SCUR1_95090.3, SCUR1_95090.5, SCUR1_95090.6
OG0000038	SRDH2_68580.1, SRDH2_67930.1, SRDH2_47830.1, SRDH2_83970.1, SRDH2_90160.1, SRDH2_50090.1, SRDH2_101350.1, SRDH2_7630.1, SRDH2_78250.1, SRDH2_78250.2, SRDH2_83380.1, SRDH2_98050.1, SRDH2_17960.1, SRDH2_36860.1, SRDH2_17960.2, SRDH2_36860.2, SRDH2_7890.1, SRDH2_36860.3, SRDH2_84340.1, SRDH2_22660.1, SRDH2_7900.1, SRDH2_19300.1, SRDH2_100200.1, SRDH2_100200.2, SRDH2_28680.1, SRDH2_15040.1, SRDH2_101330.1, SRDH2_43890.1, SRDH2_16780.1	SCUR1_12660.1, SCUR1_95150.1
OG0000040	SRDH2_53910.2, SRDH2_53910.7, SRDH2_53910.8, SRDH2_53910.11, SRDH2_53910.18, SRDH2_53910.12, SRDH2_53910.16, SRDH2_53910.3, SRDH2_53910.5, SRDH2_53910.6, SRDH2_53920.1, SRDH2_53910.19, SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9	SCUR1_52110.3, SCUR1_52110.1, SCUR1_52110.9, SCUR1_52110.25, SCUR1_52110.29, SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21, SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28
OG0000042	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4	SCUR1_40080.1
OG0000042	SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3	SCUR1_40070.1
OG0000042	SRDH2_40000.1	SCUR1_40040.1
OG0000042	SRDH2_101250.1	SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1
OG0000042	SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2	SCUR1_40050.2
OG0000043	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4	SCUR1_27760.11, SCUR1_27760.1, SCUR1_27760.4, SCUR1_27760.6, SCUR1_27760.10, SCUR1_27760.13, SCUR1_27760.5, SCUR1_27760.9, SCUR1_27760.3, SCUR1_27760.2, SCUR1_27760.12, SCUR1_27760.14, SCUR1_27760.7, SCUR1_27760.8
OG0000044	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8	SCUR1_84690.1, SCUR1_84700.1
OG0000044	SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8	SCUR1_84760.1, SCUR1_84760.2, SCUR1_84760.3, SCUR1_84750.1, SCUR1_84720.3, SCUR1_84720.4, SCUR1_84720.2, SCUR1_84720.1
OG0000044	SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3	SCUR1_84780.2, SCUR1_98900.1, SCUR1_84780.1, SCUR1_98900.2
OG0000045	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2	SCUR1_10540.1, SCUR1_10540.3, SCUR1_10540.4, SCUR1_10540.5, SCUR1_10540.2, SCUR1_10540.6
OG0000046	SRDH2_9900.1, SRDH2_102580.1, SRDH2_82820.1, SRDH2_97800.1, SRDH2_83880.1, SRDH2_84180.1	SCUR1_29330.2, SCUR1_29330.3, SCUR1_29330.4, SCUR1_29330.5, SCUR1_29330.6, SCUR1_28260.1, SCUR1_28260.2, SCUR1_28260.3
OG0000048	SRDH2_101650.1, SRDH2_58870.1	SCUR1_99330.1, SCUR1_99330.2, SCUR1_99780.1
OG0000049	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5, SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4	SCUR1_69140.1, SCUR1_69140.2, SCUR1_69140.4, SCUR1_69140.3
OG0000049	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2	SCUR1_72710.1, SCUR1_72710.2, SCUR1_72710.6, SCUR1_72710.3, SCUR1_72710.5, SCUR1_72710.4
OG0000050	SRDH2_54600.1, SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9	SCUR1_53670.4, SCUR1_53670.1, SCUR1_53670.2, SCUR1_53670.3, SCUR1_53710.1
