Orthogroup	schistosoma_rodhaini	fasciola_gigantica
OG0000026	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7, SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	SRDH2_40180.2, SRDH2_40180.4, SRDH2_40180.5, SRDH2_40180.1, SRDH2_40180.3	FGIG_03818
OG0000028	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	SRDH2_58920.1	FGIG_01225
OG0000029	SRDH2_90020.1	FGIG_12390, FGIG_07520
OG0000029	SRDH2_20870.1	FGIG_04785
OG0000029	SRDH2_91070.1, SRDH2_91060.1	FGIG_11109
OG0000030	SRDH2_6780.1	FGIG_03562
OG0000031	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5	FGIG_00219, FGIG_09645
OG0000032	SRDH2_23570.1	FGIG_12135
OG0000034	SRDH2_94750.1, SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1, SRDH2_58720.1, SRDH2_58700.1, SRDH2_58680.1, SRDH2_58640.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10	FGIG_03979, FGIG_03980
OG0000037	SRDH2_61520.1, SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14	FGIG_03131, FGIG_03132
OG0000040	SRDH2_53910.2, SRDH2_53910.7, SRDH2_53910.8, SRDH2_53910.11, SRDH2_53910.18, SRDH2_53910.12, SRDH2_53910.16, SRDH2_53910.3, SRDH2_53910.5, SRDH2_53910.6, SRDH2_53920.1, SRDH2_53910.19, SRDH2_53910.4, SRDH2_53910.13, SRDH2_53910.15, SRDH2_53910.14, SRDH2_53910.1, SRDH2_53910.17, SRDH2_53910.10, SRDH2_53910.9	FGIG_07013
OG0000042	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4, SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3, SRDH2_40000.1, SRDH2_101250.1, SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2	FGIG_05270
OG0000043	SRDH2_28130.13, SRDH2_28130.11, SRDH2_28130.9, SRDH2_28130.2, SRDH2_28130.5, SRDH2_28130.6, SRDH2_28130.10, SRDH2_28130.7, SRDH2_28130.8, SRDH2_28130.12, SRDH2_28130.14, SRDH2_28130.15, SRDH2_28130.1, SRDH2_28130.3, SRDH2_28130.4	FGIG_08366
OG0000044	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8, SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8, SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3	FGIG_02910, FGIG_04537, FGIG_03293
OG0000045	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2	FGIG_12527
OG0000049	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5, SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4	FGIG_07932, FGIG_00477
OG0000049	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2	FGIG_06077
OG0000050	SRDH2_54600.1, SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	SRDH2_29050.1	FGIG_00994
OG0000052	SRDH2_3320.1	FGIG_02824
OG0000052	SRDH2_930.1	FGIG_00846
OG0000052	SRDH2_1740.1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	SRDH2_69180.1	FGIG_04502, FGIG_12676
OG0000053	SRDH2_18960.11, SRDH2_18960.7, SRDH2_18960.1, SRDH2_18960.10, SRDH2_18960.3, SRDH2_18960.4, SRDH2_18960.6, SRDH2_18960.8, SRDH2_18960.9, SRDH2_18960.2, SRDH2_18960.5	FGIG_08393, FGIG_12440
OG0000054	SRDH2_41060.1, SRDH2_34600.1, SRDH2_94410.1, SRDH2_94400.1, SRDH2_94410.2, SRDH2_46330.1, SRDH2_46330.2, SRDH2_46330.3, SRDH2_46330.4, SRDH2_46330.5, SRDH2_80260.1, SRDH2_91570.1, SRDH2_91570.2, SRDH2_91570.3, SRDH2_91570.4, SRDH2_84440.1, SRDH2_49560.1, SRDH2_49560.2, SRDH2_49560.3, SRDH2_49560.4, SRDH2_49560.5, SRDH2_49560.6, SRDH2_12950.1	FGIG_06834, FGIG_00432, FGIG_05300, FGIG_12516
OG0000055	SRDH2_71170.14, SRDH2_71170.2, SRDH2_71170.3, SRDH2_71170.11, SRDH2_71170.16, SRDH2_71170.13, SRDH2_71170.4, SRDH2_71170.5, SRDH2_71170.6, SRDH2_71170.17, SRDH2_71170.23, SRDH2_71170.21, SRDH2_71190.1, SRDH2_71170.1, SRDH2_71170.10, SRDH2_71170.12, SRDH2_71170.15, SRDH2_71170.19, SRDH2_71170.7, SRDH2_71170.8, SRDH2_71170.9, SRDH2_71170.22, SRDH2_71170.18, SRDH2_71170.20	FGIG_03285, FGIG_05988
OG0000058	SRDH2_92580.1	FGIG_11220
OG0000058	SRDH2_82490.2, SRDH2_82490.8, SRDH2_82490.1, SRDH2_82490.3, SRDH2_82490.4, SRDH2_82490.5, SRDH2_82490.6, SRDH2_82490.7, SRDH2_82490.9	FGIG_06708
OG0000058	SRDH2_82530.1, SRDH2_82530.2, SRDH2_82530.3, SRDH2_82530.4, SRDH2_82480.1, SRDH2_82480.2	FGIG_00649
OG0000060	SRDH2_65910.12, SRDH2_65910.5, SRDH2_65910.2, SRDH2_65910.13, SRDH2_65910.15, SRDH2_65910.14, SRDH2_65910.4, SRDH2_65910.18, SRDH2_65910.7, SRDH2_65910.1, SRDH2_65910.10, SRDH2_65910.17, SRDH2_65910.8, SRDH2_65910.3, SRDH2_65910.6, SRDH2_65910.11, SRDH2_65910.19, SRDH2_65910.20, SRDH2_65910.21, SRDH2_65910.16, SRDH2_65910.9	FGIG_07684
OG0000061	SRDH2_53440.17, SRDH2_53440.18, SRDH2_53440.1, SRDH2_53440.13, SRDH2_53440.6, SRDH2_53440.7, SRDH2_53440.15, SRDH2_53440.10, SRDH2_53440.9, SRDH2_53440.14, SRDH2_53440.16, SRDH2_53440.5, SRDH2_53440.8, SRDH2_53440.3, SRDH2_53440.11, SRDH2_53440.12, SRDH2_53440.2, SRDH2_53440.4	FGIG_09986
OG0000062	SRDH2_6280.19, SRDH2_6280.20, SRDH2_6280.5, SRDH2_6280.11, SRDH2_6280.17, SRDH2_6280.3, SRDH2_6280.10, SRDH2_6280.12, SRDH2_6280.15, SRDH2_6280.16, SRDH2_6280.18, SRDH2_6280.9, SRDH2_6280.2, SRDH2_6280.21, SRDH2_6280.25, SRDH2_6280.6, SRDH2_6280.8, SRDH2_6280.28, SRDH2_6280.1, SRDH2_6280.13, SRDH2_6280.22, SRDH2_6280.24, SRDH2_6280.26, SRDH2_6280.4, SRDH2_6280.7, SRDH2_6280.14, SRDH2_6280.23, SRDH2_6280.27	FGIG_00991
OG0000063	SRDH2_39560.39, SRDH2_39560.18, SRDH2_39560.34, SRDH2_39560.38, SRDH2_39560.26, SRDH2_39560.15, SRDH2_39560.32, SRDH2_39560.16, SRDH2_39560.21, SRDH2_39560.30, SRDH2_39560.36, SRDH2_39560.17, SRDH2_39560.28, SRDH2_39560.5, SRDH2_39560.42, SRDH2_39560.43, SRDH2_39560.48, SRDH2_39560.49, SRDH2_39560.47, SRDH2_39560.45, SRDH2_39560.1, SRDH2_39560.12, SRDH2_39560.14, SRDH2_39560.22, SRDH2_39560.23, SRDH2_39560.24, SRDH2_39560.29, SRDH2_39560.3, SRDH2_39560.10, SRDH2_39560.9, SRDH2_39560.8, SRDH2_39560.50, SRDH2_39560.11, SRDH2_39560.2, SRDH2_39560.13, SRDH2_39560.25, SRDH2_39560.27, SRDH2_39560.19, SRDH2_39560.31, SRDH2_39560.46	FGIG_03231
OG0000064	SRDH2_4280.5, SRDH2_4280.4, SRDH2_4280.2, SRDH2_4280.6, SRDH2_4280.1, SRDH2_4280.3	FGIG_12411, FGIG_06602
OG0000065	SRDH2_23650.1, SRDH2_101090.2, SRDH2_101090.1, SRDH2_101090.3, SRDH2_23750.1, SRDH2_101080.1, SRDH2_101080.2, SRDH2_101070.1, SRDH2_23740.1	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	SRDH2_37830.1	FGIG_00170
OG0000067	SRDH2_68550.1	FGIG_02840, FGIG_02842
OG0000068	SRDH2_54770.2, SRDH2_54770.1	FGIG_12158
OG0000068	SRDH2_97980.1	FGIG_12079
OG0000068	SRDH2_34150.1, SRDH2_34160.1	FGIG_07351
OG0000068	SRDH2_29100.2, SRDH2_29100.1	FGIG_05814
OG0000069	SRDH2_20980.10, SRDH2_20980.5, SRDH2_20980.4, SRDH2_20980.1, SRDH2_20980.3, SRDH2_20980.6, SRDH2_20980.7, SRDH2_20980.8, SRDH2_20980.11, SRDH2_20980.9, SRDH2_20980.2	FGIG_12680, FGIG_06996
OG0000070	SRDH2_44020.5, SRDH2_44020.10, SRDH2_44020.4, SRDH2_44020.9, SRDH2_44020.11, SRDH2_44020.14, SRDH2_44020.16, SRDH2_44020.17, SRDH2_44020.6, SRDH2_44020.2, SRDH2_44020.7, SRDH2_44020.8, SRDH2_44020.1, SRDH2_44020.3, SRDH2_44020.12, SRDH2_44020.15, SRDH2_44020.13	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	SRDH2_36110.10, SRDH2_36110.12, SRDH2_36110.13, SRDH2_36110.8, SRDH2_36110.14, SRDH2_36110.15, SRDH2_36110.5, SRDH2_36110.6, SRDH2_36110.11, SRDH2_36110.4, SRDH2_36110.9, SRDH2_36110.7, SRDH2_36110.1, SRDH2_36110.2, SRDH2_36110.3	FGIG_07065, FGIG_07067
OG0000072	SRDH2_93200.7, SRDH2_93200.5, SRDH2_93200.8, SRDH2_93200.6, SRDH2_93200.1, SRDH2_93200.2, SRDH2_93200.4, SRDH2_93200.3	FGIG_06022, FGIG_09056
OG0000073	SRDH2_56360.1, SRDH2_56360.3, SRDH2_56360.2, SRDH2_56490.2, SRDH2_56490.1, SRDH2_56490.3, SRDH2_56490.4, SRDH2_56490.5, SRDH2_56490.6	FGIG_05759
OG0000074	SRDH2_1300.2, SRDH2_1300.1	FGIG_06125
OG0000074	SRDH2_90830.2, SRDH2_90830.1	FGIG_03273
OG0000074	SRDH2_90930.1	FGIG_01338
OG0000075	SRDH2_35860.1, SRDH2_35860.16, SRDH2_35860.18, SRDH2_35860.19, SRDH2_35860.20, SRDH2_35860.5, SRDH2_35860.6, SRDH2_35860.7, SRDH2_35860.8, SRDH2_35860.13, SRDH2_35860.11, SRDH2_35860.2, SRDH2_35860.4, SRDH2_35860.14, SRDH2_35860.3, SRDH2_35860.10, SRDH2_35860.15, SRDH2_35860.17, SRDH2_35860.9, SRDH2_35860.12	FGIG_05387
OG0000076	SRDH2_91960.1	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	SRDH2_3980.1, SRDH2_3980.3, SRDH2_3980.4, SRDH2_3980.2, SRDH2_3980.8, SRDH2_3980.5, SRDH2_3980.6, SRDH2_3980.7	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	SRDH2_11180.19, SRDH2_11180.22, SRDH2_11180.30, SRDH2_11180.2, SRDH2_11180.29, SRDH2_11180.1, SRDH2_11180.13, SRDH2_11180.14, SRDH2_11180.15, SRDH2_11180.16, SRDH2_11180.18, SRDH2_11180.5, SRDH2_11180.6, SRDH2_11180.9, SRDH2_11180.26, SRDH2_11180.31, SRDH2_11180.28, SRDH2_11180.10, SRDH2_11180.17, SRDH2_11180.3, SRDH2_11180.12, SRDH2_11180.20, SRDH2_11180.21, SRDH2_11180.4, SRDH2_11180.8, SRDH2_11180.7	FGIG_09054
OG0000078	SRDH2_5620.2, SRDH2_5620.3, SRDH2_5620.5, SRDH2_5620.7, SRDH2_5620.4, SRDH2_5620.1, SRDH2_5620.6, SRDH2_5620.8, SRDH2_5620.10, SRDH2_5620.9, SRDH2_5620.11	FGIG_04314
OG0000079	SRDH2_31040.1	FGIG_07135, FGIG_07136
OG0000079	SRDH2_54820.1	FGIG_05069, FGIG_05070
OG0000080	SRDH2_44420.7, SRDH2_44420.4, SRDH2_44420.6, SRDH2_44420.5, SRDH2_44420.9, SRDH2_44420.2, SRDH2_44420.3, SRDH2_44420.1, SRDH2_44420.8	FGIG_03532
OG0000081	SRDH2_91410.1, SRDH2_47730.1, SRDH2_91400.1, SRDH2_68250.1, SRDH2_8130.1, SRDH2_100000.1, SRDH2_29680.1, SRDH2_98380.1, SRDH2_53780.1, SRDH2_65010.1, SRDH2_50660.1, SRDH2_42050.1, SRDH2_100330.1, SRDH2_20650.1	FGIG_05277, FGIG_11514
OG0000082	SRDH2_10780.11, SRDH2_10780.12, SRDH2_10780.13, SRDH2_10780.15, SRDH2_10780.18, SRDH2_10780.4, SRDH2_10780.9, SRDH2_10780.7, SRDH2_10780.1, SRDH2_10780.10, SRDH2_10780.14, SRDH2_10780.2, SRDH2_10780.3, SRDH2_10780.5, SRDH2_10780.6, SRDH2_10780.8, SRDH2_10780.16, SRDH2_10780.17	FGIG_06461
OG0000085	SRDH2_34030.12, SRDH2_34030.16, SRDH2_34030.20, SRDH2_34030.21, SRDH2_34030.1, SRDH2_34030.10, SRDH2_34030.11, SRDH2_34030.13, SRDH2_34030.14, SRDH2_34030.17, SRDH2_34030.2, SRDH2_34030.23, SRDH2_34030.6, SRDH2_34030.7, SRDH2_34030.8, SRDH2_34030.9, SRDH2_34030.4, SRDH2_34030.15, SRDH2_34030.18, SRDH2_34030.19, SRDH2_34030.22, SRDH2_34030.3, SRDH2_34030.5, SRDH2_34030.24	FGIG_06241
OG0000086	SRDH2_75060.1, SRDH2_75060.3, SRDH2_75060.9, SRDH2_75060.12, SRDH2_75060.14, SRDH2_75060.15, SRDH2_75060.13, SRDH2_75060.16, SRDH2_75060.5, SRDH2_75060.8, SRDH2_75060.10, SRDH2_75060.11, SRDH2_75060.7, SRDH2_75060.17, SRDH2_75060.2, SRDH2_75060.4, SRDH2_75060.6	FGIG_09371
OG0000087	SRDH2_53130.2, SRDH2_53130.4, SRDH2_53130.3, SRDH2_53130.7, SRDH2_53130.6, SRDH2_53130.1, SRDH2_53130.5	FGIG_03026
OG0000088	SRDH2_3180.1, SRDH2_3170.1, SRDH2_3170.2, SRDH2_3170.3	FGIG_14005, FGIG_05150
OG0000090	SRDH2_50750.1, SRDH2_50750.4, SRDH2_50750.7, SRDH2_50750.6, SRDH2_50750.10, SRDH2_50750.3, SRDH2_50750.8, SRDH2_50750.9, SRDH2_50750.2, SRDH2_50750.5	FGIG_01258
OG0000091	SRDH2_48630.15, SRDH2_48630.4, SRDH2_48630.14, SRDH2_48630.2, SRDH2_48630.9, SRDH2_48630.6, SRDH2_48630.7, SRDH2_48630.8, SRDH2_48630.3, SRDH2_48630.11, SRDH2_48630.16, SRDH2_48630.1, SRDH2_48630.5, SRDH2_48630.12, SRDH2_48630.10, SRDH2_48630.13	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	SRDH2_2270.6, SRDH2_2270.2, SRDH2_2270.1, SRDH2_2270.3, SRDH2_2270.4, SRDH2_2270.5	FGIG_06562
OG0000092	SRDH2_15150.2, SRDH2_15150.6, SRDH2_15150.1, SRDH2_15150.3, SRDH2_15150.4, SRDH2_15150.5	FGIG_11548
OG0000093	SRDH2_40310.1	FGIG_04003
OG0000093	SRDH2_100050.3, SRDH2_100060.1, SRDH2_100050.2, SRDH2_100040.1, SRDH2_100050.1	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	SRDH2_8770.1, SRDH2_8770.2, SRDH2_8770.3, SRDH2_8770.4, SRDH2_8770.5, SRDH2_8770.8, SRDH2_8770.9, SRDH2_8770.7, SRDH2_8770.6	FGIG_00948
OG0000095	SRDH2_63030.1, SRDH2_63030.4, SRDH2_63030.5, SRDH2_63030.6, SRDH2_63030.11, SRDH2_63030.8, SRDH2_63030.9, SRDH2_63030.10, SRDH2_63030.7, SRDH2_63030.2, SRDH2_63030.3	FGIG_01883
OG0000096	SRDH2_32910.7, SRDH2_32910.12, SRDH2_32910.3, SRDH2_32910.9, SRDH2_32910.11, SRDH2_32910.13, SRDH2_32910.10, SRDH2_32910.8, SRDH2_32910.4, SRDH2_32910.2, SRDH2_32910.1, SRDH2_32910.5, SRDH2_32910.6	FGIG_03065
OG0000097	SRDH2_7020.2, SRDH2_7020.1, SRDH2_7020.3, SRDH2_7020.4, SRDH2_7020.5	FGIG_06823
OG0000098	SRDH2_41370.1	FGIG_08056
OG0000098	SRDH2_69360.12, SRDH2_69360.9, SRDH2_69360.13, SRDH2_69360.11, SRDH2_69360.14, SRDH2_69360.6, SRDH2_69360.7, SRDH2_69360.2, SRDH2_69360.5, SRDH2_69360.1, SRDH2_69360.4, SRDH2_69360.3, SRDH2_69360.10, SRDH2_69360.8	FGIG_08009
OG0000099	SRDH2_68410.6, SRDH2_68410.4, SRDH2_68410.7, SRDH2_68410.2, SRDH2_68410.1, SRDH2_68410.5, SRDH2_68410.3	FGIG_01162
OG0000099	SRDH2_73740.1	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	SRDH2_6050.1	FGIG_11657
OG0000102	SRDH2_60210.6, SRDH2_60210.4, SRDH2_60210.7, SRDH2_60210.1, SRDH2_60210.2, SRDH2_60210.3, SRDH2_60210.5	FGIG_04726, FGIG_06854
OG0000103	SRDH2_76030.13, SRDH2_76030.6, SRDH2_76030.11, SRDH2_76030.14, SRDH2_76030.15, SRDH2_76030.16, SRDH2_76030.5, SRDH2_76030.17, SRDH2_76030.3, SRDH2_76030.18, SRDH2_76030.1, SRDH2_76030.8, SRDH2_76030.9, SRDH2_76030.19, SRDH2_76030.4, SRDH2_76030.12, SRDH2_76030.10, SRDH2_76030.2, SRDH2_76030.7	FGIG_06145, FGIG_13990
OG0000104	SRDH2_6230.1, SRDH2_6200.1, SRDH2_6200.16, SRDH2_6200.17, SRDH2_6200.2, SRDH2_6200.3, SRDH2_6200.4, SRDH2_6200.5, SRDH2_6200.7, SRDH2_6200.8, SRDH2_6200.15, SRDH2_6200.13, SRDH2_6200.14, SRDH2_6200.10, SRDH2_6200.11, SRDH2_6200.12, SRDH2_6200.9, SRDH2_6200.6	FGIG_08148
OG0000105	SRDH2_7880.13, SRDH2_7910.4, SRDH2_7880.1, SRDH2_7880.10, SRDH2_7880.11, SRDH2_7880.19, SRDH2_7880.4, SRDH2_7880.5, SRDH2_7880.6, SRDH2_7880.7, SRDH2_7880.8, SRDH2_7880.9, SRDH2_7880.15, SRDH2_7880.12, SRDH2_7880.17, SRDH2_7880.16, SRDH2_7880.14, SRDH2_7880.18, SRDH2_7880.3, SRDH2_7880.2, SRDH2_7910.1, SRDH2_7910.3, SRDH2_7910.2	FGIG_00113, FGIG_06918
OG0000108	SRDH2_8600.10, SRDH2_8600.11, SRDH2_8600.12, SRDH2_8600.13, SRDH2_8600.9, SRDH2_8600.7, SRDH2_8600.3, SRDH2_8600.2, SRDH2_8600.5, SRDH2_8600.6, SRDH2_8600.4, SRDH2_8600.8, SRDH2_8600.1	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	SRDH2_30270.1, SRDH2_30240.1	FGIG_03667
OG0000110	SRDH2_30280.1	FGIG_10562
OG0000110	SRDH2_30290.3, SRDH2_30290.1, SRDH2_30290.2	FGIG_06603
OG0000111	SRDH2_41480.1	FGIG_04030
OG0000111	SRDH2_54050.1	FGIG_03777
OG0000111	SRDH2_31560.1	FGIG_04347
OG0000112	SRDH2_86040.1	FGIG_09308, FGIG_06819
OG0000114	SRDH2_97870.1, SRDH2_97870.2, SRDH2_97870.3, SRDH2_97870.4, SRDH2_97870.5, SRDH2_97870.6, SRDH2_97870.7	FGIG_00156
