Orthogroup	s.mekongi	fasciola_hepatica
OG0000009	KAK4472212.1	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1
OG0000012	KAK4473632.1	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
OG0000014	KAK4473936.1	FhHiC23_g14469.t1
OG0000015	KAK4473938.1	FhHiC23_g14476.t1
OG0000015	KAK4471448.1	FhHiC23_g13988.t1, FhHiC23_g13993.t1
OG0000015	KAK4473954.1, KAK4473955.1	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1
OG0000015	KAK4467362.1, KAK4467363.1	FhHiC23_g14206.t1
OG0000015	KAK4474356.1	FhHiC23_g14628.t1, FhHiC23_g13668.t1, FhHiC23_g13669.t1
OG0000016	KAK4472342.1	FhHiC23_g8492.t1, FhHiC23_g7639.t1
OG0000019	KAK4473983.1, KAK4473981.1	FhHiC23_g5935.t1, FhHiC23_g5936.t1
OG0000021	KAK4475891.1	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	KAK4473037.1	FhHiC23_g10034.t1, FhHiC23_g10034.t2
OG0000023	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1	FhHiC23_g2807.t1, FhHiC23_g14990.t1
OG0000023	KAK4468392.1	FhHiC23_g8211.t1, FhHiC23_g8056.t1, FhHiC23_g497.t1, FhHiC23_g15906.t1
OG0000023	KAK4467238.1, KAK4471048.1, KAK4468391.1	FhHiC23_g1952.t1
OG0000024	KAK4473313.1	FhHiC23_g8663.t1
OG0000024	KAK4468456.1	FhHiC23_g1523.t1
OG0000024	KAK4471475.1	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000026	KAK4470973.1	FhHiC23_g1282.t1
OG0000026	KAK4470239.1, KAK4470240.1, KAK4470216.1	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000027	KAK4473677.1, KAK4472147.1	FhHiC23_g5213.t1
OG0000028	KAK4470768.1	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1
OG0000029	KAK4471130.1	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	KAK4468717.1	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1
OG0000029	KAK4468699.1, KAK4468698.1	FhHiC23_g16496.t1
OG0000030	KAK4476063.1	FhHiC23_g11202.t1
OG0000031	KAK4475389.1	FhHiC23_g15305.t1
OG0000032	KAK4470045.1	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1
OG0000034	KAK4468479.1, KAK4468478.1, KAK4471028.1, KAK4471029.1	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1
OG0000035	KAK4475274.1	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3
OG0000036	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1
OG0000036	KAK4472143.1, KAK4472173.1, KAK4474228.1, KAK4474291.1, KAK4467477.1, KAK4471065.1, KAK4474306.1, KAK4472149.1, KAK4470022.1, KAK4471041.1, KAK4474305.1, KAK4474277.1, KAK4469008.1, KAK4471073.1, KAK4471076.1, KAK4474227.1, KAK4471072.1, KAK4470050.1	FhHiC23_g12971.t1, FhHiC23_g9258.t1
OG0000037	KAK4471851.1, KAK4471850.1	FhHiC23_g6871.t1
OG0000042	KAK4472150.1, KAK4472153.1, KAK4473688.1, KAK4472151.1, KAK4472152.1	FhHiC23_g15459.t1
OG0000044	KAK4468903.1, KAK4468904.1	FhHiC23_g1755.t1
OG0000045	KAK4468037.1, KAK4470284.1	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2
OG0000049	KAK4470136.1, KAK4470137.1	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	KAK4470598.1	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	KAK4469367.1	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	KAK4472821.1	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	KAK4474336.1	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	KAK4474946.1	FhHiC23_g13824.t1
OG0000052	KAK4471620.1	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1
OG0000053	KAK4475177.1, KAK4475178.1	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000054	KAK4472186.1	FhHiC23_g1024.t1
OG0000054	KAK4471074.1, KAK4472139.1, KAK4469996.1	FhHiC23_g4961.t1, FhHiC23_g16319.t1, FhHiC23_g16178.t1
OG0000055	KAK4471575.1, KAK4471564.1	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	FhHiC23_g10819.t1
OG0000057	KAK4468384.1, KAK4470043.1	FhHiC23_g14898.t1, FhHiC23_g11194.t1, FhHiC23_g5892.t1
OG0000058	KAK4468525.1	FhHiC23_g16509.t1
OG0000058	KAK4470069.1	FhHiC23_g3241.t1
OG0000058	KAK4470074.1, KAK4470072.1, KAK4470068.1	FhHiC23_g3240.t1
OG0000060	KAK4471247.1	FhHiC23_g8030.t1
OG0000061	KAK4469486.1	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	KAK4475970.1	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	KAK4473734.1	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000064	KAK4475705.1	FhHiC23_g13576.t2, FhHiC23_g13576.t1
OG0000065	KAK4473358.1, KAK4473352.1, KAK4473355.1, KAK4473357.1	FhHiC23_g16266.t1, FhHiC23_g10252.t1, FhHiC23_g10251.t1, FhHiC23_g10047.t1, FhHiC23_g10134.t2, FhHiC23_g10133.t1, FhHiC23_g10134.t1, FhHiC23_g10151.t2, FhHiC23_g10150.t1
OG0000066	KAK4473833.1	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000067	KAK4471577.1	FhHiC23_g7039.t1, FhHiC23_g7040.t1
OG0000068	KAK4469181.1	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	KAK4467758.1	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	KAK4472801.1	FhHiC23_g5260.t1
OG0000069	KAK4474982.1	FhHiC23_g15180.t3, FhHiC23_g15180.t1, FhHiC23_g15180.t2
OG0000070	KAK4472878.1	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4, FhHiC23_g14582.t1
OG0000071	KAK4472253.1	FhHiC23_g6283.t1, FhHiC23_g6282.t1, FhHiC23_g6282.t2
OG0000072	KAK4468648.1	FhHiC23_g15889.t2, FhHiC23_g15889.t3, FhHiC23_g15889.t1
OG0000073	KAK4469816.1	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	KAK4476006.1	FhHiC23_g13499.t1
OG0000074	KAK4468714.1	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	KAK4474596.1	FhHiC23_g10998.t1
OG0000074	KAK4468705.1	FhHiC23_g16397.t1
OG0000075	KAK4472282.1	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	KAK4468620.1	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	KAK4467358.1, KAK4475671.1	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	KAK4475941.1	FhHiC23_g13340.t1
OG0000078	KAK4467476.1, KAK4475827.1	FhHiC23_g13137.t1
OG0000079	KAK4472724.1	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000080	KAK4472503.1	FhHiC23_g14390.t1
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	FhHiC23_g1604.t1, FhHiC23_g8541.t1, FhHiC23_g2294.t1
OG0000082	KAK4476263.1	FhHiC23_g13569.t1, FhHiC23_g13569.t2
OG0000085	KAK4474010.1	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1
OG0000086	KAK4470561.1	FhHiC23_g1071.t1
OG0000087	KAK4469513.1	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000088	KAK4475590.1, KAK4475589.1	FhHiC23_g5522.t1
OG0000090	KAK4469374.1	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	KAK4469611.1	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2
OG0000092	KAK4475365.1	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	KAK4474711.1	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	KAK4473668.1	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	KAK4467328.1, KAK4467335.1	FhHiC23_g6196.t1, FhHiC23_g5957.t1
OG0000094	KAK4475997.1	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	KAK4471403.1, KAK4471978.1	FhHiC23_g7183.t1
OG0000096	KAK4474123.1	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	KAK4476042.1, KAK4476041.1	FhHiC23_g11521.t1
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	KAK4471639.1	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	KAK4471562.1	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	KAK4470190.1	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	KAK4475905.1	FhHiC23_g13582.t1
OG0000102	KAK4472110.1	FhHiC23_g7758.t1
OG0000103	KAK4470657.1	FhHiC23_g2725.t1
OG0000104	KAK4475921.1	FhHiC23_g12208.t1
OG0000105	KAK4474244.1, KAK4476082.1	FhHiC23_g13058.t1
OG0000107	KAK4469978.1	FhHiC23_g2176.t1
OG0000108	KAK4475981.1	FhHiC23_g10941.t2, FhHiC23_g10941.t1
OG0000110	KAK4472451.1, KAK4472446.1	FhHiC23_g5186.t1, FhHiC23_g5186.t2
OG0000110	KAK4472452.1	FhHiC23_g5563.t1
OG0000110	KAK4472453.1	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3
OG0000111	KAK4473064.1	FhHiC23_g4957.t1
OG0000111	KAK4472666.1	FhHiC23_g5520.t1
OG0000112	KAK4468035.1	FhHiC23_g3619.t1, FhHiC23_g3619.t2
OG0000114	KAK4467770.1	FhHiC23_g9186.t1
OG0000115	KAK4473986.1	FhHiC23_g5095.t1
OG0000116	KAK4469396.1	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2
OG0000117	KAK4472459.1	FhHiC23_g5310.t1
OG0000118	KAK4473725.1, KAK4473729.1, KAK4473727.1, KAK4473726.1, KAK4473728.1	FhHiC23_g5237.t1
OG0000119	KAK4467682.1	FhHiC23_g10335.t1
OG0000120	KAK4472468.1	FhHiC23_g5279.t1
OG0000122	KAK4470066.1	FhHiC23_g1533.t1
OG0000123	KAK4470855.1	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1
OG0000125	KAK4474534.1	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3
OG0000126	KAK4470546.1	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1
OG0000127	KAK4475492.1	FhHiC23_g12206.t1, FhHiC23_g12204.t1
OG0000128	KAK4473532.1	FhHiC23_g14316.t1
OG0000129	KAK4474206.1	FhHiC23_g5688.t1, FhHiC23_g5688.t2
OG0000130	KAK4467983.1	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3
OG0000131	KAK4476229.1, KAK4468902.1	FhHiC23_g14945.t1, FhHiC23_g14945.t2, FhHiC23_g14944.t1, FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2, FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1, FhHiC23_g14948.t1
OG0000132	KAK4474101.1	FhHiC23_g6424.t2, FhHiC23_g6424.t1, FhHiC23_g6424.t3
OG0000133	KAK4472626.1	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1
OG0000134	KAK4475011.1	FhHiC23_g15419.t1, FhHiC23_g15419.t2
OG0000135	KAK4474731.1	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3
OG0000136	KAK4476189.1, KAK4476190.1	FhHiC23_g11494.t1, FhHiC23_g11493.t3, FhHiC23_g11493.t1, FhHiC23_g11493.t2
OG0000138	KAK4468744.1	FhHiC23_g16219.t1
OG0000138	KAK4473697.1	FhHiC23_g14050.t1
OG0000139	KAK4475677.1	FhHiC23_g12767.t1
OG0000140	KAK4470680.1, KAK4470033.1	FhHiC23_g217.t1, FhHiC23_g217.t2
OG0000142	KAK4475021.1, KAK4475019.1, KAK4475022.1	FhHiC23_g15368.t1, FhHiC23_g15368.t2, FhHiC23_g11124.t1, FhHiC23_g15370.t1, FhHiC23_g15371.t1, FhHiC23_g15362.t2, FhHiC23_g15362.t1, FhHiC23_g15363.t1, FhHiC23_g15366.t1, FhHiC23_g15365.t1, FhHiC23_g11989.t1, FhHiC23_g15549.t1, FhHiC23_g15251.t1
OG0000143	KAK4471520.1, KAK4471522.1	FhHiC23_g7696.t1, FhHiC23_g7697.t1
OG0000144	KAK4469871.1	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2
OG0000144	KAK4473145.1	FhHiC23_g4712.t2, FhHiC23_g4712.t1
OG0000145	KAK4472181.1	FhHiC23_g6031.t1
OG0000146	KAK4468443.1	FhHiC23_g8653.t1
OG0000146	KAK4469748.1	FhHiC23_g3017.t1
OG0000146	KAK4472748.1	FhHiC23_g4902.t1
OG0000146	KAK4469097.1	FhHiC23_g2238.t1
OG0000147	KAK4474043.1	FhHiC23_g4780.t1
OG0000148	KAK4472662.1	FhHiC23_g5498.t1
OG0000149	KAK4469180.1	FhHiC23_g720.t1
OG0000151	KAK4471438.1, KAK4471439.1	FhHiC23_g7923.t1, FhHiC23_g7924.t1
OG0000152	KAK4474412.1	FhHiC23_g11170.t1
OG0000153	KAK4469387.1	FhHiC23_g1476.t1, FhHiC23_g1472.t1, FhHiC23_g1472.t2
OG0000154	KAK4475184.1, KAK4475186.1	FhHiC23_g3121.t1, FhHiC23_g3120.t1, FhHiC23_g3119.t1, FhHiC23_g11005.t1, FhHiC23_g3122.t1
OG0000155	KAK4473822.1	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4
OG0000156	KAK4475038.1	FhHiC23_g15553.t1
OG0000156	KAK4475039.1	FhHiC23_g15566.t2, FhHiC23_g15566.t1, FhHiC23_g15566.t3, FhHiC23_g15050.t1
OG0000157	KAK4471808.1	FhHiC23_g8049.t2, FhHiC23_g8049.t1
OG0000157	KAK4472697.1	FhHiC23_g14186.t1
OG0000157	KAK4467690.1	FhHiC23_g9140.t1, FhHiC23_g9140.t2
OG0000158	KAK4475829.1, KAK4473934.1, KAK4475828.1	FhHiC23_g13141.t1, FhHiC23_g13141.t2
OG0000159	KAK4471746.1	FhHiC23_g7585.t1
OG0000160	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1	FhHiC23_g11475.t1
OG0000164	KAK4471960.1	FhHiC23_g8533.t1
OG0000164	KAK4470406.1	FhHiC23_g1084.t1
OG0000164	KAK4472495.1	FhHiC23_g5363.t1, FhHiC23_g5363.t2
OG0000165	KAK4471264.1	FhHiC23_g7386.t1, FhHiC23_g7386.t2
OG0000167	KAK4470364.1	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4
OG0000169	KAK4467756.1, KAK4472610.1	FhHiC23_g14278.t1
OG0000169	KAK4467718.1, KAK4467716.1, KAK4467717.1	FhHiC23_g10077.t1, FhHiC23_g10076.t1
OG0000170	KAK4470632.1	FhHiC23_g1333.t1
OG0000172	KAK4475142.1	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3, FhHiC23_g11485.t2
OG0000173	KAK4468268.1	FhHiC23_g3805.t1, FhHiC23_g3804.t1
OG0000175	KAK4473136.1, KAK4473125.1, KAK4473114.1, KAK4473106.1	FhHiC23_g4838.t1, FhHiC23_g4840.t1, FhHiC23_g4840.t2, FhHiC23_g4841.t2, FhHiC23_g4841.t1, FhHiC23_g4843.t1, FhHiC23_g4844.t1, FhHiC23_g4846.t1
OG0000177	KAK4472104.1	FhHiC23_g7294.t2, FhHiC23_g7294.t1, FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5
OG0000178	KAK4472894.1	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1
OG0000179	KAK4469016.1, KAK4469902.1	FhHiC23_g1759.t1, FhHiC23_g2123.t1
OG0000180	KAK4468049.1, KAK4468060.1, KAK4468069.1, KAK4468040.1	FhHiC23_g4225.t1
OG0000182	KAK4471145.1	FhHiC23_g8157.t2, FhHiC23_g8157.t1
OG0000182	KAK4472799.1	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3
OG0000183	KAK4472516.1	FhHiC23_g5440.t1, FhHiC23_g5440.t2
OG0000184	KAK4469199.1	FhHiC23_g551.t1
OG0000184	KAK4469198.1	FhHiC23_g552.t1
OG0000185	KAK4472507.1	FhHiC23_g5939.t1, FhHiC23_g5938.t1
OG0000186	KAK4470241.1, KAK4470242.1	FhHiC23_g2328.t1, FhHiC23_g2327.t1
OG0000187	KAK4469682.1	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2
OG0000188	KAK4472612.1	FhHiC23_g5387.t1
OG0000189	KAK4476062.1	FhHiC23_g11311.t1, FhHiC23_g11311.t2
OG0000190	KAK4469926.1	FhHiC23_g2208.t1, FhHiC23_g2208.t2
OG0000191	KAK4473909.1, KAK4473910.1	FhHiC23_g14871.t1, FhHiC23_g4941.t1, FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1, FhHiC23_g14042.t1
OG0000192	KAK4471381.1	FhHiC23_g8375.t1, FhHiC23_g8375.t3, FhHiC23_g8375.t2
OG0000193	KAK4471189.1	FhHiC23_g7377.t1, FhHiC23_g8323.t2, FhHiC23_g8323.t1
OG0000194	KAK4470371.1	FhHiC23_g2835.t1, FhHiC23_g2835.t2
OG0000195	KAK4469314.1	FhHiC23_g1825.t1
OG0000196	KAK4468938.1	FhHiC23_g13335.t1, FhHiC23_g15952.t1
OG0000196	KAK4474524.1	FhHiC23_g11302.t1
OG0000198	KAK4474280.1	FhHiC23_g11938.t1
OG0000199	KAK4472571.1	FhHiC23_g6386.t1
OG0000201	KAK4473643.1	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4
OG0000202	KAK4469384.1	FhHiC23_g4745.t1
OG0000203	KAK4472530.1, KAK4472529.1	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2
OG0000205	KAK4475157.1	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1
OG0000206	KAK4474171.1	FhHiC23_g6357.t4
OG0000207	KAK4474093.1, KAK4474090.1, KAK4474092.1, KAK4474089.1, KAK4474091.1	FhHiC23_g5475.t1, FhHiC23_g5478.t1, FhHiC23_g5477.t1, FhHiC23_g5930.t1, FhHiC23_g5929.t1, FhHiC23_g5928.t1, FhHiC23_g5931.t1
OG0000208	KAK4470297.1	FhHiC23_g2420.t2, FhHiC23_g2420.t1, FhHiC23_g2420.t3
OG0000209	KAK4476246.1	FhHiC23_g12702.t2, FhHiC23_g12702.t1
OG0000210	KAK4468068.1	FhHiC23_g3612.t1, FhHiC23_g3613.t3, FhHiC23_g3613.t1, FhHiC23_g3613.t2
OG0000211	KAK4476043.1	FhHiC23_g10758.t1, FhHiC23_g10758.t2
OG0000212	KAK4473242.1	FhHiC23_g10468.t1
OG0000213	KAK4474754.1	FhHiC23_g11275.t2, FhHiC23_g11275.t1
OG0000214	KAK4475773.1	FhHiC23_g12464.t1
OG0000217	KAK4472243.1	FhHiC23_g16420.t1, FhHiC23_g6181.t2, FhHiC23_g6181.t1, FhHiC23_g6181.t4, FhHiC23_g6181.t3
OG0000218	KAK4474847.1	FhHiC23_g10938.t1
OG0000219	KAK4471869.1	FhHiC23_g7095.t1, FhHiC23_g7095.t2
OG0000220	KAK4470648.1	FhHiC23_g408.t1, FhHiC23_g408.t4, FhHiC23_g408.t3, FhHiC23_g408.t2
OG0000221	KAK4476180.1	FhHiC23_g11237.t1, FhHiC23_g11237.t2
OG0000221	KAK4467410.1, KAK4475529.1	FhHiC23_g13193.t1, FhHiC23_g13193.t2
OG0000222	KAK4470706.1	FhHiC23_g13191.t1, FhHiC23_g14315.t1, FhHiC23_g2592.t1, FhHiC23_g2592.t2
OG0000223	KAK4476292.1	FhHiC23_g11673.t1, FhHiC23_g11673.t2
OG0000224	KAK4475913.1	FhHiC23_g13567.t1, FhHiC23_g13567.t2
OG0000225	KAK4475585.1	FhHiC23_g12647.t2, FhHiC23_g12647.t1, FhHiC23_g12647.t3
OG0000226	KAK4474133.1	FhHiC23_g6531.t1
OG0000227	KAK4471428.1	FhHiC23_g7842.t1
OG0000228	KAK4473445.1	FhHiC23_g14649.t2, FhHiC23_g14649.t3, FhHiC23_g14649.t4, FhHiC23_g14649.t1
OG0000229	KAK4472065.1	FhHiC23_g7934.t1, FhHiC23_g7934.t2, FhHiC23_g7934.t3
OG0000230	KAK4471407.1	FhHiC23_g7263.t1
OG0000234	KAK4473948.1	FhHiC23_g14737.t2, FhHiC23_g14737.t3
OG0000235	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1	FhHiC23_g13724.t4, FhHiC23_g13724.t1, FhHiC23_g13724.t2, FhHiC23_g13724.t3
OG0000236	KAK4469919.1	FhHiC23_g99.t1
OG0000237	KAK4469703.1	FhHiC23_g1247.t1, FhHiC23_g1247.t2
OG0000238	KAK4473873.1	FhHiC23_g5162.t2, FhHiC23_g5162.t1, FhHiC23_g5162.t3
OG0000239	KAK4473024.1	FhHiC23_g9956.t1, FhHiC23_g9956.t2, FhHiC23_g10452.t1, FhHiC23_g10444.t1, FhHiC23_g4496.t1, FhHiC23_g10424.t1, FhHiC23_g10448.t1, FhHiC23_g10453.t1, FhHiC23_g10453.t2
OG0000240	KAK4472743.1	FhHiC23_g4686.t1
OG0000241	KAK4476019.1, KAK4476020.1	FhHiC23_g11654.t2, FhHiC23_g11654.t1
OG0000241	KAK4473290.1	FhHiC23_g9749.t1, FhHiC23_g9749.t2
OG0000242	KAK4475949.1	FhHiC23_g13438.t1
OG0000243	KAK4475854.1, KAK4475855.1	FhHiC23_g12307.t1
OG0000244	KAK4475963.1	FhHiC23_g12089.t3, FhHiC23_g12089.t1, FhHiC23_g12089.t2
OG0000245	KAK4475214.1	FhHiC23_g11378.t1, FhHiC23_g11378.t3, FhHiC23_g11378.t2
OG0000246	KAK4472531.1	FhHiC23_g3827.t2, FhHiC23_g3827.t1
OG0000247	KAK4475795.1	FhHiC23_g13506.t1, FhHiC23_g13506.t2
OG0000248	KAK4471206.1	FhHiC23_g6905.t1
