Orthogroup	s.mekongi	schistosoma_guineensis
OG0000024	KAK4470057.1	SGUI1_80790.2
OG0000026	KAK4470973.1	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1
OG0000026	KAK4470239.1, KAK4470240.1	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2
OG0000026	KAK4470216.1	SGUI1_72480.1
OG0000028	KAK4470768.1	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10
OG0000029	KAK4471130.1	SGUI1_57980.1
OG0000029	KAK4468717.1	SGUI1_87750.1
OG0000029	KAK4468778.1	SGUI1_87710.1
OG0000029	KAK4468699.1	SGUI1_88610.3
OG0000030	KAK4476063.1	SGUI1_6410.1
OG0000031	KAK4475389.1	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8
OG0000032	KAK4470045.1	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1, SGUI1_80200.1, SGUI1_80200.2, SGUI1_80200.3
OG0000033	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1	SGUI1_1730.1, SGUI1_9080.1, SGUI1_90840.1, SGUI1_12710.1, SGUI1_55160.1, SGUI1_1720.1, SGUI1_41780.1, SGUI1_42490.1, SGUI1_11600.1, SGUI1_31330.1, SGUI1_34350.1, SGUI1_64520.1, SGUI1_92500.1, SGUI1_95170.1, SGUI1_12380.1, SGUI1_65730.1, SGUI1_26140.1, SGUI1_93250.1, SGUI1_38510.1, SGUI1_53420.1, SGUI1_68930.1, SGUI1_13730.1, SGUI1_9380.1
OG0000034	KAK4468479.1	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3
OG0000034	KAK4468478.1	SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1
OG0000034	KAK4471028.1, KAK4471029.1	SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1
OG0000035	KAK4475274.1	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19
OG0000036	KAK4470022.1	SGUI1_57530.1
OG0000037	KAK4471851.1	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3
OG0000037	KAK4471850.1	SGUI1_60370.1, SGUI1_60380.1
OG0000041	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1	SGUI1_12110.1
OG0000042	KAK4472150.1	SGUI1_39810.1
OG0000042	KAK4473688.1	SGUI1_39790.1, SGUI1_69850.1
OG0000042	KAK4472151.1, KAK4472152.1	SGUI1_39800.1, SGUI1_69840.1
OG0000044	KAK4468903.1	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2
OG0000044	KAK4468904.1	SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3
OG0000045	KAK4468037.1	SGUI1_9760.1
OG0000045	KAK4470284.1	SGUI1_88200.2, SGUI1_88200.1, SGUI1_3820.1
OG0000049	KAK4470136.1, KAK4470137.1	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14
OG0000049	KAK4470598.1	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1
OG0000050	KAK4469367.1	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1
OG0000052	KAK4472821.1	SGUI1_28340.1
OG0000052	KAK4474336.1	SGUI1_3230.1
OG0000052	KAK4474374.1	SGUI1_940.1
OG0000052	KAK4474946.1	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1
OG0000052	KAK4471620.1	SGUI1_67400.1
OG0000053	KAK4475177.1, KAK4475178.1	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5
OG0000054	KAK4471025.1, KAK4468371.1, KAK4474289.1	SGUI1_3410.1, SGUI1_34850.1
OG0000054	KAK4471019.1	SGUI1_71970.1
OG0000055	KAK4471575.1, KAK4471564.1	SGUI1_69140.1, SGUI1_69130.1
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	SGUI1_17070.1, SGUI1_44180.1, SGUI1_85830.1, SGUI1_85830.2, SGUI1_79140.1, SGUI1_25970.1, SGUI1_44100.1, SGUI1_51940.1, SGUI1_35370.1, SGUI1_83960.1, SGUI1_96820.1
OG0000057	KAK4468384.1, KAK4470043.1	SGUI1_77540.1
OG0000058	KAK4468525.1	SGUI1_90500.1, SGUI1_90500.2
OG0000058	KAK4470069.1	SGUI1_80950.1
OG0000058	KAK4470074.1, KAK4470072.1	SGUI1_80980.1, SGUI1_81010.1
OG0000058	KAK4470068.1	SGUI1_80940.1, SGUI1_80940.2
OG0000060	KAK4471247.1	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30
OG0000061	KAK4469486.1	SGUI1_52750.1
OG0000062	KAK4475970.1	SGUI1_5830.12, SGUI1_5830.8, SGUI1_5830.14, SGUI1_5830.7, SGUI1_5830.3, SGUI1_5830.10, SGUI1_5830.11, SGUI1_5830.13, SGUI1_5830.15, SGUI1_5830.16, SGUI1_5830.5, SGUI1_5830.6, SGUI1_5830.1, SGUI1_5830.17, SGUI1_5830.2, SGUI1_5830.4, SGUI1_5830.19, SGUI1_5830.18, SGUI1_5830.9
OG0000063	KAK4473734.1	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2
OG0000065	KAK4473358.1	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1
OG0000065	KAK4473352.1, KAK4473355.1, KAK4473357.1	SGUI1_22690.6, SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8, SGUI1_22680.1, SGUI1_22690.5, SGUI1_22690.1, SGUI1_22690.3, SGUI1_22690.2
OG0000066	KAK4473833.1	SGUI1_36990.15, SGUI1_36990.20, SGUI1_36990.5, SGUI1_36990.8, SGUI1_36990.10, SGUI1_36990.21, SGUI1_36990.1, SGUI1_36990.11, SGUI1_36990.4, SGUI1_36990.9, SGUI1_36990.14, SGUI1_36990.12, SGUI1_36990.16, SGUI1_36990.13, SGUI1_36990.19, SGUI1_36990.6
OG0000067	KAK4471577.1	SGUI1_67950.23, SGUI1_67950.20, SGUI1_67950.21, SGUI1_67950.24, SGUI1_67950.26, SGUI1_67950.18, SGUI1_67950.25, SGUI1_67950.10, SGUI1_67950.11, SGUI1_67950.15, SGUI1_67950.6, SGUI1_67950.7, SGUI1_67950.9, SGUI1_67950.8, SGUI1_67950.13, SGUI1_67950.1, SGUI1_67950.14, SGUI1_67950.22, SGUI1_67950.16, SGUI1_67950.17, SGUI1_67950.2, SGUI1_67950.3, SGUI1_67950.4, SGUI1_67950.19, SGUI1_67950.12, SGUI1_67950.5
OG0000068	KAK4469181.1	SGUI1_54050.1
OG0000068	KAK4467758.1	SGUI1_95000.1
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	SGUI1_36450.2, SGUI1_36450.3, SGUI1_36450.1, SGUI1_36450.4
OG0000068	KAK4472801.1	SGUI1_28390.1
OG0000069	KAK4474982.1	SGUI1_20160.1, SGUI1_20160.11, SGUI1_20160.12, SGUI1_20160.16, SGUI1_20160.4, SGUI1_20160.22, SGUI1_20160.24, SGUI1_20160.13, SGUI1_20160.14, SGUI1_20160.17, SGUI1_20160.18, SGUI1_20160.5, SGUI1_20160.6, SGUI1_20160.7, SGUI1_20160.8, SGUI1_20160.10, SGUI1_20160.15, SGUI1_20160.2, SGUI1_20160.3, SGUI1_20160.9, SGUI1_20160.20, SGUI1_20160.21, SGUI1_20160.26, SGUI1_20160.27, SGUI1_20160.23, SGUI1_20160.25, SGUI1_20160.19
OG0000070	KAK4472878.1	SGUI1_43740.12, SGUI1_43740.10, SGUI1_43740.4, SGUI1_43740.8, SGUI1_43740.3, SGUI1_43740.7, SGUI1_43740.11, SGUI1_43740.5, SGUI1_43740.9, SGUI1_43740.2, SGUI1_43740.1, SGUI1_43740.6
OG0000071	KAK4472253.1	SGUI1_33980.13, SGUI1_33980.3, SGUI1_33980.4, SGUI1_33980.1, SGUI1_33980.10, SGUI1_33980.11, SGUI1_33980.12, SGUI1_33980.14, SGUI1_33980.15, SGUI1_33980.2, SGUI1_33980.5, SGUI1_33980.7, SGUI1_33980.8, SGUI1_33980.9, SGUI1_33980.18, SGUI1_33980.6, SGUI1_33980.17, SGUI1_33980.19, SGUI1_33980.20, SGUI1_33980.16
OG0000072	KAK4468648.1	SGUI1_89930.2, SGUI1_89930.3, SGUI1_89930.9, SGUI1_89930.8, SGUI1_89930.4, SGUI1_89930.7, SGUI1_89930.13, SGUI1_89930.6, SGUI1_89930.11, SGUI1_89930.12, SGUI1_89930.14, SGUI1_89930.15, SGUI1_89930.10, SGUI1_89930.5, SGUI1_89930.1
OG0000073	KAK4469816.1	SGUI1_55590.1, SGUI1_55600.1
OG0000074	KAK4476006.1	SGUI1_1260.2, SGUI1_1260.1
OG0000074	KAK4468714.1	SGUI1_88410.1
OG0000074	KAK4474596.1	SGUI1_10520.1
OG0000074	KAK4468705.1	SGUI1_88510.1
OG0000075	KAK4472282.1	SGUI1_33710.2, SGUI1_33710.1, SGUI1_33710.11, SGUI1_33710.12, SGUI1_33710.13, SGUI1_33710.3, SGUI1_33710.5, SGUI1_33710.6, SGUI1_33710.7, SGUI1_33710.8, SGUI1_33710.10, SGUI1_33710.4, SGUI1_33710.9
OG0000076	KAK4467358.1, KAK4475671.1	SGUI1_3900.1
OG0000077	KAK4475941.1	SGUI1_9990.1
OG0000079	KAK4472724.1	SGUI1_30470.1
OG0000080	KAK4472503.1	SGUI1_44150.1
OG0000081	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1	SGUI1_12320.1, SGUI1_19810.1, SGUI1_56350.1, SGUI1_71020.1, SGUI1_80400.1, SGUI1_20570.1, SGUI1_25980.1, SGUI1_44110.1, SGUI1_47550.1, SGUI1_81680.1
OG0000082	KAK4476263.1	SGUI1_9680.10, SGUI1_9680.11, SGUI1_9680.13, SGUI1_9680.14, SGUI1_9680.4, SGUI1_9680.1, SGUI1_9680.12, SGUI1_9680.15, SGUI1_9680.17, SGUI1_9680.18, SGUI1_9680.19, SGUI1_9680.6, SGUI1_9680.7, SGUI1_9680.9, SGUI1_9680.16, SGUI1_9680.2, SGUI1_9680.3, SGUI1_9680.5, SGUI1_9680.8
OG0000083	KAK4471026.1, KAK4474271.1	SGUI1_49010.1, SGUI1_46910.1, SGUI1_46910.2
OG0000085	KAK4474010.1	SGUI1_36330.5, SGUI1_36330.6, SGUI1_36330.1, SGUI1_36330.10, SGUI1_36330.11, SGUI1_36330.13, SGUI1_36330.14, SGUI1_36330.15, SGUI1_36330.16, SGUI1_36330.17, SGUI1_36330.18, SGUI1_36330.2, SGUI1_36330.7, SGUI1_36330.8, SGUI1_36330.9, SGUI1_36330.12, SGUI1_36330.3, SGUI1_36330.4, SGUI1_36330.19
OG0000086	KAK4470561.1	SGUI1_73460.10, SGUI1_73460.11, SGUI1_73460.5, SGUI1_73460.7, SGUI1_73460.12, SGUI1_73460.8, SGUI1_73460.9, SGUI1_73460.6, SGUI1_73460.3, SGUI1_73460.1, SGUI1_73460.4, SGUI1_73460.2
OG0000087	KAK4469513.1	SGUI1_53090.11, SGUI1_53090.16, SGUI1_53090.3, SGUI1_53090.10, SGUI1_53090.9, SGUI1_53090.1, SGUI1_53090.13, SGUI1_53090.6, SGUI1_53090.17, SGUI1_53090.14, SGUI1_53090.15, SGUI1_53090.2, SGUI1_53090.4, SGUI1_53090.12, SGUI1_53090.5, SGUI1_53090.7, SGUI1_53090.8
OG0000088	KAK4475590.1	SGUI1_3040.1, SGUI1_3040.2
OG0000088	KAK4475589.1	SGUI1_3020.10, SGUI1_3020.9, SGUI1_3020.4, SGUI1_3020.5, SGUI1_3020.6, SGUI1_3020.7, SGUI1_3020.2, SGUI1_3020.8, SGUI1_3020.1, SGUI1_3020.3
OG0000091	KAK4469611.1	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5
OG0000092	KAK4475365.1	SGUI1_2250.1, SGUI1_2240.1
OG0000092	KAK4474711.1	SGUI1_12290.3, SGUI1_12290.1, SGUI1_12290.2
OG0000093	KAK4473668.1	SGUI1_40090.1
OG0000093	KAK4467328.1, KAK4467335.1	SGUI1_39230.1, SGUI1_39170.1, SGUI1_39180.1, SGUI1_39220.1, SGUI1_39240.1, SGUI1_39160.1, SGUI1_39260.1, SGUI1_39190.1, SGUI1_39200.1, SGUI1_39210.1
OG0000094	KAK4475997.1	SGUI1_7960.4, SGUI1_7960.6, SGUI1_7960.1, SGUI1_7960.7, SGUI1_7960.3, SGUI1_7960.5, SGUI1_7960.2
OG0000095	KAK4471403.1, KAK4471978.1	SGUI1_61880.6, SGUI1_61880.3, SGUI1_61880.1, SGUI1_61880.2, SGUI1_61880.7, SGUI1_61880.8, SGUI1_61880.4, SGUI1_61880.10, SGUI1_61880.9, SGUI1_61880.11, SGUI1_61880.5, SGUI1_61880.12
OG0000096	KAK4474123.1	SGUI1_35170.2, SGUI1_35170.1, SGUI1_35170.3, SGUI1_35170.8, SGUI1_35170.6, SGUI1_35170.7, SGUI1_35170.5, SGUI1_35170.4
OG0000097	KAK4476042.1, KAK4476041.1	SGUI1_6600.1
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	SGUI1_41100.1, SGUI1_41090.1
OG0000098	KAK4471639.1	SGUI1_67180.1, SGUI1_67180.5, SGUI1_67180.4, SGUI1_67180.3, SGUI1_67180.2, SGUI1_67180.6
OG0000099	KAK4471562.1	SGUI1_68110.1, SGUI1_68110.2, SGUI1_68110.3, SGUI1_68110.4
OG0000099	KAK4470190.1	SGUI1_72250.1
OG0000102	KAK4472110.1	SGUI1_58960.2, SGUI1_58960.1, SGUI1_58960.3, SGUI1_58960.4
OG0000103	KAK4470657.1	SGUI1_74500.11, SGUI1_74500.9, SGUI1_74500.6, SGUI1_74500.7, SGUI1_74500.2, SGUI1_74500.3, SGUI1_74500.1, SGUI1_74500.10, SGUI1_74500.5, SGUI1_74500.8, SGUI1_74500.4
OG0000104	KAK4475921.1	SGUI1_5790.1
OG0000105	KAK4474244.1	SGUI1_7260.8, SGUI1_7260.4, SGUI1_7260.7, SGUI1_7260.6, SGUI1_7260.1, SGUI1_7260.3, SGUI1_7260.5, SGUI1_7260.2
OG0000106	KAK4470606.1, KAK4467455.1	SGUI1_97120.1, SGUI1_73920.1
OG0000107	KAK4469978.1	SGUI1_56630.1
OG0000107	KAK4468968.1	SGUI1_51180.2
OG0000108	KAK4475981.1	SGUI1_7790.1
OG0000110	KAK4472451.1	SGUI1_29610.1, SGUI1_29610.2
OG0000110	KAK4472446.1	SGUI1_29580.1
OG0000110	KAK4472452.1	SGUI1_29620.1
OG0000110	KAK4472453.1	SGUI1_29630.1, SGUI1_29630.2, SGUI1_29630.3
OG0000111	KAK4473064.1	SGUI1_41190.1
OG0000111	KAK4469719.1	SGUI1_52130.1, SGUI1_52130.2
OG0000111	KAK4472666.1	SGUI1_31010.1, SGUI1_31010.2
OG0000112	KAK4468035.1	SGUI1_84190.1, SGUI1_84190.5, SGUI1_84190.2, SGUI1_84190.3, SGUI1_84190.4
OG0000114	KAK4467770.1	SGUI1_94910.5, SGUI1_94910.1, SGUI1_94910.2, SGUI1_94910.3, SGUI1_94910.4, SGUI1_94910.6, SGUI1_94910.7, SGUI1_94910.8, SGUI1_94910.9, SGUI1_94910.10, SGUI1_94910.11
OG0000115	KAK4473986.1	SGUI1_36570.1
OG0000116	KAK4469396.1	SGUI1_50270.10, SGUI1_50270.7, SGUI1_50270.8, SGUI1_50270.1, SGUI1_50270.5, SGUI1_50270.2, SGUI1_50270.9, SGUI1_50270.13, SGUI1_50270.11, SGUI1_50270.14, SGUI1_50270.12, SGUI1_50270.4, SGUI1_50270.6, SGUI1_50270.3
OG0000117	KAK4472459.1	SGUI1_29710.5, SGUI1_29710.7, SGUI1_29710.8, SGUI1_29710.9, SGUI1_29710.1, SGUI1_29710.13, SGUI1_29710.10, SGUI1_29710.11, SGUI1_29710.2, SGUI1_29710.3, SGUI1_29710.6, SGUI1_29710.14, SGUI1_29710.4, SGUI1_29710.12
OG0000118	KAK4473725.1	SGUI1_39420.1, SGUI1_39430.1
OG0000118	KAK4473729.1	SGUI1_39400.2, SGUI1_39400.1
OG0000118	KAK4473727.1	SGUI1_39410.1
OG0000119	KAK4467682.1	SGUI1_95670.1, SGUI1_95670.8, SGUI1_95670.4, SGUI1_95670.6, SGUI1_95670.7, SGUI1_95670.2, SGUI1_95670.5, SGUI1_95670.3, SGUI1_95680.1
OG0000120	KAK4472468.1	SGUI1_29810.1
