Orthogroup	s.mekongi	schmidtea_mediterranea
OG0000031	KAK4475389.1	h1SMcT0002175.5, h1SMcT0002175.6
OG0000033	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1	h1SMcT0014497.2, h1SMcT0014497.3
OG0000034	KAK4468479.1, KAK4468478.1, KAK4471028.1, KAK4471029.1	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1
OG0000035	KAK4475274.1	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2
OG0000037	KAK4471851.1, KAK4471850.1	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3
OG0000042	KAK4472150.1, KAK4472153.1, KAK4473688.1, KAK4472151.1, KAK4472152.1	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2
OG0000044	KAK4468903.1, KAK4468904.1	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1
OG0000049	KAK4470136.1, KAK4470137.1	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2
OG0000049	KAK4470598.1	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3
OG0000050	KAK4469367.1	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4
OG0000052	KAK4472821.1	h1SMcT0006122.2
OG0000052	KAK4474336.1	h1SMcT0020686.1, h1SMcT0020686.2
OG0000052	KAK4474374.1	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1
OG0000052	KAK4474946.1	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1
OG0000052	KAK4471620.1	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2
OG0000053	KAK4475177.1, KAK4475178.1	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2
OG0000055	KAK4471575.1, KAK4471564.1	h1SMcT0011774.1, h1SMcT0011774.2
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	h1SMcT0017059.1
OG0000058	KAK4468525.1, KAK4470069.1, KAK4470074.1, KAK4470072.1, KAK4470068.1	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4
OG0000060	KAK4471247.1	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4
OG0000061	KAK4469486.1	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3
OG0000062	KAK4475970.1	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5
OG0000063	KAK4473734.1	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3
OG0000064	KAK4475705.1	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2
OG0000066	KAK4473833.1	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1
OG0000068	KAK4469181.1	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1
OG0000068	KAK4467758.1, KAK4473996.1, KAK4473997.1, KAK4473998.1	h1SMcT0007421.1, h1SMcT0007653.1
OG0000068	KAK4472801.1	h1SMcT0008274.1, h1SMcT0013810.1
OG0000069	KAK4474982.1	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4
OG0000070	KAK4472878.1	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11
OG0000072	KAK4468648.1	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2
OG0000073	KAK4469816.1	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2
OG0000074	KAK4476006.1	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1
OG0000074	KAK4468714.1	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2
OG0000074	KAK4468705.1	h1SMcT0008302.1
OG0000075	KAK4472282.1	h1SMcT0017385.1
OG0000076	KAK4468620.1	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3
OG0000076	KAK4467358.1, KAK4475671.1	h1SMcT0013513.1, h1SMcT0013513.2
OG0000077	KAK4475941.1	h1SMcT0023123.1
OG0000078	KAK4467476.1, KAK4475827.1	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2
OG0000079	KAK4472724.1	h1SMcT0006746.1, h1SMcT0006746.2
OG0000080	KAK4472503.1	h1SMcT0013418.1
OG0000087	KAK4469513.1	h1SMcT0020497.1, h1SMcT0020497.2
OG0000088	KAK4475590.1, KAK4475589.1	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5
OG0000090	KAK4469374.1	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1
OG0000091	KAK4469611.1	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3
OG0000092	KAK4475365.1	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5
OG0000092	KAK4474711.1	h1SMcT0002197.1
OG0000093	KAK4473668.1	h1SMcT0011102.1, h1SMcT0021280.1
OG0000093	KAK4467328.1, KAK4467335.1	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1
OG0000094	KAK4475997.1	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4
OG0000095	KAK4471403.1, KAK4471978.1	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3
OG0000096	KAK4474123.1	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1
OG0000097	KAK4476042.1, KAK4476041.1	h1SMcT0003774.1, h1SMcT0003774.2
OG0000098	KAK4470772.1, KAK4473429.1, KAK4472970.1	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1
OG0000098	KAK4471639.1	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2
OG0000099	KAK4471562.1	h1SMcT0013445.1, h1SMcT0008305.1
OG0000099	KAK4470190.1	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2
OG0000102	KAK4475905.1, KAK4472110.1	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7
OG0000104	KAK4475921.1	h1SMcT0000528.1, h1SMcT0000528.2
OG0000105	KAK4474244.1, KAK4476082.1	h1SMcT0022377.1
OG0000107	KAK4469978.1	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2
OG0000108	KAK4475981.1	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2
OG0000110	KAK4472451.1, KAK4472446.1, KAK4472452.1, KAK4472453.1	h1SMcT0005911.1, h1SMcT0005911.2, h1SMcT0005912.1, h1SMcT0005912.2, h1SMcT0005912.3
OG0000111	KAK4473064.1	h1SMcT0017964.1, h1SMcT0017964.3, h1SMcT0017964.2
OG0000111	KAK4469719.1	h1SMcT0016216.1
OG0000116	KAK4469396.1	h1SMcT0000626.1, h1SMcT0000626.2
OG0000119	KAK4467682.1	h1SMcT0002719.1, h1SMcT0002719.5
OG0000123	KAK4470855.1	h1SMcT0019857.6, h1SMcT0019857.1, h1SMcT0019857.2, h1SMcT0019857.4, h1SMcT0019857.3, h1SMcT0019857.7, h1SMcT0019857.8, h1SMcT0019857.5, h1SMcT0019857.9
OG0000125	KAK4474534.1	h1SMcT0011948.1, h1SMcT0011948.2, h1SMcT0011948.3, h1SMcT0011948.5, h1SMcT0011948.4
OG0000126	KAK4470546.1	h1SMcT0004819.1, h1SMcT0004819.2, h1SMcT0017022.1, h1SMcT0017022.2
OG0000127	KAK4475492.1	h1SMcT0019776.1, h1SMcT0019776.2
OG0000128	KAK4473532.1	h1SMcT0019778.1, h1SMcT0019778.2
OG0000129	KAK4474206.1	h1SMcT0011909.1, h1SMcT0011909.2, h1SMcT0011909.3, h1SMcT0011909.4
OG0000130	KAK4467983.1	h1SMcT0009248.1
OG0000132	KAK4474101.1	h1SMcT0018387.2, h1SMcT0018387.3, h1SMcT0018387.1, h1SMcT0018387.4, h1SMcT0021597.2, h1SMcT0021597.4, h1SMcT0021597.3, h1SMcT0021597.1
OG0000133	KAK4472626.1	h1SMcT0003610.3, h1SMcT0003610.1, h1SMcT0003610.2
OG0000134	KAK4475011.1	h1SMcT0006437.1, h1SMcT0006437.2, h1SMcT0006437.3
OG0000135	KAK4474731.1	h1SMcT0016982.1, h1SMcT0016982.5, h1SMcT0016982.6, h1SMcT0016982.3, h1SMcT0016982.2, h1SMcT0016982.4, h1SMcT0009230.3, h1SMcT0009230.4, h1SMcT0009230.2, h1SMcT0009230.1
OG0000136	KAK4476189.1, KAK4476190.1	h1SMcT0000155.1
OG0000137	KAK4473443.1, KAK4473442.1, KAK4473441.1	h1SMcT0023090.1
OG0000138	KAK4468744.1	h1SMcT0020322.1
OG0000138	KAK4473697.1	h1SMcT0012517.1, h1SMcT0003884.5, h1SMcT0003884.11, h1SMcT0003884.12, h1SMcT0003884.4, h1SMcT0003884.7, h1SMcT0003884.10, h1SMcT0003884.6, h1SMcT0003884.8, h1SMcT0003884.1, h1SMcT0003884.9, h1SMcT0003884.2, h1SMcT0003884.13, h1SMcT0003884.3
OG0000139	KAK4475677.1	h1SMcT0002285.1
OG0000140	KAK4470680.1, KAK4470033.1	h1SMcT0010178.1, h1SMcT0010178.3, h1SMcT0010178.2, h1SMcT0010489.1, h1SMcT0018139.18
OG0000142	KAK4475021.1, KAK4475019.1, KAK4475022.1	h1SMcT0003538.1, h1SMcT0003538.2, h1SMcT0003539.1, h1SMcT0003540.1
OG0000144	KAK4469871.1	h1SMcT0012404.1
OG0000144	KAK4473145.1, KAK4469772.1	h1SMcT0013799.1, h1SMcT0013799.2, h1SMcT0003030.1, h1SMcT0003031.1, h1SMcT0003041.1
OG0000145	KAK4472181.1	h1SMcT0013665.1
OG0000146	KAK4468443.1	h1SMcT0006897.1, h1SMcT0006897.2
OG0000146	KAK4469748.1	h1SMcT0006790.1, h1SMcT0019090.1, h1SMcT0014811.1, h1SMcT0020845.1
OG0000146	KAK4472748.1, KAK4469097.1	h1SMcT0021690.2
OG0000147	KAK4474043.1	h1SMcT0011597.1
OG0000149	KAK4469180.1	h1SMcT0005461.1, h1SMcT0005461.2
OG0000151	KAK4471438.1, KAK4471439.1	h1SMcT0006201.1
OG0000152	KAK4474412.1	h1SMcT0001548.1
OG0000153	KAK4469387.1	h1SMcT0022006.1, h1SMcT0020307.1, h1SMcT0020306.1, h1SMcT0020306.2, h1SMcT0020303.1, h1SMcT0020304.1, h1SMcT0020305.1
OG0000154	KAK4475184.1, KAK4475186.1	h1SMcT0021968.1, h1SMcT0021968.8, h1SMcT0021968.2, h1SMcT0021968.4, h1SMcT0021968.5, h1SMcT0021968.7, h1SMcT0021968.3, h1SMcT0021968.6
OG0000155	KAK4473822.1	h1SMcT0001030.1
OG0000156	KAK4475038.1, KAK4475039.1	h1SMcT0017161.2, h1SMcT0002712.1
OG0000157	KAK4471808.1	h1SMcT0018006.1, h1SMcT0018092.1, h1SMcT0018092.2, h1SMcT0005006.1, h1SMcT0005006.2
OG0000157	KAK4472697.1	h1SMcT0001155.1, h1SMcT0001155.2, h1SMcT0016076.1, h1SMcT0020455.1
OG0000157	KAK4467690.1	h1SMcT0013969.1, h1SMcT0013969.2
OG0000158	KAK4475829.1, KAK4473934.1, KAK4475828.1	h1SMcT0021962.1, h1SMcT0021962.2, h1SMcT0021962.3, h1SMcT0021962.14, h1SMcT0021962.13, h1SMcT0021962.17, h1SMcT0021962.6, h1SMcT0021962.11, h1SMcT0021962.12, h1SMcT0021962.15, h1SMcT0021962.16, h1SMcT0021962.4, h1SMcT0021962.5, h1SMcT0021962.7, h1SMcT0021962.8, h1SMcT0021962.9, h1SMcT0021962.10
OG0000159	KAK4471746.1	h1SMcT0014227.1, h1SMcT0014227.2
OG0000161	KAK4474169.1	h1SMcT0012867.1
OG0000164	KAK4471960.1	h1SMcT0014759.1
OG0000164	KAK4469800.1	h1SMcT0021090.1
OG0000164	KAK4472495.1	h1SMcT0015612.1, h1SMcT0015612.2, h1SMcT0005445.1
OG0000165	KAK4471264.1	h1SMcT0018166.5
OG0000167	KAK4470364.1	h1SMcT0022585.6, h1SMcT0022585.1, h1SMcT0022585.3, h1SMcT0022585.2, h1SMcT0022585.5, h1SMcT0022585.4
OG0000172	KAK4475142.1	h1SMcT0021603.1, h1SMcT0021603.2, h1SMcT0021603.3
OG0000173	KAK4468268.1	h1SMcT0003247.2, h1SMcT0003247.3, h1SMcT0003247.1, h1SMcT0003247.4, h1SMcT0003247.5
OG0000175	KAK4473136.1, KAK4473125.1, KAK4473114.1, KAK4473106.1	h1SMcT0007906.1, h1SMcT0018636.1, h1SMcT0020881.1, h1SMcT0002497.1, h1SMcT0019151.1
OG0000177	KAK4472104.1	h1SMcT0004379.1, h1SMcT0004379.9, h1SMcT0004379.10, h1SMcT0004379.5, h1SMcT0004379.4, h1SMcT0004379.2, h1SMcT0004379.8, h1SMcT0004379.3, h1SMcT0004379.7, h1SMcT0004379.6
OG0000179	KAK4469016.1, KAK4469902.1	h1SMcT0009705.1, h1SMcT0009705.3, h1SMcT0009705.2, h1SMcT0009705.4
OG0000180	KAK4468049.1, KAK4468060.1, KAK4468069.1, KAK4468040.1	h1SMcT0016760.1, h1SMcT0016760.2
OG0000182	KAK4471145.1	h1SMcT0000076.3, h1SMcT0000076.2, h1SMcT0000076.4
OG0000182	KAK4472799.1	h1SMcT0000188.1, h1SMcT0000194.1, h1SMcT0000194.2
OG0000184	KAK4469199.1, KAK4469198.1	h1SMcT0015425.1, h1SMcT0015431.1
OG0000186	KAK4470241.1, KAK4470242.1	h1SMcT0015722.1, h1SMcT0013906.1, h1SMcT0013910.1
OG0000187	KAK4469682.1	h1SMcT0002580.8, h1SMcT0002580.4, h1SMcT0002580.5, h1SMcT0002580.7, h1SMcT0002580.1, h1SMcT0002580.6, h1SMcT0002580.9, h1SMcT0002580.3, h1SMcT0002580.2, h1SMcT0009621.1, h1SMcT0009621.3, h1SMcT0009621.2
OG0000190	KAK4469926.1	h1SMcT0007247.1
OG0000192	KAK4471381.1	h1SMcT0015806.1
OG0000193	KAK4471157.1, KAK4471189.1	h1SMcT0000127.2, h1SMcT0000127.1, h1SMcT0000127.4
OG0000194	KAK4470371.1	h1SMcT0008145.3, h1SMcT0008145.1, h1SMcT0008145.2
OG0000195	KAK4469314.1	h1SMcT0000620.1, h1SMcT0000620.2, h1SMcT0000620.3
OG0000196	KAK4468938.1	h1SMcT0011061.1, h1SMcT0021737.1
OG0000196	KAK4474524.1	h1SMcT0001685.1
OG0000198	KAK4473170.1, KAK4474280.1	h1SMcT0018079.1
OG0000199	KAK4472571.1	h1SMcT0004687.1, h1SMcT0004687.2
OG0000201	KAK4473643.1	h1SMcT0009180.1
OG0000206	KAK4474171.1	h1SMcT0011551.1, h1SMcT0011551.2
OG0000208	KAK4470297.1	h1SMcT0004753.1, h1SMcT0004753.2, h1SMcT0004753.3
OG0000209	KAK4476246.1	h1SMcT0007034.1, h1SMcT0007034.2
OG0000210	KAK4468068.1	h1SMcT0010216.1, h1SMcT0010216.2, h1SMcT0010216.3
OG0000211	KAK4476043.1	h1SMcT0007637.1
OG0000212	KAK4473242.1	h1SMcT0001354.11, h1SMcT0001354.6, h1SMcT0001354.7, h1SMcT0001354.1, h1SMcT0001354.10, h1SMcT0001354.2, h1SMcT0001354.5, h1SMcT0001354.8, h1SMcT0001354.9, h1SMcT0001354.3, h1SMcT0001354.4
OG0000213	KAK4474754.1	h1SMcT0008371.1
OG0000217	KAK4472243.1	h1SMcT0004924.1, h1SMcT0004924.2, h1SMcT0010355.1, h1SMcT0018649.1
OG0000218	KAK4474847.1	h1SMcT0004177.1
OG0000219	KAK4471869.1	h1SMcT0000079.1
OG0000221	KAK4476180.1	h1SMcT0016464.1, h1SMcT0016464.3
OG0000221	KAK4467410.1, KAK4475529.1	h1SMcT0018055.1
OG0000222	KAK4470706.1	h1SMcT0013919.1
OG0000223	KAK4476292.1	h1SMcT0005506.1
OG0000224	KAK4475913.1	h1SMcT0009940.1, h1SMcT0009940.2
OG0000225	KAK4475585.1	h1SMcT0010147.1, h1SMcT0010147.2
OG0000226	KAK4474133.1	h1SMcT0018850.1
OG0000227	KAK4471428.1	h1SMcT0015210.2, h1SMcT0015210.1, h1SMcT0015210.3
OG0000228	KAK4473445.1	h1SMcT0003868.2, h1SMcT0003868.6, h1SMcT0003868.3, h1SMcT0003868.1, h1SMcT0003868.4, h1SMcT0003868.5
OG0000229	KAK4472065.1	h1SMcT0002720.3, h1SMcT0023063.1, h1SMcT0002720.5, h1SMcT0002720.1, h1SMcT0002720.2, h1SMcT0002720.4
OG0000230	KAK4471407.1	h1SMcT0016060.1, h1SMcT0003291.4, h1SMcT0003291.1, h1SMcT0003291.5, h1SMcT0003291.2, h1SMcT0003291.3
OG0000235	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1	h1SMcT0013355.1, h1SMcT0013355.2, h1SMcT0015883.2, h1SMcT0015883.3, h1SMcT0003207.1, h1SMcT0003207.3, h1SMcT0014695.1, h1SMcT0017363.2
OG0000236	KAK4469919.1	h1SMcT0020439.1, h1SMcT0020439.3, h1SMcT0020439.2
OG0000237	KAK4469703.1	h1SMcT0016068.1
OG0000238	KAK4473873.1	h1SMcT0021500.1, h1SMcT0021500.2
OG0000239	KAK4473024.1	h1SMcT0019805.1, h1SMcT0019805.3, h1SMcT0019812.2, h1SMcT0019812.4, h1SMcT0019812.6, h1SMcT0019812.7, h1SMcT0019812.5, h1SMcT0019812.3, h1SMcT0019812.1, h1SMcT0019805.2
OG0000240	KAK4472743.1	h1SMcT0022933.1, h1SMcT0022933.2
OG0000242	KAK4475949.1	h1SMcT0006326.1, h1SMcT0008643.1
OG0000244	KAK4475963.1	h1SMcT0003275.2, h1SMcT0003275.3, h1SMcT0003275.4
OG0000245	KAK4475214.1	h1SMcT0020223.2, h1SMcT0020223.13, h1SMcT0020223.12, h1SMcT0020223.8, h1SMcT0020223.9, h1SMcT0020223.4, h1SMcT0020223.10, h1SMcT0020223.5, h1SMcT0020223.11, h1SMcT0020223.6, h1SMcT0020223.7, h1SMcT0020223.3
OG0000246	KAK4472531.1	h1SMcT0006409.1, h1SMcT0006409.2, h1SMcT0015152.1, h1SMcT0015152.2
OG0000247	KAK4475795.1	h1SMcT0022281.1, h1SMcT0022281.4, h1SMcT0022281.3, h1SMcT0022281.2, h1SMcT0022281.5
OG0000248	KAK4471206.1	h1SMcT0007514.1, h1SMcT0007514.9, h1SMcT0007514.3, h1SMcT0007514.4, h1SMcT0007514.5, h1SMcT0007514.6, h1SMcT0007514.8, h1SMcT0007514.10, h1SMcT0007514.2, h1SMcT0007514.7, h1SMcT0007514.11
OG0000250	KAK4473679.1	h1SMcT0017080.1, h1SMcT0017553.1, h1SMcT0017553.2
OG0000251	KAK4470876.1	h1SMcT0009291.2, h1SMcT0009291.1, h1SMcT0009291.3
OG0000253	KAK4474966.1	h1SMcT0004683.1, h1SMcT0004683.2
OG0000254	KAK4476211.1	h1SMcT0006413.1
OG0000255	KAK4472819.1	h1SMcT0004493.3, h1SMcT0004493.1, h1SMcT0004493.2
OG0000256	KAK4472234.1, KAK4474108.1	h1SMcT0009206.1, h1SMcT0009157.1, h1SMcT0009159.1, h1SMcT0009177.1, h1SMcT0009175.7, h1SMcT0009175.9, h1SMcT0009175.10, h1SMcT0009175.6, h1SMcT0009175.1, h1SMcT0009175.4, h1SMcT0009175.2, h1SMcT0009175.3, h1SMcT0009175.5, h1SMcT0007334.4, h1SMcT0007334.3, h1SMcT0007334.5, h1SMcT0007333.1, h1SMcT0007332.2, h1SMcT0007332.14, h1SMcT0007332.10, h1SMcT0007332.11, h1SMcT0007332.12, h1SMcT0007332.8, h1SMcT0007332.7, h1SMcT0007332.1, h1SMcT0007332.5, h1SMcT0007332.6, h1SMcT0007332.3, h1SMcT0007332.9, h1SMcT0007332.4, h1SMcT0007332.15, h1SMcT0007332.13
OG0000258	KAK4474630.1, KAK4474631.1	h1SMcT0009889.1, h1SMcT0009889.3, h1SMcT0009889.2, h1SMcT0002316.1, h1SMcT0002317.2, h1SMcT0002318.1, h1SMcT0002318.2
OG0000260	KAK4475472.1	h1SMcT0010473.2, h1SMcT0010473.4, h1SMcT0010473.3, h1SMcT0010473.5, h1SMcT0010473.1
OG0000263	KAK4471877.1	h1SMcT0006997.1, h1SMcT0010756.5, h1SMcT0010756.3, h1SMcT0010756.2, h1SMcT0010756.4, h1SMcT0010756.1
OG0000264	KAK4468105.1	h1SMcT0006536.1
OG0000264	KAK4475793.1, KAK4467257.1	h1SMcT0021907.1, h1SMcT0021907.2
